"S1678-77572008000400006-scl","Surface degradation of composite resins by acidic medicines and ph-cycling","Valinoti, Ana Carolina, Neves, Beatriz Gonçalves, Silva, Eduardo Moreira da, Maia, Lucianne Cople","Journal of Applied Oral Science; 16(4); 257-265","Journal of Applied Oral Science","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572008000400006&lang=pt" 
"S1519-566X2008000400016-scl","Ácaros (Acari) de seringueira (Hevea brasiliensis Muell. Arg., Euphorbiaceae) e de euforbiáceas espontâneas no interior dos cultivos","Bellini, Marcos R., Feres, Reinaldo J.F., Buosi, Renato","Neotropical Entomology; 37(4); 463-471","Neotropical Entomology","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000400016&lang=pt" 
"S1519-566X2008000400017-scl","Formigas em ambiente hospitalar e seu potencial como transmissoras de bactérias","Pesquero, Marcos A., Elias Filho, Jales, Carneiro, Lílian C., Feitosa, Sarah B., Oliveira, Marcos A.C., Quintana, Rosângela C.","Neotropical Entomology; 37(4); 472-477","Neotropical Entomology","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000400017&lang=pt" 
"S1519-566X2008000400004-scl","A test of Allen&#039;s rule in ectotherms: the case of two south American Melanopline Grasshoppers (Orthoptera: Acrididae) with partially overlapping geographic ranges","Bidau, Claudio J., Martí, Dardo A.","Neotropical Entomology; 37(4); 370-380","Neotropical Entomology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000400004&lang=pt" 
"S1517-97022008000200002-scl","Estudos sobre Pedagogia da Alternância no Brasil: revisão de literatura e perspectivas para a pesquisa","Teixeira, Edival Sebastião, Bernartt, Maria de Lourdes, Trindade, Glademir Alves","Educação e Pesquisa; 34(2); 227-242","Educação e Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022008000200002&lang=pt" 
"S1517-97022008000200006-scl","Entre o canto e a caneta: oralidade, escrita e conhecimento entre os Guarani Mbya","Testa, Adriana Queiroz","Educação e Pesquisa; 34(2); 291-307","Educação e Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022008000200006&lang=pt" 
"S1517-97022008000200007-scl","O papel da incerteza no planejamento de sistemas de educação a distância","Eliasquevici, Marianne Kogut, Prado Junior, Arnaldo Corrêa","Educação e Pesquisa; 34(2); 309-325","Educação e Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022008000200007&lang=pt" 
"S1517-97022008000200008-scl","Como se posicionam os professores perante a existência e utilização de jardins zoológicos e parques afins? Resultados de uma investigação","Almeida, António","Educação e Pesquisa; 34(2); 327-342","Educação e Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022008000200008&lang=pt" 
"S1517-97022008000200011-scl","Esboço do programa científico de uma sociologia psicológica","Lahire, Bernard","Educação e Pesquisa; 34(2); 373-389","Educação e Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022008000200011&lang=pt" 
"S1517-97022008000200009-scl","O processo de constituição histórica das diretrizes curriculares na formação de professores de Educação Física","Benites, Larissa Cerignoni, Souza Neto, Samuel de, Hunger, Dagmar","Educação e Pesquisa; 34(2); 343-360","Educação e Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022008000200009&lang=pt" 
"S1517-86922008000400002-scl","Nível de atividade física como estimador da aptidão física de estudantes universitários: explorando a adoção de questionário através de modelagem linear","Conte, Marcelo, Gonçalves, Aguinaldo, Chalita, Liciana Vaz de Arruda Silveira, Ramalho, Luiz Carlos de Barros","Revista Brasileira de Medicina do Esporte; 14(4); 332-336","Revista Brasileira de Medicina do Esporte","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922008000400002&lang=pt" 
"S1517-86922008000400003-scl","Metformina interage com o treinamento físico diminuindo a glicemia e aumentando o armazenamento de glicogênio em ratos diabéticos","Silva-Costa, Eunice da, Gonçalves, Antonio Ari, Brito, Isaura Jaqueline Lima, Silva, Carlos Alberto da","Revista Brasileira de Medicina do Esporte; 14(4); 337-340","Revista Brasileira de Medicina do Esporte","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922008000400003&lang=pt" 
"S1517-86922008000400005-scl","Reprodutibilidade no teste de uma repetição máxima no exercício de puxada pela frente para homens","Barros, Marcos André Pereira de, Sperandei, Sandro, Silveira Júnior, Paulo César Soter, Oliveira, Carlos Gomes de","Revista Brasileira de Medicina do Esporte; 14(4); 348-352","Revista Brasileira de Medicina do Esporte","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922008000400005&lang=pt" 
"S1517-86922008000400007-scl","Respostas de freqüência cardíaca, consumo de oxigênio e sensação subjetiva ao esforço em um exercício de hidroginástica executado por mulheres em diferentes situações com e sem o equipamento aquafins","Pinto, Stephanie Santana, Alberton, Cristine Lima, Figueiredo, Paulo André Poli de, Tiggemann, Carlos Leandro, Kruel, Luiz Fernando Martins","Revista Brasileira de Medicina do Esporte; 14(4); 357-361","Revista Brasileira de Medicina do Esporte","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922008000400007&lang=pt" 
"S1517-86922008000400009-scl","Respostas hormonais agudas a diferentes intensidades de exercícios resistidos em mulheres idosas","Oliveira, Ricardo Jacó de, Lima, Ricardo Moreno, Gentil, Paulo, Simões, Herbert Gustavo, Ávila, Waldney Roberto de Matos e, Silva, Rogério Wagner da, Silva, Francisco Martins da","Revista Brasileira de Medicina do Esporte; 14(4); 367-371","Revista Brasileira de Medicina do Esporte","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922008000400009&lang=pt" 
"S1517-86922008000400010-scl","Análise biomecânica dos efeitos da crioterapia no tratamento da lesão muscular aguda","Matheus, João Paulo Chieregato, Milani, Juliana Goulart Prata Oliveira, Gomide, Liana Barbaresco, Volpon, José Batista, Shimano, Antônio Carlos","Revista Brasileira de Medicina do Esporte; 14(4); 372-375","Revista Brasileira de Medicina do Esporte","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922008000400010&lang=pt" 
"S1517-86922008000400011-scl","Validação de equações antropométricas para a estimativa da massa muscular por meio de absortometria radiológica de dupla energia em universitários do sexo masculino","Gobbo, Luís Alberto, Cyrino, Edilson Serpeloni, Petroski, Édio Luiz, Cardoso, Jefferson Rosa, Carvalho, Ferdinando Oliveira, Romanzini, Marcelo, Avelar, Ademar","Revista Brasileira de Medicina do Esporte; 14(4); 376-380","Revista Brasileira de Medicina do Esporte","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922008000400011&lang=pt" 
"S1517-86922008000400013-scl","Dismorfia muscular: análise comparativa entre um critério antropométrico e um instrumento psicológico","Sardinha, Aline, Oliveira, Aldair José de, Araújo, Claudio Gil Soares de","Revista Brasileira de Medicina do Esporte; 14(4); 387-392","Revista Brasileira de Medicina do Esporte","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922008000400013&lang=pt" 
"S1517-86922008000400014-scl","Influência da forma de indução à acidose na determinação da intensidade de lactato mínimo em corredores de longa distância","Santhiago, Vanessa, Silva, Adelino Sanchez Ramos da, Guglielmo, Luiz Guilherme Antonacci, Higino, Wonder Passoni","Revista Brasileira de Medicina do Esporte; 14(4); 393-398","Revista Brasileira de Medicina do Esporte","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922008000400014&lang=pt" 
"S1517-86922008000400008-scl","Efeitos do laser de baixa potência sobre a dor e edema no trauma tendíneo de ratos","Bertolini, Gladson Ricardo Flor, Silva, Taciane Stein da, Ciena, Adriano Polican, Trindade, Danilo Lopes da","Revista Brasileira de Medicina do Esporte; 14(4); 362-366","Revista Brasileira de Medicina do Esporte","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922008000400008&lang=pt" 
"S0036-46652008000400009-scl","Dot-Elisa for evaluation of hydatid cyst wall, protoscoleces and hydatid cyst fluid antigens in the serodiagnosis of cystic echinococcosis","Swarna, S. R., Parija, Subhash Chandra","Revista do Instituto de Medicina Tropical de São Paulo; 50(4); 233-236","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652008000400009&lang=pt" 
"S0036-46652008000400010-scl","Correlation between specific IgM levels and percentage IgG-class antibody avidity to Toxoplasma gondii","Leite, Marcel, Siciliano, Sonia, Rocha, Lucia Silvieri A., Justa, Teresa R., César, Katia Regina, Granato, Celso F. H.","Revista do Instituto de Medicina Tropical de São Paulo; 50(4); 237-242","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652008000400010&lang=pt" 
"S1517-86922008000400004-scl","Mudanças no padrão temporal da EMG de músculos do tornozelo e pé pré e pós-aterrissagem em jogadores de voleibol com instabilidade funcional","Suda, Eneida Yuri, Cantuária, Anita Lopes, Sacco, Isabel de Camargo Neves","Revista Brasileira de Medicina do Esporte; 14(4); 341-347","Revista Brasileira de Medicina do Esporte","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922008000400004&lang=pt" 
"S1519-566X2008000400005-scl","What is the effect of soil use on ant communities?","Schmidt, Fernando A., Diehl, Elena","Neotropical Entomology; 37(4); 381-388","Neotropical Entomology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000400005&lang=pt" 
"S1517-97022008000200004-scl","Representações de estudantes universitários sobre alunos cotistas: confronto de valores","Menin, Maria Suzana De Stefano, Shimizu, Alessandra de Morais, Silva, Divino José da, Cioldi, Fabio Lorenzi, Buschini, Fabricio","Educação e Pesquisa; 34(2); 255-272","Educação e Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022008000200004&lang=pt" 
"S1517-97022008000200005-scl","Direito à Educação no Brasil e dívida educacional: e se o povo cobrasse?","Ferraro, Alceu Ravanello","Educação e Pesquisa; 34(2); 273-289","Educação e Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022008000200005&lang=pt" 
"S1561-30032008000200001-cub","El estudio de la eficiencia organizacional en los servicios estomatológicos cubanos, un llamado y una necesidad","Chaviano Moreno, Magalys, García Fariñas, Anai, Sánchez Delgado, Zoe","Revista Cubana de Higiene y Epidemiología; 46(2); -","Revista Cubana de Higiene y Epidemiología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032008000200001&lang=pt" 
"S1561-30032008000200002-cub","Respuesta a la crítica del artículo titulado &quot;Caracterización de los niños infectados y/o afectados por VIH/SIDA en Cuba en el 2004&quot;","Herrera Travieso, Delia Mercedes","Revista Cubana de Higiene y Epidemiología; 46(2); -","Revista Cubana de Higiene y Epidemiología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032008000200002&lang=pt" 
"S1561-30032008000200003-cub","Evaluación físico-química del agua de depósitos positivos a focos de Aedes aegypti","Sardiñas Peña, Olivia, García Melían, Maricel, Castillo, Ibian, Fernández Novo, Marta","Revista Cubana de Higiene y Epidemiología; 46(2); -","Revista Cubana de Higiene y Epidemiología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032008000200003&lang=pt" 
"S1561-30032008000200004-cub","Estimación de la contaminación sonora del tránsito en Ciudad de La Habana, 2006","Guzmán Piñeiro, Raisa, Barceló Pérez, Carlos","Revista Cubana de Higiene y Epidemiología; 46(2); -","Revista Cubana de Higiene y Epidemiología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032008000200004&lang=pt" 
"S1561-30032008000200005-cub","Potencial de efecto del ruido urbano en amas de casa de Ciudad de La Habana","Barceló Pérez, Carlos, Guzmán Piñeiro, Raisa","Revista Cubana de Higiene y Epidemiología; 46(2); -","Revista Cubana de Higiene y Epidemiología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032008000200005&lang=pt" 
"S1561-30032008000200006-cub","Casos de poliomielitis paralítica asociada a la vacuna oral antipoliomielítica en Cuba (1963-2006)","Más Lago, Pedro, Ferrer, Helenio, Goyenechea, Ángel, Galindo, Ángel, Sarmiento, Luis, Fonseca, Magilé, Morier, Luis, Palomera, Rosa","Revista Cubana de Higiene y Epidemiología; 46(2); -","Revista Cubana de Higiene y Epidemiología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032008000200006&lang=pt" 
"S1561-30032008000200007-cub","La formación de recursos humanos en alimentación y nutrición","Quintana, Ibrahin, Gómez, Amarilis, Rodríguez, Leandro, Rodríguez-Ojea, Arturo, Fernández, Rebeca","Revista Cubana de Higiene y Epidemiología; 46(2); -","Revista Cubana de Higiene y Epidemiología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032008000200007&lang=pt" 
"S1561-30032008000200008-cub","Naturaleza, severidad y situación actual de los desórdenes por deficiencia de yodo","Terry Berro, Blanca","Revista Cubana de Higiene y Epidemiología; 46(2); -","Revista Cubana de Higiene y Epidemiología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032008000200008&lang=pt" 
"S1561-30032008000200009-cub","Ciclos de mejoramiento de la calidad del diagnóstico de la tuberculosis baciloscópicamente negativa: algunas consideraciones para su aplicación","Armas Pérez, Luisa, Brooks Durruthy, Jorge, Bonne Carcacés, Miriam, González Ochoa, Edilberto","Revista Cubana de Higiene y Epidemiología; 46(2); -","Revista Cubana de Higiene y Epidemiología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032008000200009&lang=pt" 
"S1561-30032008000200010-cub","Consideraciones para la implementación de un sistema nacional de toma y envío de muestras biológicas","Fernández Llanes, Roberto Juvenal, Weng Alemán, Zulia","Revista Cubana de Higiene y Epidemiología; 46(2); -","Revista Cubana de Higiene y Epidemiología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032008000200010&lang=pt" 
"S1519-69842008000300010-scl","Seasonality of pathogenic fungi in mites of rubber tree plantations adjacent to fragments of Cerrado","Demite, PR., Feres, RJF.","Brazilian Journal of Biology; 68(3); 535-538","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300010&lang=pt" 
"S1519-69842008000300009-scl","Mathematical models for Isoptera (Insecta) mound growth","Buschini, MLT., Abuabara, MAP., Petrere-Jr, Miguel","Brazilian Journal of Biology; 68(3); 529-533","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300009&lang=pt" 
"S1519-69842008000300015-scl","Ion fluxes and hematological parameters of two teleosts from the Rio Negro, Amazon, exposed to hypoxia","Baldisserotto, B., Chippari-Gomes, AR., Lopes, NP., Bicudo, JEPW., Paula-Silva, MN., Almeida-Val, VMF., Val, AL.","Brazilian Journal of Biology; 68(3); 571-575","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300015&lang=pt" 
"S1519-69842008000300022-scl","Chemosystematics of the Rosiflorae","Castilho, RO., Kaplan, MAC.","Brazilian Journal of Biology; 68(3); 633-640","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300022&lang=pt" 
"S1519-69842008000300020-scl","Individual growth of Heleobia piscium in natural populations (Gastropoda: Cochliopidae) from the multiple use natural Reserve Isla Martin Garcia, Buenos Aires, Argentina","Martin, SM.","Brazilian Journal of Biology; 68(3); 617-621","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300020&lang=pt" 
"S1519-69842008000300019-scl","Pentastomids infecting an invader lizard, Hemidactylus mabouia (Gekkonidae) in northeastern Brazil","Anjos, LA., Almeida, WO., Vasconcellos, A., Freire, EMX., Rocha, CFD.","Brazilian Journal of Biology; 68(3); 611-615","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300019&lang=pt" 
"S1519-69842008000300023-scl","Influence of a 60 Hz, 3 µT, electromagnetic field on the somatic maturation of wistar rat offspring fed a regional basic diet during pregnancy","Anselmo, CWSF., Silva, TL., Holanda, TG., Prado, LVS., Cabral-Filho, JE., Catanho, MTJA., Medeiros, MC.","Brazilian Journal of Biology; 68(3); 641-648","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300023&lang=pt" 
"S1519-69842008000300029-scl","Rectification of description of Notodiaptomus spinuliferus, Dussart and Matsumura-Tundisi, 1986","Matsumura-Tundisi, T.","Brazilian Journal of Biology; 68(3); 683-684","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300029&lang=pt" 
"S1519-69842008000300013-scl","Can we predict dispersal guilds based on the leaf-height-seed scheme in a disjunct cerrado woodland?","Jardim, AVF., Batalha, MA.","Brazilian Journal of Biology; 68(3); 553-559","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300013&lang=pt" 
"S1517-97022008000200003-scl","Como incluir? O debate sobre o preconceito e o estigma na atualidade","Schilling, Flávia, Miyashiro, Sandra Galdino","Educação e Pesquisa; 34(2); 243-254","Educação e Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022008000200003&lang=pt" 
"S1517-97022008000200013-scl","Entrevista: depoimento de Jaime Cubero","Cubero, Jaime","Educação e Pesquisa; 34(2); 398-408","Educação e Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022008000200013&lang=pt" 
"S1413-99362008000200019-scl","Biblioteca como lugar de práticas culturais: uma discussão a partir dos currículos de Biblioteconomia no Brasil","Silveira, Fabrício José Nascimento da","Perspectivas em Ciência da Informação; 13(2); 243-244","Perspectivas em Ciência da Informação","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362008000200019&lang=pt" 
"S1413-99362008000200017-scl","A interação dos usuários da UFMG com o catálogo online do sistema pergamum","Oliveira, Carla Cristina Vieira de","Perspectivas em Ciência da Informação; 13(2); 241-241","Perspectivas em Ciência da Informação","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362008000200017&lang=pt" 
"S1413-99362008000200016-scl","(In)formação, um caminho para a participação política? Um estudo de caso sobre o Programa de Educação para a Cidadania da ALMG","Mangue, Denise Catarina Silva","Perspectivas em Ciência da Informação; 13(2); 240-240","Perspectivas em Ciência da Informação","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362008000200016&lang=pt" 
"S1413-99362008000200015-scl","Estudo das características de software e implementação de um software livre para o sistema de gerenciamento de bibliotecas universitárias federais brasileiras","Grossi, Márcia Gorett Ribeiro","Perspectivas em Ciência da Informação; 13(2); 238-239","Perspectivas em Ciência da Informação","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362008000200015&lang=pt" 
"S1413-99362008000200001-scl","Editorial","Neves, Jorge Tadeu de Ramos, Araújo, Carlos Alberto Ávila","Perspectivas em Ciência da Informação; 13(2); 1-1","Perspectivas em Ciência da Informação","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362008000200001&lang=pt" 
"S1413-99362008000200002-scl","Artigos de periódicos científicos das áreas de informação no Brasil: evolução da produção e da autoria múltipla","Vilan Filho, Jayme Leiro, Souza, Held Barbosa de, Mueller, Suzana","Perspectivas em Ciência da Informação; 13(2); 2-17","Perspectivas em Ciência da Informação","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362008000200002&lang=pt" 
"S1413-99362008000200007-scl","Informação e conhecimento: uma abordagem dos sistemas de recuperação de informações a partir das interações sociais","Martins, Ronaldo Pereira","Perspectivas em Ciência da Informação; 13(2); 77-87","Perspectivas em Ciência da Informação","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362008000200007&lang=pt" 
"S1413-99362008000200004-scl","Uma metodologia para análise da performance de periódicos","Rummler, Guido","Perspectivas em Ciência da Informação; 13(2); 32-42","Perspectivas em Ciência da Informação","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362008000200004&lang=pt" 
"S1413-99362008000200010-scl","Uma análise da metodologia Just-In-Time e do sistema Kanban de produção sob o enfoque da ciência da informação","Guimarães, Lúcia Filomena de Almeida, Falsarella, Orandi Mina","Perspectivas em Ciência da Informação; 13(2); 130-147","Perspectivas em Ciência da Informação","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362008000200010&lang=pt" 
"S1413-99362008000200014-scl","As bibliotecas dos jesuítas: uma visão a partir da obra de Serafim Leite","Silva, Luiz Antonio Gonçalves da","Perspectivas em Ciência da Informação; 13(2); 219-237","Perspectivas em Ciência da Informação","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362008000200014&lang=pt" 
"S1413-99362008000200018-scl","Informação para o monitoramento da convenção dos direitos da criança: a atuação da rede NGO Group","Quintão, Paula Gomes","Perspectivas em Ciência da Informação; 13(2); 242-242","Perspectivas em Ciência da Informação","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362008000200018&lang=pt" 
"S0100-736X2008000800004-scl","Estudo crítico do tratamento de 196 casos de fratura diafisária de rádio e ulna em cães","Ferrigno, Cássio Ricardo Auada, Schmaedecke, Alexandre, Patané, Christian, Baccarin, Daniel Castelo Branco, Silveira, Lucia Maria Gedes","Pesquisa Veterinária Brasileira; 28(8); 371-374","Pesquisa Veterinária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2008000800004&lang=pt" 
"S0100-736X2008000800003-scl","Uso da 99mTc-Timina na identificação de metástases de tumor venéreo transmissível canino com apresentação cutânea","Castelo-Branco, Paulo S.M., Souza, Sergio A. Lopes de, Lopes, Flávia P.P. Lobo, Castro, Verônica, Sena, Priscila, Pereira, João Batista, Fonseca, Lea M. Barbosa da, Gutfilen, Bianca","Pesquisa Veterinária Brasileira; 28(8); 367-370","Pesquisa Veterinária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2008000800003&lang=pt" 
"S0100-736X2008000800007-scl","Pênfigo foliáceo canino: estudo retrospectivo de 43 casos clínicos e terapia (2000-2005)","Balda, Ana C., Ikeda, Mary O., Larsson Junior, Carlos E., Michalany, Nílceo S., Larsson, Carlos E.","Pesquisa Veterinária Brasileira; 28(8); 387-392","Pesquisa Veterinária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2008000800007&lang=pt" 
"S1519-69842008000300003-scl","Do the seasonal forests in northeastern Brazil represent a single floristic unit?","Rodal, MJN., Barbosa, MRV., Thomas, WW.","Brazilian Journal of Biology; 68(3); 467-475","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300003&lang=pt" 
"S1519-69842008000300004-scl","Phytoplankton community and physical-chemical characteristics of water in the public reservoir of Cruzeta, RN, Brazil","Chellappa, NT., Borba, JM., Rocha, O.","Brazilian Journal of Biology; 68(3); 477-494","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300004&lang=pt" 
"S1519-69842008000300005-scl","A year in a Cerrado wet grassland: a non-seasonal island in a seasonal savanna environment","Cianciaruso, MV., Batalha, MA.","Brazilian Journal of Biology; 68(3); 495-501","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300005&lang=pt" 
"S1519-69842008000300006-scl","Characterization of habitats based on algal periphyton biomass in the upper Paraná River floodplain, Brazil","Leandrini, JA., Fonseca, IA., Rodrigues, L.","Brazilian Journal of Biology; 68(3); 503-509","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300006&lang=pt" 
"S1519-69842008000300007-scl","Bird mixed-flocks and nuclear species in a tecoma savanna in the Pantanal","Amaral, PP., Ragusa-Netto, J.","Brazilian Journal of Biology; 68(3); 511-518","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300007&lang=pt" 
"S1519-69842008000300008-scl","Patterns of prey selection of Trypoxylon (Trypargilum) lactitarse Saussure (Hymenoptera: Crabronidae) in southern Brazil","Buschini, MLT., Borba, NA., Brescovit, AD.","Brazilian Journal of Biology; 68(3); 519-528","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300008&lang=pt" 
"S1519-69842008000300011-scl","Effects of a fire on a population of treefrogs (Scinax cf. alter, Lutz) in a restinga habitat in southern Brazil","Rocha, CFD., Ariani, CV., Menezes, VA., Vrcibradic, D.","Brazilian Journal of Biology; 68(3); 539-543","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300011&lang=pt" 
"S1519-69842008000300012-scl","Cetacean diversity on the Parnaiba Delta, Maranhão state, northeastern Brazil","Magalhães, FA., Tosi, CH., Garri, RG., Chellappa, S., Silva, FL.","Brazilian Journal of Biology; 68(3); 545-551","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300012&lang=pt" 
"S1519-69842008000300016-scl","Filamentous fungi isolated from sand and water of &quot;Bairro Novo&quot; and &quot;Casa Caiada&quot; beaches, Olinda, Pernambuco, Brazil","Gomes, DNF., Cavalcanti, MAQ., Fernandes, MJS., Lima, DMM., Passavante, JZO.","Brazilian Journal of Biology; 68(3); 577-582","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300016&lang=pt" 
"S1519-69842008000300017-scl","The brain of the common vampire bat, Desmodus rotundus murinus (Wagner, 1840): a cytoarchitectural atlas","Bhatnagar, KP.","Brazilian Journal of Biology; 68(3); 583-599","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300017&lang=pt" 
"S1519-69842008000300024-scl","Bipedal locomotion in Tropidurus torquatus (Wied, 1820) and Liolaemus lutzae Mertens, 1938","Rocha-Barbosa, O., Loguercio, MFC., Velloso, ALR., Bonates, ACC.","Brazilian Journal of Biology; 68(3); 649-655","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300024&lang=pt" 
"S1519-69842008000300025-scl","Haematological changes in Nile tilapia experimentally infected with Enterococcus sp.","Martins, ML., Mouriño, JLP., Amaral, GV., Vieira, FN., Dotta, G., Jatobá, AMB., Pedrotti, FS., Jerônimo, GT., Buglione-Neto, CC., Pereira-Jr., G.","Brazilian Journal of Biology; 68(3); 657-661","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300025&lang=pt" 
