"S1852-38622009000300003-arg","Insuficiencia cardíaca y diabetes: Una combinación de alto riesgo","Botta, Cristian E","Insuficiencia cardíaca; 4(3); 107-113","Insuficiencia cardíaca","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622009000300003&lang=pt" 
"S1561-31942009000300004-cub","Conocimientos de los internos de medicina sobre el programa del diagnóstico prenatal de malformaciones congénitas","Hidalgo Musa, Mairyn, Paredes, Analiz de Paula, Musa Rodríguez, Miriam, Reyes Llanes, Mabel, González Martínez, Marlén","Revista de Ciencias Médicas de Pinar del Río; 13(3); 29-38","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942009000300004&lang=pt" 
"S1561-31942009000300015-cub","EDITORIAL","Pérez Labrador, Joaquín","Revista de Ciencias Médicas de Pinar del Río; 13(3); 100-101","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942009000300015&lang=pt" 
"S1690-75152009000300007-ven","La dimensión estética del poder mediático","González, Ximena","Enlace; 6(3); 97-104","Enlace","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-75152009000300007&lang=pt" 
"S1690-75152009000300006-ven","¿Son los medios interactivos una alternativa a los filmes etnográficos?","Ruby, Jay","Enlace; 6(3); 81-93","Enlace","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-75152009000300006&lang=pt" 
"S1690-75152009000300005-ven","La semiótica de Lotman como teoría del conocimiento","Mosquera, Alexander","Enlace; 6(3); 63-78","Enlace","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-75152009000300005&lang=pt" 
"S1690-75152009000300003-ven","Perfil UML para el modelado visual de requisitos difusos","Rodríguez, Rosseline, Goncalves, Marlene","Enlace; 6(3); 29-46","Enlace","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-75152009000300003&lang=pt" 
"S1690-75152009000300002-ven","Proceso dirigido por objetivos para análisis de dominio bajo estándares de calidad","Losavio, Francisca, Matteo, Alfredo, Pacilli, Irma","Enlace; 6(3); 11-28","Enlace","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-75152009000300002&lang=pt" 
"S1690-75152009000300001-ven","","","Enlace; 6(3); 07-08","Enlace","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-75152009000300001&lang=pt" 
"S1690-75152009000300009-ven","In memoriam: Claude Levi-Strauss","Andrade, Gabriel","Enlace; 6(3); 111-113","Enlace","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-75152009000300009&lang=pt" 
"S1690-75152009000300008-ven","Las máscaras de un mito: Claude Lévi-Strauss","Márquez Fernández, Álvaro B","Enlace; 6(3); 107-109","Enlace","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-75152009000300008&lang=pt" 
"S1690-75152009000300010-ven","La muerte de la igualdad","Castro Aniyar, Daniel","Enlace; 6(3); 115-116","Enlace","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-75152009000300010&lang=pt" 
"S0568-25172009000300001-mex","Mejor predictor lineal e insesgado familiar de aptitud combinatoria general en experimentos parciales de cruzas dialélicas con efectos maternos","Montesinos-López, Osval Antonio, Mastache-Agunas, Ángel Agustín, Luna-Spinoza, Ignacio, Hernández-Suárez, Carlos Moisés, Hernández-Lira, Guadalupe","Agricultura técnica en México; 35(3); 245-256","Agricultura técnica en México","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172009000300001&lang=pt" 
"S0568-25172009000300010-mex","Áreas prioritarias para colectar germoplasma de (Crataegus L.) en México con base en la diversidad y riqueza de especies","Alberto Núñez-Colín, Carlos","Agricultura técnica en México; 35(3); 333-338","Agricultura técnica en México","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172009000300010&lang=pt" 
"S0568-25172009000300011-mex","Amarre, rendimiento y calidad del fruto en naranja con aplicación de un complejo hormonal","Galván-Luna, Juan José, Briones-Encinia, Florencio, Rivera-Ortiz, Patricio, Valdes-Aguilar, Luis Alonso, Soto-Hernández, Marcos, Rodríguez-Alcázar, Jorge, Salazar-Salazar, Ovidio","Agricultura técnica en México; 35(3); 339-345","Agricultura técnica en México","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172009000300011&lang=pt" 
"S0568-25172009000300012-mex","Características de calidad de frutos de papaya maradol en la madurez de consumo","Santamaría Basulto, Felipe, Díaz Plaza, Raúl, Sauri Duch, Enrique, Espadas y Gil, Francisco, Santamaría Fernández, Jorge Manuel, Larqué Saavedra, Alfonso","Agricultura técnica en México; 35(3); 347-353","Agricultura técnica en México","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172009000300012&lang=pt" 
"S0568-25172009000300013-mex","Negro Grijalva, nuevo cultivar de frijol para el trópico húmedo de México","Villar Sánchez, Bernardo, López Salinas, Ernesto, Tosquy Valle, Oscar Hugo","Agricultura técnica en México; 35(3); 355-358","Agricultura técnica en México","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172009000300013&lang=pt" 
"S0568-25172009000300002-mex","Calidad de semilla en colectas de chile de agua (Capsicum annuum L.) de los Valles Centrales de Oaxaca, México","Carrillo, Erik Pablo, Mejía Contreras, José Apolinar, Carballo Carballo, Aquiles, García de los Santos, Gabino, Aguilar Rincón, Víctor Heber, Corona Torres, Tarsicio","Agricultura técnica en México; 35(3); 257-266","Agricultura técnica en México","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172009000300002&lang=pt" 
"S0568-25172009000300003-mex","Distribución espacial del pH de los suelos agrícolas de Zapopan, Jalisco, México","Ibarra Castillo, Daniel, Ruiz Corral, José Ariel, González Eguiarte, Diego Raymundo, Flores Garnica, José Germán, Díaz Padilla, Gabriel","Agricultura técnica en México; 35(3); 267-276","Agricultura técnica en México","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172009000300003&lang=pt" 
"S0568-25172009000300004-mex","Biological nitrogen fixation and tuber yield of yam bean in central Mexico","Zaragoza Castellanos-Ramos, Javier, Acosta-Gallegos, Jorge Alberto, Rodríguez Orozco, Norberto, Muñoz-Ramos, José Jesús","Agricultura técnica en México; 35(3); 277-283","Agricultura técnica en México","Inglês","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172009000300004&lang=pt" 
"S0568-25172009000300005-mex","Aptitud combinatoria y efectos recíprocos en líneas endogámicas de maíz de Valles Altos del centro de México","Avila Perches, Miguel Angel, Rodríguez Herrera, Sergio Alfredo, Vázquez Badillo, Mario Ernesto, Borrego Escalante, Fernando, Lozano del Río, Alejandro Javier, López Benítez, Alfonso","Agricultura técnica en México; 35(3); 285-293","Agricultura técnica en México","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172009000300005&lang=pt" 
"S0568-25172009000300006-mex","Rendimiento de grano y forraje en híbridos de maíz y su generación avanzada F2","Gaytán-Bautista, Rodolfo, Martínez-Gómez, Ma. Isabel, Mayek-Pérez, Netzahualcóyotl","Agricultura técnica en México; 35(3); 295-304","Agricultura técnica en México","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172009000300006&lang=pt" 
"S0568-25172009000300007-mex","Aspectos técnicos y caracterización del productor de durazno en el Estado de México, México","Larqué Saavedra, Bertha Sofía, Sangerman-Jarquín, Dora Ma., Ramírez Valverde, Benito, Navarro Bravo, Agustín, Serrano Flores, María Elena","Agricultura técnica en México; 35(3); 305-313","Agricultura técnica en México","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172009000300007&lang=pt" 
"S0568-25172009000300008-mex","Caracterización de selecciones de guayaba para el Bajío de Guanajuato, México","Mondragón Jacobo, Candelario, Toriz Ahumada, Luis Miguel, Guzmán Maldonado, Salvador Horacio","Agricultura técnica en México; 35(3); 315-322","Agricultura técnica en México","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172009000300008&lang=pt" 
"S0568-25172009000300009-mex","Genetic differences between Anastrepha ludens (Loew) populations stemming from a native and an exotic host in NE Mexico","Pecina Quintero, Víctor, López Arroyo, José Isabel, Loera Gallardo, Jesús, Rull, Juan, Rosales Robles, Enrique, Cortez Mondaca, Edgardo, Hernández Delgado, Sanjuana, Mayek Perez, Netzahualcóyotl, Aluja Schuneman, Martín","Agricultura técnica en México; 35(3); 323-331","Agricultura técnica en México","Inglês","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172009000300009&lang=pt" 
"S0102-67202009000300005-scl","Fatores prognósticos nas gastrectomias com linfadenectomia D2 por adenocarcinoma gástrico","Castro, Osvaldo Antonio Prado, Malheiros, Carlos Alberto, Rodrigues, Francisco César Martins, Ilias, Elias Jirjoss, Kassab, Paulo","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(3); 158-164","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000300005&lang=pt" 
"S0102-67202009000300011-scl","Textiloma simulando tumor de cólon e mesentério, assintomático durante 40 anos","Mafalda, Leandro Gonçalves, Caitano, Mario José Calefi, Magioni, Felipe Mérlo, Mayer, Danúbia Hoffmann, Fonseca, Claúdio Medina da, Kalil, Mitre","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(3); 186-187","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000300011&lang=pt" 
"S0102-67202009000300008-scl","Rotura hepática espontânea na síndrome HELLP","Freitas, Alexandre Coutinho Teixeira de, Schulz, Gustavo, Mori, Rafael, Coelho, Julio Cezar Uili","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(3); 179-180","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000300008&lang=pt" 
"S0102-67202009000300009-scl","Transplante hepático em paciente soropositivo para o HIV","Freitas, Alexandre Coutinho Teixeira de, Sobottka, Wagner, Parolin, Mônica Beatriz, Matias, Jorge Eduardo Fouto, Coelho, Júlio Cezar Uili","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(3); 181-182","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000300009&lang=pt" 
"S0101-28002009000300011-scl","Fístula arteriovenosa pós-nefrolitotripsia percutânea","Peres, Luis Alberto Batista, Bader, Sérgio Luiz, Biela, Rubia Bethania, Liberali, Gabriela Bonissoni","Jornal Brasileiro de Nefrologia; 31(3); 232-234","Jornal Brasileiro de Nefrologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002009000300011&lang=pt" 
"S0101-28002009000300004-scl","Sobrevida em hemodiálise crônica: estudo de uma coorte de 1.009 pacientes em 25 anos","Silva, Luiz Alberto Michet da, Mezzomo, Nereu Francisco, Pansard, Henry Mor, Arantes, Luiz Cláudio, Rempel, Werner, Argenta, Laércio Cassol, Rodrigues, Arnaldo Teixeira, Cauduro, Rafael Lampert, Silva, Daniel Melchiades da, Konopka, Clóvis Luís, Weber, Elton Luíz, Burg, Geni, Trevisan, Clara Maria, Pauletto, Macilene Regina, Portela, Odete Teresinha, Cordenuzzi, Onélia Costa, Rist, Juliana Peres, Timm, Arlete Maria, Mezomo, Carina Vendrusculo, Moreira, Priscila Kanheski, Santos, Ana Lucia","Jornal Brasileiro de Nefrologia; 31(3); 190-197","Jornal Brasileiro de Nefrologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002009000300004&lang=pt" 
"S0101-28002009000300005-scl","A dimensão educativa da equipe de nefrologia na promoção de saúde bucal de crianças e adolescentes portadores de doença renal crônica","Gonçalves, Glaucia Athayde, Martins, Carla, Tura, Luiz Fernando Rangel, Primo, Laura Guimarães","Jornal Brasileiro de Nefrologia; 31(3); 198-205","Jornal Brasileiro de Nefrologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002009000300005&lang=pt" 
"S0101-28002009000300010-scl","Trombólise tardia e espontânea de artéria renal sem comprometimento funcional","Pinho, Claudio, Pott Junior, Henrique","Jornal Brasileiro de Nefrologia; 31(3); 228-231","Jornal Brasileiro de Nefrologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002009000300010&lang=pt" 
"S0101-28002009000300008-scl","Diálise peritoneal (DP) como tratamento da insuficiência cardíaca congestiva (ICC) em pacientes com doença renal crônica estágio IV","Prompt, Carlos Alberto, Almeida, Rafael de, Clausel, Nadine, Biolo, Andréa, Bercht, Fábio, Oliveira, Jerônimo D. C., Almeida, Eduardo D., Pribbernow, Suzane","Jornal Brasileiro de Nefrologia; 31(3); 220-222","Jornal Brasileiro de Nefrologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002009000300008&lang=pt" 
"S0101-28002009000300009-scl","Insuficiência renal aguda secundária à sarcoidose","Pádua Netto, Marcus Vinícius de, Lima, Henrique Vieira de, Borges, Ana Paula de Souza, Santos, Eduardo Moreira dos, Costa, Émerson Nunes, Pádua Netto, Luiz Cláudio","Jornal Brasileiro de Nefrologia; 31(3); 223-227","Jornal Brasileiro de Nefrologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002009000300009&lang=pt" 
"S0101-28002009000300012-scl","Fisioterapia intradialítica na reabilitação do doente renal crônico","Seixas, Raquel Jeanty de, Giacomazzi, Cristiane Mecca, Figueiredo, Ana Elizabeth Prado Lima","Jornal Brasileiro de Nefrologia; 31(3); 235-236","Jornal Brasileiro de Nefrologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002009000300012&lang=pt" 
"S0101-28002009000300001-scl","Abordagem clínica da oligúria","Silva, Verônica Torres da Costa e, Yu, Luis","Jornal Brasileiro de Nefrologia; 31(3); 173-174","Jornal Brasileiro de Nefrologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002009000300001&lang=pt" 
"S0102-67202009000300001-scl","Análise de custos entre a raquianestesia e a anestesia venosa com propofol associada ao bloqueio perianal local em operações anorretais","Kotze, Paulo Gustavo, Freitas, Cristiano Denoni, Steckert, Juliana Stradiotto, Martins, Juliana Ferreira, Sobrado-Junior, Carlos Walter, Von Bahten, Luiz Carlos, Tambara, Elisabeth Mila","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(3); 137-142","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000300001&lang=pt" 
"S0102-67202009000300002-scl","Risco nutricional no período pré-operatório","Leandro-Merhi, Vânia Aparecida, Aquino, José Luis Braga de, Chagas, José Francisco Sales","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(3); 143-146","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000300002&lang=pt" 
"S0102-67202009000300003-scl","Tubo gástrico isoperistáltico de grande curvatura gástrica com sutura mecânica no tratamento cirúrgico do câncer de esôfago irressecável","Aquino, José Luis Braga de, Said, Marcelo, Brandi, Luis Antonio, Oliveira, Jean Marc Vinagre Prado de, Maziero, Diana, Merhi, Vânia Leandro","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(3); 147-152","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000300003&lang=pt" 
"S0102-67202009000300004-scl","Estudo da correlação do IMC e comprimento do intestino delgado em pacientes obesos submetidos à cirurgia bariátrica","Nassif, Paulo Afonso Nunes, Malafaia, Osvaldo, Ribas, Carmen Australia Paredes Marcondes, Pachnicki, Jan Pawel Andrade, Kume, Márcio Hiroaki, Macedo, Larissa Maria, Rikimaru, Tiele Assis","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(3); 153-157","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000300004&lang=pt" 
"S0102-67202009000300006-scl","Alterações nos parâmetros pré e pós-operatórios de pacientes com síndrome metabólica, submetidos a Bypass gastrointestinal em Y de Roux","Nassif, Paulo Afonso Nunes, Lopes, Andre Donato, Lopes, Gabriel Lima, Martins, Priscila Reis, Pedri, Lucas Eduardo, Varaschim, Michelle, Bopp, Denise Serpa","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(3); 165-170","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000300006&lang=pt" 
"S0102-67202009000300007-scl","Uso de fator VII recombinante ativado para tratamento e profilaxia de grandes sangramentos","Vince, Flávio Augusto Henriques, Brandão, Maria José Nascimento","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(3); 171-178","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000300007&lang=pt" 
"S0101-28002009000300002-scl","Efeito de uma sessão de hemodiálise sobre o estresse oxidativo sistêmico de pacientes renais crônicos terminais","Bianchi, Patrícia Dall&#039;Agnol, Barp, Jaqueline, Thomé, Fernando Saldanha, Belló-Klein, Adriane","Jornal Brasileiro de Nefrologia; 31(3); 175-182","Jornal Brasileiro de Nefrologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002009000300002&lang=pt" 
"S0101-28002009000300003-scl","Insuficiência renal aguda nefrotóxica: prevalência, evolução clínica e desfecho","Pinto, Patrícia S., Carminatti, Moisés, Lacet, Thiago, Rodrigues, Dominique F., Nogueira, Luiza O., Bastos, Marcus G., Fernandes, Natália","Jornal Brasileiro de Nefrologia; 31(3); 183-189","Jornal Brasileiro de Nefrologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002009000300003&lang=pt" 
"S0101-28002009000300006-scl","Estudo prospectivo observacional sobre a incidência de injúria renal aguda em unidade de terapia intensiva de um hospital universitário","Santos, Nara Yamane dos, Zorzenon, Caroline de Pietro Franco, Araújo, Márcio Fernando de, Balbi, André Luís, Ponce, Daniela","Jornal Brasileiro de Nefrologia; 31(3); 206-211","Jornal Brasileiro de Nefrologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002009000300006&lang=pt" 
"S0101-28002009000300007-scl","Tecnologia da informação em nefrologia","Santos, Marcos Vinícius Ribeiro dos, Novaes, Magdala de Araújo, Coelho, Sandra Teresa de Souza Neiva, Barbosa Júnior, Severino de Souza","Jornal Brasileiro de Nefrologia; 31(3); 212-219","Jornal Brasileiro de Nefrologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002009000300007&lang=pt" 
"S0034-74932009000300009-cub","Perfil profesional del cirujano general: Professional profile","Hernández Varea, José Antonio, de la Concepción de la Peña, Ada Hilda, Soberón Varela, Iris","Revista Cubana de Cirugía; 48(3); -","Revista Cubana de Cirugía","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-74932009000300009&lang=pt" 
"S0034-74932009000300001-cub","Aplicación del índice pronóstico AGES para el tratamiento del carcinoma bien diferenciado de la tiroides","Sosa Martín, Gimel, Morales Portuondo, Kelvis, Martínez Valenzuela, Noslen","Revista Cubana de Cirugía; 48(3); -","Revista Cubana de Cirugía","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-74932009000300001&lang=pt" 
"S0034-74932009000300002-cub","La recidiva tumoral en la reconstrucción nasal oncológica","Gálvez Chávez, Julio César, Sánchez Wals, Lenia, Monzón Fernández, Abel Nicolás, Morales Tirado, Roxana","Revista Cubana de Cirugía; 48(3); -","Revista Cubana de Cirugía","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-74932009000300002&lang=pt" 
"S0034-74932009000300003-cub","Uso de la antibioticoterapia perioperatoria en la apendicitis aguda: Use of perioperative antibiotic therapy","Sosa Martín, Gimel, Martínez Valenzuela, Noslen, Morales Portuondo, Kelvis","Revista Cubana de Cirugía; 48(3); -","Revista Cubana de Cirugía","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-74932009000300003&lang=pt" 
"S0034-74932009000300004-cub","Consideraciones actuales sobre el diagnóstico de la apendicitis aguda: Current criteria","Rodríguez Fernández, Zenén","Revista Cubana de Cirugía; 48(3); -","Revista Cubana de Cirugía","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-74932009000300004&lang=pt" 
"S0034-74932009000300005-cub","Informe preliminar sobre sutura primaria en heridas de colon izquierdo","Pinilla González, Rafael, López Lazo, Sarah, Quintana Díaz, Juan Carlos, González Rivera, Armando, Maestre Marques, Hilario","Revista Cubana de Cirugía; 48(3); -","Revista Cubana de Cirugía","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-74932009000300005&lang=pt" 
"S0034-74932009000300006-cub","Comportamiento de la resistencia antimicrobiana de gérmenes aislados en heridas por quemaduras","Pérez Hera, Frank, Camejo Darías, Liena, Rojas Sifontes, Eduardo","Revista Cubana de Cirugía; 48(3); -","Revista Cubana de Cirugía","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-74932009000300006&lang=pt" 
"S0034-74932009000300010-cub","Infecciones necrotizantes de partes blandas","Valera Mena, Rafael","Revista Cubana de Cirugía; 48(3); -","Revista Cubana de Cirugía","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-74932009000300010&lang=pt" 
"S0034-74932009000300007-cub","Aganglionosis del recto en el adulto","Lorenzo Rodríguez, Tulio, Ferreira Moreno, Víctor, Martí Coruña, María","Revista Cubana de Cirugía; 48(3); -","Revista Cubana de Cirugía","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-74932009000300007&lang=pt" 
"S0034-74932009000300008-cub","Liposarcoma mediastínico metastásico","Vázquez González, José Manuel, Danta Fundora, Debora, Collado Otero, Juan Carlos, Paredes López, Dagmar","Revista Cubana de Cirugía; 48(3); -","Revista Cubana de Cirugía","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-74932009000300008&lang=pt" 
"S1729-519X2009000300001-cub","DESARROLLO DEL PROCESO DOCENTE EDUCATIVO DE LAS CARRERAS DE CIENCIAS MEDICAS EN CIUDAD DE LA HABANA","","Revista Habanera de Ciencias Médicas; 8(3); -","Revista Habanera de Ciencias Médicas","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2009000300001&lang=pt" 
"S1729-519X2009000300002-cub","ABORDAJE HISTORICO DE LA PSICOLOGIA DE LA VEJEZ","Villanueva Claro, Mercedes","Revista Habanera de Ciencias Médicas; 8(3); -","Revista Habanera de Ciencias Médicas","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2009000300002&lang=pt" 
"S1729-519X2009000300005-cub","AUTOEXAMEN DE MAMA: UN IMPORTANTE INSTRUMENTO DE PREVENCIÓN DEL CANCER DE MAMA EN ATENCION PRIMARIA DE SALUD","Sardiñas Ponce, Raysy","Revista Habanera de Ciencias Médicas; 8(3); -","Revista Habanera de Ciencias Médicas","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2009000300005&lang=pt" 
"S1729-519X2009000300006-cub","ACALASIA Y EMBARAZO: PRESENTACION DE UN CASO","Sáez Cantero, Viviana, Pérez Hernández, María Teresa, Daudinot Cos, Carlos E, Molina, Carmen Rosa, Vázquez Elizalde, Cira, Fernández Braojos, Liliam S","Revista Habanera de Ciencias Médicas; 8(3); -","Revista Habanera de Ciencias Médicas","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2009000300006&lang=pt" 
"S1729-519X2009000300007-cub","ANOMALIAS DEL TRACTO URINARIO DETECTADAS PRENATALMENTE: CONDUCTA DIAGNOSTICA POSTNATAL","Marrero García, Yamilé, Durán Alvarez, Sandalio, Calviac Mendoza, Rosario","Revista Habanera de Ciencias Médicas; 8(3); -","Revista Habanera de Ciencias Médicas","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2009000300007&lang=pt" 
"S1729-519X2009000300008-cub","PROPUESTA DE CLASIFICACION PARA LOS DIAGNOSTICADORES POR CATEGORIAS DE RIESGO","Rodríguez Oropesa, Kenia María, Morejón Campa, Manuel, Suárez Román, Gipsis","Revista Habanera de Ciencias Médicas; 8(3); -","Revista Habanera de Ciencias Médicas","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2009000300008&lang=pt" 
"S1729-519X2009000300009-cub","LA VIOLENCIA DOMESTICA: SU IMPACTO EN LA SALUD REPRODUCTIVA","Diago Caballero, Dalis, Salabarría Fernández, Margarita, Torriente Barzaga, Norberto","Revista Habanera de Ciencias Médicas; 8(3); -","Revista Habanera de Ciencias Médicas","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2009000300009&lang=pt" 
"S1729-519X2009000300010-cub","EPISTAXIS SEVERA EN GESTANTE DE 37 SEMANAS","Alcalá Villalón, Tamara, Montero Torres, Francisco, Castellanos Batista, Adria, Marín González, Elsa Cecilia","Revista Habanera de Ciencias Médicas; 8(3); -","Revista Habanera de Ciencias Médicas","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2009000300010&lang=pt" 
"S1729-519X2009000300011-cub","Sexualidad en la Tercera Edad: Una mirada desde adentro","Valdés Vázquez, María del Carmen, Hernández Esterlin, Yudit","Revista Habanera de Ciencias Médicas; 8(3); -","Revista Habanera de Ciencias Médicas","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2009000300011&lang=pt" 
"S1729-519X2009000300012-cub","REINTERVENCIONES EN CIRUGIA MINIMAMENTE INVASIVA","Roque González, Rosalba, Faife Faire, Bárbara, Pereira Fraga, Jorge Gerardo, López Milhet, Ana Bertha","Revista Habanera de Ciencias Médicas; 8(3); -","Revista Habanera de Ciencias Médicas","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2009000300012&lang=pt" 
