"S1517-97022007000200002-scl","Vãs querelas e verdadeiros objetivos do ensino da literatura na França","Verrier, Jean","Educação e Pesquisa; 33(2); 207-213","Educação e Pesquisa","Francês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022007000200002&lang=pt" 
"S0100-204X2007000800002-scl","Sobrevivência em viveiro de mudas de espécies nativas retiradas da regeneração natural de remanescente florestal","Viani, Ricardo Augusto Gorne, Rodrigues, Ricardo Ribeiro","Pesquisa Agropecuária Brasileira; 42(8); 1067-1075","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000800002&lang=pt" 
"S0100-204X2007000800004-scl","Redução dos sintomas causados pela Xylella fastidiosa subsp. pauca por meio de aplicação de benzotiadiazole e silício","Martinati, Juliana Camargo, Lacava, Paulo Teixeira, Miyasawa, Sandra Kazue Shishido, Guzzo, Sylvia Dias, Azevedo, João Lúcio, Tsai, Siu Mui","Pesquisa Agropecuária Brasileira; 42(8); 1083-1089","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000800004&lang=pt" 
"S0100-204X2007000800005-scl","Aparecimento de folhas em mudas de eucalipto estimado por dois modelos","Martins, Fabrina Bolzan, Streck, Nereu Augusto","Pesquisa Agropecuária Brasileira; 42(8); 1091-1100","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000800005&lang=pt" 
"S0100-204X2007000800006-scl","Variabilidade espacial e temporal da produtividade de culturas sob sistema plantio direto","Amado, Telmo Jorge Carneiro, Pontelli, Charles Bolson, Santi, Antônio Luís, Viana, João Herbert Moreira, Sulzbach, Luciano Augusto de Souza","Pesquisa Agropecuária Brasileira; 42(8); 1101-1110","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000800006&lang=pt" 
"S0100-204X2007000800007-scl","Adubação nitrogenada na implantação e na formação de pomares de caramboleira","Leal, Renata Moreira, Natale, William, Prado, Renato de Mello, Zaccaro, Ronaldo Pozella","Pesquisa Agropecuária Brasileira; 42(8); 1111-1119","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000800007&lang=pt" 
"S0100-204X2007000800008-scl","Caracterização morfoagronômica e coeficientes de trilha de caracteres componentes da produção em mandioca","Gomes, Carlos Nick, Carvalho, Samuel Pereira de, Jesus, Adriana Madeira Santos, Custódio, Telde Natel","Pesquisa Agropecuária Brasileira; 42(8); 1121-1130","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000800008&lang=pt" 
"S0100-204X2007000800009-scl","Diversidade genética de Litopenaeus vannamei cultivado na Bahia","Magalhães, Marcelo, Martinez, Romari Alejandra, Gaiotto, Fernanda Amato","Pesquisa Agropecuária Brasileira; 42(8); 1131-1136","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000800009&lang=pt" 
"S0100-204X2007000800010-scl","Marcadores microssatélites relacionados com a resistência à vassoura-de-bruxa do cacaueiro","Santos, Rogério Mercês Ferreira, Lopes, Uilson Vanderlei, Bahia, Rita de Cássia, Machado, Regina Celle Rebouças, Ahnert, Dário, Corrêa, Ronan Xavier","Pesquisa Agropecuária Brasileira; 42(8); 1137-1142","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000800010&lang=pt" 
"S0100-204X2007000800011-scl","Validation of microsatellite markers for assisted selection of soybean resistance to cyst nematode races 3 and 14","Silva, Marcia Flores da, Schuster, Ivan, Silva, João Flávio Veloso da, Ferreira, Adésio, Barros, Everaldo Gonçalves de, Moreira, Maurilio Alves","Pesquisa Agropecuária Brasileira; 42(8); 1143-1150","Pesquisa Agropecuária Brasileira","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000800011&lang=pt" 
"S0100-204X2007000800012-scl","Variabilidade genética entre acessos de amendoim","Borges, Wardsson Lustrino, Xavier, Gustavo Ribeiro, Rumjanek, Norma Gouvêa","Pesquisa Agropecuária Brasileira; 42(8); 1151-1157","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000800012&lang=pt" 
"S0100-204X2007000800013-scl","Grau de compactação, propriedades físicas e rendimento de culturas em Latossolo e Argissolo","Suzuki, Luis Eduardo Akiyoshi Sanches, Reichert, José Miguel, Reinert, Dalvan José, Lima, Cláudia Liane Rodrigues de","Pesquisa Agropecuária Brasileira; 42(8); 1159-1167","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000800013&lang=pt" 
"S0100-204X2007000800014-scl","Potássio lixiviado da palha de aveia-preta e milheto após a dessecação química","Rosolem, Ciro Antonio, Calonego, Juliano Carlos, Foloni, José Salvador Simoneti, Garcia, Rodrigo Arroyo","Pesquisa Agropecuária Brasileira; 42(8); 1169-1175","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000800014&lang=pt" 
"S0100-204X2007000800015-scl","Controle biológico de nematóides gastrintestinais de caprinos em clima semi-árido pelo fungo Monacrosporium thaumasium","Araújo, Jackson Victor de, Rodrigues, Maria de Lurdes de Azevedo, Silva, Wilson Wouflan, Vieira, Luiz da Silva","Pesquisa Agropecuária Brasileira; 42(8); 1177-1181","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000800015&lang=pt" 
"S0100-204X2007000800016-scl","Esterase profile in the postembryonic development of Rhipicephalusmicroplus","Baffi, Milla Alves, Pereira, Cícero Donizete, Souza, Guilherme Rocha Lino de, Ceron, Carlos Roberto, Bonetti, Ana Maria","Pesquisa Agropecuária Brasileira; 42(8); 1183-1188","Pesquisa Agropecuária Brasileira","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000800016&lang=pt" 
"S0100-204X2007000800017-scl","Características do pasto de capim-tanzânia adubado com nitrogênio no final do verão","Euclides, Valéria Pacheco Batista, Macedo, Manuel Cláudio Motta, Zimmer, Ademir Hugo, Medeiros, Rodrigo Narciso de, Oliveira, Marcelo Paschoal de","Pesquisa Agropecuária Brasileira; 42(8); 1189-1198","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000800017&lang=pt" 
"S1676-24442007000400005-scl","As novas facetas e a ameaça da gripe aviária no mundo globalizado","Granato, Celso F. H., Bellei, Nancy C. J.","Jornal Brasileiro de Patologia e Medicina Laboratorial; 43(4); 245-249","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442007000400005&lang=pt" 
"S1676-24442007000400004-scl","Freqüência e atividade enzimática de Candida spp. na cavidade oral de pacientes diabéticos do serviço de endocrinologia de um hospital de Fortaleza-CE","Menezes, Everardo Albuquerque, Augusto, Kristopherson Lustosa, Freire, Caio César Furtado, Cunha, Francisco Afrânio, Montenegro, Renan Magalhães, Montenegro Júnior, Renan Magalhães","Jornal Brasileiro de Patologia e Medicina Laboratorial; 43(4); 241-244","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442007000400004&lang=pt" 
"S1676-24442007000400008-scl","Mielolipoma gigante bilateral da glândula adrenal","Nai, Gisele Alborghetti, Aguiar, Lílian de Carla, Gimenez, Vanderlei Ramos","Jornal Brasileiro de Patologia e Medicina Laboratorial; 43(4); 265-268","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442007000400008&lang=pt" 
"S1676-24442007000400007-scl","Avaliação do ritmo de filtração glomerular","Kirsztajn, Gianna Mastroianni","Jornal Brasileiro de Patologia e Medicina Laboratorial; 43(4); 257-264","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442007000400007&lang=pt" 
"S1676-24442007000400011-scl","Necropsias de neonatos, fator da melhoria da qualidade nas UTIs neonatais","Serapião, Mônica, Serapião, Maria Jose, Serapião, Carlos Jose","Jornal Brasileiro de Patologia e Medicina Laboratorial; 43(4); 285-296","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442007000400011&lang=pt" 
"S1676-24442007000400002-scl","A pandemia parece anunciada","Eloi-Santos, Silvana Maria","Jornal Brasileiro de Patologia e Medicina Laboratorial; 43(4); -","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442007000400002&lang=pt" 
"S1676-24442007000400003-scl","Validação do sistema de transporte e das dosagens de amostras biológicas enviadas para a central de um laboratório de grande porte","Gabriel Jr., Alexandre, Silva, Ana Amélia B., De Martino, Maria Cristina, Razvickas, Wagner José, Silva, Regina Corrêa, Viana, Ana Maria, Maurício, Richard Couto, Santos, Silmara Aparecida Leopoldino, Tufik, Sérgio","Jornal Brasileiro de Patologia e Medicina Laboratorial; 43(4); 235-240","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442007000400003&lang=pt" 
"S1676-24442007000400009-scl","Análise comparativa da proliferação celular entre carcinomas de células escamosas orais HPV-positivos e HPV-negativos","Rocha, Danielle Albuquerque Pires, Souza, Lélia Batista de, Pinto, Leão Pereira","Jornal Brasileiro de Patologia e Medicina Laboratorial; 43(4); 269-274","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442007000400009&lang=pt" 
"S1676-24442007000400010-scl","Análise da expressão imuno-histoquímica de c-erbB-2 e EGFR em carcinoma epidermóide de esôfago","Sato, Yukie, Nascimento, Carlos Ferreira, Ferreira, Severino da Silva, Fregnani, José Humberto T. G., Soares, Fernando Augusto","Jornal Brasileiro de Patologia e Medicina Laboratorial; 43(4); 275-283","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442007000400010&lang=pt" 
"S1676-24442007000400012-scl","Análise de indicadores internos e externos relevantes à resolutividade diagnóstica em laboratório de referência em imuno-histoquímica","Nonogaki, Suely, Kanamura, Cristina Takami, Oliveira, Luciana França de, Bela, Mônica Conte, Menezes, Yara de, Wakamatsu, Alda, Santos, Raimunda Telma de Macedo, Alves, Venâncio Avancini Ferreira","Jornal Brasileiro de Patologia e Medicina Laboratorial; 43(4); 297-304","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442007000400012&lang=pt" 
"S0036-46652007000400017-scl","Molecular typing of Staphylococcus aureus isolated from bovine mastitis cases in Pernambuco State, Brazil","Silveira Filho, Vladimir da Mota","Revista do Instituto de Medicina Tropical de São Paulo; 49(4); 234-234","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000400017&lang=pt" 
"S0036-46652007000400013-scl","Probable recognition of human anisakiasis in Brazil","Amato Neto, Vicente, Amato, Juliane Gomes de Paula, Amato, Valdir Sabbaga","Revista do Instituto de Medicina Tropical de São Paulo; 49(4); 261-262","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000400013&lang=pt" 
"S0036-46652007000400001-scl","Enzymatic and hemolytic activities of Candida dubliniensis strains","Linares, Carlos Eduardo Blanco, Loreto, Érico Silva de, Silveira, Carolina Pereira, Pozzatti, Patrícia, Scheid, Liliane Alves, Santurio, Janio M., Alves, Sydney Hartz","Revista do Instituto de Medicina Tropical de São Paulo; 49(4); 203-206","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000400001&lang=pt" 
"S0036-46652007000400003-scl","Vitamin A and lipid peroxidation in patients with different forms of leprosy","Lima, Emerson S., Roland, Ivete de A., Maroja, Maria de Fátima, Marcon, Jaydione L.","Revista do Instituto de Medicina Tropical de São Paulo; 49(4); 211-214","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000400003&lang=pt" 
"S0036-46652007000400004-scl","Withdrawal of maintenance therapy for cytomegalovirus retinitis in AIDS patients exhibiting immunological response to HAART","Waib, Luis Fernando, Bonon, Sandra Helena Alves, Salles, Angela Christina, Benard, Gil, Oliveira, Augusto César Penalva de, Pannuti, Claudio Sergio, Pedro, Rogério de Jesus, Costa, Sandra Cecília Botelho","Revista do Instituto de Medicina Tropical de São Paulo; 49(4); 215-219","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000400004&lang=pt" 
"S0036-46652007000400005-scl","Mayaro virus: imported cases of human infection in São Paulo State, Brazil","Coimbra, Terezinha Lisieux M., Santos, Cecília L. S., Suzuki, Akemi, Petrella, Selma M. C., Bisordi, Ivani, Nagamori, Adélia H., Marti, Antonia T., Santos, Raimundo N., Fialho, Danya M., Lavigne, Shirlene, Buzzar, Marcia R., Rocco, Iray M.","Revista do Instituto de Medicina Tropical de São Paulo; 49(4); 221-224","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000400005&lang=pt" 
"S0036-46652007000400007-scl","T CD4+ cells count among patients co-infected with human immunodeficiency virus type 1 (HIV-1) and human T-cell leukemia virus type 1 (HTLV-1): high prevalence of tropical spastic paraparesis/HTLV-1-associated myelopathy (TSP/HAM)","Casseb, Jorge, Posada-Vergara, Maria Paulina, Montanheiro, Patrícia, Fukumori, Lígia Maria Ichii, Olah, Ingrid, Smid, Jerusa, Duarte, Alberto José da Silva, Oliveira, Augusto Cesar Penalva de","Revista do Instituto de Medicina Tropical de São Paulo; 49(4); 231-233","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000400007&lang=pt" 
"S0036-46652007000400014-scl","Cryptococcus gattii fungemia: report of a case with lung and brain lesions mimicking radiological features of malignancy","Oliveira, Flávio de Mattos, Severo, Cecília Bittencourt, Guazzelli, Luciana Silva, Severo, Luiz Carlos","Revista do Instituto de Medicina Tropical de São Paulo; 49(4); 263-265","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000400014&lang=pt" 
"S0036-46652007000400010-scl","Seroepidemiological aspects of human Strongyloides stercoralis infections in Chile","Mercado, Rubén, Jercic, Maria Isabel, Alcayaga, Sergio, Paula, Fabiana M. de, Ueta, Marlene T., Costa-Cruz, Julia M.","Revista do Instituto de Medicina Tropical de São Paulo; 49(4); 247-249","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000400010&lang=pt" 
"S0036-46652007000400011-scl","Intestinal parasitoses and environmental factors in a rural population of Argentina, 2002-2003","Basualdo, Juan A., Córdoba, María A., Luca, María M. de, Ciarmela, María L., Pezzani, Betina C., Grenovero, María S., Minvielle, Marta C.","Revista do Instituto de Medicina Tropical de São Paulo; 49(4); 251-255","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000400011&lang=pt" 
"S0036-46652007000400015-scl","Soft tissue abscess and lymphadenitis due to Mycobacterium avium Complex as an expression of immune reconstitution inflammatory syndrome after a second scheme of highly active antiretroviral therapy","Corti, Marcelo, Villafañe, María F., Ambroggi, Marta, Sawicki, Mirna, Gancedo, Elisa","Revista do Instituto de Medicina Tropical de São Paulo; 49(4); 267-270","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000400015&lang=pt" 
"S0036-46652007000400016-scl","Standardization and evaluation of pulsed-field gel electrophoresis (PFGE) technique for molecular typing of Yersinia pestis strains isolated in the northeast of Brazil","Barros, Maria Paloma Silva de","Revista do Instituto de Medicina Tropical de São Paulo; 49(4); 220-220","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000400016&lang=pt" 
"S0036-46652007000400006-scl","Difficulties in the diagnosis of HTLV-2 infection in HIV/AIDS patients from Brazil: comparative performances of serologic and molecular assays, and detection of HTLV-2b subtype","Morimoto, Helena Kaminami, Morimoto, Arilson Akira, Reiche, Edna Maria Vissoci, Ueda, Luiz Toshio, Matsuo, Tiemi, Reiche, Fernando Vissoci, Caterino-de-Araujo, Adele","Revista do Instituto de Medicina Tropical de São Paulo; 49(4); 225-230","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000400006&lang=pt" 
"S0036-46652007000400008-scl","Low efficacy of azithromycin to treat cutaneous leishmaniasis in Manaus, AM, Brazil","Teixeira, Alan César, Paes, Marcilene Gomes, Guerra, Jorge de Oliveira, Prata, Aluízio, Silva-Vergara, Mario León","Revista do Instituto de Medicina Tropical de São Paulo; 49(4); 235-238","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000400008&lang=pt" 
"S0036-46652007000400009-scl","Nocardial infections: report of 22 cases","Chedid, Maria Bernadete F., Chedid, Marcio F., Porto, Nelson S., Severo, Cecília B., Severo, Luiz Carlos","Revista do Instituto de Medicina Tropical de São Paulo; 49(4); 239-246","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000400009&lang=pt" 
"S0036-46652007000400002-scl","Serotype and mating type characterization of Cryptococcus neoformans by Multiplex PCR","Carvalho, Vívian Gonçalves, Terceti, Mateus Souza, Dias, Amanda Latercia Tranches, Paula, Claudete Rodrigues, Lyon, Juliana Pereira, Siqueira, Antônio Martins de, Franco, Marília Caixeta","Revista do Instituto de Medicina Tropical de São Paulo; 49(4); 207-210","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000400002&lang=pt" 
"S0036-46652007000400012-scl","Combined effect of the essential oil from Chenopodium ambrosioides and antileishmanial drugs on promastigotes of Leishmania amazonensis","Monzote, Lianet, Montalvo, Ana Margarita, Scull, Ramón, Miranda, Migdalia, Abreu, Juan","Revista do Instituto de Medicina Tropical de São Paulo; 49(4); 257-260","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652007000400012&lang=pt" 
"S0100-55022007000200011-scl","Internato de clínica médica em hospital secundário: a experiência da Faculdade de Medicina de Botucatu","Minicucci, Marcos F., Azevedo, Paula S., Duarte, Daniella R., Matsui, Mirna, Inoue, Roberto M. T., Matsubara, Luiz S., Paiva, Sergio A. R., Zornoff, Leonardo A. M., Curcelli, Emílio C., Okoshi, Marina P.","Revista Brasileira de Educação Médica; 31(2); 186-189","Revista Brasileira de Educação Médica","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022007000200011&lang=pt" 
"S0100-55022007000200002-scl","Avaliação dos prontuários médicos de hospitais de ensino do Brasil","Silva, Fábia Gama, Tavares-Neto, José","Revista Brasileira de Educação Médica; 31(2); 113-126","Revista Brasileira de Educação Médica","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022007000200002&lang=pt" 
"S0100-55022007000200001-scl","","Ribeiro, Eliana Claudia de Otero","Revista Brasileira de Educação Médica; 31(2); 111-112","Revista Brasileira de Educação Médica","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022007000200001&lang=pt" 
"S0100-55022007000200010-scl","Reflexões acerca da iatrogenia e educação médica","Tavares, Felipe de Medeiros","Revista Brasileira de Educação Médica; 31(2); 180-185","Revista Brasileira de Educação Médica","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022007000200010&lang=pt" 
"S0100-55022007000200007-scl","Ensino extracurricular em Oftalmologia: grupos de estudos / ligas de alunos de graduação","Kara José, Andrea Cotait, Passos, Lúcia Battistella, Kara José, Flávio Cotait, Kara José, Newton","Revista Brasileira de Educação Médica; 31(2); 166-172","Revista Brasileira de Educação Médica","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022007000200007&lang=pt" 
"S0100-55022007000200008-scl","Auto-avaliação e avaliação por pares: estratégias para o desenvolvimento profissional do médico","Domingues, Rosângela Curvo Leite, Amaral, Eliana, Zeferino, Angélica Maria Bicudo","Revista Brasileira de Educação Médica; 31(2); 173-175","Revista Brasileira de Educação Médica","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022007000200008&lang=pt" 
"S0100-55022007000200009-scl","Feedback como estratégia de aprendizado no ensino médico","Zeferino, Angélica Maria Bicudo, Domingues, Rosângela Curvo Leite, Amaral, Eliana","Revista Brasileira de Educação Médica; 31(2); 176-179","Revista Brasileira de Educação Médica","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022007000200009&lang=pt" 
"S0100-55022007000200012-scl","O ensino de Psicologia Clínica na graduação: uma análise a partir de psicólogos clínicos docentes e não docentes","Abdalla, Ively Guimarães","Revista Brasileira de Educação Médica; 31(2); 190-190","Revista Brasileira de Educação Médica","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022007000200012&lang=pt" 
"S0100-55022007000200013-scl","Formação médica: (des)construção do sentido da profissão - a trajetória da representação social","Arcoverde, Tarcísio Lins","Revista Brasileira de Educação Médica; 31(2); 191-191","Revista Brasileira de Educação Médica","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022007000200013&lang=pt" 
"S0100-55022007000200014-scl","","","Revista Brasileira de Educação Médica; 31(2); 195-195","Revista Brasileira de Educação Médica","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022007000200014&lang=pt" 
"S0066-782X2007001400017-scl","Novas diretrizes de reanimação cardiorrespiratória cerebral da sociedade americana de cardiologia (2005 - 2006)","Lane, John Cook","Arquivos Brasileiros de Cardiologia; 89(2); e17-e18","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001400017&lang=pt" 
"S0066-782X2007001400014-scl","Transplante de Células-tronco marcadas para o miocárdio de paciente com doença de chagas","Jacob, José Luiz Balthazar, Salis, Fernando Vilela, Ruiz, Milton A., Greco, Oswaldo Tadeu","Arquivos Brasileiros de Cardiologia; 89(2); e10-e11","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001400014&lang=pt" 
"S0066-782X2007001400011-scl","Caso 4/2007: lactente de 16 meses com canal arterial","Atik, Edmar","Arquivos Brasileiros de Cardiologia; 89(2); 135-136","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001400011&lang=pt" 
"S0066-782X2007001400012-scl","Professor Luiz Venere Décourt: um legado","Luz, Protásio L. da","Arquivos Brasileiros de Cardiologia; 89(2); 137-137","Arquivos Brasileiros de Cardiologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001400012&lang=pt" 
"S0066-782X2007001400006-scl","Os efeitos da pressão positiva intermitente e do incentivador respiratório no pós-operatório de revascularização miocárdica","Romanini, Walmir, Muller, Andrea Pires, Carvalho, Katherine Athayde Teixeira de, Olandoski, Marcia, Faria-Neto, José Rocha, Mendes, Felipe Luiz, Sardetto, Evandro Antonio, Costa, Francisco Diniz Afonso da, Guarita-Souza, Luiz César","Arquivos Brasileiros de Cardiologia; 89(2); 105-110","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001400006&lang=pt" 
"S0066-782X2007001400010-scl","Caracterização do aneurisma apical da cardiopatia chagásica crônica mediante uso de corregistro de imagens cintilográficas","Simões, Marcus Vinicius, Oliveira, Lucas Ferrari de, Hiss, Flavio Cantarelli, Figueiredo, Alexandre Baldini de, Pintya, Antonio Osvaldo, Maciel, Benedito Carlos, Marin-Neto, José Antonio","Arquivos Brasileiros de Cardiologia; 89(2); 131-134","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001400010&lang=pt" 
"S0066-782X2007001400013-scl","Errata","","Arquivos Brasileiros de Cardiologia; 89(2); 138-138","Arquivos Brasileiros de Cardiologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001400013&lang=pt" 
"S0066-782X2007001400016-scl","Má compactação do ventrículo esquerdo: diagnóstico otimizado pela ecocardiografia tridimensional em tempo real","Miguel, Gabriel Antonio Stanisci, Abensur, Henry","Arquivos Brasileiros de Cardiologia; 89(2); e16-e16","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001400016&lang=pt" 
"S0066-782X2007001400001-scl","Análise do perfil lipídico em escolares","Scherr, Carlos, Magalhães, Cyntia Karla, Malheiros, Waldir","Arquivos Brasileiros de Cardiologia; 89(2); 73-78","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001400001&lang=pt" 
"S0066-782X2007001400002-scl","Homocisteína, folato e vitamina B12 em pacientes colombianos portadores de coronariopatia","Garcia, Gilberto, Trejos, Juanita, Restrepo, Beatriz, Landázuri, Patricia","Arquivos Brasileiros de Cardiologia; 89(2); 79-85","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001400002&lang=pt" 
"S0066-782X2007001400003-scl","Obesidade abdominal, resistência à insulina e hipertensão: impacto sobre a massa e a função do ventrículo esquerdo em mulheres","Silva, Eliana A., Flexa, Fernando, Zanella, Maria Teresa","Arquivos Brasileiros de Cardiologia; 89(2); 86-92","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001400003&lang=pt" 
"S0066-782X2007001400004-scl","Comparação de diferentes métodos para medida do tamanho do infarto experimental crônico em Ratos","Minicucci, Marcos F., Azevedo, Paula S., Duarte, Daniella R., Matsubara, Beatriz B., Matsubara, Luiz S., Campana, Álvaro O., Paiva, Sergio A. R., Zornoff, Leonardo A. M.","Arquivos Brasileiros de Cardiologia; 89(2); 93-98","Arquivos Brasileiros de Cardiologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2007001400004&lang=pt" 
