"S1414-98932015000300959-scl","Significações Dadas pelos Progenitores acerca do Diagnóstico de Câncer dos Filhos","Frizzo, Natalia Schopf, Quintana, Alberto Manuel, Salvagni, Adelise, Barbieri, Ângela, Gebert, Lenir","Psicologia: Ciência e Profissão; 35(3); 959-972","Psicologia: Ciência e Profissão","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932015000300959&lang=pt" 
"S0864-34662015000300005-cub","Comportamiento de la tuberculosis en la década de 1990 en Cuba","Beldarraín Chaple, Enrique, Morales Hernández, Niurka","Revista Cubana de Salud Pública; 41(3); 441-458","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000300005&lang=pt" 
"S0864-34662015000300004-cub","Determinantes sociodemográficos y muerte súbita cardiovascular","Araujo González, Rafael, Ochoa Montes, Luis Alberto, López Tutusaus, Taylí","Revista Cubana de Salud Pública; 41(3); 427-440","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000300004&lang=pt" 
"S0864-34662015000300003-cub","Neumonía adquirida en la comunidad: aspectos clínicos y valoración del riesgo en ancianos hospitalizados","Aleaga Hernandez, Yordanka Yamiléx, Serra Valdes, Miguel Angel, Cordero López, Girelda","Revista Cubana de Salud Pública; 41(3); 413-426","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000300003&lang=pt" 
"S0864-34662015000300002-cub","Necesidades de atención en salud percibidas por adultos mayores cubanos","Rodríguez Cabrera, Aida, Collazo Ramos, Milagros, Álvarez Vázquez, Luisa, Calero Ricardo, Jorge, Castañeda Abascal, Ileana, Gálvez González, Ana María","Revista Cubana de Salud Pública; 41(3); 401-412","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000300002&lang=pt" 
"S0864-34662015000300009-cub","El Rijcharismo en el Altiplano peruano como una experiencia pionera de salud intercultural en América","Aliaga Rodríguez, Gustavo","Revista Cubana de Salud Pública; 41(3); 497-509","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000300009&lang=pt" 
"S0864-34662015000300008-cub","Factores relacionados con la preferencia de las mujeres de zonas rurales por la partera tradicional","Laza Vásquez, Celmira","Revista Cubana de Salud Pública; 41(3); 487-496","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000300008&lang=pt" 
"S0034-75312015000300007-cub","Deficiencia de vitamina A en niños con fibrosis quística","Portuondo Leyva, Reyna, Macías Matos, Consuelo, Abreu Suárez, Gladys, Fuentes Fernández, Gladys, González Valdés, José Antonio","Revista Cubana de Pediatría; 87(3); 321-329","Revista Cubana de Pediatría","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312015000300007&lang=pt" 
"S0034-75312015000300011-cub","El electroencefalograma en el síndrome de West y otras entidades clínicas relacionadas","Pozo Lauzán, Desiderio Rafael, Pozo Alonso, Albia Josefina, Sayú Stewart, José Manuel","Revista Cubana de Pediatría; 87(3); 365-373","Revista Cubana de Pediatría","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312015000300011&lang=pt" 
"S0034-75312015000300012-cub","Sialadenitis submandibular supurativa aguda neonatal","Acosta Batista, Bárbara, Pérez Córdova, Félix Rodolfo, Díaz Álvarez, Manuel","Revista Cubana de Pediatría; 87(3); 374-381","Revista Cubana de Pediatría","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312015000300012&lang=pt" 
"S0034-75312015000300014-cub","Detección de un caso síndrome de Pallister-Killian diagnosticado por citogenética convencional","Isaza de Lourido, Carolina, Duque-Moncaleano, Nathaly, Ruíz-Botero, Felipe, Pachajoa, Harry","Revista Cubana de Pediatría; 87(3); 388-394","Revista Cubana de Pediatría","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312015000300014&lang=pt" 
"S0034-75312015000300009-cub","Escala predictora de fallo de medro en lactantes","Piña Borrego, Carlos Enrique, Esquivel Lauzurique, Mercedes, Fernández Fernández, María de Lourdes, Silva Ramos, Lázaro, Uranga Piña, Rolando, Piña Rodríguez, Lorena Karla","Revista Cubana de Pediatría; 87(3); 338-352","Revista Cubana de Pediatría","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312015000300009&lang=pt" 
"S0034-75312015000300008-cub","Morbilidad por Blastocystis spp. en el Hospital Pediátrico Universitario “William Soler”","Martínez Silva, Isabel, Ayllón Valdés, Lucía, Sosa Palacios, Oramis, Núñez Fernández, Fidel Ángel, Martínez González, Martha Aleida","Revista Cubana de Pediatría; 87(3); 330-337","Revista Cubana de Pediatría","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312015000300008&lang=pt" 
"S0034-75312015000300006-cub","Estrategia de estudio en niños con primera infección febril del tracto urinario","Acosta Moya, Esther Cristina, Duarte Pérez, María Caridad, Guillén Dosal, Ana, Martínez Silva, Magalys, Díaz Álvarez, Manuel Federico","Revista Cubana de Pediatría; 87(3); 311-320","Revista Cubana de Pediatría","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312015000300006&lang=pt" 
"S0034-75312015000300005-cub","Uso de Surfacen en recién nacidos con dificultad respiratoria","López Alfaro, Claudia Asunción, Alfonso Dávila, Antonio, Durán Menéndez, Raisa, Villegas Cruz, Débora","Revista Cubana de Pediatría; 87(3); 298-310","Revista Cubana de Pediatría","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312015000300005&lang=pt" 
"S0034-75312015000300004-cub","Algunos aspectos relacionados con la lactancia materna exclusiva en los primeros seis meses de vida","Gorrita Pérez, Remigio Rafael, Terrazas Saldaña, Alcira, Brito Linares, Dailin, Ravelo Rodríguez, Yenisley","Revista Cubana de Pediatría; 87(3); 285-297","Revista Cubana de Pediatría","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312015000300004&lang=pt" 
"S0034-75312015000300003-cub","Estilos de vida, hipertensión arterial y obesidad en adolescentes","González Sánchez, Raquel, Llapur Milián, René, Díaz Cuesta, Mercedes, Illa Cos, María del Rosario, Yee López, Estela, Pérez Bello, Dania","Revista Cubana de Pediatría; 87(3); 273-284","Revista Cubana de Pediatría","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312015000300003&lang=pt" 
"S0034-75312015000300002-cub","Invaginación intestinal en el niño, respuesta al tratamiento médico","Vázquez Merayo, Enrique, Anido Escobar, Vivianne, Vázquez Martínez, Yovany Enrique, Vázquez Martínez, Yordany Tomás","Revista Cubana de Pediatría; 87(3); 265-272","Revista Cubana de Pediatría","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312015000300002&lang=pt" 
"S2307-21132015000300006-cub","Diseño de un sistema de gestión documental para organizaciones cubanas","de Dios Arias, Raiza Ana, Cano Inclán, Anisley, García García, Ognara, Raposo Villavicencio, Rita María","Revista Cubana de Información en Ciencias de la Salud; 26(3); 260-272","Revista Cubana de Información en Ciencias de la Salud","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2307-21132015000300006&lang=pt" 
"S2307-21132015000300007-cub","Sexualidad y discapacidad: enfrentando estereotipos desde el documental audiovisual","Acosta Damas, Maribel, Costales Pérez, Zenaida, Meisozo Reyes, Norka, Borges López, Annierys","Revista Cubana de Información en Ciencias de la Salud; 26(3); 273-279","Revista Cubana de Información en Ciencias de la Salud","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2307-21132015000300007&lang=pt" 
"S2307-21132015000300005-cub","Producción científica sobre evaluación de bibliotecas universitarias en Scopus y WOS en el período 2003-2014","de Cárdenas Cristía, Arianne, Fernández Figueroa, Leticia","Revista Cubana de Información en Ciencias de la Salud; 26(3); 245-259","Revista Cubana de Información en Ciencias de la Salud","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2307-21132015000300005&lang=pt" 
"S2307-21132015000300008-cub","Primer acercamiento a la situación de los catálogos en línea de la red de bibliotecas de la Universidad de La Habana","Campos Herrera, Airelys, Chapman Baró, Yarenia, Vigo Ortiz, Gabriela","Revista Cubana de Información en Ciencias de la Salud; 26(3); 280-289","Revista Cubana de Información en Ciencias de la Salud","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2307-21132015000300008&lang=pt" 
"S0034-75312015000300013-cub","Quiste dermoide cervical","Gbenou Morgan, Yurian, Flores Obaya, Mercedes, Almunia Quesada, Jorge Alberto","Revista Cubana de Pediatría; 87(3); 382-387","Revista Cubana de Pediatría","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312015000300013&lang=pt" 
"S0034-75312015000300001-cub","Surfacen, un surfactante exógeno natural cubano","Morilla Guzmán, Andrés Armando","Revista Cubana de Pediatría; 87(3); 262-264","Revista Cubana de Pediatría","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312015000300001&lang=pt" 
"S2307-21132015000300009-cub","Criterios, clasificaciones y tendencias de los indicadores bibliométricos en la evaluación de la ciencia","Peralta González, María Josefa, Frías Guzmán, Maylín, Gregorio Chaviano, Orlando","Revista Cubana de Información en Ciencias de la Salud; 26(3); 290-309","Revista Cubana de Información en Ciencias de la Salud","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2307-21132015000300009&lang=pt" 
"S0864-34662015000300011-cub","Aproximación teórica a las desigualdades sociales en la tuberculosis como problema de salud","León Cabrera, Pablo, Pría Barros, Maria del Carmen, Perdomo Victoria, Irene, Ramis Andalia, Rina","Revista Cubana de Salud Pública; 41(3); 532-546","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000300011&lang=pt" 
"S0864-34662015000300001-cub","Cuba Salud 2015 y el reto de financiar la cobertura universal en salud","López Puig, Pedro","Revista Cubana de Salud Pública; 41(3); 398-400","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000300001&lang=pt" 
"S0864-34662015000300007-cub","Avances y brechas en el mercadeo social del condón en La Habana","Bolaños Gutiérrez, María Regla, Rojo Pérez, Nereida, Hernández Labrada, Niurka, Molina Nápoles, Iliana, Rodríguez Washington, Noralydis, Suárez Lugo, Nery","Revista Cubana de Salud Pública; 41(3); 476-486","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000300007&lang=pt" 
"S0864-34662015000300015-cub","La categorización científica en salud pública como necesidad impostergable. Principales inquietudes sobre el tema","Toledo Fernández, Ana Margarita, Morales Suárez, Ileana del Rosario","Revista Cubana de Salud Pública; 41(3); 576-579","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000300015&lang=pt" 
"S0864-34662015000300013-cub","Palabras de clausura de la Convención Internacional de Salud Pública: &quot;Cuba Salud 2015&quot;","Portal Miranda, José Ángel","Revista Cubana de Salud Pública; 41(3); 566-570","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000300013&lang=pt" 
"S2307-21132015000300001-cub","El desarrollo profesional en Ciencias de la Información: contribución a su visibilidad en Cuba","PONJUÁN DANTE, GLORIA","Revista Cubana de Información en Ciencias de la Salud; 26(3); 204-205","Revista Cubana de Información en Ciencias de la Salud","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2307-21132015000300001&lang=pt" 
"S0864-34662015000300014-cub","La sanidad cubana y la opinión extranjera","Guiteras, Juan","Revista Cubana de Salud Pública; 41(3); 571-575","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000300014&lang=pt" 
"S0034-75312015000300010-cub","La nefropatía IgA, la glomerulopatía más frecuente en el mundo","Durán Álvarez, Sandalio, Campo Sánchez, Lisset","Revista Cubana de Pediatría; 87(3); 353-364","Revista Cubana de Pediatría","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312015000300010&lang=pt" 
"S1415-790X2015000300630-scl","Dental pain and associated factors in 2 to 4-year-old children in Goiânia","Lemes, Marília Galvão Chaves, Peixoto, Maria do Rosário Gondim, Meneses, Ida Helena Carvalho Francescantonio, Freire, Maria do Carmo Matias","Revista Brasileira de Epidemiologia; 18(3); 630-641","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000300630&lang=pt" 
"S1415-790X2015000300642-scl","Dental caries in 12-year-old schoolchildren: multilevel analysis of individual and school environment factors in Goiânia","Oliveira, Lorena Batista de, Moreira, Rafael da Silveira, Reis, Sandra Cristina Guimarães Bahia, Freire, Maria do Carmo Matias","Revista Brasileira de Epidemiologia; 18(3); 642-654","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000300642&lang=pt" 
"S1415-790X2015000300525-scl","Discrimination and common mental disorders of undergraduate students of the Universidade Federal de Santa Catarina","Souza, Maria Vitória Cordeiro de, Lemkuhl, Isabel, Bastos, João Luiz","Revista Brasileira de Epidemiologia; 18(3); 525-537","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000300525&lang=pt" 
"S1415-790X2015000300607-scl","Correlates of excessive daytime sleepiness in community-dwelling older adults: an exploratory study","Lima, Camila Astolphi, Soares, Wuber Jefferson de Souza, Bilton, Tereza Loffredo, Dias, Rosângela Corrêa, Ferrioll, Eduardo, Perracini, Monica Rodrigues","Revista Brasileira de Epidemiologia; 18(3); 607-617","Revista Brasileira de Epidemiologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000300607&lang=pt" 
"S1415-790X2015000300595-scl","Demographic, health conditions, and lifestyle factors associated with urinary incontinence in elderly from Florianópolis, Santa Catarina, Brazil","Marques, Larissa Pruner, Schneider, Ione Jayce Ceola, Giehl, Maruí Weber Corseuil, Antes, Danielle Ledur, d&#039;Orsi, Eleonora","Revista Brasileira de Epidemiologia; 18(3); 595-606","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000300595&lang=pt" 
"S1415-790X2015000300618-scl","Factors associated with lip and oral cavity cancer","Ribeiro, Isabella Lima Arrais, Medeiros, Júlia Julliêta de, Rodrigues, Larycia Vicente, Valença, Ana Maria Gondim, Lima Neto, Eufrásio de Andrade","Revista Brasileira de Epidemiologia; 18(3); 618-629","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000300618&lang=pt" 
"S1415-790X2015000300568-scl","Dental fluorosis: prevalence and associated factors in 12-year-old schoolchildren in Goiânia, Goiás","Jordão, Lidia Moraes Ribeiro, Vasconcelos, Daniela Nobre, Moreira, Rafael da Silveira, Freire, Maria do Carmo Matias","Revista Brasileira de Epidemiologia; 18(3); 568-577","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000300568&lang=pt" 
"S1415-790X2015000300552-scl","Hepatitis B vaccination in adolescents living in Campinas, São Paulo, Brazil","Francisco, Priscila Maria Stolses Bergamo, Donalisio, Maria Rita, Gabriel, Filomena de Jesus Oliveira, Barros, Marilisa Berti de Azevedo","Revista Brasileira de Epidemiologia; 18(3); 552-567","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000300552&lang=pt" 
"S1415-790X2015000300679-scl","Prevalence of hearing problems and associated factors in an agricultural company in southern Brazil","Haeffner, Rafael, Sarquis, Leila Maria Mansano, Heck, Rita Maria, Jardim, Vanda Maria da Rosa","Revista Brasileira de Epidemiologia; 18(3); 679-690","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000300679&lang=pt" 
"S1415-790X2015000300538-scl","Influence of individual and socio-environmental factors on self-rated health in adolescents","Meireles, Adriana Lúcia, Xavier, César Coelho, Proietti, Fernando Augusto, Caiaffa, Waleska Teixeira","Revista Brasileira de Epidemiologia; 18(3); 538-551","Revista Brasileira de Epidemiologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000300538&lang=pt" 
"S1415-790X2015000300578-scl","Absence of routine medical consultation among hypertensive and/or diabetic elders: an epidemiological study based on the Brazilian National Household Survey 2008","Ferreira, Daniela Nice, Matos, Divane Leite, Loyola Filho, Antônio Ignácio de","Revista Brasileira de Epidemiologia; 18(3); 578-594","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000300578&lang=pt" 
"S1415-790X2015000300655-scl","Readiness for behavioral change and variation in food consumption among adolescents from a school-based community trial in Duque de Caxias, RJ","Cunha, Diana Barbosa, Souza, Bárbara da Silva Nalin de, Veiga, Glória Valéria da, Pereira, Rosangela Alves, Sichieri, Rosely","Revista Brasileira de Epidemiologia; 18(3); 655-665","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000300655&lang=pt" 
"S1415-790X2015000300666-scl","Health information systems and pesticide poisoning at Pernambuco","Albuquerque, Pedro Costa Cavalcanti de, Gurgel, Idê Gomes Dantas, Gurgel, Aline do Monte, Augusto, Lia Giraldo da Silva, Siqueira, Marília Teixeira de","Revista Brasileira de Epidemiologia; 18(3); 666-678","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000300666&lang=pt" 
"S1415-790X2015000300691-scl","Health risks due to pre-harvesting sugarcane burning in São Paulo State, Brazil","Paraiso, Maria Leticia de Souza, Gouveia, Nelson","Revista Brasileira de Epidemiologia; 18(3); 691-701","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000300691&lang=pt" 
"S1415-790X2015000300702-scl","Factors associated with musculoskeletal pain among teachers: sociodemographics aspects, general health and well-being at work","Ceballos, Albanita Gomes da Costa de, Santos, Gustavo Barreto","Revista Brasileira de Epidemiologia; 18(3); 702-715","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2015000300702&lang=pt" 
"S0001-60022015000300001-cri","Dr. Elías Jiménez Fonseca (1938-2015)","Jiménez Bonilla, Rafael","Acta Médica Costarricense; 57(3); 100-101","Acta Médica Costarricense","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0001-60022015000300001&lang=pt" 
"S0001-60022015000300007-cri","Contaminación fúngica ambiental en tres centros de enseñanza primaria del cantón Central de la provincia de Heredia, Costa Rica","Jaikel-Víquez, Daniela, Hernández-Vargas, Sofía, Riggioni-Cordero, Olman, Salas-Campos, Ingrid, Gross-Martínez, Norma","Acta Médica Costarricense; 57(3); 137-142","Acta Médica Costarricense","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0001-60022015000300007&lang=pt" 
"S0001-60022015000300006-cri","Características clínicas de los casos de demencia diagnosticados en la Clínica de Memoria del Hospital Nacional de Geriatría y Gerontología","Miranda-Valverde, Erick, Valerio-Aguilar, Daniel, Jacques Hernández-Gabarain, Henri, Chaves-Araya, Cinthya, Peralta-Azofeifa, Monserrat, Corrales-Campos, Luis Emilio, Córdoba-Moncada, Johan, Carballo-Alfaro, Ana Maricela, Morales-Martínez, Fernando, Arias-Salazar, Alejandra","Acta Médica Costarricense; 57(3); 130-136","Acta Médica Costarricense","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0001-60022015000300006&lang=pt" 
"S0001-60022015000300003-cri","Carcinoma de células renales: descripción de casos","Chacón-Garita, Lindsay, Moreira-Carvajal, Manuel","Acta Médica Costarricense; 57(3); 113-116","Acta Médica Costarricense","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0001-60022015000300003&lang=pt" 
"S0001-60022015000300008-cri","Posición de la Academia Nacional de Medicina sobre el tema de violencia obstétrica","","Acta Médica Costarricense; 57(3); 143-144","Acta Médica Costarricense","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0001-60022015000300008&lang=pt" 
"S1517-83822015000300639-scl","Draft genome sequence of bla&lt;sub&gt;Veb-1&lt;/sub&gt;, bla&lt;sub&gt;oxa-10&lt;/sub&gt;producing multi-drug resistant (MDR) &lt;italic&gt;Pseudomonas aeruginosa&lt;/italic&gt;strain VRFPA09 recovered from bloodstream infection","Murugan, Nandagopal, Malathi, Jambulingam, Umashankar, Vetrivel, Madhavan, Hajib NarahariRao","Brazilian Journal of Microbiology; 46(3); 639-640","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300639&lang=pt" 
"S0001-60022015000300005-cri","Manejo hospitalario del paciente pediátrico con quemaduras de segundo y tercer grados, en un hospital regional","Cubillo-López, Ivonne","Acta Médica Costarricense; 57(3); 124-129","Acta Médica Costarricense","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0001-60022015000300005&lang=pt" 
"S0001-60022015000300004-cri","Riesgo cardiovascular global en una población adulta mayor del área rural, Cantón de Garabito, Puntarenas","Vásquez-Carrillo, Pablo, Castillo-Rivas, Jacqueline, Salazar-Nassar, Johanna, Silva de la Fuente, Sandra, Quirós-Meza, Gerardo","Acta Médica Costarricense; 57(3); 117-123","Acta Médica Costarricense","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0001-60022015000300004&lang=pt" 
"S0001-60022015000300009-cri","Síndrome de Wilkie","Poblete-Otero, Francisco, Álvarez-Pertuz, Humberto, Arana-Sáenz, Andrés","Acta Médica Costarricense; 57(3); 145-148","Acta Médica Costarricense","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0001-60022015000300009&lang=pt" 
"S0001-60022015000300010-cri","Tumor triquilemal proliferante","Yu-Tseng, Fulin, Chaves-Lavagni, Mónica, Zúñiga-Zúñiga, Jose Pablo, Cob-Guillén, Alejandro","Acta Médica Costarricense; 57(3); 149-151","Acta Médica Costarricense","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0001-60022015000300010&lang=pt" 
"S0123-93922015000300005-col","Prevalencia y factores asociados con la filariosis por Mansonella ozzardi en 2 comunidades periurbanas de Iquitos, 2009","Arróspide, Nancy, Reyna, Óscar, Montenegro-Idrogo, Juan José, Palomino, Miriam, Lucero, Jorge, Villaseca, Pablo, León, Walter, Valencia, Pedro, Mayta-Tristán, Percy","Infectio; 19(3); 124-130","Infectio","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-93922015000300005&lang=pt" 
"S0123-93922015000300003-col","Correlación entre la detección de superantígenos y resistencia a oxacilina en aislamientos hospitalarios de Staphylococcus aureus","Moncayo-Ortiz, José-Ignacio, Corredor-Arias, Luisa-Fernanda, Luligo-Espinal, Jenna-Samara, Álvarez-Aldana, Adalucy, Santacruz-Ibarra, Jorge-Javier","Infectio; 19(3); 109-114","Infectio","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-93922015000300003&lang=pt" 
"S1809-48642015000300259-scl","Tinnitus Neural Mechanisms and Structural Changes in the Brain: The Contribution of Neuroimaging Research","Simonetti, Patricia, Oiticica, Jeanne","International Archives of Otorhinolaryngology; 19(3); 259-265","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000300259&lang=pt" 
"S1809-48642015000300248-scl","Voice Outcome after Gore-Tex Medialization Thyroplasty","Elnashar, Ismail, El-Anwar, Mohammad, Amer, Hazem, Quriba, Amal","International Archives of Otorhinolaryngology; 19(3); 248-254","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000300248&lang=pt" 
"S1809-48642015000300191-scl","Angiosarcoma of the Head and Neck","Mullins, Brandon, Hackman, Trevor","International Archives of Otorhinolaryngology; 19(3); 191-195","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000300191&lang=pt" 
"S1809-48642015000300200-scl","Venous Thromboembolism-Incidence of Deep Venous Thrombosis and Pulmonary Embolism in Patients with Head and Neck Cancer: A Tertiary Care Experience in Pakistan","Ali, Naeem Sultan, Nawaz, Ahmad, Junaid, Montasir, Kazi, Maliha, Akhtar, Shabbir","International Archives of Otorhinolaryngology; 19(3); 200-204","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000300200&lang=pt" 
"S1809-48642015000300205-scl","Ambient Noise in Emergency Rooms and Its Health Hazards","Filus, Walderes, Lacerda, Adriana Bender Moreira de, Albizu, Evelyn","International Archives of Otorhinolaryngology; 19(3); 205-209","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000300205&lang=pt" 
"S1809-48642015000300210-scl","Hearing Aid Use and Adherence to Treatment in a Publicly-Funded Health Service from the City of São Paulo, Brazil","Iwahashi, Juliana Harumi, Jardim, Isabela de Souza, Shirayama, Yoshihisa, Yuasa, Motoyuki, Bento, Ricardo Ferreira","International Archives of Otorhinolaryngology; 19(3); 210-215","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000300210&lang=pt" 
"S1809-48642015000300216-scl","Relationship between Otolaryngologic Complaints and Systemic Comorbidities Observed in a Group of Hearing Aid Users","Ribas, Angela, Silvestre, Renata, Mottecy, Carla Meller, Kozlowski, Lorena, Marques, Jair Mendes","International Archives of Otorhinolaryngology; 19(3); 216-221","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000300216&lang=pt" 
"S1809-48642015000300222-scl","Study of the Hearing Threshold of Dance Teachers","Nehring, Cristiane, Bauer, Magda Aline, Teixeira, Adriane","International Archives of Otorhinolaryngology; 19(3); 222-228","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000300222&lang=pt" 
"S1809-48642015000300229-scl","The Effects of Unilateral Adaptation of Hearing Aids on Symptoms of Depression and Social Activity Constraints of Elderly","Santos, Fernanda Dutra dos, Teixeira, Adriane Ribeiro","International Archives of Otorhinolaryngology; 19(3); 229-233","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000300229&lang=pt" 
