"S0103-863X2014000100049-scl","Sources and Reactions to Stress in Brazilian Lawyers","Costa, Maria de Fátima Antunes Alves, Ferreira, Maria Cristina","Paidéia (Ribeirão Preto); 24(57); 49-56","Paidéia (Ribeirão Preto)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-863X2014000100049&lang=pt" 
"S1692-72732014000100002-col","Níveis de tiroglobulina prévia à ablação e persistência: recorrência precoce do câncer diferenciado da tireoide","Mejía López, Arturo, Tovar Cuevas, José Rafael, Gutiérrez Villamil, Claudia Teresa","Revista Ciencias de la Salud; 12(1); 9-21","Revista Ciencias de la Salud","Português","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-72732014000100002&lang=pt" 
"S1692-72732014000100001-col","Revista Ciencias de la Salud, pasado y futuro","Vélez Van Meerbeke, Alberto","Revista Ciencias de la Salud; 12(1); 05-07","Revista Ciencias de la Salud","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-72732014000100001&lang=pt" 
"S1692-72732014000100007-col","Políticas sanitarias, desarrollo y comunidad en la Argentina de los años sesenta","Ramacciotti, Karina Inés","Revista Ciencias de la Salud; 12(1); 89-109","Revista Ciencias de la Salud","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-72732014000100007&lang=pt" 
"S1692-72732014000100006-col","El intento de suicidio en la población pediátrica, una alarmante realidad","Jiménez Quenguan, Myriam, Hidalgo Bravo, Jesús, Camargo Santacruz, Constanza, Dulce Rosero, Bernardo","Revista Ciencias de la Salud; 12(1); 63-87","Revista Ciencias de la Salud","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-72732014000100006&lang=pt" 
"S1692-72732014000100005-col","Diseño de indicadores para el cuidado respiratorio y movilización temprana en una unidad de cuidado intensivo","Wilches Luna, Esther Cecilia, Casas Quiroga, Isabel Cristina","Revista Ciencias de la Salud; 12(1); 47-62","Revista Ciencias de la Salud","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-72732014000100005&lang=pt" 
"S1692-72732014000100004-col","Relación entre el polimorfismo Hind III de la lipoproteinlipasa y lípidos sanguíneos en un grupo de pacientes colombianos con enfermedad obstructiva coronaria","Oviedo García, Eliana, Giraldo, Alejandra María, Loango, Nelsy, Osorio, José Henry, Landázuri, Patricia","Revista Ciencias de la Salud; 12(1); 35-45","Revista Ciencias de la Salud","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-72732014000100004&lang=pt" 
"S0325-00752014000200013-arg","Síndrome de Mauriac en Argentina en el siglo XXI: serie de 5 casos","Oeschgef, Vanesa Verónica, Prieto, Mariana","Archivos argentinos de pediatría; 112(2); e46-e49","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200013&lang=pt" 
"S1807-17752014000100033-scl","Factores críticos de éxitos en busca de la ventaja competitiva dentro del Comercio Electrónico: un estudio empírico en las empresas paraguayas","Chung, Chap Kau Kwan, Cruz, Rosario García","JISTEM - Journal of Information Systems and Technology Management; 11(1); 33-52","JISTEM - Journal of Information Systems and Technology Management","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-17752014000100033&lang=pt" 
"S1807-17752014000100131-scl","Method for measuring the alignment between information technology strategic planning and actions of information technology governance","Silva, Lúcio Melre da, Souza Neto, João","JISTEM - Journal of Information Systems and Technology Management; 11(1); 131-152","JISTEM - Journal of Information Systems and Technology Management","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-17752014000100131&lang=pt" 
"S1807-17752014000100005-scl","Discovering citizens reaction toward e-government: factors in e-government adoption","Alomari, Mohammad Kamel","JISTEM - Journal of Information Systems and Technology Management; 11(1); 5-20","JISTEM - Journal of Information Systems and Technology Management","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-17752014000100005&lang=pt" 
"S1807-17752014000100215-scl","Repertory grid, laddering e análise de conteúdo: uma abordagem psicométrica para entender profissionais de tecnologia da informação","Moura Junior, Pedro Jácome de, Bellini, Carlo Gabriel Porto","JISTEM - Journal of Information Systems and Technology Management; 11(1); 215-232","JISTEM - Journal of Information Systems and Technology Management","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-17752014000100215&lang=pt" 
"S1807-17752014000100169-scl","Evaluation of management control systems in a higher education institution with the performance management and control","Beuren, Ilse Maria, Teixeira, Silvio Aparecido","JISTEM - Journal of Information Systems and Technology Management; 11(1); 169-192","JISTEM - Journal of Information Systems and Technology Management","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-17752014000100169&lang=pt" 
"S1807-17752014000100193-scl","Eliciting and defining requirements based on metaevaluation: the case of the CRAS 2008 Census","Ferneda, Edilson, Prado, Hércules Antonio do, Gadelha, Marcelo Gomes, Hedler, Helga Cristina","JISTEM - Journal of Information Systems and Technology Management; 11(1); 193-214","JISTEM - Journal of Information Systems and Technology Management","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-17752014000100193&lang=pt" 
"S1807-17752014000100021-scl","The future of audit","Lombardi, Danielle, Bloch, Rebecca, Vasarhelyi, Miklos","JISTEM - Journal of Information Systems and Technology Management; 11(1); 21-32","JISTEM - Journal of Information Systems and Technology Management","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-17752014000100021&lang=pt" 
"S1807-17752014000100105-scl","Technological innovation projects: proposal for an integrative model between project management and knowledge management in a customer-supplier perspective","Tavares, Edval da Silva, Pessoa, Marcelo Schneck de Paula","JISTEM - Journal of Information Systems and Technology Management; 11(1); 105-130","JISTEM - Journal of Information Systems and Technology Management","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-17752014000100105&lang=pt" 
"S0124-00642014000200001-spa","Actividad física y sedentarismo: Determinantes sociodemográficos, familiares y su impacto en la salud del adolescente","Lavielle-Sotomayor, Pilar, Pineda-Aquino, Victoria, Jáuregui-Jiménez, Omar, Castillo-Trejo, Martha","Revista de Salud Pública; 16(2); 161-172","Revista de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0124-00642014000200001&lang=pt" 
"S0124-00642014000200007-spa","Estándares de Acreditación &quot;derechos de pacientes&quot;: revisión y estado actual en Centros de Tratamiento en Drogadicción en Colombia","Zapata-Vanegas, Mario A.","Revista de Salud Pública; 16(2); 232-245","Revista de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0124-00642014000200007&lang=pt" 
"S0124-00642014000200008-spa","Factores correlacionados con la calidad de vida en pacientes diabéticos de bajos ingresos en Bogotá","Muñoz, Diana I., Gómez, Olga L., Ballesteros, Luz Carime","Revista de Salud Pública; 16(2); 246-259","Revista de Salud Pública","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0124-00642014000200008&lang=pt" 
"S0104-11692014000200317-scl","Evaluation of dysphagia risk, nutritional status and caloric intake in elderly patients with Alzheimer&#039;s","Goes, Vanessa Fernanda, Mello-Carpes, Pâmela Billig, Oliveira, Lilian Oliveira de, Hack, Jaqueline, Magro, Marcela, Bonini, Juliana Sartori","Revista Latino-Americana de Enfermagem; 22(2); 317-324","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200317&lang=pt" 
"S0104-11692014000200211-scl","Predictive factors for renal failure and a control and treatment algorithm","Cerqueira, Denise de Paula, Tavares, José Roberto, Machado, Regimar Carla","Revista Latino-Americana de Enfermagem; 22(2); 211-217","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200211&lang=pt" 
"S0104-11692014000200218-scl","Assessment and risk classification protocol for patients in emergency units","Silva, Michele de Freitas Neves, Oliveira, Gabriela Novelli, Pergola-Marconato, Aline Maino, Marconato, Rafael Silva, Bargas, Eliete Boaventura, Araujo, Izilda Esmenia Muglia","Revista Latino-Americana de Enfermagem; 22(2); 218-225","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200218&lang=pt" 
"S0104-11692014000200255-scl","Nursing diagnoses of newborns with sepsis in a Neonatal Intensive Care Unit","Santos, Ana Paula de Souza, Silva, Maria de Lourdes Costa da, Souza, Nilba Lima de, Mota, Gabriela Miranda, França, Débora Feitosa de","Revista Latino-Americana de Enfermagem; 22(2); 255-261","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200255&lang=pt" 
"S0104-11692014000200325-scl","Nursing Activities Score: nursing work load in a burns Intensive Care Unit","Camuci, Marcia Bernadete, Martins, Júlia Trevisan, Cardeli, Alexandrina Aparecida Maciel, Robazzi, Maria Lúcia do Carmo Cruz","Revista Latino-Americana de Enfermagem; 22(2); 325-331","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200325&lang=pt" 
"S0104-11692014000200286-scl","Maternal Eating and Physical Activity Strategies and their Relation with Children&#039;s Nutritional Status","Flores-Peña, Yolanda, Ortiz-Félix, Rosario Edith, Cárdenas-Villarreal, Velia Margarita, Ávila-Alpirez, Hermelinda, Alba-Alba, Corina Mariela, Hernández-Carranco, Roandy Gaspar","Revista Latino-Americana de Enfermagem; 22(2); 286-292","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200286&lang=pt" 
"S0104-11692014000200179-scl","Global health competencies according to nursing faculty from Brazilian higher education institutions","Ventura, Carla Aparecida Arena, Mendes, Isabel Amélia Costa, Wilson, Lynda Law, Godoy, Simone de, Tamí-Maury, Irene, Zárate-Grajales, Rosa, Salas-Segura, Susana","Revista Latino-Americana de Enfermagem; 22(2); 179-186","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200179&lang=pt" 
"S0104-11692014000200204-scl","Professional Master&#039;s degree in Nursing: knowledge production and challenges","Munari, Denize Bouttelet, Parada, Cristina Maria Garcia de Lima, Gelbcke, Francine de Lima, Silvino, Zenith Rosa, Ribeiro, Luana Cássia Miranda, Scochi, Carmen Gracinda Silvan","Revista Latino-Americana de Enfermagem; 22(2); 204-210","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200204&lang=pt" 
"S0104-11692014000200248-scl","Hope and spirituality among patients with chronic kidney disease undergoing hemodialysis: a correlational study","Ottaviani, Ana Carolina, Souza, Érica Nestor, Drago, Natália de Camargo, Mendiondo, Marisa Silvana Zazzetta de, Pavarini, Sofia Cristina Iost, Orlandi, Fabiana de Souza","Revista Latino-Americana de Enfermagem; 22(2); 248-254","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200248&lang=pt" 
"S0104-11692014000200241-scl","Experiences of family members of patients with colostomies and expectations about professional intervention","Ferreira-Umpiérrez, Augusto, Fort-Fort, Zoraida","Revista Latino-Americana de Enfermagem; 22(2); 241-247","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200241&lang=pt" 
"S0104-11692014000200277-scl","Assessment of techniques of massage and pumping in the treatment of breast engorgement by thermography","Heberle, Anita Batista dos Santos, Moura, Marcos Antônio Muniz de, Souza, Mauren Abreu de, Nohama, Percy","Revista Latino-Americana de Enfermagem; 22(2); 277-285","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200277&lang=pt" 
"S0104-11692014000200337-scl","Telephone follow-up of patients after radical prostatectomy: a systematic review","Mata, Luciana Regina Ferreira da, Silva, Ana Cristina da, Pereira, Maria da Graça, Carvalho, Emilia Campos de","Revista Latino-Americana de Enfermagem; 22(2); 337-345","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200337&lang=pt" 
"S0104-11692014000200332-scl","Impact of a physical activity program on the anxiety, depression, occupational stress and burnout syndrome of nursing professionals","Freitas, Anderson Rodrigues, Carneseca, Estela Cristina, Paiva, Carlos Eduardo, Paiva, Bianca Sakamoto Ribeiro","Revista Latino-Americana de Enfermagem; 22(2); 332-336","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200332&lang=pt" 
"S0104-11692014000200187-scl","Cultural experiences of immigrant nurses at two hospitals in Chile","Rodríguez, Gabriel, Angélica-Muñoz, Luz, Hoga, Luiza Akiko Komura","Revista Latino-Americana de Enfermagem; 22(2); 187-196","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200187&lang=pt" 
"S0104-11692014000200234-scl","Reliability of indicators of nursing care quality: testing interexaminer agreement and reliability","Vituri, Dagmar Willamowius, Évora, Yolanda Dora Martinez","Revista Latino-Americana de Enfermagem; 22(2); 234-240","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200234&lang=pt" 
"S0104-11692014000200293-scl","Post-abortion contraception: care and practices","Borges, Ana Luiza Vilela, Monteiro, Renata Luciria, Hoga, Luiza Akiko Komura, Fujimori, Elizabeth, Chofakian, Christiane Borges do Nascimento, Santos, Osmara Alves dos","Revista Latino-Americana de Enfermagem; 22(2); 293-300","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200293&lang=pt" 
"S0104-11692014000200309-scl","Participation of adolescents in the Family Health Strategy from the theoretical-methodological structure of an enabler to participation","Vieira, Roberta Peixoto, Gomes, Sílvia Helena Pereira, Machado, Maria de Fátima Antero Sousa, Bezerra, Italla Maria Pinheiro, Machado, Caroline Antero","Revista Latino-Americana de Enfermagem; 22(2); 309-316","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200309&lang=pt" 
"S0104-11692014000200301-scl","Neutropenia: occurrence and management in women with breast cancer receiving chemotherapy","Nascimento, Talita Garcia do, Andrade, Marceila de, Oliveira, Rosemeire Aparecida de, Almeida, Ana Maria de, Gozzo, Thais de Oliveira","Revista Latino-Americana de Enfermagem; 22(2); 301-308","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200301&lang=pt" 
"S0104-11692014000200197-scl","Translation and cultural adaptation for Brazil of the Developing Nurses&#039; Thinking model","Jensen, Rodrigo, Cruz, Diná de Almeida Lopes Monteiro da, Tesoro, Mary Gay, Lopes, Maria Helena Baena de Moraes","Revista Latino-Americana de Enfermagem; 22(2); 197-203","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200197&lang=pt" 
"S0104-11692014000200226-scl","Experience of nurses in the process of donation of organs and tissues for transplant","Moraes, Edvaldo Leal de, Santos, Marcelo José dos, Merighi, Miriam Aparecida Barbosa, Massarollo, Maria Cristina Komatsu Braga","Revista Latino-Americana de Enfermagem; 22(2); 226-233","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200226&lang=pt" 
"S0104-11692014000200262-scl","Nursing Diagnosis Risk for falls: prevalence and clinical profile of hospitalized patients","Luzia, Melissa de Freitas, Victor, Marco Antonio de Goes, Lucena, Amália de Fátima","Revista Latino-Americana de Enfermagem; 22(2); 262-268","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200262&lang=pt" 
"S0104-11692014000200269-scl","Weaving meanings from the deliberative process of collegiate management in nursing","Higashi, Giovana Dorneles Callegaro, Erdmann, Alacoque Lorenzini","Revista Latino-Americana de Enfermagem; 22(2); 269-276","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692014000200269&lang=pt" 
"S0102-36162014000200140-scl","Preoperative planning of primary total hip arthroplasty using conventional radiographs,","Miashiro, Edson Hidenori, Fujikib, Edson Noboru, Yamaguchi, Eduardo Nagashigue, Chikude, Takeshi, Rodrigues, Luiz Henrique Silveira, Fontes, Gustavo Martins, Rosa, Fausto Boccatto","Revista Brasileira de Ortopedia; 49(2); 140-148","Revista Brasileira de Ortopedia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162014000200140&lang=pt" 
"S0102-36162014000200178-scl","Functional evaluation of arthroscopic repair of rotator cuff injuries in patients with pseudoparalysis,","Miyazaki, Alberto Naoki, Fregoneze, Marcelo, Santos, Pedro Doneux, Silva, Luciana Andrade da, Sella, Guilherme do Val, Lopes Neto, Douglas Lobato, Muchiuti Junior, Melvis, Checchia, Sergio Luiz","Revista Brasileira de Ortopedia; 49(2); 178-182","Revista Brasileira de Ortopedia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162014000200178&lang=pt" 
"S0102-36162014000200174-scl","Do computed tomography and its 3D reconstruction increase the reproducibility of classifications of fractures of the proximal extremity of the humerus?,","Matsushigue, Thaís, Franco, Valmir Pagliaro, Pierami, Rafael, Tamaoki, Marcel Jun Sugawara, Netto, Nicola Archetti, Matsumoto, Marcelo Hide","Revista Brasileira de Ortopedia; 49(2); 174-177","Revista Brasileira de Ortopedia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162014000200174&lang=pt" 
"S0102-36162014000200167-scl","Clinical and functional evaluation of forefoot reconstruction in patients with rheumatoid arthritis,","Costa, Marco Túlio, Backer, Ricardo Cardoso, Ferreira, Ricardo Cardenuto","Revista Brasileira de Ortopedia; 49(2); 167-173","Revista Brasileira de Ortopedia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162014000200167&lang=pt" 
"S0102-36162014000200194-scl","Quality-of-life assessment among patients undergoing total knee arthroplasty in Manaus","Leão, Marcos George de Souza, Santoro, Erika Santos, Avelino, Rafael Lima, Coutinho, Lucas Inoue, Granjeiro, Ronan Campos, Orlando Junior, Nilton","Revista Brasileira de Ortopedia; 49(2); 194-201","Revista Brasileira de Ortopedia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162014000200194&lang=pt" 
"S0102-36162014000200183-scl","Fasciocutaneous flaps for covering foot and ankle injuries,","Quirino, Alexandre Carvalho, Viegas, Karen Cristina","Revista Brasileira de Ortopedia; 49(2); 183-188","Revista Brasileira de Ortopedia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162014000200183&lang=pt" 
"S0102-36162014000200189-scl","Evaluation of spinopelvic balance among patients undergoing surgical treatment for lumbar disk hernia","Oliveira, Rafael de Paiva, Coimbra, Vinícius Gonçalves, Chisté, Yuri Lubiana, Batista Junior, José Lucas, Jacob Junior, Charbel, Cardoso, Igor Machado, Rezende, Rodrigo","Revista Brasileira de Ortopedia; 49(2); 189-193","Revista Brasileira de Ortopedia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162014000200189&lang=pt" 
"S0102-36162014000200111-scl","Trauma to the nail complex","Silva, Jefferson Braga, Gerhardt, Samanta","Revista Brasileira de Ortopedia; 49(2); 111-115","Revista Brasileira de Ortopedia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162014000200111&lang=pt" 
"S0102-36162014000200116-scl","Intra-focal reduction and percutaneous fixation of neck fractures of the fifth metacarpal: description of surgical technique,","Ferreira, Gustavo Pacheco Martins, Pires, Paulo Randal, Portugal, André Lopes, Schneiter, Henrique de Gouvêa","Revista Brasileira de Ortopedia; 49(2); 116-120","Revista Brasileira de Ortopedia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162014000200116&lang=pt" 
"S0102-36162014000200103-scl","Current possibilities for hip arthroplasty,","Polesello, Giancarlo Cavalli, Guimarães, Rodrigo Pereira, Ricioli Júnior, Walter, Ono, Nelson Keiske, Honda, Emerson Kiyoshi, Queiroz, Marcelo Cavalheiro de","Revista Brasileira de Ortopedia; 49(2); 103-110","Revista Brasileira de Ortopedia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162014000200103&lang=pt" 
"S0102-36162014000200121-scl","Transtrochanteric fractures: evaluation of data between hospital admission and discharge,","Uliana, Christiano Saliba, Abagge, Marcelo, Malafaia, Osvaldo, Kalil Filho, Faruk Abrão, Cunha, Luiz Antonio Munhoz da","Revista Brasileira de Ortopedia; 49(2); 121-128","Revista Brasileira de Ortopedia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162014000200121&lang=pt" 
"S0102-36162014000200129-scl","Functional evaluation of patients with injury of the distal insertion of the biceps brachii muscle treated surgically,","Miyazaki, Alberto Naoki, Fregoneze, Marcelo, Santos, Pedro Doneux, Silva, Luciana Andrade da, Sella, Guilherme do Val, Duarte, Denis Cabral, Checchia, Sergio Luiz","Revista Brasileira de Ortopedia; 49(2); 129-133","Revista Brasileira de Ortopedia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162014000200129&lang=pt" 
"S1517-86922014000200137-scl","Comparação entre equações de referência e o teste de caminhada de seis minutos","Korn, Simone, Virtuoso, Janeisa Franck, Sandreschi, Paula Fabricio, Souza, Michelle Gonçalves de, Mazo, Giovana Zarpellon","Revista Brasileira de Medicina do Esporte; 20(2); 137-141","Revista Brasileira de Medicina do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922014000200137&lang=pt" 
"S1517-86922014000200110-scl","Efeito do exercício prévio no ciclismo de curta duração","Caritá, Renato Aparecido Corrêa, Caputo, Fabrizio, Greco, Camila Coelho, Denadai, Benedito Sérgio","Revista Brasileira de Medicina do Esporte; 20(2); 110-114","Revista Brasileira de Medicina do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922014000200110&lang=pt" 
"S1517-86922014000200115-scl","Qualidade do sono e tolerância ao esforço em portadores de apneia obstrutiva do sono","Nascimento, Aliny Priscilla do, Passos, Vívian Maria Moraes, Pedrosa, Rodrigo Pinto, Brasileiro-Santos, Maria do Socorro, Barros, Isly Maria Lucena de, Costa, Laura Olinda Bregieiro Fernandes, Santos, Amilton da Cruz, Lima, Anna Myrna Jaguaribe de","Revista Brasileira de Medicina do Esporte; 20(2); 115-118","Revista Brasileira de Medicina do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922014000200115&lang=pt" 
"S0103-863X2014000100011-scl","Scale of Family Unpredictability During Childhood: Validity Evidence","Howat-Rodrigues, Anna Beatriz Carnielli, Tokumaru, Rosana Suemi","Paidéia (Ribeirão Preto); 24(57); 11-20","Paidéia (Ribeirão Preto)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-863X2014000100011&lang=pt" 
"S1516-35982014000400175-scl","Body chemical composition, tissue deposition rates and gain composition of young Nellore cattle selected for postweaning weight","Bonilha, Eduardo Figueiredo Martins, Branco, Renata Helena, Bonilha, Sarah Figueiredo Martins, Araújo, Fabiana Lana de, Cyrillo, Joslaine Noely dos Santos Gonçalves, Magnani, Elaine","Revista Brasileira de Zootecnia; 43(4); 175-182","Revista Brasileira de Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982014000400175&lang=pt" 
"S0103-863X2014000100001-scl","A Time to Remember: The Fiftieth Anniversary of the Faculty of Philosophy, Sciences and Letters at Ribeirão Preto, University of São Paulo","","Paidéia (Ribeirão Preto); 24(57); 1-3","Paidéia (Ribeirão Preto)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-863X2014000100001&lang=pt" 
"S0103-863X2014000100005-scl","Paidéia: Management Report - 2013","Santos, Manoel Antônio dos","Paidéia (Ribeirão Preto); 24(57); 5-9","Paidéia (Ribeirão Preto)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-863X2014000100005&lang=pt" 
"S0103-863X2014000100039-scl","Mobbing of Working Students","Jacoby, Alessandra Rodrigues, Monteiro, Janine Kieling","Paidéia (Ribeirão Preto); 24(57); 39-47","Paidéia (Ribeirão Preto)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-863X2014000100039&lang=pt" 
"S0103-863X2014000100075-scl","Emergence of Reading and Writing in Illiterate Adults After Matching-to-Sample Tasks","Bandini, Carmen Silvia Motta, Bandini, Heloisa Helena Motta, Sella, Ana Carolina, Souza, Deisy das Graças de","Paidéia (Ribeirão Preto); 24(57); 75-84","Paidéia (Ribeirão Preto)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-863X2014000100075&lang=pt" 
"S0103-863X2014000100021-scl","Influence of Psychological, Anthropometric and Sociodemographic Factors on the Symptoms of Eating Disorders in Young Athletes","Fortes, Leonardo de Sousa, Almeida, Sebastião de Sousa, Ferreira, Maria Elisa Caputo","Paidéia (Ribeirão Preto); 24(57); 21-27","Paidéia (Ribeirão Preto)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-863X2014000100021&lang=pt" 
"S0103-863X2014000100067-scl","Coping Strategies Among Brazilian Pregnant Women Living With HIV","Faria, Evelise Rigoni de, Gonçalves, Tonantzin Ribeiro, Carvalho, Fernanda Torres de, Lopes, Rita de Cássia Sobreira, Piccinini, Cesar Augusto","Paidéia (Ribeirão Preto); 24(57); 67-74","Paidéia (Ribeirão Preto)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-863X2014000100067&lang=pt" 
"S0103-863X2014000100115-scl","Smartphones and Location Awareness in Brazil: Users’ Reactions","Nicolaci-da-Costa, Ana Maria, Matos-Silva, Mariana Santiago de","Paidéia (Ribeirão Preto); 24(57); 115-123","Paidéia (Ribeirão Preto)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-863X2014000100115&lang=pt" 
"S1676-24442014000200165-scl","Rhabdomyomatous mesenchymal hamartoma: a case report","Rodrigues, Fernanda Alves Luiz, Cysneiros, Maria Auxiliadora de Paula Carneiro, Rodrigues Júnior, Rubson, Sugita, Denis Masashi","Jornal Brasileiro de Patologia e Medicina Laboratorial; 50(2); 165-168","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442014000200165&lang=pt" 
