"S1413-81232012000500011-spa","Atendimento de saúde para pessoas idosas vítimas de violência no município do Rio de Janeiro","Ribeiro, Adalgisa Peixoto, Souza, Edinilsa Ramos de, Valadares, Fabiana Castelo","Ciência &amp; Saúde Coletiva; 17(5); 1167-1177","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000500011&lang=pt" 
"S1413-81232012000500027-spa","A saúde bucal na mídia impressa: análise das matérias jornalísticas nos anos de 2004-2009","Cavaca, Aline Guio, Gentilli, Victor, Zandonade, Eliana, Cortellete Júnior, Moacyr, Emmerich, Adauto","Ciência &amp; Saúde Coletiva; 17(5); 1333-1345","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000500027&lang=pt" 
"S1413-81232012000500015-scl","Pobreza e Política Social: a implementação de programas complementares do Programa Bolsa Família","Santos, Cláudia Roberta Bocca, Magalhães, Rosana","Ciência &amp; Saúde Coletiva; 17(5); 1215-1224","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000500015&lang=pt" 
"S0042-96862012000500016-spa","M-health for health behaviour change in resource-limited settings: applications to HIV care and beyond","Thirumurthy, Harsha, Lester, Richard T","Bulletin of the World Health Organization; 90(5); 390-392","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000500016&lang=pt" 
"S0042-96862012000500015-spa","Short message service sentinel surveillance of influenza-like illness in Madagascar, 2008-2012","Rajatonirina, Soatiana, Heraud, Jean-Michel, Randrianasolo, Laurence, Orelle, Arnaud, Razanajatovo, Norosoa Harline, Raoelina, Yolande Nirina, Ravolomanana, Lisette, Rakotomanana, Fanjasoa, Ramanjato, Robinson, Randrianarivo-Solofoniaina, Armand Eugène, Richard, Vincent","Bulletin of the World Health Organization; 90(5); 385-389","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000500015&lang=pt" 
"S0042-96862012000500014-spa","Improving quality and use of data through data-use workshops: Zanzibar, United Republic of Tanzania","Braa, Jørn, Heywood, Arthur, Sahay, Sundeep","Bulletin of the World Health Organization; 90(5); 379-384","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000500014&lang=pt" 
"S0042-96862012000500013-spa","Improving patient access to specialized health care: the Telehealth Network of Minas Gerais, Brazil","Alkmim, Maria Beatriz, Figueira, Renato Minelli, Marcolino, Milena Soriano, Cardoso, Clareci Silva, Abreu, Monica Pena de, Cunha, Lemuel Rodrigues, Cunha, Daniel Ferreira da, Antunes, Andre Pires, Resende, Adélson Geraldo de A, Resende, Elmiro Santos, Ribeiro, Antonio Luiz Pinho","Bulletin of the World Health Organization; 90(5); 373-378","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000500013&lang=pt" 
"S0042-96862012000500001-spa","","","Bulletin of the World Health Organization; 90(5); 321-321","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000500001&lang=pt" 
"S0042-96862012000500007-spa","The bigger picture for e-health","","Bulletin of the World Health Organization; 90(5); 330-331","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000500007&lang=pt" 
"S0042-96862012000500006-spa","E-health&#039;s future frontiers","","Bulletin of the World Health Organization; 90(5); 328-329","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000500006&lang=pt" 
"S0042-96862012000500005-spa","Measuring the impact of e-health","","Bulletin of the World Health Organization; 90(5); 326-327","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000500005&lang=pt" 
"S0042-96862012000500003-spa","Improving the credibility of electronic health technologies","van Gemert-Pijnen, JEWC, Wynchank, S, Covvey, HD, Ossebaard, HC","Bulletin of the World Health Organization; 90(5); 323-323A","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000500003&lang=pt" 
"S0042-96862012000500004-spa","Public health round-up","","Bulletin of the World Health Organization; 90(5); 324-325","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000500004&lang=pt" 
"S0042-96862012000500002-spa","Establishing an evidence base for e-health: the proof is in the pudding","Al-Shorbaji, Najeeb, Geissbuhler, Antoine","Bulletin of the World Health Organization; 90(5); 322-322A","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000500002&lang=pt" 
"S0042-96862012000500009-spa","Long-running telemedicine networks delivering humanitarian services: experience, performance and scientific output","Wootton, Richard, Geissbuhler, Antoine, Jethwani, Kamal, Kovarik, Carrie, Person, Donald A, Vladzymyrskyy, Anton, Zanaboni, Paolo, Zolfo, Maria","Bulletin of the World Health Organization; 90(5); 341-347D","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000500009&lang=pt" 
"S0042-96862012000500011-spa","Factors that promote or inhibit the implementation of e-health systems: an explanatory systematic review","Mair, Frances S, May, Carl, O&#039;Donnell, Catherine, Finch, Tracy, Sullivan, Frank, Murray, Elizabeth","Bulletin of the World Health Organization; 90(5); 357-364","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000500011&lang=pt" 
"S0042-96862012000500019-spa","Securing the public good of health research and development for developing countries","Røttingen, John-Arne, Chamas, Claudia, Goyal, LC, Harb, Hilda, Lagrada, Leizel, Mayosi, Bongani Mawethu","Bulletin of the World Health Organization; 90(5); 398-400","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000500019&lang=pt" 
"S0042-96862012000500018-spa","Successful partnerships for international collaboration in e-health: the need for organized national infrastructures","Kwankam, S Yunkap","Bulletin of the World Health Organization; 90(5); 395-397","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000500018&lang=pt" 
"S0042-96862012000500017-spa","Point of care in your pocket: a research agenda for the field of m-health","Heerden, Alastair van, Tomlinson, Mark, Swartz, Leslie","Bulletin of the World Health Organization; 90(5); 393-394","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000500017&lang=pt" 
"S0042-96862012000500008-spa","E-health in low-and middle-income countries: findings from the Center for Health Market Innovations","Lewis, Trevor, Synowiec, Christina, Lagomarsino, Gina, Schweitzer, Julian","Bulletin of the World Health Organization; 90(5); 332-340","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000500008&lang=pt" 
"S0042-96862012000500010-spa","Early infant diagnosis of HIV infection in Zambia through mobile phone texting of blood test results","Seidenberg, Phil, Nicholson, Stephen, Schaefer, Merrick, Semrau, Katherine, Bweupe, Maximillian, Masese, Noel, Bonawitz, Rachael, Chitembo, Lastone, Goggin, Caitlin, Thea, Donald M","Bulletin of the World Health Organization; 90(5); 348-356","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000500010&lang=pt" 
"S0042-96862012000500012-spa","Impacts of e-health on the outcomes of care in low-and middle-income countries: where do we go from here?","Piette, John D, Lun, KC, Moura Jr, Lincoln A, Fraser, Hamish SF, Mechael, Patricia N, Powell, John, Khoja, Shariq R","Bulletin of the World Health Organization; 90(5); 365-372","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000500012&lang=pt" 
"S0004-282X2012000500016-scl","Medulla compression caused by vertebrobasilar dolichoectasia","Jiménez Caballero, Pedro Enrique, Casado Naranjo, Ignacio","Arquivos de Neuro-Psiquiatria; 70(5); 384-385","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000500016&lang=pt" 
"S0004-282X2012000500015-scl","Bath-related headache: a Brazilian case report","Camara Filho, José Waldo S., Medeiros, Fabiola Lys, Sougey, Everton Botelho","Arquivos de Neuro-Psiquiatria; 70(5); 383-384","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000500015&lang=pt" 
"S0004-282X2012000500002-scl","Influenza A (H1N1) induced-myopathy: an important extrapulmonary complication","Oliveira, Acary Souza Bulle","Arquivos de Neuro-Psiquiatria; 70(5); 316-318","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000500002&lang=pt" 
"S0004-282X2012000500001-scl","Surgery for refractory mesial temporal lobe epilepsy: prognostic factors and early, rather than late, intervention","Guerreiro, Carlos Alberto Mantovani","Arquivos de Neuro-Psiquiatria; 70(5); 315-315","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000500001&lang=pt" 
"S0004-282X2012000500004-scl","Muscle biopsy features in critical ill patients with 2009 influenza A (H1N1) virus infection","Lorenzoni, Paulo José, Kay, Cláudia Suemi Kamoi, Scola, Rosana Herminia, Carraro Júnior, Hipólito, Werneck, Lineu Cesar","Arquivos de Neuro-Psiquiatria; 70(5); 325-329","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000500004&lang=pt" 
"S0004-282X2012000500013-scl","Cervical spinal cord infarct associated with patent foramen ovale","Domingues, Renan Barros, Vilas-Novas, Mayara Ferreira","Arquivos de Neuro-Psiquiatria; 70(5); 381-382","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000500013&lang=pt" 
"S0004-282X2012000500005-scl","Combined nerve conduction index in diabetic polyneuropathy","Heise, Carlos Otto, Machado, Flavia Costa Nunes, Amorim, Simone Consuelo de, Toledo, Sonia Maria de","Arquivos de Neuro-Psiquiatria; 70(5); 330-334","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000500005&lang=pt" 
"S0004-282X2012000500010-scl","Cerebral hemodynamics: concepts of clinical importance","Bor-Seng-Shu, Edson, Kita, William S., Figueiredo, Eberval G., Paiva, Wellingson S., Fonoff, Erich T., Teixeira, Manoel J., Panerai, Ronney B.","Arquivos de Neuro-Psiquiatria; 70(5); 357-365","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000500010&lang=pt" 
"S0004-282X2012000500007-scl","Neuropsychological performance in patients with subcortical stroke","Andrade, Silviane Pinheiro Campos de, Brucki, Sônia Maria Dozzi, Bueno, Orlando Francisco Amodeo, Siqueira Neto, José Ibiapina","Arquivos de Neuro-Psiquiatria; 70(5); 341-347","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000500007&lang=pt" 
"S0004-282X2012000500012-scl","Brazilian guidelines for the application of transcranial ultrasound as a diagnostic test for the confirmation of brain death","Lange, Marcos C., Zétola, Viviane H. F., Miranda-Alves, Maramélia, Moro, Carla H. C., Silvado, Carlos E., Rodrigues, Daniela L. G., Gregorio, Edilene Guiotti di, Silva, Gisele S., Oliveira-Filho, Jamary, Perdatella, Marco T. A., Pontes-Neto, Octávio M., Fábio, Soraia R. C., Avelar, Wagner M., Freitas, Gabriel R. de","Arquivos de Neuro-Psiquiatria; 70(5); 373-380","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000500012&lang=pt" 
"S0004-282X2012000500020-scl","The role of transcranial Doppler in hydrocephalus (Abstract)","Matta, André P.C.","Arquivos de Neuro-Psiquiatria; 70(5); 388-388","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000500020&lang=pt" 
"S0004-282X2012000500019-scl","Parkinson&#039;s disease: the role of dopamine transporter neuroimaging in clinically unclear cases (Abstract)","Felicio, Andre Carvalho","Arquivos de Neuro-Psiquiatria; 70(5); 387-388","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000500019&lang=pt" 
"S0004-282X2012000500018-scl","The spectrum of cognitive impairment in neurocysticercosis: differences according to disease phase (Abstract)","Rodrigues, Cleonísio Leite","Arquivos de Neuro-Psiquiatria; 70(5); 387-387","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000500018&lang=pt" 
"S0004-282X2012000500017-scl","Extensive epidural fluid collections: does it influence the outcome?","França, Sara, Carvalho, Ana Teresa, Guimarães, Joana, Figueiredo, Rita, Reis, Carina, Gomes, Maria Armanda","Arquivos de Neuro-Psiquiatria; 70(5); 386-386","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000500017&lang=pt" 
"S0004-282X2012000500003-scl","Temporal lobe epilepsy with mesial temporal sclerosis: hippocampal neuronal loss as a predictor of surgical outcome","Jardim, Anaclara Prada, Neves, Rafael Scarpa da Costa, Caboclo, Luís Otávio Sales Ferreira, Lancellotti, Carmen Lucia Penteado, Marinho, Murilo Martinez, Centeno, Ricardo Silva, Cavalheiro, Esper Abrão, Scorza, Carla Alessandra, Yacubian, Elza Márcia Targas","Arquivos de Neuro-Psiquiatria; 70(5); 319-324","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000500003&lang=pt" 
"S0004-282X2012000500009-scl","Depression Subscale of the Hospital Anxiety and Depression Scale applied preoperatively in spinal surgery","Falavigna, Asdrubal, Righesso, Orlando, Teles, Alisson Roberto, Baseggio, Natália, Velho, Maíra Cristina, Ruschel, Leonardo Gilmone, Abruzzi, Fabíola, Silva, Pedro Guarise da","Arquivos de Neuro-Psiquiatria; 70(5); 352-356","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000500009&lang=pt" 
"S0004-282X2012000500011-scl","Pathophysiology of acute meningitis caused by Streptococcus pneumoniae and adjunctive therapy approaches","Barichello, Tatiana, Generoso, Jaqueline S., Collodel, Allan, Moreira, Ana Paula, Almeida, Sérgio Monteiro de","Arquivos de Neuro-Psiquiatria; 70(5); 366-372","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000500011&lang=pt" 
"S0004-282X2012000500006-scl","Executive attention and working memory in narcoleptic outpatients","Moraes, Mirleny, Rossini, Sueli, Reimão, Rubens","Arquivos de Neuro-Psiquiatria; 70(5); 335-340","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000500006&lang=pt" 
"S0100-72032012000500008-scl","Sobrevida e morbidade em prematuros com menos de 32 semanas de gestação na região central do Brasil","Castro, Márcia Pimentel de, Rugolo, Lígia Maria Suppo Souza, Margotto, Paulo Roberto","Revista Brasileira de Ginecologia e Obstetrícia; 34(5); 235-242","Revista Brasileira de Ginecologia e Obstetrícia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032012000500008&lang=pt" 
"S0004-282X2012000500008-scl","Medical conditions and body pain in patients presenting orofacial pain","Franco, Ana Lúcia, Runho, Gabriel Henrique Farto, Siqueira, José Tadeu Tesseroli de, Camparis, Cinara Maria","Arquivos de Neuro-Psiquiatria; 70(5); 348-351","Arquivos de Neuro-Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2012000500008&lang=pt" 
"S0100-72032012000500001-scl","Ultrassonografia obstétrica no Brasil: um apelo à padronização","Bruns, Rafael Frederico, Araujo Júnior, Edward, Nardozza, Luciano Marcondes Machado, Moron, Antonio Fernandes","Revista Brasileira de Ginecologia e Obstetrícia; 34(5); 191-195","Revista Brasileira de Ginecologia e Obstetrícia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032012000500001&lang=pt" 
"S0100-72032012000500002-scl","Carcinoma de ovário seroso e não seroso: tipo histológico em relação ao grau de diferenciação e prognóstico","Ferreira, Patrícia Andréia Rodrigues, Sallum, Luis Felipe Trincas Assad, Sarian, Luis Otávio, Andrade, Liliana A. Lucci De Angelo, Derchain, Sophie","Revista Brasileira de Ginecologia e Obstetrícia; 34(5); 196-202","Revista Brasileira de Ginecologia e Obstetrícia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032012000500002&lang=pt" 
"S0100-72032012000500003-scl","Oócitos aparentemente maduros injetados em telófase I apresentam piores resultados de reprodução assistida","Dib, Luciana Azôr, Araújo, Maria Cristina Picinato Medeiros de, Giorgenon, Roberta Cristina, Ferriani, Rui Alberto, Navarro, Paula Andrea de Albuquerque Sales","Revista Brasileira de Ginecologia e Obstetrícia; 34(5); 203-208","Revista Brasileira de Ginecologia e Obstetrícia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032012000500003&lang=pt" 
"S0100-72032012000500004-scl","Estudo comparativo entre o teste do pH e do KOH versus escore de Nugent para diagnóstico da vaginose bacteriana em gestantes","Campos, Ana Aurélia Salles, Leite, Alessandra Plácido Lima, Lisboa, Clarissa Verena Ferraz, Andrade, Camila Cerqueira, Bezerra, Antônio Fernando, Mattar, Rosiane, Souza, Eduardo de","Revista Brasileira de Ginecologia e Obstetrícia; 34(5); 209-214","Revista Brasileira de Ginecologia e Obstetrícia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032012000500004&lang=pt" 
"S0100-72032012000500005-scl","Morbidades e fatores associados em mulheres climatéricas: estudo de base populacional em mulheres com 11 anos ou mais de escolaridade","Machado, Vanessa de Souza Santos, Valadares, Ana Lúcia Ribeiro, Costa-Paiva, Lucia, Morais, Sirlei Siani, Pinto-Neto, Aarão Mendes","Revista Brasileira de Ginecologia e Obstetrícia; 34(5); 215-220","Revista Brasileira de Ginecologia e Obstetrícia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032012000500005&lang=pt" 
"S0100-72032012000500006-scl","Avaliação ultrassonográfica de cicatriz uterina pós-cesariana segmentar transversa","Bazzo, Jorgete Maria Buso, Tambara, Elizabeth Milla, Campos, Antonio Carlos Ligocki, Feijó, Rodrigo de Paula","Revista Brasileira de Ginecologia e Obstetrícia; 34(5); 221-227","Revista Brasileira de Ginecologia e Obstetrícia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032012000500006&lang=pt" 
"S0100-72032012000500007-scl","Fotoproteção, melasma e qualidade de vida em gestantes","Purim, Kátia Sheylla Malta, Avelar, Maria Fernanda de Santana","Revista Brasileira de Ginecologia e Obstetrícia; 34(5); 228-234","Revista Brasileira de Ginecologia e Obstetrícia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032012000500007&lang=pt" 
"S1807-76922012000500006-scl","Is ISO 14001 certification effective?: an experimental analysis of firm profitability","Ferron, Renato Tognere, Funchal, Bruno, Nossa, Valcemiro, Teixeira, Aridelmo J. C.","BAR - Brazilian Administration Review; 9(spe); 78-94","BAR - Brazilian Administration Review","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-76922012000500006&lang=pt" 
"S1807-76922012000500001-scl","","Carneiro, Jorge","BAR - Brazilian Administration Review; 9(spe); -","BAR - Brazilian Administration Review","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-76922012000500001&lang=pt" 
"S1807-76922012000500002-scl","A constructionist approach for the study of strategy as social practice","Silva, Alfredo Rodrigues Leite da, Carrieri, Alexandre de Pádua, Souza, Eloisio Moulin de","BAR - Brazilian Administration Review; 9(spe); 1-18","BAR - Brazilian Administration Review","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-76922012000500002&lang=pt" 
"S1807-76922012000500003-scl","Implementing strategies in complex systems: lessons from Brazilian hospitals","Meyer Junior, Victor, Pascucci, Lucilaine, Murphy, J. Patrick","BAR - Brazilian Administration Review; 9(spe); 19-37","BAR - Brazilian Administration Review","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-76922012000500003&lang=pt" 
"S1807-76922012000500004-scl","Intellectual capital and organizational renewal: building dynamic capabilities through people","Biazzi, Fabio de","BAR - Brazilian Administration Review; 9(spe); 38-59","BAR - Brazilian Administration Review","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-76922012000500004&lang=pt" 
"S1807-76922012000500005-scl","The Entrepreneurial Orientation-Dominant Logic-performance relationship in new ventures: an exploratory quantitative study","Campos, Héctor Montiel, la Parra, José Pablo Nuño de, Parellada, Francesc Solé","BAR - Brazilian Administration Review; 9(spe); 60-77","BAR - Brazilian Administration Review","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-76922012000500005&lang=pt" 
"S1807-76922012000500007-scl","Toward a subjective measurement model for firm performance","Santos, Juliana Bonomi, Brito, Luiz Artur Ledur","BAR - Brazilian Administration Review; 9(spe); 95-117","BAR - Brazilian Administration Review","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-76922012000500007&lang=pt" 
"S1519-69842012000200005-scl","The status of conservation of urban forests in eastern Amazonia","Amaral, DD, Vieira, ICG, Salomão, RP, Almeida, SS, Jardim, MAG","Brazilian Journal of Biology; 72(2); 257-265","Brazilian Journal of Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012000200005&lang=pt" 
"S1519-69842012000200008-scl","Trichodina nobilis Chen, 1963 and Trichodina reticulata Hirschmann et Partsch, 1955 from ornamental freshwater fishes in Brazil","Martins, ML, Marchiori, N, Roumbedakis, K, Lami, F","Brazilian Journal of Biology; 72(2); 281-286","Brazilian Journal of Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012000200008&lang=pt" 
"S1519-69842012000200009-scl","Spatial distribution of epibenthic molluscs on a sandstone reef in the Northeast of Brazil","Martinez, AS., Mendes, LF., Leite, TS.","Brazilian Journal of Biology; 72(2); 287-298","Brazilian Journal of Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012000200009&lang=pt" 
"S1519-69842012000200012-scl","Water beetles in mountainous regions in southeastern Brazil","Segura, MO., Fonseca-Gessner, AA., Spies, MR., Siegloch, AE.","Brazilian Journal of Biology; 72(2); 311-321","Brazilian Journal of Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012000200012&lang=pt" 
"S1519-69842012000200014-scl","The activity patterns and microhabitat use of Pseudis minuta Günther, 1858 (Anura, Hylidae) in the Lagoa do Peixe National Park, a biosphere reserve of the brazilian subtropics","Huckembeck, S., Claudino, M., Correa, F., Bastos, RF., Loebmann, D., Tozetti, AM., Garcia, AM.","Brazilian Journal of Biology; 72(2); 331-336","Brazilian Journal of Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012000200014&lang=pt" 
"S1519-69842012000200016-scl","Effects of light intensity and temperature on Cylindrospermopsis raciborskii (Cyanobacteria) with straight and coiled trichomes: growth rate and morphology","Bittencourt-Oliveira, MC., Buch, B., Hereman, TC., Arruda-Neto, JDT., Moura, AN., Zocchi, SS.","Brazilian Journal of Biology; 72(2); 343-351","Brazilian Journal of Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012000200016&lang=pt" 
"S1519-69842012000200017-scl","Nesting behavior of Trypoxylon (Trypargilum) agamemnom Richards (Hymenoptera: Crabronidae)","Buschini, MLT, Donatti, AJ","Brazilian Journal of Biology; 72(2); 353-362","Brazilian Journal of Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012000200017&lang=pt" 
"S1519-69842012000200019-scl","Anatomy and lignification status of the Lophanthera lactescens Ducke plant grown in vitro","Amaral, D., Abreu, HS., Lima, HRP., Gevú, KV., Elias, TF., Tenório, J.","Brazilian Journal of Biology; 72(2); 371-378","Brazilian Journal of Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012000200019&lang=pt" 
"S1519-69842012000200007-scl","Prey-capture efficiency between juveniles and adults, feeding habitat and abundance of Wattled Jacana foragers in northern Pantanal, Mato Grosso state, Brazil","Forti, LR, Nóbrega, PFA","Brazilian Journal of Biology; 72(2); 275-279","Brazilian Journal of Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012000200007&lang=pt" 
"S1519-69842012000200006-scl","Niche enlargement as a consequence of co-existence: a case study","Mazzoni, R., Marques, PS., Rezende, CF., Iglesias-Rios, R.","Brazilian Journal of Biology; 72(2); 267-274","Brazilian Journal of Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012000200006&lang=pt" 
"S1519-69842012000200004-scl","Environmental influences on the composition and structure of the freshwater mussels in shallow lakes in the Cuiabá River floodplain","Colle, AC., Callil, CT.","Brazilian Journal of Biology; 72(2); 249-256","Brazilian Journal of Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012000200004&lang=pt" 
"S1519-69842012000200018-scl","Two new Brazilian isolates of Bacillus thuringiensis toxic to Anticarsia gemmatalis (Lepidoptera: Noctuidae)","Fiuza, LM., Schünemann, R., Pinto, LMN., Zanettini, MHB.","Brazilian Journal of Biology; 72(2); 363-369","Brazilian Journal of Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012000200018&lang=pt" 
"S1519-69842012010300002-scl","When experience is not a synonymous of efficiency: the case of the juveniles Wattled Jacanas from the Brazilian Pantanal","Forti, Lucas Rodriguez","Brazilian Journal of Biology; 72(2); -","Brazilian Journal of Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012010300002&lang=pt" 
"S1519-69842012000200001-scl","The choice of bromeliads as a microhabitat by Scinax argyreornatus (Anura, Hylidae)","Pederassi, J., Lima, MSCS., Peixoto, OL., Souza, CAS","Brazilian Journal of Biology; 72(2); 229-233","Brazilian Journal of Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012000200001&lang=pt" 
"S1519-69842012010300001-scl","What determines the distribution of freshwater mussels in the Pantanal?","Callil, Claudia T.","Brazilian Journal of Biology; 72(2); -","Brazilian Journal of Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012010300001&lang=pt" 
