"S1852-99922011000300010-arg","Colonoscopía virtual","Seehaus, Alberto Cristian","Revista argentina de radiología; 75(3); 222-222","Revista argentina de radiología","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922011000300010&lang=pt" 
"S0103-20032011000300006-scl","O impacto de políticas tributárias sobre o arroz do Rio Grande do Sul no contexto do Mercosul","Oliveira, Camilo Feliciano de, Stülp, Valter José","Revista de Economia e Sociologia Rural; 49(3); 647-679","Revista de Economia e Sociologia Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032011000300006&lang=pt" 
"S1852-73372011000300001-arg","Valoración del consumo de masas orgánicas durante la actividad deportiva","Witriw, AM","Diaeta; 29(136); 7-9","Diaeta","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73372011000300001&lang=pt" 
"S1852-73372011000300002-arg","Variables relacionadas con la calidad de atención de la consulta nutricional y percepción del éxito en el tratamiento para el control del peso corporal","Torresani, ME, Urrutia, SJ, Vainer, MJ, Vallote, MM, Vanco, RC, Videla, L","Diaeta; 29(136); 10-17","Diaeta","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73372011000300002&lang=pt" 
"S1852-73372011000300003-arg","Percepción de imagen corporal y conductas alimentarias de riesgo en bailarinas de danza clásica del Liceo Municipal de la ciudad de Santa Fe","Paredes, F, Nessier, C, Gonzalez, M","Diaeta; 29(136); 18-24","Diaeta","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73372011000300003&lang=pt" 
"S1852-73372011000300004-arg","Resúmenes del XVII encuentro anual de nutricionistas","","Diaeta; 29(136); 25-41","Diaeta","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73372011000300004&lang=pt" 
"S0100-204X2011000900004-scl","Fenologia e escalonamento da produção do abacaxizeiro &#039;Smooth Cayenne&#039; no cerrado de Mato Grosso","Kist, Helio Gaspar Kuoos, Ramos, José Darlan, Santos, Verônica Andrade dos, Rufini, José Carlos Moraes","Pesquisa Agropecuária Brasileira; 46(9); 992-997","Pesquisa Agropecuária Brasileira","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2011000900004&lang=pt" 
"S0100-204X2011000900008-scl","Detection and mapping of a lethal locus in a eucalyptus hybrid population","Rosado, Tatiana Barbosa, Tomaz, Rafael Simões, Rocha, Rodrigo Barros, Rosado, Antônio Marcos, Alves, Alexandre Alonso, Araújo, Elza Fernandes de, Alfenas, Acelino Couto, Cruz, Cosme Damião","Pesquisa Agropecuária Brasileira; 46(9); 1021-1028","Pesquisa Agropecuária Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2011000900008&lang=pt" 
"S1853-001X2011000200001-arg","Presentación","De Leone, Lucía","Mora (Buenos Aires); 17(2); -","Mora (Buenos Aires)","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2011000200001&lang=pt" 
"S1853-001X2011000200002-arg","Feminismos en clave latinoamericana: un recorrido sobre Fem, Isis y Fempress","Grammático, Karin","Mora (Buenos Aires); 17(2); -","Mora (Buenos Aires)","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2011000200002&lang=pt" 
"S1853-001X2011000200003-arg","Apuntes para una historia de Las12","Torricella, Paula","Mora (Buenos Aires); 17(2); -","Mora (Buenos Aires)","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2011000200003&lang=pt" 
"S1853-001X2011000200004-arg","Tensiones, genealogías y feminismos en los 80: Un acercamiento a alfonsina, primer periódico para mujeres","Diz, Tania","Mora (Buenos Aires); 17(2); -","Mora (Buenos Aires)","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2011000200004&lang=pt" 
"S1853-001X2011000200005-arg","La invención de la asimetría: Las columnas de María Moreno en Babel, revista de libros(1988-1989)","Rodríguez Carranza, Luz","Mora (Buenos Aires); 17(2); -","Mora (Buenos Aires)","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2011000200005&lang=pt" 
"S1853-001X2011000200006-arg","Presentación","Castro, Marcela","Mora (Buenos Aires); 17(2); -","Mora (Buenos Aires)","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2011000200006&lang=pt" 
"S1853-001X2011000200007-arg","Cuarto propio, espacio editorial en campo adverso: Entrevista a Marisol Vera","Castro, Marcela","Mora (Buenos Aires); 17(2); -","Mora (Buenos Aires)","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2011000200007&lang=pt" 
"S1853-001X2011000200008-arg","¿Quién quiere ser invisible?","Piccolini, Patricia","Mora (Buenos Aires); 17(2); -","Mora (Buenos Aires)","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2011000200008&lang=pt" 
"S1853-001X2011000200009-arg","Mamá ya no amasa: Género y edición en los libros de texto","Podetti, Mariana","Mora (Buenos Aires); 17(2); -","Mora (Buenos Aires)","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2011000200009&lang=pt" 
"S1853-001X2011000200010-arg","Mujeres en los medios","","Mora (Buenos Aires); 17(2); -","Mora (Buenos Aires)","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2011000200010&lang=pt" 
"S1853-001X2011000200011-arg","Revistas universitarias","","Mora (Buenos Aires); 17(2); -","Mora (Buenos Aires)","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2011000200011&lang=pt" 
"S1853-001X2011000200012-arg","Los usos periodísticos de la violencia","Chejter, Silvia","Mora (Buenos Aires); 17(2); -","Mora (Buenos Aires)","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2011000200012&lang=pt" 
"S1853-001X2011000200013-arg","Presentación","Domínguez, Nora","Mora (Buenos Aires); 17(2); -","Mora (Buenos Aires)","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2011000200013&lang=pt" 
"S1853-001X2011000200014-arg","Ley 26.522 de Servicios de Comunicación Audiovisual: Una normativa encuadrada en el paradigma de los Derechos Humanos","Baranchuk, Mariana","Mora (Buenos Aires); 17(2); -","Mora (Buenos Aires)","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2011000200014&lang=pt" 
"S1853-001X2011000200015-arg","Iguales, pero diferentes","Pelazas, Myriam","Mora (Buenos Aires); 17(2); -","Mora (Buenos Aires)","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2011000200015&lang=pt" 
"S1853-001X2011000200016-arg","Cómo revertir la degradación de las mujeres en los medios masivos","Vassallo, Marta","Mora (Buenos Aires); 17(2); -","Mora (Buenos Aires)","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2011000200016&lang=pt" 
"S1853-001X2011000200017-arg","Las voces de la experiencia: el viraje de la filosofía feminista","Anzoátegui, Micaela","Mora (Buenos Aires); 17(2); -","Mora (Buenos Aires)","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2011000200017&lang=pt" 
"S1853-001X2011000200018-arg","La viajera y sus sombras: crónica de un aprendizaje","Belgrano Rawson, Milagros","Mora (Buenos Aires); 17(2); -","Mora (Buenos Aires)","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2011000200018&lang=pt" 
"S1853-001X2011000200019-arg","El señor, el amante y el poeta: Notas sobre la perennidad de la metafísica","Cano, Virginia","Mora (Buenos Aires); 17(2); -","Mora (Buenos Aires)","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2011000200019&lang=pt" 
"S1130-05582011000300008-esp","Síndrome de Binder: ¿Cuál es el tipo idóneo de cirugía?","Pingarrón Martín, Lorena, González Otero, Teresa, Navarro Cuéllar, Ignacio, Gisbert Alemany, Natalia, Burgueño García, Miguel","Revista Española de Cirugía Oral y Maxilofacial; 33(3); 132-133","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582011000300008&lang=pt" 
"S1130-05582011000300010-esp","Sarcoma miofibroblástico cervical: extirpación quirúrgica y reconstrucción con colgajo supraclavicular pediculado en isla","Hens-Aumente, Elena, Leopoldo-Rodado, Manuel, Infante-Cossío, Pedro, Martínez-López, Azahara, García-Perla-García, Alberto","Revista Española de Cirugía Oral y Maxilofacial; 33(3); 134-136","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582011000300010&lang=pt" 
"S1130-05582011000300003-esp","382 elevaciones de seno con técnica de ventana lateral y uso de biomaterial de relleno","Herrero, María, Picón, Manuel, Almeida, Fernando, Trujillo, Leonardo, Núñez, Jorge, Prieto, Antonio","Revista Española de Cirugía Oral y Maxilofacial; 33(3); 109-113","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582011000300003&lang=pt" 
"S1130-05582011000300007-esp","¿Cuál es el diagnóstico?","Pingarrón Martín, Lorena, González Otero, Teresa, Navarro Cuéllar, Ignacio, Gisbert Alemany, Natalia, Burgueño García, Miguel","Revista Española de Cirugía Oral y Maxilofacial; 33(3); 129-130","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582011000300007&lang=pt" 
"S1130-05582011000300004-esp","Histiocitosis de células de Langerhans localizada en hueso malar: Presentación de un caso","Castellón Zirpel, María Loreto, Fuenzalida Kakarieka, Carlos, Barrios Tapia, José Ignacio, Uribe Fenner, Francisca","Revista Española de Cirugía Oral y Maxilofacial; 33(3); 114-119","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582011000300004&lang=pt" 
"S1130-05582011000300002-esp","Estudio morfológico en tres planos del meato inferior en las fisuras unilaterales operadas","Contreras, Vicente, Carrasco-Labra, Alonso, Andrews, Nelson, Brignardello-Petersen, Romina, Pantoja, Roberto","Revista Española de Cirugía Oral y Maxilofacial; 33(3); 105-108","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582011000300002&lang=pt" 
"S1130-05582011000300005-esp","Braquiterapia intersticial de alta tasa de rescate en cáncer cabeza cuello previamente radiado","Gutiérrez-Bayard, Lucía, Salas-Buzón, María del Carmen, Angulo-Pain, Esther, González-Calvo, Esther, Rendón, Ignacio, Torres, Luis","Revista Española de Cirugía Oral y Maxilofacial; 33(3); 120-123","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582011000300005&lang=pt" 
"S1130-05582011000300006-esp","Técnica quirúrgica para abordaje intraoral de quiste dermoide cervical de gran tamaño: a propósito de un caso clínico","Gómez-Carrillo, Víctor, Martínez-Seijas, Pedro, Díaz-Galvis, Luis Alfonso, Martín, Javier, Rad, Juan, Esnal, Fernando, Arruti, José Antonio","Revista Española de Cirugía Oral y Maxilofacial; 33(3); 124-128","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582011000300006&lang=pt" 
"S1130-05582011000300001-esp","Hasta luego","Martín-Granizo López, Rafael","Revista Española de Cirugía Oral y Maxilofacial; 33(3); 103-104","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582011000300001&lang=pt" 
"S1130-05582011000300009-esp","¿Cuál sería su actitud terapéutica?","Hens-Aumente, Elena, Leopoldo-Rodado, Manuel, Infante-Cossío, Pedro, Martínez-López, Azahara, García-Perla-García, Alberto","Revista Española de Cirugía Oral y Maxilofacial; 33(3); 131-131","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582011000300009&lang=pt" 
"S0100-72032011000900009-scl","Topografia da junção uretrovesical e da uretra proximal no puerpério tardio de primíparas continentes após parto transpelviano e cesariana intraparto","Santos, Cleide de Barros","Revista Brasileira de Ginecologia e Obstetrícia; 33(9); 270-270","Revista Brasileira de Ginecologia e Obstetrícia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032011000900009&lang=pt" 
"S0100-72032011000900010-scl","Misoprostol em solução oral titulada escalonada versus via vaginal para indução do trabalho de parto: ensaio clínico randomizado","Souza, Alex Sandro Rolland","Revista Brasileira de Ginecologia e Obstetrícia; 33(9); 270-270","Revista Brasileira de Ginecologia e Obstetrícia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032011000900010&lang=pt" 
"S0100-72032011000900001-scl","Preservação da fertilidade: a importância de oferecer esta possibilidade às pacientes com doenças neoplásicas","Ferreira, Fernando Prado, Soares Júnior, José Maria, Motta, Eduardo Leme Alves da","Revista Brasileira de Ginecologia e Obstetrícia; 33(9); 223-226","Revista Brasileira de Ginecologia e Obstetrícia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032011000900001&lang=pt" 
"S0100-72032011000900008-scl","Efeitos de altas doses de genisteína sobre o epitélio mamário de ratas","Carbonel, Adriana Aparecida Ferraz, Santos, Regiane Helena Barros Rabelo, Simões, Ricardo Santos, Silva, Rinaldo Flôrencio, Soares Júnior, José Maria, Baracat, Edmund Chada, Haidar, Mauro Abi","Revista Brasileira de Ginecologia e Obstetrícia; 33(9); 264-269","Revista Brasileira de Ginecologia e Obstetrícia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032011000900008&lang=pt" 
"S0100-72032011000900002-scl","Cardiopatia fetal e estratégias de enfrentamento","Benute, Gláucia Rosana Guerra, Nonnenmacher, Daniele, Evangelista, Luiz Flávio Mendes, Lopes, Lilian Maria, Lucia, Mara Cristina Souza, Zugaib, Marcelo","Revista Brasileira de Ginecologia e Obstetrícia; 33(9); 227-233","Revista Brasileira de Ginecologia e Obstetrícia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032011000900002&lang=pt" 
"S0100-72032011000900003-scl","Análise de indicadores da saúde materno-infantil: paralelos entre Portugal e Brasil","Reis, Zilma Silveira Nogueira, Pereira, Altamiro Costa, Correia, Ricardo João Cruz, Freitas, José Alberto Silva, Cabral, Antônio Carlos Vieira, Bernardes, João","Revista Brasileira de Ginecologia e Obstetrícia; 33(9); 234-239","Revista Brasileira de Ginecologia e Obstetrícia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032011000900003&lang=pt" 
"S0100-72032011000900004-scl","Acurácia da estimativa ultrassonográfica do peso fetal e influência de fatores maternos e fetais","Ricci, Aline Giroto, Brizot, Maria de Lourdes, Liao, Adolfo Wenjaw, Nomura, Roseli Mieko Yamamoto, Zugaib, Marcelo","Revista Brasileira de Ginecologia e Obstetrícia; 33(9); 240-245","Revista Brasileira de Ginecologia e Obstetrícia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032011000900004&lang=pt" 
"S0100-72032011000900005-scl","Fatores associados ao uso de suplemento de ácido fólico durante a gestação","Barbosa, Lorena, Ribeiro, Davianne de Queiroz, Faria, Flávio Cunha de, Nobre, Luciana Neri, Lessa, Angelina do Carmo","Revista Brasileira de Ginecologia e Obstetrícia; 33(9); 246-251","Revista Brasileira de Ginecologia e Obstetrícia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032011000900005&lang=pt" 
"S0100-72032011000900006-scl","Stress na gestação e no puerpério: uma correlação com a depressão pós-parto","Rodrigues, Olga Maria Piazentin Rolim, Schiavo, Rafaela de Almeida","Revista Brasileira de Ginecologia e Obstetrícia; 33(9); 252-257","Revista Brasileira de Ginecologia e Obstetrícia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032011000900006&lang=pt" 
"S0100-72032011000900007-scl","Cobertura do citopatológico do colo uterino em Unidades Básicas de Saúde da Família","Gonçalves, Carla Vitola, Sassi, Raul Mendoza, Oliveira Netto, Isabel, Castro, Natália Bolbadilha de, Bortolomedi, Ana Paula","Revista Brasileira de Ginecologia e Obstetrícia; 33(9); 258-263","Revista Brasileira de Ginecologia e Obstetrícia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032011000900007&lang=pt" 
"S0211-57352011000300018-esp","La especialidad de Enfermería en el campo de la Salud Mental (Asociación Canaria de Neuropsiquiatría)","","Revista de la Asociación Española de Neuropsiquiatría; 31(3); 597-599","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352011000300018&lang=pt" 
"S0211-57352011000300001-esp","Tiempo de crisis: juntos para resistir mejor","Bravo Ortiz, María Fe","Revista de la Asociación Española de Neuropsiquiatría; 31(3); 413-416","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352011000300001&lang=pt" 
"S0211-57352011000300007-esp","La psicología clínica y la universidad","Gordo Sánchez, Jaime","Revista de la Asociación Española de Neuropsiquiatría; 31(3); 491-502","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352011000300007&lang=pt" 
"S1517-83822011000300043-scl","Expression of mouse beta defensin 2 in Escherichia coli and its broad-spectrum antimicrobial activity","Gong, Tianxiang, Li, Wanyi, Wang, Yueling, Jiang, Yan, Zhang, Qiang, Feng, Wei, Jiang, Zhonghua, Li, Mingyuan","Brazilian Journal of Microbiology; 42(3); 1180-1187","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300043&lang=pt" 
"S1517-83822011000300003-scl","Characterization of free nitrogen fixing bacteria of the genus Azotobacter in organic vegetable-grown Colombian soils","Jiménez, Diego Javier, Montaña, José Salvador, Martínez, María Mercedes","Brazilian Journal of Microbiology; 42(3); 846-858","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300003&lang=pt" 
"S1517-83822011000300006-scl","Specific plant induced biofilm formation in Methylobacterium species","Rossetto, Priscilla B, Dourado, Manuella N, Quecine, Maria C, Andreote, Fernando D, Araújo, Welington L, Azevedo, João L, Pizzirani-Kleiner, Aline A","Brazilian Journal of Microbiology; 42(3); 878-883","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300006&lang=pt" 
"S1517-83822011000300005-scl","Partial characterization of cold active amylases and proteases of Streptomyces sp. from Antarctica","Cotârleţ, Mihaela, Negoiţă, Teodor Gh, Bahrim, Gabriela E, Stougaard, Peter","Brazilian Journal of Microbiology; 42(3); 868-877","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300005&lang=pt" 
"S1517-83822011000300007-scl","Distribution of Vibrio alginolyticus-like species in Shenzhen coastal waters, China","Chen, Ming-Xia, Li, He-Yang, Li, Gang, Zheng, Tian-Ling","Brazilian Journal of Microbiology; 42(3); 884-896","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300007&lang=pt" 
"S1517-83822011000300032-scl","Production and characterization of PHA from recombinant E. coli harbouring phaC1 gene of indigenous Pseudomonas sp. LDC-5 using molasses","Saranya, V, Shenbagarathai, R","Brazilian Journal of Microbiology; 42(3); 1109-1118","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300032&lang=pt" 
"S1517-83822011000300009-scl","Cellulase and xylanase activity during the decomposition of three aquatic macrophytes in a tropical oxbow lagoon","Sciessere, L, Cunha-Santino, M. B, Bianchini Jr, I","Brazilian Journal of Microbiology; 42(3); 909-918","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300009&lang=pt" 
"S1517-83822011000300012-scl","The diversity, extracellular enzymatic activities and photoprotective compounds of yeasts isolated in Antarctica","Vaz, Aline B. M, Rosa, Luiz H, Vieira, Mariana L. A, Garcia, Virginia de, Brandão, Luciana R, Teixeira, Lia C. R. S, Moliné, Martin, Libkind, Diego, van Broock, Maria, Rosa, Carlos A","Brazilian Journal of Microbiology; 42(3); 937-947","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300012&lang=pt" 
"S1517-83822011000300019-scl","Membrane permeability alteration of some bacterial clinical isolates by selected antihistaminics","El-Nakeeb, Moustafa A, Abou-Shleib, Hamida M, Khalil, Amal M, Omar, Hoda G, El-Halfawy, Omar M","Brazilian Journal of Microbiology; 42(3); 992-1000","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300019&lang=pt" 
"S1517-83822011000300029-scl","Response surface methodology of nitrilase production by recombinant Escherichia coli","Dubey, Sachin, Singh, Amit, Banerjee, Uttam C","Brazilian Journal of Microbiology; 42(3); 1085-1092","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300029&lang=pt" 
"S1517-83822011000300024-scl","Occurrence of yeasts, pseudomonads and enteric bacteria in the oral cavity of patients undergoing head and neck radiotherapy","Gaetti-Jardim Júnior, Elerson, Ciesielski, Francisco Isaak Nicolas, Sousa, Fátima Regina Nunes de, Nwaokorie, Francisca, Schweitzer, Christiane Marie, Avila-Campos, Mario Júlio","Brazilian Journal of Microbiology; 42(3); 1047-1055","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300024&lang=pt" 
"S1517-83822011000300025-scl","Peptidoglycan from Staphylococcus aureus induces the overexpression of TRLs 1-8 mRNA in corneal fibroblasts, but its lipoteichoic acid and muramyl dipeptide only induced the overexpression of TLR5 or TRL9","Rodríguez-Martínez, Sandra, Sánchez-Zauco, Norma A, González-Ramírez, Ivonne, Cancino-Diaz, Juan C, Cancino-Diaz, Mario E","Brazilian Journal of Microbiology; 42(3); 1056-1060","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300025&lang=pt" 
"S1517-83822011000300034-scl","Growth and biopigment accumulation of cyanobacterium Spirulina platensis at different light intensities and temperature","Kumar, Manoj, Kulshreshtha, Jyoti, Singh, Gajendra Pal","Brazilian Journal of Microbiology; 42(3); 1128-1135","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300034&lang=pt" 
"S1517-83822011000300028-scl","Extended-spectrum beta-lactamase-producing bacteria isolated from hematologic patients in Manaus, State of Amazonas, Brazil","Ferreira, Cristina Motta, Ferreira, William Antunes, Almeida, Nayanne Cristina Oliveira da Silva, Naveca, Felipe Gomes, Barbosa, Maria das Graças Vale","Brazilian Journal of Microbiology; 42(3); 1076-1084","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300028&lang=pt" 
"S1517-83822011000300037-scl","Ultrastructural study of the mycelial phase of clinical isolates of Sporothrix schenckii obtained from feline, canine and human cases of sporotrichosis","Madrid, Isabel Martins, Mattei, Antonella Souza, Soares, Mauro Pereira, Nobre, Márcia de Oliveira, Meireles, Mário Carlos Araújo","Brazilian Journal of Microbiology; 42(3); 1147-1150","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300037&lang=pt" 
"S1517-83822011000300033-scl","Production of cellulase by Aspergillus niger under submerged and solid state fermentation using coir waste as a substrate","Mrudula, Soma, Murugammal, Rangasamy","Brazilian Journal of Microbiology; 42(3); 1119-1127","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300033&lang=pt" 
"S1517-83822011000300035-scl","Thermostable saccharogenic amylase produced under submerged fermentation by filamentous fungus Penicillium purpurogenum","Silva, Tony Márcio, Oliveira, Maurício de, Somera, Alexandre Favarin, Jorge, João Atílio, Terenzi, Héctor Francico, Polizeli, Maria de Lourdes T. M, Guimarães, Luis Henrique Souza","Brazilian Journal of Microbiology; 42(3); 1136-1140","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300035&lang=pt" 
"S1517-83822011000300038-scl","Fungal microbiota from ocular conjuctiva of clinically healthy horses belonging to the Military Police Cavalry of Alagoas","Sousa, Maria Evódia de, Araújo, Maria Anilda dos Santos, Mota, Rinaldo Aparecido, Porto, Wagnner José Nascimento, Souza, Aryanna Kelly Pinheiro, Santos, Josimeire Lima dos, Silva, Patrícia Paes da","Brazilian Journal of Microbiology; 42(3); 1151-1155","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300038&lang=pt" 
"S1517-83822011000300040-scl","Stable expression and potential use of West Nile virus envelope glycoproteins preM/E as antigen in diagnostic tests","Cargnelutti, Juliana Felipetto, Brum, Mário Celso Sperotto, Weiblen, Rudi, Flores, Eduardo Furtado","Brazilian Journal of Microbiology; 42(3); 1161-1166","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300040&lang=pt" 
"S1517-83822011000300042-scl","First report of White spot syndrome virus in farmed and wild penaeid shrimp from Lagoa dos Patos estuary, southern Brazil","Cavalli, Lissandra Souto, Romano, Luis Alberto, Marins, Luis Fernando, Abreu, Paulo César","Brazilian Journal of Microbiology; 42(3); 1176-1179","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300042&lang=pt" 
"S1517-83822011000300045-scl","Growth response of Pinus densiflora seedlings inoculated with three indigenous ectomycorrhizal fungi in combination","Dalong, M, Luhe, W, Guoting, Y, Liqiang, M, Chun, L","Brazilian Journal of Microbiology; 42(3); 1197-1203","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300045&lang=pt" 
"S1517-83822011000300026-scl","Nutritional requirement among Pseudomonas aeruginosa isolates recovered from respiratory clinical specimens at a tertiary hospital from South of Brazil","Perez, Leandro Reus Rodrigues, Freitas, Ana Lúcia Peixoto de, Barth, Afonso Luís","Brazilian Journal of Microbiology; 42(3); 1061-1064","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300026&lang=pt" 
