"S0102-76382010000100001-scl","Tempo de renovação","Braile, Domingo M.","Brazilian Journal of Cardiovascular Surgery; 25(1); I-II","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382010000100001&lang=pt" 
"S0016-71692010000100002-mex","Automatic non-volcanic tremor detection in the Mexican subduction zone","Husker, A., Peyrat, S., Shapiro, N., Kostoglodov, V.","Geofísica internacional; 49(1); 17-25","Geofísica internacional","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0016-71692010000100002&lang=pt" 
"S0016-71692010000100003-mex","The application of electrical methods in exploration for ground water resources in the River Malacatoya sub-basin, Nicaragua","Sequeira Gómez, L., Escolero Fuentes, O.","Geofísica internacional; 49(1); 27-41","Geofísica internacional","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0016-71692010000100003&lang=pt" 
"S0016-71692010000100004-mex","Rare-earth element distribution in water from El Chichón Volcano Crater Lake, Chiapas Mexico","Morton-Bermea, O., Aurora Armienta, M., Ramos, S.","Geofísica internacional; 49(1); 43-54","Geofísica internacional","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0016-71692010000100004&lang=pt" 
"S1517-83822010000100005-scl","Nasopharyngeal Gram-negative bacilli colonization in Brazilian children attending day-care centers","Lima, Ana Beatriz Mori, Leão, Lara Stefânia Netto de Oliveira, Oliveira, Luciana Silva da Cruz, Pimenta, Fabiana Cristina","Brazilian Journal of Microbiology; 41(1); 24-27","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100005&lang=pt" 
"S1517-83822010000100001-scl","Antimicrobial susceptibility of Streptococcus pneumoniae and genotypic characterization of erythromycin-resistant strains in Porto Alegre, Brazil","Weber, F. T., Dias, C., Costa, M. da","Brazilian Journal of Microbiology; 41(1); 1-5","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100001&lang=pt" 
"S1517-83822010000100002-scl","Vaginal lactobacilli as potential probiotics against Candida spp","Gil, Natalia F., Martinez, Rafael C.R., Gomes, Bruna C., Nomizo, Auro, Martinis, Elaine C. P. De","Brazilian Journal of Microbiology; 41(1); 6-14","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100002&lang=pt" 
"S1517-83822010000100003-scl","Enumeration of heterotrophic bacteria in water for dialysis: comparison of the efficiency of Reasoner&#039;2 agar and plate count agar","Bugno, Adriana, Almodóvar, Adriana Aparecida Buzzo, Pereira, Tatiana Caldas","Brazilian Journal of Microbiology; 41(1); 15-18","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100003&lang=pt" 
"S1517-83822010000100004-scl","Epidemiology and phospholipase activity of oral Candida spp. among patients with central nervous system diseases before and after dental cleaning procedure","Ribeiro, Aurélia Silva, Silva, Dágma Aparecida, Silva, Francislene Pereira, Santos, Gleicy Carla, Campos, Lívia Maria Soares, Oliveira, Lorena Vivien Neves, Santos, Daniel Assis","Brazilian Journal of Microbiology; 41(1); 19-23","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100004&lang=pt" 
"S1517-83822010000100007-scl","First report of vancomycin-resistant Enterococcus faecalis in Uberaba, Minas Gerais state","Conceição, Natália, Darini, Ana Lúcia da Costa, Palazzo, Izabel Cristina Vanzato, Oliveira, Cristina da Cunha Hueb Barata de, Oliveira, Adriana Gonçalves de","Brazilian Journal of Microbiology; 41(1); 34-36","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100007&lang=pt" 
"S1517-83822010000100009-scl","Photodynamic inactivation of four Candida species induced by photogem®","Dovigo, Lívia Nordi, Pavarina, Ana Cláudia, Ribeiro, Daniela Garcia, Adriano, Cynthia Sanchez, Bagnato, Vanderlei Salvador","Brazilian Journal of Microbiology; 41(1); 42-49","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100009&lang=pt" 
"S1517-83822010000100010-scl","Active human Cytomegalovirus infection and Glycoprotein B genotypes in Brazilian pediatric renal or hematopoietic stem cell transplantation patients","Dieamant, Débora de Campos, Bonon, Sandra Helena Alves, Prates, Liliane Cury, Belangelo, Vera Maria Santoro, Pontes, Erika R., Costa, Sandra Cecília Botelho","Brazilian Journal of Microbiology; 41(1); 50-58","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100010&lang=pt" 
"S1517-83822010000100033-scl","Bioemulsifier production by Microbacterium sp. strains isolated from mangrove and their application to remove cadmiun and zinc from hazardous industrial residue","Aniszewski, Erick, Peixoto, Raquel Silva, Mota, Fábio Faria, Leite, Selma Gomes Ferreira, Rosado, Alexandre Soares","Brazilian Journal of Microbiology; 41(1); 235-245","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100033&lang=pt" 
"S1517-83822010000100021-scl","Glanders in donkeys (Equus asinus) in the state of Pernambuco, Brazil: a case report","Mota, Rinaldo Aparecido, Oliveira, Andréa Alice da Fonseca, Pinheiro Junior, José Wilton, Silva, Leonildo Bento Galiza da, Brito, Marilene de Farias, Rabelo, Silvana Suely Assis","Brazilian Journal of Microbiology; 41(1); 146-149","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100021&lang=pt" 
"S1517-83822010000100025-scl","Production, purification and characterization of L-asparaginase from Streptomyces gulbargensis","Amena, S., Vishalakshi, N., Prabhakar, M., Dayanand, A., Lingappa, K","Brazilian Journal of Microbiology; 41(1); 173-178","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100025&lang=pt" 
"S1517-83822010000100028-scl","Feather degradation by strains of Bacillus isolated from decomposing feathers","Swetlana, Nagal, Jain, P. C.","Brazilian Journal of Microbiology; 41(1); 196-200","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100028&lang=pt" 
"S1517-83822010000100031-scl","Abundance and diversity of ammonia-oxidizing bacteria in relation to ammonium in a Chinese shallow eutrophic urban lake","Qiu, Shanlian, Chen, Guoyuan, Zhou, Yiyong","Brazilian Journal of Microbiology; 41(1); 218-226","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100031&lang=pt" 
"S1517-83822010000100034-scl","New hosts of Myrothecium spp. in Brazil and a preliminary in vitro assay of fungicides","Quezado Duval, A.M., Henz, G.P., Paz-Lima, M.L., Medeiros, A.R., Miranda, B.E.C., Pfenning, L.H., Reis, A","Brazilian Journal of Microbiology; 41(1); 246-252","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100034&lang=pt" 
"S1517-83822010000100036-scl","Cytological characterization of an Aspergillus nidulans mutant from a strain with chromosomic duplication","Giancoli, Ágata Cristiane Huppert, Azevedo, João Lúcio de, Kleiner, Aline Aparecida","Brazilian Journal of Microbiology; 41(1); 264-269","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100036&lang=pt" 
"S1517-83822010000100012-scl","Control of Colletotrichum gloeosporioides (penz.) Sacc. In yellow passion fruit using Cymbopogon citratus essential oil","Anaruma, Nina Duarte, Schmidt, Flávio Luís, Duarte, Marta Cristina Teixeira, Figueira, Glyn Mara, Delarmelina, Camila, Benato, Eliane Aparecida, Sartoratto, Adilson","Brazilian Journal of Microbiology; 41(1); 66-73","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100012&lang=pt" 
"S1517-83822010000100026-scl","Concomitant production of protease and lipase by Bacillus licheniformis VSG1: production, purification and characterization","Sangeetha, R., Geetha, A., Arulpandi, I.","Brazilian Journal of Microbiology; 41(1); 179-185","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100026&lang=pt" 
"S1517-83822010000100014-scl","Immobilized Saccharomyces cerevisiae as a potential aflatoxin decontaminating agent in pistachio nuts","Rahaie, S., Emam-Djomeh, Z., Razavi, S. H., Mazaheri, M.","Brazilian Journal of Microbiology; 41(1); 82-90","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100014&lang=pt" 
"S1517-83822010000100023-scl","Antibacterial activity, chemical composition, and cytotoxicity of leaf&#039;s essential oil from Brazilian pepper tree (Schinus terebinthifolius, Raddi)","Silva, A.B., Silva, T., Franco, E.S., Rabelo, S.A., Lima, E.R., Mota, R.A., Câmara, C.A.G. da, Pontes-Filho, N.T., Lima-Filho, J.V.","Brazilian Journal of Microbiology; 41(1); 158-163","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100023&lang=pt" 
"S1517-83822010000100008-scl","Iron-depletion prevents biofilm formation in Pseudomonas aeruginosa through twitching motility and quorum sensing","Cai, Yun, Wang, Rui, An, Mao-Mao, Bei-Bei, Liang","Brazilian Journal of Microbiology; 41(1); 37-41","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100008&lang=pt" 
"S1517-83822010000100006-scl","Chemical composition and antifungal activity of Hyptis suaveolens (L.) poit leaves essential oil against Aspergillus species","Moreira, Ana Carolina Pessoa, Lima, Edeltrudes de Oliveira, Wanderley, Paulo Alves, Carmo, Egberto Santos, Souza, Evandro Leite de","Brazilian Journal of Microbiology; 41(1); 28-33","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100006&lang=pt" 
"S1517-83822010000100011-scl","Detection of enterotoxin genes of Staphylococcus sp isolated from nasal cavities and hands of food handlers","Rall, V.L.M., Sforcin, J.M., Augustini, V.C.M., Watanabe, M.T., Fernandes Jr., A., Rall, R., Silva, M.G., Araújo Jr., J.P","Brazilian Journal of Microbiology; 41(1); 59-65","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100011&lang=pt" 
"S1517-83822010000100013-scl","Antimicrobial activity of Enterococcus faecium FAIR-E 198 against gram-positive pathogens","Nascimento, Maristela da Silva do, Moreno, Izildinha, Kuaye, Arnaldo Yoshiteru","Brazilian Journal of Microbiology; 41(1); 74-81","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100013&lang=pt" 
"S1517-83822010000100015-scl","The proteolytic activity of Pseudomonas fluorescens 07A isolated from milk is not regulated by quorum sensing signals","Pinto, Uelinton M., Costa, Esther D., Mantovani, Hilario C., Vanetti, M.C.D.","Brazilian Journal of Microbiology; 41(1); 91-96","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100015&lang=pt" 
"S1517-83822010000100017-scl","Use of Pseudomonas stutzeri and Candida utilis in the improvement of the conditions of Artemia culture and protection against pathogens","Abdelkarim, Mahdhi, Kamel, Chaieb, Fathi, Kammoun, Amina, Bakhrouf","Brazilian Journal of Microbiology; 41(1); 107-115","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100017&lang=pt" 
"S1517-83822010000100018-scl","In vitro activity of Origanum vulgare essential oil against Candida species","Cleff, Marlete Brum, Meinerz, Ana Raquel, Xavier, Melissa, Schuch, Luiz Filipe, Meireles, Mário Carlos Araújo, Rodrigues, Maria Regina Alves, Mello, João Roberto Braga de","Brazilian Journal of Microbiology; 41(1); 116-123","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100018&lang=pt" 
"S1517-83822010000100019-scl","Selection and characterization of brivudin resistant bovine herpesvirus type 5","Brum, Mário Celso Sperotto, Santos, Cyndia Mara Bezerra dos, Weiblen, Rudi, Flores, Eduardo Furtado","Brazilian Journal of Microbiology; 41(1); 124-132","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100019&lang=pt" 
"S1517-83822010000100020-scl","Mode of action and in vitro susceptibility of mastitis pathogens to macedocin ST91KM and preparation of a teat seal containing the bacteriocin","Pieterse, Renee, Todorov, Svetoslav D., Dicks, Leon M.T.","Brazilian Journal of Microbiology; 41(1); 133-145","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100020&lang=pt" 
"S1517-83822010000100022-scl","Characterization of Leptospira borgpetersenii isolates from field rats (Rattus norvegicus) by 16S rRNA and lipL32 gene sequencing","Vedhagiri, Kumaresan, Natarajaseenivasan, Kalimuthusamy, Prabhakaran, Shanmugarajan G., Selvin, Joseph, Narayanan, Ramasamy, Shouche, Yogesh S., Vijayachari, Paluru, Ratnam, Sivalingam","Brazilian Journal of Microbiology; 41(1); 150-157","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100022&lang=pt" 
"S1517-83822010000100024-scl","Response surface methodology for optimization of production of lovastatin by solid state fermentation","Pansuriya, Ruchir C., Singhal, Rekha S.","Brazilian Journal of Microbiology; 41(1); 164-172","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100024&lang=pt" 
"S1517-83822010000100027-scl","Mutagenesis of Aspergillus oryzae IPT-301 to improve the production of β-fructofuranosidase","Maresma, Beatriz Guilarte, Castillo, Boris Gutarra, Fernández, Rubén Cuervo, Silva, Elda Sabino da, Maiorano, Alfredo Eduardo, Rodrigues, Maria Filomena de Andrade","Brazilian Journal of Microbiology; 41(1); 186-195","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100027&lang=pt" 
"S1517-83822010000100029-scl","Characterization of indigenous rhizobia from Caatinga","Teixeira, Fernanda Cíntia Pires e, Borges, Wardsson Lustrino, Xavier, Gustavo Ribeiro, Rumjanek, Norma Gouvêa","Brazilian Journal of Microbiology; 41(1); 201-208","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100029&lang=pt" 
"S1517-83822010000100030-scl","Microbial degradation of sulfentrazone in a Brazilian rhodic hapludox soil","Martinez, Camila O., Silva, Celia Maria M. S., Fay, Elisabeth F., Abakerli, Rosangela B., Maia, Aline H. N., Durrant, Lucia R.","Brazilian Journal of Microbiology; 41(1); 209-217","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100030&lang=pt" 
"S1517-83822010000100032-scl","2(5H)-Furanone: a prospective strategy for biofouling-control in membrane biofilm bacteria by quorum sensing inhibition","Ponnusamy, Kannan, Paul, Diby, Kim, Young Sam, Kweon, Ji Hyang","Brazilian Journal of Microbiology; 41(1); 227-234","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100032&lang=pt" 
"S1517-83822010000100035-scl","Isolation and fusion of protoplasts from the phytopathogenic fungus Sclerotium rolfsii (Sacc.)","Hayat, Sikandar, Christias, Christos","Brazilian Journal of Microbiology; 41(1); 253-263","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100035&lang=pt" 
"S1517-83822010000100016-scl","Biofilm formation by Listeria monocytogenes on stainless steel surface and biotransfer potential","Oliveira, Maíra Maciel Mattos de, Brugnera, Danilo Florisvaldo, Alves, Eduardo, Piccoli, Roberta Hilsdorf","Brazilian Journal of Microbiology; 41(1); 97-106","Brazilian Journal of Microbiology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822010000100016&lang=pt" 
"S0102-695X2010000100013-scl","Atividade antifúngica e cinética de morte microbiana de extratos obtidos de Streptomyces spp. isolados de solos paraibanos","de Oliveira, Thompson Lopes, Lima, Edeltrudes de Oliveira, de Souza, Ivone Antonia, Cornejo, Luis Conrado Z.","Revista Brasileira de Farmacognosia; 20(1); 60-64","Revista Brasileira de Farmacognosia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2010000100013&lang=pt" 
"S1413-81232010000200034-spa","Prevalência de aleitamento materno antes e após a implantação de um programa de redução de morbimortalidade infantil, no município de Campo Mourão (PR)","Almeida, Crysthianne Cônsolo de, Scochi, Maria José, Souza, Regina Kazue Tanno de, Carvalho, Wladithe Organ","Ciência &amp; Saúde Coletiva; 15(2); 575-580","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000200034&lang=pt" 
"S1413-81232010000200035-scl","A review of events that expose children to elemental mercury in the United States","Lee, Robin, Middleton, Dan, Caldwell, Kathleen, Dearwent, Steve, Jones, Steven, Lewis, Brian, Monteilh, Carolyn, Mortensen, Mary Ellen, Nickle, Richard, Orloff, Kenneth, Reger, Meghan, Risher, John, Rogers, Helen Schurz, Watters, Michelle","Ciência &amp; Saúde Coletiva; 15(2); 585-598","Ciência &amp; Saúde Coletiva","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232010000200035&lang=pt" 
"S1413-81232010000200034-scl","Prevalência de aleitamento materno antes e após a implantação de um programa de redução de morbimortalidade infantil, no município de Campo Mourão (PR)","Almeida, Crysthianne Cônsolo de, Scochi, Maria José, Souza, Regina Kazue Tanno de, Carvalho, Wladithe Organ","Ciência &amp; Saúde Coletiva; 15(2); 575-580","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232010000200034&lang=pt" 
"S0101-20612010000100003-scl","Application of the Hsu model to soybean grain hydration","Coutinho, Mônica Ronobo, Conceição, Wagner André dos Santos, Paraíso, Paulo Roberto, Andrade, Cid Marcos Gonçalves, Omoto, Edilson Sadayuki, Jorge, Regina Maria Matos, Maciel Filho, Rubens, Jorge, Luiz Mario de Matos","Food Science and Technology (Campinas); 30(1); 19-29","Food Science and Technology (Campinas)","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100003&lang=pt" 
"S0101-20612010000100004-scl","Efeito da irradiação em carne de coelho congelada","Souza, Adriana Régia Marques de, Arthur, Valter, Canniatti-Brazaca, Solange Guidolin, Couto, Meylene Aparecida Luzia","Food Science and Technology (Campinas); 30(1); 30-34","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100004&lang=pt" 
"S0101-20612010000100005-scl","Obtenção de ácidos graxos por cristalização do óleo de pescado fracionado por hidrólise enzimática","Padilha, Márcia Elisa da Silva, Augusto-Ruiz, Walter","Food Science and Technology (Campinas); 30(1); 35-41","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100005&lang=pt" 
"S0101-20612010000100006-scl","Estudo de fibras alimentares em frutas e hortaliças para uso em nutrição enteral ou oral","Araújo, Edma Maria de, Menezes, Hilary Castle de","Food Science and Technology (Campinas); 30(1); 42-47","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100006&lang=pt" 
"S0101-20612010000100010-scl","Avaliação de algumas propriedades funcionais das farinhas de tremoço doce (Lupinus albus) e feijão guandu (Cajanus cajan (L) Millsp) e sua utilização na produção de fiambre","Castilho, Fernando, Fontanari, Gustavo Guadagnucci, Batistuti, José Paschoal","Food Science and Technology (Campinas); 30(1); 68-75","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100010&lang=pt" 
"S0101-20612010000100013-scl","Propriedades químicas e de pasta dos amidos de trigo e milho fosforilados","Batista, Williams Pereira, Silva, Claudio Ernani Mendes da, Liberato, Maria Conceição","Food Science and Technology (Campinas); 30(1); 88-93","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100013&lang=pt" 
"S0101-20612010000100018-scl","Extração de pectina de goiaba desidratada","Munhoz, Cláudia Leite, Sanjinez-Argandoña, Eliana Janet, Soares-Júnior, Manoel Soares","Food Science and Technology (Campinas); 30(1); 119-125","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100018&lang=pt" 
"S0101-20612010000100021-scl","Composição de ácidos graxos de margarinas à base de gordura hidrogenada ou interesterificada","Cavendish, Thaís Araújo, Lemos, Paula Bagno, Yokota, Renata Tiene, Vasconcelos, Tatiana França, Coêlho, Priscila Fernandes, Buzzi, Marcelo, Ito, Marina Kiyomi","Food Science and Technology (Campinas); 30(1); 138-142","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100021&lang=pt" 
"S0101-20612010000100031-scl","Production of glucose and fructose syrups from cassava (Manihot esculenta Crantz) starch using enzymes produced by microorganisms isolated from Brazilian Cerrado soil","Silva, Roberto do Nascimento, Quintino, Fábio Pereira, Monteiro, Valdirene Neves, Asquieri, Eduardo Ramirez","Food Science and Technology (Campinas); 30(1); 213-217","Food Science and Technology (Campinas)","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100031&lang=pt" 
"S0101-20612010000100034-scl","Effectiveness of cleaning and sanitizing procedures in controlling the adherence of Pseudomonas fluorescens, Salmonella Enteritidis, and Staphylococcus aureus to domestic kitchen surfaces","Silva, Iara Dias, Careli, Roberta Torres, Lima, Júnia Capua, Andrade, Nelio José","Food Science and Technology (Campinas); 30(1); 231-236","Food Science and Technology (Campinas)","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100034&lang=pt" 
"S0101-20612010000100037-scl","Physical and chemical properties of granulated cane sugar &quot;panelas&quot;","Guerra, Marisa Josefina, Mujica, María Virginia","Food Science and Technology (Campinas); 30(1); 250-257","Food Science and Technology (Campinas)","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100037&lang=pt" 
"S0101-20612010000100040-scl","Production and characterization of lipid microparticles produced by spray cooling encapsulating a low molar mass hydrophilic compound","Leonel, Alda Jusceline, Chambi, Hulda Noemi Mamani, Barrera-Arellano, Daniel, Pastore, Heloise Oliveira, Grosso, Carlos Raimundo Ferreira","Food Science and Technology (Campinas); 30(1); 276-281","Food Science and Technology (Campinas)","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100040&lang=pt" 
"S0101-20612010000100012-scl","Quality of minimally processed guava with different types of cut, sanification and packing","Lima, Marilene Silva, Pires, Edleide Maria Freitas, Maciel, Maria Inês Sucupira, Oliveira, Vanusa Alves","Food Science and Technology (Campinas); 30(1); 79-87","Food Science and Technology (Campinas)","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100012&lang=pt" 
"S0101-20612010000100015-scl","Qualidade tecnológica e sensorial de bolos elaborados com soro de leite","Zavareze, Elessandra da Rosa, Moraes, Kessiane Silva, Salas-Mellado, Myriam de Las Mercedes","Food Science and Technology (Campinas); 30(1); 100-105","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100015&lang=pt" 
"S0101-20612010000100016-scl","Study of bacteria Gluconobacter sp.: isolation, purification, phenotypic and molecular identification","Oliveira, André Luiz Dorini de, Santos Junior, Vitório, Liotti, Rhavena Graziela, Zilioli, Estevão, Spinosa, Wilma Aparecida, Ribeiro-Paes, João Tadeu","Food Science and Technology (Campinas); 30(1); 106-112","Food Science and Technology (Campinas)","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100016&lang=pt" 
"S0101-20612010000100019-scl","Avaliação da produção de lipases por diferentes cepas de microrganismos isolados em efluentes de laticínios por fermentação submersa","Roveda, Mirela, Hemkemeier, Marcelo, Colla, Luciane Maria","Food Science and Technology (Campinas); 30(1); 126-131","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100019&lang=pt" 
"S0101-20612010000100025-scl","Desempenho do processo de concentração de extratos de própolis por nanofiltração","Mello, Beatriz Camargo Barros de Silveira, Petrus, José Carlos Cunha, Hubinger, Miriam Dupas","Food Science and Technology (Campinas); 30(1); 166-172","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100025&lang=pt" 
"S0101-20612010000100029-scl","Relação entre o comportamento reológico e a dinâmica do congelamento e descongelamento de polpa de morango adicionada de sacarose e pectina","Fernandes, Tatiana Nunes, Resende, Jaime Vilela, Cruvinel, Rafael Souza Ribeiro, Reno, Marciu José","Food Science and Technology (Campinas); 30(1); 188-204","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100029&lang=pt" 
"S0101-20612010000100030-scl","Effect of sugar and water contents on non-expanded cassava flour extrudates","Ortiz, Juan Antonio Ruano, Carvalho, Carlos Wanderlei Piler de, Ascheri, Diego Palmiro Ramirez, Ascheri, José Luis Ramirez, Andrade, Cristina Tristão de","Food Science and Technology (Campinas); 30(1); 205-212","Food Science and Technology (Campinas)","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100030&lang=pt" 
"S0101-20612010000100032-scl","Purificação de amilases de malte de Zea mays","Biazus, Joana Paula Menezes, Santana, José Carlos Curvelo, Souza, Roberto Rodrigues de, Tambourgi, Elias Basile","Food Science and Technology (Campinas); 30(1); 218-223","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100032&lang=pt" 
"S0101-20612010000100033-scl","Qualidade do tomate de mesa cultivado nos sistemas convencional e orgânico","Ferreira, Sila Mary Rodrigues, Freitas, Renato João Sossela de, Karkle, Elisa Noemberg Lazzari, Quadros, Diomar Augusto de, Tullio, Lindamir Tomczak, Lima, Jair José de","Food Science and Technology (Campinas); 30(1); 224-230","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100033&lang=pt" 
"S0101-20612010000100035-scl","Estabilidade de componentes bioativos do suco tropical de goiaba não adoçado obtido pelos processos de enchimento a quente e asséptico","Silva, Daniele Sales da, Maia, Geraldo Arraes, Sousa, Paulo Henrique Machado de, Figueiredo, Raimundo Wilane de, Costa, José Maria Correia da, Fonseca, Ana Valquíria Vasconcelos da","Food Science and Technology (Campinas); 30(1); 237-243","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100035&lang=pt" 
