"S0213-12852004000400001-esp","A nuestros lectores","","Avances en Odontoestomatología; 20(4); 173-173","Avances en Odontoestomatología","Espanhol","2004","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852004000400001&lang=pt" 
"S0100-29452004000200028-scl","Aplicação de potássio no estado nutricional e na produção de matéria seca de mudas de maracujazeiro-amarelo","Prado, Renato de Mello, Braghirolli, Luiz Fernando, Natale, William, Corrêa, Márcio Cleber de Medeiros, Almeida, Eliozéas Vicente de","Revista Brasileira de Fruticultura; 26(2); 295-299","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200028&lang=pt" 
"S0100-29452004000200029-scl","Balanço de nutrientes na produção de mudas cítricas cultivadas em substrato","Boaventura, Paulo Roberto Ronchini, Quaggio, José Antônio, Abreu, Mônica Ferreira, Bataglia, Ondino Cleante","Revista Brasileira de Fruticultura; 26(2); 300-305","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200029&lang=pt" 
"S0100-29452004000200031-scl","Efeitos da aplicação de zinco no desenvolvimento, no estado nutricional e na produção de matéria seca de mudas de maracujazeiro","Natale, William, Prado, Renato de Mello, Leal, Renata Moreira, Franco, Claudenir Facincani","Revista Brasileira de Fruticultura; 26(2); 310-314","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200031&lang=pt" 
"S0102-09352004000400003-scl","Artrogripose em caprino: relato de caso","Schmidt, V., Oliveira, R.T. de","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 438-440","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400003&lang=pt" 
"S0102-09352004000400002-scl","Efeitos do ozônio nas lesões de reperfusão do jejuno em eqüinos","Alves, G.E.S., Abreu, J.M.G., Ribeiro Filho, J.D., Muzzi, L.A.L., Oliveira, H.P., Tannus, R.J., Buchanan, T.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 433-437","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400002&lang=pt" 
"S0102-09352004000400021-scl","Mesotelioma pleural com metástase renal em gato","Piacenti, A.M., Ocarino, N.M., Silva, A.E., Rachid, M.A., França, S.A., Serakides, R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 558-561","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400021&lang=pt" 
"S0102-09352004000400018-scl","Expression of human bone morphogenetic protein (BMP-2 and BMP-4) genes in transgenic bovine fibroblasts","Oleskovicz, C., Lisauskas, S., Aragão, F.J.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 547-549","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400018&lang=pt" 
"S0102-09352004000400017-scl","Efeito de condicionadores químicos na cama de frango sobre o desempenho de frangos de corte","Ferreira, H.A., Oliveira, M.C., Traldi, A.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 542-546","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400017&lang=pt" 
"S0102-09352004000400019-scl","Viabilidade de ovos de Fasciola hepatica de bovinos em sistema de biodigestão anaeróbia","Mentz, M.B., Wiest, J.M., Gonçalves, P.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 550-553","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400019&lang=pt" 
"S0102-09352004000400020-scl","Detection of double-stranded RNA viruses in fecal samples of dogs with gastroenteritis in Rio de Janeiro, Brazil","Costa, A.P., Cubel Garcia, R.C.N., Labarthe, N.V., Leite, J.P.G.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 554-557","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400020&lang=pt" 
"S0102-09352004000400022-scl","Freqüência de helmintos em gatos de Uberlândia, Minas Gerais","Mundim, T.C.D., Oliveira Júnior, S.D., Rodrigues, D.C., Cury, M.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 562-563","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400022&lang=pt" 
"S0102-09352004000400001-scl","Passive immunity in cattle against enterotoxigenic Escherichia coli: serologic evaluation of a bacterin containing K99 and F41 fimbriae in colostrum of vaccinated females and calf serum","Figueiredo, H.C.P., Lage, A.P., Pereira Júnior, F.N., Leite, R.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 425-432","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400001&lang=pt" 
"S0102-09352004000400004-scl","Mastocitoma cutâneo canino: estudo de 45 casos","Rech, R.R., Graça, D.L., Kommers, G.D., Sallis, E.S.V., Raffi, M.B., Garmatz, S.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 441-448","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400004&lang=pt" 
"S0102-09352004000400005-scl","Perfil lipoprotéico de cadelas submetidas à ovário-histerectomia com e sem reposição estrogênica","Schmidt, C., Lopes, M.D., Silva, M.C., Fighera, R.A., Souza, T.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 449-456","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400005&lang=pt" 
"S0102-09352004000400006-scl","Ovário-histerectomia: estudo experimental comparativo entre as abordagens laparoscópica e aberta na espécie canina. Intra-operatório-I","Malm, C., Savassi-Rocha, P.R., Gheller, V.A., Oliveira, H.P., Lamounier, A.R., Foltyneck, V.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 457-466","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400006&lang=pt" 
"S0102-09352004000400007-scl","Controle biológico de tricostrongilídeos (Nematoda: Trichostrongyloidea) gastrintestinais de bovinos pelo fungo Monacrosporium sinense","Araújo, J.V., Assis, R.C.L., Alves, P.H., Campos, A.K., Gandra, J.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 467-471","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400007&lang=pt" 
"S0102-09352004000400009-scl","Detecção do gene da nucleoproteína do vírus da cinomose canina por RT-PCR em urina de cães com sinais clínicos de cinomose","Gebara, C.M.S., Wosiacki, S.R., Negrão, F.J., Oliveira, D.B de, Beloni, S.N.E., Alfieri, A.A., Alfieri, A.F.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 480-487","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400009&lang=pt" 
"S0102-09352004000400010-scl","Interação entre células do cumulus e atividade da proteína quinase C em diferentes fases da maturação nuclear de oócitos bovinos","Bertagnolli, A.C., Gonçalves, P.B.D., Giometti, I.C., Costa, L.F.S., Oliveira, J.F.C., Gonçalves, I.D.V., Barreto, K.P., Emanuelli, I.P., Borges, L.F.K.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 488-496","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400010&lang=pt" 
"S0102-09352004000400011-scl","Potencial reprodutivo de touros da raça Nelore submetidos a diferentes proporções touro: vaca","Santos, M.D., Torres, C.A.A., Ruas, J.R.M., Guimarães, J.D., Silva Filho, J.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 497-503","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400011&lang=pt" 
"S0102-09352004000400012-scl","Teste da libido e atividade de monta em touros da raça Nelore","Santos, M.D., Torres, C.A.A., Ruas, J.R.M., Silva Filho, J.M., Costa, E.P., Pereira, J.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 504-510","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400012&lang=pt" 
"S0102-09352004000400013-scl","Efeitos de fontes lipídicas e níveis de energia digestível sobre o desempenho produtivo e reprodutivo de marrãs","Brustolini, P.C., Silva, F.C.O., Donzele, J.L., Veloso, J.A.F., Fontes, D.O., Kill, J.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 511-521","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400013&lang=pt" 
"S0102-09352004000400014-scl","Estudo dos efeitos de ambiente sobre as características lineares de tipo em rebanhos bovinos da raça Holandesa","Esteves, A.M.C., Bergmann, J.A.G., Durães, M.C., Costa, C.N., Silva, H.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 522-528","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400014&lang=pt" 
"S0102-09352004000400015-scl","Correlações genéticas e fenotípicas entre características de tipo e produção de leite em bovinos da raça Holandesa","Esteves, A.M.C., Bergmann, J.A.G., Durães, M.C., Costa, C.N., Silva, H.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 529-535","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400015&lang=pt" 
"S0102-09352004000400016-scl","Efeito de condicionadores químicos sobre a qualidade da cama de frango","Oliveira, M.C., Ferreira, H.A., Cancherini, L.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 536-541","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400016&lang=pt" 
"S0102-09352004000400008-scl","Systematic and pathologic study of Paratanaisia bragai (Santos, 1934) Freitas, 1959 (Digenea, Eucotylidae) infestation in ruddy ground dove Columbina talpacoti (Temminck, 1811)","Pinto, R.M., Menezes, R.C., Tortelly, R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 56(4); 472-479","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352004000400008&lang=pt" 
"S0034-89102004000400020-scl","Doença de Chagas crônica: do xenodiagnóstico e hemocultura à reação em cadeia da polimerase","Portela-Lindoso, Ana Angélica Bulcão","Revista de Saúde Pública; 38(4); 606-606","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400020&lang=pt" 
"S0034-89102004000400024-scl","Recentes resoluções da Anvisa","","Revista de Saúde Pública; 38(4); 613-614","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400024&lang=pt" 
"S0034-89102004000400002-scl","Opinião de mulheres e médicos brasileiros sobre a preferência pela via de parto","Faúndes, Aníbal, Pádua, Karla Simônia de, Osis, Maria José Duarte, Cecatti, José Guilherme, Sousa, Maria Helena de","Revista de Saúde Pública; 38(4); 488-494","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400002&lang=pt" 
"S0034-89102004000400017-scl","Comparison between the HemoCue® and an automated counter for measuring hemoglobin","Paiva, Adriana de A, Rondó, Patrícia H C, Silva, Silmara S de B, Latorre, Maria do R D O","Revista de Saúde Pública; 38(4); 585-587","Revista de Saúde Pública","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400017&lang=pt" 
"S0034-89102004000400016-scl","Desenvolvimento de um questionário de freqüência alimentar para o estudo de dieta e doenças não transmissíveis","Furlan-Viebig, Renata, Pastor-Valero, Maria","Revista de Saúde Pública; 38(4); 581-584","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400016&lang=pt" 
"S0034-89102004000400011-scl","Drug abuse among workers in Brazilian regions","Silva, Ovandir Alves, Yonamine, Mauricio","Revista de Saúde Pública; 38(4); 552-556","Revista de Saúde Pública","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400011&lang=pt" 
"S0034-89102004000400013-scl","Estimativa de populações canina e felina domiciliadas em zona urbana do Estado de São Paulo","Dias, Ricardo Augusto, Garcia, Rita de Cássia, Silva, Déborah Ferreira da, Amaku, Marcos, Ferreira Neto, José Soares, Ferreira, Fernando","Revista de Saúde Pública; 38(4); 565-570","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400013&lang=pt" 
"S0034-89102004000400015-scl","Ocorrência de Panstrongylus lutzi no peridomicílio, Estado do Ceará, Brasil","Freitas, Simone Patrícia Carneiro, Freitas, Assilon Lindoval Carneiro, Gonçalves, Teresa Cristina Monte","Revista de Saúde Pública; 38(4); 578-580","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400015&lang=pt" 
"S0034-89102004000400022-scl","Investigação de surto de tuberculose em instituição fechada, no Município de São Paulo: dados preliminares","","Revista de Saúde Pública; 38(4); 609-610","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400022&lang=pt" 
"S0034-89102004000400023-scl","Programa nacional garante qualidade do sal consumido no País","","Revista de Saúde Pública; 38(4); 611-612","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400023&lang=pt" 
"S0034-89102004000400021-scl","Pesquisas indicam pequena participação dos médicos no incentivo à vacina contra influenza","","Revista de Saúde Pública; 38(4); 607-608","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400021&lang=pt" 
"S0034-89102004000400019-scl","Estimando a prevalência da ingestão inadequada de nutrientes","Slater, Betzabeth, Marchioni, Dirce Lobo, Fisberg, Regina Mara","Revista de Saúde Pública; 38(4); 599-605","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400019&lang=pt" 
"S0034-89102004000400023-spa","Programa nacional garante qualidade do sal consumido no País","","Revista de Saúde Pública; 38(4); 611-612","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400023&lang=pt" 
"S0034-89102004000400021-spa","Pesquisas indicam pequena participação dos médicos no incentivo à vacina contra influenza","","Revista de Saúde Pública; 38(4); 607-608","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400021&lang=pt" 
"S0034-89102004000400017-spa","Comparison between the HemoCue® and an automated counter for measuring hemoglobin","Paiva, Adriana de A, Rondó, Patrícia H C, Silva, Silmara S de B, Latorre, Maria do R D O","Revista de Saúde Pública; 38(4); 585-587","Revista de Saúde Pública","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400017&lang=pt" 
"S0034-89102004000400016-spa","Desenvolvimento de um questionário de freqüência alimentar para o estudo de dieta e doenças não transmissíveis","Furlan-Viebig, Renata, Pastor-Valero, Maria","Revista de Saúde Pública; 38(4); 581-584","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400016&lang=pt" 
"S0034-89102004000400015-spa","Ocorrência de Panstrongylus lutzi no peridomicílio, Estado do Ceará, Brasil","Freitas, Simone Patrícia Carneiro, Freitas, Assilon Lindoval Carneiro, Gonçalves, Teresa Cristina Monte","Revista de Saúde Pública; 38(4); 578-580","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400015&lang=pt" 
"S0034-89102004000400022-spa","Investigação de surto de tuberculose em instituição fechada, no Município de São Paulo: dados preliminares","","Revista de Saúde Pública; 38(4); 609-610","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400022&lang=pt" 
"S0034-89102004000400020-spa","Doença de Chagas crônica: do xenodiagnóstico e hemocultura à reação em cadeia da polimerase","Portela-Lindoso, Ana Angélica Bulcão","Revista de Saúde Pública; 38(4); 606-606","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400020&lang=pt" 
"S0034-89102004000400024-spa","Recentes resoluções da Anvisa","","Revista de Saúde Pública; 38(4); 613-614","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400024&lang=pt" 
"S0034-89102004000400013-spa","Estimativa de populações canina e felina domiciliadas em zona urbana do Estado de São Paulo","Dias, Ricardo Augusto, Garcia, Rita de Cássia, Silva, Déborah Ferreira da, Amaku, Marcos, Ferreira Neto, José Soares, Ferreira, Fernando","Revista de Saúde Pública; 38(4); 565-570","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400013&lang=pt" 
"S0034-89102004000400012-spa","Perfil de utilização de medicamentos por idosos em área urbana do Nordeste do Brasil","Coelho Filho, João Macêdo, Marcopito, Luiz Francisco, Castelo, Adauto","Revista de Saúde Pública; 38(4); 557-564","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400012&lang=pt" 
"S0034-89102004000400011-spa","Drug abuse among workers in Brazilian regions","Silva, Ovandir Alves, Yonamine, Mauricio","Revista de Saúde Pública; 38(4); 552-556","Revista de Saúde Pública","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400011&lang=pt" 
"S0034-89102004000400007-spa","Treinamento de clínicos para o diagnóstico e tratamento da depressão","Valentini, Willians, Levav, Itzhak, Kohn, Robert, Miranda, Claudio T, Mello, Andrea de Abreu Feijó de, Mello, Marcelo Feijó de, Ramos, Cássia P","Revista de Saúde Pública; 38(4); 523-528","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400007&lang=pt" 
"S0034-89102004000400006-spa","Sobremortalidade por diarréia simultânea à cólera na região Nordeste do Brasil","Gerolomo, Moacir, Penna, Maria Lúcia Fernandes","Revista de Saúde Pública; 38(4); 517-522","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400006&lang=pt" 
"S0034-89102004000400005-spa","Modelagem espacial de zonas de risco da leishmaniose tegumentar americana","Aparicio, Cristina, Bitencourt, Marisa Dantas","Revista de Saúde Pública; 38(4); 511-516","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400005&lang=pt" 
"S0034-89102004000400004-spa","Perfil de mortalidade de pacientes com tuberculose relacionada à comorbidade tuberculose-Aids","Oliveira, Helenice Bosco de, Marín-León, Leticia, Cardoso, Janaina Corrêa","Revista de Saúde Pública; 38(4); 503-510","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400004&lang=pt" 
"S0034-89102004000400003-spa","Intenções reprodutivas e práticas de regulação da fecundidade entre universitários","Pirotta, Kátia Cibelle Machado, Schor, Néia","Revista de Saúde Pública; 38(4); 495-502","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400003&lang=pt" 
"S0034-89102004000400002-spa","Opinião de mulheres e médicos brasileiros sobre a preferência pela via de parto","Faúndes, Aníbal, Pádua, Karla Simônia de, Osis, Maria José Duarte, Cecatti, José Guilherme, Sousa, Maria Helena de","Revista de Saúde Pública; 38(4); 488-494","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400002&lang=pt" 
"S0034-89102004000400001-spa","Conhecimento, atitude e prática sobre métodos anticoncepcionais entre adolescentes gestantes","Belo, Márcio Alves Vieira, Silva, João Luiz Pinto e","Revista de Saúde Pública; 38(4); 479-487","Revista de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400001&lang=pt" 
"S0034-89102004000400001-scl","Conhecimento, atitude e prática sobre métodos anticoncepcionais entre adolescentes gestantes","Belo, Márcio Alves Vieira, Silva, João Luiz Pinto e","Revista de Saúde Pública; 38(4); 479-487","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400001&lang=pt" 
"S0034-89102004000400003-scl","Intenções reprodutivas e práticas de regulação da fecundidade entre universitários","Pirotta, Kátia Cibelle Machado, Schor, Néia","Revista de Saúde Pública; 38(4); 495-502","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400003&lang=pt" 
"S0034-89102004000400004-scl","Perfil de mortalidade de pacientes com tuberculose relacionada à comorbidade tuberculose-Aids","Oliveira, Helenice Bosco de, Marín-León, Leticia, Cardoso, Janaina Corrêa","Revista de Saúde Pública; 38(4); 503-510","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400004&lang=pt" 
"S0034-89102004000400005-scl","Modelagem espacial de zonas de risco da leishmaniose tegumentar americana","Aparicio, Cristina, Bitencourt, Marisa Dantas","Revista de Saúde Pública; 38(4); 511-516","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400005&lang=pt" 
"S0034-89102004000400006-scl","Sobremortalidade por diarréia simultânea à cólera na região Nordeste do Brasil","Gerolomo, Moacir, Penna, Maria Lúcia Fernandes","Revista de Saúde Pública; 38(4); 517-522","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400006&lang=pt" 
"S0034-89102004000400007-scl","Treinamento de clínicos para o diagnóstico e tratamento da depressão","Valentini, Willians, Levav, Itzhak, Kohn, Robert, Miranda, Claudio T, Mello, Andrea de Abreu Feijó de, Mello, Marcelo Feijó de, Ramos, Cássia P","Revista de Saúde Pública; 38(4); 523-528","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400007&lang=pt" 
"S0034-89102004000400008-scl","Perfil de risco cardíaco no diabetes mellitus e na glicemia de jejum alterada","Schaan, Beatriz D&#039;Agord, Harzheim, Erno, Gus, Iseu","Revista de Saúde Pública; 38(4); 529-536","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400008&lang=pt" 
"S0034-89102004000400009-scl","Prevalência da hipovitaminose A em pré-escolares no Estado de Sergipe, 1998","Martins, Maisa Cruz, Santos, Leonor Maria Pacheco, Assis, Ana Marlúcia Oliveira","Revista de Saúde Pública; 38(4); 537-542","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400009&lang=pt" 
"S0034-89102004000400010-scl","Níveis de hemoglobina, aleitamento materno e regime alimentar no primeiro ano de vida","Assis, Ana Marlúcia Oliveira, Gaudenzi, Edileuza Nunes, Gomes, Gecynalda, Ribeiro, Rita de Cássia, Szarfarc, Sophia C, Souza, Sonia B de","Revista de Saúde Pública; 38(4); 543-551","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400010&lang=pt" 
"S0034-89102004000400012-scl","Perfil de utilização de medicamentos por idosos em área urbana do Nordeste do Brasil","Coelho Filho, João Macêdo, Marcopito, Luiz Francisco, Castelo, Adauto","Revista de Saúde Pública; 38(4); 557-564","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400012&lang=pt" 
"S0034-89102004000400014-scl","Condições de saneamento básico em Iporanga, Estado de São Paulo","Giatti, Leandro Luiz, Rocha, Aristides Almeida, Santos, Francisca Alzira dos, Bitencourt, Selma Cristina, Pieroni, Susana Rodrigues de Melo","Revista de Saúde Pública; 38(4); 571-577","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400014&lang=pt" 
"S0034-89102004000400018-scl","Bronzeamento e risco de melanoma cutâneo: revisão da literatura","Souza, Sonia R P de, Fischer, Frida M, Souza, José M P de","Revista de Saúde Pública; 38(4); 588-598","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000400018&lang=pt" 
"S0034-89102004000400008-spa","Perfil de risco cardíaco no diabetes mellitus e na glicemia de jejum alterada","Schaan, Beatriz D&#039;Agord, Harzheim, Erno, Gus, Iseu","Revista de Saúde Pública; 38(4); 529-536","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400008&lang=pt" 
"S0034-89102004000400009-spa","Prevalência da hipovitaminose A em pré-escolares no Estado de Sergipe, 1998","Martins, Maisa Cruz, Santos, Leonor Maria Pacheco, Assis, Ana Marlúcia Oliveira","Revista de Saúde Pública; 38(4); 537-542","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400009&lang=pt" 
"S0034-89102004000400010-spa","Níveis de hemoglobina, aleitamento materno e regime alimentar no primeiro ano de vida","Assis, Ana Marlúcia Oliveira, Gaudenzi, Edileuza Nunes, Gomes, Gecynalda, Ribeiro, Rita de Cássia, Szarfarc, Sophia C, Souza, Sonia B de","Revista de Saúde Pública; 38(4); 543-551","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400010&lang=pt" 
"S0034-89102004000400014-spa","Condições de saneamento básico em Iporanga, Estado de São Paulo","Giatti, Leandro Luiz, Rocha, Aristides Almeida, Santos, Francisca Alzira dos, Bitencourt, Selma Cristina, Pieroni, Susana Rodrigues de Melo","Revista de Saúde Pública; 38(4); 571-577","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000400014&lang=pt" 
