"S0030-24652012000200003-sza","Ebola virus outbreaks in Africa: Past and present","Muyembe-Tamfum, J.J., Mulangu, S., Masumu, Justin, Kayembe, J.M., Kemp, A., Paweska, Janusz T","Onderstepoort Journal of Veterinary Research; 79(2); 06-13","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200003&lang=pt" 
"S0870-90252012000100010-prt","Exposição ocupacional a citostáticos e efeitos sobre a saúde","Suspiro, Alexandra, Prista, João","Revista Portuguesa de Saúde Pública; 30(1); 76-88","Revista Portuguesa de Saúde Pública","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252012000100010&lang=pt" 
"S0870-90252012000100011-prt","Síndrome de Diógenes: revisão sistemática da literatura","Almeida, Rosa, Ribeiro, Oscar","Revista Portuguesa de Saúde Pública; 30(1); 89-99","Revista Portuguesa de Saúde Pública","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252012000100011&lang=pt" 
"S0870-90252012000100012-prt","Nota bibliográfica","Delgado, Manuel","Revista Portuguesa de Saúde Pública; 30(1); 100-101","Revista Portuguesa de Saúde Pública","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252012000100012&lang=pt" 
"S1980-00372012000200001-scl","Índice de aptidão funcional geral e sintomas depressivos em idosos","Antes, Danielle Ledur, Rossato, Luana Callegaro, Souza, Artur Gomes de, Benedetti, Tânia R. Bertoldo, Borges, Grasiely Faccin, Mazo, Giovana Zarpellon","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 14(2); 125-133","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372012000200001&lang=pt" 
"S1980-00372012000200003-scl","Efeitos do sistema âncora sobre o controle postural de idosos","Dascal, Juliana Bayeux, Okazaki, Victor Hugo Alves, Mauerberg-deCastro, Eliane","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 14(2); 144-153","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372012000200003&lang=pt" 
"S1980-00372012000200004-scl","Qual é o impacto do comportamento sedentário na aptidão física de mulheres a partir de 50 anos de idade?","Silva, Diego Augusto Santos, Mendonça, Braulio Cesar de Alcantara, Oliveira, Antonio César Cabral de","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 14(2); 154-163","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372012000200004&lang=pt" 
"S1980-00372012000200005-scl","Padrão de adiposidade em crianças e jovens de Moçambique: um estudo de genética quantitativa","Saranga, Silvio, Fermino, Rogério, Nhantumbo, Leonardo, Prista, Antonio, Maia, José","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 14(2); 164-173","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372012000200005&lang=pt" 
"S1980-00372012000200006-scl","Impacto do triatlon ironman sobre os parametros de estresse oxidativo","Scheffer, Débora da Luz, Pinho, Cleber Aurino, Hoff, Mariana Leivas Müller, Silva, Luciano Acordi da, Benetti, Magnus, Moreira, José Claudio Fonseca, Pinho, Ricardo Aurino","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 14(2); 174-182","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372012000200006&lang=pt" 
"S1980-00372012000200007-scl","Effect of player substitutions on the intensity of second-half soccer match play","Coelho, Daniel Barbosa, Coelho, Leonardo Gomes Martins, Morandi, Rodrigo Figueiredo, Ferreira Junior, João Batista, Marins, João Carlos Bouzas, Prado, Luciano Sales, Soares, Danusa Dias, Silami-Garcia, Emerson","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 14(2); 183-191","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372012000200007&lang=pt" 
"S1980-00372012000200008-scl","VO2máx estimado e sua velocidade correspondente predizem o desempenho de corredores amadores","Santos, Tony Meireles, Rodrigues, Allan Inoue, Greco, Camila Coelho, Marques, Alan Lima, Terra, Bruno Souza, Oliveira, Bruno Ribeiro Ramalho","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 14(2); 192-201","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372012000200008&lang=pt" 
"S1980-00372012000200009-scl","Avaliação do déficit bilateral em contrações isométricas dos extensores de joelhos","Pinto, Ronei Silveira, Botton, Cíntia Ehlers, Kuckartz, Bruno Tomasi, Lima, Cláudia Silveira, Moraes, Antônio Carlos de, Bottaro, Martim","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 14(2); 202-211","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372012000200009&lang=pt" 
"S1980-00372012000200010-scl","Confiabilidade de medidas de arquitetura muscular do tríceps sural por ultrassonografia de imagem","Martins, Natália Santos da Fonseca, Peixinho, Carolina Carneiro, Oliveira, Liliam Fernandes de","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 14(2); 212-220","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372012000200010&lang=pt" 
"S1980-00372012000200002-scl","Intervenção interdisciplinar na composição corporal e em testes de aptidão física de crianças obesas","Poeta, Lisiane Schilling, Duarte, Maria de Fátima da Silva, Giuliano, Isabela de Carlos Back, Farias Junior, José Cazuza de","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 14(2); 134-143","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372012000200002&lang=pt" 
"S0716-97602012000400001-chl","A light- and electron microscopic study of primordial germ cells in the zebra fish (Danio rerio)","Deniz Koç, Nazan, Yüce, Rikap","Biological Research; 45(4); 331-336","Biological Research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602012000400001&lang=pt" 
"S0716-97602012000400002-chl","Malnutrition affects the pressor response to microinjection of L-glutamate into the RVLM of awake rats","Rodrigues, Fabiana Aparecida, Chianca-Jr, Deoclecio Alves, Gonçalves Fernandes, Luciano","Biological Research; 45(4); 337-343","Biological Research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602012000400002&lang=pt" 
"S0716-97602012000400003-chl","Effects of simvastatin on bleomycin-induced pulmonary fibrosis in female rats","Tulek, Baykal, Kiyan, Esen, Kiyici, Aysel, Toy, Hatice, Bariskaner, Hulagu, Suerdem, Mecit","Biological Research; 45(4); 345-350","Biological Research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602012000400003&lang=pt" 
"S0716-97602012000400004-chl","IGF2 expression in blood is not associated with its imprinting status in healthy pregnant Chinese women","Ru-Fei, Gao, Xue-Qing, Liu, Ying-Xiong, Wang, Xue-Mei, Chen, Yu-Bin, Ding, Jun-Lin, He","Biological Research; 45(4); 351-356","Biological Research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602012000400004&lang=pt" 
"S0716-97602012000400005-chl","Effect of neuroserpin in a neonatal hypoxic-ischemic injury model ex vivo","Ma, Jiao, Yu, Dan, Tong, Yu, Mao, Meng","Biological Research; 45(4); 357-362","Biological Research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602012000400005&lang=pt" 
"S0716-97602012000400006-chl","Assessment of allelopathic properties of Aloe ferox Mill. on turnip, beetroot and carrot","Arowosegbe, Sunday, Afolayan, Anthony J","Biological Research; 45(4); 363-368","Biological Research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602012000400006&lang=pt" 
"S0716-97602012000400007-chl","lnterleukin-8 gene polymorphism and susceptibility to gastric cancer in a brazilian population","Felipe, Aledson V, Silva, Tiago D, Pimenta, Célia A, Kassab, Paulo, Forones, Nora M","Biological Research; 45(4); 369-374","Biological Research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602012000400007&lang=pt" 
"S0716-97602012000400008-chl","Biological screening of selected flora of Pakistan","Zia-Ul-Haq, M, Raza Shah, M, Qayum, Mughal, Ercisli, Sezai","Biological Research; 45(4); 375-379","Biological Research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602012000400008&lang=pt" 
"S0716-97602012000400009-chl","Age-related changes in quality and fertility of porcine semen","Tsakmakidis, Ioannis A, Khalifa, Tarek AA, Boscos, Costas M","Biological Research; 45(4); 381-386","Biological Research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602012000400009&lang=pt" 
"S0716-97602012000400010-chl","Antioxidant, Antibacterial activity and Brine shrimp toxicity test of some Mountainous Lichens from Nepal","Paudel, Babita, Datta Bhattarai, Hari, Prasad Pandey, Durga, Seoun Hur, Jae, Gyu Hong, Soon, Kim, Il-Chan, Han Yim, Joung","Biological Research; 45(4); 387-391","Biological Research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602012000400010&lang=pt" 
"S0716-97602012000400012-chl","Leishmanicidal activity of carvacrol-rich essential oil from Lippia sidoides Cham","Farias-Junior, Paulo A, Rios, Marcos C, Moura, Tauanny A, Almeida, Roque P, Alves, Pericles B, Blank, Arie F, Fernandes, Roberta P M, Scher, Ricardo","Biological Research; 45(4); 399-402","Biological Research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602012000400012&lang=pt" 
"S0716-97602012000400013-chl","Gastrodia elata Blume and its pure compounds protect BV-2 microglial-derived cell lines against β-amyloid: The involvement of GRP78 and CHOP","Geum-Hwa, Lee, Hyung-Ryong, Kim, Sang-Yong, Han, Bidur, Bhandary, Do-Sung, Kim, Min-Gul, Kim, Byung-Ok, So, Sun-Young, Kim, Kyu-Sik, Jo, Bo-Hee, Lee, Hee-Nam, Seo, Soo-Wan, Chae, Han-Jung, Chae","Biological Research; 45(4); 403-410","Biological Research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602012000400013&lang=pt" 
"S0716-97602012000400011-chl","Sporogenesis and development of gametophytes in an endangered plant, Tetracentron sinense Oliv","Gan, Xiaohong, Xie, Dan, Cao, Lingling","Biological Research; 45(4); 393-398","Biological Research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602012000400011&lang=pt" 
"S1817-74332012000200009-bol","Aplicaciones de la neuromodulación quirúrgica en el tratamiento de dolor crónico","Quiroga Rojas, Carolina Isabel","Revista Científica Ciencia Médica; 15(2); 36-40","Revista Científica Ciencia Médica","Espanhol","2012","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332012000200009&lang=pt" 
"S0211-69952012000800017-esp","Ateroembolia de colesterol y tratamiento combinado con esteroides e iloprost","Sevillano-Prieto, Ángel M., Hernández, Eduardo, Caro, Jara, Molina, María, Gutiérrez, Eduardo, Morales, Enrique, González, Ester, Praga, Manuel","Nefrología (Madrid); 32(6); 824-828","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000800017&lang=pt" 
"S1817-74332012000200004-bol","Factores de riesgo asociados a Nefropatía Diabética en pacientes ingresados a hemodiálisis del Hospital Viedma desde enero de 2006 hasta enero de 2012","Alarcón Chambi, Melisa Ivón, Aguilar Huarita, Rodrigo Winder, Alejo Soliz, Cruz Miriam, Gutiérrez Méndez, José Enrique","Revista Científica Ciencia Médica; 15(2); 12-17","Revista Científica Ciencia Médica","Espanhol","2012","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332012000200004&lang=pt" 
"S1729-519X2012000500001-cub","Formación Académica Autofinanciada: retos y perspectivas","Marzán Favier, Pedro Luis, Moré Cuesta, Cosme","Revista Habanera de Ciencias Médicas; 11(); 573-574","Revista Habanera de Ciencias Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2012000500001&lang=pt" 
"S1729-519X2012000500002-cub","Dr. Francisco C. García bertrand PH.D. Destacado docente iniciador de la medicina familiar en Cuba","García Pérez, Ariel Alejandro","Revista Habanera de Ciencias Médicas; 11(); 575-582","Revista Habanera de Ciencias Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2012000500002&lang=pt" 
"S1729-519X2012000500003-cub","Girón, una historia que contar","Alonso Bermúdez, Gabriela","Revista Habanera de Ciencias Médicas; 11(); 583-592","Revista Habanera de Ciencias Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2012000500003&lang=pt" 
"S1729-519X2012000500004-cub","Biomodelo de insuficiencia renal crónica con el uso del tisuacryl en ratas","Núñez Cairo, Carlos Rafael","Revista Habanera de Ciencias Médicas; 11(); 593-604","Revista Habanera de Ciencias Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2012000500004&lang=pt" 
"S1729-519X2012000500005-cub","Tumor triquilemal proliferante. Presentación de un caso","Urbizo Vélez, Joaquín, Contreras Rojas, Isis, Levi Alfonso, Jorge","Revista Habanera de Ciencias Médicas; 11(); 605-610","Revista Habanera de Ciencias Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2012000500005&lang=pt" 
"S1729-519X2012000500006-cub","Indicadores de adiposidad en un policlínico del municipio Playa","Redondo Escudero, Osmaickel, Rivero Fernández de Alaiza, Laura, Garrigó García, Freddy, Romero Brugueras, Estudiante Lianet M.","Revista Habanera de Ciencias Médicas; 11(); 611-618","Revista Habanera de Ciencias Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2012000500006&lang=pt" 
"S1729-519X2012000500007-cub","Cor pulmonale crónico como forma de presentación de fibrosis pulmonar: a propósito de un caso","Martínez García, Geovedy, Pozo Alonso, Desi, Rodríguez Montero, Henry","Revista Habanera de Ciencias Médicas; 11(); 619-625","Revista Habanera de Ciencias Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2012000500007&lang=pt" 
"S1729-519X2012000500008-cub","Neumonía tuberculosa. Presentación de caso","Díaz Toledo, Manuel, Fernández Olivera, Norma, Valdés Quintana, Magali L, Crespo Dìaz, Tatiana T, Sánchez de la Osa, Reinaldo","Revista Habanera de Ciencias Médicas; 11(); 626-632","Revista Habanera de Ciencias Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2012000500008&lang=pt" 
"S1729-519X2012000500009-cub","Transformación anaplásica tardía de bocio multinodular","Martínez Ramos, Lidia","Revista Habanera de Ciencias Médicas; 11(); 633-639","Revista Habanera de Ciencias Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2012000500009&lang=pt" 
"S1729-519X2012000500010-cub","Estudio de pacientes relaparotomizados en el Hospital General Docente &quot;Dr. Enrique Cabrera&quot;. 2006-2010","Concepción Quiñones, Leonardo, Sosa Palacios, Oramis","Revista Habanera de Ciencias Médicas; 11(); 640-649","Revista Habanera de Ciencias Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2012000500010&lang=pt" 
"S1729-519X2012000500011-cub","Circunferencia de la cintura con sobrepeso e hipertensión arterial en adultos","de la Fuente Crespo, Ricardo Víctor, Carballo Martínez, Rosario G, Fernández-Britto Rodríguez, José Emilio, Guilarte Díaz, Sirsi, Albert Cabrera, Marco J","Revista Habanera de Ciencias Médicas; 11(); 650-664","Revista Habanera de Ciencias Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2012000500011&lang=pt" 
"S1729-519X2012000500012-cub","Fundamento científico del análisis docente clínico patológico de adultos fallecidos","Senado Dumoy, Justo","Revista Habanera de Ciencias Médicas; 11(); 665-672","Revista Habanera de Ciencias Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2012000500012&lang=pt" 
"S1729-519X2012000500013-cub","Conocimientos de los factores de riesgo sobre cáncer de mama en Puerto La Cruz, estado Anzoátegui, Venezuela","Rodríguez González, Jannette, Rodríguez González, Alicia, Triana Torres, Antonio, Mendoza Taño, Roxana","Revista Habanera de Ciencias Médicas; 11(); 673-683","Revista Habanera de Ciencias Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2012000500013&lang=pt" 
"S1729-519X2012000500014-cub","Mensaje de Fidel","Castro Ruz, Fidel","Revista Habanera de Ciencias Médicas; 11(); 684-685","Revista Habanera de Ciencias Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2012000500014&lang=pt" 
"S1729-519X2012000500015-cub","Discurso del Dr. Humberto Olivera García, Director General del Instituto de Ciencias Básicas y Preclínicas&quot;Victoria de Girón&quot; en el acto conmemorativo del Aniversario 50 de su fundación","Olivera García, Humberto","Revista Habanera de Ciencias Médicas; 11(); 686-692","Revista Habanera de Ciencias Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2012000500015&lang=pt" 
"S1729-519X2012000500016-cub","ANIVERSARIO 50 DEL INICIO DEL PRIMER CURSO DE MEDICINA EN EL INSTITUTO DE CIENCIAS BÁSICAS Y PRECLÍNICAS &quot;Victoria de Girón&quot; (ICBP&quot;Victoria de Girón&quot;)","Vela Valdés, Juan","Revista Habanera de Ciencias Médicas; 11(); 693-698","Revista Habanera de Ciencias Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2012000500016&lang=pt" 
"S1729-519X2012000500017-cub","Suicidio en el adulto mayor","Ribot Reyes, Victoria de la Caridad, Alfonso Romero, Maritza, Ramos Arteaga, Martha Elena, González Castillo, Antonio","Revista Habanera de Ciencias Médicas; 11(); 699-708","Revista Habanera de Ciencias Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2012000500017&lang=pt" 
"S1729-519X2012000500018-cub","Violencia sobre personas de la tercera edad con demencia Policlínico Cristóbal Labra Lisa. 2010","Rodríguez Blanco, Lidia, Sotolongo Arró, Olga, Luberta Noy, Gladys, Calvo Rodríguez, Marina","Revista Habanera de Ciencias Médicas; 11(); 709-726","Revista Habanera de Ciencias Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2012000500018&lang=pt" 
"S1729-519X2012000500019-cub","La filosofía, el proceso salud-enfermedad y el medio ambiente","Hernández Cabezas, Marilys, Hernández Cabezas, Maricelys, Mauri Pérez, José Luis, García Franco, Vilma","Revista Habanera de Ciencias Médicas; 11(); 727-735","Revista Habanera de Ciencias Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-519X2012000500019&lang=pt" 
"S0211-69952012000800001-esp","Grupo de Trabajo e Iniciativa ORD (Optimizando Resultados en Diálisis, &quot;Optimising Results in Dialysis&quot;)","Aljama, Pedro","Nefrología (Madrid); 32(6); 701-703","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000800001&lang=pt" 
"S1817-74332012000200002-bol","Sobre los Artículos de Revisión","Rocha Choque, Mayra Victoria, Soliz Alconz, Hazel Vivian","Revista Científica Ciencia Médica; 15(2); 5-5","Revista Científica Ciencia Médica","Espanhol","2012","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332012000200002&lang=pt" 
"S1817-74332012000200013-bol","Enfermedad de Addison asociado a tuberculosis pulmonar: reporte de un caso","Flores Orellana, Jose Luis, Foronda Rios, Jose Luis, Flores Prado, Mirtha Lizeth, Soria Flores, Cecilia, Foronda Rios, Maria Ofelia","Revista Científica Ciencia Médica; 15(2); 53-56","Revista Científica Ciencia Médica","Espanhol","2012","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332012000200013&lang=pt" 
"S1817-74332012000200006-bol","Conocimiento, actitud y práctica del autoexamen mamario en mujeres estudiantes de medicina de la Universidad Mayor de San Simón Gestión 2011","Gutiérrez Delgadillo, Ariel, Gutiérrez Flores, Fernando Rupher, Gutierrez Choque, Juan Carlos, Guzmán Delgadillo, Favio, Santander Lopez, Ana","Revista Científica Ciencia Médica; 15(2); 22-25","Revista Científica Ciencia Médica","Espanhol","2012","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332012000200006&lang=pt" 
"S1817-74332012000200008-bol","Tumor del estroma gastrointestinal, un reto diagnóstico desde la perspectiva clínico-quirúrgica, histopatológica e inmunohistoquímica. Aclaración de conflictos cognitivos.","Villarroel Salinas, Jaime Claudio, Canedo García, Naya Alejandra","Revista Científica Ciencia Médica; 15(2); 30-35","Revista Científica Ciencia Médica","Espanhol","2012","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332012000200008&lang=pt" 
"S1817-74332012000200014-bol","Sirenomelia","Silva Cerrogrande, Claudia Vanesa, Silva Cerrogrande, Patricia Giovana","Revista Científica Ciencia Médica; 15(2); 57-57","Revista Científica Ciencia Médica","Espanhol","2012","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332012000200014&lang=pt" 
"S1817-74332012000200011-bol","Porfiria aguda intermitente la importancia de ampliar la perspectiva del diagnóstico diferencial","Cabrera Arandia, Mariela, Ortiz Aparicio, Freddy Miguel, Espinoza Balderrama, Boris, Claure del Granado, Rolando","Revista Científica Ciencia Médica; 15(2); 45-48","Revista Científica Ciencia Médica","Espanhol","2012","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332012000200011&lang=pt" 
"S1817-74332012000200007-bol","Cálculo de probabilidades, según factores de riesgo de contraer cáncer de mama, en pacientes del Hospital Obrero N°32","Pérez Montoya, Luis Humberto, Pérez Rojas, Ninoska, Calderón, María Elena","Revista Científica Ciencia Médica; 15(2); 26-29","Revista Científica Ciencia Médica","Espanhol","2012","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332012000200007&lang=pt" 
"S1817-74332012000200010-bol","Relación del virus herpes simple con la enfermedad de Alzheimer","Arancibia V., Oliver, Bustamante M., Dayana, Omonte G., Silvana, Santa Cruz, Adriana","Revista Científica Ciencia Médica; 15(2); 41-44","Revista Científica Ciencia Médica","Espanhol","2012","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332012000200010&lang=pt" 
"S1817-74332012000200003-bol","Dexmedetomidina en infusion continua para cirugía neurofuncional de estimulación profunda en la enfermedad de Parkinson","Portela Ortiz, José Manuel, Salazar Leaño, Mónica Tatiana","Revista Científica Ciencia Médica; 15(2); 6-11","Revista Científica Ciencia Médica","Espanhol","2012","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332012000200003&lang=pt" 
"S1817-74332012000200015-bol","Miasis en paciente con Carcinoma Basocelular","Pérez López, Daphne Ingrid, Cruz Copa, Claudia Mariela, Pérez Vedia, Hugo","Revista Científica Ciencia Médica; 15(2); 58-58","Revista Científica Ciencia Médica","Espanhol","2012","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332012000200015&lang=pt" 
"S1817-74332012000200012-bol","Siringomielia asociado a Malformación de Chiari tipo I","Flores Herrera, Daniela, Morales Cozzi, Carolina, Ladislao Flores, Alvis","Revista Científica Ciencia Médica; 15(2); 49-52","Revista Científica Ciencia Médica","Espanhol","2012","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332012000200012&lang=pt" 
"S1817-74332012000200016-bol","ALGORITMO DIAGNÓSTICO DE DIARREA EN PACIENTES PEDIÁTRICOS","Suárez Barrientos, Eduardo Luis","Revista Científica Ciencia Médica; 15(2); 59-59","Revista Científica Ciencia Médica","Espanhol","2012","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332012000200016&lang=pt" 
"S1817-74332012000200001-bol","Proceso editorial de la revista científica ciencia médica: metas cumplidas, nuevos desafíos","Carvajal Yañez, Noelia, Cartagena Triveño, Doris","Revista Científica Ciencia Médica; 15(2); 3-4","Revista Científica Ciencia Médica","Espanhol","2012","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332012000200001&lang=pt" 
"S1817-74332012000200005-bol","Factores asociados para el desarrollo de la Esquizofrenia y su incidencia en pacientes del Hospital San Juan de Dios gestión 2012","Salguero Jiménez, Laura, Soraide, Janette","Revista Científica Ciencia Médica; 15(2); 18-21","Revista Científica Ciencia Médica","Espanhol","2012","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332012000200005&lang=pt" 
"S0301-732X2012000300001-chl","Editorial","","Archivos de medicina veterinaria; 44(3); V-V","Archivos de medicina veterinaria","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2012000300001&lang=pt" 
"S0301-732X2012000300002-chl","Effect of the application of stem cells for tendon injuries in sporting horses","Tuemmers, C, Rebolledo, N, Aguilera, R","Archivos de medicina veterinaria; 44(3); 207-215","Archivos de medicina veterinaria","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2012000300002&lang=pt" 
"S0301-732X2012000300003-chl","Contenido de alimento y metabolismo ceco-cólico en el tracto digestivo de poblaciones silvestres de iguana negra (Ctenosaura pectinata) en Morelos, México","Vélez-Hernández, L, Cobos-Peralta, MA, Arcos-García, JL","Archivos de medicina veterinaria; 44(3); 217-224","Archivos de medicina veterinaria","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2012000300003&lang=pt" 
"S0301-732X2012000300004-chl","Knowledge and attitudes towards food safety and reported use of good production practices among a sample of cattle producers in Santa Fe, Argentina","Young, I, Rajić, A, Perez, E, Sanchez, J, Larriestra, A, Perez, LA, Drivet, O, Monteverde, M, McEwen, SA","Archivos de medicina veterinaria; 44(3); 225-235","Archivos de medicina veterinaria","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2012000300004&lang=pt" 
"S0301-732X2012000300005-chl","Calidad de la leche cruda en unidades de producción familiar del sur de Ciudad de México","Álvarez-Fuentes, G, Herrera-Haro, JG, Alonso-Bastida, G, Barreras-Serrano, A","Archivos de medicina veterinaria; 44(3); 237-242","Archivos de medicina veterinaria","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2012000300005&lang=pt" 
"S0301-732X2012000300006-chl","Modificación en la composición de ácidos grasos del huevo al incluir aceite de sardina y ácido linoleico conjugado en dietas para gallinas ponedoras","Carrillo, S, Ávila, E, Vásquez, C, Calvo, C, Carranco, ME, Pérez-Gil, F","Archivos de medicina veterinaria; 44(3); 243-251","Archivos de medicina veterinaria","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2012000300006&lang=pt" 
