"S1413-81232016001003303-spa","Disability, family and society: new thinking of an old debate","Goldson, Edward","Ciência &amp; Saúde Coletiva; 21(10); 3303-3307","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016001003303&lang=pt" 
"S1807-59322016001000555-scl","Differential Diagnosis of Solitary Pulmonary Inflammatory Lesions and Peripheral Lung Cancers with Contrast-enhanced Computed Tomography","Chu, Zhi-gang, sheng, Bo, Liu, Meng-qi, Lv, Fa-jin, Li, Qi, Ouyang, Yu","Clinics; 71(10); 555-561","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016001000555&lang=pt" 
"S1807-59322016001000570-scl","Mother’s freedom of choice and the rights of an unborn child: a comparison between the views of freshmen and senior medical school students","Motoki, Marcelo Shigueo Yosikawa, Cabar, Fabio Roberto, Francisco, Rossana Pulcineli Vieira","Clinics; 71(10); 570-574","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016001000570&lang=pt" 
"S1807-59322016001000575-scl","Post-operative hemimaxillectomy rehabilitation using prostheses supported by zygoma implants and remaining natural teeth","Qu, Xing Zhou, Wang, Ming Yi, Ong, Hui Shan, Zhang, Chen Ping","Clinics; 71(10); 575-579","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016001000575&lang=pt" 
"S0074-02762016001000614-scl","Heterochromatin base pair composition and diversification in holocentric chromosomes of kissing bugs (Hemiptera, Reduviidae)","Bardella, Vanessa Bellini, Pita, Sebastián, Vanzela, André Luis Laforga, Galvão, Cleber, Panzera, Francisco","Memórias do Instituto Oswaldo Cruz; 111(10); 614-624","Memórias do Instituto Oswaldo Cruz","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762016001000614&lang=pt" 
"S0074-02762016001000642-scl","Distribution and association between environmental and clinical isolates of Cryptococcus neoformans in Bogotá-Colombia, 2012-2015","Vélez, Norida, Escandón, Patricia","Memórias do Instituto Oswaldo Cruz; 111(10); 642-648","Memórias do Instituto Oswaldo Cruz","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762016001000642&lang=pt" 
"S0074-02762016001000649-scl","A simple, biologically sound, and potentially useful working classification of Chagas disease vectors","Abad-Franch, Fernando","Memórias do Instituto Oswaldo Cruz; 111(10); 649-651","Memórias do Instituto Oswaldo Cruz","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762016001000649&lang=pt" 
"S0074-02762016001000655-scl","First detection of natural infection of Aedes aegypti with Zika virus in Brazil and throughout South America","Ferreira-de-Brito, Anielly, Ribeiro, Ieda P, Miranda, Rafaella Moraes de, Fernandes, Rosilainy Surubi, Campos, Stéphanie Silva, Silva, Keli Antunes Barbosa da, Castro, Marcia Gonçalves de, Bonaldo, Myrna C, Brasil, Patrícia, Lourenço-de-Oliveira, Ricardo","Memórias do Instituto Oswaldo Cruz; 111(10); 655-658","Memórias do Instituto Oswaldo Cruz","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762016001000655&lang=pt" 
"S1807-59322016001000606-scl","Pediatric minor head trauma: do cranial CT scans change the therapeutic approach?","Andrade, Felipe P., Montoro Neto, Roberto, Oliveira, Renan, Loures, Gabriela, Flessak, Luana, Gross, Roberta, Donnabella, Camille, Puchnick, Andrea, Suzuki, Lisa, Regacini, Rodrigo","Clinics; 71(10); 606-610","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016001000606&lang=pt" 
"S1807-59322016001000617-scl","Functional investigation of bone implant viability using radiotracers in a new model of osteonecrosis","Schiper, Luis, Faintuch, Bluma Linkowski, Badaró, Roberto José da Silva, Oliveira, Erica Aparecida de, Chavez, Victor E. Arana, Chinen, Elisangela, Faintuch, Joel","Clinics; 71(10); 617-625","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016001000617&lang=pt" 
"S1807-59322016001000562-scl","Septic Pulmonary Embolism Requiring Critical Care: Clinicoradiological Spectrum, Causative Pathogens and Outcomes","Chou, Deng-Wei, Wu, Shu-Ling, Chung, Kuo-Mou, Han, Shu-Chen, Cheung, Bruno Man-Hon","Clinics; 71(10); 562-569","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016001000562&lang=pt" 
"S1807-59322016001000600-scl","Long-term Results after CT-Guided Percutaneous Ethanol Ablation for the Treatment of Hyperfunctioning Adrenal Disorders","Frenk, Nathan Elie, Sebastianes, Fernando, Lerario, Antonio Marcondes, Fragoso, Maria Candida Barisson Villares, Mendonca, Berenice Bilharinho, Menezes, Marcos Roberto de","Clinics; 71(10); 600-605","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016001000600&lang=pt" 
"S1807-59322016001000593-scl","The effect of maternal near miss on adverse infant nutritional outcomes","Zanardi, Dulce M., Moura, Erly C., Santos, Leonor P., Leal, Maria C., Cecatti, Jose G.","Clinics; 71(10); 593-599","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016001000593&lang=pt" 
"S0038-23532016000500022-sza","An extended farm site development method","Hanekom, Eugene, Liebenberg, Andre, de Vries, Marné","South African Journal of Science; 112(9-10); 1-11","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500022&lang=pt" 
"S0038-23532016000500015-sza","Assessment of visualisation skills in biochemistry students","Mnguni, Lindelani, Schönborn, Konrad, Anderson, Trevor","South African Journal of Science; 112(9-10); 1-8","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500015&lang=pt" 
"S0038-23532016000500018-sza","San and Nama indigenous knowledge: The case of |nhora (Pteronia camphorata) and its medicinal use","Hulley, Isabel M., Tilney, Patricia M., Van Vuuren, Sandy F., Kamatou, Guy PP, Nortje, Janneke M., Viljoen, Alvaro M., Van Wyk, Ben-Erik","South African Journal of Science; 112(9-10); 1-9","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500018&lang=pt" 
"S0038-23532016000500002-sza","The Golden Ratio (1.62) as a dimensionless biological constant","Lieber, Michael","South African Journal of Science; 112(9-10); 1-1","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500002&lang=pt" 
"S0038-23532016000500016-sza","Pesticide management practices among rural market gardening farmers near Harare, Zimbabwe","Zimba, Moses, Zimudzi, Clemence","South African Journal of Science; 112(9-10); 1-5","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500016&lang=pt" 
"S0038-23532016000500008-sza","Response to Thackeray (2016) - The possibility of lichen growth on bones of Homo naledi: Were they exposed to light?","Randolph-Quinney, Patrick S., Backwell, Lucinda R., Berger, Lee R., Hawks, John, Dirks, Paul H.G.M., Roberts, Eric M., Nhauro, Godwin, Kramers, Jan","South African Journal of Science; 112(9-10); 1-5","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500008&lang=pt" 
"S1982-88372016000200020-scl","Paula Ludwig: &quot;Aus Berlin emigriert 1933! 13 Jahre Brasilien; 1953 Heimkehr - fatal!&quot;","Quandt, Christiane","Pandaemonium Germanicum; 19(28); 20-44","Pandaemonium Germanicum","Alemão","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-88372016000200020&lang=pt" 
"S1982-88372016000200074-scl","Odradek, quimera incapturável","Izabel, Tomaz Amorim","Pandaemonium Germanicum; 19(28); 74-100","Pandaemonium Germanicum","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-88372016000200074&lang=pt" 
"S1982-88372016000200101-scl","A consultoria individual e o diário de aprendizagem como instrumentos para o desenvolvimento de autonomia no contexto de ensino de alemão como língua estrangeira","Ferreira, Mergenfel, Marques-Schäfer, Gabriela","Pandaemonium Germanicum; 19(28); 101-123","Pandaemonium Germanicum","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-88372016000200101&lang=pt" 
"S1982-88372016000200045-scl","A literatura brasileira de expressão alemã e a crítica","Sousa, Celeste Ribeiro de","Pandaemonium Germanicum; 19(28); 45-73","Pandaemonium Germanicum","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-88372016000200045&lang=pt" 
"S1982-88372016000200124-scl","How Brazilian students conceptualize the experience of learning German for academic purposes","Ferreira, Luciane Corrêa","Pandaemonium Germanicum; 19(28); 124-152","Pandaemonium Germanicum","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-88372016000200124&lang=pt" 
"S1982-88372016000200001-scl","Recepção lusófona de Hermann Broch - Período 1959-2015","Bonomo, Daniel","Pandaemonium Germanicum; 19(28); 1-19","Pandaemonium Germanicum","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-88372016000200001&lang=pt" 
"S0103-90162016000500417-scl","Decline of phosphorus, copper, and zinc in anaerobic swine lagoon columns receiving pretreated influent","Szögi, Ariel A., Vanotti, Matias B.","Scientia Agricola; 73(5); 417-423","Scientia Agricola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162016000500417&lang=pt" 
"S0103-90162016000500406-scl","Biogas production: litter from broilers receiving direct-fed microbials and an enzyme blend","Praes, Maria Fernanda Ferreira Menegucci, Lucas Junior, Jorge de, Orrico, Ana Carolina Amorim, Orrico Junior, Marco Antonio Previdelli, Hermes, Rafael Gustavo, Sorbara, José Otávio Berti, Duarte, Karina Ferreira, Schwingel, Alice Watte, Sgavioli, Sarah, Domingues, Carla Heloisa de Faria, Sunada, Natália da Silva","Scientia Agricola; 73(5); 406-411","Scientia Agricola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162016000500406&lang=pt" 
"S0103-90162016000500444-scl","Treatment of swine manure: case studies in European’s N-surplus areas","García-González, Maria Cruz, Riaño, Berta, Teresa, Marta, Herrero, Eva, Ward, Alastair James, Provolo, Giorgio, Moscatelli, Giuseppe, Piccinini, Sergio, Bonmatí, August, Bernal, María Pilar, Wiśniewska, Hanna, Proniewicz, Marcin","Scientia Agricola; 73(5); 444-454","Scientia Agricola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162016000500444&lang=pt" 
"S0103-90162016000500434-scl","Recovery of ammonia from anaerobically digested manure using gas-permeable membranes","García-González, Maria Cruz, Vanotti, Matias B., Szogi, Ariel A.","Scientia Agricola; 73(5); 434-438","Scientia Agricola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162016000500434&lang=pt" 
"S0103-90162016000500429-scl","Growth of Burkholderia sacchari LFM 101 cultivated in glucose, sucrose and glycerol at different temperatures","Nascimento, Valkirea Matos, Silva, Luiziana Ferreira, Gomez, José Gregório Cabrera, Fonseca, Gustavo Graciano","Scientia Agricola; 73(5); 429-433","Scientia Agricola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162016000500429&lang=pt" 
"S0103-90162016000500397-scl","A cost prediction model for machine operation in multi-field production systems","Sopegno, Alessandro, Busato, Patrizia, Berruto, Remigio, Romanelli, Thiago Libório","Scientia Agricola; 73(5); 397-405","Scientia Agricola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162016000500397&lang=pt" 
"S0100-67622016000500931-scl","ANALYSIS OF EUCALYPTUS GLUED-LAMINATED TIMBER PORTICOS STRUCTURAL PERFORMANCE","Petrauski, Sandra Maria Ferreira Couri, Silva, José de Castro, Petrauski, Alfredo, Lucia, Ricardo Marius Della","Revista Árvore; 40(5); 931-939","Revista Árvore","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622016000500931&lang=pt" 
"S0004-27492016000500323-scl","Repeatability of contrast sensitivity testing in patients with age-related macular degeneration, glaucoma, and cataract","Kara, Selcuk, Gencer, Baran, Ersan, Ismail, Arikan, Sedat, Kocabiyik, Omer, Tufan, Hasan Ali, Comez, ArzuTaskiran","Arquivos Brasileiros de Oftalmologia; 79(5); 323-327","Arquivos Brasileiros de Oftalmologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492016000500323&lang=pt" 
"S0100-67622016000500825-scl","COMPOSITION OF MEDIUM AND LARGE MAMMALS IN FOREST RESERVE IN THE CERRADO OF BRAZIL CENTRAL","Leite, Rodrigo Jose Viana, Lemos, João Lucas Franco, Silva, Fábio William Martins da, Alencar, Isis Rhaysa Castro de, Bezerra, Priscila Freitas, Carregaro, Juliano Bonfim","Revista Árvore; 40(5); 825-832","Revista Árvore","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622016000500825&lang=pt" 
"S0100-67622016000500769-scl","DEFINING PRIORITY ZONES FOR CONSERVATION AND ECOTOURISM IN A PROTECTED AREA","Costa, Taynan de Oliveira, Assis, Letícia Rodrigues de, Calijuri, Maria Lúcia, Assemany, Paula Peixoto, Lima, Gumercindo Souza","Revista Árvore; 40(5); 769-779","Revista Árvore","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622016000500769&lang=pt" 
"S0370-41062016000500012-chl","Variante de Dandy Walker: reporte de un caso","Cueva-Núñez, José E, Lozano-Bustillo, Alejandra, Irias-Álvarez, Merlyn S, Vásquez-Montes, Raúl F, Varela-González, Douglas M","Revista chilena de pediatría; 87(5); 406-410","Revista chilena de pediatría","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062016000500012&lang=pt" 
"S0370-41062016000500003-chl","Contaminación intradomiciliaria por material particulado fino (MP2,5) en hogares de recién nacidos","Barría, René Mauricio, Calvo, Mario, Pino, Paulina","Revista chilena de pediatría; 87(5); 343-350","Revista chilena de pediatría","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062016000500003&lang=pt" 
"S0004-27492016000500339-scl","Management of necrotizing scleritis after pterygium surgery with rituximab","Fidelix, Tania Sales de Alencar, Vieira, Luis Antonio, Trevisani, Virginia Fernandes Moca","Arquivos Brasileiros de Oftalmologia; 79(5); 339-341","Arquivos Brasileiros de Oftalmologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492016000500339&lang=pt" 
"S0004-27492016000500328-scl","Coexistence of optic pit and coloboma of iris, lens, and choroid: a case report","Özelce, Ramazan, Gürlü, Vuslat, Güçlü, Hande, Özal, Sadık Altan","Arquivos Brasileiros de Oftalmologia; 79(5); 328-329","Arquivos Brasileiros de Oftalmologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492016000500328&lang=pt" 
"S0100-67622016000500941-scl","THERMAL DEGRADATION AND MORPHOLOGICAL ASPECTS OF FOUR WOOD SPECIES USED IN LUMBER INDUSTRY","Poletto, Matheus","Revista Árvore; 40(5); 941-948","Revista Árvore","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622016000500941&lang=pt" 
"S0004-27492016000500333-scl","Adenoid cystic carcinoma of the lacrimal sac: case report","Ramos, Antonio, Pozo, Carmen Del, Chinchurreta, Ana, García, Fernando, Lorenzo, Mercedes, Gismero, Saturnino","Arquivos Brasileiros de Oftalmologia; 79(5); 333-335","Arquivos Brasileiros de Oftalmologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492016000500333&lang=pt" 
"S0100-67622016000500845-scl","A PROPOSED METHODOLOGY FOR THE CORRECTION OF THE LEAF AREA INDEX MEASURED WITH A CEPTOMETER FOR PINUS AND EUCALYPTUS FORESTS","Lopes, Domingos Mendes, Walford, Nigel, Viana, Helder, Sette Junior, Carlos Roberto","Revista Árvore; 40(5); 845-854","Revista Árvore","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622016000500845&lang=pt" 
"S0004-27492016000500294-scl","Dysfunction in the fellow eyes of strabismic and anisometropic amblyopic children assessed by visually evoked potentials","Andrade, Eric Pinheiro, Berezovsky, Adriana, Sacai, Paula Yuri, Pereira, Josenilson Martins, Rocha, Daniel Martins, Salomão, Solange Rios","Arquivos Brasileiros de Oftalmologia; 79(5); 294-298","Arquivos Brasileiros de Oftalmologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492016000500294&lang=pt" 
"S0370-41062016000500007-chl","Percepción de los adolescentes sobre el ingreso hospitalario: Importancia de la humanización de los hospitales infantiles","Butragueño Laiseca, Laura, González Martínez, Felipe, Oikonomopoulou, Niki, Pérez Moreno, Jimena, Toledo del Castillo, Blanca, González Sánchez, María Isabel, Rodríguez Fernández, Rosa","Revista chilena de pediatría; 87(5); 373-379","Revista chilena de pediatría","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062016000500007&lang=pt" 
"S0004-27492016000500289-scl","Microbiological and epidemiological study of infectious keratitis in children and adolescents","Yu, Maria Cecilia Zorat, Höfling-Lima, Ana Luisa, Furtado, Guilherme Henrique Campos","Arquivos Brasileiros de Oftalmologia; 79(5); 289-293","Arquivos Brasileiros de Oftalmologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492016000500289&lang=pt" 
"S0100-67622016000500803-scl","POTENTIAL AREAS FOR THE FORMATION OF ECOLOGICAL CORRIDORS BETWEEN REMNANTS OF ATLANTIC FOREST","Santos, João Flávio Costa dos, Mendonça, Bruno Araujo Furtado de, Araújo, Emanuel José Gomes de, Delgado, Rafael Coll, Gleriani, José Marinaldo","Revista Árvore; 40(5); 803-813","Revista Árvore","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622016000500803&lang=pt" 
"S0370-41062016000500011-chl","Hiperostosis cortical infantil: reporte de caso","Rodríguez, Mónica, Martínez, Luz Elena, Cortés, José, de Uña, Armando, Vega, Valentina, Acosta, Mario","Revista chilena de pediatría; 87(5); 401-405","Revista chilena de pediatría","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062016000500011&lang=pt" 
"S0004-27492016000500303-scl","Pattern-reversal visual evoked potentials as a diagnostic tool for ocular malingering","Soares, Tarciana de Souza, Sacai, Paula Yuri, Berezovsky, Adriana, Rocha, Daniel Martins, Watanabe, Sung Eun Song, Salomão, Solange Rios","Arquivos Brasileiros de Oftalmologia; 79(5); 303-307","Arquivos Brasileiros de Oftalmologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492016000500303&lang=pt" 
"S0100-67622016000500793-scl","NET PRECIPITATION IN A SEMIDECIDUOUS FOREST FRAGMENT IN VIÇOSA CITY, MG","Freitas, João Paulo Oliveira, Dias, Herly Carlos Teixeira, Silva, Elias, Tonello, Kelly Cristina","Revista Árvore; 40(5); 793-801","Revista Árvore","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622016000500793&lang=pt" 
"S0100-67622016000500781-scl","VERTICAL STRUCTURE OF THE ARBOREAL COMPONENT UNDER REGENERATION PHASE OF A DECIDUOUS FOREST FRAGMENT, SANTA CATARINA STATE, BRAZIL","Freitas, Welington Kiffer de, Magalhães, Luis Mauro Sampaio","Revista Árvore; 40(5); 781-791","Revista Árvore","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622016000500781&lang=pt" 
"S0004-27492016000500342-scl","Nonarteritic anterior ischemic optic neuropathy following pars plana vitrectomy for macular hole treatment: case report","Cunha, Leonardo Provetti, Cunha, Luciana Virgínia Ferreira Costa, Costa, Carolina Ferreira, Monteiro, Mário Luiz Ribeiro","Arquivos Brasileiros de Oftalmologia; 79(5); 342-345","Arquivos Brasileiros de Oftalmologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492016000500342&lang=pt" 
"S0004-27492016000500330-scl","Toxic anterior segment syndrome following deep anterior lamellar keratoplasty","Sevimli, Neslihan, Karadag, Remzi, Cakici, Ozgur, Bayramlar, Huseyin, Okumus, Seydi, Sari, Unsal","Arquivos Brasileiros de Oftalmologia; 79(5); 330-332","Arquivos Brasileiros de Oftalmologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492016000500330&lang=pt" 
"S0004-27492016000500001-scl","Crosslinking enters public health armamentarium in Brazil","Chamon, Wallace","Arquivos Brasileiros de Oftalmologia; 79(5); V-VI","Arquivos Brasileiros de Oftalmologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492016000500001&lang=pt" 
"S0100-67622016000500867-scl","GENETIC CONTROL AND GENOTYPE-BY-ENVIRONMENT INTERACTION OF WOOD WEIGHT IN Eucalyptus CLONES IN THE STATE OF RIO GRANDE DO SUL, BRAZIL","Santos, Gleison Augusto, Nunes, Andrei Caíque Pires, Resende, Marcos Deon Vilela, Silva, Luciana Duque, Higa, Antonio, Assis, Teotônio Francisco","Revista Árvore; 40(5); 867-876","Revista Árvore","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622016000500867&lang=pt" 
"S0370-41062016000500005-chl","Evaluación nutricional en niños hospitalizados en un Servicio de Pediatría","Velandia, Silvia, Hodgson, Maria Isabel, Le Roy, Catalina","Revista chilena de pediatría; 87(5); 359-365","Revista chilena de pediatría","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062016000500005&lang=pt" 
"S0370-41062016000500008-chl","Gastrosquisis: ¿una pandemia con tasas en aumento? Experiencia del estudio colaborativo latino americano de malformaciones congénitas (ECLAMC) en Chile. Período 1982-2014","Nazer Herrera, Julio, Karachon Essedin, Lucas, Cifuentes Ovalle, Lucía, Assar Cuevas, Rodrigo","Revista chilena de pediatría; 87(5); 380-386","Revista chilena de pediatría","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062016000500008&lang=pt" 
"S0004-27492016000500308-scl","Subfoveal choroidal thickness changes after intravitreal bevacizumab therapy for central serous chorioretinopathy","Ünlü, Cihan, Erdogan, Gurkan, Gezginaslan, Tugba Aydogan, Akcay, Betul Ilkay Sezgin, Kardes, Esra, Bozkurt, Tahir Kansu","Arquivos Brasileiros de Oftalmologia; 79(5); 308-311","Arquivos Brasileiros de Oftalmologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492016000500308&lang=pt" 
"S0100-67622016000500885-scl","AGE OF Eucalyptus urograndis PLANTATIONS AND OCCURRENCE OF PEST INSECTS","Andrade, Joana Gabriela Freitas, Sá, Verissimo Gibran Mendes, Lodi, Sara, Godoy, Bruno Spacek","Revista Árvore; 40(5); 885-892","Revista Árvore","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622016000500885&lang=pt" 
"S0100-67622016000500877-scl","EGG STORAGE OF Podisus nigrispinus (HEMIPTERA: PENTATOMIDAE) PREDATORS AT LOW TEMPERATURES","Costa, Victor Hugo Duarte da, Soares, Marcus Alvarenga, Assis Júnior, Sebastião Lourenço de, Silveira, Rodrigo Diniz, Reis, Tatiane Carla, Pires, Evaldo Martins","Revista Árvore; 40(5); 877-884","Revista Árvore","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622016000500877&lang=pt" 
"S0100-67622016000500815-scl","PROTOCOL OF FACTORS ASSESSMENT INFLUENTIAL IN SUSCEPTIBILITY TO EROSION OF RIVER SLOPES","Monteiro, Josita Soares, Padilha, Damáris Gonçalves, Cruz, Jussara Cabral","Revista Árvore; 40(5); 815-823","Revista Árvore","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622016000500815&lang=pt" 
"S0004-27492016000500336-scl","Bilateral acute angle-closure glaucoma as a first presentation of granulomatosis with polyangiitis (Wegener&#039;s)","Mete, Alper, Kimyon, Sabit, Saygili, Oguzhan, Pamukcu, Can, Güngör, Kıvanç","Arquivos Brasileiros de Oftalmologia; 79(5); 336-338","Arquivos Brasileiros de Oftalmologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492016000500336&lang=pt" 
"S0100-67622016000500949-scl","USE OF ARTIFICIAL NEURAL NETWORKS IN PREDICTING PARTICLEBOARD QUALITY PARAMETERS","Melo, Rafael Rodolfo de, Miguel, Eder Pereira","Revista Árvore; 40(5); 949-958","Revista Árvore","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622016000500949&lang=pt" 
"S0004-27492016000500299-scl","Comparison of 20% sulfur hexafluoride with air for intraocular tamponade in Descemet membrane endothelial keratoplasty (DMEK)","Botsford, Benjamin, Vedana, Gustavo, Cope, Leslie, Yiu, Samuel C., Jun, Albert S.","Arquivos Brasileiros de Oftalmologia; 79(5); 299-302","Arquivos Brasileiros de Oftalmologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492016000500299&lang=pt" 
"S0100-67622016000500893-scl","MORPHOMETRIC CHARACTERIZATION OF THE SAND FRACTION IN A SAND GRAIN IMAGE CAPTURE SYSTEM1","Viana, Lucimar Arruda, Lima, Dario Cardoso de, Costa, Liovando Marciano da, Silva, Claudio Henrique de Carvalho, Costa, Weiner Gustavo Silva, Franco, Yara Barbosa","Revista Árvore; 40(5); 893-899","Revista Árvore","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622016000500893&lang=pt" 
"S0370-41062016000500010-chl","Un caso de deleción parcial 1p36.1 y trisomía parcial 6p diagnosticadas por cariotipo","Fernández Pineda, Monica, Ramírez-Cheyne, Julián, Isaza, Carolina, Saldarriaga, Wilmar","Revista chilena de pediatría; 87(5); 395-400","Revista chilena de pediatría","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062016000500010&lang=pt" 
"S0004-27492016000500315-scl","Is there a relationship between outer retinal destruction and choroidal changes in cone dystrophy?","Ayyildiz, Onder, Ozge, Gokhan, Kucukevcilioglu, Murat, Ozgonul, Cem, Mumcuoglu, Tarkan, Durukan, Ali Hakan, Mutlu, Fatih Mehmet","Arquivos Brasileiros de Oftalmologia; 79(5); 315-318","Arquivos Brasileiros de Oftalmologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492016000500315&lang=pt" 
"S0004-27492016000500285-scl","Corneal structure in tilted disc syndrome","Gunduz, Abuzer, Polat, Nihat, Cumurcu, Tongabay, Demirel, ErsinErsan, Özsoy, Ercan","Arquivos Brasileiros de Oftalmologia; 79(5); 285-288","Arquivos Brasileiros de Oftalmologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492016000500285&lang=pt" 
"S1678-69712016000500012-scl","PRESENTATION","Popadiuk, Silvio","RAM. Revista de Administração Mackenzie; 17(5); 12-14","RAM. Revista de Administração Mackenzie","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-69712016000500012&lang=pt" 
