"S1519-566X2007000200017-scl","Ácaros associados à cultura da soja no Rio Grande do Sul","Guedes, Jerson V.C., Navia, Denise, Lofego, Antonio C., Dequech, Sônia T.B.","Neotropical Entomology; 36(2); 288-293","Neotropical Entomology","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2007000200017&lang=pt" 
"S0103-84782007000200009-scl","Transferência do N fixado por leguminosas arbóreas para o capim Survenola crescido em consórcio","Dias, Paulo Francisco, Souto, Sebastião Manhães, Resende, Alexander Silva, Urquiaga, Segundo, Rocha, Gudesteu Porto, Moreira, Joventino Fernandes, Franco, Avílio Antonio","Ciência Rural; 37(2); 352-356","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200009&lang=pt" 
"S0103-84782007000200048-scl","Inibição do crescimento de Escherichia coli isolada de Queijo &quot;Minas Frescal&quot; por Lactobacillus acidophilus","Chioda, Tammy Priscilla, Schocken-Iturrino, Rubén Pablo, Garcia, Gisela Rojas, Pigatto, Caroline Peters, Ribeiro, César Augusto Martins, Ragazzani, Adriana Valim Ferreira","Ciência Rural; 37(2); 583-585","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200048&lang=pt" 
"S0103-84782007000200047-scl","Neoplasias de língua em cinco cães","Daleck, Carlos Roberto, De Nardi, Andrigo Barboza, Silva, Márcio César Vasconcelos, Eurides, Duvaldo, Silva, Luiz Antônio Franco da","Ciência Rural; 37(2); 578-582","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200047&lang=pt" 
"S0103-84782007000200045-scl","Utilização de probiótico e de lactulose no controle de hiperamonemia causada por desvio vascular portossistêmico congênito em um cão","Brum, Alexandre Martini de, Champion, Tatiana, Zanatta, Rosana, Costa, Mirela Tinucci, Canola, Júlio Carlos","Ciência Rural; 37(2); 572-574","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200045&lang=pt" 
"S0103-84782007000200018-scl","Ultra-sonografia da aorta abdominal e de seus ramos em cães","Kamikawa, Lilian, Bombonato, Pedro Primo","Ciência Rural; 37(2); 412-417","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200018&lang=pt" 
"S0103-84782007000200017-scl","Origem das artérias celíaca e mesentérica cranial por tronco comum em cão","Schmidt, Daniel Prato, Schoenau, Luciana Silveira Flôres","Ciência Rural; 37(2); 408-411","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200017&lang=pt" 
"S0103-84782007000200044-scl","Substratos alternativos ao xaxim e adubação de plantas de orquídea na fase de aclimatização","Araujo, Aparecida Gomes de, Pasqual, Moacir, Dutra, Leonardo Ferreira, Carvalho, Janice Guedes de, Soares, Gustavo de Araújo","Ciência Rural; 37(2); 569-571","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200044&lang=pt" 
"S0103-84782007000200021-scl","Duas abordagens artroscópicas para a articulação escapulo umeral no cão","Matera, Julia Maria, Tatarunas, Angelica Cecilia","Ciência Rural; 37(2); 432-437","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200021&lang=pt" 
"S0103-84782007000200022-scl","Susbtituição do ligamento cruzado cranial por segmento teno-ósseo homólogo conservado em glicerina a 98%: estudo experimental em cães","Salbego, Fabiano Zanini, Raiser, Alceu Gaspar, Mazzanti, Alexandre, Pippi, Ney Luiz, Graça, Dominguita Lurhs, Souza, Soraia Figueiredo de, Pelizzari, Charles, Festugatto, Rafael, Beckmann, Diego Vilibaldo, Souza, Lucilene Bernardi de, Cunha, Marina Mori da, Silva, Ana Paula da, Santos, Rosmarini Passos dos","Ciência Rural; 37(2); 438-442","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200022&lang=pt" 
"S0103-84782007000200042-scl","Ontogenia da nodulação em duas cultivares de feijão-caupi","Xavier, Terezinha Ferreira, Araújo, Ademir Sérgio Ferreira de, Santos, Valdinar Bezerra dos, Campos, Francilene Leonel","Ciência Rural; 37(2); 561-564","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200042&lang=pt" 
"S0103-84782007000200038-scl","Perfil de ácidos graxos e composição centesimal de carpas (Cyprinus carpio) alimentadas com ração e com dejetos suínos","Druzian, Janice Izabel, Marchesi, Cristiane Michele, Scamparini, Adilma Regina Pippa","Ciência Rural; 37(2); 539-544","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200038&lang=pt" 
"S0103-84782007000200036-scl","Alimentação de codornas de postura com rações contendo levedura de cana-de-açúcar","Sucupira, Francislene Silveira, Fuentes, Maria de Fátima Freire, Freits, Ednardo Rodrigues, Braz, Nádia de Melo","Ciência Rural; 37(2); 528-532","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200036&lang=pt" 
"S0103-84782007000200032-scl","Caracterização dos afluentes e efluentes suinícolas em sistemas de crescimento/terminação e qualificação de seu impacto ambiental","Palhares, Julio Cesar Pascale, Calijuri, Maria do Carmo","Ciência Rural; 37(2); 502-509","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200032&lang=pt" 
"S0103-84782007000200028-scl","Desempenho de novilhos de corte em pastagem nativa com níveis de suplementação de farelo de arroz integral","Gonçalves, Maria Beatriz Fernandez, Prates, Enio Rosa, Silva, Alexandre Coradini Fontoura da, Trevisan, Naíme de Barcellos, Biscaíno, Geórgia","Ciência Rural; 37(2); 476-481","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200028&lang=pt" 
"S0103-84782007000200030-scl","Avaliação de poluentes aéreos em instalações de creche e terminação de suínos","Sampaio, Carlos Augusto de Paiva, Nääs, Irenilza de Alencar, Baracho, Marta dos Santos, Salgado, Douglas D&#039;alessandro","Ciência Rural; 37(2); 488-494","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200030&lang=pt" 
"S0103-84782007000200031-scl","Diferentes tipos de milheto utilizados na alimentação de suínos em crescimento e terminação","Moreira, Ivan, Bastos, Alexandre Orio, Scapinelo, Cláudio, Fraga, Alessandro Luís, Kutschenko, Marianne","Ciência Rural; 37(2); 495-501","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200031&lang=pt" 
"S0103-84782007000200035-scl","Influência da qualidade da casca do ovo sobre índices de produtividade de um incubatório industrial","Gil de los Santos, João Rodrigo, Fornari, Cláudio Mário, Téo, Marcos Antônio","Ciência Rural; 37(2); 524-527","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200035&lang=pt" 
"S0103-84782007000200034-scl","Frangos de corte alimentados com dietas de diferentes densidades nutricionais suplementadas ou não com enzimas","Toledo, Geni Salete Pinto de, Costa, Paulo Tabajara Chaves, Silva, Jose Henrique, Ceccantini, Marcio, Poletto Junior, César","Ciência Rural; 37(2); 518-523","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200034&lang=pt" 
"S0103-84782007000200041-scl","Hospedeiros e parasitóides de Anastrepha spp. (Diptera: Tephritidae) em Itaubal do Piririm, Estado do Amapá, Brasil","Silva, Ricardo Adaime da, Nascimento, Danilo Baia do, Deus, Ezequiel da Glória de, Souza, Gizelle Dias de, Oliveira, Lana Patrícia Santos de","Ciência Rural; 37(2); 557-560","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200041&lang=pt" 
"S0103-84782007000200043-scl","Alteração do metabolismo respiratório em rabanetes minimamente processados","del Aguila, Juan Saavedra, Sasaki, Fabiana Fumi, Heiffig, Lília Sichmann, Ortega, Edwin Moisés Marcos, Jacomino, Angelo Pedro, Kluge, Ricardo Alfredo","Ciência Rural; 37(2); 565-568","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200043&lang=pt" 
"S0103-84782007000200046-scl","Aspectos radiográficos e tomográficos de hemangiossarcoma de meninges causando síndrome da cauda eqüina em um Pastor Alemão","Pinto, Ana Carolina Brandão de Campos Fonseca, Ferrigno, Cássio Ricardo Auada, Matera, Júlia Maria, Torres, Luciana N., Sinhorini, Idércio L., Cortopassi, Silvia Renata Gaido, Hage, Maria Cristina Ferrarini Nunes Soares","Ciência Rural; 37(2); 575-577","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200046&lang=pt" 
"S0103-84782007000200051-scl","Pênfigo foliáceo em um eqüino","Monteiro, Gabriel Augusto, Souza, Maria Verônica de, Conceição, Lissandro Gonçalves, Borba, Camila de Lacerda Balbi e Rocha, Moreira, Maria Aparecida Scatamburlo","Ciência Rural; 37(2); 594-598","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200051&lang=pt" 
"S0103-84782007000200052-scl","Estimativa do saldo anual de N em sistemas de criação de vacas leiteiras no Oeste de Santa Catarina","Berto, James Luiz, Berto, Jorge Luiz","Ciência Rural; 37(2); 599-603","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200052&lang=pt" 
"S1135-57272007000200002-esp","Recomendaciones sobre los aspectos éticos de las colecciones de muestras y bancos de materiales humanos con fines de investigación biomédica","","Revista Española de Salud Pública; 81(2); 95-111","Revista Española de Salud Pública","Espanhol","2007","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272007000200002&lang=pt" 
"S1135-57272007000200006-esp","Diferencias en la esperanza de vida libre de discapacidad por sexo y Comunidades Autónomas en España","Gispert, Rosa, Ruíz-Ramos, Miguel, Arán Barés, Mª, Viciana, Francisco, Clot-Razquin, Guillém","Revista Española de Salud Pública; 81(2); 155-165","Revista Española de Salud Pública","Espanhol","2007","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272007000200006&lang=pt" 
"S1135-57272007000200008-esp","Incapacidad temporal por contingencia común: papel de la edad, el sexo, la actividad económica y la Comunidad Autónoma","Benavides, Fernando G., Plana, Manel, Serra, Consol, Domínguez, Ruth, Despuig, Miquel, Aguirre, Susana, Soria, Mònica, Sampere, Maite, Gimeno, David","Revista Española de Salud Pública; 81(2); 183-190","Revista Española de Salud Pública","Espanhol","2007","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272007000200008&lang=pt" 
"S1135-57272007000200004-esp","Publicaciones sobre evaluación de la atención primaria en España tras veinte años de reforma (1984-2004): Análisis temático y bibliométrico","Lorenzo-Cáceres Ascanio, Antonio de, Otero Puime, Ángel","Revista Española de Salud Pública; 81(2); 131-145","Revista Española de Salud Pública","Espanhol","2007","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272007000200004&lang=pt" 
"S1135-57272007000200011-esp","Prevalencia, detección, tratamiento y control de la hipertensión arterial en Cantabria en 2002","Vara-González, Luis, Muñoz Cacho, Pedro, Sanz de Castro, Saturnino","Revista Española de Salud Pública; 81(2); 210-219","Revista Española de Salud Pública","Espanhol","2007","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272007000200011&lang=pt" 
"S1135-57272007000200012-esp","El diagnóstico por autopsia en Ciudad de La Habana como indicador de la calidad del programa de control de la Tuberculosis: 1998-2002","Martínez Portuondo, Ana I., Armas Pérez, Luisa, González Ochoa, Edilberto","Revista Española de Salud Pública; 81(2); 221-225","Revista Española de Salud Pública","Espanhol","2007","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272007000200012&lang=pt" 
"S1020-49892007000300001-spa","Dengue y dengue hemorrágico en las Américas","Periago, Mirta Roses, Guzmán, María G.","Revista Panamericana de Salud Pública; 21(4); 187-191","Revista Panamericana de Salud Pública","Espanhol","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892007000300001&lang=pt" 
"S1020-49892007000300004-spa","Estresse: diagnóstico dos policiais militares em uma cidade brasileira","Costa, Marcos, Accioly Júnior, Horácio, Oliveira, José, Maia, Eulália","Revista Panamericana de Salud Pública; 21(4); 217-222","Revista Panamericana de Salud Pública","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892007000300004&lang=pt" 
"S1020-49892007000300003-spa","Potential cost-effectiveness of vaccination for rotavirus gastroenteritis in eight Latin American and Caribbean countries","Rheingans, Richard D., Constenla, Dagna, Antil, Lynn, Innis, Bruce L., Breuer, Thomas","Revista Panamericana de Salud Pública; 21(4); 205-216","Revista Panamericana de Salud Pública","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892007000300003&lang=pt" 
"S1020-49892007000300011-spa","Vaccines against dengue: a review of current candidate vaccines at advanced development stages","Hombach, Joachim","Revista Panamericana de Salud Pública; 21(4); 254-260","Revista Panamericana de Salud Pública","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892007000300011&lang=pt" 
"S1020-49892007000300010-spa","Reducción de la mortalidad infantil en Chile: un éxito en dos etapas","","Revista Panamericana de Salud Pública; 21(4); 252-253","Revista Panamericana de Salud Pública","Espanhol","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892007000300010&lang=pt" 
"S1020-49892007000300009-spa","Beneficios de la práctica de ejercicios en mujeres tratadas por cáncer de mama","","Revista Panamericana de Salud Pública; 21(4); 251-252","Revista Panamericana de Salud Pública","Espanhol","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892007000300009&lang=pt" 
"S1020-49892007000300008-spa","Tasas de cesáreas: análisis de los estimados regionales y nacionales","","Revista Panamericana de Salud Pública; 21(4); 251-251","Revista Panamericana de Salud Pública","Espanhol","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892007000300008&lang=pt" 
"S0103-84782007000200001-scl","Capacidade de parasitismo de Trichogramma exiguum Pinto &amp; Platner, 1978 (Hymenoptera: Trichogrammatidae) em ovos de Plutella xylostella (L., 1758) (Lepidoptera: Plutellidae) em diferentes temperaturas","Pereira, Fabricio Fagundes, Barros, Reginaldo, Pratissoli, Dirceu, Pereira, Cácia Leila Tigre, Vianna, Ulysses Rodrigues, Zanuncio, José Cola","Ciência Rural; 37(2); 297-303","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200001&lang=pt" 
"S0103-84782007000200003-scl","Toxicidade de agrotóxicos utilizados na cultura do pessegueiro sobre o parasitóide de ovos Trichogramma atopovirilia Oatman &amp; Platner, 1983 (Hymenoptera: Trichogrammatidae)","Giolo, Fabrizio Pinheiro, Grützmacher, Anderson Dionei, Manzoni, Cristiane Gindri, Härter, Wagner da Roza, Castilhos, Rodolfo Vargas, Müller, Cristiane","Ciência Rural; 37(2); 308-314","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200003&lang=pt" 
"S0103-84782007000200004-scl","Condutância da folha em milho cultivado em plantio direto e convencional em diferentes disponibilidades hídricas","Bianchi, Cleusa Adriane Menegassi, Bergonci, João Ito, Bergamaschi, Homero, Dalmago, Genei Antonio, Heckler, Bruna Maria Machado, Comiran, Flávia","Ciência Rural; 37(2); 315-322","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200004&lang=pt" 
"S0103-84782007000200005-scl","Filocrono de genótipos de arroz irrigado em função de época de semeadura","Streck, Nereu Augusto, Michelon, Simone, Rosa, Hamilton Telles, Walter, Lidiane Cristine, Bosco, Leosane Cristina, Paula, Gizelli Moiano de, Camera, Cátia, Samboranha, Flávia Kaufmann, Marcolin, Elio, Lopes, Sidinei José","Ciência Rural; 37(2); 323-329","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200005&lang=pt" 
"S0103-84782007000200011-scl","Resposta à aplicação e recuperação de enxofre em cultivos de casa de vegetação em solos com diferentes teores de argila e matéria orgânica","Rheinheimer, Danilo dos Santos, Rasche, Jimmy Walter Alvarez, Osorio Filho, Benjamin Dias, Silva, Leandro Souza da","Ciência Rural; 37(2); 363-371","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200011&lang=pt" 
"S0103-84782007000200012-scl","Exigências nutricionais da grápia em Argissolo Vermelho distrófico arênico: efeito da adubação NPK no teor de nutrientes nos tecidos","Nicoloso, Fernando Teixeira, Fogaça, Marco Aurélio de Freitas, Zancheti, Flávio, Fortunato, Roni Paulo, Missio, Evandro Luiz","Ciência Rural; 37(2); 372-380","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200012&lang=pt" 
"S0103-84782007000200013-scl","Carbono orgânico, óxidos de ferro e distribuição de agregados em dois solos derivados de basalto no Rio Grande do Sul - Brasil","Ferreira, Fernando Perobelli, Azevedo, Antonio Carlos de, Dalmolin, Ricardo Simão Diniz, Girelli, Darian","Ciência Rural; 37(2); 381-388","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200013&lang=pt" 
"S0103-84782007000200014-scl","Aplicação de nitrogênio em videiras na Campanha Gaúcha: produtividade e características químicas do mosto da uva","Brunetto, Gustavo, Ceretta, Carlos Alberto, Kaminski, João, Melo, George Wellington Bastos de, Lourenzi, Cledimar Rogério, Furlanetto, Vaneila, Moraes, Afrânio","Ciência Rural; 37(2); 389-393","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200014&lang=pt" 
"S0103-84782007000200015-scl","Variabilidade espacial de MO, P, K e CTC do solo sob diferentes usos e manejos","Cavalcante, Eloiza Gomes Silva, Alves, Marlene Cristina, Pereira, Gener Tadeu, Souza, Zigomar Menezes de","Ciência Rural; 37(2); 394-400","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200015&lang=pt" 
"S0103-84782007000200019-scl","Anestesia epidural com ropivacaína, lidocaína ou associação de lidocaína e xilazina em cães: efeitos cardiorrespiratório e analgésico","Gasparini, Simone Salata, Luna, Stelio Pacca Loureiro, Cassu, Renata Navarro, Uiechi, Edilson, Crocci, Adalberto José","Ciência Rural; 37(2); 418-424","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200019&lang=pt" 
"S0103-84782007000200020-scl","Hemogasometria e variáveis cardiopulmonares após administração do butorfanol em cães anestesiados pelo desfluorano sob ventilação espontânea","Santos, Paulo Sérgio Patto dos, Nunes, Newton, Souza, Almir Pereira de, Rezende, Márlis Langenegger de, Nishimori, Celina Tie, Paula, Danielli Parrilha de, Guerrero, Piedad Natalia Henao","Ciência Rural; 37(2); 425-431","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200020&lang=pt" 
"S0103-84782007000200023-scl","Modificações do fixador externo para osteossíntese umeral em pombos domésticos","Dalmolin, Fabíola, Schossler, João Eduardo, Bertoletti, Bianca, Vasconcelos, André, Muller, Daniel, Schossler, Deila Rosely, Gomes, Kleber","Ciência Rural; 37(2); 443-449","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200023&lang=pt" 
"S0103-84782007000200024-scl","Implante ósseo cortical alógeno conservado em mel na reconstrução de falha óssea diafisária em fêmur de cães: avaliação clínica e radiográfica","Alievi, Marcelo Meller, Schossler, João Eduardo Wallau, Guimarães, Luciana Dambrósio, Oliveira, Ana Néri Christo de, Traeslel, Carolina Kist, Ferreira, Patrícia Almeida","Ciência Rural; 37(2); 450-457","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200024&lang=pt" 
"S0103-84782007000200026-scl","Seasonal dynamics of Rhipicephalus sanguineus (Acari: Ixodidae) in dogs from a police unit in Goiânia, Goiás, Brazil","Louly, Carla Cristina Braz, Fonseca, Iracele Nogueira, Oliveira, Vilma Ferreira de, Linhares, Guido Fontgalland Coelho, Menezes, Liliana Borges de, Borges, Lígia Miranda Ferreira","Ciência Rural; 37(2); 464-469","Ciência Rural","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200026&lang=pt" 
"S0103-84782007000200027-scl","Comportamento ingestivo de vacas holandesas em lactação em pastagens de capim-elefante anão (Pennisetum purpureum cv. Mott) e Tifton 85 (Cynodon dactylon x C. nlemfuensis) na região noroeste do Estado do Rio Grande do Sul","Aurélio, Niumar Dutra, Quadros, Fernando Luiz Ferreira de, Maixner, Adriano Rudi, Rossi, Guilherme Ebling, Daniel, Everton, Roman, Juliano, Bandinelli, Duilio Guerra, Trindade, José Pedro Pereira, Brum, Marcos da Silva","Ciência Rural; 37(2); 470-475","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200027&lang=pt" 
"S0103-84782007000200029-scl","Digestão do feno de capim-elefante anão (Pennisetum purpureum Schum. cv. Mott) sob diferentes níveis de consumo em ovinos","Morais, Jucileia Aparecida da Silva, Sanchez, Luis Maria Bonnecarrère, Kozloski, Gilberto Vilmar, Lima, Lisiane Dorneles de, Trevisan, Luiz Maurício, Reffatti, Mônica Vizzotto, Cadorin Júnior, Rui Luiz","Ciência Rural; 37(2); 482-487","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200029&lang=pt" 
"S0103-84782007000200033-scl","Respostas de frangos de corte a aumentos graduais na relação entre treonina e lisina","Berres, Josemar, Vieira, Sergio Luiz, Coneglian, Jorge Luis Bernardon, Olmos, Alexandra Reali, Freitas, Dimitri Moreira de, Bortolini, Tatsi Carolina Kowal, Silva, Guilherme Xavier da","Ciência Rural; 37(2); 510-517","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200033&lang=pt" 
"S0103-84782007000200040-scl","Características de carcaça e qualidade de carne de cabritos Saanen alimentados com ração completa farelada, peletizada e extrusada","Amaral, Cecília Maria Costa do, Pelicano, Elisabete Regina Leone, Yañez, Enrique Alejandro, Souza, Hirasilva Borba Alves de, Machado, Márcia Rita Fernandes, Sugohara, Atushi, Resende, Kleber Tomás de","Ciência Rural; 37(2); 550-556","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200040&lang=pt" 
"S0103-84782007000200025-scl","Infecção experimental em suínos jovens com Leptospira interrogans sorovar wolffi: determinação de parâmetros bioquímicos","Rende, José Carlos, Rigobelo, Everlon Cid, Marin, José Moacir, Ávila, Fernando Antonio de","Ciência Rural; 37(2); 458-463","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200025&lang=pt" 
"S1020-49892007000300002-spa","Economic and health burden of rotavirus gastroenteritis for the 2003 birth cohort in eight Latin American and Caribbean countries","Rheingans, Richard D., Constenla, Dagna, Antil, Lynn, Innis, Bruce L., Breuer, Thomas","Revista Panamericana de Salud Pública; 21(4); 192-204","Revista Panamericana de Salud Pública","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892007000300002&lang=pt" 
"S1020-49892007000300005-spa","La relación entre los factores socioeconómicos y los programas sanitarios de salud maternoinfantil en 13 provincias argentinas","Etchegoyen, Graciela, Paganini, José María","Revista Panamericana de Salud Pública; 21(4); 223-230","Revista Panamericana de Salud Pública","Espanhol","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892007000300005&lang=pt" 
"S1020-49892007000300006-spa","Prevalência de alterações posturais em escolares do ensino médio em uma cidade no Sul do Brasil","Detsch, Cíntia, Luz, Anna Maria Hecker, Candotti, Cláudia Tarragô, Oliveira, Daniela Scotto de, Lazaron, Franciane, Guimarães, Lisiane Kiefer, Schimanoski, Patrícia","Revista Panamericana de Salud Pública; 21(4); 231-238","Revista Panamericana de Salud Pública","Português","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892007000300006&lang=pt" 
"S1020-49892007000300007-spa","La salud en Cuba y los objetivos de desarrollo del milenio","Franco, Manuel, Kennelly, Joan F., Cooper, Richard S., Ordúñez-García, Pedro","Revista Panamericana de Salud Pública; 21(4); 239-250","Revista Panamericana de Salud Pública","Espanhol","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892007000300007&lang=pt" 
"S0103-84782007000200016-scl","Variabilidade espacial de atributos químicos e de produtividade na cultura do café","Silva, Fábio Moreira da, Souza, Zigomar Menezes de, Figueiredo, Carlos Augusto Pereira de, Marques Júnior, José, Machado, Rodrigo Villela","Ciência Rural; 37(2); 401-407","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200016&lang=pt" 
"S0103-84782007000200037-scl","Efeito tóxico de alimentos alternativos para abelhas Apis mellifera","Pereira, Fábia de Mello, Freitas, Breno Magalhães, Vieira Neto, José Maria, Lopes, Maria Teresa do Rêgo, Barbosa, Alessandra de Lima, Camargo, Ricardo Costa Rodrigues de, Ribeiro, Valdenir Queiroz, Rocha, Renato Santos","Ciência Rural; 37(2); 533-538","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200037&lang=pt" 
"S0103-84782007000200039-scl","Método alternativo para cálculo da temperatura base de gramíneas forrageiras","Villa Nova, Nilson Augusto, Tonato, Felipe, Pedreira, Carlos Guilherme Silveira, Medeiros, Henrique Rocha de","Ciência Rural; 37(2); 545-549","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200039&lang=pt" 
"S0104-530X2007000100007-scl","Análise da incerteza experimental na determinacão da vida usando ensaio acelerado","Abackerli, Alvaro José, Papa, Maria Célia de Oliveira, Miguel, Paulo Augusto Cauchick, Sasseron, Pedro Luiz","Gestão &amp; Produção; 14(1); 69-81","Gestão &amp; Produção","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2007000100007&lang=pt" 
"S0104-530X2007000100001-scl","Carta da editora","Rachid, Alessandra","Gestão &amp; Produção; 14(1); -","Gestão &amp; Produção","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2007000100001&lang=pt" 
"S0104-530X2007000100003-scl","Tendência, ciclos e sazonalidade nos preços spot do café brasileiro na NYBOT","Lamounier, Wagner Moura","Gestão &amp; Produção; 14(1); 13-23","Gestão &amp; Produção","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2007000100003&lang=pt" 
"S0104-530X2007000100005-scl","Identificação de atributos críticos de satisfação em um serviço através da análise competitiva do gap de melhoria","Tontini, Gérson, Sant&#039;ana, André José","Gestão &amp; Produção; 14(1); 43-54","Gestão &amp; Produção","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2007000100005&lang=pt" 
"S0104-530X2007000100010-scl","Curvas de aprendizado: estado da arte e perspectivas de pesquisa","Anzanello, Michel José, Fogliatto, Flávio Sanson","Gestão &amp; Produção; 14(1); 109-123","Gestão &amp; Produção","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2007000100010&lang=pt" 
