"S0011-85162015000200002-sza","The unfinished symphony","Evans, WG","South African Dental Journal; 70(2); 48-48","South African Dental Journal","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162015000200002&lang=pt" 
"S0103-51502015000100117-scl","Efficacy of the Santhiflex™ method of psychomotor postural re-education in the treatment of chronic low back pain","Pereira, Olívia Santos","Fisioterapia em Movimento; 28(1); 117-126","Fisioterapia em Movimento","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502015000100117&lang=pt" 
"S0103-51502015000100169-scl","Assessment of the strength of the trunk and upper limb muscles in stroke subjects with portable dynamometry: a literature review","Martins, Júlia Caetano, Teixeira-Salmela, Luci Fuscaldi, Aguiar, Larissa Tavares, Souza, Lucas Araújo Castro e, Lara, Eliza Maria, Faria, Christina Danielli Coelho de Morais","Fisioterapia em Movimento; 28(1); 169-186","Fisioterapia em Movimento","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502015000100169&lang=pt" 
"S0103-51502015000100001-scl","Editorial","Moser, Auristela Duarte","Fisioterapia em Movimento; 28(1); 1-1","Fisioterapia em Movimento","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502015000100001&lang=pt" 
"S0103-51502015000100023-scl","Effect of cryotherapy on the ankle temperature in athletes: ice pack and cold water immersion","Santos, Vanessa Batista da Costa, Cardoso, Camila dos Santos, Figueiredo, Camila Pelegrin, Macedo, Christiane de Souza Guerino","Fisioterapia em Movimento; 28(1); 23-30","Fisioterapia em Movimento","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502015000100023&lang=pt" 
"S0103-51502015000100149-scl","Balance assessment in people with chronic obstructive pulmonary disease","Pedrozo, Michelle Difante, Silveira, Aron Ferreira da","Fisioterapia em Movimento; 28(1); 149-156","Fisioterapia em Movimento","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502015000100149&lang=pt" 
"S0103-51502015000100049-scl","Association among body composition, muscle performance and functional autonomy in older adults","Gonçalves, Bruno Lucas, Guimarães, Fernando Silva, Souza, Marcel Lima Lessa de, Ferreira, Arthur de Sá, Mainenti, Míriam Raquel Meira","Fisioterapia em Movimento; 28(1); 49-59","Fisioterapia em Movimento","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502015000100049&lang=pt" 
"S0103-51502015000100085-scl","Healthy preterm infants: global motor coordination and early intervention","Ribeiro, Alice Sá Carneiro, Formiga, Cibelle Kayenne Martins Roberto, David, Ana Cristina de","Fisioterapia em Movimento; 28(1); 85-95","Fisioterapia em Movimento","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502015000100085&lang=pt" 
"S0016-71692015000100005-mex","Evaluation of local groundwater vulnerability based on DRASTIC index method in Lahore, Pakistan","Malik Muhammad, Akhtar, Zhonghua, Tang, Salman Dawood, Ammar, Ear, Bailey","Geofísica internacional; 54(1); 67-81","Geofísica internacional","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0016-71692015000100005&lang=pt" 
"S0864-03002015000100009-cub","Reacción a cuerpo extraño por implantación de un microchip","Moreno Correa, Sandra, Moreno Gómez, Freddy, Medina Cárdenas, Sebastián","Revista Cubana de Investigaciones Biomédicas; 34(1); 80-92","Revista Cubana de Investigaciones Biomédicas","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002015000100009&lang=pt" 
"S1130-01082015000300005-esp","Validity and reliability of the minimum basic data set in estimating nosocomial acute gastroenteritis caused by rotavirus","Redondo-González, Olga","Revista Española de Enfermedades Digestivas; 107(3); 152-161","Revista Española de Enfermedades Digestivas","Inglês","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082015000300005&lang=pt" 
"S1405-55462015000100001-mex","Editorial","Sun, GuoHua","Computación y Sistemas; 19(1); 03-04","Computación y Sistemas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000100001&lang=pt" 
"S1405-55462015000100013-mex","Times of Execution of the Quantum NOT Gate Operating on One of Two Interacting Qubits","Ávila, Manuel, Peñaloza, Laura Alejandra","Computación y Sistemas; 19(1); 177-183","Computación y Sistemas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000100013&lang=pt" 
"S1405-55462015000100015-mex","Disturbance Rejection Using SPR0 Substitutions","Tovar Rodríguez, Julio César, Carreño Aguilera, Ricardo, Patiño Ortiz, Miguel","Computación y Sistemas; 19(1); 197-204","Computación y Sistemas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000100015&lang=pt" 
"S1414-753X2015000100014-scl","Water and sanitation services: views and experience","Paz, Mariana Gutierres Arteiro da","Ambiente &amp; Sociedade; 18(1); 229-234","Ambiente &amp; Sociedade","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2015000100014&lang=pt" 
"S0872-19042015000200001-prt","Characterizing the Electrochemical Corrosion Behaviour of a Ni-28wt.%Al Composite Coating in 3.5% NaCl Solution","Onyeachu, B.I., Peng, X., Oguzie, E.E., Ogukwe, C.E., Digbo, I.","Portugaliae Electrochimica Acta; 33(2); 69-83","Portugaliae Electrochimica Acta","Inglês","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042015000200001&lang=pt" 
"S1405-55462015000100009-mex","Arabic Dialogue System for Hotel Reservation based on Natural Language Processing Techniques","Moubaiddin, Asma, Shalbak, Ola, Hammo, Bassam, Obeid, Nadim","Computación y Sistemas; 19(1); 119-134","Computación y Sistemas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000100009&lang=pt" 
"S1405-55462015000100010-mex","Evaluación de relaciones ontológicas en corpora de dominio restringido","Tovar, Mireya, Pinto, David, Montes, Azucena, González-Serna, Gabriel, Vilariño, Darnes","Computación y Sistemas; 19(1); 135-149","Computación y Sistemas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000100010&lang=pt" 
"S1405-55462015000100011-mex","Clustering XML Documents Using Structure and Content based on a New Similarity Function OverallSimSUX","Magdaleno, Damny, Fuentes, Ivett E., García, María M.","Computación y Sistemas; 19(1); 151-161","Computación y Sistemas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000100011&lang=pt" 
"S1405-55462015000100014-mex","FPGA-Based Emulation of a Synchronous Phase-Coded Quantum Cryptography System","Arvizu-Mondragón, Arturo, López-Leyva, Josué A., Ureña, Jorge L., Mendieta-Jiménez, Francisco J., Sánchez L., Juan de Dios","Computación y Sistemas; 19(1); 185-195","Computación y Sistemas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000100014&lang=pt" 
"S1405-55462015000100008-mex","An Approach for Prototype Generation based on Similarity Relations for Problems of Classification","Fernández Hernández, Yumilka B., Bello, Rafael, Filiberto, Yaima, Frías, Mabel, Coello Blanco, Lenniet, Caballero, Yaile","Computación y Sistemas; 19(1); 109-118","Computación y Sistemas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000100008&lang=pt" 
"S1405-55462015000100012-mex","AGIS: hacia una herramienta basada en ISO9001 para la medición de procesos ágiles","Matalonga, Santiago, Rivedieu, Gastón","Computación y Sistemas; 19(1); 163-175","Computación y Sistemas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000100012&lang=pt" 
"S1405-55462015000100002-mex","A Scatter Search Algorithm for Solving a Bilevel Optimization Model for Determining Highway Tolls","González Velarde, José Luis, Camacho-Vallejo, José-Fernando, Pinto Serrano, Gabriel","Computación y Sistemas; 19(1); 05-16","Computación y Sistemas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000100002&lang=pt" 
"S1405-55462015000100003-mex","Finding Pure Nash Equilibrium for the Resource-Constrained Project Scheduling Problem","De Ita Luna, Guillermo, Zacarias-Flores, Fernando, Altamirano-Robles, L. Carlos","Computación y Sistemas; 19(1); 17-27","Computación y Sistemas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000100003&lang=pt" 
"S1405-55462015000100006-mex","Clasificación de señales encefalográficas mediante redes neuronales artificiales","Sepúlveda, Roberto, Montiel, Oscar, Díaz, Gerardo, Gutierrez, Daniel, Castillo, Oscar","Computación y Sistemas; 19(1); 69-88","Computación y Sistemas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000100006&lang=pt" 
"S1405-55462015000100007-mex","Sistema de reconocimiento de patrones de sustancias químicas cerebrales basado en minería de datos","Altamiranda, Junior, Aguilar, José, Hernández, Luis","Computación y Sistemas; 19(1); 89-107","Computación y Sistemas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000100007&lang=pt" 
"S1405-55462015000100004-mex","Saving Time for Object Finding with a Mobile Manipulator Robot in 3D Environment","Espinoza, Judith, Murrieta-Cid, Rafael","Computación y Sistemas; 19(1); 29-45","Computación y Sistemas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000100004&lang=pt" 
"S1405-55462015000100005-mex","Algoritmo aleatorizado basado en distribuciones deslizantes para el problema de planificación en sistemas Grid","Selley-Rojas, Héctor J., García-Díaz, Jesús, Soto-Ramos, Manuel A., Menchaca-García, Felipe R., Menchaca-Mendez, Rolando","Computación y Sistemas; 19(1); 47-68","Computación y Sistemas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462015000100005&lang=pt" 
"S0872-19042015000200004-prt","An Efficient Amperometric Sensor for Hydrogen Peroxide by Using a Carbon Paste Electrode Modified with Cobalt Impregnated Zeolite","Norouzi, Banafsheh, Moradian, Majid, Malekan, Ali","Portugaliae Electrochimica Acta; 33(2); 111-124","Portugaliae Electrochimica Acta","Inglês","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042015000200004&lang=pt" 
"S0872-19042015000200003-prt","Electropolishing of Metallic Surfaces and the Factors Influencing on the Limiting Current","Ahmed, Abdel-Moneim M., El Batouti, Mervette, Khelil, Said M. Said","Portugaliae Electrochimica Acta; 33(2); 105-110","Portugaliae Electrochimica Acta","Inglês","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042015000200003&lang=pt" 
"S0872-19042015000200005-prt","Insights into the Electrochemistry of Deposition of Boron from KCl-KF-NaBF4 Melt","Pal, Rahul, Anthonysamy, S.","Portugaliae Electrochimica Acta; 33(2); 125-135","Portugaliae Electrochimica Acta","Inglês","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042015000200005&lang=pt" 
"S0872-19042015000200002-prt","Investigation of Corrosion Inhibition Efficiency of Some Synthesized Water Soluble Terpolymers on N-80 Steel in HCl, NaCl and Simulated Oil Well Water","Geethanjali, R., Subhashini, S.","Portugaliae Electrochimica Acta; 33(2); 85-104","Portugaliae Electrochimica Acta","Inglês","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042015000200002&lang=pt" 
"S1678-86212015000100005-scl","Editorial","Kowaltowsk, Doris Catharine Cornelie Knatz, Hirota, Ercília Hitomi, Savastano Junior, Holmer, Lamberts, Roberto","Ambiente Construído; 15(1); 5-5","Ambiente Construído","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212015000100005&lang=pt" 
"S1678-86212015000100007-scl","Piso de bambu chinês vs. piso de eucalipto brasileiro: estudo de caso comparativo das emissões de gases de efeito estufa no transporte","Hernandes, Thiago Zaldini","Ambiente Construído; 15(1); 7-16","Ambiente Construído","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212015000100007&lang=pt" 
"S1678-86212015000100079-scl","Desvios de custos e prazos em empreendimentos da construção civil: categorização e fatores de influência","Muianga, Elisa Atália Daniel, Granja, Ariovaldo Denis, Ruiz, Joyce de Andrade","Ambiente Construído; 15(1); 79-97","Ambiente Construído","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212015000100079&lang=pt" 
"S0101-41612015000100005-scl","Critérios de classificação para ocupação informal: Consequências para a caracterização do setor informal e para a análise de bem-estar no Brasil","Corseuil, Carlos Henrique, Reis, Mauricio Cortez, Brito, Alessandra Scalioni","Estudos Econômicos (São Paulo); 45(1); 5-31","Estudos Econômicos (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000100005&lang=pt" 
"S0101-41612015000100033-scl","Um estudo sobre a distribuição das transferências para o setor de saúde no Brasil","Simão, Juliana Barby, Orellano, Veronica Ines Fernandez","Estudos Econômicos (São Paulo); 45(1); 33-63","Estudos Econômicos (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000100033&lang=pt" 
"S0101-41612015000100065-scl","Impactos do comportamento inovativo das grandes empresas nacionais e estrangeiras da indústria de transformação brasileira no desenvolvimento do Sistema Nacional de Inovação","Pereira, Adriano José, Dathein, Ricardo","Estudos Econômicos (São Paulo); 45(1); 65-96","Estudos Econômicos (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000100065&lang=pt" 
"S0101-41612015000100097-scl","Evidências sobre curva ambiental de Kuznets e convergência das emissões","Ávila, Ednilson Sebastião de, Diniz, Eliezer Martins","Estudos Econômicos (São Paulo); 45(1); 97-126","Estudos Econômicos (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000100097&lang=pt" 
"S0101-41612015000100127-scl","A multi-sectoral version of the Post-Keynesian growth model","Araujo, Ricardo Azevedo, Teixeira, Joanílio Rodolpho","Estudos Econômicos (São Paulo); 45(1); 127-152","Estudos Econômicos (São Paulo)","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000100127&lang=pt" 
"S0101-41612015000100153-scl","O desenvolvimento do setor siderúrgico brasileiro entre 1900 e 1940: Crescimento e substituição de importações","Barros, Gustavo","Estudos Econômicos (São Paulo); 45(1); 153-183","Estudos Econômicos (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000100153&lang=pt" 
"S0101-41612015000100185-scl","O espectador imparcial de Adam Smith e o observador ideal de John Rawls: Uma crítica à ética utilitarista","Marin, Solange Regina, Quintana, André Marzulo, Santos, Cezar Augusto Pereira dos","Estudos Econômicos (São Paulo); 45(1); 185-214","Estudos Econômicos (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000100185&lang=pt" 
"S0101-41612015000100215-scl","Um procedimento para prever recessões no Brasil a partir de indicadores antecedentes","Bohn, Liana, Bueno, Newton Paulo","Estudos Econômicos (São Paulo); 45(1); 215-247","Estudos Econômicos (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000100215&lang=pt" 
"S0211-57352015000100015-esp","Carmelo","Sanz Sánchez, Esther","Revista de la Asociación Española de Neuropsiquiatría; 35(125); 189-189","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352015000100015&lang=pt" 
"S0211-57352015000100019-esp","Documentos en la red","","Revista de la Asociación Española de Neuropsiquiatría; 35(125); 226-236","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352015000100019&lang=pt" 
"S0211-57352015000100018-esp","Libros","","Revista de la Asociación Española de Neuropsiquiatría; 35(125); 217-225","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352015000100018&lang=pt" 
"S0211-57352015000100011-esp","Leucoencefalopatía Hipóxica Tardía tras Autointoxicación: del Abordaje Psiquiátrico al Neurológico","Galdeano Mondragón, Ander, Barbadillo Izquierdo, Laura, Almagro Múgica, Fátima, Querejeta Ayerdi, Imanol","Revista de la Asociación Española de Neuropsiquiatría; 35(125); 149-158","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352015000100011&lang=pt" 
"S0211-57352015000100002-esp","Intervención en la discapacidad intelectual y trastorno mental asociado en el adulto: de la intervención sistémica, el equipo interdisciplinar y la coherencia de las intervenciones","Montes Lozano, Mª Jesús, Paños Núñez, Pilar","Revista de la Asociación Española de Neuropsiquiatría; 35(125); 9-18","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352015000100002&lang=pt" 
"S0211-57352015000100009-esp","El tratamiento del suicidio en la prensa española: ¿efecto werther o efecto papageno?","Herrera Ramírez, Rocío, Ures Villar, María Belén, Martínez Jambrina, Juan José","Revista de la Asociación Española de Neuropsiquiatría; 35(125); 123-134","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352015000100009&lang=pt" 
"S0211-57352015000100010-esp","La simplificación neopositivista del lenguaje de la psicopatología desde una perspectiva post-wittgensteiniana","Molins Gálvez, Ferrán, López-Santín, José Manuel","Revista de la Asociación Española de Neuropsiquiatría; 35(125); 135-145","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352015000100010&lang=pt" 
"S0211-57352015000100008-esp","DSM-5: ¿Cambios significativos?","Fernando Muñoz, Luis, Jaramillo, Luis Eduardo","Revista de la Asociación Española de Neuropsiquiatría; 35(125); 111-121","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352015000100008&lang=pt" 
"S0211-57352015000100006-esp","Antipsicóticos en esquizofrenia: revisión de guías internacionales actuales","Heimann Navarra, Carlos","Revista de la Asociación Española de Neuropsiquiatría; 35(125); 79-91","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352015000100006&lang=pt" 
"S0211-57352015000100016-esp","Natasha","Sanz Sánchez, Esther","Revista de la Asociación Española de Neuropsiquiatría; 35(125); 190-190","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352015000100016&lang=pt" 
"S0211-57352015000100001-esp","La creación de la Especialidad en Psiquiatría de la Infancia y la Adolescencia","Gay Pamos, Eudoxia, Prego Dorca, Roque, Márquez Gallego, Fernando","Revista de la Asociación Española de Neuropsiquiatría; 35(125); 3-5","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352015000100001&lang=pt" 
"S1807-59322015000300169-scl","Increased circulating macrophage migration inhibitory factor levels are associated with coronary artery disease","Yüksel, Arif, Bilgir, Ferda, Bilgir, Oktay, Calan, Mehmet, Bozkaya, Giray","Clinics; 70(3); 169-172","Clinics","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322015000300169&lang=pt" 
"S1414-40772015000100073-scl","Inserção profissional, políticas e práticas sobre a iniciação à docência: avaliando a produção dos congressos internacionais sobre o professorado principiante","Cunha, Maria Isabel da, Braccini, Marja Leão, Feldkercher, Nadiane","Avaliação: Revista da Avaliação da Educação Superior (Campinas); 20(1); 73-86","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772015000100073&lang=pt" 
"S0103-65132015000100157-scl","Aplicação de redes Neuro Fuzzy ao processamento de peças automotivas por meio de injeção de polímeros","Affonso, Carlos de Oliveira, Sassi, Renato José","Production; 25(1); 157-169","Production","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132015000100157&lang=pt" 
"S0103-65132015000100190-scl","Estratégias operatórias frente ao trabalho repetitivo","Gonçalves, Juliana Machion, Camarotto, João Alberto","Production; 25(1); 190-200","Production","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132015000100190&lang=pt" 
"S0103-65132015000100183-scl","Identificação dos procedimentos de fronteira críticos na importação de cargas conteinerizadas: estudo do Porto de Santos","Furlan, Patricia Kuzmenko, Pinto, Marcos Mendes de Oliveira","Production; 25(1); 183-189","Production","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65132015000100183&lang=pt" 
"S1414-753X2015000100015-scl","A contribution for understanding the genesis and evolution of the environmental policy and management in Brazil","Nascimento, Daniel Trento do","Ambiente &amp; Sociedade; 18(1); 235-238","Ambiente &amp; Sociedade","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2015000100015&lang=pt" 
"S1414-753X2015000100001-scl","Gender and environment","Jacobi, Pedro Roberto, Empinotti, Vanessa, Toledo, Renata Ferraz de","Ambiente &amp; Sociedade; 18(1); -","Ambiente &amp; Sociedade","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2015000100001&lang=pt" 
"S1809-29502015000100011-scl","Capacidade de produção de força de preensão isométrica máxima em mulheres com artrite reumatoide: um estudo piloto","Iop, Rodrigo da Rosa, Shiratori, Ana Paula, Ferreira, Luciana, Borges Júnior, Noé Gomes, Domenech, Susana Cristina, Gevaerd, Monique da Silva","Fisioterapia e Pesquisa; 22(1); 11-16","Fisioterapia e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502015000100011&lang=pt" 
"S1809-29502015000100003-scl","Eficácia do suporte ventilatório não invasivo no incremento da tolerância ao exercício em pacientes com insuficiência cardíaca: uma revisão sistemática","Carvalho, Larissa de Andrade, Rattes, Catarina, Brandão, Daniella Cunha, Andrade, Armèle Dornelas de","Fisioterapia e Pesquisa; 22(1); 3-10","Fisioterapia e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502015000100003&lang=pt" 
"S1519-69842015000100027-scl","About rats and jackfruit trees: modeling the carrying capacity of a Brazilian Atlantic Forest spiny-rat Trinomys dimidiatus (Günther, 1877) – Rodentia, Echimyidae – population with varying jackfruit tree (Artocarpus heterophyllus L.) abundances","Mello, JHF, Moulton, TP, Raíces, DSL, Bergallo, HG","Brazilian Journal of Biology; 75(1); 208-215","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000100027&lang=pt" 
"S1519-69842015000100020-scl","Non-destructive linear model for leaf area estimation in Vernonia ferruginea Less","Souza, MC., Amaral, CL.","Brazilian Journal of Biology; 75(1); 152-156","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000100020&lang=pt" 
"S1519-69842015000100021-scl","Fish stomach contents in benthic macroinvertebrate assemblage assessments","Tupinambás, TH., Pompeu, PS., Gandini, CV., Hughes, RM., Callisto, M.","Brazilian Journal of Biology; 75(1); 157-164","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000100021&lang=pt" 
"S1809-29502015000100023-scl","Comparação dos parâmetros de força e propriocepção entre indivíduos com e sem instabilidade funcional de tornozelo","Milanezi, Fernanda Cristina, Marques, Nise Ribeiro, Cardozo, Adalgiso Coscrato, Gonçalves, Mauro","Fisioterapia e Pesquisa; 22(1); 23-28","Fisioterapia e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502015000100023&lang=pt" 
"S1519-69842015000100006-scl","Reproductive ecology of coypu (Myocastor coypus Molina, 1782) in the Middle Delta of the Paraná River, Argentina","Courtalon, P., Bó, RF., Spina, F., Jiménez, N., Cantil, L., Fernández, R., Porini, G.","Brazilian Journal of Biology; 75(1); 30-38","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000100006&lang=pt" 
"S1519-69842015000100005-scl","Short-term thermal stratification and partial overturning events in a warm polymictic reservoir: effects on distribution of phytoplankton community","Santos, RM., Saggio, AA., Silva, TLR., Negreiros, NF., Rocha, O.","Brazilian Journal of Biology; 75(1); 19-29","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000100005&lang=pt" 
"S1519-69842015000100011-scl","Vegetative and reproductive phenology of Butia purpurascens Glassman (Arecaceae) under the effects of leaf harvesting","Guilherme, FAG, Vasconcelos, EI, Coelho, CP., Ressel, K, Batista, NTF, Souza, LF.","Brazilian Journal of Biology; 75(1); 77-85","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000100011&lang=pt" 
"S1519-69842015000100010-scl","Phenolic compounds of Hibiscus sabdariffa and influence of organic residues on its antioxidant and antitumoral properties","Formagio, ASN., Ramos, DD., Vieira, MC., Ramalho, SR., Silva, MM., Zárate, NAH., Foglio, MA., Carvalho, JE.","Brazilian Journal of Biology; 75(1); 69-76","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000100010&lang=pt" 
"S1519-69842015000100015-scl","Distribution, management and diversity of the endangered Amerindian yam (Dioscorea trifida L.)","Nascimento, WF., Siqueira, MVBM., Ferreira, AB., Ming, LC., Peroni, N., Veasey, EA.","Brazilian Journal of Biology; 75(1); 104-113","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000100015&lang=pt" 
"S1519-69842015000100017-scl","Alterations in land uses based on amendments to the Brazilian Forest Law and their influences on water quality of a watershed","Rodrigues-Filho, JL., Degani, RM., Soares, FS., Periotto, NA., Blanco, FP., Abe, DS., Matsumura-Tundisi, T., Tundisi, JE., Tundisi, JG.","Brazilian Journal of Biology; 75(1); 125-134","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000100017&lang=pt" 
"S1519-69842015000100016-scl","Effect of fire on a monodominant floating mat of Cyperus giganteus Vahl in a neotropical wetland","Rocha, M., Santos Júnior, CC., Damasceno-Júnior, GA., Pott, VJ., Pott, A.","Brazilian Journal of Biology; 75(1); 114-124","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000100016&lang=pt" 
"S1519-69842015000100019-scl","The rainy season increases the abundance and richness of the aquatic insect community in a Neotropical reservoir","Santana, HS, Silva, LCF, Pereira, CL., Simião-Ferreira, J., Angelini, R.","Brazilian Journal of Biology; 75(1); 144-151","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000100019&lang=pt" 
"S1519-69842015000100008-scl","Chaco Chachalaca (Ortalis canicollis, Wagler, 1830) feeding ecology in a gallery forest in the South Pantanal (Brazil)","Ragusa-Netto, J.","Brazilian Journal of Biology; 75(1); 49-57","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000100008&lang=pt" 
