"S0871-34132006000200004-prt","Gastric cancer: frequency and trends","Lunet, Nuno","Arquivos de Medicina; 20(3); 79-85","Arquivos de Medicina","Inglês","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-34132006000200004&lang=pt" 
"S0798-22592006000300001-ven","","Pérez Barrientos, Mario","Revista Científica; 16(3); 217-218","Revista Científica","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-22592006000300001&lang=pt" 
"S0212-71992006000500011-esp","Insuficiencia respiratoria aguda como manifestación inicial de esclerosis lateral amiotrófica","Rubio Nazábal, E., Álvarez Pérez, P., Fernández Couto, D., López Facal, M., Rey del Corral, P.","Anales de Medicina Interna; 23(5); 246-247","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000500011&lang=pt" 
"S0212-71992006000500007-esp","Quiste linfoepitelial intratiroideo: caso clínico y revisión de la literatura","San Miguel Fraile, P., Fernández Pérez, G. C., Ortiz Rey, J. A., Rivas Barros, C., Rouco Rouco, J. S.","Anales de Medicina Interna; 23(5); 232-234","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000500007&lang=pt" 
"S0212-71992006000500015-esp","Bacteriemia por Pantoea agglomerans","Marcos Sánchez, F., Muñoz Ruiz, A. I., Martín Barranco, M. J., Viana Alonso, A.","Anales de Medicina Interna; 23(5); 250-251","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000500015&lang=pt" 
"S0212-71992006000500016-esp","Tumor de origen desconocido como presentación de rabdomiosarcoma embrionario","Mencías Hurtado, A. B., Maeso Fortuna, M. C., Hernández Kauffman, M. R., Morales González, M.","Anales de Medicina Interna; 23(5); 251-252","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000500016&lang=pt" 
"S0212-71992006000500010-esp","Normalización transitoria de CK en un paciente con distrofia de Becker y tumor germinal testicular: ¿un efecto de la quimioterapia?","Rubiales, A. S., Valle, M. L. del, Flores, L. A., Hernansanz, S., Gutiérrez, C.","Anales de Medicina Interna; 23(5); 245-246","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000500010&lang=pt" 
"S0212-71992006000500017-esp","Varón con enfermedad de Hodgkin con exantema vesiculoso de distribución simétrica en manos tras tratamiento quimioterápico","Maciá Escalante, S., Guillén Ponce, C., Rodríguez Lescure, A., Ull Laita, M., Carrato Mena, A.","Anales de Medicina Interna; 23(5); 252-253","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000500017&lang=pt" 
"S0212-71992006000500008-esp","Perforación colónica, una rara complicación de pancreatitis aguda necrotizante","Calleja Subirán, M. C., Urien Blázquez, L. M.","Anales de Medicina Interna; 23(5); 235-237","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000500008&lang=pt" 
"S0212-71992006000500004-esp","Cambios electrocardiográficos asociados a hemorragia aguda de tubo digestivo alto","Gamboa Ortiz, F. A., Mendieta Zerón, H., Montaño Estrada, L. F.","Anales de Medicina Interna; 23(5); 220-223","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000500004&lang=pt" 
"S0212-71992006000500003-esp","Análisis coste-efectividad del uso de atorvastatina en pacientes diabéticos de tipo 2: modelo farmacoeconómico del estudio CARDS","Fernández de Bobadilla, J., López de SA, E., Alonso Troncoso, I., Moreno Gómez, R., Rubio-Terrés, C., Soto Álvarez, J.","Anales de Medicina Interna; 23(5); 213-219","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000500003&lang=pt" 
"S0212-71992006000500009-esp","El síndrome de fatiga crónica y su diagnóstico en Medicina Interna","Barbado Hernández, F. J., Gómez Cerezo, J., López Rodríguez, M., Vázquez Rodríguez, J. J.","Anales de Medicina Interna; 23(5); 239-244","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000500009&lang=pt" 
"S0212-71992006000500005-esp","Respuesta diferida a rituximab de una enfermedad hemolítica por crioaglutininas","Calvo-Villas, J. M., Cuesta Tovar, J., Carreter de Granda, E., Sicilia Guillén, F.","Anales de Medicina Interna; 23(5); 224-228","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000500005&lang=pt" 
"S0212-71992006000500002-esp","Prevalencia de hemoglobinopatías en mujeres gestantes en el área sanitaria de Lanzarote","Calvo-Villas, J. M., Zapata Ramos, M. F., Cuesta Tovar, J., Iglesia Íñigo, S. de la, Ropero Gradilla, P., Carreter de Granda, E., Sicilia Guillén, F.","Anales de Medicina Interna; 23(5); 206-212","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000500002&lang=pt" 
"S0212-71992006000500012-esp","Aneurisma inflamatorio de aorta abdominal","Macías Robles, M. D., Folgueiras Artime, M., Amador Tejón, M. J., Susin Brabo, B., Fernández Carreira, J. M.","Anales de Medicina Interna; 23(5); 247-248","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000500012&lang=pt" 
"S0212-71992006000500006-esp","Hidatidosis musculoesquelética: una localización atípica","Pleguezuelo Navarro, M., Iglesias Flores, E. M., Domínguez Jiménez, J. L., González Galilea, A., Abad Lara, J. A., Jiménez Sánchez, C., Dios Vega, J. F. de","Anales de Medicina Interna; 23(5); 229-231","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000500006&lang=pt" 
"S0212-71992006000500013-esp","Síndrome de secreción inadecuada de ADH en paciente hospitalizada por dolor abdominal","Obón Azuara, B., Gutiérrez Cía, I., Villanueva Anadón, B., Millastre, E.","Anales de Medicina Interna; 23(5); 248-249","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000500013&lang=pt" 
"S0212-71992006000500014-esp","Ataxia cerebelosa aguda en un paciente adulto","Campos Franco, J., Rodríguez Framil, M., Martínez Rey, C., Pose Reino, A.","Anales de Medicina Interna; 23(5); 249-250","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000500014&lang=pt" 
"S0212-71992006000500001-esp","Patología de la hemoglobina en la población española y en la población emigrante","Villegas, A.","Anales de Medicina Interna; 23(5); 203-205","Anales de Medicina Interna","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992006000500001&lang=pt" 
"S1519-69842006000300005-scl","Effects of dredged sediment disposal on the coastal marine macrobenthic assemblage in Southern Brazil","Angonesi, L. G., Bemvenuti, C. E., Gandra, M. S.","Brazilian Journal of Biology; 66(2a); 413-420","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300005&lang=pt" 
"S1519-69842006000300011-scl","In vitro regeneration of Didymopanax morototoni","Franco, E. T. H., Gavioli, L. B., Ferreira, A. G.","Brazilian Journal of Biology; 66(2a); 455-462","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300011&lang=pt" 
"S1519-69842006000300013-scl","Terrestrial passerines in an Atlantic forest remnant of Southern Brazil","Volpato, G. H., Anjos, L., Poletto, F., Serafini, P. P., Lopes, E. V., Fávaro, F. L.","Brazilian Journal of Biology; 66(2a); 473-478","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300013&lang=pt" 
"S1519-69842006000300015-scl","Transportation of juvenile tambaqui (Colossoma macropomum) in a closed system","Gomes, L. C., Araujo-Lima, C. A. R. M., Chippari-Gomes, A. R., Roubach, R.","Brazilian Journal of Biology; 66(2a); 493-502","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300015&lang=pt" 
"S1519-69842006000300024-scl","Activity patterns of South American silver catfish (Rhamdia quelen)","Schulz, U. H., Leuchtenberger, C.","Brazilian Journal of Biology; 66(2a); 565-574","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300024&lang=pt" 
"S1519-69842006000300003-scl","Spatial and temporal patterns of bird species diversity in the Pantanal of Mato Grosso, Brazil: implications for conservation","Figueira, J. E. C., Cintra, R., Viana, L. R., Yamashita, C.","Brazilian Journal of Biology; 66(2a); 393-404","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300003&lang=pt" 
"S1519-69842006000300021-scl","Pollination systems and floral traits in cerrado woody species of the Upper Taquari region (central Brazil)","Martins, F. Q., Batalha, M. A.","Brazilian Journal of Biology; 66(2a); 543-552","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300021&lang=pt" 
"S0074-02762006000300001-scl","A new challenge for malaria control in Brazil: asymptomatic Plasmodium infection - a review","Coura, José Rodrigues, Suárez-Mutis, Martha, Ladeia-Andrade, Simone","Memórias do Instituto Oswaldo Cruz; 101(3); 229-237","Memórias do Instituto Oswaldo Cruz","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762006000300001&lang=pt" 
"S0074-02762006000300003-scl","Frequency of serovars and antimicrobial resistance in Shigella spp. from Brazil","Peirano, Gisele, Souza, Flávia dos Santos, Rodrigues, Dalia dos Prazeres","Memórias do Instituto Oswaldo Cruz; 101(3); 245-250","Memórias do Instituto Oswaldo Cruz","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762006000300003&lang=pt" 
"S0074-02762006000300005-scl","Embryonic development of human lice: rearing conditions and susceptibility to spinosad","Cueto, Gastón Mougabure, Zerba, Eduardo, Picollo, María Inés","Memórias do Instituto Oswaldo Cruz; 101(3); 257-261","Memórias do Instituto Oswaldo Cruz","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762006000300005&lang=pt" 
"S0074-02762006000300010-scl","Antimicrobial susceptibility, phage types, and pulsetypes of Salmonella Typhimurium, in São Paulo, Brazil","Ghilardi, Ângela Cristina Rodrigues, Tavechio, Ana Terezinha, Fernandes, Sueli Aparecida","Memórias do Instituto Oswaldo Cruz; 101(3); 281-286","Memórias do Instituto Oswaldo Cruz","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762006000300010&lang=pt" 
"S0074-02762006000300016-scl","Seroepidemiological study of herpes simplex virus type 2 in patients with the acquired immunodeficiency syndrome in the city of Niterói, Rio de Janeiro, Brazil","Santos, Flávia Cunha, Oliveira, Solange Artimos de, Setúbal, Sérgio, Camacho, Luiz Antonio Bastos, Faillace, Tereza, Leite, José Paulo Gagliardi, Velarde, Luis Guillermo Coca","Memórias do Instituto Oswaldo Cruz; 101(3); 315-319","Memórias do Instituto Oswaldo Cruz","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762006000300016&lang=pt" 
"S0074-02762006000300022-scl","Susceptibility of Colombian Plasmodium falciparum isolates to 4-aminoquinolines and the definition of amodiaquine resistance in vitro","Echeverry, Diego F, Murillo, Claribel, Piedad, Restrepo P, Osorio, Lyda","Memórias do Instituto Oswaldo Cruz; 101(3); 341-344","Memórias do Instituto Oswaldo Cruz","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762006000300022&lang=pt" 
"S0074-02762006000300011-scl","Antibacterial and cytotoxic activity of Brazilian plant extracts - Clusiaceae","Suffredini, Ivana B, Paciencia, Mateus LB, Nepomuceno, Daniela C, Younes, Riad N, Varella, Antonio D","Memórias do Instituto Oswaldo Cruz; 101(3); 287-290","Memórias do Instituto Oswaldo Cruz","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762006000300011&lang=pt" 
"S1519-69842006000300001-scl","Editorial note","","Brazilian Journal of Biology; 66(2a); -","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300001&lang=pt" 
"S1519-69842006000300004-scl","Effect of pesticides on nitrification in aquatic sediment","Enrich-Prast, A.","Brazilian Journal of Biology; 66(2a); 405-412","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300004&lang=pt" 
"S1519-69842006000300002-scl","Bacterial growth and DOC consumption in a tropical coastal lagoon","Farjalla, V. F., Enrich-Prast, A., Esteves, F. A., Cimbleris, A. C. P.","Brazilian Journal of Biology; 66(2a); 383-392","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300002&lang=pt" 
"S1519-69842006000300010-scl","Seasonal abundance and mortality of Oebalus poecilus (Dallas) (Hemiptera: Pentatomidae) in a hibernation refuge","Santos, R. S. S., Redaelli, L. R., Diefenbach, L. M. G., Romanowski, H. P., Prando, H. F., Antochevis, R. C.","Brazilian Journal of Biology; 66(2a); 447-453","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300010&lang=pt" 
"S1519-69842006000300008-scl","Efficiency of prey subjugation by one species of Myrmeleon larvae (Neuropetra: Myrmeleontidae) in the central Amazonia","Dias, S. C., Santos, B. A., Werneck, F. P., Lira, P. K., Carrasco-Carbadillo, V., Fernandes, G. W.","Brazilian Journal of Biology; 66(2a); 441-442","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300008&lang=pt" 
"S1519-69842006000300006-scl","Spatial and temporal distribution in density and biomass of two Pseudodiaptomus species (Copepoda: Calanoida) in the Caeté river estuary (Amazon region - North of Brazil)","Magalhães, A., Costa, R. M., Liang, T. H., Pereira, L. C. C., Ribeiro, M. J. S.","Brazilian Journal of Biology; 66(2a); 421-430","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300006&lang=pt" 
"S1519-69842006000300007-scl","Fish-assemblage structure of the Corumbatai river basin, São Paulo State, Brazil: characterization and anthropogenic disturbances","Cetra, M., Petrete Jr., M.","Brazilian Journal of Biology; 66(2a); 431-439","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300007&lang=pt" 
"S1519-69842006000300022-scl","Parasitoidism of Chalcidid wasps (Hymenoptera, Chalcididae) on Philornis sp. (Diptera, Muscidae)","Couri, M. S., Tavares, M. T., Stenzel, R. R.","Brazilian Journal of Biology; 66(2a); 553-557","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300022&lang=pt" 
"S1519-69842006000300014-scl","The arboreal component of a dry forest in Northeastern Brazil","Rodal, M. J. N., Nascimento, L. M.","Brazilian Journal of Biology; 66(2a); 479-491","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300014&lang=pt" 
"S1519-69842006000300017-scl","Internal reproductive organs of Cosmoclopius nigroannulatus (Hemiptera: Reduviidae)","Jahnke, S. M., Redaelli, L. R., Diefenbach, L. M. G.","Brazilian Journal of Biology; 66(2a); 509-512","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300017&lang=pt" 
"S1519-69842006000300016-scl","Queen influence on workers behavior of the leaf-cutting ant Atta sexdens rubropilosa (Forel, 1908)","Sousa-Souto, L., Souza, D. J.","Brazilian Journal of Biology; 66(2a); 503-508","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300016&lang=pt" 
"S1519-69842006000300018-scl","Gametogenesis and reproduction of the matrinxã Brycon orthotaenia (Günther, 1864) (Pisces: Characidae) in the São Francisco river, Minas Gerais, Brazil","Gonçalves, T. L., Bazzoli, N., Brito, M. F. G.","Brazilian Journal of Biology; 66(2a); 513-522","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300018&lang=pt" 
"S1519-69842006000300019-scl","Growth and mortalities of the pink-shrimp Farfantepenaeus brasiliensis Latreille, 1970 and F. paulensis Pérez-Farfante 1967 in Southeast Brazil","Leite Jr., N. O., Petrere Jr., M.","Brazilian Journal of Biology; 66(2a); 523-536","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300019&lang=pt" 
"S1519-69842006000300020-scl","Heterogeneous growth fingerlings of the Nile tilapia Oreochromis niloticus: effects of density and initial size variability","Barbosa, J. M., Brugiolo, S. S. S., Carolsfeld, J., Leitão, S. S.","Brazilian Journal of Biology; 66(2a); 537-541","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300020&lang=pt" 
"S1519-69842006000300009-scl","Stridulatory sound emission of Panstrongylus rufotuberculatus Champion, 1899, (Hemiptera: Reduviidae: Triatominae)","Reyes-Lugo, M., Díaz-Bello, Z., Abate, T., Avilán, A.","Brazilian Journal of Biology; 66(2a); 443-446","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300009&lang=pt" 
"S1519-69842006000300023-scl","First record of Cephalobaena tetrapoda (Pentastomida: Cephalobaenidae) as a parasite on Liophis lineatus (Ophidia: Colubridae) in Northeast Brazil","Almeida, W. O., Brito, S. V., Ferreira, F. S., Christoffersen, M. L.","Brazilian Journal of Biology; 66(2a); 559-564","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300023&lang=pt" 
"S1519-69842006000300012-scl","Floral preferences of a neotropical stingless bee, Melipona quadrifasciata Lepeletier (Apidae: Meliponina) in an urban forest fragment","Antonini, Y., Costa, R. G., Martins, R. P.","Brazilian Journal of Biology; 66(2a); 463-471","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000300012&lang=pt" 
"S0074-02762006000300007-scl","Localization of Brugia malayi (sub-periodic) adults in different organs of Mastomys coucha and its influence on microfilaraemia and host antibody response","Athisaya Mary, K, Hoti, SL, Paily, KP","Memórias do Instituto Oswaldo Cruz; 101(3); 269-272","Memórias do Instituto Oswaldo Cruz","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762006000300007&lang=pt" 
"S0074-02762006000300013-scl","Phlebotominae spatial distribution asssociated with a focus of tegumentary leishmaniasis in Las Lomitas, Formosa, Argentina, 2002","Salomón, Oscar Daniel, Orellano, Pablo Wenceslao, Lamfri, Mario, Scavuzzo, Marcelo, Dri, Lucía, Farace, María Isabel, Quintana, Darío Ozuna","Memórias do Instituto Oswaldo Cruz; 101(3); 295-299","Memórias do Instituto Oswaldo Cruz","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762006000300013&lang=pt" 
"S0074-02762006000300008-scl","Lack of tax diversity for tropical spastic paraparesis/human T-cell lymphotropic virus type 1 (HTLV-I) associated myelopathy development in HTLV-I-infected subjects in São Paulo, Brazil","Casseb, J, Fukumori, LMI, Vergara, MPP, Sanabani, S, Marchiori, PE, Duarte, AJS, Oliveira, ACP de","Memórias do Instituto Oswaldo Cruz; 101(3); 273-276","Memórias do Instituto Oswaldo Cruz","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762006000300008&lang=pt" 
"S0074-02762006000300012-scl","Detection and molecular characterization of group A rotavirus from hospitalized children in Rio de Janeiro, Brazil, 2004","Carvalho-Costa, Filipe Anibal, Assis, Rosane Maria, Fialho, Alexandre Madi, Bóia, Márcio Neves, Alves, Daniele Pires Dias, Martins, Carolina Maria Miranda de Assis, Leite, José Paulo Gagliardi","Memórias do Instituto Oswaldo Cruz; 101(3); 291-294","Memórias do Instituto Oswaldo Cruz","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762006000300012&lang=pt" 
"S0717-71782006000100001-chl","Camarón navaja (Campylonotus semistriatus), crustáceo de aguas profundas frente a la costa central de Chile (Crustacea, Decapoda, Campylonotidae)","Arana, Patricio, Ahumada, Mauricio","Investigaciones marinas; 34(1); 3-14","Investigaciones marinas","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71782006000100001&lang=pt" 
"S0717-71782006000100002-chl","Modelo de optimización para el cálculo de la cuota de captura de langostino amarillo","Albornoz, Víctor, Canales, Cristian, Fazzi, Romina","Investigaciones marinas; 34(1); 15-21","Investigaciones marinas","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71782006000100002&lang=pt" 
"S0717-71782006000100003-chl","Variabilidad circadiana de la tasa de captura y la estructura de tallas en camarones e ictiofauna acompañante en la pesquería de arrastre del Mar Caribe de Colombia","Duarte, Luis O., Gómez-Canchong, Paul, Manjarrés, Luis M., García, Camilo B, Escobar, Fabián D, Altamar, Jairo, Viaña, Jorge E, Tejada, Kenys, Sánchez, Javier, Cuello, Félix","Investigaciones marinas; 34(1); 23-42","Investigaciones marinas","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71782006000100003&lang=pt" 
"S0717-71782006000100004-chl","Poliquetos bentónicos submareales de fondos blandos de la región de Aysén, Chile: Clados Amphinomida, Eunicida, Spionida, Sabellida y Scolecida (Annelida, Polychaeta)","Rozbaczylo, Nicolás, Moreno, Rodrigo A., Díaz-Díaz, Oscar","Investigaciones marinas; 34(1); 43-62","Investigaciones marinas","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71782006000100004&lang=pt" 
"S0717-71782006000100005-chl","Comportamiento de ánodos de sacrificio en la protección de aluminio NV-5083 en agua de mar, bahía de Valparaíso","Vera, Rosa, Bobadilla, Carla, Madrid, Alejandro","Investigaciones marinas; 34(1); 63-69","Investigaciones marinas","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71782006000100005&lang=pt" 
"S0717-71782006000100006-chl","Distribución latitudinal de foraminíferos bentónicos (Protozoa: Foraminiferida) a nivel de subórdenes y familias, en canales y fiordos patagónicos chilenos","Hromic, Tatiana","Investigaciones marinas; 34(1); 71-81","Investigaciones marinas","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71782006000100006&lang=pt" 
"S0717-71782006000100007-chl","Caracterización y clasificación de la bahía de Puerto Montt mediante batimetría de multihaz y datos de backscatter","Rodrigo, Cristián","Investigaciones marinas; 34(1); 83-94","Investigaciones marinas","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71782006000100007&lang=pt" 
"S0717-71782006000100008-chl","Composición de las capturas de peces hielo en el mar de Escocia, Antártica (verano 2004-2005)","Reyes, Pablo R.","Investigaciones marinas; 34(1); 95-100","Investigaciones marinas","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71782006000100008&lang=pt" 
"S0717-71782006000100009-chl","Sagitta chilensis nueva especie de quetognato en fiordos australes chilenos (Chaetognatha, Aphragmophora, Sagittidae)","Villenas, Francisco, Palma, Sergio","Investigaciones marinas; 34(1); 101-108","Investigaciones marinas","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71782006000100009&lang=pt" 
"S0717-71782006000100010-chl","Cultivation of cystocarpic, tetrasporic and vegetative fronds of Chondracanthus chamissoi (Rhodophyta, Gigartinales) on ropes at two localities in northern Chile","Bulboa, Cristian, Macchiavello, Juan","Investigaciones marinas; 34(1); 109-112","Investigaciones marinas","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71782006000100010&lang=pt" 
"S0717-71782006000100011-chl","Autentificación de lapas del género Fissurella (Mollusca: Vetigastropoda) en la costa chilena, mediante PCR-RFLP","Olivares-Paz, Alberto, Quinteiro, Javier, Rey-Méndez, Manuel","Investigaciones marinas; 34(1); 113-118","Investigaciones marinas","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71782006000100011&lang=pt" 
"S1516-89132006000400003-scl","Influence of ultrasound on sorbitol release by Zymomonas mobilis grown on high sucrose concentration","Barros, Márcio de, Celligoi, Maria Antonia P. Colabone, Vignoli, Josiane Alessandra, Vargas, Lucia Helena Mendonça","Brazilian Archives of Biology and Technology; 49(3); 371-374","Brazilian Archives of Biology and Technology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132006000400003&lang=pt" 
"S1516-89132006000400005-scl","Effect of adding macro and micro minerals in pig feces fed diets with different levels of probiotic","Huaynate, Rizal Alcides Robles, Thomaz, Maria Cristina, Kronka, Rodolfo Nascimento, Fraga, Alessandro Luís, Scandolera, Antônio João, Budiño, Fábio Enrique Lemos","Brazilian Archives of Biology and Technology; 49(3); 385-392","Brazilian Archives of Biology and Technology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132006000400005&lang=pt" 
"S1516-89132006000400015-scl","Influence of lagoons size and prey availability on the wading birds (Ciconiiformes) in the upper Paraná river floodplain, Brazil","Gimenes, Márcio Rodrigo, Anjos, Luiz dos","Brazilian Archives of Biology and Technology; 49(3); 463-473","Brazilian Archives of Biology and Technology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132006000400015&lang=pt" 
"S1516-89132006000400016-scl","Partial purification and characterization of xylanase produced by Penicillium expansum","Querido, André Luiz de Souza, Coelho, Jorge Luiz Cavalcante, Araújo, Elza Fernandes de, Chaves-Alves, Virgínia Maria","Brazilian Archives of Biology and Technology; 49(3); 475-480","Brazilian Archives of Biology and Technology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132006000400016&lang=pt" 
"S0378-18442006000500009-ven","Efecto del tamaño de semilla en la germinación DE Astrophytum myriostigma Lemaire. (CACTACEAE), Especie amenazada de extinción","Sánchez-Salas, Jaime, Flores, Joel, Martínez-García, Erla","Interciencia; 31(5); 371-375","Interciencia","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0378-18442006000500009&lang=pt" 
"S0378-18442006000500008-ven","Mycorrhizal dynamics and dependence of Desmoncus orthacanthos Martius (arecaceae), a native palm of the yucatan peninsula, Mexico","Ramos-Zapata, José A, Orellana, Roger, Allen, Edith B","Interciencia; 31(5); 364-370","Interciencia","Inglês","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0378-18442006000500008&lang=pt" 
"S0378-18442006000500003-ven","Reproductive biology and plant species selection for habitat restoration in the Venezuelan Gran Sabana plateau","Ramírez, Nelson","Interciencia; 31(5); 114-124","Interciencia","Inglês","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0378-18442006000500003&lang=pt" 
