"S2007-28722013000300008-mex","La educación en sociedades líquidas","Yáñez-Velazco, Juan-Carlos","Revista iberoamericana de educación superior; 4(11); 137-137","Revista iberoamericana de educación superior","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-28722013000300008&lang=pt" 
"S1414-32832013000300018-scl","A Teoria da Atividade Histórico-Cultural e suas contribuições à Educação, Saúde e Comunicação: entrevista com Yrjö Engeström","Lemos, Monica, Pereira-Querol, Marco Antonio, Almeida, Ildeberto Muniz de","Interface - Comunicação, Saúde, Educação; 17(46); 715-727","Interface - Comunicação, Saúde, Educação","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300018&lang=pt" 
"S1414-32832013000300009-scl","Confluindo gênero e educação popular por meio de uma pesquisa-ação para a abordagem do tabagismo feminino em contextos de vulnerabilidade social","Borges, Márcia Terezinha Trotta, Barbosa, Regina Helena Simões","Interface - Comunicação, Saúde, Educação; 17(46); 601-614","Interface - Comunicação, Saúde, Educação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300009&lang=pt" 
"S1414-32832013000300010-scl","Contribuições das plantas medicinais para o cuidado e a promoção da saúde na atenção primária","Antonio, Gisele Damian, Tesser, Charles Dalcanale, Moretti-Pires, Rodrigo Otávio","Interface - Comunicação, Saúde, Educação; 17(46); 615-633","Interface - Comunicação, Saúde, Educação","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300010&lang=pt" 
"S1414-32832013000300015-scl","Comunicação, humanidades e humanização: a educação técnica, ética, estética e emocional do estudante e do profissional de saúde","Marco, Mario Alfredo De, Degiovani, Mariella Vargas, Torossian, Miriam Sansoni, Wechsler, Rudolf, Joppert, Silvia Mara Herbelha, Lucchese, Ana Cecília","Interface - Comunicação, Saúde, Educação; 17(46); 683-693","Interface - Comunicação, Saúde, Educação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300015&lang=pt" 
"S1414-32832013000300013-scl","Marcas no corpo, cansaço e experiência: nuances do envelhecer como professor de Educação Física","Lüdorf, Sílvia Maria Agatti, Ortega, Francisco Javier Guerrero","Interface - Comunicação, Saúde, Educação; 17(46); 661-675","Interface - Comunicação, Saúde, Educação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300013&lang=pt" 
"S1414-32832013000300004-scl","O desafio de compreender a consequência fatal da violência em dois municípios brasileiros","Silva, Juliana Guimarães e, Valadares, Fabiana Castelo, Souza, Edinilsa Ramos de","Interface - Comunicação, Saúde, Educação; 17(46); 535-547","Interface - Comunicação, Saúde, Educação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300004&lang=pt" 
"S1414-32832013000300016-scl","Prevención del consumo problemático de drogas en la escuela: estrategia de formación docente en Argentina utilizando TIC","Camarotti, Ana Clara, Kornblit, Ana Lía, Di Leo, Pablo Francisco","Interface - Comunicação, Saúde, Educação; 17(46); 695-703","Interface - Comunicação, Saúde, Educação","Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300016&lang=pt" 
"S0104-11692013000501062-scl","Perinatal mortality and socio-spatial inequalities","Martins, Eunice Francisca, Rezende, Edna Maria, Almeida, Maria Cristina de Mattos, Lana, Francisco Carlos Felix","Revista Latino-Americana de Enfermagem; 21(5); 1062-1070","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501062&lang=pt" 
"S0104-11692013000501054-scl","Efficiency of Calatonia on clinical parameters in the immediate post-surgery period: a clinical study","Lasaponari, Elaine Ferreira, Peniche, Aparecida de Cassia Giani, Turrini, Ruth Natalia Teresa, Grazziano, Eliane da Silva","Revista Latino-Americana de Enfermagem; 21(5); 1054-1061","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501054&lang=pt" 
"S0104-11692013000501104-scl","Working hours and health behaviour among nurses at public hospitals","Fernandes, Juliana da Costa, Portela, Luciana Fernandes, Rotenberg, Lucia, Griep, Rosane Harter","Revista Latino-Americana de Enfermagem; 21(5); 1104-1111","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501104&lang=pt" 
"S0104-11692013000501127-scl","Women in nursing teams: organizational identification and experiences of pleasure and suffering","Vieira, Adriane, Alves, Marilia, Monteiro, Plinio Rafael Reis, Garcia, Fernando Coutinho","Revista Latino-Americana de Enfermagem; 21(5); 1127-1136","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501127&lang=pt" 
"S0104-11692013000501080-scl","Safe pediatric surgery: development and validation of preoperative interventions checklist","Pires, Maria Paula de Oliveira, Pedreira, Mavilde da Luz Goncalves, Peterlini, Maria Angelica Sorgini","Revista Latino-Americana de Enfermagem; 21(5); 1080-1087","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501080&lang=pt" 
"S0104-11692013000501112-scl","Transcultural adaptation and validation of the Conditions of Work Effectiveness - Questionnaire-II instrument","Bernardino, Elizabeth, Dyniewicz, Ana Maria, Carvalho, Kaoana Lima Botto, Kalinowski, Luisa Canestraro, Bonat, Wagner Hugo","Revista Latino-Americana de Enfermagem; 21(5); 1112-1118","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501112&lang=pt" 
"S0104-11692013000501013-scl","Characterization of salt consumption among hypertensives according to socio-demographic and clinical factors","Perin, Milena Sia, Cornelio, Marilia Estevam, Rodrigues, Roberta Cunha Matheus, Gallani, Maria Cecilia Bueno Jayme","Revista Latino-Americana de Enfermagem; 21(5); 1013-1021","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501013&lang=pt" 
"S0104-11692013000501088-scl","Classification of Family Risk in a Family Health Center","Nakata, Priscila Tadei, Koltermann, Lenice Ines, Vargas, Kellyn Rocha de, Moreira, Priscilla Wolff, Duarte, Erica Rosalba Mallmann, Rosset-Cruz, Idiane","Revista Latino-Americana de Enfermagem; 21(5); 1088-1095","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501088&lang=pt" 
"S0104-11692013000501022-scl","The experience of the illness and of the treatment for the person with systemic arterial hypertension: an ethnographic study","Fava, Silvana Maria Coelho Leite, Zago, Marcia Maria Fontao, Nogueira, Maria Suely, Dazio, Eliza Maria Rezende","Revista Latino-Americana de Enfermagem; 21(5); 1022-1029","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501022&lang=pt" 
"S0104-11692013000501119-scl","Relation between workplace accidents and the levels of carboxyhemoglobin in motorcycle taxi drivers","Silva, Luiz Almeida da, Robazzi, Maria Lucia do Carmo Cruz, Terra, Fabio de Souza","Revista Latino-Americana de Enfermagem; 21(5); 1119-1126","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501119&lang=pt" 
"S0104-11692013000501144-scl","Alcohol consumption in young people between 18 and 24 years according to sociodemographic characteristics","Villace, Maria Belen, Fernandez, Alicia Ruth, Costa Junior, Moacyr Lobo da","Revista Latino-Americana de Enfermagem; 21(5); 1144-1150","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501144&lang=pt" 
"S0104-11692013000501137-scl","Identification of the support needs of individuals with severe mental illness using the Supports Intensity Scale","Cruz, Maribel, Perez, Ma. del Carmen, Jenaro, Cristina, Flores, Noelia, Vega, Vanessa","Revista Latino-Americana de Enfermagem; 21(5); 1137-1143","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501137&lang=pt" 
"S0104-11692013000501165-scl","Best practice of nurse managers in risk management","Costa, Veridiana Tavares, Meirelles, Betina Horner Schlindwein, Erdmann, Alacoque Lorenzini","Revista Latino-Americana de Enfermagem; 21(5); 1165-1171","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501165&lang=pt" 
"S0104-11692013000501179-scl","Welcoming with risk classification in teaching hospitals: assessment of structure, process and result","Vituri, Dagmar Willamowius, Inoue, Kelly Cristina, Bellucci Junior, Jose Aparecido, Oliveira, Carlos Aparecido de, Rossi, Robson Marcelo, Matsuda, Laura Misue","Revista Latino-Americana de Enfermagem; 21(5); 1179-1187","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501179&lang=pt" 
"S0104-11692013000501039-scl","Social organization and control of tuberculosis: the experience of a Brazilian town","Bulgarelli, Alexandre Favero, Villa, Tereza Cristina Scatena, Pinto, Ione Carvalho","Revista Latino-Americana de Enfermagem; 21(5); 1039-1048","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501039&lang=pt" 
"S0104-11692013000501096-scl","The association between the functional incapacity of the older adult and the family caregiver&#039;s burden","Nardi, Edileuza de Fatima Rosina, Sawada, Namie Okino, Santos, Jair Licio Ferreira","Revista Latino-Americana de Enfermagem; 21(5); 1096-1103","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501096&lang=pt" 
"S0104-11692013000501049-scl","Retrospective study of the implementation of the nursing process in a health area","Huitzi-Egilegor, Joseba Xabier, Elorza-Puyadena, Maria Isabel, Urkia-Etxabe, Jose Maria, Esnaola-Herrero, Maria Victoria, Asurabarrena-Iraola, Carmen","Revista Latino-Americana de Enfermagem; 21(5); 1049-1053","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501049&lang=pt" 
"S0104-11692013000501159-scl","Record of hospitalizations for ambulatory care sensitive conditions: validation of the hospital information system","Rehem, Tania Cristina Morais Santa Barbara, Oliveira, Maria Regina Fernandes de, Ciosak, Suely Itsuko, Egry, Emiko Yoshikawa","Revista Latino-Americana de Enfermagem; 21(5); 1159-1164","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501159&lang=pt" 
"S0104-11692013000501030-scl","Knowledge, attitudes and practices of nurses and doctors about the vertical transmission of hepatitis B","Goncalves, Isabela Cristina de Miranda, Goncalves, Maria Jacirema Ferreira","Revista Latino-Americana de Enfermagem; 21(5); 1030-1038","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501030&lang=pt" 
"S0104-11692013000501151-scl","Study of Lipid profile in a population of university students","Freitas, Roberto Wagner Junior Freire de, Araujo, Marcio Flavio Moura de, Lima, Adman Camara Soares, Pereira, Dayse Christina Rodrigues, Alencar, Ana Maria Parente Garcia, Damasceno, Marta Maria Coelho","Revista Latino-Americana de Enfermagem; 21(5); 1151-1158","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501151&lang=pt" 
"S0104-11692013000501071-scl","Effectiveness of the Comprehensive Childhood Protection System for vulnerable mothers and children","Arcos, Estela, Munoz, Luz Angelica, Sanchez, Ximena, Vollrath, Antonia, Gazmuri, Patricia, Baeza, Margarita","Revista Latino-Americana de Enfermagem; 21(5); 1071-1079","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501071&lang=pt" 
"S0104-11692013000501172-scl","Motivations, contradictions and ambiguities in the leadership of nurses in management positions in a university hospital","Dall&#039;Agnol, Clarice Maria, Moura, Gisela Maria Schebella Souto de, Magalhaes, Ana Maria Muller de, Falk, Maria Lucia Rodrigues, Riboldi, Caren de Oliveira, Oliveira, Andreia Peres de","Revista Latino-Americana de Enfermagem; 21(5); 1172-1178","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501172&lang=pt" 
"S0104-44782013000300006-scl","Las organizaciones de los industriales argentinos en la &quot;era del desarrollo&quot; (1955-1976)","Jauregui, Aníbal","Revista de Sociologia e Política; 21(47); 55-68","Revista de Sociologia e Política","Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782013000300006&lang=pt" 
"S0104-44782013000300007-scl","Coligações eleitorais: tendências e racionalidades nas eleições federais e majoritárias estaduais (1990-2010)","Miranda, Geralda Luiza de","Revista de Sociologia e Política; 21(47); 69-90","Revista de Sociologia e Política","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782013000300007&lang=pt" 
"S0104-44782013000300009-scl","Flávio Suplicy de Lacerda: genealogia de um integrante da elite paranaense","Campos, Névio de","Revista de Sociologia e Política; 21(47); 113-132","Revista de Sociologia e Política","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782013000300009&lang=pt" 
"S0100-54052013000300002-scl","Mycobiota evolution during storage of paddy, brown and milled rice in different genotypes","Pinciroli, María, Gribaldo, Alejandra, Vidal, Alfonso, Bezus, Rodolfo, Sisterna, Marina","Summa Phytopathologica; 39(3); 157-161","Summa Phytopathologica","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052013000300002&lang=pt" 
"S0100-54052013000300003-scl","Diagrammatic scale for the assessment of blast on wheat spikes","Maciel, João Leodato Nunes, Danelli, Anderson Luiz Durante, Boaretto, Cristina, Forcelini, Carlos Alberto","Summa Phytopathologica; 39(3); 162-166","Summa Phytopathologica","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052013000300003&lang=pt" 
"S0100-54052013000300004-scl","Reação de resistência tipo I e tipo II a Giberela em cultivares de trigo","Alves, Rafael Hansen, Nora, Tatiane Dalla, Franco, Francisco de Assis, Costa, Antonio Carlos Torres da, Stangarlin, José Renato","Summa Phytopathologica; 39(3); 167-171","Summa Phytopathologica","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052013000300004&lang=pt" 
"S0100-54052013000300005-scl","Interferência da redução no volume de aplicação sobre o controle da mancha preta (Guignardia citricarpa Kiely) em frutos de laranja &#039;Valência&#039;","Araújo, Demétrius de, Raetano, Carlos Gilberto, Ramos, Hamilton Humberto, Spósito, Marcel Belatto, Prado, Evandro Pereira","Summa Phytopathologica; 39(3); 172-179","Summa Phytopathologica","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052013000300005&lang=pt" 
"S0100-54052013000300006-scl","Supressividade por incorporação de resíduo de leguminosas no controle da fusariose do tomateiro","Cruz, Sandra Maria da Costa, Rodrigues, Antônia Alice Costa, Silva, Erlen Keila Candido e, Oliveira, Leonardo de Jesus Machado Gois de","Summa Phytopathologica; 39(3); 180-185","Summa Phytopathologica","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052013000300006&lang=pt" 
"S0100-54052013000300007-scl","Sobrevivência de Bradyrhizobium japonicum em sementes de soja tratadas com fungicidas e os efeitos sobre a nodulação e a produtividade da cultura","Costa, Maira Rejane, Cavalheiro, Juliana Cristina Touro, Goulart, Augusto César Pereira, Mercante, Fábio Martins","Summa Phytopathologica; 39(3); 186-192","Summa Phytopathologica","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052013000300007&lang=pt" 
"S0004-282X2013000900609-scl","Suboccipital craniectomy with opening of the fourth ventricle and duraplasty: study of 192 cases of craniovertebral malformations","Silva, Jose Alberto Goncalves da, Santos Jr., Adailton Arcanjo dos, Costa, Maria do Desterro Leiros da, Almeida, Everardo Bandeira de","Arquivos de Neuro-Psiquiatria; 71(9A); 609-614","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013000900609&lang=pt" 
"S0004-282X2013000900643-scl","Fluoro-2-deoxy-D-glucose positron emission tomography/computed tomography imaging in the investigation of LambertEaton myasthenic syndrome","Braatz, Vera L., Kay, Claudia S. K., Lorenzoni, Paulo J., Ludwig, Vinicius B., Junior, Milton M. Machota, Ioshii, Sergio O., Scola, Rosana H., Werneck, Lineu C.","Arquivos de Neuro-Psiquiatria; 71(9A); 643-644","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013000900643&lang=pt" 
"S0004-282X2013000900640-scl","Professor Abraham Akerman","Teive, Helio Afonso Ghizoni, Zorzetto, Francis Paciornik, Moro, Adriana, Munhoz, Renato Puppi, Filho, Pericles Andrade Maranhao, Novak, Edison Matos","Arquivos de Neuro-Psiquiatria; 71(9A); 640-642","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013000900640&lang=pt" 
"S0004-282X2013000900580-scl","Diffusion tensor magnetic resonance imaging may show abnormalities in the normal-appearing cervical spinal cord from patients with multiple sclerosis","Miraldi, Fernanda, Lopes, Fernanda Cristina Rueda, Costa, Joao Victor Altamiro, Alves-Leon, Soniza Vieira, Gasparetto, Emerson Leandro","Arquivos de Neuro-Psiquiatria; 71(9A); 580-583","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013000900580&lang=pt" 
"S0004-282X2013000900615-scl","Assessment of gait deviation on the Babinski-Weill test in healthy Brazilians","Miranda, Camila Souza, Stefani, Camila Piccirilli, Morimoto, Marcia Midori, Piemonte, Maria Elisa Pimentel, Pereira, Cristiana Borges","Arquivos de Neuro-Psiquiatria; 71(9A); 615-620","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013000900615&lang=pt" 
"S0004-282X2013000900569-scl","Multiple sclerosis in the Southern and Northern hemispheres: the month of birth at different latitudes has the same influence on the prevalence and progression of the disease in the Northern and Southern hemispheres?","Pimentel, Maria Lucia Vellutini","Arquivos de Neuro-Psiquiatria; 71(9A); 569-570","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013000900569&lang=pt" 
"S0004-282X2013000900571-scl","Changes in normal appearing spinal cord in multiple sclerosis: another brick in the wall","Lucato, Leandro Tavares","Arquivos de Neuro-Psiquiatria; 71(9A); 571-572","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013000900571&lang=pt" 
"S0004-282X2013000900111-scl","A Classificacao Internacional de Doencas, a Familia de Classificacoes Internacionais, a CID-11 e a Sindrome Pos-Poliomielite","Laurenti, Ruy, Nubila, Heloisa Brunow Ventura Di, Quadros, Abrahao Augusto Joviniano, Conde, Monica Tilli Reis Pessoa, Oliveira, Acary Souza Bulle","Arquivos de Neuro-Psiquiatria; 71(9A); 3-10","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013000900111&lang=pt" 
"S0004-282X2013000900596-scl","Verbal learning on depressive pseudodementia: accentuate impairment of free recall, moderate on learning processes, and spared short-term and recognition memory","Paula, Jonas Jardim de, Miranda, Debora Marques, Nicolato, Rodrigo, Moraes, Edgar Nunes de, Bicalho, Maria Aparecida Camargos, Malloy-Diniz, Leandro Fernandes","Arquivos de Neuro-Psiquiatria; 71(9A); 596-599","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013000900596&lang=pt" 
"S0004-282X2013000900645-scl","Skin conductance as pain indicator in newborns: a comparison study with heart rate, oxygen saturation and pain behavioral scales","Jesus, Jose Alfredo Lacerda de","Arquivos de Neuro-Psiquiatria; 71(9A); 645-645","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013000900645&lang=pt" 
"S0004-282X2013000900573-scl","Multiple sclerosis in South America: month of birth in different latitudes does not seem to interfere with the prevalence or progression of the disease","Fragoso, Yara Dadalti, Adoni, Tarso, Almeida, Sandra Maria Garcia de, Alves-Leon, Soniza Vieira, Arruda, Walter Oleschko, Barbagelata-Aguero, Fiorella, Brooks, Joseph Bruno Bidin, Carra, Adriana, Claudino, Rinaldo, Comini-Frota, Elizabeth Regina, Correa, Eber Castro, Damasceno, Alfredo, Damasceno, Benito Pereira, Diaz, Ethel Ciampi, Elliff, David George, Fiore, Ana Patricia Peres, Franco, Clelia Maria Ribeiro, Giacomo, Maria Cristina Brandao, Gomes, Sidney, Goncalves, Marcus Vinicius Magno, Grzesiuk, Anderson Kuntz, Inojosa, Jose Luiz, Kaimen-Maciel, Damacio Ramon, Lin, Katia, Lopes, Josiane, Lourenco, Gisele Alexandre, Martinez, Alejandra Diana, Melcon, Mario Oscar, Morales, Nivea de Macedo Oliveira, Morales, Rogerio Rizo, Moreira, Marcos, Moreira, Shirlene Vianna, Oliveira, Celso Luis da Silva, Oliveira, Francisco Tomaz Menezes de, Ribeiro, Joao Batista, Ribeiro, Sonia Beatriz Felix, Rodriguez, Claudia Carcamo, Russo, Liliana, Safanelli, Juliana, Shearer, Kirsty Deborah, Siquineli, Fabio, Vizcarra-Escobar, Darwin","Arquivos de Neuro-Psiquiatria; 71(9A); 573-579","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013000900573&lang=pt" 
"S0004-282X2013001000685-scl","Cerebrospinal fluid analysis in the context of CNS demyelinating diseases","Matas, Sandro Luiz de Andrade, Glehn, Felipe von, Fernandes, Gustavo Bruniera Peres, Soares, Carlos Augusto Senne","Arquivos de Neuro-Psiquiatria; 71(9B); 685-688","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000685&lang=pt" 
"S0004-282X2013001000714-scl","Mansonic neuroschistosomiasis","Carvalho, Otavio Augusto Moreno de","Arquivos de Neuro-Psiquiatria; 71(9B); 714-716","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000714&lang=pt" 
"S0004-282X2013001000649-scl","The history of cerebrospinal fluid analysis in Brazil","Livramento, Jose Antonio, Machado, Luis dos Ramos","Arquivos de Neuro-Psiquiatria; 71(9B); 649-652","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000649&lang=pt" 
"S0004-282X2013001000659-scl","Iatrogenic meningitis","Mutarelli, Eduardo Genaro, Adoni, Tarso","Arquivos de Neuro-Psiquiatria; 71(9B); 659-660","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000659&lang=pt" 
"S0004-282X2013001000677-scl","Cerebrospinal fluid approach on neuro-oncology","Gomes, Helio Rodrigues","Arquivos de Neuro-Psiquiatria; 71(9B); 677-680","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000677&lang=pt" 
"S0004-282X2013001000653-scl","Invasive meningococcal disease","Strelow, Vanessa L., Vidal, Jose E.","Arquivos de Neuro-Psiquiatria; 71(9B); 653-658","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000653&lang=pt" 
"S1852-99922013000300001-arg","Mejoras en la gestión del proceso editorial","Cejas, Claudia","Revista argentina de radiología; 77(3); -","Revista argentina de radiología","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922013000300001&lang=pt" 
"S1852-99922013000300002-arg","Identificación prequirúrgica de pares craneales en tumores de la base del cráneo mediante la técnica de tensor de difusión","García, L.C., Alonso, P.A., Cardarelli, A, Martino, A.P, Rimoldi, J, Figari, A","Revista argentina de radiología; 77(3); -","Revista argentina de radiología","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922013000300002&lang=pt" 
"S1852-99922013000300003-arg","Enfermedad de Lhermitte-Duclos o gangliocitoma displásico cerebeloso: reporte de un caso y revisión de la literatura","D&#039;Angelo, N, Camacho, M, Peralta, P, Chiossi, R, López Fragoso, M.C, Nazar, M, Solaligue, R.D, Escobar, T","Revista argentina de radiología; 77(3); -","Revista argentina de radiología","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922013000300003&lang=pt" 
"S1852-99922013000300004-arg","Hidatidosis cardíaca con embolismo aórtico","Castignola, M.G, Lugones, I, García, R.O, Di Santo, M, Ganum, G, Haberman, D","Revista argentina de radiología; 77(3); -","Revista argentina de radiología","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922013000300004&lang=pt" 
"S1852-99922013000300005-arg","Hallazgos en tomografia computada multidetector en el diagnóstico del carcinoma hepatocelular en pacientes con cirrosis y su correlación con la anatomia patológica del explante hepático","Haberman, D, Castignola, M, Mela, M, Paladini, H, Santilli, J.P, Gruz, F, Gondolesi, G","Revista argentina de radiología; 77(3); -","Revista argentina de radiología","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922013000300005&lang=pt" 
"S1852-99922013000300006-arg","Optimización del uso de las imágenes en la patología suprarrenal (parte 1)","Binda, M.C, Afione, C, Miklaszewski, J, Pardes, E, Enríquez, E, López, R","Revista argentina de radiología; 77(3); -","Revista argentina de radiología","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922013000300006&lang=pt" 
"S1852-99922013000300007-arg","Bloqueo nervioso lumbar selectivo guiado por tomografía computada. Nuestra experiencia en un hospital universitario","Nielsen, A.J, Criscuolo, G, González Calvo, S, Larrañaga, N, Gallo, J.C, Kozima, S","Revista argentina de radiología; 77(3); -","Revista argentina de radiología","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922013000300007&lang=pt" 
"S1852-99922013000300008-arg","Ecografía y biopsia prostéticas en la detección del carcinoma prostético","Rodriguez, A, Criscuolo, G, González Calvo, S, Larrañaga, N, Gallo, J.C., Kozima, S","Revista argentina de radiología; 77(3); -","Revista argentina de radiología","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922013000300008&lang=pt" 
"S1852-99922013000300009-arg","Tomografia lineal: nacimiento, gloria y ocaso de un método","Buzzi, A.E., Suárez, M.V","Revista argentina de radiología; 77(3); -","Revista argentina de radiología","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922013000300009&lang=pt" 
