"S2179-975X2013000100011-scl","Temporal variation in phytoplankton community in a freshwater coastal lake of southern Brazil","Tonetta, Denise, Petrucio, Mauricio Mello, Laudares-Silva, Roselane","Acta Limnologica Brasiliensia; 25(1); 99-110","Acta Limnologica Brasiliensia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-975X2013000100011&lang=pt" 
"S0016-35032013000100004-ven","Hiperamonemia en niños: clasificación y opciones terapéuticas","Nogales, Andrea, López, Karolina, Navarro, Dianora, Rossell, Adalis, Quintana, Betzabeth, Perla, Enicar, Figuereo, Credy, Belandria, Katiuska","Gen; 67(1); 11-15","Gen","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0016-35032013000100004&lang=pt" 
"S0016-35032013000100005-ven","Ultrasonido endoscópico en tumores neuroendocrinos de páncreas","Isern, Anna, Fernández, Carmen, Soto, Mailyn, Figueira, Carla, Bronstein, Manuel, Salazar, Judith, Cumana, Roscelys, Maradey, Carla, Ojeda, Ingrid, Lorenzo, Anabell, Fernandez, Carlos, Da Franca, Josfer, Monasterios, Eliu, Soto, José","Gen; 67(1); 16-19","Gen","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0016-35032013000100005&lang=pt" 
"S0016-35032013000100003-ven","Espectro morfológico de la biopsia hepática","Acosta, Marthelena, Mejías, Luis, Ruiz, María","Gen; 67(1); 4-10","Gen","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0016-35032013000100003&lang=pt" 
"S0016-35032013000100001-ven","","Sánchez, Carlos","Gen; 67(1); 1-1","Gen","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0016-35032013000100001&lang=pt" 
"S0016-35032013000100002-ven","Es útil el ultrasonido endoscópico en las lesiones neuroendocrinas del páncreas: ¿Podemos ver y biopsiar lesiones pequeñas?","Sosa-Valencia, Leonardo","Gen; 67(1); 2-3","Gen","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0016-35032013000100002&lang=pt" 
"S0016-35032013000100015-ven","A Propósito de la publicación: human immunodeficiency virus and hepatitis C","Betancourt, Cristobal","Gen; 67(1); 61-61","Gen","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0016-35032013000100015&lang=pt" 
"S0016-35032013000100014-ven","Autoevaluación: ¿Usted lo sabe?","","Gen; 67(1); 60-60","Gen","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0016-35032013000100014&lang=pt" 
"S0016-35032013000100011-ven","Esófago de Barrett","Cardoza, Johan, Dib, Jacobo","Gen; 67(1); 42-48","Gen","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0016-35032013000100011&lang=pt" 
"S0016-35032013000100010-ven","Tumor estromal gastrointestinal esofágico: A propósito de un caso","Soto, Mailyn, Cumana, Roscelys, Isern, Anna, Bronstein, Manuel, Salazar, Judith, Maradey, Carla, Fernández, Carmen, Ojeda, Ingrid, Fuentes, Delia, Soto, José, Graterol, Alejandra, De Franca, Josfer, Fernández, Carlos, Lorenzo, Anabel, Monasterio, Eliu","Gen; 67(1); 39-41","Gen","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0016-35032013000100010&lang=pt" 
"S0016-35032013000100013-ven","","","Gen; 67(1); 58-59","Gen","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0016-35032013000100013&lang=pt" 
"S0016-35032013000100012-ven","Transportadores de lípidos biliares: una revisión actualizada","Castro, Ibrahim, Martínez, Mariano","Gen; 67(1); 49-57","Gen","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0016-35032013000100012&lang=pt" 
"S0872-81782013000200001-prt","Trânsito do cólon e diabetes","Saraiva, Miguel Mascarenhas","Jornal Português de Gastrenterologia; 20(2); 49-51","Jornal Português de Gastrenterologia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-81782013000200001&lang=pt" 
"S0872-81782013000200002-prt","Relação do trânsito cólico na diabetes mellitus tipo 2 com a idade, o género, a duração da doença e a HbA1c","Jorge, João Xavier, Matos, Hugo Cruz, Borges, Cláudia Iracema Cardoso, Delgado, Fernando Jorge, Machado, Joaquim Pinto, Oliveira, Maria Henriqueta Pereira, Oliveira, Fernando Manuel M. Resende, Coelho, Álvaro Correia, Silva, Amílcar Lima, Almeida, Carlos Costa","Jornal Português de Gastrenterologia; 20(2); 52-57","Jornal Português de Gastrenterologia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-81782013000200002&lang=pt" 
"S0872-81782013000200003-prt","Infeções bacterianas no doente com cirrose hepática","Carrola, Paulo, Militão, Isabel, Presa, José","Jornal Português de Gastrenterologia; 20(2); 58-65","Jornal Português de Gastrenterologia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-81782013000200003&lang=pt" 
"S0872-81782013000200004-prt","Migração de prótese esofágica para a região ileocecal","Jorge, João Xavier, Sousa, Luís Almeida e, Panão, Edgard Augusto, Mendes, Sofia, Campos, Mário Júlio, Vale, Abel Cardoso","Jornal Português de Gastrenterologia; 20(2); 66-69","Jornal Português de Gastrenterologia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-81782013000200004&lang=pt" 
"S0872-81782013000200005-prt","Sífilis: uma causa rara de hepatite colestática","Marado, Daniela, Patrício, Inês, Magano, Rita, Ramos, Evelise, Ribeiro, Pedro","Jornal Português de Gastrenterologia; 20(2); 70-73","Jornal Português de Gastrenterologia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-81782013000200005&lang=pt" 
"S0872-81782013000200006-prt","Neoplasia mucinosa papilar intraductal com fistulização gástrica e duodenal: uma forma rara de apresentação","Pimentel, Rita, Poças, Fernando Castro, Ferreira, José Manuel Castro, Areias, Jorge Alberto","Jornal Português de Gastrenterologia; 20(2); 74-78","Jornal Português de Gastrenterologia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-81782013000200006&lang=pt" 
"S0872-81782013000200007-prt","Demyelinating brain lesions in a Crohn’s patient under adalimumab","Nunes, Ana, Vieira, Ana, Freitas, João","Jornal Português de Gastrenterologia; 20(2); 79-82","Jornal Português de Gastrenterologia","Inglês","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-81782013000200007&lang=pt" 
"S0872-81782013000200008-prt","Ganglioneuromatose intestinal difusa associada a adenocarcinomas do intestino delgado","Monsanto, Pedro, Souto, Paulo, Oliveira, Juliana, Leite, Júlio, Cipriano, Maria Augusta, Carvalheiro, Frederico, Ilharco, José, Gouveia, Hermano, Sofia, Carlos","Jornal Português de Gastrenterologia; 20(2); 83-88","Jornal Português de Gastrenterologia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-81782013000200008&lang=pt" 
"S0872-81782013000200009-prt","Lesão esofágica como causa de disfagia","Peralta, Lígia, Trindade, Eunice","Jornal Português de Gastrenterologia; 20(2); 89-90","Jornal Português de Gastrenterologia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-81782013000200009&lang=pt" 
"S0872-81782013000200010-prt","Ileocecal intussusception secondary to cecal adenocarcinoma in the adult","Herculano, Rita, Couto, Gilberto, Moniz, Luísa, Santos, Sofia, Matos, Leopoldo","Jornal Português de Gastrenterologia; 20(2); 91-92","Jornal Português de Gastrenterologia","Inglês","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-81782013000200010&lang=pt" 
"S0872-81782013000200011-prt","Prática clínica na doença de Crohn","Veloso, Fernando Tavarela","Jornal Português de Gastrenterologia; 20(2); 93-94","Jornal Português de Gastrenterologia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-81782013000200011&lang=pt" 
"S0864-03942013000100001-cub","Mesofauna edáfica: indicador biológico de la calidad del suelo","Socarrás, Ana","Pastos y Forrajes; 36(1); 5-13","Pastos y Forrajes","Inglês, Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942013000100001&lang=pt" 
"S0864-03942013000100002-cub","Multiplicación de propágulos infectivos HMA en una plantación de morera (Morus alba L.)","Pentón, Gertrudis, Oropesa, Katherine, Peñalver, P.L","Pastos y Forrajes; 36(1); 22-27","Pastos y Forrajes","Inglês, Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942013000100002&lang=pt" 
"S0864-03942013000100004-cub","Rendimiento de materia seca y otros componentes en Leucaena leucocephala cv. Cunningham con el uso del Liplant","Wencomo, Hilda B, Lugo, Yudith","Pastos y Forrajes; 36(1); 43-49","Pastos y Forrajes","Inglês, Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942013000100004&lang=pt" 
"S0864-03942013000100005-cub","Utilización de grano de sorgo y forraje de leñosas en la ceba porcina","Herrera, R, Pérez, A, Arece, J, Hernández, A, Iglesias, J. M","Pastos y Forrajes; 36(1); 56-63","Pastos y Forrajes","Inglês, Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942013000100005&lang=pt" 
"S0864-03942013000100006-cub","Comportamiento de ixódidos en diferentes genotipos de ganado mayor en silvopastoreo (Nota Técnica)","Hernández, Kirenia, Arece, J, Simón, L, Hernández, L, Valdés, O","Pastos y Forrajes; 36(1); 72-76","Pastos y Forrajes","Inglês, Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942013000100006&lang=pt" 
"S0864-03942013000100007-cub","Modelo de gestión estratégica para la toma de decisiones en entidades agropecuarias","Campos, Maybe, Suárez, J, Ojeda, R","Pastos y Forrajes; 36(1); 82-88","Pastos y Forrajes","Inglês, Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942013000100007&lang=pt" 
"S0864-03942013000100008-cub","Modelo de gestión estratégica para la toma de decisiones en entidades agropecuarias. Implementación en una UBPC del municipio Martí (Parte I)¹","Campos, Maybe, Suárez, J, Ojeda, R","Pastos y Forrajes; 36(1); 95-105","Pastos y Forrajes","Inglês, Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942013000100008&lang=pt" 
"S0864-03942013000100009-cub","El municipio como escenario protagónico de las actuales transformaciones agropecuarias en Cuba","Suset, A, Miranda, Taymer, Machado, Hilda, González, E, Nicado, O","Pastos y Forrajes; 36(1); 116-122","Pastos y Forrajes","Inglês, Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942013000100009&lang=pt" 
"S0864-03942013000100003-cub","Potencial biofertilizante de bacterias diazótrofas aisladas de muestras de suelo rizosférico","Moreno, Laura Y, Galvis, F","Pastos y Forrajes; 36(1); 33-37","Pastos y Forrajes","Inglês, Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942013000100003&lang=pt" 
"S1027-28522013000100001-cub","Biotecnología Aplicada: 30 years publishing science","Herrera Martínez, Luis","Biotecnología Aplicada; 30(1); II-II","Biotecnología Aplicada","Inglês","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1027-28522013000100001&lang=pt" 
"S1027-28522013000100002-cub","Excitotoxicity and neuronal death in epilepsy","Lorigados, Lourdes, Orozco, Sandra, Morales, Lilia, Estupiñán, Bárbara, García, Iván, Rocha, Luisa","Biotecnología Aplicada; 30(1); 9-16","Biotecnología Aplicada","Inglês","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1027-28522013000100002&lang=pt" 
"S1027-28522013000100003-cub","Molecular identification of thirteen isolates of Trichoderma spp. and evaluation of their pathogenicity towards Rhizoctonia solani Kühn","Infante, Danay, Martínez, Benedicto, Peteira, Belkis, Reyes, Yusimy, Herrera, Alfredo","Biotecnología Aplicada; 30(1); 23-28","Biotecnología Aplicada","Inglês","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1027-28522013000100003&lang=pt" 
"S1027-28522013000100004-cub","In vitro regeneration of soybean plants of the Cuban Incasoy-36 variety","Soto, Natacha, Ferreira, Aleines, Delgado, Celia, Enríquez, Gil A","Biotecnología Aplicada; 30(1); 34-38","Biotecnología Aplicada","Inglês","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1027-28522013000100004&lang=pt" 
"S1027-28522013000100005-cub","Molecular typing of Streptococcus suis from pigs in Cuba","Espinosa, Ivette, Báez, Michel, Corona, Belkis, Chong, Daine, Lobo, Evelyn, Martínez, Siomara","Biotecnología Aplicada; 30(1); 39-44","Biotecnología Aplicada","Inglês","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1027-28522013000100005&lang=pt" 
"S1027-28522013000100006-cub","Viral inactivation capacity of Melagenina(r) Plus during the storage step","Lobaina, Leonor I, Noa, Enrique, Hernández, Ana M, Dubed, Marta, Navea, Leonor M, Pérez, José R","Biotecnología Aplicada; 30(1); 51-56","Biotecnología Aplicada","Inglês","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1027-28522013000100006&lang=pt" 
"S1027-28522013000100007-cub","Replacement of serum supplemented medium for CB.Hep-1 hybridoma cell freezing and monoclonal antibody production","Aragón, Hasel, González, Marcos, Valdés, Rodolfo, Álvarez, Tatiana, Brown, Enma, Rodríguez, Yadira, González, Tatiana, Somoza, Regla, Wood, Mayra","Biotecnología Aplicada; 30(1); 57-62","Biotecnología Aplicada","Inglês","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1027-28522013000100007&lang=pt" 
"S1027-28522013000100008-cub","II International congress addressed to the integral care of diabetic foot ulcer patient with the use of Heberprot-P 2012: healthy doorways wide-open to the 2014 edition","Raíces, Manuel","Biotecnología Aplicada; 30(1); 63-64","Biotecnología Aplicada","Inglês","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1027-28522013000100008&lang=pt" 
"S0001-37652013000100103-scl","New turtle egg fossil from the Upper Cretaceous of the Laiyang Basin, Shandong Province, China","WANG, QIANG, WANG, XIAOLIN, ZHAO, ZIKUI, ZHANG, JIALIANG, JIANG, SHUNXING","Anais da Academia Brasileira de Ciências; 85(1); 103-111","Anais da Academia Brasileira de Ciências","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652013000100103&lang=pt" 
"S0001-37652013000100057-scl","Detrital carbonate sedimentation of the Rocas Atoll, South Atlantic","PEREIRA, NATAN S., MANSO, VALDIR A.V., MACEDO, RENÊ J.A., DIAS, JOÃO M.A., SILVA, ADRIANA M.C.","Anais da Academia Brasileira de Ciências; 85(1); 57-72","Anais da Academia Brasileira de Ciências","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652013000100057&lang=pt" 
"S0001-37652013000100271-scl","Immature stages of Spodoptera albula (Walker) (Lepidoptera: Noctuidae): Developmental parameters and host plants","MONTEZANO, DÉBORA G., SPECHT, ALEXANDRE, BORTOLIN, TARCISO M., FRONZA, EDEGAR, SOSA-GÓMEZ, DANIEL R., ROQUE-SPECHT, VÂNIA F., PEZZI, PATRÍCIA, LUZ, PRISCILA C., BARROS, NEIVA M.","Anais da Academia Brasileira de Ciências; 85(1); 271-284","Anais da Academia Brasileira de Ciências","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652013000100271&lang=pt" 
"S0103-05822013010600001-scl","Cuidados de proteção solar e prevenção de câncer de pele em pré-escolares","Trevisol, Fabiana Schuelter","Revista Paulista de Pediatria; 31(1); -","Revista Paulista de Pediatria","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822013010600001&lang=pt" 
"S1516-31802013000100003-scl","Internationalization of universities: the need to navigate in foreign waters","Mariani, Alessandro Wasum, Pêgo-Fernandes, Paulo Manuel, Samano, Marcos Naoyuki","Sao Paulo Medical Journal; 131(1); 3-4","Sao Paulo Medical Journal","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802013000100003&lang=pt" 
"S1516-31802013000100062-scl","The use of telemedicine with patients in clinical practice: the view of medical psychology","Filho, Décio Gilberto Natrielli, Natrielli, Décio Gilberto, Enokibara, Mailu","Sao Paulo Medical Journal; 131(1); 62-63","Sao Paulo Medical Journal","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802013000100062&lang=pt" 
"S1516-31802013000100066-scl","Interventions for primary (intrinsic) tracheomalacia in children","Goyal, Vikas, Masters, Brent I., Chang, Anne B.","Sao Paulo Medical Journal; 131(1); 66-66","Sao Paulo Medical Journal","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802013000100066&lang=pt" 
"S1516-31802013000100054-scl","Penile enlargement with methacrylate injection: is it safe?","Torricelli, Fabio Cesar Miranda, Andrade, Enrico Martins de, Marchini, Giovanni Scala, Lopes, Roberto Iglesias, Claro, Joaquim Francisco Almeida, Cury, Jose, Srougi, Miguel","Sao Paulo Medical Journal; 131(1); 54-58","Sao Paulo Medical Journal","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802013000100054&lang=pt" 
"S1516-31802013000100039-scl","Mapping of the evidence from systematic reviews of the Cochrane Collaboration for decision-making within physiotherapy","Versiani, Ane Helena Valle, Martimbianco, Ana Cabrera, Peccin, Maria Stella","Sao Paulo Medical Journal; 131(1); 39-45","Sao Paulo Medical Journal","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802013000100039&lang=pt" 
"S1516-31802013000100059-scl","Bacteremia due to Staphylococcus cohnii ssp. urealyticus caused by infected pressure ulcer: case report and review of the literature","Soldera, Jonathan, Nedel, Wagner Luis, Cardoso, Paulo Ricardo Cerveira, d&#039;Azevedo, Pedro Alves","Sao Paulo Medical Journal; 131(1); 59-61","Sao Paulo Medical Journal","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802013000100059&lang=pt" 
"S1516-31802013000100013-scl","Elderly outpatient profile and predictors of falls","Gomes, Grace Angélica de Oliveira, Cintra, Fernanda Aparecida, Batista, Fernanda Sotelo, Neri, Anita Liberalesso, Guariento, Maria Elena, Sousa, Maria da Luz Rosario de, D&#039;Elboux, Maria José","Sao Paulo Medical Journal; 131(1); 13-18","Sao Paulo Medical Journal","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802013000100013&lang=pt" 
"S1516-31802013000100064-scl","Indicators of mitochondrial disease","Kurt, Yasemin Gulcan, Cayci, Tuncer, Akgul, Emin Ozgur, Cakir, Erdinc","Sao Paulo Medical Journal; 131(1); 64-65","Sao Paulo Medical Journal","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802013000100064&lang=pt" 
"S1516-31802013000100067-scl","Surgery or embolization for varicoceles in subfertile men","Kroese, Anja C. J., Lange, Natascha M. de, Collins, John, Evers, Johannes L. H.","Sao Paulo Medical Journal; 131(1); 67-67","Sao Paulo Medical Journal","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802013000100067&lang=pt" 
"S1516-31802013000100005-scl","Flexible intramedullary nails with traction versus plaster cast for treating femoral shaft fractures in children: comparative retrospective study","Nascimento, Fabiano Prata do, Santili, Cláudio, Akkari, Miguel, Waisberg, Gilberto, Braga, Susana dos Reis, Fucs, Patrícia Maria Moraes de Barros","Sao Paulo Medical Journal; 131(1); 5-12","Sao Paulo Medical Journal","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802013000100005&lang=pt" 
"S1516-31802013000100027-scl","Risk factors for esophageal cancer in a low-incidence area of Brazil","Mota, Orlando Milhomem, Curado, Maria Paula, Oliveira, José Carlos, Martins, Edesio, Cardoso, Daniela Medeiros Milhomem","Sao Paulo Medical Journal; 131(1); 27-34","Sao Paulo Medical Journal","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802013000100027&lang=pt" 
"S0256-95742013000300001-sza","Our canine carers","Seggie, Janet","SAMJ: South African Medical Journal; 103(3); 128-129","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300001&lang=pt" 
"S0256-95742013000300002-sza","Cold comfort for NHI-wary GPs?","Saggie, Janet","SAMJ: South African Medical Journal; 103(3); 130-130","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300002&lang=pt" 
"S0256-95742013000300003-sza","Overmedicalising - again!","Schwellnus, Martin, Derman, Wayne","SAMJ: South African Medical Journal; 103(3); 131-132","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300003&lang=pt" 
"S0256-95742013000300004-sza","Underreporting child abuse deaths: Experiences from a national study on child homicide","Mathews, Shanaaz, Abrahams, Naeemah, Jewkes, Rachel, Martin, Lorna J","SAMJ: South African Medical Journal; 103(3); 132-133","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300004&lang=pt" 
"S0256-95742013000300005-sza","Underreporting child abuse deaths: Not all is rosy with PinkDrive","Apffelstaedt, Justus","SAMJ: South African Medical Journal; 103(3); 133-133","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300005&lang=pt" 
"S0256-95742013000300006-sza","One doctor&#039;s misfortune boosts TB treatment activism","Bateman, Chris","SAMJ: South African Medical Journal; 103(3); 134-136","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300006&lang=pt" 
"S0256-95742013000300007-sza","PinkDrive intervention &#039;over-rated&#039; - experts","Bateman, Chris","SAMJ: South African Medical Journal; 103(3); 136-137","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300007&lang=pt" 
"S0256-95742013000300008-sza","The PPP &#039;without the GP&#039; - a Western Cape story","Bateman, Chris","SAMJ: South African Medical Journal; 103(3); 137-139","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300008&lang=pt" 
"S0256-95742013000300009-sza","Provincial policy death-knell for iconic McCord Hospital?","Bateman, Chris","SAMJ: South African Medical Journal; 103(3); 140-142","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300009&lang=pt" 
"S0256-95742013000300010-sza","Edward John (Ed) Immelman","Dent, David M, Kahn, Delawir","SAMJ: South African Medical Journal; 103(3); 142-142","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300010&lang=pt" 
"S0256-95742013000300011-sza","John Emile Cosnett","Pudifin, D J","SAMJ: South African Medical Journal; 103(3); 142-142","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300011&lang=pt" 
"S0256-95742013000300012-sza","Common Medical Problems in the Tropics","Boyles, Tom","SAMJ: South African Medical Journal; 103(3); 143-143","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300012&lang=pt" 
"S0256-95742013000300013-sza","Rethinking Aging: Growing Old and Living Well in an Overtreated Society","van Niekerk, J P","SAMJ: South African Medical Journal; 103(3); 143-143","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300013&lang=pt" 
"S0256-95742013000300014-sza","Daily Drug Use","Parr, Guy","SAMJ: South African Medical Journal; 103(3); 143-143","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300014&lang=pt" 
"S0256-95742013000300018-sza","The pilgrim&#039;s prognosis - medical aspects of a camino","Caldwell, R-I","SAMJ: South African Medical Journal; 103(3); 152-153","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300018&lang=pt" 
"S0256-95742013000300019-sza","So many years ago","le Roex, R","SAMJ: South African Medical Journal; 103(3); 153-153","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300019&lang=pt" 
"S0256-95742013000300020-sza","The challenges of health disparities in South Africa","Benatar, S","SAMJ: South African Medical Journal; 103(3); 154-155","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300020&lang=pt" 
"S0256-95742013000300021-sza","National Health Insurance: The first 18 months","Matsoso, M P, Fryatt, R","SAMJ: South African Medical Journal; 103(3); 154-155","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300021&lang=pt" 
"S0256-95742013000300022-sza","Triaging children - keep it simple, swift and safe","Molyneux, E M","SAMJ: South African Medical Journal; 103(3); 158-159","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300022&lang=pt" 
"S0256-95742013000300023-sza","Acute asthma treatment guidelines: Reducing morbidity and mortality in South Africa","Zar, H J, Lalloo, U G","SAMJ: South African Medical Journal; 103(3); 159-160","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300023&lang=pt" 
"S0256-95742013000300024-sza","An adapted triage tool (ETAT) at Red Cross War Memorial Children&#039;s Hospital Medical Emergency Unit, Cape Town: An evaluation","Buys, H, Muloiwa, R, Westwood, C, Richardson, D, Cheema, B, Westwood, A","SAMJ: South African Medical Journal; 103(3); 161-165","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300024&lang=pt" 
"S0256-95742013000300025-sza","Is the golden hour optimally used in South Africa for children presenting with polytrauma?","Zuidgeest, J, Jonkheijm, A, van Dijk, M, van As, A","SAMJ: South African Medical Journal; 103(3); 166-167","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300025&lang=pt" 
"S0256-95742013000300026-sza","The Clostridium difficile problem: A South African tertiary institution&#039;s prospective perspective","Rajabally, N, Pentecost, M, Pretorius, G, Whitelaw, A, Mendelson, M, Watermeyer, G","SAMJ: South African Medical Journal; 103(3); 168-172","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300026&lang=pt" 
"S0256-95742013000300027-sza","Malaria control aimed at the entire population in KwaZulu-Natal negates the need for policies to prevent malaria in pregnancy","Tsoka-Gwegweni, J M, Kleinschmidt, I","SAMJ: South African Medical Journal; 103(3); 172-175","SAMJ: South African Medical Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742013000300027&lang=pt" 
