"S0101-73302012000100017-scl","Sobre algumas relações entre qualificação, trabalho docente e gênero","Durães, Sarah Jane Alves","Educação &amp; Sociedade; 33(118); 271-288","Educação &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302012000100017&lang=pt" 
"S0718-560X2012000100012-chl","Relative efficiency of square-mesh codends in an artisanal fishery in southern Brazil","Silva¹, Catarina N.S, Dias, José H, Cattani, André P, Spach, Henry L","Latin american journal of aquatic research; 40(1); 124-133","Latin american journal of aquatic research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100012&lang=pt" 
"S0718-560X2012000100013-chl","Territorial hypothesis predicts the trade-off between reproductive opportunities and parental care in three species of damselfishes (Pomacentridae: Actinopterygii)","Bessa, Eduardo, Sabino, José","Latin american journal of aquatic research; 40(1); 134-141","Latin american journal of aquatic research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100013&lang=pt" 
"S0718-560X2012000100014-chl","Asentamiento diario de megalopas de jaibas del género Cancer en un estuario micromareal","Pardo, Luis Miguel, Mora-Vásquez, Paulo, Garcés-Vargas, José","Latin american journal of aquatic research; 40(1); 142-152","Latin american journal of aquatic research","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100014&lang=pt" 
"S0718-560X2012000100015-chl","Medición de la concentración de sedimentos en suspensión mediante dispositivos ópticos y acústicos: aplicación en sistemas tropicales (Delta del río Mira, Colombia)","Restrepo, Juan Camilo, Pierini, Jorge Omar","Latin american journal of aquatic research; 40(1); 153-168","Latin american journal of aquatic research","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100015&lang=pt" 
"S0718-560X2012000100016-chl","Effect of alternative mediums on production and proximate composition of the microalgae Chaetoceros muelleri as food in culture of the copepod Acartia sp.","Martínez-Córdova, Luis R, Campaña-Torres, Alfredo, Martinez-Porchas, Marcel, López-Elías, José A, García-Sifuentes, Celia O","Latin american journal of aquatic research; 40(1); 169-176","Latin american journal of aquatic research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100016&lang=pt" 
"S0718-560X2012000100017-chl","Genetic population structure of two migratory freshwater fish species (Brycon orthotaenia and Prochilodus argenteus) from the São Francisco River in Brazil and its significance for conservation","Sanches, Alexandra, Galetti Jr., Pedro M, Galzerani, Felipe, Derazo, Janeth, Cutilak-Bianchi, Beatriz, Hatanaka, Terumi","Latin american journal of aquatic research; 40(1); 177-186","Latin american journal of aquatic research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100017&lang=pt" 
"S0718-560X2012000100018-chl","Evaluación y comparación de la eficiencia de dos sistemas de incubación de huevos de Genypterus chilensis (Guichenot, 1848)","Vega, Rolando, Pradenas, Miguel, Estrada, Juan Manuel, Ramírez, Diego, Valdebenito, Iván, Mardones, Alfonso, Dantagnan, Patricio, Alfaro, Denis, Encina, Francisco, Pichara, Cristian","Latin american journal of aquatic research; 40(1); 187-200","Latin american journal of aquatic research","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100018&lang=pt" 
"S0718-560X2012000100019-chl","Uncertain population dynamic and state variables of alfonsino (Beryx splendens)","Wiff, Rodrigo, Quiroz, Juan Carlos, Gatica, Claudio, Contreras, Francisco, Paramo, Jorge, Barrientos, Mauricio A","Latin american journal of aquatic research; 40(1); 201-212","Latin american journal of aquatic research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100019&lang=pt" 
"S0718-560X2012000100020-chl","Analysis of the re-colonization of San Benito Archipelago by Guadalupe fur seals (Arctocephalus townsendi)","Esperón-Rodríguez, Manuel, Gallo-Reynoso, Juan Pablo","Latin american journal of aquatic research; 40(1); 213-223","Latin american journal of aquatic research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100020&lang=pt" 
"S0718-560X2012000100021-chl","Ostrea puelchana (D&#039;Orbigny 1842): a new host of Tumidotheres maculatus (Say, 1818) in northern Patagonia, Argentina","Doldan, María del Socorro, Oehrens-Kissner, Erica M, Morsan, Enrique M, Zaidman, Paula C, Kroeck, Marina A","Latin american journal of aquatic research; 40(1); 224-228","Latin american journal of aquatic research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100021&lang=pt" 
"S0718-560X2012000100022-chl","New records of early life-stages of cephalopods in the Chiloé Interior Sea","Carrasco, Sergio A, Maltrain, Roberto, Villenas, Francisco, Vega, Marco A","Latin american journal of aquatic research; 40(1); 229-235","Latin american journal of aquatic research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100022&lang=pt" 
"S0718-560X2012000100023-chl","First record of Hydrolagus melanophasma James, Ebert, Long &amp; Didier, 2009 (Chondrichthyes, Chimaeriformes, Holocephali) from the southeastern Pacific Ocean","Bustamante, Carlos, Flores, Hernán, Concha-Pérez, Yhon, Vargas-Caro, Carolina, Lamilla, Julio, Bennett, Mike","Latin american journal of aquatic research; 40(1); 236-242","Latin american journal of aquatic research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100023&lang=pt" 
"S0718-560X2012000100024-chl","Production and performance of larvae and spat of pure and hybrid species of Mytilus chilensis and M. galloprovincialis from laboratory crosses","Toro, Jorge E, Oyarzún, Pablo A, Peñaloza, Carolina, Alcapán, Angélica, Videla, Viviana, Tillería, Jorge, Astorga, Marcela, Martínez, Víctor","Latin american journal of aquatic research; 40(1); 243-247","Latin american journal of aquatic research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100024&lang=pt" 
"S0718-560X2012000100025-chl","Dieta de Hatcheria macraei (Girard, 1855) (Teleostei, Siluriformes, Trichomycteridae) en el río Chubut, Argentina","Ferriz, Ricardo A","Latin american journal of aquatic research; 40(1); 248-252","Latin american journal of aquatic research","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100025&lang=pt" 
"S1806-11172012000100007-scl","Construção de um sistema de caracterização das propriedades de transporte de filmes finos pelo efeito Hall","Maurity, A.J.S, Lunas, F.R, Carvalho, C.L, Reynoso, V.C.S, Aquino, H.A. de","Revista Brasileira de Ensino de Física; 34(1); 1-8","Revista Brasileira de Ensino de Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172012000100007&lang=pt" 
"S1806-11172012000100005-scl","Impedance of rigid bodies in one-dimensional elastic collisions","Santos, Janilo, Oliveira, Bruna P.W. de, Nelson, Osman Rosso","Revista Brasileira de Ensino de Física; 34(1); -","Revista Brasileira de Ensino de Física","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172012000100005&lang=pt" 
"S1806-11172012000100004-scl","Cálculo da taxa de ionização por campo de um átomo próximo a uma superfície metálica: aplicação ao microscópio iônico de campo","Silva, Ariel Almeida Abreu, Andrade-Neto, A.V.","Revista Brasileira de Ensino de Física; 34(1); -","Revista Brasileira de Ensino de Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172012000100004&lang=pt" 
"S1806-11172012000100003-scl","Medindo a temperatura de um gás no regime de micro-Kelvin","Smaira, André de Freitas, Müller, Stella Torres, Magalhães, Daniel Varela, Bagnato, Vanderlei Salvador","Revista Brasileira de Ensino de Física; 34(1); -","Revista Brasileira de Ensino de Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172012000100003&lang=pt" 
"S1806-11172012000100002-scl","O universo estático de Einstein","Soares, Domingos","Revista Brasileira de Ensino de Física; 34(1); -","Revista Brasileira de Ensino de Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172012000100002&lang=pt" 
"S1806-11172012000100018-scl","O fragmentado e tortuoso processo de construção dos conceitos de vetor e escalar","Nelson, Osman Rosso, Carneiro Filho, Ranilson","Revista Brasileira de Ensino de Física; 34(1); 1-3","Revista Brasileira de Ensino de Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172012000100018&lang=pt" 
"S1806-11172012000100016-scl","Sobre a presença do Projeto Harvard no sistema educacional brasileiro","Pena, Fábio Luís Alves","Revista Brasileira de Ensino de Física; 34(1); -","Revista Brasileira de Ensino de Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172012000100016&lang=pt" 
"S1806-11172012000100015-scl","Observando o céu, quantificando as nuvens e praticando modelagem: um exercício de apoio ao aprendizado das ciências atmosféricas","Assireu, Arcilan Trevenzoli, Reboita, Michelle Simões, Corrêa, Marcelo de Paula","Revista Brasileira de Ensino de Física; 34(1); -","Revista Brasileira de Ensino de Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172012000100015&lang=pt" 
"S1806-11172012000100017-scl","Velocidade do som no ar e efeito Doppler em um único experimento","Lüdke, Everton, Cauduro, Paola Jardim, Vieira, Alisson Mazzorani, Adornes, Rosane Bohrer","Revista Brasileira de Ensino de Física; 34(1); -","Revista Brasileira de Ensino de Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172012000100017&lang=pt" 
"S0120-53072012000100014-col","La investigación: Un placebo para los que ven en ella un camino al reconocimiento","Lopera Valle, Johan Sebastián","Investigación y Educación en Enfermería; 30(1); 124-127","Investigación y Educación en Enfermería","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072012000100014&lang=pt" 
"S0120-53072012000100010-col","Vivencias de los estudiantes de pregrado con las asignaturas de administración de enfermería","Llapa-Rodríguez, Eliana Ofelia, Sirqueira Carvalho, Ticiana, Lisboa Gois, Cristiane Franca, d’Ávila Nery Guimarães, Alzira Maria","Investigación y Educación en Enfermería; 30(1); 86-94","Investigación y Educación en Enfermería","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072012000100010&lang=pt" 
"S0120-53072012000100011-col","Factores de riesgo para complicaciones del recién nacido grande para su edad gestacional","Ballesté López, Irka, Álvarez Vega, Aracelia Ramona, Alonso Uría, Rosa María, Campo González, Ana, Díaz Aguilar, Rosa, Amador Morán, Rafael","Investigación y Educación en Enfermería; 30(1); 95-100","Investigación y Educación en Enfermería","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072012000100011&lang=pt" 
"S0120-53072012000100012-col","As contribuições das representações sociais para a investigação em saúde e enfermagem","Araujo Martinez, Elena, de Souza, Sônia Regina, Romijn Tocantins, Florence","Investigación y Educación en Enfermería; 30(1); 101-107","Investigación y Educación en Enfermería","Português","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072012000100012&lang=pt" 
"S0120-53072012000100013-col","Los retos de la reespecificación curricular en autonomía universitaria: Aportes de la metateoría curricular neosistémica","Tapiero Vásquez, Elías","Investigación y Educación en Enfermería; 30(1); 108-123","Investigación y Educación en Enfermería","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072012000100013&lang=pt" 
"S0120-53072012000100009-col","Actitudes de los adolescentes escolarizados frente a la salud sexual y reproductiva. Medellín (Colombia)","Grajales Atehortúa, Isabel Cristina, Cardona Arango, Doris","Investigación y Educación en Enfermería; 30(1); 77-85","Investigación y Educación en Enfermería","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072012000100009&lang=pt" 
"S0120-53072012000100008-col","Conhecimentos, habilidades e atitudes sobre a gestão dos formados de enfermagem de uma universidade pública brasileira","de Almeida, Maria de Lourdes, Peres, Aida Maris","Investigación y Educación en Enfermería; 30(1); 66-76","Investigación y Educación en Enfermería","Português","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072012000100008&lang=pt" 
"S0120-53072012000100007-col","Soporte social con Tecnologías de la Información y la Comunicación a cuidadores: Una experiencia en Cartagena, Colombia","Flórez Torres, Inna Elida, Montalvo Prieto, Amparo, Romero Messa, Elizabeth","Investigación y Educación en Enfermería; 30(1); 55-65","Investigación y Educación en Enfermería","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072012000100007&lang=pt" 
"S0120-53072012000100006-col","Medidas de prevenção da transmissão vertical do HIV empregadas por mães de crianças o positivas","da Fonseca Leal, Aline, Roese, Adriana, de Sousa, Afra Suelene","Investigación y Educación en Enfermería; 30(1); 44-54","Investigación y Educación en Enfermería","Português","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072012000100006&lang=pt" 
"S0120-53072012000100005-col","Calidad de vida de pacientes con dependencia a heroína de un centro de atención de drogodependencias de Medellín (Colombia)","Tirado Otálvaro, Andrés Felipe, Álvarez Gómez, Matilde, Velásquez Tirado, Juan David, Lugo Agudelo, Luz Helena, Giraldo Ferrer, Luis Fernando, Suarez Bermúdez, Ana María, Wiedemann Rivera, Julieth","Investigación y Educación en Enfermería; 30(1); 35-43","Investigación y Educación en Enfermería","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072012000100005&lang=pt" 
"S0120-53072012000100004-col","Caracterización clínica y epidemiológica de los pacientes con infección del tracto urinario asociadas al cuidado de la salud","Arias Arango, Ángela María, Valderrama Maya, Mónica Patrícia, Parra Pérez, Doris Milena, Marín Zuluaga, Juan Ignacio, Mazo Monsalve, Luz María, Montoya Zapata, Claudia Patricia","Investigación y Educación en Enfermería; 30(1); 28-34","Investigación y Educación en Enfermería","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072012000100004&lang=pt" 
"S0120-53072012000100003-col","Factores asociados a la práctica correcta del autoexamen de mama en mujeres de Tunja (Colombia)","Manrique Abril, Fred Gustavo, Ospina Díaz, Juan Manuel, Vega Fuentes, Nancy Astrid, Morales Pacheco, Adriana Lisset, Herrera Amaya, Giomar","Investigación y Educación en Enfermería; 30(1); 18-27","Investigación y Educación en Enfermería","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072012000100003&lang=pt" 
"S0120-53072012000100002-col","Habilidades del cuidador primario de mujeres mastectomizadas","Ostiguín-Meléndez, Rosa María, Rivas-Herrera, José Cruz, Vallejo-Allende, Maite, Crespo-Knopfler, Silvia, Alvarado-Aguilar, Salvador","Investigación y Educación en Enfermería; 30(1); 9-17","Investigación y Educación en Enfermería","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072012000100002&lang=pt" 
"S0120-53072012000100001-col","Cuidarte: Una opción de vida","Mejía Lopera, María Eugenia","Investigación y Educación en Enfermería; 30(1); 7-8","Investigación y Educación en Enfermería","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072012000100001&lang=pt" 
"S0186-10422012000100001-mex","Editorial","López Herrera, Francisco, García Narváez, José Alberto","Contaduría y administración; 57(1); 5-12","Contaduría y administración","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-10422012000100001&lang=pt" 
"S0186-10422012000100010-mex","La restricción externa al crecimiento en México: 1988-2009","Rodríguez Benavides, Domingo, Venegas-Martínez, Francisco","Contaduría y administración; 57(1); 215-239","Contaduría y administración","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-10422012000100010&lang=pt" 
"S0186-10422012000100011-mex","Tres aproximaciones a la complejidad","Díaz Mata, Alfredo","Contaduría y administración; 57(1); 241-264","Contaduría y administración","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-10422012000100011&lang=pt" 
"S0186-10422012000100002-mex","Reemplazos de directivos en México: de la teoría a la práctica","Watkins Fassler, Karen, Dávila Delgado, Martín","Contaduría y administración; 57(1); 13-28","Contaduría y administración","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-10422012000100002&lang=pt" 
"S0186-10422012000100003-mex","Ranking and optimal selection of investments with internal rate of return and benefit-cost ratio: a revision","Vélez-Pareja, Ignacio","Contaduría y administración; 57(1); 29-51","Contaduría y administración","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-10422012000100003&lang=pt" 
"S0186-10422012000100004-mex","La responsabilidad social corporativa y el desempeño financiero: un análisis en empresas mexicanas que cotizan en la bolsa","Alonso-Almeida, María del Mar, Rodríguez García, Martha del Pilar, Cortez Alejandro, Klender Aimer, Abreu Quintero, José Luis","Contaduría y administración; 57(1); 53-77","Contaduría y administración","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-10422012000100004&lang=pt" 
"S0186-10422012000100005-mex","Un enfoque gerencial de factores críticos para el éxito de los sistemas de información en la Pyme metalmecánica venezolana","Calderón Amaya, José Luis, Rodríguez Monroy, Carlos","Contaduría y administración; 57(1); 79-102","Contaduría y administración","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-10422012000100005&lang=pt" 
"S0186-10422012000100006-mex","Desarrollo de pensamiento estratégico en la escuela de negocios","Corona Jiménez, Miguel Ángel","Contaduría y administración; 57(1); 103-122","Contaduría y administración","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-10422012000100006&lang=pt" 
"S0186-10422012000100007-mex","Modelo de competitividad de las empresas operadoras de telefonía móvil en México","Romo Vázquez, Hugo, Rivas Tovar, Luis Arturo","Contaduría y administración; 57(1); 123-148","Contaduría y administración","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-10422012000100007&lang=pt" 
"S0186-10422012000100008-mex","¿Qué es un competidor directo? Estudio para corroborar la percepción de competencia directa con base en tres factores","Vera Martínez, Jorge, Díaz Ruiz, Roberto","Contaduría y administración; 57(1); 149-184","Contaduría y administración","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-10422012000100008&lang=pt" 
"S0186-10422012000100009-mex","Relação entre materialismo e estilo de consumo: homens e mulheres com comportamento dispare?","Zampieri Grohmann, Márcia, Flores Battistella, Luciana, Beuron, Thiago Antonio, Aita Riss, Luciana, Carpes, Aletéia de Moura, Lutz, Carolina","Contaduría y administración; 57(1); 185-214","Contaduría y administración","Português","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-10422012000100009&lang=pt" 
"S0716-078X2012000100001-chl","Cytogenetics of Chilean angiosperms: Advances and prospects","JARA-SEGUEL, PEDRO, URRUTIA, JONATHAN","Revista chilena de historia natural; 85(1); 1-12","Revista chilena de historia natural","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2012000100001&lang=pt" 
"S0716-078X2012000100002-chl","Historia natural de un roedor raro del desierto argentino, Salinomys delicatus (Cricetidae: Sigmodontinae)","RODRÍGUEZ, DANIELA, LANZONE, CECILIA, CHILLO, VERÓNICA, CUELLO, PABLO A, ALBANESE, SOLEDAD, OJEDA, AGUSTINA A, OJEDA, RICARDO A","Revista chilena de historia natural; 85(1); 13-27","Revista chilena de historia natural","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2012000100002&lang=pt" 
"S0716-078X2012000100003-chl","Plasticity in feeding selectivity and trophic structure of kelp forest associated fishes from northern Chile","PÉREZ-MATUS, ALEJANDRO, PLEDGER, SHIRLEY, DÍAZ, FRANCISCO J, FERRY, LARA A, VÁSQUEZ, JULIO A","Revista chilena de historia natural; 85(1); 29-48","Revista chilena de historia natural","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2012000100003&lang=pt" 
"S0716-078X2012000100004-chl","The genus Basilichthys (Teleostei: Atherinopsidae) revisited along its Chilean distribution range (21° to 40° S) using variation in morphologyand mtDNA","VÉLIZ, DAVID, CATALÁN, LAURA, PARDO, RODRIGO, ACUÑA, PATRICIO, DÍAZ, ANGIE, POULIN, ELIE, VILA, IRMA","Revista chilena de historia natural; 85(1); 49-59","Revista chilena de historia natural","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2012000100004&lang=pt" 
"S0716-078X2012000100005-chl","Comunidad ectomicorrícica en una cronosecuencia de Pinus radiata (Pinophyta: Pinaceae) de la zona de transición climática mediterráneo-templada de Chile central","PALACIOS, YUSSI M, PALFNER, GÖTZ, HERNÁNDEZ, CRISTIÁN E","Revista chilena de historia natural; 85(1); 61-71","Revista chilena de historia natural","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2012000100005&lang=pt" 
"S0716-078X2012000100006-chl","Evaluación del paisaje visual en humedales del río Cruces, sitio Ramsar de Chile","MUÑOZ-PEDREROS, ANDRÉS, MONCADA-HERRERA, JUAN, GÓMEZ-CEA, LAURA","Revista chilena de historia natural; 85(1); 73-88","Revista chilena de historia natural","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2012000100006&lang=pt" 
"S0716-078X2012000100007-chl","Dispersión de semillas por aves en un paisaje de bosque mesófilo en el centro de Veracruz, México: Su papel en la restauración pasiva","HERNÁNDEZ-LADRÓN DE GUEVARA, IVETTE, ROJAS-SOTO, OCTAVIO R, LÓPEZ-BARRERA, FABIOLA, PUEBLA-OLIVARES, FERNANDO, DÍAZ-CASTELAZO, CECILIA","Revista chilena de historia natural; 85(1); 89-100","Revista chilena de historia natural","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2012000100007&lang=pt" 
"S0716-078X2012000100008-chl","The effect of heat and smoke on the emergence of exotic and native seedlings in a Mediterranean fire-free matorral of central Chile","FIGUEROA, JAVIER A, CAVIERES, LOHENGRIN A","Revista chilena de historia natural; 85(1); 101-111","Revista chilena de historia natural","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2012000100008&lang=pt" 
"S0716-078X2012000100009-chl","Mortality of the outbreak defoliator Ormiscodes amphimone (Lepidoptera: Saturniidae) caused by natural enemies in northwestern Patagonia, Argentina","PARITSIS, JUAN, QUINTERO, CAROLINA, KITZBERGER, THOMAS, VEBLEN, THOMAS T","Revista chilena de historia natural; 85(1); 113-122","Revista chilena de historia natural","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2012000100009&lang=pt" 
"S0716-078X2012000100010-chl","Trophic ecology of the chiton Acanthopleura echinata on Chilean rocky shores","CAMUS, PATRICIO A, NAVARRETE, ARTURO H, SANHUEZA, ÁLVARO G, OPAZO, L. FELIPE","Revista chilena de historia natural; 85(1); 123-135","Revista chilena de historia natural","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2012000100010&lang=pt" 
"S0716-078X2012000100011-chl","The Brahea edulis palm forest in Guadalupe Island: A North American fog oasis?","GARCILLÁN, PEDRO P, VEGA, ERNESTO, MARTORELL, CARLOS","Revista chilena de historia natural; 85(1); 137-145","Revista chilena de historia natural","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2012000100011&lang=pt" 
"S0716-078X2012000100012-chl","Infestación de Megastigmus aculeatus (Hymenoptera: Chalcidoidea) en las semillas de rosas exóticas invasoras de comunidades naturales de la Patagonia andina de Argentina","LEDIUK, KAREN D, DAMASCOS, MARÍA A, KUN, MARCELO E","Revista chilena de historia natural; 85(1); 147-154","Revista chilena de historia natural","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2012000100012&lang=pt" 
"S0365-66912012000300010-esp","Ilusiones ópticas arriba-abajo (s. XIX)","Barbón, J.J.","Archivos de la Sociedad Española de Oftalmología; 87(3); 97-98","Archivos de la Sociedad Española de Oftalmología","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912012000300010&lang=pt" 
"S2254-28842012000100011-esp","Hematoma renal en paciente monorreno","Basco Prado, Luis, Fariñas Rodríguez, Silvia","Enfermería Nefrológica; 15(1); 71-75","Enfermería Nefrológica","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842012000100011&lang=pt" 
"S0210-56912012000200012-esp","Plan piloto de formación en soporte vital y RCP en las escuelas","Cerdà, M., Chanovas Borras, M., Escalada Roig, X., Espuny Vidal, C.","Medicina Intensiva; 36(2); 158-159","Medicina Intensiva","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912012000200012&lang=pt" 
"S0365-66912012000300003-esp","Sarcoma granulocítico conjuntival en leucemia mieloblástica aguda M1","Méndez-Cepeda, P., Millán-Rodríguez, A.C., Dios, E., Álvarez, C., Sevillano, C.","Archivos de la Sociedad Española de Oftalmología; 87(3); 79-81","Archivos de la Sociedad Española de Oftalmología","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912012000300003&lang=pt" 
"S1517-83822012000100022-scl","Screening of actinomycetes from earthworm castings for their antimicrobial activity and industrial enzymes","Kumar, Vijay, Bharti, Alpana, Negi, Yogesh Kumar, Gusain, Omprakash, Pandey, Piyush, Bisht, Gajraj Singh","Brazilian Journal of Microbiology; 43(1); 205-214","Brazilian Journal of Microbiology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822012000100022&lang=pt" 
"S2254-28842012000100010-esp","Gestación en paciente con tratamiento renal sustitutivo","Castellano Carrón, Thais","Enfermería Nefrológica; 15(1); 67-70","Enfermería Nefrológica","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842012000100010&lang=pt" 
"S2254-28842012000100002-esp","¿Existe el síndrome de burnout en los profesionales de la salud de las unidades de hemodiálisis de la región de Murcia?","Fernández Guzmán, Isabel, Fernández Márquez, Mª Carmen, Rabadán Anta, Rafael, Navalón Vila, Conrado, Martínez Espejo, Mª Dolores","Enfermería Nefrológica; 15(1); 07-13","Enfermería Nefrológica","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842012000100002&lang=pt" 
"S0210-56912012000200001-esp","Vida después de la muerte: lecciones de fisiopatología de la lesión pulmonar con necropsias de pacientes con infección por H1N1","López-Alonso, I., Albaiceta, G.M.","Medicina Intensiva; 36(2); 67-68","Medicina Intensiva","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912012000200001&lang=pt" 
"S2254-28842012000100006-esp","Receptores de trasplante renal de donantes en asistolia y muerte cerebral: diferencias en los cuidados enfermeros","García Viana, Mª Concepción, Moral Sánchez, Silvia, Rodríguez Marcos, Raquel, Lope Andrea, Teresa, Ridao Cano, Natalia","Enfermería Nefrológica; 15(1); 40-45","Enfermería Nefrológica","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842012000100006&lang=pt" 
"S0210-56912012000200004-esp","Caídas desde grandes alturas en Pediatría: Epidemiología y evolución de 54 pacientes","Pérez-Suárez, E., Jiménez-García, R., Iglesias-Bouzas, M., Serrano, A., Porto-Abad, R., Casado-Flores, J.","Medicina Intensiva; 36(2); 89-94","Medicina Intensiva","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912012000200004&lang=pt" 
