"S0102-09352015000401039-scl","In vivo biocompatibility of nanostructured Chitosan/Peo membranes","Vulcani, V.A.S., Franzo, V.S., Rabelo, R.E., Rabbers, A.S., Assis, B.M., D&#039;Ávila, M.A., Antoni, S.M.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 67(4); 1039-1044","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352015000401039&lang=pt" 
"S1676-24442015000400212-scl","Relationship between the prevalence of hemoglobin S and the ethnic background of blood donors in Paraná state","Lidani, Kárita C. F., Barros, Rodrigo F., Bovo, Fernanda","Jornal Brasileiro de Patologia e Medicina Laboratorial; 51(4); 212-217","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442015000400212&lang=pt" 
"S1676-24442015000400240-scl","Publications generated from abstracts presented at the 28thCongresso Brasileiro de Patologia and the 28th Congreso de la Sociedad Latinoamericana de Patologia, in 2011","Paes, Alberto S., Teixeira, Thiago A. C. C., Tabosa, Gabriel V. S., Luna, Rafael M., Saraiva, Lorena do Socorro L.","Jornal Brasileiro de Patologia e Medicina Laboratorial; 51(4); 240-245","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442015000400240&lang=pt" 
"S1676-24442015000400246-scl","Relationship between the presence of liver metastases with histological grading, depth of invasion and nodal involvement in sporadic adenocarcinoma of the large intestine","Cambruzzi, Eduardo, Roman, Larissa R., Noschang, Andressa A., Pacheco, Fernanda B., Gassen, Luana R., Miranda, Luciana H., Pêgas, Karla Lais","Jornal Brasileiro de Patologia e Medicina Laboratorial; 51(4); 246-251","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442015000400246&lang=pt" 
"S1676-24442015000400252-scl","Ductal carcinoma of the breast: morphological aspects according to the age","Aquino, Ranniere G. F., Pinheiro, Luiz G. P., Ferreira, Márcia Valéria P., Cavalcante, Diane Isabelle M., Oliveira, Ayane Layne S., Gomes, Nádia N., Silva, Carlos Antonio B.","Jornal Brasileiro de Patologia e Medicina Laboratorial; 51(4); 252-257","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442015000400252&lang=pt" 
"S1678-77572015000400358-scl","Correlation between clinical performance and degree of conversion of resin cements: a literature review","DE SOUZA, Grace, BRAGA, Roberto Ruggiero, CESAR, Paulo Francisco, LOPES, Guilherme Carpena","Journal of Applied Oral Science; 23(4); 358-368","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000400358&lang=pt" 
"S1678-77572015000400397-scl","Evaluation of opening pattern and bone neoformation at median palatal suture area in patients submitted to surgically assisted rapid maxillary expansion (SARME) through cone beam computed tomography","SALGUEIRO, Daniel Gomes, RODRIGUES, Vitor Hugo Leite de Oliveira, TIEGHI NETO, Victor, MENEZES, Carolina Carmo de, GONÇALES, Eduardo Sanches, FERREIRA JÚNIOR, Osny","Journal of Applied Oral Science; 23(4); 397-404","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000400397&lang=pt" 
"S1678-77572015000400405-scl","Bioactivity, physical and chemical properties of MTA mixed with propylene glycol","NATU, Vaishali Prakash, DUBEY, Nileshkumar, LOKE, Gerald Choon Leong, TAN, Teng Seng, NG, Wee Hsuan, YONG, Chee Weng, CAO, Tong, ROSA, Vinicius","Journal of Applied Oral Science; 23(4); 405-411","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000400405&lang=pt" 
"S1678-77572015000400412-scl","Impact of brief exposure to antifungal agents on the post-antifungal effect and hemolysin activity of oral Candida albicans","ELLEPOLA, Arjuna Nishantha, KHAJAH, Rana, JAYATILAKE, Sumedha, SAMARANAYAKE, Lakshman, SHARMA, Prem, KHAN, Zia","Journal of Applied Oral Science; 23(4); 412-418","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000400412&lang=pt" 
"S1678-77572015000400424-scl","Motor, linguistic, personal and social aspects of children with Down syndrome","FERREIRA-VASQUES, Amanda Tragueta, LAMÔNICA, Dionísia Aparecida Cusin","Journal of Applied Oral Science; 23(4); 424-430","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000400424&lang=pt" 
"S1678-77572015000400431-scl","QMix® irrigant reduces lipopolysacharide (LPS) levels in an in vitro model","GRÜNDLING, Grasiela Longhi, MELO, Tiago André Fontoura de, MONTAGNER, Francisco, SCARPARO, Roberta Kochenborger, VIER-PELISSER, Fabiana Vieira","Journal of Applied Oral Science; 23(4); 431-435","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000400431&lang=pt" 
"S1678-77572015000400436-scl","Influence of antimicrobial solutions in the decontamination and adhesion of glass-fiber posts to root canals","HARAGUSHIKU, Gisele Aihara, BACK, Eduardo Donato Eing Engelke, TOMAZINHO, Paulo Henrique, BARATTO FILHO, Flares, FURUSE, Adilson Yoshio","Journal of Applied Oral Science; 23(4); 436-441","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000400436&lang=pt" 
"S1678-77572015000400442-scl","In situ carcinoma developed over oral lichen planus: a case report with analysis of BUB3, p16, p53, Ki67 and SOX4 expression","ROSA, Eduardo Augusto, LIA, Erica Negrini, MACEDO, Sergio Bruzadelli, AMORIM, Rivadavio Fernandes Batista de","Journal of Applied Oral Science; 23(4); 442-447","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000400442&lang=pt" 
"S0100-39842015000400018-scl","Glomus tumor: revitalizing concepts","Fabro, Maurício, Fabro, Sara Raquel Madalosso, Klitzke, Bárbara Blaese, Araújo, Gustavo Lopes de, Machado, César Augusto","Radiologia Brasileira; 48(4); 269-270","Radiologia Brasileira","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842015000400018&lang=pt" 
"S0100-39842015000400002-scl","18F-fluoride PET/CT in clinical practice","Ramos, Celso Darío","Radiologia Brasileira; 48(4); VII-VIII","Radiologia Brasileira","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842015000400002&lang=pt" 
"S0186-03482015000200011-mex","El medio ambiente como sistema socioambiental: Reflexiones en torno a la relación humanos-naturaleza","Jiménez Marce, Rogelio","Secuencia; (92); 236-240","Secuencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-03482015000200011&lang=pt" 
"S0186-03482015000200009-mex","Trabajadores, espacio urbano y sociabilidad en la ciudad de México, 1790-1867","Terán Fuentes, Mariana","Secuencia; (92); 226-230","Secuencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-03482015000200009&lang=pt" 
"S0186-03482015000200010-mex","Cultura y política del anarquismo en España e Iberoamérica","Murgueitio Manrique, Carlos Alberto","Secuencia; (92); 230-236","Secuencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-03482015000200010&lang=pt" 
"S1519-69842015000400685-scl","Contents of constituents and antioxidant activity of seed and pulp extracts of Annona coriacea and Annona sylvatica","Benites, RSR., Formagio, ASN., Argandoña, EJS., Volobuff, CRF., Trevizan, LNF., Vieira, MC., Silva, MS.","Brazilian Journal of Biology; 75(3); 685-691","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400685&lang=pt" 
"S1519-69842015000400587-scl","Functional diversity and functional traits of periphytic algae during a short-term successional process in a Neotropical floodplain lake","Dunck, B, Rodrigues, L, Bicudo, DC","Brazilian Journal of Biology; 75(3); 587-597","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400587&lang=pt" 
"S1519-69842015000400598-scl","Does the habitat structure control the distribution and diversity of the Odonatofauna?","Souza, AM, Fogaça, FNO, Cunico, AM, Higuti, J","Brazilian Journal of Biology; 75(3); 598-606","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400598&lang=pt" 
"S1413-35552015000400257-scl","Interval and continuous exercise enhances aerobic capacity and hemodynamic function in CHF rats","Nunes, Ramiro B., Alves, Jadson P., Kessler, Luíza P., Dornelles, André Z., Stefani, Giuseppe P., Lago, Pedro D.","Brazilian Journal of Physical Therapy; 19(4); 257-263","Brazilian Journal of Physical Therapy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552015000400257&lang=pt" 
"S1413-35552015000400251-scl","The role of sensitization in musculoskeletal shoulder pain","Borstad, John, Woeste, Christopher","Brazilian Journal of Physical Therapy; 19(4); 251-257","Brazilian Journal of Physical Therapy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552015000400251&lang=pt" 
"S1519-69842015000400558-scl","Cultivation of marine shrimp in biofloc technology (BFT) system under different water alkalinities","Piérri, V, Valter-Severino, D, Goulart-de-Oliveira, K, Manoel-do-Espírito-Santo, C, Nascimento-Vieira, F, Quadros-Seiffert, W","Brazilian Journal of Biology; 75(3); 558-564","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400558&lang=pt" 
"S1519-69842015000400703-scl","The effects of rainfall and vegetation on litterfall production in the semiarid region of northeastern Brazil","Lopes, MCA, Araújo, VFP, Vasconcellos, A","Brazilian Journal of Biology; 75(3); 703-708","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400703&lang=pt" 
"S1519-69842015000400541-scl","Growth of Paecilomyces variotii in B0 (diesel), B100 (biodiesel) and B7 (blend), degradation and molecular detection","Gassen, J, Bento, FM, Frazzon, APG, Ferrão, MF, Marroni, IV, Simonetti, AB","Brazilian Journal of Biology; 75(3); 541-547","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400541&lang=pt" 
"S1519-69842015000400679-scl","Climate change effects on the geographic distribution of specialist tree species of the Brazilian tropical dry forests","Rodrigues, PMS, Silva, JO, Eisenlohr, PV, Schaefer, CEGR","Brazilian Journal of Biology; 75(3); 679-684","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400679&lang=pt" 
"S1519-69842015000400574-scl","Variations of Salminus hilarii diet (Ostariophysi, Characidae): seasonal and ontogenetic effects","Villares Junior, GA, Goitein, R","Brazilian Journal of Biology; 75(3); 574-580","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400574&lang=pt" 
"S1413-23112015000200300-scl","ANÁLISE DO COMPORTAMENTO ECOLÓGICO DE ESTUDANTES DE ADMINISTRAÇÃO","Sousa Filho, José Milton de, Coimbra, Danielle Batista, Mesquita, Rafael Fernandes de, Luna, Roger Augusto","REAd. Revista Eletrônica de Administração (Porto Alegre); 21(2); 300-319","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112015000200300&lang=pt" 
"S1413-35552015000400286-scl","Physiotherapy: a historical analysis of the transformation from an occupation to a profession in Brazil","Oliveira, Ana L. O., Nunes, Everardo D.","Brazilian Journal of Physical Therapy; 19(4); 286-293","Brazilian Journal of Physical Therapy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552015000400286&lang=pt" 
"S1413-23112015000200491-scl","A PARTICIPAÇÃO DAS DISCIPLINAS DA ÁREA DE ADMINISTRAÇÃO NOS CURRÍCULOS DOS CURSOS DE BACHARELADO EM GESTÃO AMBIENTAL BRASILEIROS","Leandro, Luiz Alberto de Lima, Zago, Camila Avozani","REAd. Revista Eletrônica de Administração (Porto Alegre); 21(2); 491-514","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112015000200491&lang=pt" 
"S1413-23112015000200320-scl","EFEITO JANEIRO NAS AÇÕES E ADRS DE EMPRESAS BRASILEIRAS APÓS O INÍCIO DA TRIBUTAÇÃO DE GANHOS DE CAPITAL","Potin, Silas Adolfo, Potin, Samuel, Cunha, Claudio Marcio Pereira da, Bortolon, Patricia Maria","REAd. Revista Eletrônica de Administração (Porto Alegre); 21(2); 320-347","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112015000200320&lang=pt" 
"S1413-35552015000400294-scl","Evidence-Based Practice: a survey regarding behavior, knowledge, skills, resources, opinions and perceived barriers of Brazilian physical therapists from São Paulo state","Silva, Tatiane M., Costa, Lucíola C. M., Costa, Leonardo O. P.","Brazilian Journal of Physical Therapy; 19(4); 294-303","Brazilian Journal of Physical Therapy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552015000400294&lang=pt" 
"S1519-69842015000400581-scl","Jaguar (Panthera onca Linnaeus, 1758) roadkill in Brazilian Atlantic Forest and implications for species conservation","Srbek-Araujo, AC, Mendes, SL, Chiarello, AG","Brazilian Journal of Biology; 75(3); 581-586","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400581&lang=pt" 
"S1519-69842015000400643-scl","Gastrointestinal parasites of maned wolf (Chrysocyon brachyurus, Illiger 1815) in a suburban area in southeastern Brazil","Massara, RL, Paschoal, AMO, Chiarello, AG","Brazilian Journal of Biology; 75(3); 643-649","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400643&lang=pt" 
"S1413-23112015000200348-scl","APICULTURA E RESPONSABILIDADE SOCIAL: DESAFIOS DA PRODUÇÃO E DIFICULDADES EM ADOTAR PRÁTICAS SOCIAL E AMBIENTALMENTE RESPONSÁVEIS","Balbino, Valdir Antonio, Binotto, Erlaine, Siqueira, Elisabete Stradiotto","REAd. Revista Eletrônica de Administração (Porto Alegre); 21(2); 348-377","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112015000200348&lang=pt" 
"S1519-69842015000400655-scl","Jaw musculature of Cyclarhis gujanensis (Aves: Vireonidae)","Previatto, DM., Posso, SR.","Brazilian Journal of Biology; 75(3); 655-661","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400655&lang=pt" 
"S1519-69842015000400650-scl","Differences in the feeding of Rhamdia quelen (Siluriformes, Heptapteridae) in four distinct lotic systems","Villares Junior, GA, Goitein, R","Brazilian Journal of Biology; 75(3); 650-654","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400650&lang=pt" 
"S1519-69842015000400662-scl","Sperm cryopreservation of lane snapper Lutjanus synagris(Linnaeus, 1758)","Sanches, EG, Oliveira, IR, Serralheiro, PCS, Cerqueira, VR","Brazilian Journal of Biology; 75(3); 662-669","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400662&lang=pt" 
"S1519-69842015000400670-scl","Multidimensional assessment of sustainability extractivism of mangrove oyster Crassostrea spp. in the estuary of Cananéia, São Paulo, Brazil","Machado, IC, Fagundes, L, Henriques, MB","Brazilian Journal of Biology; 75(3); 670-678","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400670&lang=pt" 
"S1413-35552015000400264-scl","Effects of nephrectomy on respiratory function and quality of life of living donors: a longitudinal study","Moraes, Karen, Paisani, Denise M., Pacheco, Nathália C. T., Chiavegato, Luciana D.","Brazilian Journal of Physical Therapy; 19(4); 264-270","Brazilian Journal of Physical Therapy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552015000400264&lang=pt" 
"S1519-69842015000400607-scl","Eutrophication potential of lakes: an integrated analysis of trophic state, morphometry, land occupation, and land use","Silvino, RF, Barbosa, FAR","Brazilian Journal of Biology; 75(3); 607-615","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400607&lang=pt" 
"S1413-35552015000400279-scl","Reliability of new software in measuring cervical multifidus diameters and shoulder muscle strength in a synchronized way; an ultrasonographic study","Rahnama, Leila, Rezasoltani, Asghar, Khalkhali-Zavieh, Minoo, Rahnama, Behnam, Noori-Kochi, Farhang","Brazilian Journal of Physical Therapy; 19(4); 279-285","Brazilian Journal of Physical Therapy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552015000400279&lang=pt" 
"S1413-35552015000400271-scl","Influence of obstructive sleep apnea syndrome in the fluctuation of the submaximal isometric torque of knee extensors in patients with early-grade osteoarthritis","Silva, Andressa, Mello, Marco T., Serrão, Paula R., Luz, Roberta P., Bittencourt, Lia R., Mattiello, Stela M.","Brazilian Journal of Physical Therapy; 19(4); 271-278","Brazilian Journal of Physical Therapy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552015000400271&lang=pt" 
"S1413-23112015000200515-scl","UM ESTUDO SOBRE OS FATORES ORGANIZACIONAIS QUE INFLUENCIAM A GESTÃO DE PORTFÓLIO DE PROJETOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO","Larieira, Cláudio Luís Carvalho, Albertin, Alberto Luiz","REAd. Revista Eletrônica de Administração (Porto Alegre); 21(2); 515-547","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112015000200515&lang=pt" 
"S1519-69842015000400638-scl","First record of Hysterothylacium sp. Moravec, Kohn et Fernandes, 1993 larvae (Nematoda: Anisakidae) infecting the ornamental fish Hyphessobrycon eques Steindachner, 1882 (Characiformes, Characidae)","Acosta, AA, Silva, RJ","Brazilian Journal of Biology; 75(3); 638-642","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400638&lang=pt" 
"S1519-69842015000400752-scl","Angiogenic activity of latex from Euphorbia tirucalliLinnaeus 1753 (Plantae, Euphorbiaceae)","Bessa, G, Melo-Reis, PR, Araújo, LA, Mrué, F, Freitas, GB, Brandão, ML, Silva Júnior, NJ","Brazilian Journal of Biology; 75(3); 752-758","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400752&lang=pt" 
"S1519-69842015000400759-scl","Reduced expression of exocytotic proteins caused by anti-cholinesterase pesticides in Brachionus calyciflorus (Rotifera: Monogononta)","Pérez-Legaspi, IA, Rico-Martínez, R, Quintanar, JL","Brazilian Journal of Biology; 75(3); 759-765","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400759&lang=pt" 
"S1519-69842015000400692-scl","Reproductive features of the swimming crab Callinectes danae(Crustacea, Portunoidea) on the subtropical coast of Brazil: a sampling outside the estuary","Andrade, LS, Antunes, M, Lima, PA, Furlan, M, Frameschi, IF, Fransozo, A","Brazilian Journal of Biology; 75(3); 692-702","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400692&lang=pt" 
"S1413-23112015000200462-scl","IMPLANTAÇÃO DE PROCESSO ELETRÔNICO NO SISTEMA JUDICIÁRIO: UM ESTUDO SOBRE APRENDIZAGEM ORGANIZACIONAL EM UMA SECRETARIA DE GESTÃO DE PESSOAS","Capaverde, Caroline Bastos, Vazquez, Ana Cláudia de Souza","REAd. Revista Eletrônica de Administração (Porto Alegre); 21(2); 462-490","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112015000200462&lang=pt" 
"S1519-69842015000400736-scl","Community ecology of the metazoan parasites of Brazilian sardinella, Sardinella brasiliensis (Steindachner, 1879) (Actinopterygii: Clupeidae) from the coastal zone of the State of Rio de Janeiro, Brazil","Moreira, J, Paschoal, F, Cezar, AD, Luque, JL","Brazilian Journal of Biology; 75(3); 736-741","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400736&lang=pt" 
"S1519-69842015000400726-scl","Feather mites (Acari, Astigmata) associated with birds in an Atlantic Forest fragment in Northeastern Brazil","Silva, HM, Hernandes, FA, Pichorim, M","Brazilian Journal of Biology; 75(3); 726-735","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400726&lang=pt" 
"S1519-69842015000400718-scl","Axillary bud and pericycle involved in the thickening process of the rhizophore nodes in Smilax species","Appezzato-da-Glória, B, Silva, JM, Soares, MKM, Soares, AN, Martins, AR","Brazilian Journal of Biology; 75(3); 718-725","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400718&lang=pt" 
"S1413-35552015000400320-scl","Usage evaluation of the Physiotherapy Evidence Database (PEDro) among Brazilian physical therapists","Elkins, Mark R., Moseley, Anne M., Pinto, Rafael Z.","Brazilian Journal of Physical Therapy; 19(4); 320-328","Brazilian Journal of Physical Therapy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552015000400320&lang=pt" 
"S1519-69842015000400709-scl","Vegetation coverage in hydrographic basins in the central region of the State of São Paulo, Brazil","Bertini, MA, Fushita, AT, Lima, MIS","Brazilian Journal of Biology; 75(3); 709-717","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400709&lang=pt" 
"S1413-35552015000400311-scl","Moderating effect of the environment in the relationship between mobility and school participation in children and adolescents with cerebral palsy","Furtado, Sheyla R. C., Sampaio, Rosana F., Kirkwood, Renata N., Vaz, Daniela V., Mancini, Marisa C.","Brazilian Journal of Physical Therapy; 19(4); 311-319","Brazilian Journal of Physical Therapy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552015000400311&lang=pt" 
"S1519-69842015000400511-scl","Plant zonation in a tropical irregular estuary: can large occurrence zones be explained by a tradeoff model?","Ribeiro, JPN, Matsumoto, RS, Takao, LK, Lima, MIS","Brazilian Journal of Biology; 75(3); 511-516","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400511&lang=pt" 
"S1413-35552015000400304-scl","Joint positioning sense, perceived force level and two-point discrimination tests of young and active elderly adults","Franco, Priscila G., Santos, Karini B., Rodacki, André L. F.","Brazilian Journal of Physical Therapy; 19(4); 304-310","Brazilian Journal of Physical Therapy","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-35552015000400304&lang=pt" 
"S1519-69842015000400535-scl","Evaluation of injuries caused by anthropic action in snakes from Brazil","Gouveia, RV, Neto-Silva, DA, Sousa, BM, Novelli, IA","Brazilian Journal of Biology; 75(3); 535-540","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400535&lang=pt" 
"S1519-69842015000400742-scl","Bird assemblage mist-netted in an Atlantic Forest area: a comparison between vertically-mobile and ground-level nets","Vecchi, MB, Alves, MAS","Brazilian Journal of Biology; 75(3); 742-751","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400742&lang=pt" 
"S1519-69842015000400628-scl","Morphofunctional changes of phytoplankton community during pluvial anomaly in a tropical reservoir","Câmara, FRA, Rocha, O, Pessoa, EKR, Chellappa, S, Chellappa, NT","Brazilian Journal of Biology; 75(3); 628-637","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400628&lang=pt" 
"S1413-23112015000200269-scl","A CAPACIDADE INOVATIVA E O DESEMPENHO ECONÔMICO-FINANCEIRO DE EMPRESAS INOVADORAS BRASILEIRAS","Miranda, Kléber Formiga, Vasconcelos, Alessandra Carvalho de, Luca, Márcia Martins Mendes de, Cabral, José Ednilson de Oliveira","REAd. Revista Eletrônica de Administração (Porto Alegre); 21(2); 269-299","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112015000200269&lang=pt" 
"S1519-69842015000400524-scl","The hyporheic zone and its functions: revision and research status in Neotropical regions","Mugnai, R, Messana, G, Di Lorenzo, T","Brazilian Journal of Biology; 75(3); 524-534","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400524&lang=pt" 
"S1413-23112015000200437-scl","VIESES NA SATISFAÇÃO: O EFEITO MODERADOR DA DIFICULDADE E DA OBRIGAÇÃO SOBRE RECORDAÇÕES POSITIVAS E NEGATIVAS","Viacava, Juan José Camou, Mantovani, Danielle, Korelo, Jose Carlos, Prado, Paulo Henrique Muller","REAd. Revista Eletrônica de Administração (Porto Alegre); 21(2); 437-461","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112015000200437&lang=pt" 
"S1413-23112015000200406-scl","TRÊS DÉCADAS DE PESQUISA EM EMPREENDEDORISMO: UMA REVISÃO DOS PRINCIPAIS PERIÓDICOS INTERNACIONAIS DE EMPREENDEDORISMO","Ferreira, Manuel Portugal Vasconcelos, Pinto, Cláudia Frias, Miranda, Rui Mourato","REAd. Revista Eletrônica de Administração (Porto Alegre); 21(2); 406-436","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112015000200406&lang=pt" 
"S1519-69842015000400616-scl","Phytoplankton composition of the Itaparica and Xingó reservoirs, São Francisco River, Brazil","Aragão-Tavares, NKC, Severiano, JS, Moura, AN","Brazilian Journal of Biology; 75(3); 616-627","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400616&lang=pt" 
"S1413-23112015000200378-scl","PERCEPÇÃO DOS GESTORES EM RELAÇÃO AO PRINCÍPIO DA CONTROLABILIDADE PARA O ALCANCE DA JUSTIÇA ORGANIZACIONAL","Beuren, Ilse Maria, Amaro, Hugo Dias, Silva, Pedro Ylunga Costa da","REAd. Revista Eletrônica de Administração (Porto Alegre); 21(2); 378-405","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112015000200378&lang=pt" 
