"S0103-84782012000900010-scl","Índices topográficos aplicados à modelagem agrícola e ambiental","Minella, Jean Paolo Gomes, Merten, Gustavo Henrique","Ciência Rural; 42(9); 1575-1582","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000900010&lang=pt" 
"S1983-14472012000300005-scl","Conhecimento da equipe de enfermagem sobre higiene oral em pacientes criticamente enfermos","Orlandini, Gabrielli Mottes, Lazzari, Carmen Maria","Revista Gaúcha de Enfermagem; 33(3); 34-41","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300005&lang=pt" 
"S1983-14472012000300006-scl","Consulta de enfermagem ambulatorial e diagnósticos de enfermagem relacionados a características demográficas e clínicas","Franzen, Elenara, Scain, Suzana Fiore, Záchia, Suzana A, Schmidt, Maria Luiza, Rabin, Eliane G., Rosa, Ninon Girardon da, Menegon, Dóris B., Santos, Luciana Batista dos, Heldt, Elizeth","Revista Gaúcha de Enfermagem; 33(3); 42-51","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300006&lang=pt" 
"S1983-14472012000300007-scl","Consulta de enfermagem no ambulatório de HIV/AIDS: a percepção dos usuários","Macêdo, Simara Moreira de, Sena, Márcia Cristina dos Santos, Miranda, Karla Corrêa Lima","Revista Gaúcha de Enfermagem; 33(3); 52-57","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300007&lang=pt" 
"S1983-14472012000300008-scl","Crianças que vivem com AIDS e suas experiências com o uso de antirretrovirais","Kuyava, Joel, Pedro, Eva Neri Rubim, Botene, Daisy Zanchi de Abreu","Revista Gaúcha de Enfermagem; 33(3); 58-64","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300008&lang=pt" 
"S1983-14472012000300009-scl","Cuidado ao adolescente na atenção básica: necessidades dos usuários e sua relação com o serviço","Marques, Juliana Freitas, Queiroz, Maria Veraci Oliveira","Revista Gaúcha de Enfermagem; 33(3); 65-72","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300009&lang=pt" 
"S1983-14472012000300010-scl","Facilidades e dificuldades da família no cuidado à criança com paralisia cerebral","Dantas, Meryeli Santos de Araújo, Pontes, Jaqueline Fernandes, Assis, Wesley Dantas de, Collet, Neusa","Revista Gaúcha de Enfermagem; 33(3); 73-80","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300010&lang=pt" 
"S1983-14472012000300011-scl","Gestação na adolescência: descrição e análise da assistência recebida","Caminha, Náira de Oliveira, Freitas, Lydia Vieira, Lima, Thaís Marques, Gomes, Linicarla Fabíole de Souza, Herculano, Marta Maria Soares, Damasceno, Ana Kelve de Castro","Revista Gaúcha de Enfermagem; 33(3); 81-88","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300011&lang=pt" 
"S1983-14472012000300012-scl","Infecções relacionadas à assistência em saúde e gravidade clínica em uma unidade de terapia intensiva","Oliveira, Adriana Cristina, Paula, Adriana Oliveira, Iquiapaza, Robert Aldo, Lacerda, Ana Clara de Souza","Revista Gaúcha de Enfermagem; 33(3); 89-96","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300012&lang=pt" 
"S1983-14472012000300013-scl","Influências das relações intrafamiliares no comportamento de crianças que frequentam creches públicas de alfenas","Esteves, Michelly Rodrigues, Carrijo, Geisiane Karla, Andrade, Maria Betânia Tinti de, Santos, Lana Ermelinda da Silva dos, Ferriani, Maria das Graças Carvalho","Revista Gaúcha de Enfermagem; 33(3); 97-103","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300013&lang=pt" 
"S1983-14472012000300014-scl","Internação domiciliar do paciente terminal: o olhar do cuidador familiar","Oliveira, Stefanie Griebeler, Quintana, Alberto Manuel, Denardin-Budó, Maria de Lourdes, Moraes, Natália de Andrade de, Lüdtke, Manoela Fonseca, Cassel, Paula Argemi","Revista Gaúcha de Enfermagem; 33(3); 104-110","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300014&lang=pt" 
"S1983-14472012000300015-scl","O cotidiano dos pais de crianças com câncer e hospitalizadas","Duarte, Maria de Lourdes Custódio, Zanini, Lisiane Nunes, Nedel, Maria Noemia Birck","Revista Gaúcha de Enfermagem; 33(3); 111-118","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300015&lang=pt" 
"S1983-14472012000300016-scl","Percepção das pessoas com lesão medular sobre a sua condição","Borges, Ana Maria Fernandes, Brignol, Paula, Schoeller, Soraia Dornelles, Bonetti, Albertina","Revista Gaúcha de Enfermagem; 33(3); 119-125","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300016&lang=pt" 
"S1983-14472012000300017-scl","Prevalência e motivos de remoção não eletiva do cateter central de inserção periférica em neonatos","Costa, Priscila, Kimura, Amélia Fumiko, Vizzotto, Mirella de Pádua Souza, Castro, Talita Elci de, West, Andresa, Dorea, Eny","Revista Gaúcha de Enfermagem; 33(3); 126-133","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300017&lang=pt" 
"S1983-14472012000300018-scl","Processo de trabalho dos agentes comunitários de saúde: possibilidades e limites","Costa, Marta Cocco da, Silva, Ethel Bastos da, Jahn, Alice do Carmo, Resta, Darielli Gindri, Colom, Isabel Cristina dos Santos, Carli, Rafaela de","Revista Gaúcha de Enfermagem; 33(3); 134-140","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300018&lang=pt" 
"S1983-14472012000300019-scl","Repercussões da Lei Maria da Penha no enfrentamento da violência doméstica em Porto Alegre","Alves, Elisângela da Silva, Oliveira, Dora Lúcia Leidens Corrêa de, Maffacciolli, Rosana","Revista Gaúcha de Enfermagem; 33(3); 141-147","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300019&lang=pt" 
"S1983-14472012000300021-scl","Riscos da interação droga-nutriente em idosos de instituição de longa permanência","Peixoto, Jessica Sereno, Salci, Maria Aparecida, Radovanovic, Cremilde Aparecida Trindade, Salci, Tania Pereira, Torres, Maricy Morbin, Carreira, Lígia","Revista Gaúcha de Enfermagem; 33(3); 156-164","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300021&lang=pt" 
"S1983-14472012000300022-scl","Sintomas de estresse em trabalhadoras de enfermagem de uma unidade de pronto socorro","Seleghim, Maycon Rogério, Mombelli, Mônica Augusta, Oliveira, Magda Lúcia Félix de, Waidman, Maria Angélica Pagliarini, Marcon, Sonia Silva","Revista Gaúcha de Enfermagem; 33(3); 165-173","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300022&lang=pt" 
"S1983-14472012000300023-scl","Sistematização da assistência de enfermagem na perspectiva dos enfermeiros: uma abordagem metodológica na teoria fundamentada","Medeiros, Ana Lúcia de, Santos, Sérgio Ribeiro dos, Cabral, Rômulo Wanderley de Lima","Revista Gaúcha de Enfermagem; 33(3); 174-181","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300023&lang=pt" 
"S1983-14472012000300024-scl","Curativos para tratamento de feridas operatórias abdominais: uma revisão sistemática","Silva, Carolina Giordani, Crossetti, Maria da Graça Oliveira","Revista Gaúcha de Enfermagem; 33(3); 182-189","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300024&lang=pt" 
"S1679-62252012000300009-scl","Parodon orinocensis (Bonilla et al., 1999) (Characiformes: Parodontidae): emendations and generic reallocation","Ingenito, Leonardo F. S, Pavanelli, Carla S., Provenzano, Francisco","Neotropical Ichthyology; 10(3); 561-566","Neotropical Ichthyology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252012000300009&lang=pt" 
"S1679-39512012000300017-scl","O catador de materiais recicláveis: um agente ambiental","Ferraz, Lucimare, Gomes, Mara Helena de Andrea, Busato, Maria Assunta","Cadernos EBAPE.BR; 10(3); 763-768","Cadernos EBAPE.BR","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512012000300017&lang=pt" 
"S1679-39512012000300004-scl","Desenvolvimento sustentável na Rio+20: discursos, avanços, retrocessos e novas perspectivas","Guimarães, Roberto, Fontoura, Yuna","Cadernos EBAPE.BR; 10(3); 508-532","Cadernos EBAPE.BR","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512012000300004&lang=pt" 
"S1679-39512012000300007-scl","Por uma crítica ao conceito de desenvolvimento sustentável","Vizeu, Fabio, Meneghetti, Francis Kanashiro, Seifert, Rene Eugenio","Cadernos EBAPE.BR; 10(3); 569-583","Cadernos EBAPE.BR","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512012000300007&lang=pt" 
"S1679-39512012000300009-scl","Tecnologias sociais: as organizações não governamentais no enfrentamento das mudanças climáticas e na promoção de desenvolvimento humano","Ventura, Andréa Cardoso, Fernandez García, Luz, Andrade, José Célio Silveira","Cadernos EBAPE.BR; 10(3); 605-629","Cadernos EBAPE.BR","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512012000300009&lang=pt" 
"S1679-39512012000300010-scl","Inovação e sustentabilidade na produção de energia: o caso do sistema setorial de energia eólica no Brasil","Nascimento, Thiago Cavalcante, Mendonça, Andréa Torres Barros Batinga de, Cunha, Sieglinde Kindl da","Cadernos EBAPE.BR; 10(3); 630-651","Cadernos EBAPE.BR","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512012000300010&lang=pt" 
"S1679-39512012000300011-scl","Inovação ambientalmente sustentável e fatores de sucesso na percepção de gestores da indústria de transformação","Medeiros, Janine Fleith de, Ribeiro, José Luis Duarte, Cruz, Cassiana Maris Lima","Cadernos EBAPE.BR; 10(3); 652-676","Cadernos EBAPE.BR","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512012000300011&lang=pt" 
"S1679-39512012000300013-scl","Quadro institucional para o desenvolvimento sustentável: o papel dos países em desenvolvimento com base na análise crítica do discurso da Rio+20","Melo, Paulo Thiago Nunes Bezerra de, Salles, Helena Kuerten de, van Bellen, Hans Michael","Cadernos EBAPE.BR; 10(3); 701-720","Cadernos EBAPE.BR","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512012000300013&lang=pt" 
"S1679-39512012000300014-scl","Governança ambiental global: atores e cenários","Lorenzetti, Julia Vaz, Carrion, Rosinha Machado","Cadernos EBAPE.BR; 10(3); 721-735","Cadernos EBAPE.BR","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512012000300014&lang=pt" 
"S0101-28002012000300010-scl","Identificando fatores de risco para desenvolvimento de Doença Renal Crônica entre escolares","Naghettini, Alessandra Vitorino, Salgado, Cláudia Maria, Freitas, Jonathan Santana, Salgado, Luciana M. R.","Jornal Brasileiro de Nefrologia; 34(3); 278-282","Jornal Brasileiro de Nefrologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002012000300010&lang=pt" 
"S0101-28002012000300014-scl","Letramento em saúde: importância da avaliação em nefrologia","Santos, Luanda T. M., Mansur, Henrique Novais, Paiva, Tatiane F. P. de Souza, Colugnati, Fernando A. B., Bastos, Marcus Gomes","Jornal Brasileiro de Nefrologia; 34(3); 293-302","Jornal Brasileiro de Nefrologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002012000300014&lang=pt" 
"S1980-65742012000300001-scl","Efeito da aplicação de vibração mecânica sobre a impulsão vertical","Couto, Bruno Pena, Costa, Guilherme Augusto Silva da, Barbosa, Marcos Pinotti, Chagas, Mauro Heleno, Szmuchrowski, Leszek Antoni","Motriz: Revista de Educação Física; 18(3); 414-422","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000300001&lang=pt" 
"S1980-65742012000300002-scl","Consumo de oxigênio e índice de esforço percebido em diferentes ritmos de execução na hidroginástica","Alberton, Cristine Lima, Rothman, Claudia Renata Cardoso, Pinto, Stephanie Santana, Coertjens, Marcelo, Kruel, Luiz Fernando Martins","Motriz: Revista de Educação Física; 18(3); 423-431","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000300002&lang=pt" 
"S1980-65742012000300003-scl","Influência da obesidade e da força de preensão palmar no equilíbrio postural estático de idosas ativas","Carneiro, José Ailton Oliveira, Almeida, Daniel Salvini, Vilaça, Karla Helena Coelho, Pfrimer, Karina, Santos-Pontelli, Taiza Elaine Grespan, Carneiro, Antonio Adilton Oliveira, Colafêmina, José Fernando, Ferriolli, Eduardo","Motriz: Revista de Educação Física; 18(3); 432-440","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000300003&lang=pt" 
"S1980-65742012000300004-scl","Desempenho dos membros inferiores após reconstrução do ligamento cruzado anterior","Marchetti, Paulo Henrique, Bucchianico, Eduardo Garcia, Amore, Tatiane, Nardi, Priscyla Silva Monteiro, Gali, Júlio Cesar, Uchida, Marco Carlos","Motriz: Revista de Educação Física; 18(3); 441-448","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000300004&lang=pt" 
"S1980-65742012000300005-scl","Instrução verbal: solicitar foco de atenção não garante sua adoção e melhor desempenho","Ried, Bettina, Fugita, Meico, Freudenheim, Andrea Michele, Basso, Luciano, Corrêa, Umberto César","Motriz: Revista de Educação Física; 18(3); 449-455","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000300005&lang=pt" 
"S1980-65742012000300006-scl","Análise da reprodutibilidade de parâmetros no domínio da frequência do sinal EMG utilizados na caracterização da fadiga muscular localizada","Silva, Cristiano Rocha da, Geres, Beatriz Sanches, Kuriki, Heloyse Uliam, Negrão Filho, Rúben de Faria, Alves, Neri, Azevedo, Fábio Mícolis de","Motriz: Revista de Educação Física; 18(3); 456-464","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000300006&lang=pt" 
"S1980-65742012000300007-scl","Habitus e prática da dança: uma análise sociológica","Silva, Silvana dos Santos, Medeiros, Cristina Carta Cardoso de, Marchi Júnior, Wanderley","Motriz: Revista de Educação Física; 18(3); 465-475","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000300007&lang=pt" 
"S1980-65742012000300009-scl","O exercício físico influencia a postura corporal de idosas?","Porto, Flávia, Espinosa, Gabriel, Vivian, Renata Calvi, Itaborahy, Alex da Silva, Montenegro, Rafael Ayres, Farinatti, Paulo de Tarso Veras, Gurgel, Jonas Lirio","Motriz: Revista de Educação Física; 18(3); 487-494","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000300009&lang=pt" 
"S1980-65742012000300010-scl","Efeitos do conhecimento de resultados autocontrolado na aprendizagem motora","Ferreira, Gabriela Moara, Albuquerque, Maicon Rodrigues, Ambrósio, Natália Fontes Alves, Bruzi, Alessandro Teodoro, Palhares, Leandro Ribeiro","Motriz: Revista de Educação Física; 18(3); 495-504","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000300010&lang=pt" 
"S1980-65742012000300011-scl","Sistema GaitGrabber na captação de dados cinemáticos durante a marcha","Kirkwood, Renata Noce, Resende, Renan Alves, Kirkwood, Scott Alexander, Oliveira, Felipe Cândido Gonçalves de, Vallone, Márcia Luciane Drumond das Chagas e","Motriz: Revista de Educação Física; 18(3); 505-514","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000300011&lang=pt" 
"S1980-65742012000300013-scl","O treinamento de força com e sem o uso da plataforma vibratória é capaz de modular a variabilidade da frequência cardíaca em repouso?","Urso, Rodrigo Poles, Okuno, Nilo Massaru, Batista, Mauro Alexandre Benites, Tricoli, Valmor, Kiss, Maria Augusta Peduti Dal&#039;Molin, Bertuzzi, Rômulo","Motriz: Revista de Educação Física; 18(3); 526-532","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000300013&lang=pt" 
"S1980-65742012000300014-scl","Rompendo fronteiras na Educação Física através dos videogames com interação corporal","Finco, Mateus David, Fraga, Alex Branco","Motriz: Revista de Educação Física; 18(3); 533-541","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000300014&lang=pt" 
"S1980-65742012000300015-scl","Propostas curriculares Estaduais para Educação Física: uma análise do binômio intencionalidade-avaliação","Tenório, Kadja Michele Ramos, Bezerra, Brígida Batista, Souza Júnior, Marcílio, Gomes-da-Silva, Pierre Normando, Melo, Marcelo Soares Tavares de","Motriz: Revista de Educação Física; 18(3); 542-556","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000300015&lang=pt" 
"S1980-65742012000300016-scl","A ambientalização dos currículos de Educação Física no ensino superior","Rodrigues, Cae","Motriz: Revista de Educação Física; 18(3); 557-570","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000300016&lang=pt" 
"S1980-65742012000300018-scl","Estratégias de capacitação de professores do ensino fundamental em atividade física e alimentação saudável","Sousa, Arilson Fernandes Mendonça de, Nogueira, Júlia Aparecida Devidé, Rezende, Alexandre Luiz Gonçalves de","Motriz: Revista de Educação Física; 18(3); 581-589","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000300018&lang=pt" 
"S1980-65742012000300019-scl","A lipofobia nos discursos de mulheres praticantes de exercício físico","Teixeira, Fábio Luís Santos, Freitas, Clara Maria Silvestre Monteiro de, Caminha, Iraquitan de Oliveira","Motriz: Revista de Educação Física; 18(3); 590-601","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000300019&lang=pt" 
"S1980-65742012000300020-scl","Efeitos da informação comportamental na dinâmica intrínseca do controle postural","Perotti Junior, Alaércio, Barela, José Angelo, Polastri, Paula Favaro, Tani, Go","Motriz: Revista de Educação Física; 18(3); 602-614","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000300020&lang=pt" 
"S1980-65742012000300021-scl","Educação Física e registro profissional","Silva, Carlos Alberto Figueiredo da","Motriz: Revista de Educação Física; 18(3); 615-626","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000300021&lang=pt" 
"S1679-62252012000300001-scl","Phylogenetic diagnosis and expanded description of the genus Mazarunia Kullander, 1990 (Teleostei: Cichlidae) from the upper Mazaruni River, Guyana, with description of two new species","López-Fernández, Hernán, Taphorn, Donald C., Liverpool, Elford A.","Neotropical Ichthyology; 10(3); 465-486","Neotropical Ichthyology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252012000300001&lang=pt" 
"S1679-62252012000300003-scl","Review of the andean armored catfishes of the genus Dolichancistrus Isbrücker (Siluriformes: Loricariidae)","Ballen, Gustavo A., Vari, Richard P.","Neotropical Ichthyology; 10(3); 499-518","Neotropical Ichthyology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252012000300003&lang=pt" 
"S1679-62252012000300017-scl","Space partitioning among damselfishes in the Caribbean coast of Panama: the role of habitat preferences","Chaves, Laís de Carvalho Teixeira, Ormond, Carlos Gustavo A, McGinty, Elizabeth S., Ferreira, Beatrice Padovani","Neotropical Ichthyology; 10(3); 633-642","Neotropical Ichthyology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252012000300017&lang=pt" 
"S1679-62252012000300018-scl","Effects of abiotic variables on the distribution of fish assemblages in streams with different anthropogenic activities in southern Brazil","Daga, Vanessa Salete, Gubiani, Éder André, Cunico, Almir Manoel, Baumgartner, Gilmar","Neotropical Ichthyology; 10(3); 643-652","Neotropical Ichthyology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252012000300018&lang=pt" 
"S1679-62252012000300022-scl","Changes in ichthyofauna composition along a gradient from clearwaters to blackwaters in coastal streams of Atlantic forest (southeastern Brazil) in relation to environmental variables","Gonçalves, Cristina da Silva, Braga, Francisco Manoel de Souza","Neotropical Ichthyology; 10(3); 675-684","Neotropical Ichthyology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252012000300022&lang=pt" 
"S1679-62252012000300014-scl","Gonadal steroids levels and vitellogenesis in the formation of oocytes in Prochilodus lineatus (Valenciennes) (Teleostei: Characiformes)","Hainfellner, Patrick, Souza, Thiago Gonçalves de, Moreira, Renata Guimarães, Nakaghi, Laura Satiko Okada, Batlouni, Sergio Ricardo","Neotropical Ichthyology; 10(3); 601-612","Neotropical Ichthyology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252012000300014&lang=pt" 
"S1679-62252012000300011-scl","DNA fragmentation and membrane damage of bocachico Prochilodus magdalenae (Ostariophysi: Prochilodontidae) sperm following cryopreservation with dimethylsulfoxide and glucose","Martínez, José Gregorio, García, Víctor Atencio, Carrasco, Sandra Pardo","Neotropical Ichthyology; 10(3); 577-586","Neotropical Ichthyology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252012000300011&lang=pt" 
"S1679-62252012000300019-scl","Parasitism by argulids (Crustacea: Branchiura) in piranhas (Osteichthyes: Serrasalmidae) captured in the Caiçara bays, upper Paraguay River, Pantanal, Mato Grosso state, Brazil","Fontana, Márcio, Takemoto, Ricardo Massato, Malta, José Celso de Oliveira, Mateus, Lúcia Aparecida de Fátima","Neotropical Ichthyology; 10(3); 653-659","Neotropical Ichthyology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252012000300019&lang=pt" 
"S1679-62252012000300015-scl","Biochemical and genetic alterations in the freshwater neotropical fish Prochilodus lineatus after acute exposure to Microcystis aeruginosa","Garcia, Cylene Zambrozi, Martinez, Claudia B. R.","Neotropical Ichthyology; 10(3); 613-622","Neotropical Ichthyology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252012000300015&lang=pt" 
"S1679-39512012000300003-scl","&quot;Rio +20: what we can learn from the process and what is missing&quot;","Oliveira, Jose A. Puppim de","Cadernos EBAPE.BR; 10(3); 492-507","Cadernos EBAPE.BR","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512012000300003&lang=pt" 
"S1679-39512012000300015-scl","Do economicismo à dialogicidade: as contribuições do paradigma da ecologia profunda e da noção de gestão social para a temática da sustentabilidade empresarial","Justen, Carlos Eduardo, Moretto Neto, Luís","Cadernos EBAPE.BR; 10(3); 736-750","Cadernos EBAPE.BR","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512012000300015&lang=pt" 
"S1980-65742012000300012-scl","Efeitos de um programa de exercícios no desempenho de crianças nos testes de flexibilidade e impulsão vertical","Coledam, Diogo Henrique Constantino, Arruda, Gustavo Aires de, Oliveira, Arli Ramos de","Motriz: Revista de Educação Física; 18(3); 515-525","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000300012&lang=pt" 
"S0366-69132012000300019-scl","Seleção de eletrodos para caracterização elétrica de Y-BaCeO3 contendo ZnO como aditivo de sinterização","Hosken, C. M., Souza, D. P. F. de","Cerâmica; 58(347); 400-403","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300019&lang=pt" 
"S0366-69132012000300009-scl","Thermal characterization of archaeological pot sherds recently excavated in Nedunkur, Tamilnadu, India","Meyvel, S., Sathya, P., Velraj, G.","Cerâmica; 58(347); 338-341","Cerâmica","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300009&lang=pt" 
"S0366-69132012000300008-scl","Correlation between the green-like coloration and the structural and electronic properties of celadon glazes (I)","Hidaka, M., Takeuchi, K., Wijesundera, R. P., Kumara, L. S. R., Watanabe, M., Choi, Jae-Young, Sung, Nark Eon","Cerâmica; 58(347); 328-337","Cerâmica","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300008&lang=pt" 
"S0366-69132012000300006-scl","Effects of temperature and concentration of La in the form of A1 transverse optical phonon in the PbTiO3 system","Joya, M. R., Barba-O, J. J., Pizani, P. S.","Cerâmica; 58(347); 313-316","Cerâmica","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300006&lang=pt" 
"S0366-69132012000300015-scl","Physical chemistry research of a concrete dam with over 50 years of operation","Portella, K. F., Joukoski, A., Swinka Filho, V., Soares, M. A., Ferreira, E. S.","Cerâmica; 58(347); 374-380","Cerâmica","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300015&lang=pt" 
"S0366-69132012000300014-scl","Efeito da adição de alumina nas propriedades físicas e mecânicas do β-fosfato tricálcico","Rodrigues, P. L., Almeida, F. S. de, Motisuke, M., Sousa, E. de","Cerâmica; 58(347); 368-373","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300014&lang=pt" 
"S0366-69132012000300017-scl","Caracterização físico-mecânica de compósitos porosos de hidroxiapatita-titânia confeccionados pelo método da esponja polimérica","Galdino, A. G. S., Zavaglia, C. A. C.","Cerâmica; 58(347); 388-392","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300017&lang=pt" 
"S0101-73302012000300001-scl","","","Educação &amp; Sociedade; 33(120); 683-686","Educação &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302012000300001&lang=pt" 
"S0101-73302012000300010-scl","Educação especial no Brasil: desigualdades e desafios no reconhecimento da diversidade","Kassar, Mônica Carvalho Magalhães","Educação &amp; Sociedade; 33(120); 833-849","Educação &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302012000300010&lang=pt" 
"S0101-73302012000300015-scl","O que há de novo nas disputas curriculares?","Favacho, André Picanço","Educação &amp; Sociedade; 33(120); 929-932","Educação &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302012000300015&lang=pt" 
