"S1657-92672013000300017-col","Análisis psicosocial del consumo de alcohol en adolescentes mexicanos","Villarreal González, María Elena, Sánchez Sosa, Juan Carlos, Musitu Ochoa, Gonzalo","Universitas Psychologica; 12(3); 857-873","Universitas Psychologica","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-92672013000300017&lang=pt" 
"S1886-58872013000300010-esp","Por un sistema nacional de salud de acceso universal (Dos declaraciones a favor de una sanidad de acceso universal: Col·legi Oficial de Metges de Barcelona y Comitè de Bioètica de Catalunya)","Terés Quiles, Josep","Revista de Bioética y Derecho; (29); 89-95","Revista de Bioética y Derecho","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1886-58872013000300010&lang=pt" 
"S1886-58872013000300013-esp","Problemas legales de los sistemas de notificación de incidentes: ¿Qué opinan los profesionales sanitarios?","Obón Azuara, Blanca, Gutiérrez Cía, Isabel","Revista de Bioética y Derecho; (29); 122-135","Revista de Bioética y Derecho","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1886-58872013000300013&lang=pt" 
"S1886-58872013000300005-esp","O aborto no anteprojeto do novo código penal brasileiro: reflexões jurídicas e bioéticas","Bruschi Silva, Carolina, Diniz, Nilza Maria, Lovato Neto, Renato","Revista de Bioética y Derecho; (29); 35-50","Revista de Bioética y Derecho","Português","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1886-58872013000300005&lang=pt" 
"S1886-58872013000300011-esp","La sostenibilitat del sistema sanitari: les preguntes que no hem volgut fer","Martorell, Victòria","Revista de Bioética y Derecho; (29); 96-108","Revista de Bioética y Derecho","Ca","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1886-58872013000300011&lang=pt" 
"S1886-58872013000300009-esp","","Siqueira, José Eduardo de","Revista de Bioética y Derecho; (29); 77-88","Revista de Bioética y Derecho","Português","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1886-58872013000300009&lang=pt" 
"S1886-58872013000300008-esp","¿Médicos con fronteras?: Justicia global y emigración del personal sanitario","Lora, Pablo de","Revista de Bioética y Derecho; (29); 68-76","Revista de Bioética y Derecho","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1886-58872013000300008&lang=pt" 
"S0798-40652013000300005-ven","Estudio de la cinética de agregación de asfaltenos de crudos furrial y cerro negro mediante dispersión de luz","Caballero, Valentina, Castillo, Jimmy, Ranaudo, María, Gutiérrez, Héctor","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 28(3); 47-53","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652013000300005&lang=pt" 
"S0798-40652013000300007-ven","La concentración de jugos de fruta: Aspectos básicos de los procesos sin y con membrana","Ávila-de Hernández, Rita, Bullón-Torrealba, Johnny","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 28(3); 65-75","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652013000300007&lang=pt" 
"S0798-40652013000300006-ven","Estudio experimental de un sistema de refrigeración de pequeña capacidad que utiliza R-600a como gas refrigerante","Álvarez Brito, Rafael S, López de Ramos, Aura L","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 28(3); 55-64","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652013000300006&lang=pt" 
"S0798-40652013000300001-ven","27 Aniversario de la Revista de la Facultad de Ingeniería","","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 28(3); 06-06","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652013000300001&lang=pt" 
"S0798-40652013000300002-ven","Jerarquización de proyectos de ingeniería para el sector público bajo el enfoque de análisis multicriterio basado en los métodos PROMETHÉE","Hernández, Elvis, Rocco S, Claudio","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 28(3); 07-19","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652013000300002&lang=pt" 
"S0798-40652013000300004-ven","Lineamientos para un programa de reducción del riesgo sísmico en Venezuela","López, Oscar A","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 28(3); 29-46","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652013000300004&lang=pt" 
"S0798-40652013000300003-ven","Bioabsorción de Pb (II) Y Cr (III) usando la planta acuática Pistia stratioides","Meza Pérez, Marelis, Marín, Julio César, Behling Quintero, Elisabeth, Colina Andrade, Gilberto, Rincón Lizardo, Nancy, Polo, Cristian Arturo","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 28(3); 19-27","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652013000300003&lang=pt" 
"S0798-40652013000300009-ven","Comportamiento microestructural del acero AISI 1045 endurecido en frío y traccionado","Fernández Columbié, Tomás, Fernández Guilarte, Esther, Rodríguez González, Isnel, Alcántara Borges, Dayanis, Castillo Matos, Ramón","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 28(3); 91-96","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652013000300009&lang=pt" 
"S0798-40652013000300008-ven","Corrosividad de una aleación Ti6Al4V sometida a diferentes tratamientos superficiales","Camero, Sonia, Olimpio, Franlis, Romero, Dubravka, Syárez, Maribel","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 28(3); 77-90","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652013000300008&lang=pt" 
"S0798-40652013000300010-ven","Characterization of poly L-Lactide/Hydroxyapatite composite: Chemical, thermal and thermomechanical properties","Albano, Carmen, González, Gema, Palacios, Jordana, Karam, Arquímedes, Castillo, Reina Verónica, Covis, María","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 28(3); 97-107","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Inglês","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652013000300010&lang=pt" 
"S1886-58872013000300001-esp","1993-2013: Hacer de la bioética un asunto (proyecto) de todos","","Revista de Bioética y Derecho; (29); 1-2","Revista de Bioética y Derecho","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1886-58872013000300001&lang=pt" 
"S0798-40652013000300011-ven","Síntesis y caracterización de carburos de vanadio, molibdeno y níquel a partir de gas licuado de petróleo como fuente de carbono","Pinto-Castilla, Susana, Castro, Gustavo, Betancourt, Paulino, Brito, Joaquín L","Revista de la Facultad de Ingeniería Universidad Central de Venezuela; 28(3); 109-117","Revista de la Facultad de Ingeniería Universidad Central de Venezuela","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-40652013000300011&lang=pt" 
"S2071-081X2013000100008-bol","EL REGISTRO DE NUESTRA ÉPOCA","HEREDIA POMA, JAVIER","Fides et Ratio - Revista de Difusión cultural y científica de la Universidad La Salle en Bolivia; 6(6); 67-71","Fides et Ratio - Revista de Difusión cultural y científica de la Universidad La Salle en Bolivia","Espanhol","2013","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2071-081X2013000100008&lang=pt" 
"S2071-081X2013000100006-bol","VERIFICAR COMPETENCIAS MEDIANTE LA GENERACIÓN DE INVESTIGACIÓN BASADA EN ACTIVIDADES","ZAMBRANA CAMBEROS, ALEJANDRO MIGUEL","Fides et Ratio - Revista de Difusión cultural y científica de la Universidad La Salle en Bolivia; 6(6); 45-50","Fides et Ratio - Revista de Difusión cultural y científica de la Universidad La Salle en Bolivia","Espanhol","2013","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2071-081X2013000100006&lang=pt" 
"S2071-081X2013000100007-bol","EL MARCOLOGICO COMO UNA RESPUESTA A TRES PROBLEMAS","ARENAS, MIGUEL","Fides et Ratio - Revista de Difusión cultural y científica de la Universidad La Salle en Bolivia; 6(6); 51-66","Fides et Ratio - Revista de Difusión cultural y científica de la Universidad La Salle en Bolivia","Espanhol","2013","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2071-081X2013000100007&lang=pt" 
"S0717-97072013000300021-chl","SOLVENT-FREE C-ALKYLATION OF BARBITURIC ACID IN THE NANOCRYSTALLINE MORDENITE MEDIA","IMANZADEH, GHOLAMHASSAN, KABIRI, SAEED, TAGHAVI, SAEED, ZAMANLOO, MOHAMMADREZA, MANSOORI, YAGOUB","Journal of the Chilean Chemical Society; 58(3); 1888-1891","Journal of the Chilean Chemical Society","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072013000300021&lang=pt" 
"S0717-97072013000300002-chl","MODELING THE RELATIONSHIPS BETWEEN MOLECULAR STRUCTURE AND INHIBITION OF VIRUS-INDUCED CYTOPHATIC EFFECTS: ANTI-HIV-1 AND ANTI-H1N1 (INFLUENZA A) ACTIVITIES AS EXAMPLES","ALARCON, DIEGO A, GATICA-DÍAZ, FERNANDO, GÓMEZ-JERIA, JUAN S","Journal of the Chilean Chemical Society; 58(3); 1805-1813","Journal of the Chilean Chemical Society","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072013000300002&lang=pt" 
"S0717-75182013000300014-chl","Edulcorantes no nutritivos, riesgos, apetito y ganancia de peso","Durán A, Samuel, Cordón A, Karla, Rodríguez N, María del Pilar","Revista chilena de nutrición; 40(3); 309-314","Revista chilena de nutrición","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182013000300014&lang=pt" 
"S0717-97072013000300025-chl","KINETIC SPECTROPHOTOMETRY METHOD FOR THE DETERMINATION OF MORPHINE, NALBUPHINE AND NALTREXONE DRUGS IN BULK AND PHARMACEUTICAL FORMULATIONS","EL-DIDAMONY, AKRAM M, SAAD, MONIR Z, SALEEM, NORA O","Journal of the Chilean Chemical Society; 58(3); 1907-1913","Journal of the Chilean Chemical Society","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072013000300025&lang=pt" 
"S0001-60022013000300008-cri","Evento cerebrovascular isquémico en el adulto joven","Leandro-Sandí, Verónica, Barboza-Elizondo, Miguel, Vindas-Angulo, Gustavo","Acta Médica Costarricense; 55(3); 143-146","Acta Médica Costarricense","Espanhol","2013","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0001-60022013000300008&lang=pt" 
"S0717-97072013000300003-chl","PRELIMINARY ANTIPROLIFERATIVE EVALUATION OF NATURAL,-SYNTHETIC BENZALDEHYDES AND BENZYL ALCOHOLS","MADRID, ALEJANDRO, ESPINOZA, LUIS, CATALÁN, KAREN, GONZALEZ, CESAR, MONTENEGRO, IVÁN, MELLADO, MARCO, WERNER, ENRIQUE, CUELLAR, MAURICIO, VILLENA, JOAN","Journal of the Chilean Chemical Society; 58(3); 1814-1816","Journal of the Chilean Chemical Society","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072013000300003&lang=pt" 
"S0717-97072013000300008-chl","RAMAN SPECTROSCOPY AND X-RAY FLUORESCENCE IN MOLECULAR ANALYSIS OF YELLOW BLOCKS FROM THE ARCHEOLOGICAL SITE PLAYA MILLER 7 (NORTHERN CHILE)","SEPÚLVEDA, M, GUTIERREZ, S, CAMPOS-VALLETTE, M, CLAVIJO, E, WALTER, P, CÁRCAMO, J.J.","Journal of the Chilean Chemical Society; 58(3); 1836-1839","Journal of the Chilean Chemical Society","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072013000300008&lang=pt" 
"S0717-97072013000300010-chl","A COMPARATIVE STUDY OF THERMODYNAMIC PROPERTIES OF STRUCTURALLY RELATED PHENOTHIAZINE DRUGS IN AQUEOUS SOLUTION","USMAN, MUHAMMAD, CHEEMA, MUHAMMAD ARIF, KHAN, ABBAS, FAROOQI, ZAHOOR HUSSAIN, MOSQUERA, VICTOR, SIDDIQ, MOHAMMAD","Journal of the Chilean Chemical Society; 58(3); 1842-1845","Journal of the Chilean Chemical Society","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072013000300010&lang=pt" 
"S0717-97072013000300014-chl","CRYSTAL STRUCTURES AND ANTIMICROBIAL ACTIVITIES OF N&#039;-[2,5-DIHYDROXYBENZYLIDENE]-3,4,5-TRIMETHOXYBENZOHYDRAZIDE, N&#039;-[2,4-DICHLOROBENZYLIDENE]-3,4,5-TRIMETHOXYBENZOHYDRAZIDE, AND 2,4-DICHLORO-N&#039;-(2-HYDROXY-3-METHOXY-5-NITROBENZYLIDENE)BENZOHYDRAZIDE ETHANOL SOLVATE","HAN, YOU-YUE","Journal of the Chilean Chemical Society; 58(3); 1858-1861","Journal of the Chilean Chemical Society","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072013000300014&lang=pt" 
"S0717-97072013000300018-chl","COMPARISON OF DRY ASHING, WET ASHING AND MICROWAVE DIGESTION FOR DETERMINATION OF TRACE ELEMENTS IN PERIOSTRACUM SERPENTIS AND PERIOSTRACUM CICADAE BY ICP-AES","YANG, LI, LI, YANLAN, XJ, GUOXJ, MA, XIAOQIN, YAN, QINGHUA","Journal of the Chilean Chemical Society; 58(3); 1876-1879","Journal of the Chilean Chemical Society","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072013000300018&lang=pt" 
"S0717-97072013000300019-chl","TWO NEW SCHIFF BASE NI II AND CU II COMPLEXES: SYNTHESIS AND STRUCTURES","LI, QING-BIN, XUE, LING-WEI, YANG, WEI-CHUN, ZHAO, GAN-QING","Journal of the Chilean Chemical Society; 58(3); 1880-1883","Journal of the Chilean Chemical Society","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072013000300019&lang=pt" 
"S0717-97072013000300020-chl","NEW OPTICALLY ACTIVE ORGANO-SOLUBLE POLY(AMIDE-IMIDE)S FROM [N,N&#039;-(4,4&#039;-DIPHTALOYL)-BIS-L-AMINO DIACID]S AND 1,2-BIS[4,4&#039;-AMINOPHENOXY] ETHANE: SYNTHESIS AND CHARACTERIZATION","FEYZI, AKRAM, FAGHIHI, KHALIL, RAEISI, AHAMD, KOUSHKI, MARYAM, FARAHANI, MANSOURE","Journal of the Chilean Chemical Society; 58(3); 1884-1887","Journal of the Chilean Chemical Society","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072013000300020&lang=pt" 
"S0717-97072013000300023-chl","SPECTROPHOTOMETRIC DETERMINATION OF BISMUTH IN WATER SAMPLES BY DISPERSIVE LIQUID-LIQUID MICROEXTRACTION AFTER MULTIVARIATE OPTIMIZATION BASED ON BOX-BEHNKEN","NIAZI, ALI, HABIBI, SIMA, RAMEZANI, MAJID","Journal of the Chilean Chemical Society; 58(3); 1899-1901","Journal of the Chilean Chemical Society","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072013000300023&lang=pt" 
"S0717-97072013000300028-chl","DATA ANALYSIS AND EVALUATION OF THE ELECTROCHEMICAL PARAMETERS FOR THE ET PROCESS VIA CONVOLUTIVE VOLTAMMETRY AND DIGITAL SIMULATION","EL-HALLAG, I.S., ASIRI, A.M., EL-MOSSALAMY, E.H.","Journal of the Chilean Chemical Society; 58(3); 1921-1925","Journal of the Chilean Chemical Society","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072013000300028&lang=pt" 
"S0717-97072013000300031-chl","SINGLE-STEP SYNTHESIS, CHARACTERIZATION AND ANTIMICROBIAL STUDIES OF NOVEL STEROIDAL 1&#039;, 2&#039;, 3&#039;- THIADIAZOLES","SIDDIQUI, NAZISH, SHAMSUZZAMAN, ","Journal of the Chilean Chemical Society; 58(3); 1934-1936","Journal of the Chilean Chemical Society","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072013000300031&lang=pt" 
"S0717-73482013000300003-chl","El ejercicio físico aumenta el daño pulmonar inducido por la exposición aguda e intermitente a 0,5 ppm de ozono en ratas juveniles","OYARZÚN G, MANUEL, DUSSAUBAT D, NELSON, MILLER A, MARÍA EUGENIA, LÓPEZ A, MARTÍN, MÉNDEZ L, GASTÓN, MIRANDA G, JORGE","Revista chilena de enfermedades respiratorias; 29(3); 141-148","Revista chilena de enfermedades respiratorias","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482013000300003&lang=pt" 
"S0717-73482013000300004-chl","Vitamina D y asma: artículo de revisión","HERRERA G, ANA MARÍA","Revista chilena de enfermedades respiratorias; 29(3); 149-154","Revista chilena de enfermedades respiratorias","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482013000300004&lang=pt" 
"S0717-73482013000300005-chl","Secuestro pulmonar: Serie clínica de 16 pacientes","ZEPEDA F, GUILLERMO, BOZZO H, RODRIGO, ALDUNATE R, MARGARITA, VELOZO P, LUIS, GVIRTZMAN K, CAROLINA","Revista chilena de enfermedades respiratorias; 29(3); 155-161","Revista chilena de enfermedades respiratorias","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482013000300005&lang=pt" 
"S0717-73482013000300007-chl","Caso radiológico pediátrico","VARGAS P, FABIOLA, MOENNE B, KARLA, LADRÓN DE GUEVARA H, DAVID, CLAVERO R, JOSÉ M, MATAMALA B, PABLO","Revista chilena de enfermedades respiratorias; 29(3); 168-170","Revista chilena de enfermedades respiratorias","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482013000300007&lang=pt" 
"S0717-73482013000300008-chl","Asociación entre tuberculosis y diabetes mellitus en la Región Metropolitana","HERRERA M, TANIA, LEIVA Z, ELIZABETH, MARTÍN H, FÉLIX, MIRANDA O, MELISA, MORALES O, CAROLINA","Revista chilena de enfermedades respiratorias; 29(3); 171-175","Revista chilena de enfermedades respiratorias","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482013000300008&lang=pt" 
"S0717-92272013000300001-chl","Desafíos actuales en la formación de residentes: ¿una deuda de SONEPSYN?","Godoy F, Jaime","Revista chilena de neuro-psiquiatría; 51(3); 167-168","Revista chilena de neuro-psiquiatría","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272013000300001&lang=pt" 
"S0717-92272013000300002-chl","Prevalencia de déficit atencional en estudiantes de medicina de la Pontificia Universidad Católica de Chile","Santander T, Jaime, Berner G, Juan Enrique, Contreras S, Ana María, Gómez D, Teresita","Revista chilena de neuro-psiquiatría; 51(3); 169-174","Revista chilena de neuro-psiquiatría","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272013000300002&lang=pt" 
"S0717-92272013000300003-chl","Facilitadores de la alianza terapéutica en la anorexia nerviosa:: Una mirada desde la diada terapeuta-paciente","Cruzat M, Claudia, Aspillaga H, Carolina, Behar A, Rosa, Espejo L, M. Catalina, Gana H, Constanza","Revista chilena de neuro-psiquiatría; 51(3); 175-183","Revista chilena de neuro-psiquiatría","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272013000300003&lang=pt" 
"S0717-92272013000300004-chl","Tratamiento multimodal del condrosarcoma mesenquimal del hueso temporal: Reporte de un caso","Cruz G, Orlando, López R, Fanny, Fernández P, Pablo, Nápoles M, Misleidy, Hernández D, Zenaida, Caballero G, Joel, Salazar R, Sirced","Revista chilena de neuro-psiquiatría; 51(3); 184-190","Revista chilena de neuro-psiquiatría","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272013000300004&lang=pt" 
"S0717-92272013000300005-chl","Manifestaciones neuropsiquiátricas de la neurolúes: presentación de un caso de parálisis general neurosifilítica","Armijo N, Julio, Sepúlveda, Andrés, Bahamondes, Rodrigo, Moscoso, Julio","Revista chilena de neuro-psiquiatría; 51(3); 191-197","Revista chilena de neuro-psiquiatría","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272013000300005&lang=pt" 
"S0717-92272013000300006-chl","Caso clínico de una meningitis por reactivación del virus varicela zóster en un paciente inmunocompetente","Vial U, Felipe, González T-K, Sofía, López G, Mirta Javiera","Revista chilena de neuro-psiquiatría; 51(3); 198-200","Revista chilena de neuro-psiquiatría","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272013000300006&lang=pt" 
"S0717-92272013000300007-chl","Propiedades psicométricas de una versión en castellano de la escala Motor Activity Log-30 en pacientes con extremidad superior parética por accidente cerebro vascular","Doussoulin S, Arlette, Saiz, José Luis, Blanton, Sarah","Revista chilena de neuro-psiquiatría; 51(3); 201-210","Revista chilena de neuro-psiquiatría","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272013000300007&lang=pt" 
"S0717-92272013000300008-chl","Instrumentos actuales para la medición de la bipolaridad en la infancia y adolescencia: análisis de sus aspectos metodológicos","Yáñez M, Cristian, García S, Ricardo","Revista chilena de neuro-psiquiatría; 51(3); 211-220","Revista chilena de neuro-psiquiatría","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272013000300008&lang=pt" 
"S0717-75182013000300001-chl","Malnutrición y seguridad alimentaria: un estudio multinivel","Fonseca C, Zulma Yanira, Patiño B, Gonzalo Alberto, Herrán F, Oscar Fernando","Revista chilena de nutrición; 40(3); 206-215","Revista chilena de nutrición","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182013000300001&lang=pt" 
"S0717-75182013000300002-chl","Lifestyle counseling reduces metabolic syndrome prevalence in the short term","Abrantes Duval, Patricia, Halpern-Silveira, Denise, Formoso Assunção, Maria Cecilia","Revista chilena de nutrición; 40(3); 216-223","Revista chilena de nutrición","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182013000300002&lang=pt" 
"S0717-75182013000300003-chl","El bajo consumo de alimentos ricos en hierro y potenciadores de su absorción se asocia con anemia en preescolares cubanos de las provincias orientales: 2005-2011","Pita-Rodríguez, Gisela, Jiménez-Acosta, Santa, Basabe-Tuero, Beatriz, Macías Matos, Consuelo, Selva Suárez, Lisette, Hernández Fernández, Clarisa, Cruz Jorge, Margarita, Herrera Charro, Roxana, O&#039;Farrill López, Regla, Calderius Espinosa, Isabel, Paulí Echevería, Karelia, Leyva Avila, Moraima","Revista chilena de nutrición; 40(3); 224-234","Revista chilena de nutrición","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182013000300003&lang=pt" 
"S0717-75182013000300004-chl","Patrón de alimentación e incorporación de alimentos complementarios en lactantes de una población de bajos recursos","Macias, Sara M, Rodríguez, Silvia, Ronayne de Ferrer, Patricia A","Revista chilena de nutrición; 40(3); 235-242","Revista chilena de nutrición","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182013000300004&lang=pt" 
"S0717-75182013000300006-chl","Grupo focal con nutricionistas que actúan en la alimentación escolar: el menú como elemento pedagógico","Cervato-Mancuso, Ana Maria, Moraes da Silva, Gabriela, Pava Cárdenas, Alexandra","Revista chilena de nutrición; 40(3); 250-255","Revista chilena de nutrición","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182013000300006&lang=pt" 
"S0717-75182013000300007-chl","Prevalencia de hipolactasia en escolares de la Región Metropolitana","Cruchet M, Sylvia, Cornejo E, Verónica, Caichac H, Astrid, Gotteland M, Martin","Revista chilena de nutrición; 40(3); 257-261","Revista chilena de nutrición","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182013000300007&lang=pt" 
"S0717-75182013000300009-chl","Characterization of cereal bars enriched with dietary fiber and omega 3","Silva de Paula, Nathália, Gomes Natal, Dorina Isabel, Aparecida Ferreira, Hiani, de Souza Dantas, Maria Inês, Machado Rocha Ribeiro, Sônia, Stampini Duarte Martino, Hércia","Revista chilena de nutrición; 40(3); 269-273","Revista chilena de nutrición","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182013000300009&lang=pt" 
"S0717-75182013000300011-chl","El desarrollo de la microbiota intestinal humana, el concepto de probiótico y su relación con la salud humana","Brunser T, Oscar","Revista chilena de nutrición; 40(3); 283-289","Revista chilena de nutrición","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182013000300011&lang=pt" 
"S0717-75182013000300012-chl","Las posibilidades del empleo de lactobacilos en la gastroenterología y la nutrición humana","Brunser T, Oscar","Revista chilena de nutrición; 40(3); 290-302","Revista chilena de nutrición","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182013000300012&lang=pt" 
"S0717-75182013000300013-chl","El papel de las bifidobacterias en el funcionamiento del organismo humano","Brunser T, Oscar","Revista chilena de nutrición; 40(3); 303-308","Revista chilena de nutrición","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182013000300013&lang=pt" 
"S0717-73482013000300001-chl","Proyecciones de las relaciones Internacionales de la Sociedad Chilena de Enfermedades Respiratorias","Calvo G, Mario","Revista chilena de enfermedades respiratorias; 29(3); 133-134","Revista chilena de enfermedades respiratorias","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482013000300001&lang=pt" 
"S0717-97072013000300006-chl","CO-DETERMINATION OF TWO ANTIPARASITICS DRUGS BY DERIVATIVE SPECTROPHOTOMETRY AND ITS PHOTODEGRADATION STUDIES","SOTO, CÉSAR, OTIPKA, ROMINA, CONTRERAS, DAVID, YÁÑEZ, JORGE, TORAL, M. INÉS","Journal of the Chilean Chemical Society; 58(3); 1824-1829","Journal of the Chilean Chemical Society","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072013000300006&lang=pt" 
"S0001-60022013000300001-cri","Dra. María Gabriela Stein Castro de Guzmán 1923-2011","","Acta Médica Costarricense; 55(3); 108-109","Acta Médica Costarricense","Espanhol","2013","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0001-60022013000300001&lang=pt" 
"S0001-60022013000300002-cri","Indicadores citogenéticos para la identificación de exposición a radiación ionizante en humanos","Castro-Volio, Isabel","Acta Médica Costarricense; 55(3); 110-117","Acta Médica Costarricense","Espanhol","2013","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0001-60022013000300002&lang=pt" 
"S0001-60022013000300003-cri","Abordaje quirúrgico de la incontinencia fecal","Ceciliano-Romero, Norma, Cordero-Castro, Silvia","Acta Médica Costarricense; 55(3); 118-121","Acta Médica Costarricense","Inglês, Espanhol","2013","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0001-60022013000300003&lang=pt" 
