"S0482-50042012000100014-scl","Níveis séricos elevados de homocisteína em pacientes pediátricos com fenômeno de Raynaud primário","Kutilek, Stepan, Nemec, Vladimir, Bockayova, Eva","Revista Brasileira de Reumatologia; 52(1); 128-130","Revista Brasileira de Reumatologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042012000100014&lang=pt" 
"S1415-65552012000100009-scl","A influência dos valores organizacionais no desempenho de agências bancárias","Melo, Wagner Fabiano de, Domenico, Silvia Marcia Russi de","Revista de Administração Contemporânea; 16(1); 137-156","Revista de Administração Contemporânea","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552012000100009&lang=pt" 
"S0042-96862012000200004-spa","Public health round-up","","Bulletin of the World Health Organization; 90(2); 80-81","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000200004&lang=pt" 
"S0042-96862012000200003-spa","Maternal mortality and human rights: landmark decision by United Nations human rights body","Mesquita, Judith Bueno de, Kismödi, Eszter","Bulletin of the World Health Organization; 90(2); 79-79a","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000200003&lang=pt" 
"S0042-96862012000200007-spa","From population control to human rights","","Bulletin of the World Health Organization; 90(2); 86-87","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000200007&lang=pt" 
"S0042-96862012000200002-spa","Multidrug-resistant tuberculosis today","Matteelli, A, Centis, R, D&#039;Ambrosio, L, Migliori, GB","Bulletin of the World Health Organization; 90(2); 78-78","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000200002&lang=pt" 
"S0042-96862012000200006-spa","Fixing fistula","","Bulletin of the World Health Organization; 90(2); 84-85","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000200006&lang=pt" 
"S0042-96862012000200001-spa","","","Bulletin of the World Health Organization; 90(2); 77-77","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000200001&lang=pt" 
"S0042-96862012000200005-spa","The health-care challenges posed by population ageing","","Bulletin of the World Health Organization; 90(2); 82-83","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000200005&lang=pt" 
"S0042-96862012000200009-spa","The tyranny of distance: maternity waiting homes and access to birthing facilities in rural Timor-Leste","Wild, Kayli, Barclay, Lesley, Kelly, Paul, Martins, Nelson","Bulletin of the World Health Organization; 90(2); 97-103","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000200009&lang=pt" 
"S0042-96862012000200013-spa","Effect of cotrimoxazole on mortality in HIV-infected adults on antiretroviral therapy: a systematic review and meta-analysis","Suthar, Amitabh B, Granich, Reuben, Mermin, Jonathan, Van Rie, Annelies","Bulletin of the World Health Organization; 90(2); 128-138","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000200013&lang=pt" 
"S0042-96862012000200014-spa","Prevalence and determinants of common perinatal mental disorders in women in low- and lower-middle-income countries: a systematic review","Fisher, Jane, Mello, Meena Cabral de, Patel, Vikram, Rahman, Atif, Tran, Thach, Holton, Sara, Holmes, Wendy","Bulletin of the World Health Organization; 90(2); 139-149","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000200014&lang=pt" 
"S0042-96862012000200008-spa","Prioritizing risk factors to identify preventive interventions for economic assessment","Wilson, Nick, Blakely, Tony, Foster, Rachel H, Hadorn, David, Vos, Theo","Bulletin of the World Health Organization; 90(2); 88-96","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000200008&lang=pt" 
"S0042-96862012000200010-spa","A systems approach to improving maternal health in the Philippines","Huntington, Dale, Banzon, Eduardo, Recidoro, Zenaida Dy","Bulletin of the World Health Organization; 90(2); 104-110","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000200010&lang=pt" 
"S0042-96862012000200011-spa","Surveillance of anti-tuberculosis drug resistance in the world: an updated analysis, 2007-2010","Zignol, Matteo, Gemert, Wayne van, Falzon, Dennis, Sismanidis, Charalambos, Glaziou, Philippe, Floyd, Katherine, Raviglione, Mario","Bulletin of the World Health Organization; 90(2); 111-119","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000200011&lang=pt" 
"S0042-96862012000200012-spa","Female genital cutting: current practices and beliefs in western Africa","Sipsma, Heather L, Chen, Peggy G, Ofori-Atta, Angela, Ilozumba, Ukwuoma O, Karfo, Kapouné, Bradley, Elizabeth H","Bulletin of the World Health Organization; 90(2); 120-127","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000200012&lang=pt" 
"S0042-96862012000200015-spa","Reduced death rates from cyclones in Bangladesh: what more needs to be done?","Haque, Ubydul, Hashizume, Masahiro, Kolivras, Korine N, Overgaard, Hans J, Das, Bivash, Yamamoto, Taro","Bulletin of the World Health Organization; 90(2); 150-156","Bulletin of the World Health Organization","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862012000200015&lang=pt" 
"S0102-69092012000100005-scl","Governança local para manejo florestal na Amazônia","Medina, Gabriel","Revista Brasileira de Ciências Sociais; 27(78); 67-79","Revista Brasileira de Ciências Sociais","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092012000100005&lang=pt" 
"S0102-69092012000100003-scl","Trabalho, moradia e cidade: zonas de indiferenciação?","Rizek, Cibele Saliba","Revista Brasileira de Ciências Sociais; 27(78); 41-49","Revista Brasileira de Ciências Sociais","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092012000100003&lang=pt" 
"S0102-69092012000100014-scl","Engajamento na dança: uma profissão tratada como juvenil","Brandão, Marcílio Dantas","Revista Brasileira de Ciências Sociais; 27(78); 183-186","Revista Brasileira de Ciências Sociais","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092012000100014&lang=pt" 
"S0102-69092012000100013-scl","Ampliando o campo de visão da antropologia do esporte","Camargo, Wagner Xavier de","Revista Brasileira de Ciências Sociais; 27(78); 179-182","Revista Brasileira de Ciências Sociais","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092012000100013&lang=pt" 
"S0102-69092012000100011-scl","A fortuna e os limites do humano","Ferreira, Bernardo","Revista Brasileira de Ciências Sociais; 27(78); 171-176","Revista Brasileira de Ciências Sociais","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092012000100011&lang=pt" 
"S0102-69092012000100012-scl","&quot;Vínculos&quot; e &quot;nós&quot; no centro da explicação da pobreza urbana","Gomes, Sandra","Revista Brasileira de Ciências Sociais; 27(78); 176-179","Revista Brasileira de Ciências Sociais","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092012000100012&lang=pt" 
"S0104-11692012000100002-scl","Nursing diagnoses in trauma victims with fatal outcomes in the emergency scenario","Sallum, Ana Maria Calil, Santos, Jair Lício Ferreira dos, Lima, Fernão Dias de","Revista Latino-Americana de Enfermagem; 20(1); 3-10","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100002&lang=pt" 
"S0104-11692012000100003-scl","A cross-sectional study of factors underlying the risk of female nurses&#039; suffering abuse by their partners","Rodríguez-Borrego, María-Aurora, Vaquero-Abellán, Manuel, Rosa, Liana Bertagnolli da","Revista Latino-Americana de Enfermagem; 20(1); 11-18","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100003&lang=pt" 
"S0104-11692012000100004-scl","Work and Inter-subjectivity: a theoretical reflection on its dialectics in the field of health and nursing","Carvalho, Brígida Gimenez, Peduzzi, Marina, Mandú, Edir Nei Teixeira, Ayres, José Ricardo de Carvalho Mesquita","Revista Latino-Americana de Enfermagem; 20(1); 19-26","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100004&lang=pt" 
"S0104-11692012000100005-scl","Cross-cultural adaptation of the Work Disability Diagnosis Interview (WoDDI) for the Brazilian context","Mininel, Vivian Aline, Felli, Vanda Elisa Andres, Loisel, Patrick, Marziale, Maria Helena Palucci","Revista Latino-Americana de Enfermagem; 20(1); 27-34","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100005&lang=pt" 
"S0104-11692012000100006-scl","Application of a domicile-based exercise program for shoulder rehabilitation after breast cancer surgery","Petito, Eliana Louzada, Nazário, Afonso Celso Pinto, Martinelli, Simone Elias, Facina, Gil, De Gutiérrez, Maria Gaby Rivero","Revista Latino-Americana de Enfermagem; 20(1); 35-43","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100006&lang=pt" 
"S0104-11692012000100007-scl","Family health team knowledge concerning the health needs of people with tuberculosis","Hino, Paula, Takahashi, Renata Ferreira, Bertolozzi, Maria Rita, Villa, Tereza Cristina Scatena, Egry, Emiko Yoshikawa","Revista Latino-Americana de Enfermagem; 20(1); 44-51","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100007&lang=pt" 
"S0104-11692012000100008-scl","Relationship among social support, treatment adherence and metabolic control of diabetes mellitus patients","Gomes-Villas Boas, Lilian Cristiane, Foss, Milton Cesar, Freitas, Maria Cristina Foss de, Pace, Ana Emília","Revista Latino-Americana de Enfermagem; 20(1); 52-58","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100008&lang=pt" 
"S0104-11692012000100009-scl","Effectiveness of participatory-action-research to put in practice evidence at a nursing onco-hematology unit","Abad-Corpa, Eva, Cabrero-García, Julio, Delgado-Hito, Pilar, Carrillo-Alcaraz, Andrés, Meseguer-Liza, Cristobal, Martínez-Corbalán, José Tomás","Revista Latino-Americana de Enfermagem; 20(1); 59-67","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100009&lang=pt" 
"S0104-11692012000100010-scl","Patients&#039; experiences of peritoneal dialysis at home: a phenomenological approach","Sadala, Maria Lúcia Araújo, Bruzos, Gabriela Azevedo de Souza, Pereira, Estela Regina, Bucuvic, Edwa Maria","Revista Latino-Americana de Enfermagem; 20(1); 68-75","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100010&lang=pt" 
"S0104-11692012000100011-scl","The Pain Disability Questionnaire: a reliability and validity study","Giordano, Patrícia Cantu Moreira, Alexandre, Neusa Maria Costa, Rodrigues, Roberta Cunha Matheus, Coluci, Marina Zambon Orpinelli","Revista Latino-Americana de Enfermagem; 20(1); 76-83","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100011&lang=pt" 
"S0104-11692012000100012-scl","Functional disability of adult individuals with spinal cord injury and its association with socio-demographic characteristics","Coura, Alexsandro Silva, França, Inacia Sátiro Xavier de, Enders, Bertha Cruz, Barbosa, Mayara Lima, Souza, Juliana Raquel Silva","Revista Latino-Americana de Enfermagem; 20(1); 84-92","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100012&lang=pt" 
"S0104-11692012000100013-scl","Associations among socio-demographic and clinical factors and the quality of life of ostomized patients","Pereira, Adriana Pelegrini dos Santos, Cesarino, Claudia Bernardi, Martins, Marielza Regina Ismael, Pinto, Maria Helena, Netinho, João Gomes","Revista Latino-Americana de Enfermagem; 20(1); 93-100","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100013&lang=pt" 
"S0104-11692012000100015-scl","Impact of a participatory program to reduce noise in a Neonatal Unit","Zamberlan-Amorim, Nelma Ellen, Fujinaga, Cristina Ide, Hass, Vanderlei José, Fonseca, Luciana Mara Monti, Fortuna, Cinira Magali, Scochi, Carmen Gracinda Silvan","Revista Latino-Americana de Enfermagem; 20(1); 109-116","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100015&lang=pt" 
"S0104-11692012000100016-scl","Children with Type 1 Diabetes Mellitus and their friends: the influence of this interaction in the management of the disease","Sparapani, Valéria de Cássia, Borges, Ana Luiza Vilela, Dantas, Isa Ribeiro de Oliveira, Pan, Raquel, Nascimento, Lucila Castanheira","Revista Latino-Americana de Enfermagem; 20(1); 117-125","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100016&lang=pt" 
"S0104-11692012000100017-scl","The dialogic life-death in care delivery to adolescents with cancer","Menossi, Maria José, Zorzo, Juliana Cardeal da Costa, Lima, Regina Aparecida Garcia de","Revista Latino-Americana de Enfermagem; 20(1); 126-134","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100017&lang=pt" 
"S0104-11692012000100018-scl","Hospitalization of children under five years of age due to avoidable causes","Oliveira, Rosana Rosseto de, Costa, Josane Rosenilda da, Mathias, Thais Aidar de Freitas","Revista Latino-Americana de Enfermagem; 20(1); 135-142","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100018&lang=pt" 
"S0104-11692012000100019-scl","Critical incidents of trust erosion in leadership of head nurses","Yañez-Gallardo, Rodrigo, Valenzuela-Suazo, Sandra","Revista Latino-Americana de Enfermagem; 20(1); 143-150","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100019&lang=pt" 
"S0104-11692012000100020-scl","Nursing in the hospital accreditation process: practice and implications in the work quotidian","Manzo, Bruna Figueiredo, Ribeiro, Helen Cristiny Teodoro Couto, Brito, Maria José Menezes, Alves, Marília","Revista Latino-Americana de Enfermagem; 20(1); 151-158","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100020&lang=pt" 
"S0104-11692012000100021-scl","Presenteeism in hospital nurses","Umann, Juliane, Guido, Laura de Azevedo, Grazziano, Eliane da Silva","Revista Latino-Americana de Enfermagem; 20(1); 159-166","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100021&lang=pt" 
"S0104-11692012000100022-scl","Quality of life and depressive symptoms among caregivers and drug dependent people","Marcon, Samira Reschetti, Rubira, Elizete Aparecida, Espinosa, Mariano Martinez, Barbosa, Dulce Aparecida","Revista Latino-Americana de Enfermagem; 20(1); 167-174","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100022&lang=pt" 
"S0104-11692012000100023-scl","Minor psychiatric disorders among nurses university faculties","Tavares, Juliana Petri, Beck, Carmem Lúcia Colomé, Magnago, Tânia Solange Bosi de Souza, Zanini, Roselaine Ruviaro, Lautert, Liana","Revista Latino-Americana de Enfermagem; 20(1); 175-182","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100023&lang=pt" 
"S0104-11692012000100024-scl","Active cutaneous warming systems to prevent intraoperative hypothermia: a systematic review","Poveda, Vanessa de Brito, Martinez, Edson Zangiacomi, Galvão, Cristina Maria","Revista Latino-Americana de Enfermagem; 20(1); 183-191","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100024&lang=pt" 
"S0104-11692012000100025-scl","Professional competences of nurse to work in Intensive Care Units: an integrative review","Camelo, Silvia Helena Henriques","Revista Latino-Americana de Enfermagem; 20(1); 192-200","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100025&lang=pt" 
"S0104-11692012000100026-scl","Infant mortality and prenatal care: contributions of the clinic in the light of Canguilhem and Foucault","Figueiredo, Paula Pereira de, Lunardi Filho, Wilson Danilo, Lunardi, Valéria Lerch, Pimpão, Fernanda Demutti","Revista Latino-Americana de Enfermagem; 20(1); 201-210","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100026&lang=pt" 
"S1561-31942012000100001-cub","Una nueva oportunidad para el desarrollo","Pérez Labrador, Joaquín","Revista de Ciencias Médicas de Pinar del Río; 16(1); -1","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100001&lang=pt" 
"S1561-31942012000100002-cub","Sobre «Homofobia y/o ser enfermero»","Rodríguez López, Tomás","Revista de Ciencias Médicas de Pinar del Río; 16(1); 2-7","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100002&lang=pt" 
"S1561-31942012000100003-cub","De la Brigada Médica Cubana Parirenyatwa Group Hospital en Zimbabwe. 2012. X Jornada Científica en Zimbabwe/Harare","Cruz Reyes, Marcelina","Revista de Ciencias Médicas de Pinar del Río; 16(1); 8-9","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100003&lang=pt" 
"S1561-31942012000100004-cub","Comportamiento de las reintervenciones en cirugía general. Hospital General Docente «Abel Santamaría». Pinar del Río","Sánchez Portela, Carlos A, Delgado Fernández, Juan Carlos, García Valladares, Adonis","Revista de Ciencias Médicas de Pinar del Río; 16(1); 10-19","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100004&lang=pt" 
"S1561-31942012000100005-cub","Intervención educativa sobre VIH/SIDA en estudiantes de Tecnología en Atención Estomatológica","Díaz Valdés, Katia, Reinoso Díaz, Maite, Miló Puentes, María Isabel, Iglesias Iglesias, Modesto Antonio","Revista de Ciencias Médicas de Pinar del Río; 16(1); 20-31","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100005&lang=pt" 
"S1561-31942012000100006-cub","Estrategia de intervención educativa en enfermedades de transmisión sexual","Sarmiento Olivera, Martha, Gómez Olivera, Isabel, Ordaz González, Ana Margarita, García Diaz, Clara Delfa, Casanova Moreno, María de la C","Revista de Ciencias Médicas de Pinar del Río; 16(1); 32-43","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100006&lang=pt" 
"S1561-31942012000100007-cub","Diagnóstico de masas intracraneales primarias por medio imagenológicos","Suero Almonte, Samael, Plaza González, Tania, Reyes Llane, Mabel, Almora Carbonel, Ceramides Lidia, Musa, Miriam","Revista de Ciencias Médicas de Pinar del Río; 16(1); 44-53","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100007&lang=pt" 
"S1561-31942012000100008-cub","Caracterización clínica y ecográfica de pacientes con diagnóstico ultrasonográfico de litiasis vesicular en Potosí, Bolivia","Almora Carbonell, Ceramides Lidia, Arteaga Prado, Yanin, Plaza González, Tania, Carreño Cuador, Jenry, Martorell Piñero, Amada","Revista de Ciencias Médicas de Pinar del Río; 16(1); 54-63","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100008&lang=pt" 
"S1561-31942012000100009-cub","Generalidades de un Sistema de Monitorización Informático para Unidades de Cuidados Intensivos","Tellería Prieto, María del Carmen, Silva Paradela, Silvestre, Álvarez Ramírez, Anairis, Mendoza Romero, Yackson, Paredes Álvarez, Dariel","Revista de Ciencias Médicas de Pinar del Río; 16(1); 64-75","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100009&lang=pt" 
"S1561-31942012000100010-cub","Factores de riesgo y desarrollo de crisis hipertensivas en hipertensos, Pinar del Río","Corrales Varela, Ariel Iván, Quintero Pérez, William, González Regalado, Yanet, Semino Boffill, Bernardo, Arencibia Díaz, Luis","Revista de Ciencias Médicas de Pinar del Río; 16(1); 76-86","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100010&lang=pt" 
"S1561-31942012000100011-cub","Caracterización de la toxicomanía por alcohol en adolescentes y jóvenes","Camero Machín, Julio César, Curbelo Fajardo, Juan Carlos, Romero López, Adalina, Ríos Torres, Raquelín, Hernández Díaz, Daniel","Revista de Ciencias Médicas de Pinar del Río; 16(1); 87-96","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100011&lang=pt" 
"S1561-31942012000100012-cub","Medio familiar de los adultos mayores","Pérez Martín, Martha María, Delgado Cruz, Amarily, Naranjo Ferregut, Jorge Augusto, Álvarez González, Katherinne, Díaz Rey, Rosa Caridad","Revista de Ciencias Médicas de Pinar del Río; 16(1); 97-104","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100012&lang=pt" 
"S1561-31942012000100013-cub","Comportamiento de las discapacidades en los adultos mayores. Consejo Popular Hermanos Barcón","Díaz Calzada, Marvelia, Delgado, Amarilis, Naranjo Ferregut, Jorge Augusto, Dot Pérez, Licet del C, Pérez Martín, Marta M","Revista de Ciencias Médicas de Pinar del Río; 16(1); 105-117","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100013&lang=pt" 
"S1561-31942012000100014-cub","Efectividad de la fitoterapia en pacientes con asma bronquial","García Quiala, Margarita, Díaz Pita, Gicela","Revista de Ciencias Médicas de Pinar del Río; 16(1); 118-131","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100014&lang=pt" 
"S1561-31942012000100015-cub","Estrategia de intervención educativa para prevenir el embarazo en la adolescencia","Quintero Paredes, Pedro Pablo, Castillo Rocubert, Niurka, Roba Lazo, Bárbara del Carmen, Padrón González, Odalis, Hernández Hierrezuelo, María Elena","Revista de Ciencias Médicas de Pinar del Río; 16(1); 132-145","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100015&lang=pt" 
"S1561-31942012000100016-cub","Caracterización del desarrollo del pretérmino en el primer año de vida","Inguanzo Clausell, Olga, Valdés Abreu, Beatriz M, Iturriagagoitia Herrera, Elisa, García Rodríguez, Lourdes, Hernández Hierrezuelo, Maria Elena","Revista de Ciencias Médicas de Pinar del Río; 16(1); 146-157","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100016&lang=pt" 
"S1561-31942012000100017-cub","Caracterización clínico epidemiológica de la neumonía en niños hospitalizados","Cruz Robaina, Juan Carlos, Dorta Correa, Yaimara, Riesgo Mayea, Liudmila, López Labrador-Piloto, Odalys, González Díaz, Judieth","Revista de Ciencias Médicas de Pinar del Río; 16(1); 158-168","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100017&lang=pt" 
"S1561-31942012000100018-cub","Comportamiento de la enfermedad periodontal en pacientes diabéticos. Policlínico «Pedro Borrás Astorga»","González Gutiérrez, Alcira, Trasancos Delgado, Maricela, González Cordero, Ada Esther, Casanova Moreno, María de la Caridad","Revista de Ciencias Médicas de Pinar del Río; 16(1); 169-180","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100018&lang=pt" 
"S1561-31942012000100019-cub","Teratocarcinoma con componente de coriocarcinoma","Sosa Hernández, Jackeline, Zaldívar Rodríguez, Juan Manuel, Herrera Herrera, Manuel, Acosta Piloto, Juan Manuel","Revista de Ciencias Médicas de Pinar del Río; 16(1); 181-187","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100019&lang=pt" 
"S1561-31942012000100020-cub","El cuidado informal en enfermos de Alzheimer: evaluación a partir de un modelo teórico","Gallardo Vargas, Ronald, Barón Hernández, Diana, Cruz Menor, Ernesto","Revista de Ciencias Médicas de Pinar del Río; 16(1); 188-199","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100020&lang=pt" 
"S1561-31942012000100021-cub","Diagnóstico clínico y epidemiológico de la litiasis vesicular. Revisión bibliográfica","Almora Carbonell, Ceramides Lidia, Arteaga Prado, Yanin, Plaza González, Tania, Prieto Ferro, Yulka, Hernández Hernández, Zoraida","Revista de Ciencias Médicas de Pinar del Río; 16(1); 200-214","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100021&lang=pt" 
"S1561-31942012000100022-cub","La producción científica: Revista de Ciencias Médicas de Pinar del Río","Padrón Novales, Carmen Isabel, Díaz Lobo, Luis Manuel, Fonte Medina, Alejandro, Pérez Labrador, Joaquín","Revista de Ciencias Médicas de Pinar del Río; 16(1); 215-227","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100022&lang=pt" 
"S1561-31942012000100023-cub","Dr. Gonzalo Alfredo Álvarez de la Campa González","Pérez Labrador, Joaquín","Revista de Ciencias Médicas de Pinar del Río; 16(1); 228-230","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100023&lang=pt" 
