"S1516-14982003000200009-scl","Futuro anterior","Costa-Moura, Fernanda","Ágora: Estudos em Teoria Psicanalítica; 6(2); 321-323","Ágora: Estudos em Teoria Psicanalítica","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14982003000200009&lang=pt" 
"S0103-40142003000300019-scl","Que fazer para gerar empregos no Brasil?","Martins, José de Souza, Veiga, José Eli da, Barelli, Walter, Dedecca, Claudio Salvadori, Sachs, Ignacy, Quadros, Waldir, Diniz, Clélio Campolina, Pochmann, Márcio, Besserman, Sergio, Marinho, Luiz","Estudos Avançados; 17(49); 304-317","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300019&lang=pt" 
"S0103-40142003000300006-scl","Violência contra a mulher e políticas públicas","Blay, Eva Alterman","Estudos Avançados; 17(49); 87-98","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300006&lang=pt" 
"S0103-40142003000300018-scl","Quem nunca andou de bonde","Pallottini, Renata","Estudos Avançados; 17(49); 303-303","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300018&lang=pt" 
"S0103-40142003000300017-scl","Renina Katz e sua arte","Abramo, Radhá","Estudos Avançados; 17(49); 287-302","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300017&lang=pt" 
"S0103-40142003000300021-scl","As diversas vidas de Zé Bebelo","Coelho, Marco Antônio Tavares","Estudos Avançados; 17(49); 343-348","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300021&lang=pt" 
"S0103-40142003000300001-scl","Editorial","","Estudos Avançados; 17(49); -","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300001&lang=pt" 
"S0103-40142003000300004-scl","Mulher idosa: suporte familiar ou agente de mudança?","Camarano, Ana Amélia","Estudos Avançados; 17(49); 35-63","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300004&lang=pt" 
"S0103-40142003000300005-scl","Fecundidade da mulher paulista abaixo do nível de reposição","Yazaki, Lúcia Mayumi","Estudos Avançados; 17(49); 65-86","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300005&lang=pt" 
"S0103-40142003000300007-scl","O trabalho da mulher e as negociações coletivas","Sanches, Solange, Gebrim, Vera Lucia Mattar","Estudos Avançados; 17(49); 99-116","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300007&lang=pt" 
"S0103-40142003000300010-scl","Feminismo e literatura no Brasil","Duarte, Constância Lima","Estudos Avançados; 17(49); 151-172","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300010&lang=pt" 
"S0103-40142003000300011-scl","O Tao da teia: sobre textos e têxteis","Machado, Ana Maria","Estudos Avançados; 17(49); 173-196","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300011&lang=pt" 
"S0103-40142003000300014-scl","Índias e antropólogas","Junqueira, Carmen, Mindlin, Betty","Estudos Avançados; 17(49); 235-251","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300014&lang=pt" 
"S0103-40142003000300015-scl","As ceramistas indígenas do São Francisco","Almeida, Luiz Sávio de","Estudos Avançados; 17(49); 255-270","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300015&lang=pt" 
"S0103-40142003000300016-scl","As mulheres na ciência brasileira: crescimento, contrastes e um perfil de sucesso","Leta, Jacqueline","Estudos Avançados; 17(49); 271-284","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300016&lang=pt" 
"S0103-40142003000300020-scl","O historiador, o macaco e a centaura: a &quot;história cultural&quot; no novo milênio","Gruzinski, Serge","Estudos Avançados; 17(49); 321-342","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300020&lang=pt" 
"S0103-40142003000300009-scl","O voto de saias: a Constituinte de 1934 e a participação das mulheres na política","Araújo, Rita de Cássia Barbosa de","Estudos Avançados; 17(49); 133-150","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300009&lang=pt" 
"S0042-96862003001200007-spa","Can developing countries achieve adequate improvements in child health outcomes without engaging the private sector?","Bustreo, Flavia, Harding, April, Axelsson, Henrik","Bulletin of the World Health Organization; 81(12); 886-895","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001200007&lang=pt" 
"S0042-96862003001200010-spa","Kwashiorkor is still not fully understood","Krawinkel, Michael","Bulletin of the World Health Organization; 81(12); 910-911","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001200010&lang=pt" 
"S0042-96862003001200020-spa","Global investment in health still falling short, says WHO","","Bulletin of the World Health Organization; 81(12); 921-921","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001200020&lang=pt" 
"S0042-96862003001200022-spa","WHO publications highly commended in BMA Medical Book Competition","","Bulletin of the World Health Organization; 81(12); 922-922","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001200022&lang=pt" 
"S0042-96862003001200011-spa","Kwashiorkor: a nutritional disease of children associated with a maize diet","Williams, Cicely D.","Bulletin of the World Health Organization; 81(12); 912-913","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001200011&lang=pt" 
"S0042-96862003001200012-spa","Decentralization and equity of resource allocation in Chile","Arteaga, Oscar, Darras, Christian","Bulletin of the World Health Organization; 81(12); 914-914","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001200012&lang=pt" 
"S0042-96862003001200013-spa","Gates Foundation picks 14 grand challenges for global disease research","Walgate, Robert","Bulletin of the World Health Organization; 81(12); 915-916","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001200013&lang=pt" 
"S0042-96862003001200002-spa","Shaping the future of global health","Haines, Andy","Bulletin of the World Health Organization; 81(12); 855-855","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001200002&lang=pt" 
"S0042-96862003001200003-spa","Health information in the new millennium: a gathering storm?","Evans, Tim, Stansfield, Sally","Bulletin of the World Health Organization; 81(12); 856-856","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001200003&lang=pt" 
"S0042-96862003001200016-spa","Islamic states renew commitment to eradicate polio","Marshall, Sarah Jane","Bulletin of the World Health Organization; 81(12); 918-918","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001200016&lang=pt" 
"S0042-96862003001200015-spa","Conference warns of danger of re-emergence of smallpox as weapon of bioterror","Fleck, Fiona","Bulletin of the World Health Organization; 81(12); 917-918","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001200015&lang=pt" 
"S0042-96862003001200021-spa","WHO launches campaign against counterfeit medicines","","Bulletin of the World Health Organization; 81(12); 921-922","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001200021&lang=pt" 
"S0042-96862003001200023-spa","First association of medical editors for Eastern Mediterranean Region","","Bulletin of the World Health Organization; 81(12); 922-922","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001200023&lang=pt" 
"S0042-96862003001200017-spa","Study confirms effectiveness of antiretroviral drugs for HIV patients","Hagmann, Michael","Bulletin of the World Health Organization; 81(12); 918-919","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001200017&lang=pt" 
"S0042-96862003001200018-spa","UNICEF report has grave implications for child health in developing countries","Crabb, Charlene","Bulletin of the World Health Organization; 81(12); 919-919","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001200018&lang=pt" 
"S0042-96862003001200019-spa","WHO supports Liberia&#039;s health crisis appeal","Fleck, Fiona","Bulletin of the World Health Organization; 81(12); 920-921","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001200019&lang=pt" 
"S0103-40142003000300003-scl","O sobre-desemprego e a inatividade das mulheres na metrópole paulista","Aquilini, Guiomar de Haro, Costa, Patrícia Lino","Estudos Avançados; 17(49); 17-34","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300003&lang=pt" 
"S0103-40142003000300012-scl","Nise da Silveira: imagens do inconsciente entre psicologia, arte e política","Frayze-Pereira, João A.","Estudos Avançados; 17(49); 197-208","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300012&lang=pt" 
"S0103-40142003000300013-scl","Helena Antipoff: razão e sensibilidade na psicologia e na educação","Campos, Regina Helena de Freitas","Estudos Avançados; 17(49); 209-231","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300013&lang=pt" 
"S0042-96862003001200004-spa","Diagnosis of paediatric HIV infection in a primary health care setting with a clinical algorithm","Horwood, C., Liebeschuetz, S., Blaauw, D., Cassol, S., Qazi, S.","Bulletin of the World Health Organization; 81(12); 858-866","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001200004&lang=pt" 
"S0042-96862003001200006-spa","Field trial of applicability of lot quality assurance sampling survey method for rapid assessment of prevalence of active trachoma","Myatt, Mark, Limburg, Hans, Minassian, Darwin, Katyola, Damson","Bulletin of the World Health Organization; 81(12); 877-885","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001200006&lang=pt" 
"S0042-96862003001200009-spa","Progress with new malaria vaccines","Webster, Daniel, Hill, Adrian V.S.","Bulletin of the World Health Organization; 81(12); 902-909","Bulletin of the World Health Organization","Inglês","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003001200009&lang=pt" 
"S0138-65572003000400001-cub","Efecto de la terapia antihipertensiva sobre los patrones geométricos del corazón en la hipertensión arterial esencial","Borges Helps, Alexis, Deschapelles Himely, Eulogio, Mendoza Ortiz, José L., Chacón Montano, Deirly, Rodríguez Cruz, José L., Rivas Cartaya, José, Álvarez Toledo, Orlando","Revista Cubana de Medicina Militar; 32(4); -","Revista Cubana de Medicina Militar","Espanhol","2003","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572003000400001&lang=pt" 
"S0138-65572003000400002-cub","Estrés ocupacional en una comunidad cerrada","Sánchez Arrastía, Dagmara, Moreno Puebla, Reynol, Ventura Velázquez, René Esteban, Torres Ruiz, Rolando","Revista Cubana de Medicina Militar; 32(4); -","Revista Cubana de Medicina Militar","Espanhol","2003","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572003000400002&lang=pt" 
"S0138-65572003000400003-cub","Trabajo médico-quirúrgico en un país de Centroamérica en situación de desastre","Rosales González, Salvador O., Lombardo Vaillant, Ariel T., Reverter de la Horra, Pedro M.","Revista Cubana de Medicina Militar; 32(4); -","Revista Cubana de Medicina Militar","Espanhol","2003","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572003000400003&lang=pt" 
"S0138-65572003000400004-cub","Organización y acciones contra el Aedes aegypti en una comunidad","Sánchez de la Guardia, José Luis, Mederos Luis, Isabel, Cepero Rodríguez, Ivonne, Hidalgo Mesa, Carlos, Valdés González, Leonel","Revista Cubana de Medicina Militar; 32(4); -","Revista Cubana de Medicina Militar","Espanhol","2003","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572003000400004&lang=pt" 
"S0138-65572003000400005-cub","Aspectos clínico-patológicos del hígado graso no alcohólico","Pérez Lorenzo, Marlén, Franco Estrada, Silvia, Winograd Lay, Rebeca, Angulo Pérez, Omar","Revista Cubana de Medicina Militar; 32(4); -","Revista Cubana de Medicina Militar","Espanhol","2003","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572003000400005&lang=pt" 
"S0138-65572003000400006-cub","Resultados quirúrgicos en la cirugía de retina convencional","Llerena Rodríguez, Jorge A., Pérez Blázquez, Gildo J., Domínguez Expósito, Martha G.","Revista Cubana de Medicina Militar; 32(4); -","Revista Cubana de Medicina Militar","Espanhol","2003","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572003000400006&lang=pt" 
"S0138-65572003000400007-cub","Valor predicativo del comando volumen en la hemorragia intraparenquimatosa por hipertensión arterial","Delgado Gutiérrez, Dénise, García Moreira, Tania, Sotolongo Calderón, José A., López Pardo, C. Cándido, Perurena Cardounell, Lissette, Hernández Rodríguez, Tania Elena","Revista Cubana de Medicina Militar; 32(4); -","Revista Cubana de Medicina Militar","Espanhol","2003","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572003000400007&lang=pt" 
"S0138-65572003000400008-cub","Relaparotomías de urgencias: evaluación en cuatro años","","Revista Cubana de Medicina Militar; 32(4); -","Revista Cubana de Medicina Militar","Espanhol","2003","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572003000400008&lang=pt" 
"S0138-65572003000400009-cub","Eritropoyetina recombinante humana en la insuficiencia renal crónica","Blanco Díaz, Ana Tamara, Pérez Oliva Díaz, Jorge Frank, López Pérez, Marcia, Marrero García, Magalys, Sánchez Díaz, Juan Manuel, Santamaría Trujillo, Clara","Revista Cubana de Medicina Militar; 32(4); -","Revista Cubana de Medicina Militar","Espanhol","2003","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572003000400009&lang=pt" 
"S0138-65572003000400010-cub","Insuficiencia cardíaca diastólica en el corazón del paciente con hipertensión arterial esencial","Borges Helps, Alexis, Deschapelles Himely, Eulogio, Álvarez Toledo, Orlando","Revista Cubana de Medicina Militar; 32(4); -","Revista Cubana de Medicina Militar","Espanhol","2003","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572003000400010&lang=pt" 
"S0138-65572003000400011-cub","Linfangioleiomiomatosis","Arpa Gámez, Ángel, González Sotolongo, Odalys, Henry Favier, Juan A., Cervantes Marichal, Mario, Álvarez, Vladimir Feliciano, González, Dulce María","Revista Cubana de Medicina Militar; 32(4); -","Revista Cubana de Medicina Militar","Espanhol","2003","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572003000400011&lang=pt" 
"S0138-65572003000400012-cub","Schwannoma lumbosacro maligno","Fuentes Rodríguez, Nelson, Rodríguez de la Paz, Norberys, Prince López, José A., Salas Rubio, José H., García Moreira, Tania","Revista Cubana de Medicina Militar; 32(4); -","Revista Cubana de Medicina Militar","Espanhol","2003","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572003000400012&lang=pt" 
"S0138-65572003000400015-cub","Medicina basada en la evidencia","Leyva Basterrechea, Francisco","Revista Cubana de Medicina Militar; 32(4); -","Revista Cubana de Medicina Militar","Espanhol","2003","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572003000400015&lang=pt" 
"S0138-65572003000400013-cub","Salud para la defensa: enfoque conceptual global de la investigación médico-militar","Menéndez López, José R., Infante Velázquez, Mirtha, Moreno Puebla, Reynol A., Sotolongo García, Yenia","Revista Cubana de Medicina Militar; 32(4); -","Revista Cubana de Medicina Militar","Espanhol","2003","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572003000400013&lang=pt" 
"S0138-65572003000400014-cub","Estudios preclínicos de los hilos quirúrgicos Agasut","Montero Ferrer, Sigifredo, González-Quevedo Rodríguez, Mario O., Albín Montalbán, Gonzalo","Revista Cubana de Medicina Militar; 32(4); -","Revista Cubana de Medicina Militar","Espanhol","2003","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572003000400014&lang=pt" 
"S1677-04202003000300006-scl","Studies toward the identification of transcription factors in cassava storage root","Souza, Cláudia Regina Batista de, Almeida, Elionor Rita Pereira de, Carvalho, Luiz Joaquim Castelo Branco, Gander, Eugen Silvano","Brazilian Journal of Plant Physiology; 15(3); 167-170","Brazilian Journal of Plant Physiology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202003000300006&lang=pt" 
"S1677-04202003000300001-scl","Induction of chalcone synthase and phenylalanine ammonia-lyase by salicylic acid and Colletotrichum lindemuthianum in common bean","Campos, Ângela Diniz, Ferreira, Alfredo Gui, Hampe, Magdolna Maria Vozári, Antunes, Irajá Ferreira, Brancão, Nely, Silveira, Expedito P., Silva, João Batista da, Osório, Vera Algayer","Brazilian Journal of Plant Physiology; 15(3); 129-134","Brazilian Journal of Plant Physiology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202003000300001&lang=pt" 
"S1677-04202003000300005-scl","Effect of cobalt on growth, pigments and the photosynthetic electron transport in Monoraphidium minutum and Nitzchia perminuta","El-Sheekh, M.M., El-Naggar, A.H., Osman, M.E.H., El-Mazaly, E.","Brazilian Journal of Plant Physiology; 15(3); 159-166","Brazilian Journal of Plant Physiology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202003000300005&lang=pt" 
"S0103-40142003000300008-scl","Mulheres em movimento","Carneiro, Sueli","Estudos Avançados; 17(49); 117-133","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300008&lang=pt" 
"S1677-04202003000300004-scl","The effect of lead on the phytochemistry of Tithonia diversifolia exposed to roadside automotive pollution or grown in pots of Pb-supplemented soil","Olivares, Elizabeth","Brazilian Journal of Plant Physiology; 15(3); 149-158","Brazilian Journal of Plant Physiology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202003000300004&lang=pt" 
"S1677-04202003000300002-scl","Cell wall hydrolases in the seeds of Euphorbia heterophylla L. during germination and early seedling development","Suda, Cecilia N. K., Buckeridge, Marcos S., Giorgini, Jarbas F.","Brazilian Journal of Plant Physiology; 15(3); 135-143","Brazilian Journal of Plant Physiology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202003000300002&lang=pt" 
"S1677-04202003000300003-scl","Heat treatment effects on ACC oxidase activity of &#039;Keitt&#039; mangoes","Bender, Renar João, Seibert, Eduardo, Brecht, Jeffrey K.","Brazilian Journal of Plant Physiology; 15(3); 145-148","Brazilian Journal of Plant Physiology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202003000300003&lang=pt" 
"S0102-37722003000300012-scl","Resenha: Psicologia escolar: ética e competências na formação e atuação profissional","Del Prette, Zilda A. Pereira","Psicologia: Teoria e Pesquisa; 19(3); 293-293","Psicologia: Teoria e Pesquisa","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722003000300012&lang=pt" 
"S0102-37722003000300013-scl","Resenha: Psicologia e fenomenologia: reflexões e perspectivas","Bogéa Perez, Manuela","Psicologia: Teoria e Pesquisa; 19(3); 295-295","Psicologia: Teoria e Pesquisa","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722003000300013&lang=pt" 
"S0102-37722003000300003-scl","Locus de controle em uma população do nordeste brasileiro","Vera Noriega, José Ángel, Albuquerque, Francisco José Batista de, Laborín Alvarez, Jesús Francisco, Oliveira, Liana Mirela Souza, Coronado, Guadalupe","Psicologia: Teoria e Pesquisa; 19(3); 211-220","Psicologia: Teoria e Pesquisa","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722003000300003&lang=pt" 
"S0102-37722003000300005-scl","Cartografia da publicação brasileira em saúde mental: 1980 - 1996","Passos, Izabel Christina Friche","Psicologia: Teoria e Pesquisa; 19(3); 231-239","Psicologia: Teoria e Pesquisa","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722003000300005&lang=pt" 
"S0102-37722003000300002-scl","Human rights: common meaning and differences in positioning","Doise, Willem","Psicologia: Teoria e Pesquisa; 19(3); 201-210","Psicologia: Teoria e Pesquisa","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722003000300002&lang=pt" 
"S0102-37722003000300010-scl","Análise custo-benefício do reforço negativo em contingências de esquiva sinalizada","Cameschi, Carlos Eduardo, Todorov, João Claudio","Psicologia: Teoria e Pesquisa; 19(3); 279-285","Psicologia: Teoria e Pesquisa","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722003000300010&lang=pt" 
"S0365-05962003000600005-scl","Lúpus eritematoso cutâneo crônico: estudo de 290 pacientes","Freitas, Thaís Helena Proença de, Proença, Nelson Guimarães","Anais Brasileiros de Dermatologia; 78(6); 703-712","Anais Brasileiros de Dermatologia","Inglês, Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962003000600005&lang=pt" 
"S0365-05962003000600004-scl","Avaliação do conhecimento quanto a prevenção do câncer da pele e sua relação com exposição solar em freqüentadores de academia de ginástica, em Recife","Hora, Clarissa da, Batista, Conceição Virgínia Costa, Guimarães, Patricia de Barros, Siqueira, Roberta, Martins, Sarita","Anais Brasileiros de Dermatologia; 78(6); 693-701","Anais Brasileiros de Dermatologia","Inglês, Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962003000600004&lang=pt" 
"S0365-05962003000600007-scl","Alopecia cicatricial da sarcoidose","Teixeira, Giane Pereira Giro, Paula, Luciana Vieira de, Sousa, Maria Auxiliadora Jeunon de, Succi, Isabel Cristina Brasil","Anais Brasileiros de Dermatologia; 78(6); 719-722","Anais Brasileiros de Dermatologia","Inglês, Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962003000600007&lang=pt" 
"S0365-05962003000600012-scl","Vasculite ou vasculopatia livedóide?","Zanini, Maurício, Wulkan, Cláudio, Bertino, Danielle, Ito, Lúcia","Anais Brasileiros de Dermatologia; 78(6); 755-757","Anais Brasileiros de Dermatologia","Inglês, Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962003000600012&lang=pt" 
"S0365-05962003000600011-scl","Ulceração das placas psoriáticas - efeito cutâneo adverso do metotrexato em altas doses no tratamento da psoríase: relato de três casos","Ataíde, Deborah Skusa de Torre, Esmanhoto, Luciana Dorigo Kucharski, Helmer, Karin Adriane, Guerra, Ivette Renata Caron, Guimarães, Christine de Campos Graf, Moritz, Sandra","Anais Brasileiros de Dermatologia; 78(6); 749-753","Anais Brasileiros de Dermatologia","Inglês, Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962003000600011&lang=pt" 
"S0066-782X2003001400008-scl","Spontaneous rupture of a right atrial angiosarcoma and cardiac tamponade","Corso, Ricardo Barros, Kraychete, Nadja, Nardeli, Sidnei, Moitinho, Rilson, Ourives, Cristiano, Silva, Rosenbert Mamedio da, Pereira, Ricardo Eloy","Arquivos Brasileiros de Cardiologia; 81(6); 611-613","Arquivos Brasileiros de Cardiologia","Inglês, Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2003001400008&lang=pt" 
"S1516-89132003000400002-scl","Lead behavior in soil treated with contaminated sewage sludge and cultivated with maize","Barriquelo, Marcilene Ferrari, Juliatti, Marinês Aparecida, Silva, Margarete Soares da, Lenzi, Ervim","Brazilian Archives of Biology and Technology; 46(4); 499-505","Brazilian Archives of Biology and Technology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132003000400002&lang=pt" 
"S1516-89132003000400005-scl","Genetic diversity in passion fruit (Passiflora spp.) evaluated by RAPD markers","Crochemore, Maria Lúcia, Molinari, Hugo Bruno Correa, Vieira, Luiz Gonzaga Esteves","Brazilian Archives of Biology and Technology; 46(4); 521-527","Brazilian Archives of Biology and Technology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132003000400005&lang=pt" 
"S1516-89132003000400004-scl","Association between floral bud size and developmental stage in soybean microspores","Lauxen, Mozart da Silva, Kaltchuk- Santos, Eliane, Hu, Ching -yeh, Callegari- Jacques, Sidia Maria, Bodanese-Zanettini, Maria Helena","Brazilian Archives of Biology and Technology; 46(4); 515-520","Brazilian Archives of Biology and Technology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132003000400004&lang=pt" 
"S1516-89132003000400009-scl","Bacteriocinogenic effect of Lactobacillus sakei 2a on microbiological quality of fermented Sardinella brasiliensis","Espírito Santo, Milton L. P., Beirão, Luiz H., Sant&#039;Anna, Ernani S., Dalcin, Eliana Bressa, Franco, Bernadette G. M.","Brazilian Archives of Biology and Technology; 46(4); 553-561","Brazilian Archives of Biology and Technology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132003000400009&lang=pt" 
"S1516-89132003000400008-scl","Comparison between the SPD and the SPDS methods for segregating generation advancement in soybean","Destro, Deonisio, Bizeti, Henrique Stoco, Garcia, Leandro Anderlin, Fonseca, Inês Cristina de Batista, Montalván, Ricardo, Miglioranza, Édison","Brazilian Archives of Biology and Technology; 46(4); 545-551","Brazilian Archives of Biology and Technology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132003000400008&lang=pt" 
"S1516-89132003000400011-scl","Use of modified atmosphere in seafood preservation","Soccol, Marcilene C. Heidmann, Oetterer, Marília","Brazilian Archives of Biology and Technology; 46(4); 569-580","Brazilian Archives of Biology and Technology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132003000400011&lang=pt" 
"S1516-89132003000400013-scl","Profile of the alcohols produced in fermentations with malt contaminated with trichothecenes","Reinehr, Christian Oliveira, Furlong, Eliana Badiale","Brazilian Archives of Biology and Technology; 46(4); 587-593","Brazilian Archives of Biology and Technology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132003000400013&lang=pt" 
"S1516-89132003000400014-scl","Effect of salt on color and warmed over flavor in charqui meat processing","Youssef, Elza Y., Garcia, Carlos E. Rocha, Shimokomaki, Massami","Brazilian Archives of Biology and Technology; 46(4); 595-600","Brazilian Archives of Biology and Technology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132003000400014&lang=pt" 
"S1516-89132003000400015-scl","Longissimus dorsi fatty acids composition of Bos indicus and Bos indicus x Bos taurus crossbred steers finished in pasture","Prado, Ivanor Nunes do, Moreira, Fernanda Barros, Matsushita, Makoto, Souza, Nilson Evelázio de","Brazilian Archives of Biology and Technology; 46(4); 601-608","Brazilian Archives of Biology and Technology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132003000400015&lang=pt" 
