"S0080-62341996000100010-scl","Avaliação da gravidade do traumatismo crânio-encefálico por índices anatômicos e fisiológicos","Imai, Maria de Fátima Paiva, Koizumi, Maria Sumie","Revista da Escola de Enfermagem da USP; 30(1); 116-137","Revista da Escola de Enfermagem da USP","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62341996000100010&lang=pt" 
"S0864-21251996000200011-cub","Grandes benefactores de la humanidad: los Premios Nobel de Medicina y Fisiología","López Espinosa, José Antonio, Díaz del Campo, Soledad","Revista Cubana de Medicina General Integral; 12(2); 202-208","Revista Cubana de Medicina General Integral","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21251996000200011&lang=pt" 
"S0034-89101996000200001-scl","Studies on mosquitoes (Diptera: Culicidae) and anthropic environment: 11 - Biting activity and blood-seeking parity of Anopheles (Kerteszia) in South-Eastern Brazil","Forattini, Oswaldo Paulo, Kakitani, Iná, Massad, Eduardo, Marucci, Daniel","Revista de Saúde Pública; 30(2); 107-114","Revista de Saúde Pública","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101996000200001&lang=pt" 
"S0034-89101996000200006-scl","Taxa de mortalidade de menores de 5 anos proposta pela UNICEF: análise crítica de sua validade como indicador de saúde","Laurenti, Ruy, Santos, Jair Lício Ferreira","Revista de Saúde Pública; 30(2); 148-152","Revista de Saúde Pública","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101996000200006&lang=pt" 
"S0034-89101996000200005-scl","O uso da técnica de &quot;Linkage&quot; de sistemas de informação em estudos de coorte sobre mortalidade neonatal","Almeida, Marcia Furquim de, Mello Jorge, Maria Helena P. de","Revista de Saúde Pública; 30(2); 141-147","Revista de Saúde Pública","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101996000200005&lang=pt" 
"S0034-89101996000200004-scl","Análise de exames de imunofluorescência direta para o diagnóstico de tracoma","Medina, Norma H., Gentil, Rosana M., Caraça, Márcia, Suzuki, César K., Melles, Heloísa H. B.","Revista de Saúde Pública; 30(2); 135-140","Revista de Saúde Pública","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101996000200004&lang=pt" 
"S0034-89101996000200012-scl","Controle da raiva no Brasil de 1980 a 1990","Schneider, Maria Cristina, Almeida, George A. de, Souza, Lúcia Maria, Morares, Nélio B. de, Diaz, Roberta C.","Revista de Saúde Pública; 30(2); 196-203","Revista de Saúde Pública","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101996000200012&lang=pt" 
"S0034-89101996000200006-spa","Taxa de mortalidade de menores de 5 anos proposta pela UNICEF: análise crítica de sua validade como indicador de saúde","Laurenti, Ruy, Santos, Jair Lício Ferreira","Revista de Saúde Pública; 30(2); 148-152","Revista de Saúde Pública","Português","1996","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101996000200006&lang=pt" 
"S0034-89101996000200012-spa","Controle da raiva no Brasil de 1980 a 1990","Schneider, Maria Cristina, Almeida, George A. de, Souza, Lúcia Maria, Morares, Nélio B. de, Diaz, Roberta C.","Revista de Saúde Pública; 30(2); 196-203","Revista de Saúde Pública","Português","1996","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101996000200012&lang=pt" 
"S0034-89101996000200011-spa","Programa comunitário de hemoglobinopatias hereditárias em população estudantil brasileira","Compri, Mariane B., Polimeno, Newton C., Stella, Mércia B., Ramalho, Antônio S.","Revista de Saúde Pública; 30(2); 187-195","Revista de Saúde Pública","Português","1996","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101996000200011&lang=pt" 
"S0034-89101996000200010-spa","A importância do médico pediatra na promoção da saúde bucal","Schalka, Mariângela M. S., Rodrigues, Célia R. M. D.","Revista de Saúde Pública; 30(2); 179-186","Revista de Saúde Pública","Português","1996","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101996000200010&lang=pt" 
"S0034-89101996000200009-spa","Modelo hierarquizado: uma proposta de modelagem aplicada à investigação de fatores de risco para diarréia grave","Fuchs, Sandra C, Victora, Cesar G., Fachel, Jandyra","Revista de Saúde Pública; 30(2); 168-178","Revista de Saúde Pública","Português","1996","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101996000200009&lang=pt" 
"S0034-89101996000200008-spa","Avaliação da efetividade do controle da hipertensão arterial em unidade básica de saúde","Sala, Arnaldo, Nemes Filho, Alexandre, Eluf-Neto, José","Revista de Saúde Pública; 30(2); 161-167","Revista de Saúde Pública","Português","1996","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101996000200008&lang=pt" 
"S0034-89101996000200007-spa","Morbidade referida e utilização de serviços de saúde em localidades urbanas brasileiras: metodologia","Cesar, Chester L. G., Figueiredo, Gerusa Maria, Westphal, Márcia F., Cardoso, Maria Regina A., Costa, Maria Zilda de A., Gattás, Vera Lucia","Revista de Saúde Pública; 30(2); 153-160","Revista de Saúde Pública","Português","1996","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101996000200007&lang=pt" 
"S0034-89101996000200005-spa","O uso da técnica de &quot;Linkage&quot; de sistemas de informação em estudos de coorte sobre mortalidade neonatal","Almeida, Marcia Furquim de, Mello Jorge, Maria Helena P. de","Revista de Saúde Pública; 30(2); 141-147","Revista de Saúde Pública","Português","1996","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101996000200005&lang=pt" 
"S0034-89101996000200004-spa","Análise de exames de imunofluorescência direta para o diagnóstico de tracoma","Medina, Norma H., Gentil, Rosana M., Caraça, Márcia, Suzuki, César K., Melles, Heloísa H. B.","Revista de Saúde Pública; 30(2); 135-140","Revista de Saúde Pública","Português","1996","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101996000200004&lang=pt" 
"S0034-89101996000200003-spa","Determinação das fontes alimentares de Anopheles aquasalis (Diptera: Culicidae) no Estado do Rio de Janeiro, Brasil, pelo teste de precipitina","Flores-Mendoza, Carmen, Cunha, Rodolfo A., Rocha, Dayse S., Lourenço-de-Oliveira, Ricardo","Revista de Saúde Pública; 30(2); 129-134","Revista de Saúde Pública","Português","1996","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101996000200003&lang=pt" 
"S0034-89101996000200002-spa","Estudo dos flebotomíneos (Diptera, Pychodidae), em área de leishmaniose tegumentar, no Estado de Mato Grosso do Sul, Brasil","Galati, Eunice A. B., Nunes, Vânia L. B., Dorval, Maria Elizabeth C., Oshiro, Elisa T., Cristaldo, Geucira, Espíndola, Marcos A., Rocha, Hilda C. da, Garcia, Wladimir Barbosa","Revista de Saúde Pública; 30(2); 115-128","Revista de Saúde Pública","Português","1996","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101996000200002&lang=pt" 
"S0034-89101996000200001-spa","Studies on mosquitoes (Diptera: Culicidae) and anthropic environment: 11 - Biting activity and blood-seeking parity of Anopheles (Kerteszia) in South-Eastern Brazil","Forattini, Oswaldo Paulo, Kakitani, Iná, Massad, Eduardo, Marucci, Daniel","Revista de Saúde Pública; 30(2); 107-114","Revista de Saúde Pública","Inglês","1996","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101996000200001&lang=pt" 
"S0034-89101996000200002-scl","Estudo dos flebotomíneos (Diptera, Pychodidae), em área de leishmaniose tegumentar, no Estado de Mato Grosso do Sul, Brasil","Galati, Eunice A. B., Nunes, Vânia L. B., Dorval, Maria Elizabeth C., Oshiro, Elisa T., Cristaldo, Geucira, Espíndola, Marcos A., Rocha, Hilda C. da, Garcia, Wladimir Barbosa","Revista de Saúde Pública; 30(2); 115-128","Revista de Saúde Pública","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101996000200002&lang=pt" 
"S0034-89101996000200003-scl","Determinação das fontes alimentares de Anopheles aquasalis (Diptera: Culicidae) no Estado do Rio de Janeiro, Brasil, pelo teste de precipitina","Flores-Mendoza, Carmen, Cunha, Rodolfo A., Rocha, Dayse S., Lourenço-de-Oliveira, Ricardo","Revista de Saúde Pública; 30(2); 129-134","Revista de Saúde Pública","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101996000200003&lang=pt" 
"S0034-89101996000200007-scl","Morbidade referida e utilização de serviços de saúde em localidades urbanas brasileiras: metodologia","Cesar, Chester L. G., Figueiredo, Gerusa Maria, Westphal, Márcia F., Cardoso, Maria Regina A., Costa, Maria Zilda de A., Gattás, Vera Lucia","Revista de Saúde Pública; 30(2); 153-160","Revista de Saúde Pública","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101996000200007&lang=pt" 
"S0034-89101996000200009-scl","Modelo hierarquizado: uma proposta de modelagem aplicada à investigação de fatores de risco para diarréia grave","Fuchs, Sandra C, Victora, Cesar G., Fachel, Jandyra","Revista de Saúde Pública; 30(2); 168-178","Revista de Saúde Pública","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101996000200009&lang=pt" 
"S0034-89101996000200010-scl","A importância do médico pediatra na promoção da saúde bucal","Schalka, Mariângela M. S., Rodrigues, Célia R. M. D.","Revista de Saúde Pública; 30(2); 179-186","Revista de Saúde Pública","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101996000200010&lang=pt" 
"S0034-89101996000200011-scl","Programa comunitário de hemoglobinopatias hereditárias em população estudantil brasileira","Compri, Mariane B., Polimeno, Newton C., Stella, Mércia B., Ramalho, Antônio S.","Revista de Saúde Pública; 30(2); 187-195","Revista de Saúde Pública","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101996000200011&lang=pt" 
"S0034-89101996000200008-scl","Avaliação da efetividade do controle da hipertensão arterial em unidade básica de saúde","Sala, Arnaldo, Nemes Filho, Alexandre, Eluf-Neto, José","Revista de Saúde Pública; 30(2); 161-167","Revista de Saúde Pública","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101996000200008&lang=pt" 
"S0375-07601996000100001-cub","Tres combinaciones de esterasas y su relación con la resistencia a insecticidas organofosforados, carbamatos y piretroides en Culex quinquefasciatus Say, 1823 (Diptera: Culicidae) de Cuba","BISSET, JUAN A, DIEGUEZ, LORENZO, RODRIGUEZ, MARIA M, DIAZ, CRISTINA, GONZALEZ, TANIA, VAZQUEZ, RAYZA","Revista Cubana de Medicina Tropical; 48(1); 5-11","Revista Cubana de Medicina Tropical","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07601996000100001&lang=pt" 
"S0375-07601996000100002-cub","Observaciones sobre aspectos biológicos de Blattella germanica (Dictyoptera: Blattellidae) en condiciones de laboratorio","AGUILERA, LUCITA, MARQUETTI, MARIA C, FUENTES, OMAR, NAVARRO, AGUSTIN","Revista Cubana de Medicina Tropical; 48(1); 12-14","Revista Cubana de Medicina Tropical","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07601996000100002&lang=pt" 
"S0375-07601996000100003-cub","Efecto de las dosis letales de plantas de la familia Agavaceae sobre la actividad cardíaca y la oviposición de Biomphalaria havanensis (Mollusca: Planorbidae)","DIAZ GARCES, ROSALBA, FERRER LOPEZ, JOSE R","Revista Cubana de Medicina Tropical; 48(1); 15-20","Revista Cubana de Medicina Tropical","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07601996000100003&lang=pt" 
"S0375-07601996000100004-cub","Influencia de inhibidores del desarrollo sobre la reproducción de Musca domestica (Diptera: Muscidae)","AMBROS GINARTE, CARMEN, MONTADA DORTA, DOMINGO","Revista Cubana de Medicina Tropical; 48(1); 21-25","Revista Cubana de Medicina Tropical","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07601996000100004&lang=pt" 
"S0375-07601996000100005-cub","Cría masiva de Romanomermis culicivorax (Nematoda: Mermithidae) en las condiciones tropicales de Cuba","SANTAMARINA MIJARES, ALBERTO","Revista Cubana de Medicina Tropical; 48(1); 26-33","Revista Cubana de Medicina Tropical","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07601996000100005&lang=pt" 
"S0375-07601996000100006-cub","Enfermedad meningocócica y VA-MENGOC BC en menores de 1 año. Cuba, 1983 a 1991","RICO CORDEIRO, OSVALDO, JIMENEZ BARRERAS, REYNALDO, PEREIRA COLLS, CARLOTA","Revista Cubana de Medicina Tropical; 48(1); 34-39","Revista Cubana de Medicina Tropical","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07601996000100006&lang=pt" 
"S0375-07601996000100007-cub","Nuevo medio sólido para el crecimiento de Borrelia persica y Borrelia microti","BAHRMAND, A.R, NEKOUI, H, ARDEKANI, A.M","Revista Cubana de Medicina Tropical; 48(1); 40-44","Revista Cubana de Medicina Tropical","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07601996000100007&lang=pt" 
"S0375-07601996000100008-cub","Validación de un ultramicroELISA de detección de anticuerpos contra el antígeno de superficie de la hepatitis B","RODRIGUEZ, LICEL, BALMASEDA, ANGEL, BRAVO, JOSE, TRUJILLO, JANETTE, MARTINEZ, LETICIA, OCHOA, ROLANDO, DIAZ, MANUEL, LAFERTE, JOSE, RAMOS, FRANCISCO","Revista Cubana de Medicina Tropical; 48(1); 45-49","Revista Cubana de Medicina Tropical","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07601996000100008&lang=pt" 
"S0375-07601996000100009-cub","Neumonía por Aeromonas hydrophila asociada a un accidente de tránsito","VAZQUEZ PILOTO, ALEJANDRO, GONZALEZ RAMIREZ, ANDREA N, CRUZ ROBAINA, JUAN C, MONTE BOADA, RAUL J, BRAVO FARIÑAS, LAURA, ALVAREZ MEDINA, ANA MARIA","Revista Cubana de Medicina Tropical; 48(1); 50-52","Revista Cubana de Medicina Tropical","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07601996000100009&lang=pt" 
"S0375-07601996000100010-cub","Secuenciación directa de un producto amplificado de una muestra de suero","ALVAREZ, MAYLING, GUZMAN, MARÍA G, ROSARIO, DELFINA, VÁZQUEZ, SUSANA, PELEGRINO, JOSÉ L, SARIOL, CARLOS A, KOURI, GUSTAVO","Revista Cubana de Medicina Tropical; 48(1); 53-55","Revista Cubana de Medicina Tropical","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07601996000100010&lang=pt" 
"S0375-07601996000100011-cub","Respuesta anómala de anticuerpos de infecciones virales productoras de rash","RESIK AGUIRRE, SONIA, SARIOL CURBELO, CARLOS A, ALVAREZ VEGA, MARITZA, MARRERO SUAREZ, MIGUEL","Revista Cubana de Medicina Tropical; 48(1); 56-58","Revista Cubana de Medicina Tropical","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07601996000100011&lang=pt" 
"S0375-07601996000100012-cub","Evaluación de un Dot ELISA para la detección de antígeno de Rotavirus","RIBAS ANTUNEZ, MARIA DE LOS ANGELES, FERNANDEZ, DAYSI, RODRIGUEZ, CARINA, TORAÑO, ILEANA, PIMENTEL, TAMARA","Revista Cubana de Medicina Tropical; 48(1); 59-61","Revista Cubana de Medicina Tropical","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07601996000100012&lang=pt" 
"S1024-94351996000100001-cub","Educación y calidad: dos eslabones en la cadena del servicio de excelencia","","ACIMED; 4(1); 3-5","ACIMED","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94351996000100001&lang=pt" 
"S1024-94351996000100002-cub","La literatura científica alemana al alcance del médico hispanohablante","López Espinosa, José Antonio, Díaz del Campo, Soledad","ACIMED; 4(1); 6-12","ACIMED","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94351996000100002&lang=pt" 
"S1024-94351996000100003-cub","Algunas experiencias en el desarrollo de servicios especiales de información en el sector de la salud","Cué Brugueras, Manuel, Rodríguez Pérez, José Francisco","ACIMED; 4(1); 13-22","ACIMED","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94351996000100003&lang=pt" 
"S1024-94351996000100004-cub","Necesidad de las notas de alcance de los calificadores en la &quot;Introducción&quot; del tesauro Descriptores en Ciencias de la Salud (DeCS)","Valdés Abreu, Manuela de la C","ACIMED; 4(1); 23-28","ACIMED","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94351996000100004&lang=pt" 
"S1024-94351996000100006-cub","Los boletines de especialidades médicas de la revista RESUMED: una fuente actualizada de información","Borroto O&#039;Farrill, Tania, García Ronquillo, Mirtha","ACIMED; 4(1); 37-40","ACIMED","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94351996000100006&lang=pt" 
"S1024-94351996000100007-cub","Mitos o realidades: a propósito de la publicación de trabajos científicos","de Rovira, J. Benach, Tapia Granados, JA","ACIMED; 4(1); 41-46","ACIMED","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94351996000100007&lang=pt" 
"S1024-94351996000100008-cub","H.T. Blanke: comentarios a artículos científicos","","ACIMED; 4(1); 47-53","ACIMED","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94351996000100008&lang=pt" 
"S1024-94351996000100009-cub","Resúmenes de artículos de revistas extranjeras","","ACIMED; 4(1); 54-59","ACIMED","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94351996000100009&lang=pt" 
"S1024-94351996000100010-cub","Traducción y Terminología: Repertorio Biográfico Internacional&lt;1","","ACIMED; 4(1); 60-62","ACIMED","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94351996000100010&lang=pt" 
"S1024-94351996000100005-cub","Productividad de los editores y países representados en el servicio Current Contents durante 1994","Cañedo Andalia, Rubén, Castellanos Batista, Marelys, Penichet Bruzón, Marina, Más López, Yoandra, Ramos Villavicencio, Ana Elvis","ACIMED; 4(1); 29-36","ACIMED","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94351996000100005&lang=pt" 
"S0034-75231996000100001-cub","Factores psicológicos del asma bronquial","Rodríguez López, Geidy, Rodríguez Vázquez, Juan Carlos","Revista Cubana de Medicina; 35(1); 3-5","Revista Cubana de Medicina","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75231996000100001&lang=pt" 
"S0034-75231996000100002-cub","Recurrencias en el infarto cerebral","Pérez Nellar, Jesús, Beguería Santos, Ramón","Revista Cubana de Medicina; 35(1); 6-8","Revista Cubana de Medicina","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75231996000100002&lang=pt" 
"S0034-75231996000100003-cub","Elementos de predicción en la nefropatía por inmunoglobulina A","Benítez Llanes, Orestes, Henrry Pavier, Juan Alberto, Castañer Moreno, Juan, Fuentes Abreu, Jorge","Revista Cubana de Medicina; 35(1); 9-16","Revista Cubana de Medicina","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75231996000100003&lang=pt" 
"S0034-75231996000100004-cub","Tratamiento de hiperprolactinemia idiopática con lisurida","Santana Pérez, Felipe, Andino Valdés, Nieves","Revista Cubana de Medicina; 35(1); 17-23","Revista Cubana de Medicina","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75231996000100004&lang=pt" 
"S0034-75231996000100005-cub","Valor de la ortopantomografía en la poliposis familiar de colon","Jiménez Mesa, Graciela, López Barbán, María Aurora, Hano García, Olga","Revista Cubana de Medicina; 35(1); 24-29","Revista Cubana de Medicina","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75231996000100005&lang=pt" 
"S0034-75231996000100007-cub","Enfermedad de Wilson. Su diagnóstico en el adulto","Hano García, Olga, Jiménez Mesa, Graciela, Pérez Brioso, Antonio, Pomar Montalvo, Felicia","Revista Cubana de Medicina; 35(1); 37-43","Revista Cubana de Medicina","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75231996000100007&lang=pt" 
"S0034-75231996000100008-cub","Furosemida y asma bronquial","Rodríguez Vázquez, Juan Carlos, Pino Alfonso, Pedro P., Gassiot Nuño, Carlos, Rodríguez Fernández, Rolando, Rodríguez López, Geidy","Revista Cubana de Medicina; 35(1); 44-48","Revista Cubana de Medicina","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75231996000100008&lang=pt" 
"S0034-75231996000100009-cub","Conceptos actuales sobre tratamiento anticoagulante","Litin, Scott C., Gastineau, Dennis A.","Revista Cubana de Medicina; 35(1); 49-52","Revista Cubana de Medicina","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75231996000100009&lang=pt" 
"S0034-75231996000100011-cub","Granulomatosis alérgica con presentación inusual","Buchaca Faxas, Emilio, Roselló Silva, Nelson, Ochoa Ochoa, María de la Concepción, Rodríguez Vázquez, Juan C., Alvarez Batard, Germinal","Revista Cubana de Medicina; 35(1); 71-75","Revista Cubana de Medicina","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75231996000100011&lang=pt" 
"S0034-75231996000100010-cub","Enfermedad inmunoproliferativa del intestino delgado","Vázquez Vigoa, Alfredo, Senra Armas, Luis, Llorens Núñez, Marta, Caballero Maytín, Juan Carlos, Chong, Agustín","Revista Cubana de Medicina; 35(1); 53-70","Revista Cubana de Medicina","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75231996000100010&lang=pt" 
"S0034-75231996000100006-cub","Reinfarto cardiaco","Riverón González, José Manuel, Péris Cid, Alina, Fernández Fajardo, Luis, López Báez, Braulio","Revista Cubana de Medicina; 35(1); 30-36","Revista Cubana de Medicina","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75231996000100006&lang=pt" 
"S1018-130X1996000200002-per","Apendicitis aguda en el paciente senil: Factores asociados a una mayor morbimortalidad post operatoria","Chian Chang, Víctor Eduardo, Vicuña Ricardo, Iván, Baracco Miller, Victor","Revista Medica Herediana; 7(2); 62-67","Revista Medica Herediana","Espanhol","1996","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X1996000200002&lang=pt" 
"S1018-130X1996000200003-per","Características epidemiológicas de los pacientes con paraparesia espástica tropical (PET) asociada a infección por HTLV-1 en Lima, Perú.","De las Casas, César, Gotuzzo, Eduardo, Deza, Luis, Cabrera, Juan, Castañeda, César, Watts, Douglas","Revista Medica Herediana; 7(2); 68-74","Revista Medica Herediana","Espanhol","1996","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X1996000200003&lang=pt" 
"S1018-130X1996000200004-per","Riesgo anual de infección tuberculosa y su tendencia evolutiva en escolares de 6 a 9 años, en Trujillo - Perú.","Aguilar A, Román J, Alvarado G, Gilberto","Revista Medica Herediana; 7(2); 75-83","Revista Medica Herediana","Espanhol","1996","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X1996000200004&lang=pt" 
"S1018-130X1996000200005-per","Control de calidad de la &quot;Uña de gato&quot;.","Velasquez, Heydi, Salas, María1, Gonzales, Inés, Fernandez, Irma, Castro De La Mata, Ramiro","Revista Medica Herediana; 7(2); 84-86","Revista Medica Herediana","Espanhol","1996","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X1996000200005&lang=pt" 
"S1018-130X1996000200007-per","Psicosis inducida (&quot;foliex a deux&quot;) e intoxicación crónica por plomo.: Reporte de un caso y discusión.","Arias, Jaime, Malaga, Germán","Revista Medica Herediana; 7(2); 101-104","Revista Medica Herediana","Espanhol","1996","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X1996000200007&lang=pt" 
"S1018-130X1996000200001-per","El sesgo de publicación en medicina","Miyahira Arakaki, Juan","Revista Medica Herediana; 7(2); 59-61","Revista Medica Herediana","Espanhol","1996","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X1996000200001&lang=pt" 
"S1018-130X1996000200006-per","Cáncer de estómago.","Barboza Besada, Eduardo","Revista Medica Herediana; 7(2); 87-100","Revista Medica Herediana","Espanhol","1996","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1018-130X1996000200006&lang=pt" 
"S0074-02761996000200011-scl","Biomphalaria subprona (Martens, 1899) (Gastropoda: Planorbidae)","Paraense, W Lobato","Memórias do Instituto Oswaldo Cruz; 91(2); 187-190","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200011&lang=pt" 
"S0074-02761996000200015-scl","Evaluation of the rabbit as a model for Chagas disease - II: histopathologic studies of the heart, digestive tract and skeletal muscle","Silva, Arnaldo Moreira da, Ramirez, Luiz Eduardo, Vargas, Marlene, Chapadeiro, Edmundo, Brener, Zigman","Memórias do Instituto Oswaldo Cruz; 91(2); 199-206","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200015&lang=pt" 
"S0074-02761996000200021-scl","Reproductive behavior of Ravinia belforti (Prado &amp; Fonseca,1932) (Diptera: Sarcophagidae) females reared, in isolation, in the laboratory at Rio de Janeiro, RJ, Brazil","d&#039;Almeida, José Mario","Memórias do Instituto Oswaldo Cruz; 91(2); 239-240","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200021&lang=pt" 
"S0074-02761996000200022-scl","Comparison of the blood meal size among Triatoma infestans, T. guasayana and T. sordida (Hemiptera: Reduviidae) of Argentina under laboratory conditions","Pietrokovsky, Silvia, Bottazzi, Victoria, Schweigmann, Nicolás, Haedo, Ana, Wisnivesky-Colli, Cristina","Memórias do Instituto Oswaldo Cruz; 91(2); 241-242","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200022&lang=pt" 
"S0074-02761996000200013-scl","Montenegro skin test - evaluation of the composition and stability of the antigen preparation","Costa, Carlos Alberto da, Toledo, Vicente de Paulo Coelho Peixoto de, Genaro, Odair, Williams, Paul, Mayrink, Wilson","Memórias do Instituto Oswaldo Cruz; 91(2); 193-194","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200013&lang=pt" 
"S0074-02761996000200009-scl","Redescription of Lutzomyia (Lutzomyia) souzalopesi Martins, Silva &amp; Falcão, 1970 (Diptera, Psychodidae, Phlebotominae)","Dias, Edelberto Santos, Andrade Filho, José Dilermando, Falcão, Alda Lima","Memórias do Instituto Oswaldo Cruz; 91(2); 173-176","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200009&lang=pt" 
"S0074-02761996000200005-scl","Seasonality of Phaeotabanus fervens (Diptera: Tabanidae) in the Pantanal region, Brazil","Barros, Antonio Thadeu M","Memórias do Instituto Oswaldo Cruz; 91(2); 159-159","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200005&lang=pt" 
