"S1516-14392016000501033-scl","Effect of Cold Work on Cavitation Resistance of an Austenitic Stainless Steel Coating","Cruz, Juliane Ribeiro da, Henke, Sérgio Luiz, d&#039;Oliveira, Ana Sofia Clímaco Monteiro","Materials Research; 19(5); 1033-1041","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501033&lang=pt" 
"S0103-50532016001001774-scl","Synthesis, Surface Properties and Biological Activity of Long Chain Ammonium Herbicidal Ionic Liquids","Giszter, Rafał, Fryder, Marta, Marcinkowska, Katarzyna, Sznajdrowska, Agata","Journal of the Brazilian Chemical Society; 27(10); 1774-1781","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001774&lang=pt" 
"S0103-50532016001001807-scl","Synthesis and Antifungal Activity Against Candida Strains of Mesoionic System Derived From 1,3-Thyazolium-5-thiolate","Peixoto, Isabelle N., Souza, Helivaldo D. S., Lira, Bruno F., Silva, Daniele F., Lima, Edeltrudes O., Barbosa-Filho, José M., Athayde-Filho, Petrônio F. de","Journal of the Brazilian Chemical Society; 27(10); 1807-1813","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001807&lang=pt" 
"S0103-50532016001001866-scl","Tunable Photochemical/Redox Properties of (Phenylthio)ncorannulenes: Application to a Photovoltaic Device","Steinauer, Angela, Butterfield, Anna M., Linden, Anthony, Molina-Ontario, Agustin, Buck, David C., Cotta, Robert W., Echegoyen, Luis, Baldridge, Kim K., Siegel, Jay S.","Journal of the Brazilian Chemical Society; 27(10); 1866-1871","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001866&lang=pt" 
"S0103-50532016001001899-scl","Chromophoreasy, an Excel-Based Program for Detection and Integration of Peaks from Chromatographic and Electromigration Techniques","Vaz, Fernando A. S., Neves, Leandra N. O., Marques, Rafael, Sato, Renata T., Oliveira, Marcone A. L.","Journal of the Brazilian Chemical Society; 27(10); 1899-1911","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001899&lang=pt" 
"S0103-50532016001001766-scl","Phosphate Modification of Nano Titania and Its Effect on the Photodegradation of EDTA","Iravani, Effat, Allahyari, Sareh Ammari, Torab-Mostaedi, Meisam","Journal of the Brazilian Chemical Society; 27(10); 1766-1773","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001766&lang=pt" 
"S0103-50532016001001792-scl","Application of Solvent Demulsification-Dispersive Liquid-Liquid Microextraction Based on Solidification of Floating Organic Drop Coupled with High Perfomence Liquid Chromatography in Determination of Sulfonylurea Herbicides in Water and Soil","Yan, Li, Jing, Zhu, Lin, Ren, Yongxin, Li, Xiaoli, Zou","Journal of the Brazilian Chemical Society; 27(10); 1792-1799","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001792&lang=pt" 
"S0103-50532016001001820-scl","Iodine(III)-Mediated Ring Contraction Reactions: Synthesis of Oxygen- and Nitrogen-Substituted Indanes","Ahmad, Anees, Silva Júnior, Luiz F.","Journal of the Brazilian Chemical Society; 27(10); 1820-1831","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001820&lang=pt" 
"S0103-50532016001001782-scl","Application of an Accurate and Validated Method for Identification and Quantification of Acrylamide in Bread, Biscuits and Other Bakery Products Using GC-MS/MS System","Negoiță, Mioara, Culețu, Alina","Journal of the Brazilian Chemical Society; 27(10); 1782-1791","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001782&lang=pt" 
"S0103-50532016001001736-scl","The HPLC Fingerprint Analysis of Selected Cirsium Species with Aid of Chemometrics","Hawrył, Anna M., Ziobro, Agata, Swieboda, Ryszard S., Hawrył, Mirosław A., Chernetskyy, Mykhaylo, Waksmundzka-Hajnos, Monika","Journal of the Brazilian Chemical Society; 27(10); 1736-1743","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001736&lang=pt" 
"S0103-50532016001001889-scl","Ethanol Production from Sugarcane Bagasse Using Phosphoric Acid-Catalyzed Steam Explosion","Pitarelo, Ana Paula, Fonseca, César S. da, Chiarello, Luana M., Gírio, Francisco M., Ramos, Luiz P.","Journal of the Brazilian Chemical Society; 27(10); 1889-1898","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001889&lang=pt" 
"S0103-50532016001001705-scl","It Is Necessary to Resist","Zarbin, Aldo José Gorgatti","Journal of the Brazilian Chemical Society; 27(10); 1705-1705","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001705&lang=pt" 
"S0213-91112016000500016-esp","Uso de customer relationship management para mejorar la atención sanitaria de la ciudadanía: servicio Salud Andalucía 24 horas. Salud Responde","Quero, Manuel, Ramos, María Belén, López, Wilfredo, Cubillas, Juan José, González, José María, Castillo, José Luis","Gaceta Sanitaria; 30(5); 397-400","Gaceta Sanitaria","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112016000500016&lang=pt" 
"S0213-91112016000500010-esp","Influencia de la duración de la estancia hospitalaria sobre la mortalidad tras el alta en pacientes mayores con patología médica aguda","López Pardo, Patricia, Socorro García, Alberto, Baztán Cortés, Juan José","Gaceta Sanitaria; 30(5); 375-378","Gaceta Sanitaria","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112016000500010&lang=pt" 
"S0213-91112016000500017-esp","Píldora poscoital: un debate científico necesario","Alegre-del Rey, Emilio Jesús, Fénix-Caballero, Silvia, Díaz-Navarro, Jorge, Rodríguez-Martín, Esteban","Gaceta Sanitaria; 30(5); 401-402","Gaceta Sanitaria","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112016000500017&lang=pt" 
"S0213-91112016000500018-esp","Intervención integral al paciente polimedicado","Rodríguez del Río, Elena, Martínez Agüero, María, Arias Fernández, Lourdes, Martín-Sánchez, Francisco Javier","Gaceta Sanitaria; 30(5); 402-402","Gaceta Sanitaria","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112016000500018&lang=pt" 
"S0213-91112016000500002-esp","Discursos profesionales sobre la violencia del compañero íntimo: implicación en la atención de las mujeres inmigrantes en España","Briones-Vozmediano, Erica, Davó-Blanes, M.ª Carmen, García-de la Hera, Manuela, Goicolea, Isabel, Vives-Cases, Carmen","Gaceta Sanitaria; 30(5); 326-332","Gaceta Sanitaria","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112016000500002&lang=pt" 
"S0213-91112016000500011-esp","Trans-fatty acid content of food products in Spain in 2015","Pérez-Farinós, Napoleón, Dal Re Saavedra, María Ángeles, Villar Villalba, Carmen, Robledo de Dios, Teresa","Gaceta Sanitaria; 30(5); 379-382","Gaceta Sanitaria","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112016000500011&lang=pt" 
"S0213-91112016000500013-esp","El cribado del cáncer de pulmón mediante tomografía computarizada de baja dosis de radiación: posición a favor","Bertó, Juan, Zulueta, Javier J.","Gaceta Sanitaria; 30(5); 386-388","Gaceta Sanitaria","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112016000500013&lang=pt" 
"S0213-91112016000500008-esp","Opinions and practices regarding electronic cigarette use among Romanian high school students","Lotrean, Lucia Maria, Varga, Bianca, Popa, Monica, Radu Loghin, Cornel, Man, Milena Adina, Trofor, Antigona","Gaceta Sanitaria; 30(5); 366-369","Gaceta Sanitaria","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112016000500008&lang=pt" 
"S0213-91112016000500012-esp","Contra: el cribado del cáncer de pulmón con tomografía computarizada de baja dosis","Ruano-Ravina, Alberto, Fernández-Villar, Alberto, Provencio-Pulla, Mariano","Gaceta Sanitaria; 30(5); 383-385","Gaceta Sanitaria","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112016000500012&lang=pt" 
"S0213-91112016000500014-esp","Deconstructing myths, building alliances: a networking model to enhance tobacco control in hospital mental health settings","Ballbè, Montse, Gual, Antoni, Nieva, Gemma, Saltó, Esteve, Fernández, Esteve","Gaceta Sanitaria; 30(5); 389-392","Gaceta Sanitaria","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112016000500014&lang=pt" 
"S0213-91112016000500006-esp","Cost-utility analysis of an integrated care model for multimorbid patients based on a clinical trial","Lanzeta, Itziar, Mar, Javier, Arrospide, Arantzazu","Gaceta Sanitaria; 30(5); 352-358","Gaceta Sanitaria","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112016000500006&lang=pt" 
"S0213-91112016000500005-esp","The use of clinical practice guidelines in primary care: professional mindlines and control mechanisms","Gené-Badia, Joan, Gallo, Pedro, Caïs, Jordi, Sánchez, Emília, Carrion, Carme, Arroyo, Liliana, Aymerich, Marta","Gaceta Sanitaria; 30(5); 345-351","Gaceta Sanitaria","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112016000500005&lang=pt" 
"S0213-91112016000500004-esp","Inequalities in mental health in the working population of Spain: a National Health Survey-based study","Arias-de la Torre, Jorge, Artazcoz, Lucía, Molina, Antonio José, Fernández-Villa, Tania, Martín, Vicente","Gaceta Sanitaria; 30(5); 339-344","Gaceta Sanitaria","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112016000500004&lang=pt" 
"S0213-91112016000500007-esp","Medida de la eficiencia de la atención primaria en Barcelona incorporando indicadores de calidad","Romano, José, Choi, Álvaro","Gaceta Sanitaria; 30(5); 359-365","Gaceta Sanitaria","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112016000500007&lang=pt" 
"S0213-91112016000500003-esp","Análisis de fiabilidad y validez de tres cuestionarios de autoinforme para valorar la actividad física realizada por adolescentes españoles","Cancela Carral, José María, Lago Ballesteros, Joaquín, Ayán Pérez, Carlos, Mosquera Morono, María Belén","Gaceta Sanitaria; 30(5); 333-338","Gaceta Sanitaria","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112016000500003&lang=pt" 
"S1413-70542016000500565-scl","Metabolizable energy and digestible amino acids of full-fat soybean without or with protease supplementation in diets for broilers","Dalólio, Felipe Santos, Albino, Luiz Fernando Teixeira, Rostagno, Horácio Santiago, Silva, Diego Ladeira da, Xavier Júnior, Maurílio de Lucas, Oliveira, Vinícius Duarte de","Ciência e Agrotecnologia; 40(5); 565-576","Ciência e Agrotecnologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542016000500565&lang=pt" 
"S1413-70542016000500522-scl","Co-inoculation with diazotrophic bacteria in soybeans associated to urea topdressing","Fipke, Glauber Monçon, Conceição, Gerusa Massuquini, Grando, Luiz Fernando Teleken, Ludwig, Rodrigo Luiz, Nunes, Ubirajara Russi, Martin, Thomas Newton","Ciência e Agrotecnologia; 40(5); 522-533","Ciência e Agrotecnologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542016000500522&lang=pt" 
"S1413-70542016000500497-scl","Ammonia volatilization from blends with stabilized and controlled-released urea in the coffee system","Chagas, Wantuir Filipe Teixeira, Guelfi, Douglas Ramos, Caputo, André Luiz Carvalho, Souza, Taylor Lima de, Andrade, André Baldansi, Faquin, Valdemar","Ciência e Agrotecnologia; 40(5); 497-509","Ciência e Agrotecnologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542016000500497&lang=pt" 
"S1413-70542016000500510-scl","Biodegradable films of starch/PVOH/alginate in packaging systems for minimally processed lettuce (Lactuca sativa L.)","Brandelero, Renata Paula Herrera, Brandelero, Evandro Martin, Almeida, Fábio Mendonça de","Ciência e Agrotecnologia; 40(5); 510-521","Ciência e Agrotecnologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542016000500510&lang=pt" 
"S1413-70542016000500585-scl","Characterization of powder from the permeate of yacon extract by ultrafiltration and dehydrated by spray drying","Brites, Marcela Lazzare, Meira, Stela Meister, Brandelli, Adriano, Noreña, Caciano Zapata","Ciência e Agrotecnologia; 40(5); 585-595","Ciência e Agrotecnologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542016000500585&lang=pt" 
"S1413-70542016000500547-scl","Multiple resistance to atrazine and imazethapyr in hairy beggarticks (Bidens pilosa )","Takano, Hudson Kagueyama, Oliveira Junior, Rubem Silvério de, Constantin, Jamil, Braz, Guilherme Braga Pereira, Franchini, Luiz Henrique Morais, Burgos, Nilda Roma","Ciência e Agrotecnologia; 40(5); 547-554","Ciência e Agrotecnologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542016000500547&lang=pt" 
"S1413-70542016000500596-scl","Total antioxidant activity of yacon tubers cultivated in Brazil","Pereira, Juciane Abreu Ribeiro, Teixeira, Meryene Carvalho, Saczk, Adelir Aparecida, Barcelos, Maria de Fátima Piccolo, Oliveira, Marcelo Firmino de, Abreu, Wilson César de","Ciência e Agrotecnologia; 40(5); 596-605","Ciência e Agrotecnologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542016000500596&lang=pt" 
"S1413-70542016000500555-scl","Physalis size reduction for potted ornamental plant use","Bosch, Emily, Cuquel, Francine Lorena, Tognon, Grasiela Bruzamarello","Ciência e Agrotecnologia; 40(5); 555-564","Ciência e Agrotecnologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542016000500555&lang=pt" 
"S1413-70542016000500534-scl","Mapping soils in two watersheds using legacy data and extrapolation for similar surrounding areas","Pelegrino, Marcelo Henrique Procópio, Silva, Sérgio Henrique Godinho, Menezes, Michele Duarte de, Silva, Elidiane da, Owens, Phillip Ray, Curi, Nilton","Ciência e Agrotecnologia; 40(5); 534-546","Ciência e Agrotecnologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542016000500534&lang=pt" 
"S1413-70542016000500577-scl","Pathological effects of acetone cyanohydrin in swiss rats","Rufino, Marcos Natal, Cereda, Marney Pascoli, Barreto, Wanessa Teixeira Gomes, Silva, Alanderson Rodrigues da, Andrade, Gisele Braziliano de, Herrera, Heitor Miraglia","Ciência e Agrotecnologia; 40(5); 577-584","Ciência e Agrotecnologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542016000500577&lang=pt" 
"S0213-91112016000500001-esp","Promoting social capital in an ageing society: a win-win proposition?","Coll-Planas, Laura","Gaceta Sanitaria; 30(5); 323-325","Gaceta Sanitaria","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112016000500001&lang=pt" 
"S0213-91112016000500015-esp","Acción COST Femicide Across Europe, un espacio de cooperación trasnacional para el estudio y el abordaje del feminicidio en Europa","Sanz-Barbero, Belén, Otero-García, Laura, Boira, Santiago, Marcuello, Chaime, Vives Cases, Carmen","Gaceta Sanitaria; 30(5); 393-396","Gaceta Sanitaria","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112016000500015&lang=pt" 
"S1575-06202016000200005-esp","Regarding the article: Mental disorder prevalence and associated risk factors in three prisons of Spain","Velasco Montes, Javier","Revista Española de Sanidad Penitenciaria; 18(2); 68-70","Revista Española de Sanidad Penitenciaria","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-06202016000200005&lang=pt" 
"S1575-06202016000200001-esp","The importance of early detection and diversion of mental ill offenders to avoid prison sentences","Duggan, Sean","Revista Española de Sanidad Penitenciaria; 18(2); 40-42","Revista Española de Sanidad Penitenciaria","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-06202016000200001&lang=pt" 
"S1575-06202016000200006-esp","Carpometacarpal dislocations: presentation of two clinical cases","Bedoya, A., Lleopart, N., Leal, M.J., Martínez-Carpio, P.A.","Revista Española de Sanidad Penitenciaria; 18(2); 71-72","Revista Española de Sanidad Penitenciaria","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-06202016000200006&lang=pt" 
"S1575-06202016000200002-esp","Study of depressive symptoms according to Zung&#039;s self-rating scale on men deprived of freedom in a city of Colombia","Vélez-Álvarez, C., Barrera-Valencia, C., Benito-Devia, A.V., Figueroa-Barrera, M., Franco-Idarraga, S.M.","Revista Española de Sanidad Penitenciaria; 18(2); 43-48","Revista Española de Sanidad Penitenciaria","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-06202016000200002&lang=pt" 
"S1575-06202016000200003-esp","Psychosocial stressors perceived in the process of social reintegration and compliance time remaining in prison sentence","García-Jarillo, M., Caravaca-Sánchez, F., Sánchez-Alcaraz, C., Luna, A.","Revista Española de Sanidad Penitenciaria; 18(2); 49-95","Revista Española de Sanidad Penitenciaria","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-06202016000200003&lang=pt" 
"S1575-06202016000200004-esp","Persistent infectious and tropical diseases in immigrant correctional populations","Getaz, L., Da Silva-Santos, L., Wolff, H., Vitoria, M., Serre-Delcor, N., Lozano-Becerra, J.C., Chappuis, F., Albajar-Viñas, P.","Revista Española de Sanidad Penitenciaria; 18(2); 57-66","Revista Española de Sanidad Penitenciaria","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-06202016000200004&lang=pt" 
"S1415-65552016000500568-scl","Regresso às Origens: A Importância do Indivíduo na Criatividade nas Organizações","Gomes, Jorge Filipe da Silva, Rodrigues, Ana Filipa, Veloso, Ana","Revista de Administração Contemporânea; 20(5); 568-589","Revista de Administração Contemporânea","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552016000500568&lang=pt" 
"S1415-65552016000500610-scl","Comportamento Materialista em Adolescentes e Crianças: Uma Meta-análise dos Antecedentes e dos Consequentes","Ladeira, Wagner Junior, Santini, Fernando de Oliveira, Araujo, Clecio Falcão","Revista de Administração Contemporânea; 20(5); 610-629","Revista de Administração Contemporânea","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552016000500610&lang=pt" 
"S1415-65552016000500590-scl","Interdependence Across a Firm&#039;s International Trajectories","Limp, Andre, Rezende, Sérgio Fernando Loureiro, Versiani, Angela","Revista de Administração Contemporânea; 20(5); 590-609","Revista de Administração Contemporânea","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552016000500590&lang=pt" 
"S0100-72032016001000524-scl","Extramammary Paget Disease of the Vulva - Case Report","Hillmann, Bianca Ruschel, Pereira, Amanda Amaro, Sommacal, Luiz Fernando","Revista Brasileira de Ginecologia e Obstetrícia; 38(10); 524-528","Revista Brasileira de Ginecologia e Obstetrícia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032016001000524&lang=pt" 
"S0100-72032016001000518-scl","Uterine Fibroid Symptom - Quality of Life questionnaire translation and validation into Brazilian Portuguese","Silva, Rita Oliveira da, Gomes, Mariano Tamura Vieira, Castro, Rodrigo de Aquino, Bonduki, Cláudio Emílio, Girão, Manoel João Batista Castello","Revista Brasileira de Ginecologia e Obstetrícia; 38(10); 518-523","Revista Brasileira de Ginecologia e Obstetrícia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032016001000518&lang=pt" 
"S2225-62532016001000013-sza","Deformation behaviour of aluminium low-micron MMCs and MMNCs at warm working temperatures (0.3-0.5 Tm)","Gxowa, Z., Chown, L.H., Govender, G., Curle, U.","Journal of the Southern African Institute of Mining and Metallurgy; 116(10); 963-968","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016001000013&lang=pt" 
"S2225-62532016001000008-sza","Cold-spray coating of an Fe-40 at.% Al alloy with additions of ruthenium","Couperthwaite, R.A., Cornish, L.A., Mwamba, I.A.","Journal of the Southern African Institute of Mining and Metallurgy; 116(10); 927-934","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016001000008&lang=pt" 
"S2225-62532016001000015-sza","X-ray computed microtomography studies of MIM and DPR parts","Muchavi, N.S., Bam, L., De Beer, F.C., Chikosha, S., Machaka, R.","Journal of the Southern African Institute of Mining and Metallurgy; 116(10); 973-980","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016001000015&lang=pt" 
"S2225-62532016001000016-sza","Effect of niobium on the solidification structure and properties of hypoeutectic high-chromium white cast irons","Maja, M.E., Maruma, M.G., Mampuru, L.A., Moema, S.J.","Journal of the Southern African Institute of Mining and Metallurgy; 116(10); 981-986","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016001000016&lang=pt" 
"S2225-62532016001000002-sza","Relevance or Extinction?","Musingwini, C.","Journal of the Southern African Institute of Mining and Metallurgy; 116(10); vi-vii","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016001000002&lang=pt" 
"S2225-62532016001000006-sza","The separation of zirconium and hafnium from (NH4)3Zr(Hf)F7 using amine-based extractants","Conradie, E.W., van der Westhuizen, D.J., Nel, J.T., Krieg, H.M.","Journal of the Southern African Institute of Mining and Metallurgy; 116(10); 915-920","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016001000006&lang=pt" 
"S2225-62532016001000001-sza","Journal Comment","Papo, M.J.","Journal of the Southern African Institute of Mining and Metallurgy; 116(10); iv-iv","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016001000001&lang=pt" 
"S0037-86822016000500616-scl","Presence of Lutzomyia longipalpis (Diptera: Psychodidae) in the Parque Estadual da Serra da Tiririca, State of Rio de Janeiro, Southeastern Brazil","Fuzari, Andressa Alencastre, Delmondes, Aline Ferreira dos Santos, Barbosa, Vanessa De Araújo, Marra, Francisco de Assis, Brazil, Reginaldo Peçanha","Revista da Sociedade Brasileira de Medicina Tropical; 49(5); 616-619","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822016000500616&lang=pt" 
"S0037-86822016000500628-scl","Seroprevalence of and risk factors for leptospirosis in the City of Manaus, State of Amazonas, Brazil","Silva, Luciete Almeida, Lima, Kátia Maria da Silva, Fernandes, Ormezinda Celeste Cristo, Balassiano, Ilana Teruszkin, Avelar, Kátia Eliane Santos, Jesus, Michele Silva de","Revista da Sociedade Brasileira de Medicina Tropical; 49(5); 628-631","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822016000500628&lang=pt" 
"S0034-72802016000500405-scl","Manifestações oftalmológicas de Síndrome de Klippel Trenaunay","Moreira Júnior, Carlos Augusto, Moreira Neto, Carlos Augusto, Amadeu, Nicole Tássia, Ghem, Mariela Regina Dalmarco","Revista Brasileira de Oftalmologia; 75(5); 405-408","Revista Brasileira de Oftalmologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802016000500405&lang=pt" 
"S0034-72802016000500401-scl","Síndrome de Goldenhar","Ferreira, João Maria, Gonzaga, Jéssica","Revista Brasileira de Oftalmologia; 75(5); 401-404","Revista Brasileira de Oftalmologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802016000500401&lang=pt" 
"S0037-86822016000500602-scl","Genotyping of Toxoplasma gondii and Sarcocystis spp. in road-killed wild mammals from the Central Western Region of the State of São Paulo, Brazil","Richini-Pereira, Virgínia Bodelão, Marson, Pâmela Merlo, Silva, Rodrigo Costa da, Langoni, Helio","Revista da Sociedade Brasileira de Medicina Tropical; 49(5); 602-607","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822016000500602&lang=pt" 
"S0037-86822016000500608-scl","Spatial analysis for the identification of risk areas for schistosomiasis mansoni in the State of Sergipe, Brazil, 2005-2014","Santos, Allan Dantas dos, Lima, Ana Caroline Rodrigues, Santos, Márcio Bezerra, Alves, José Antônio Barreto, Góes, Marco Aurélio de Oliveira, Nunes, Marco Antônio Prado, Sá, Sidney Lourdes César Souza, Araújo, Karina Conceição Gomes Machado de","Revista da Sociedade Brasileira de Medicina Tropical; 49(5); 608-615","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822016000500608&lang=pt" 
"S0034-72802016000500376-scl","Efficacy of Eyesi surgical simulator training in improving high-tension capsules capsulorhexis performance","Bisol, Tiago, Bisol, Renata Attanasio de Rezende, Rezende, Flavio","Revista Brasileira de Oftalmologia; 75(5); 376-379","Revista Brasileira de Oftalmologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802016000500376&lang=pt" 
"S0034-72802016000500412-scl","Produção do conhecimento: bases genéticas, bioquímicas e imunológicas da síndrome de Meares-Irlen","Soares, Fernanda Amaral, Gontijo, Lucília Silva","Revista Brasileira de Oftalmologia; 75(5); 412-415","Revista Brasileira de Oftalmologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802016000500412&lang=pt" 
"S0037-86822016000500624-scl","Prevalence, and virulence determination of Listeria monocytogenes strains isolated from clinical and non-clinical samples by multiplex polymerase chain reaction","Pournajaf, Abazar, Rajabnia, Ramazan, Sedighi, Mansour, Kassani, Aziz, Moqarabzadeh, Vahid, Lotfollahi, Lida, Ardebilli, Abdollah, Emadi, Behzad, Irajian, Gholamreza","Revista da Sociedade Brasileira de Medicina Tropical; 49(5); 624-627","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822016000500624&lang=pt" 
"S0037-86822016000500559-scl","A randomized clinical trial on the effectiveness of a symbiotic product to decolonize patients harboring multidrug-resistant Gram-negative bacilli","Salomão, Mariana Correa Coelho, Heluany-Filho, Mário Augusto, Menegueti, Mayra Gonçalves, Kraker, Marlieke Elizabeth Adriana De, Martinez, Roberto, Bellissimo-Rodrigues, Fernando","Revista da Sociedade Brasileira de Medicina Tropical; 49(5); 559-566","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822016000500559&lang=pt" 
