"S2237-93632014000200073-scl","The influence of time on the quality of life of patients with intestinal stoma","Salles, Valdemir José Alegre, Becker, Carolina de Paula Penteado, Faria, Giuliana da Matta Rossi","Journal of Coloproctology (Rio de Janeiro); 34(2); 73-75","Journal of Coloproctology (Rio de Janeiro)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632014000200073&lang=pt" 
"S0102-09352014000200043-scl","Efeito da lactulose sobre os teores séricos de ureia, creatinina, cálcio e fósforo em cães não azotêmicos","Pereira, J.A., Botteon, R.C.C.M., Barros, J.P.N., Santos, K.K.F., Oliveira, P., Almeida, M.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 626-630","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200043&lang=pt" 
"S0102-09352014000200040-scl","Viable offspring after successful non-surgical embryo transfer in goats","Fonseca, J.F., Esteves, L.V., Zambrini, F.N., Brandão, F.Z., Peixoto, M.G.C.D., Verneque, R.S., Siqueira, L.G.B., Viana, J.H.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 613-616","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200040&lang=pt" 
"S0102-09352014000200041-scl","Anti-Escherichia coli activity of Brazilian plant extracts: New trends in Veterinary research","Camargo, L.R.P., Suffredini, I.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 617-620","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200041&lang=pt" 
"S0102-09352014000200013-scl","Transforming growth factor-β (TGF-β) maintains follicular ultrastructure and stimulates preantral follicle growth in caprine ovarian tissue cultured in vitro","Rodrigues, G.Q., Lima, I.M.T., Chaves, R.N., Rossetto, R., Costa, S.L., Castro, S.V., Barros, V.R.P., Matos, M.H.T., Lopes, C.A.P., Báo, S.N., Campello, C.C., Figueiredo, J.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 411-416","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200013&lang=pt" 
"S0102-09352014000200012-scl","The effects of sow viremia and maternal antibodies in porcine circovirus 2 on viral infection and weight of piglets","Gerber, P.F., Garrocho, F.M., Lobato, Z.I.P.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 405-410","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200012&lang=pt" 
"S0102-09352014000200010-scl","Ultrassonografia testicular em caprinos jovens da raça Alpina","Carazo, L.R.B., Guimarães, J.D., Machado, T.P., Machado, T.P.L.C., Oliveira, F.A.S.A.M., Pereira, D.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 388-394","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200010&lang=pt" 
"S0102-09352014000200018-scl","Echobiometrics kidney and renal artery triplex doppler of canine fetuses","Feliciano, M.A.R., Cardilli, D.J., Nepomuceno, A.C., Crivalero, R.M., Silva, M.A.M., Coutinho, L.N., Oliveira, M.E.F., Vicente, W.R.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 445-449","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200018&lang=pt" 
"S0102-09352014000200005-scl","Condrossarcoma mesenquimal extraesquelético em um gato: relato de caso","Guim, T.N., Cartana, C.B., Fernandes, C.G., Guim, T.N., Gaspar, L.F.J.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 355-359","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200005&lang=pt" 
"S0102-09352014000200004-scl","A Lactobacillus rhamnosus strain induces protection in different sites after Salmonella enterica subsp. enterica serovar Typhimurium challenge in gnotobiotic and conventional mice","Mendonça, A.H., Cerqueira, M.M.O.P., Nicoli, J.R., Sousa, S.M.M., Nardi, R.M.D., Souza, F.N., Fonseca, L.M., Leite, M.O., Arantes, R.M.E.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 347-354","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200004&lang=pt" 
"S0102-09352014000200039-scl","HER-2 gene expression in atypical ductal hyperplasia associated with canine mammary carcinomas","Ferreira, E., Bertagnolli, A.C., Gobbi, H., Cassali, G.D.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 609-612","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200039&lang=pt" 
"S0102-09352014000200026-scl","Desenvolvimento de bezerros leiteiros alimentados com silagem de leite de transição: II - Órgãos internos","Azevedo, R.A., Duarte, D.V.L., Soares, A.C.M., Oliveira, N.J.F., Coelho, S.G., Duarte, E.R., Geraseev, L.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 505-509","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200026&lang=pt" 
"S0102-09352014000200025-scl","Capacidade funcional em cavalos de salto suplementados com linhaça","Oliveira, K., Heinrichs, R., Costa, C., Millen, D.D., Meirelles, P.R.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 497-504","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200025&lang=pt" 
"S0102-09352014000200035-scl","Anatomopatologia de bursite cervical (oncocercose) encontrada em bovinos abatidos sob inspeção estadual no estado do Rio de Janeiro","Santos, A.S.O., Costa, R.S., Costa, R.F.R., Lemos, L.S., Carvalho, E.C.Q.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 579-582","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200035&lang=pt" 
"S0102-09352014000200023-scl","Desempenho de novilhos de corte em pastos de capim-tanzânia sob quatro alturas de desfolha","Barbero, R.P., Barbosa, M.A.A.F., Castro, L.M., Ribeiro, E.L.A., Mizubuti, I.Y., Bumbieris Júnior, V.H., Silva, L.D.F., Massaro Júnior, F.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 481-488","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200023&lang=pt" 
"S0102-09352014000200038-scl","Características da carcaça e dos componentes não carcaça de cordeiros oriundos de parto simples ou duplo","Wommer, T.P., Pires, C.C., Galvani, D.B., Hastenpflug, M., Bolzan, A.M.S., Lopes, J.F., Griebler, L., Carvalho, S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 602-608","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200038&lang=pt" 
"S0102-09352014000200006-scl","Eficiência de lagoas de polimento no pós-tratamento de reator UASB no tratamento de águas residuárias de suinocultura","Pinto, A.C.A., Rodrigues, L.S., Oliveira, P.R., Sperling, M.V., Crisóstomo, C.M., Silva, I.J.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 360-366","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200006&lang=pt" 
"S0102-09352014000200007-scl","Atividade antifúngica do óleo essencial de Origanum vulgare frente a Malassezia pachydermatis","Santin, R., Giordani, C., Madrid, I.M., Matos, C.B., Freitag, R.A., Meireles, M.C.A., Cleff, M.B., Mello, J.R.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 367-373","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200007&lang=pt" 
"S0102-09352014000200003-scl","Contribuição da aplicação do ultrassom de baixa potência na prevenção de osteopenia em tíbias de ratos sob ausência de carga","Borges, C.H.M., Apolinário, J.C., Florindo, P.L., Louzada, M.J.Q.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 339-346","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200003&lang=pt" 
"S0102-09352014000200016-scl","Brainstem auditory evoked potential testing in Dalmatian dogs in Brazil","Palumbo, M.I.P., Resende, L.A.L., Mayhew, I.G.J., Borges, A.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 433-438","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200016&lang=pt" 
"S0102-09352014000200014-scl","Padronização do Elisa indireto e Western Blot para diagnóstico da artrite-encefalite caprina","Rodrigues, A.S., Brito, R.L.L., Pinheiro, R.R., Dias, R.P., Alves, S.M., Souza, T.S., Souza, K.C., Azevedo, D.A.A., Andrioli, A., Magalhães, D.C.T., Teixeira, M.F.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 417-424","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200014&lang=pt" 
"S0102-09352014000200015-scl","Heart rate variability and arrhythmias evaluated with Holter in dogs with degenerative mitral valve disease","Oliveira, M.S., Muzzi, R.A.L., Araújo, R.B., Muzzi, L.A.L., Ferreira, D.F., Silva, E.F.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 425-432","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200015&lang=pt" 
"S0102-09352014000200019-scl","Ocorrência de anticorpos anti-Neospora spp. em jumentos (Equus asinus) no estado de Sucre - Colômbia","Blanco, R.D., Patarroyo, J.H., Vargas, M.I., Cardona, J.A., Araújo, L.S., Gomez, V.E.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 450-454","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200019&lang=pt" 
"S0102-09352014000200001-scl","Tracking viral particles in the intestinal contents of the American bullfrog, Lithobates catesbeianus, by Transmission Electron Microscopy","Antonucci, A.M., Catroxo, M.H., Hipolito, M., Takemoto, R.M., Melo, N.A., França, F.M., Teixeira, P.C., Ferreira, C.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 321-328","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200001&lang=pt" 
"S0102-09352014000200002-scl","Efeito do flushing sobre o desempenho reprodutivo de ovelhas Morada Nova e Santa Inês submetidas à inseminação artificial em tempo fixo","Gottardi, F.P., Souza Júnior, A., Barbosa, Y.G.S., Marques, C.A.T., Bezerra, L.R., Araújo, M.J., Mingoti, G.Z., Torreão, J.N.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 329-338","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200002&lang=pt" 
"S0102-09352014000200009-scl","Sistemas de efluxo multidrogas em Escherichia coli e uso de inibidores como possíveis adjuvantes na terapia da mastite bovina","Ospina, M.A., Pieri, F.A., Pietralonga, P.A., Moreira, M.A.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 381-387","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200009&lang=pt" 
"S0102-09352014000200008-scl","Avaliação da atividade anti-helmíntica de extratos brutos de plantas da Floresta Amazônica e Mata Atlântica brasileira sobre Haemonchus contortus","Cunha, M.P.V., Alves Neto, A.F., Suffredini, I.B., Abel, L.J.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 374-380","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200008&lang=pt" 
"S0102-09352014000200011-scl","Escores de cloaca e de crista e morfometria testicular em galos de matriz pesada com 71 semanas de idade e três categorias de peso corporal","Rezende, C.A., Baião, N.C., Ruiz, L.E.A., Xavier, P.R., Marques Júnior, A.P.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 395-404","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200011&lang=pt" 
"S0102-09352014000200031-scl","Valores nutricionais do milho de diferentes qualidades para frangas de reposição na fase de recria","Corte Real, G.S.C.P., Couto, H.P., Matos, M.B., Lyra, M.S., Gomes, A.V.C., Ferreira, S.R.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 546-554","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200031&lang=pt" 
"S0102-09352014000200032-scl","Análise genética de características de fertilidade, de crescimento e de produtividade em vacas da raça Canchim","Mello, S.P., Alencar, M.M., Santos, D.C.C., Toral, F.L.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 555-562","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200032&lang=pt" 
"S0102-09352014000200033-scl","Parâmetros nutricionais e padrões nictemeral do comportamento ingestivo de cordeiros Somalis Brasileira alimentados com diferentes níveis de energia metabolizável","Aquino, R.M.S., Pereira, E.S., Oliveira, S.M.P., Pimentel, P.G., Mizubuti, I.Y., E.L.A, Ribeiro, Carneiro, M.S.S., Cândido, M.J.D., Fontenele, R.M., Alves, J.P.M., Cruz, R.O., Rocha Júnior, J.N.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 563-572","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200033&lang=pt" 
"S0102-09352014000200034-scl","Efeito da temperatura das amostras de leite na concentração de cálcio solúvel e de beta-caseína: interferência no teste de estabilidade frente ao etanol","Costa, F.F., Brito, M.A.V.P., Souza, G.N., Pereira, D.B.C., Pinto, I.S.B., Martins, M.F.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 573-578","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200034&lang=pt" 
"S0102-09352014000200036-scl","Qualidade da carne de suínos com uso de glicerina na alimentação","Melo, D.S., Faria, P.B., Cantarelli, V.S., Rocha, M.F.M., Pinto, A.M.B.G., Ramos, E.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 583-592","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200036&lang=pt" 
"S0102-09352014000200037-scl","Uso de biomarcador histopatológico em brânquias de Centropomus undecimalis (Bloch, 1972) na avaliação da qualidade da água do Parque Ecológico Laguna da Jansen, São Luís - MA","Cantanhêde, S.M., Medeiros, A.M., Ferreira, F.S., Ferreira, J.R.C., Alves, L.M.C., Cutrim, M.V.J., Santos, D.M.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 593-601","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200037&lang=pt" 
"S0102-09352014000200029-scl","Chemical composition and dry matter digestibility of sugar cane oxide treated with calcium","Romão, C.O., Carvalho, G.G.P., Leite, V.M., Santos, A.S., Chagas, D.M.T., Ribeiro, O.L., Oliveira, P.A., Magalhães, A.F., Pires, A.J.V.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 529-538","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200029&lang=pt" 
"S0102-09352014000200028-scl","Effect of lipid sources and inclusion levels in diets for broiler chickens","Polycarpo, G.V., Cruz, V.C., Alexandre, N.C., Fascina, V.B., Souza, I.M.G.P., Cravo, J.C.M., Albuquerque, R., Sartori, J.R., Pezzato, A.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 519-528","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200028&lang=pt" 
"S0102-09352014000200027-scl","Behaviour and growth performance of low-birth-weight piglets cross-fostered in multiparous sows with piglets of higher birth weights","Souza, L.P., Fries, H.C.C., Heim, G., Faccin, J.E., Hernig, L.F., Marimon, B.T., Bernardi, M.L., Bortolozzo, F.P., Wentz, I.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 510-518","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200027&lang=pt" 
"S0102-09352014000200024-scl","Desenvolvimento de bezerros leiteiros alimentados com silagem de leite de transição: I - Trato digestivo","Azevedo, R.A., Rufino, S.R.A., Cruz, M.S., Costa, S.F., Oliveira, N.J.F., Coelho, S.G., Duarte, E.R., Geraseev, L.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 489-496","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200024&lang=pt" 
"S0102-09352014000200021-scl","Eletroacupuntura para tratamento de hipotensão induzida por isofluorano em cavalos","Franco, E.C., Cassu, R.N., Diniz, M.S., Mattos, G.M., Scarcelli, P.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 462-470","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200021&lang=pt" 
"S0102-09352014000200020-scl","Oxidative profiles of endurance horses racing different distances","Siqueira, R.F., Weigel, R.A., Nunes, G. R., Mori, C.S., Fernandes, W.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 455-461","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200020&lang=pt" 
"S0102-09352014000200030-scl","Farelo de licuri em dietas para alevinos de tambaqui (Colossoma Macropomum, Cuvier, 1818)","Campeche, D.F.B., Melo, J.F.B., Balzana, L., Souza, R.C., Figueiredo, R.A.C.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 539-545","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200030&lang=pt" 
"S1516-73132014000200433-scl","Afirmaciones epistemológicas con &quot;alta carga teórica&quot; que pueden tener incidencia en la didáctica de las ciencias: un estudio comparativo","Amador-Rodríguez, Rafael Yecid, Adúriz-Bravo, Agustín","Ciência &amp; Educação (Bauru); 20(2); 433-447","Ciência &amp; Educação (Bauru)","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132014000200433&lang=pt" 
"S1516-73132014000200001-scl","EDITORIAL","","Ciência &amp; Educação (Bauru); 20(2); 01-01","Ciência &amp; Educação (Bauru)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132014000200001&lang=pt" 
"S1516-73132014000200467-scl","Nova abordagem para identificar conexões disciplinares usando mapas conceituais: em busca da interdisciplinaridade no Ensino Superior","Correia, Paulo Rogério Miranda, Cordeiro, Gislaine Banchetti, Cicuto, Camila Aparecida Tolentino, Junqueira, Patrícia Grandino","Ciência &amp; Educação (Bauru); 20(2); 467-479","Ciência &amp; Educação (Bauru)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132014000200467&lang=pt" 
"S1516-73132014000200393-scl","A construção de argumentos em aulas de ciências: o papel dos dados, evidências e variáveis no estabelecimento de justificativas","Sasseron, Lucia Helena, Carvalho, Anna Maria Pessoa de","Ciência &amp; Educação (Bauru); 20(2); 393-410","Ciência &amp; Educação (Bauru)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132014000200393&lang=pt" 
"S1516-73132014000200279-scl","A problemática dos organismos geneticamente modificados e a formação científica do cidadão comum: um estudo com alunos de escolas portuguesas","Dourado, Luís, Matos, Luís","Ciência &amp; Educação (Bauru); 20(2); 279-296","Ciência &amp; Educação (Bauru)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132014000200279&lang=pt" 
"S1516-73132014000200377-scl","Disciplina escolar Ciências: inovações curriculares nos anos de 1950-1970","Valla, Daniela Fabrini, Roquette, Diego Amoroso Gonzalez, Gomes, Maria Margarida, Ferreira, Marcia Serra","Ciência &amp; Educação (Bauru); 20(2); 377-391","Ciência &amp; Educação (Bauru)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132014000200377&lang=pt" 
"S1414-32832014000200261-spa","Práticas integrativas e complementares e relação com promoção da saúde: experiência de um serviço municipal de saúde","Lima, Karla Morais Seabra Vieira, Silva, Kênia Lara, Tesser, Charles Dalcanale","Interface - Comunicação, Saúde, Educação; 18(49); 261-272","Interface - Comunicação, Saúde, Educação","Inglês, Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832014000200261&lang=pt" 
"S1414-32832014000200273-spa","Saúde do trabalhador na Atenção Primária: percepções e práticas de equipes de Saúde da Família","Lacerda e Silva, Thais, Dias, Elizabeth Costa, Pessoa, Vanira Matos, Fernandes, Luisa da Matta Machado, Gomes, Edinalva Maria","Interface - Comunicação, Saúde, Educação; 18(49); 273-288","Interface - Comunicação, Saúde, Educação","Inglês, Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832014000200273&lang=pt" 
"S1414-32832014000200289-spa","Ética e comprometimento do profissional da saúde pós-reestruturação produtiva numa região metropolitana do sul do Brasil","Gomes, Doris, Ramos, Flávia Regina Souza","Interface - Comunicação, Saúde, Educação; 18(49); 289-300","Interface - Comunicação, Saúde, Educação","Inglês, Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832014000200289&lang=pt" 
"S1414-32832014000200301-spa","Profissionais de saúde e o aborto: o dito e o não dito em uma capacitação profissional em saúde","Lemos, Adriana, Russo, Jane Araújo","Interface - Comunicação, Saúde, Educação; 18(49); 301-312","Interface - Comunicação, Saúde, Educação","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832014000200301&lang=pt" 
"S1414-32832014000200313-spa","Formação em saúde e micropolítica: sobre conceitos-ferramentas na prática de ensinar","Abrahão, Ana Lúcia, Merhy, Emerson Elias","Interface - Comunicação, Saúde, Educação; 18(49); 313-324","Interface - Comunicação, Saúde, Educação","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832014000200313&lang=pt" 
"S1414-32832014000200325-spa","Os movimentos macropolíticos e micropolíticos: no ensino de graduação em Enfermagem","Chaves, Simone Edi","Interface - Comunicação, Saúde, Educação; 18(49); 325-336","Interface - Comunicação, Saúde, Educação","Inglês, Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832014000200325&lang=pt" 
"S1414-32832014000200337-spa","Interdisciplinaridade no ensino em saúde: o olhar do preceptor na Saúde da Família","Bispo, Emanuella Pinheiro de Farias, Tavares, Carlos Henrique Falcão, Tomaz, Jerzuí Mendes Tôrrez","Interface - Comunicação, Saúde, Educação; 18(49); 337-350","Interface - Comunicação, Saúde, Educação","Inglês, Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832014000200337&lang=pt" 
"S1414-32832014000200351-spa","Formação em saúde com vivência no Sistema Único de Saúde (SUS): percepções de estudantes do curso de Odontologia da Universidade Federal do Rio Grande do Sul (UFRGS), Brasil","Bulgarelli, Alexandre Favero, Souza, Kellyn Rocca, Baumgarten, Alexandre, Souza, Juliana Maciel de, Rosing, Cassiano Kuchenbecker, Toassi, Ramona Fernanda Cerioti","Interface - Comunicação, Saúde, Educação; 18(49); 351-362","Interface - Comunicação, Saúde, Educação","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832014000200351&lang=pt" 
"S1414-32832014000200363-spa","Midiatização do crack e estigmatização: corpos habitados por histórias e cicatrizes","Romanini, Moises, Roso, Adriane","Interface - Comunicação, Saúde, Educação; 18(49); 363-376","Interface - Comunicação, Saúde, Educação","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832014000200363&lang=pt" 
"S1516-73132014000200359-scl","Entre táticas e consumos de propostas curriculares no cotidiano escolar: um laboratório de química e uma sala de projetos","Ramos, Tacita Ansanello, Petrucci-Rosa, Maria Inês","Ciência &amp; Educação (Bauru); 20(2); 359-376","Ciência &amp; Educação (Bauru)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132014000200359&lang=pt" 
"S1516-73132014000200297-scl","Entre as crenças pessoais e a formação acadêmica: como professores de biologia que professam fé religiosa ensinam evolução?","Teixeira, Pedro, Andrade, Marcelo","Ciência &amp; Educação (Bauru); 20(2); 297-313","Ciência &amp; Educação (Bauru)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132014000200297&lang=pt" 
"S1516-73132014000200345-scl","Kit paleontológico: um material didático com abordagem investigativa","Bergqvist, Lílian Paglarelli, Prestes, Stella Barbara Serodio","Ciência &amp; Educação (Bauru); 20(2); 345-357","Ciência &amp; Educação (Bauru)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132014000200345&lang=pt" 
"S1516-73132014000200331-scl","Eco-lógica: Efigênia entre arte e vida","Kasper, Kátia Maria","Ciência &amp; Educação (Bauru); 20(2); 331-344","Ciência &amp; Educação (Bauru)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132014000200331&lang=pt" 
"S1516-73132014000200481-scl","Oficina temática: uma proposta metodológica para o ensino do modelo atômico de Bohr","Silva, Giovanna Stefanello, Braibante, Mara Elisa Fortes, Braibante, Hugo Tubal Schmitz, Pazinato, Maurícius Selvero, Trevisan, Marcele Cantarelli","Ciência &amp; Educação (Bauru); 20(2); 481-495","Ciência &amp; Educação (Bauru)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132014000200481&lang=pt" 
