"S0080-62342016000300434-scl","Creation of complexity assessment tool for patients receiving home care","Bôas, Maria Leopoldina de Castro Villas, Shimizu, Helena Eri, Sanchez, Mauro Niskier","Revista da Escola de Enfermagem da USP; 50(3); 434-441","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000300434&lang=pt" 
"S0717-71942016000100024-chl","Stefan Rinke, América Latina y Estados Unidos. Una historia entre espacios desde la época colonial hasta hoy","Purcell, Fernando","Historia (Santiago); 49(1); 67-69","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000100024&lang=pt" 
"S0717-71942016000100015-chl","Víctor Condori Condori, Reformas económicas y privilegios comerciales. Los Cinco Grandes Gremios de Madrid en Arequipa, 1790-1820","Arias Gallegos, Walter L","Historia (Santiago); 49(1); 25-26","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000100015&lang=pt" 
"S1414-462X2016000200139-scl","Representations of women milk donors on donations for the human milk bank","Miranda, Wanessa Debôrtoli de, Passos, Maria Cristina, Freitas, Maria Imaculada de Fátima, Bonolo, Palmira de Fátima","Cadernos Saúde Coletiva; 24(2); 139-144","Cadernos Saúde Coletiva","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000200139&lang=pt" 
"S0080-62342016000300411-scl","Quality of life in liver transplant recipients and the influence of sociodemographic factors","Aguiar, Maria Isis Freire de, Braga, Violante Augusta Batista, Garcia, José Huygens Parente, Lima, Clébia Azevedo de, Almeida, Paulo César de, Souza, Angela Maria Alves e, Rolim, Isaura Letícia Tavares Palmeira","Revista da Escola de Enfermagem da USP; 50(3); 411-418","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000300411&lang=pt" 
"S0101-73302016000200519-scl","EL TRABAJO COLABORATIVO EN LA EDUCACIÓN SUPERIOR: UNA COMPETENCIA PROFESIONAL PARA LOS FUTUROS DOCENTES","Cadavieco, Javier Fombona, Martínez, Marcos Jesús Iglesias, Cabezas, Inés Lozano","Educação &amp; Sociedade; 37(135); 519-538","Educação &amp; Sociedade","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000200519&lang=pt" 
"S1688-03902016000200004-ury","Criterio de solicitud del antígeno carcinoembrionario (CEA) en el Hospital de Florida (julio 2012-julio 2013)","González González, Daniel, Martínez, Luis Ruso","Revista Médica del Uruguay; 32(2); 98-103","Revista Médica del Uruguay","Espanhol","2016","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-03902016000200004&lang=pt" 
"S0717-92272016000200005-chl","Resultados de un programa de rehabilitación neurocognitiva en pacientes con secuelas de trauma craneoencefálico","Bonilla-Santos, Jasmín, González-Hernández, Alfredis, Amaya-Vargas, Efraín, Ríos-Gallardo, Ángela, Bonilla-Santos, Gisella","Revista chilena de neuro-psiquiatría; 54(2); 113-122","Revista chilena de neuro-psiquiatría","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272016000200005&lang=pt" 
"S1414-462X2016000200178-scl","Caracterização do atraso no diagnóstico do câncer de boca e orofaringe em dois centros de referência","Le Campion, Anna Carolina Omena Vasconcellos, Santos, Karine de Cássia Batista dos, Carmo, Elisandra Silva do, Silva Júnior, Francisco Feliciano da, Peixoto, Fernanda Braga, Ribeiro, Camila Maria Beder, Gonçalves, Lucio Souza, Ferreira, Sonia Maria Soares","Cadernos Saúde Coletiva; 24(2); 178-184","Cadernos Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000200178&lang=pt" 
"S0717-71942016000100006-chl","Ventas, arriendos y donaciones de tierras mapuches en Arauco: sujetos, terrenos y valores, 1858-1861","León, Leonardo","Historia (Santiago); 49(1); 133-183","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000100006&lang=pt" 
"S0101-73302016000200351-scl","ORGANIZANDO LA ESPERANZA: UTOPÍAS CONCRETAS PLURIVERSALES CONTRA Y MÁS ALLÁ DE LA FORMA VALOR","Dinerstein, Ana Cecilia","Educação &amp; Sociedade; 37(135); 351-369","Educação &amp; Sociedade","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000200351&lang=pt" 
"S0080-62342016000300382-scl","Maternal and neonatal factors related to prematurity","Oliveira, Laura Leismann de, Gonçalves, Annelise de Carvalho, Costa, Juvenal Soares Dias da, Bonilha, Ana Lucia de Lourenzi","Revista da Escola de Enfermagem da USP; 50(3); 382-389","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000300382&lang=pt" 
"S0080-62342016000300474-scl","Nurses in post-operative heart surgery: professional competencies and organization strategies","Santos, Ana Paula Azevedo, Camelo, Silvia Helena Henriques, Santos, Fabiana Cristina dos, Leal, Laura Andrian, Silva, Beatriz Regina da","Revista da Escola de Enfermagem da USP; 50(3); 474-481","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000300474&lang=pt" 
"S1414-462X2016000200162-scl","Dental students’ reports of occupational exposures to potentially infectious biological material in a Brazilian School of Dentistry","Pinelli, Camila, Neri, Sabrina do Nascimento, Loffredo, Leonor de Castro Monteiro","Cadernos Saúde Coletiva; 24(2); 162-169","Cadernos Saúde Coletiva","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000200162&lang=pt" 
"S1413-81232016000601985-spa","O valor da inovação: criar o futuro do sistema de saúde","Dias, José Canha","Ciência &amp; Saúde Coletiva; 21(6); 1985-1986","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601985&lang=pt" 
"S1413-81232016000601681-spa","10 anos da Política Nacional de Promoção da Saúde: trajetórias e desafios","Sperândio, Ana Maria, Carvalho, Fábio F. B. de, Nogueira, Julia, Zancan, Lenira, Akerman, Marco","Ciência &amp; Saúde Coletiva; 21(6); 1681-1682","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601681&lang=pt" 
"S1413-81232016000601987-spa","A Política Pública como campo multidisciplinar","Machado, Cristiani Vieira","Ciência &amp; Saúde Coletiva; 21(6); 1987-1988","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601987&lang=pt" 
"S0717-71942016000100023-chl","Gabriel Ramón Joffré, El Neoperuano. Arqueología, estilo nacional y paisaje urbano en Lima, 1910-1940","Gómez Villar, Joseph","Historia (Santiago); 49(1); 61-65","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000100023&lang=pt" 
"S0717-71942016000100021-chl","Ascensión Martínez Riaza, La independencia inconcebible. España y la &quot;pérdida&quot; del Perú (1820-1824)","Ossa Santa Cruz, Juan Luis","Historia (Santiago); 49(1); 51-54","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000100021&lang=pt" 
"S0717-71942016000100013-chl","Yves Carrier, Teología práctica de la liberación en el Chile de Salvador Allende","Boero Vargas, Mario","Historia (Santiago); 49(1); 15-19","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000100013&lang=pt" 
"S0717-71942016000100011-chl","Antonio Annino, Silencios y disputas en la historia de Hispanoamérica","Enríquez, Lucrecia Raquel","Historia (Santiago); 49(1); 7-9","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000100011&lang=pt" 
"S0717-71942016000100010-chl","Carlos Aguirre Rojas, Retratos para la Historia. Ensayos de biografía intelectual sobre pensadores del siglo XX","Brangier, Víctor","Historia (Santiago); 49(1); 1-5","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000100010&lang=pt" 
"S0101-73302016000200329-scl","O CONTEXTO POLÍTICO E A EDUCAÇÃO NACIONAL","","Educação &amp; Sociedade; 37(135); 329-334","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000200329&lang=pt" 
"S0717-71942016000100012-chl","María Luisa Candau Chacón (ed.), Las mujeres y el honor en la Europa moderna","Undurraga Schüler, Verónica","Historia (Santiago); 49(1); 11-14","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000100012&lang=pt" 
"S0080-62342016000300376-scl","ICNP ®: a standardized terminology to describe professional nursing practice","Garcia, Telma Ribeiro","Revista da Escola de Enfermagem da USP; 50(3); 376-381","Revista da Escola de Enfermagem da USP","Inglês, Espanhol, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000300376&lang=pt" 
"S0717-71942016000100019-chl","François Hartog, Creer en la historia","Ovalle Pastén, Daniel","Historia (Santiago); 49(1); 41-45","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000100019&lang=pt" 
"S1870-21472016000100005-mex","Intepretación constitucional: corrientes y propuestas","","Revista IUS; 10(37); 5-8","Revista IUS","Inglês, Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-21472016000100005&lang=pt" 
"S1870-21472016000100171-mex","Participación ciudadana e interpretación de la constitución. Análisis de la jurisprudencia de la Corte Constitucional colombiana en materia de democracia participativa","Ramírez Nárdiz, Alfredo","Revista IUS; 10(37); 171-192","Revista IUS","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-21472016000100171&lang=pt" 
"S1886-58872016000200012-esp","Ex machina, o sobre la dimensión corporal de lo humano","García Manrique, Ricardo","Revista de Bioética y Derecho; (37); 171-176","Revista de Bioética y Derecho","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1886-58872016000200012&lang=pt" 
"S0376-78922016000200016-esp","Sinopsis de la mesa de cirugía de mano: III Congreso Ibérico de Cirugía Plástica, Reconstructiva y Estética. Estoril (Portugal), junio 2016","Ruiz Alonso, M.ª Elena","Cirugía Plástica Ibero-Latinoamericana; 42(2); 209-210","Cirugía Plástica Ibero-Latinoamericana","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0376-78922016000200016&lang=pt" 
"S1886-58872016000200004-esp","Conocimientos de estadística que debería tener alguien interesado en bioética, miembro de un comité de investigación científica","Quintana, Salvador","Revista de Bioética y Derecho; (37); 37-50","Revista de Bioética y Derecho","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1886-58872016000200004&lang=pt" 
"S1870-21472016000100193-mex","Presupuestos teóricos, dogmática jurídica e interpretación constitucional de los derechos de las personas extranjeras en España","Aparicio Wilhelmi, Marco","Revista IUS; 10(37); 193-212","Revista IUS","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-21472016000100193&lang=pt" 
"S0376-78922016000200001-esp","Primeros meses de la nueva presidencia de FILACP","Vázquez, Guillermo","Cirugía Plástica Ibero-Latinoamericana; 42(2); 105-106","Cirugía Plástica Ibero-Latinoamericana","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0376-78922016000200001&lang=pt" 
"S0376-78922016000200015-esp","","Moretti, Ernesto","Cirugía Plástica Ibero-Latinoamericana; 42(2); 207-208","Cirugía Plástica Ibero-Latinoamericana","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0376-78922016000200015&lang=pt" 
"S1889-836X2016000200003-esp","Análisis de la variación del comportamiento mecánico de la extremidad proximal del fémur mediante el método XFEM (eXtended Finite Element Method)","Marco, M., Giner, E., Larraínzar, R., Caeiro, J.R., Miguélez, H.","Revista de Osteoporosis y Metabolismo Mineral; 8(2); 61-69","Revista de Osteoporosis y Metabolismo Mineral","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1889-836X2016000200003&lang=pt" 
"S1886-58872016000200001-esp","","","Revista de Bioética y Derecho; (37); 1-3","Revista de Bioética y Derecho","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1886-58872016000200001&lang=pt" 
"S0376-78922016000200009-esp","Nuestra conducta en la asociación de hernia de pared y abdominoplastia estética","Soria, José H., Tuero, Alejandro, Noé, Gabriel, Alé, Amanda, Conde, Claudio G.","Cirugía Plástica Ibero-Latinoamericana; 42(2); 157-166","Cirugía Plástica Ibero-Latinoamericana","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0376-78922016000200009&lang=pt" 
"S1886-58872016000200009-esp","Una crítica a la profesión veterinaria desde una perspectiva antiespecista","Pettorali, Michela","Revista de Bioética y Derecho; (37); 121-131","Revista de Bioética y Derecho","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1886-58872016000200009&lang=pt" 
"S1889-836X2016000200004-esp","Comparación entre dos inmunoensayos automatizados por quimioluminiscencia para la cuantificación de 25(OH) vitamina D","Torrubia, B., Alonso, I., López-Ramiro, E., Mahillo, I., De la Piedra, C.","Revista de Osteoporosis y Metabolismo Mineral; 8(2); 70-74","Revista de Osteoporosis y Metabolismo Mineral","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1889-836X2016000200004&lang=pt" 
"S1870-21472016000100083-mex","La interpretación constitucional: entre legicentrismo, neoconstitucionalismo y constitucionalización","Acosta Rodríguez, Joaquín","Revista IUS; 10(37); 83-102","Revista IUS","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-21472016000100083&lang=pt" 
"S1659-07752016000100071-cri","Imagen Maxilofacial: una perspectiva Siglo 21","Monahan, Richard, González, Carol S.","Odontología Vital; (24); 71-77","Odontología Vital","Espanhol","2016","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-07752016000100071&lang=pt" 
"S1659-07752016000100053-cri","Longitud de las piezas dentales en Costa Rica","Sancho, Gina, Oconitrillo, Arlett, Barzuna, Mayid","Odontología Vital; (24); 53-60","Odontología Vital","Espanhol","2016","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-07752016000100053&lang=pt" 
"S1659-07752016000100007-cri","Diseño multidisciplinario de sonrisa: caso clínico","Cantú Moreira, Andrea Lizeth, Colón Reynoso, Cynthia, Benavides Garza, Raúl Mario, Salinas Noyola, Alfredo","Odontología Vital; (24); 7-14","Odontología Vital","Espanhol","2016","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-07752016000100007&lang=pt" 
"S0100-204X2016000600703-scl","Sarsina violascens spatial and temporal distributions affected by native vegetation strips in eucalyptus plantations","Zanuncio, José Cola, Tavares, Wagner de Souza, Ramalho, Francisco de Sousa, Leite, Germano Leão Demolin, Serrão, José Eduardo","Pesquisa Agropecuária Brasileira; 51(6); 703-709","Pesquisa Agropecuária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000600703&lang=pt" 
"S0100-204X2016000600780-scl","Different extenders solutions for tambaqui semen cooling","Garcia, Raycon Roberto Freitas, Vasconcelos, Ana Carina Nogueira, Povh, Jayme Aparecido, Oberst, Eneder Rosana, Eloy, Lidiane Raquel, Streit Junior, Danilo Pedro","Pesquisa Agropecuária Brasileira; 51(6); 780-784","Pesquisa Agropecuária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000600780&lang=pt" 
"S0100-204X2016000600776-scl","Crescimento compensatório e privação alimentar no desempenho produtivo do robalo-flecha","Herrera, Leandro Amaral, Silva, Francisco da Costa, Santos, Ana Paula dos, Sousa, Otávio Mesquita de, Sanches, Eduardo Gomes","Pesquisa Agropecuária Brasileira; 51(6); 776-779","Pesquisa Agropecuária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000600776&lang=pt" 
"S0100-204X2016000600785-scl","Digestibilidade de ingredientes em dietas para juvenis de pacamã (Lophiosilurus alexandri)","Melo, Karen Daianny Macedo, Oliveira, Giovanni Resende de, Brito, Túlio Soares de, Soares, Déborah Rodrigues Pedrosa, Tessitore, Antonio Jessey de Abreu, Alvarenga, Érika Ramos de, Turra, Eduardo Maldonado, Silva, Francisco Carlos de Oliveira, Teixeira, Edgar de Alencar","Pesquisa Agropecuária Brasileira; 51(6); 785-788","Pesquisa Agropecuária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000600785&lang=pt" 
"S0100-204X2016000600710-scl","Valor adaptativo e habilidade competitiva de azevém resistente e suscetível ao iodosulfuron em competição com o trigo","Mariani, Franciele, Vargas, Leandro, Agostinetto, Dirceu, Nohatto, Marcos André, Langaro, Ana Claudia, Duarte, Thiago Vieira","Pesquisa Agropecuária Brasileira; 51(6); 710-719","Pesquisa Agropecuária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000600710&lang=pt" 
"S0716-10182016000300009-chl","Opinión del Comité Consultivo de Inmunizaciones Sociedad Chilena de Infectología: Vacuna neumocóccica conjugada en niños y la emergencia de serotipo 19A","Potin, Marcela, Fica, Alberto, Wilhem, Jan, Cerda, Jaime, Contreras, Lily, Escobar, Carola, Moreno, Gabriela, Muñoz, Alma, Véliz, Liliana","Revista chilena de infectología; 33(3); 304-306","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300009&lang=pt" 
"S0716-10182016000300018-chl","Evaluación del riesgo cardiovascular en pacientes con infección por VIH en un centro de atención de salud especializado en Santiago de Chile","Lazcano, Camila, Millacura, Juan C, Saavedra, Felipe, Cortés, Claudia P","Revista chilena de infectología; 33(3); 352-354","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300018&lang=pt" 
"S0716-10182016000300010-chl","Evaluación del consumo de antimicrobianos en 15 hospitales chilenos: Resultados de un trabajo colaborativo, 2013","Domínguez, Isabel, Rosales, Ruth, Cabello, Ángela, Bavestrello, Luis, Labarca, Jaime","Revista chilena de infectología; 33(3); 307-312","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300010&lang=pt" 
"S0716-10182016000300015-chl","Ectima gangrenoso secundario a Staphylococcus aureus","Jaque, Alejandra, Moll-Manzur, Catherina, Dossi, María Teresa, Berroeta-Mauriziano, Daniela, Araos-Baeriswyl, Esteban, Monsalve, Ximena","Revista chilena de infectología; 33(3); 336-339","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300015&lang=pt" 
"S0716-10182016000300007-chl","Influencia de la aparatología ortodóntica sobre la ocurrencia de Candida spp. en la cavidad oral","Hernández-Solís, Sandra E, Rueda-Gordillo, Florencio, Flota-Alcocer, Alan D, Agullar-Ayala, Fernando J, Rodríguez-Fernández, María del S.C., Lama-González, Esperanza M","Revista chilena de infectología; 33(3); 293-297","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300007&lang=pt" 
"S0716-10182016000300005-chl","Importancia del control de la calidad de la baciloscopia en los laboratorios de diagnóstico de tuberculosis","Sardiñas, Misleidis, García, Grechen, Rosarys Martínez, María, Díaz, Raúl, Mederos, Lilian M","Revista chilena de infectología; 33(3); 282-286","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300005&lang=pt" 
"S0716-10182016000300002-chl","Características clínicas y microbiológicas de la infección intra-abdominal complicada en Colombia: un estudio multicéntrico","Vallejo, Marta, Cuesta, Diana P, Flórez, Luz E, Correa, Adriana, Llanos, Carmen E, Isaza, Berenice, Vanegas, Stella, Osorio, Johanna, Casanova, Lucía, Villegas, María V","Revista chilena de infectología; 33(3); 261-267","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300002&lang=pt" 
"S0716-10182016000300016-chl","Infección por virus herpes humano 6 en un paciente inmunocompetente con síndrome DRESS secundario a carbamazepina","Álvarez, Sergio, Delama, Ignacio, Navajas-Galimany, Lucas, Eymin, Gonzalo, Ceballos, M. Elena, Andino-Navarrete, Romina","Revista chilena de infectología; 33(3); 340-345","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300016&lang=pt" 
"S1665-20372016000100003-mex","Nota del editor","Ríos Figueroa, Julio","Política y gobierno; 23(1); 3-3","Política y gobierno","Inglês, Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-20372016000100003&lang=pt" 
"S1665-20372016000100005-mex","Conflicto, violencia y democracia en América Latina","Arjona, Ana, de la Calle, Luis","Política y gobierno; 23(1); 5-9","Política y gobierno","Inglês, Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-20372016000100005&lang=pt" 
"S0716-10182016000300020-chl","Baños de clorhexidina e infecciones nosocomiales por bacilos gramnegativos","Diomedi, Alexis","Revista chilena de infectología; 33(3); 358-358","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300020&lang=pt" 
"S0716-10182016000300021-chl","Pleconaril en el tratamiento de la sepsis neonatal por enterovirus","Hernández, Mariluz","Revista chilena de infectología; 33(3); 359-359","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300021&lang=pt" 
"S0716-10182016000300019-chl","Seroprevalencia de Bartonella henselae en personas con riesgo ocupacional","Troncoso, Ignacio, Fischer, Christof, Arteaga, Francisca, Espinoza, Cristian, Azócar, Teresa, Abarca, Katia","Revista chilena de infectología; 33(3); 355-357","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300019&lang=pt" 
"S0716-10182016000300004-chl","Correlación entre criterios clínicos y de laboratorio de casos notificados por sospecha de hantavirosis y el resultado de la técnica de referencia","Navarrete, Maritza, Hott, Melissa, Caroca, Jorge, Leyton, Luis, Venegas, Nadialett, Ismail, Kissy, Saavedra, Farides, Otth, Carola","Revista chilena de infectología; 33(3); 275-281","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300004&lang=pt" 
"S0716-10182016000300012-chl","Caracterización epidemiológica, clínica y de laboratorio de esporotricosis en pacientes de un hospital de tercer nivel en Lima-Perú, entre los años 1991 y 2014","Oyarce, James A, García, Coralith, Alave, Jorge, Bustamante, Beatriz","Revista chilena de infectología; 33(3); 315-321","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300012&lang=pt" 
"S0716-10182016000300008-chl","Detección de polyomavirus BK y JC en extractos leucocitarios de sangre periférica de pacientes con infección por VIH del área norte de Santiago","Martínez, María José, Moreno, Claudia, Levican, Jorge, Peña, Mónica, Gaggero, Aldo, Chnaiderman, Jonás","Revista chilena de infectología; 33(3); 298-302","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300008&lang=pt" 
"S0716-10182016000300001-chl","Evaluación in silico de una epidemia de influenza aviar AH5N1 con transmisión humano-humano: efecto de las medidas sanitarias en Valencia, Venezuela, 2012","Reggeti, Mariana, Romero, Emilse, Eblen-Zajjur, Antonio","Revista chilena de infectología; 33(3); 255-260","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300001&lang=pt" 
"S0716-10182016000300006-chl","Virus papiloma humano y Chlamydia trachomatis según número de parejas sexuales y tiempo de actividad sexual en estudiantes universitarias en la Región de La Araucanía, Chile","Melo, Angélica, Lagos, Nicole, Montenegro, Sonia, Orellana, Juan José, Vásquez, Ana María, Moreno, Sergio, Liempi, Sandra, Guzmán, Pablo, Fonseca-Salamanca, Flery","Revista chilena de infectología; 33(3); 287-292","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300006&lang=pt" 
"S0716-10182016000300014-chl","Recuerdo histórico de las &quot;Casas de Socorro&quot; que funcionaron en el Chile rural entre 1931 y 1945","Laval, Enrique","Revista chilena de infectología; 33(3); 331-333","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300014&lang=pt" 
"S0716-10182016000300011-chl","Leifsonia aquatica","Mühlhauser, Margareta","Revista chilena de infectología; 33(3); 313-314","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300011&lang=pt" 
"S0716-10182016000300013-chl","Espondilodiscitis: experiencia clínica en un hospital general de Chile","Soto, Andrés, Fica, Alberto, Dabanch, Jeannette, Olivares, Felipe, Porte, Lorena","Revista chilena de infectología; 33(3); 322-330","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300013&lang=pt" 
"S0716-10182016000300017-chl","Toxocarosis y colecistitis aguda alitiásica: ¿consecuencia o coincidencia?","Strickler, Alexis, Vásquez, Natalia, Maggi, Leonardo, Hernández, Juvenal, Hidalgo, Ximena","Revista chilena de infectología; 33(3); 346-351","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300017&lang=pt" 
"S0716-10182016000300003-chl","Parasitosis y síndrome de intestino irritable","Ibarra, Catalina, Herrera, Valentina, Pérez de Arce, Edith, Gil, Luis Carlos, Madrid, Ana María, Valenzuela, Lucía, Beltrán, Caroll J","Revista chilena de infectología; 33(3); 268-274","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000300003&lang=pt" 
"S1665-20372016000100057-mex","Control territorial y decisión de voto en Colombia. Un enfoque multinivel","García Sánchez, Miguel","Política y gobierno; 23(1); 57-95","Política y gobierno","Inglês, Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-20372016000100057&lang=pt" 
"S1665-20372016000100163-mex","¿Marchas, ocupaciones o barricadas? Explorando los determinantes de las tácticas de la protesta en Chile","Medel Sierralta, Rodrigo Miguel, Somma González, Nicolás Manuel","Política y gobierno; 23(1); 163-199","Política y gobierno","Inglês, Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-20372016000100163&lang=pt" 
"S1665-20372016000100201-mex","Una aproximación a las relaciones entre policías y jóvenes en América Latina","Zavaleta, Alfredo, Kessler, Gabriel, Alvarado, Arturo, Zaverucha, Jorge","Política y gobierno; 23(1); 201-229","Política y gobierno","Inglês, Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-20372016000100201&lang=pt" 
