"S0100-736X2012001000004-scl","Distribuição e identificação das regiões de risco para a cisticercose bovina no estado do Paraná","Guimarães-Peixoto, Rafaella P.M., Souza, Valmir K., Pinto, Paulo S.A., Santos, Tatiane O.","Pesquisa Veterinária Brasileira; 32(10); 975-979","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000004&lang=pt" 
"S1516-14392012000500008-scl","Chemistry and tensile properties of a recycled AA7050 via spray forming and ECAP/E","Hyodo, Alexandre, Bolfarini, Claudemiro, Ishikawa, Tomaz Toshimi","Materials Research; 15(5); 739-748","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000500008&lang=pt" 
"S1516-14392012000500007-scl","Microstructure evolution of AA7050 Al alloy during Equal-Channel Angular Pressing","Cardoso, Katia Regina, Travessa, Dilermando Nagle, Jorge Junior, Alberto Moreira, Botta, Walter José","Materials Research; 15(5); 732-738","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000500007&lang=pt" 
"S1516-14392012000500012-scl","Study of the Al-Si-X system by different cooling rates and heat treatment","Suarez, Miguel Angel, Figueroa, Ignacio, Cruz, Alejandro, Hernandez, Alfredo, Chavez, Jose Federico","Materials Research; 15(5); 763-769","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000500012&lang=pt" 
"S1516-14392012000500002-scl","Semi-quantitative model of the microstructure development in the high-alloyed iron based alloy during atomization","Grgač, Peter, Behúlová, Mária, Moravčík, Roman, Mesárošová, Jana","Materials Research; 15(5); 705-712","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000500002&lang=pt" 
"S1516-14392012000500011-scl","Stability of an amorphous alloy of the Mm-Al-Ni-Cu system","Triveño Rios, Carlos, Aliaga, Luis César Rodrígues, Kiminami, Claudio Shyinti, Bolfarini, Claudemiro, Botta Filho, Walter José","Materials Research; 15(5); 757-762","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000500011&lang=pt" 
"S1516-14392012000500015-scl","Rapid solidification of an Al-5Ni alloy processed by spray forming","Afonso, Conrado Ramos Moreira, Spinelli, José Eduardo, Bolfarini, Claudemiro, Botta, Walter José, Kiminami, Claudio Shyinti, Garcia, Amauri","Materials Research; 15(5); 779-785","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000500015&lang=pt" 
"S0102-695X2012000500008-scl","Evaluation of larvicidal activity of the methanolic extracts of Piper alatabaccum branches and P. tuberculatum leaves and compounds isolated against Anopheles darlingi","Trindade, Frances T. T., Stabeli, Rodrigo G., Facundo, Valdir A., Cardoso, Consuelo T., Silva, Minelly A. da, Gil, Luiz H. S., Silva-Jardim, Izaltina, Silva, Alexandre de Almeida e","Revista Brasileira de Farmacognosia; 22(5); 979-984","Revista Brasileira de Farmacognosia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2012000500008&lang=pt" 
"S0102-695X2012000500003-scl","Morpho-anatomical analysis of Aspidosperma olivaceum and A. polyneuron, Apocynaceae","Krentkowski, Fernanda Lisot, Duarte, Márcia do Rocio","Revista Brasileira de Farmacognosia; 22(5); 937-945","Revista Brasileira de Farmacognosia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2012000500003&lang=pt" 
"S0102-695X2012000500030-scl","Genus Lantana: chemical aspects and biological activities","Sousa, Erlânio O., Costa, José G.M.","Revista Brasileira de Farmacognosia; 22(5); 1115-1180","Revista Brasileira de Farmacognosia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2012000500030&lang=pt" 
"S0102-695X2012000500022-scl","Protective effect of oryzanol isolated from crude rice bran oil in experimental model of diabetic neuropathy","Ghatak, Somsuvra B., Panchal, Shital S.","Revista Brasileira de Farmacognosia; 22(5); 1092-1103","Revista Brasileira de Farmacognosia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2012000500022&lang=pt" 
"S0102-695X2012000500023-scl","Toxicological evaluation of ethanolic extract of Lychnophora trichocarpha, Brazilian arnica","Ferrari, Fernanda C., Grabe-Guimarães, Andrea, Carneiro, Cláudia M., Souza, Maíra R. de, Ferreira, Leidiane C., Oliveira, Tânia T. de, Saúde-Guimarães, Dênia A.","Revista Brasileira de Farmacognosia; 22(5); 1104-1110","Revista Brasileira de Farmacognosia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2012000500023&lang=pt" 
"S0102-695X2012000500016-scl","In vitro evaluation of antioxidant, anxiolytic and antidepressant-like effects of the Bellis perennis extract","Marques, Thiago Henrique Costa, Melo, Cássio Herbert Santos de, Freitas, Rivelilson Mendes de","Revista Brasileira de Farmacognosia; 22(5); 1044-1052","Revista Brasileira de Farmacognosia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2012000500016&lang=pt" 
"S1516-14392012000500003-scl","Effect of ion irradiation on mechanical behaviors of Ti40Zr25Be30Cr5 bulk metallic glass","Hu, Zheng, Zhao, Ziqiang, Hu, Yanping, Xing, Jianshuo, Lu, Tong, Wei, Bingchen","Materials Research; 15(5); 713-717","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000500003&lang=pt" 
"S0102-695X2012000500014-scl","Chemical composition of hydroethanolic extracts from Siparuna guianensis, medicinal plant used as anxiolytics in Amazon region","Negri, Giuseppina, Santi, Daniel de, Tabach, Ricardo","Revista Brasileira de Farmacognosia; 22(5); 1024-1034","Revista Brasileira de Farmacognosia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2012000500014&lang=pt" 
"S0102-695X2012000500031-scl","Chrysobalanaceae: traditional uses, phytochemistry and pharmacology","Feitosa, Evanilson Alves, Xavier, Haroudo Satiro, Randau, Karina Perrelli","Revista Brasileira de Farmacognosia; 22(5); 1181-1186","Revista Brasileira de Farmacognosia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2012000500031&lang=pt" 
"S0102-695X2012000500007-scl","Chemical composition and cytotoxicity activity of the essential oil of Pterodon emarginatus","Dutra, Rafael C., Pittella, Frederico, Dittz, Dalton, Marcon, Rodrigo, Pimenta, Daniel S., Lopes, Miriam T. P., Raposo, Nádia R. B.","Revista Brasileira de Farmacognosia; 22(5); 971-978","Revista Brasileira de Farmacognosia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2012000500007&lang=pt" 
"S0102-311X2012001000015-spa","Papanicolaou na pós-menopausa: fatores associados a sua não realização","Brischiliari, Sheila Cristina Rocha, Dell&#039;Agnolo, Cátia Millene, Gil, Laís Moraes, Romeiro, Tiara Cristina, Gravena, Ângela Andréia França, Carvalho, Maria Dalva de Barros, Pelloso, Sandra Marisa","Cadernos de Saúde Pública; 28(10); 1976-1984","Cadernos de Saúde Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012001000015&lang=pt" 
"S0102-311X2012001000014-spa","Factors related to poor self-perceived oral health among community-dwelling elderly individuals in São Paulo, Brazil","Andrade, Fabiola Bof de, Lebrão, Maria Lúcia, Santos, Jair Lício Ferreira, Duarte, Yeda Aparecida de Oliveira, Teixeira, Doralice Severo da Cruz","Cadernos de Saúde Pública; 28(10); 1965-1975","Cadernos de Saúde Pública","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012001000014&lang=pt" 
"S0102-311X2012001000013-spa","Space-time cluster analysis of American visceral leishmaniasis in Bauru, São Paulo State, Brazil","Souza, Vanessa Aparecida Feijó de, Cortez, Luiz Ricardo Paes de Barros, Dias, Ricardo Augusto, Amaku, Marcos, Ferreira Neto, José Soares, Kuroda, Rosely Bianca dos Santos, Ferreira, Fernando","Cadernos de Saúde Pública; 28(10); 1949-1964","Cadernos de Saúde Pública","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012001000013&lang=pt" 
"S0102-311X2012001000012-spa","O impacto do baixo peso ao nascer relacionado à depressão gestacional para o financiamento federal da saúde pública: uma análise do Município de Pelotas, Rio Grande do Sul, Brasil","Menezes, Leticia Oliveira de, Pinheiro, Ricardo Tavares, Quevedo, Luciana de Avila, Oliveira, Sandro Schreiber de, Silva, Ricardo Azevedo da, Pinheiro, Karen Amaral Tavares, Santo, Graciela Coelho Espírito, Jansen, Karen","Cadernos de Saúde Pública; 28(10); 1939-1948","Cadernos de Saúde Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012001000012&lang=pt" 
"S0102-311X2012001000010-spa","Risk factors for infant mortality in a municipality in southern Brazil: a comparison of two cohorts using hierarchical analysis","Santos, Hellen Geremias dos, Andrade, Selma Maffei de, Silva, Ana Maria Rigo, Carvalho, Wladithe Organ de, Mesas, Arthur Eumann","Cadernos de Saúde Pública; 28(10); 1915-1926","Cadernos de Saúde Pública","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012001000010&lang=pt" 
"S0102-311X2012001000008-spa","Padrão de atividade física em um dia típico de adultos de Niterói, Rio de Janeiro, Brasil: resultados da Pesquisa de Nutrição, Atividade Física e Saúde (PNAFS)","Anjos, Luiz Antonio dos, Barbosa, Thomaz Barcellos Côrtes, Wahrlich, Vivian, Vasconcellos, Mauricio Teixeira Leite de","Cadernos de Saúde Pública; 28(10); 1893-1902","Cadernos de Saúde Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012001000008&lang=pt" 
"S0102-311X2012001000007-spa","Setting oral health goals that include oral health-related quality of life measures: a study carried out among adolescents in Thailand","Krisdapong, Sudaduang, Prasertsom, Piyada, Rattanarangsima, Khanit, Adulyanon, Supreda, Sheiham, Aubrey","Cadernos de Saúde Pública; 28(10); 1881-1892","Cadernos de Saúde Pública","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012001000007&lang=pt" 
"S0102-311X2012001000003-spa","Prevenção de doenças em idosos: os equívocos dos atuais modelos","Veras, Renato Peixoto","Cadernos de Saúde Pública; 28(10); 1834-1840","Cadernos de Saúde Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012001000003&lang=pt" 
"S0102-311X2012001000002-spa","Periodontal disease treatment and risk of preterm birth: a systematic review and meta-analysis","Rosa, Maria Inês da, Pires, Patrícia Duarte Simões, Medeiros, Lidia Rosi, Edelweiss, Maria Isabel, Martínez-Mesa, Jeovany","Cadernos de Saúde Pública; 28(10); 1823-1833","Cadernos de Saúde Pública","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012001000002&lang=pt" 
"S1413-86702012000500001-scl","Phenotypic and genotypic characterization of Rhodococcus equi isolated from sputum","Silva, Paulo da, Santos, Adolfo Carlos Barreto, Sato, Daisy Nakamura, Silva, Jaqueline Otero, Medeiros, Marta Inês Cazentini, Carneiro, Ana Maria Machado, Leite, Sergio Roberto de Andrade, Leite, Clarice Queico Fujimura","Brazilian Journal of Infectious Diseases; 16(5); 409-415","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500001&lang=pt" 
"S1413-86702012000500003-scl","CTX-M-producing Escherichia coli and Klebsiella pneumoniae isolated from community-acquired urinary tract infections in Valledupar, Colombia","Martinez, Pedro, Garzón, Denisse, Mattar, Salim","Brazilian Journal of Infectious Diseases; 16(5); 420-425","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500003&lang=pt" 
"S1413-86702012000500006-scl","Epidemiological and clinical aspects of urinary tract infection in community-dwelling elderly women","Marques, Luiz Paulo José, Flores, Juliana Timóteo, Barros Junior, Onofre de Oliveira, Rodrigues, Giovana Breda, Mourão, Carla de Medeiros, Moreira, Rosa Maria Portella","Brazilian Journal of Infectious Diseases; 16(5); 436-441","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500006&lang=pt" 
"S1413-86702012000500007-scl","Clinical and microbiological characterization of pneumonia in mechanically ventilated patients","Medell, Manuel, Hart, Marcia, Marrero, Odalys, Espinosa, Fidel, Oca, Zurelys Montes de, Valdés, Rodolfo","Brazilian Journal of Infectious Diseases; 16(5); 442-447","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500007&lang=pt" 
"S1413-86702012000500010-scl","Etiologic and epidemiologic analysis of hand, foot, and mouth disease in Guangzhou city: a review of 4,753 cases","Zou, Xiao-ni, Zhang, Xiao-zhuang, Wang, Bo, Qiu, Yi-teng","Brazilian Journal of Infectious Diseases; 16(5); 457-465","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500010&lang=pt" 
"S0102-311X2012001000003-scl","Prevenção de doenças em idosos: os equívocos dos atuais modelos","Veras, Renato Peixoto","Cadernos de Saúde Pública; 28(10); 1834-1840","Cadernos de Saúde Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000003&lang=pt" 
"S0102-311X2012001000004-scl","História prévia de realização de teste de Papanicolaou e câncer do colo do útero: estudo caso-controle na Baixada Fluminense, Rio de Janeiro, Brasil","Nascimento, Maria Isabel do, Silva, Gulnar Azevedo e, Monteiro, Gina Torres Rego","Cadernos de Saúde Pública; 28(10); 1841-1853","Cadernos de Saúde Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000004&lang=pt" 
"S0102-311X2012001000006-scl","Esporotricose urbana: epidemia negligenciada no Rio de Janeiro, Brasil","Silva, Margarete Bernardo Tavares da, Costa, Mônica Motta de Mattos, Torres, Carla Carrilho da Silva, Galhardo, Maria Clara Gutierrez, Valle, Antonio Carlos Francesconi do, Magalhães, Mônica de Avelar F. M., Sabroza, Paulo Chagastelles, Oliveira, Rosely Magalhães de","Cadernos de Saúde Pública; 28(10); 1867-1880","Cadernos de Saúde Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000006&lang=pt" 
"S0102-311X2012001000007-scl","Setting oral health goals that include oral health-related quality of life measures: a study carried out among adolescents in Thailand","Krisdapong, Sudaduang, Prasertsom, Piyada, Rattanarangsima, Khanit, Adulyanon, Supreda, Sheiham, Aubrey","Cadernos de Saúde Pública; 28(10); 1881-1892","Cadernos de Saúde Pública","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000007&lang=pt" 
"S0102-311X2012001000010-scl","Risk factors for infant mortality in a municipality in southern Brazil: a comparison of two cohorts using hierarchical analysis","Santos, Hellen Geremias dos, Andrade, Selma Maffei de, Silva, Ana Maria Rigo, Carvalho, Wladithe Organ de, Mesas, Arthur Eumann","Cadernos de Saúde Pública; 28(10); 1915-1926","Cadernos de Saúde Pública","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000010&lang=pt" 
"S0102-311X2012001000012-scl","O impacto do baixo peso ao nascer relacionado à depressão gestacional para o financiamento federal da saúde pública: uma análise do Município de Pelotas, Rio Grande do Sul, Brasil","Menezes, Leticia Oliveira de, Pinheiro, Ricardo Tavares, Quevedo, Luciana de Avila, Oliveira, Sandro Schreiber de, Silva, Ricardo Azevedo da, Pinheiro, Karen Amaral Tavares, Santo, Graciela Coelho Espírito, Jansen, Karen","Cadernos de Saúde Pública; 28(10); 1939-1948","Cadernos de Saúde Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000012&lang=pt" 
"S0102-311X2012001000013-scl","Space-time cluster analysis of American visceral leishmaniasis in Bauru, São Paulo State, Brazil","Souza, Vanessa Aparecida Feijó de, Cortez, Luiz Ricardo Paes de Barros, Dias, Ricardo Augusto, Amaku, Marcos, Ferreira Neto, José Soares, Kuroda, Rosely Bianca dos Santos, Ferreira, Fernando","Cadernos de Saúde Pública; 28(10); 1949-1964","Cadernos de Saúde Pública","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000013&lang=pt" 
"S0102-311X2012001000015-scl","Papanicolaou na pós-menopausa: fatores associados a sua não realização","Brischiliari, Sheila Cristina Rocha, Dell&#039;Agnolo, Cátia Millene, Gil, Laís Moraes, Romeiro, Tiara Cristina, Gravena, Ângela Andréia França, Carvalho, Maria Dalva de Barros, Pelloso, Sandra Marisa","Cadernos de Saúde Pública; 28(10); 1976-1984","Cadernos de Saúde Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000015&lang=pt" 
"S0104-42302012000500005-scl","Perda auditiva neurossensorial: diagnóstico radiológico","","Revista da Associação Médica Brasileira; 58(5); 519-529","Revista da Associação Médica Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000500005&lang=pt" 
"S0104-42302012000500010-scl","Efeitos colaterais do tratamento da hepatite C no polo aplicador do ABC","Garcia, Thamy Jay, Lara, Paulo Henrique Schmidt, Morimoto, Tauy Pereira, Higasiaraguti, Mauricio, Perejão, Andréia Maruzo, Ayub, Munir Akar","Revista da Associação Médica Brasileira; 58(5); 543-549","Revista da Associação Médica Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000500010&lang=pt" 
"S0104-42302012000500011-scl","Improving cardiovascular prevention through patient awareness","Chang, Veronica Y. P., Handa, Karen K., Fernandes, Marcos, Yacoub, Carolina, Pastana, Adriana, Caramelli, Bruno, Calderaro, Daniela","Revista da Associação Médica Brasileira; 58(5); 550-556","Revista da Associação Médica Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000500011&lang=pt" 
"S1983-41952012000500001-scl","Influence of the type of measuring device in determining the static modulus of elasticity of concrete","Araújo, S. S., Guimarães, G. N., Geyer, A. L. B.","Revista IBRACON de Estruturas e Materiais; 5(5); 555-575","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952012000500001&lang=pt" 
"S1983-41952012000500003-scl","Flexural strengthening of reinforced concrete beams with carbon fibers reinforced polymer (CFRP) sheet bonded to a transition layer of high performance cement-based composite","Ferrari, V. J., Hanai, J. B. de","Revista IBRACON de Estruturas e Materiais; 5(5); 596-626","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952012000500003&lang=pt" 
"S1983-41952012000500004-scl","Fatigue lifetime of a RC bridge along the Carajás railroad","Santos, R. R. F., Oliveira, D. R. C.","Revista IBRACON de Estruturas e Materiais; 5(5); 627-658","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952012000500004&lang=pt" 
"S1983-41952012000500005-scl","Punching strength of reinforced concrete flat slabs without shear reinforcement","Sacramento, P. V. P., Ferreira, M. P., Oliveira, D. R. C., Melo, G. S. S. A.","Revista IBRACON de Estruturas e Materiais; 5(5); 659-691","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952012000500005&lang=pt" 
"S1983-41952012000500006-scl","Concrete produced with recycled aggregates","Tenório, J. J. L., Gomes, P. C. C., Rodrigues, C. C., Alencar, T. F. F. de","Revista IBRACON de Estruturas e Materiais; 5(5); 692-701","Revista IBRACON de Estruturas e Materiais","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952012000500006&lang=pt" 
"S1983-41952012000500007-scl","Mechanical behavior analysis of small-scale modeling of ceramic block masonry structures: geometries effect","Rizzatti, E., Roman, H. R., Mohamad, G., Nakanishi, E.Y.","Revista IBRACON de Estruturas e Materiais; 5(5); 702-736","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952012000500007&lang=pt" 
"S1413-70542012000500001-scl","Biological control of mycotoxin-producing molds","Medeiros, Flávio Henrique Vasconcelos de, Martins, Samuel Julio, Zucchi, Tiago Domingues, Melo, Itamar Soares de, Batista, Luis Roberto, Machado, José da Cruz","Ciência e Agrotecnologia; 36(5); 483-497","Ciência e Agrotecnologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542012000500001&lang=pt" 
"S1413-70542012000500003-scl","Morphology, mineralogy and micromorphology of soils associated to summit depressions of the Northeastern Brazilian Coastal Plains","Silva, Elen Alvarenga, Gomes, João Bosco Vasconcellos, Araújo Filho, José Coelho de, Vidal-Torrado, Pablo, Cooper, Miguel, Curi, Nilton","Ciência e Agrotecnologia; 36(5); 507-517","Ciência e Agrotecnologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542012000500003&lang=pt" 
"S1413-70542012000500004-scl","Nutrient recycling of sorghum straw and soil biological attributes in Eastern Amazon","Maia, Patrícia Ribeiro, Fernandes, Antonio Rodrigues, Melo, Vânia Silva, Santos, Elaine Rodrigues, Silva, Gisele Barata da","Ciência e Agrotecnologia; 36(5); 518-525","Ciência e Agrotecnologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542012000500004&lang=pt" 
"S1413-70542012000500005-scl","Physiological quality of osmoprimed eggplant seeds","Reis, Rodrigo de Góes Esperon, Guimarães, Renato Mendes, Vieira, Antônio Rodrigues, Gonçalves, Nayara Roberto, Costa, Valéria Hanny","Ciência e Agrotecnologia; 36(5); 526-532","Ciência e Agrotecnologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542012000500005&lang=pt" 
"S1413-70542012000500006-scl","Spatial variability of the rainfall erosivity in southern region of Minas Gerais state, Brazil","Aquino, Regimeire Freitas, Silva, Marx Leandro Naves, Freitas, Diego Antonio França de, Curi, Nilton, Mello, Carlos Rogério de, Avanzi, Junior Cesar","Ciência e Agrotecnologia; 36(5); 533-542","Ciência e Agrotecnologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542012000500006&lang=pt" 
"S1413-70542012000500007-scl","Emulsion of systems containing egg yolk, polysaccharides and vegetable oil","Souza, Clitor Junior Fernandes de, Rojas, Edwin Elard Garcia","Ciência e Agrotecnologia; 36(5); 543-550","Ciência e Agrotecnologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542012000500007&lang=pt" 
"S1413-70542012000500008-scl","Simultaneous enzymatic hydrolysis and lactic fermentation to obtain a yogurt with low lactose content","Martins, André Rosa, Monteiro, Ricardo Lemos, Burkert, Janaína Fernandes de Medeiros, Burkert, Carlos André Veiga","Ciência e Agrotecnologia; 36(5); 551-559","Ciência e Agrotecnologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542012000500008&lang=pt" 
"S1413-70542012000500009-scl","Use of sugar apple, atemoya and soursop for technological development of jams: chemical and sensorial composition","Orsi, Daniela Castilho, Carvalho, Vania Silva, Nishi, Adriana Cândida Faustino, Damiani, Clarissa, Asquieri, Eduardo Ramirez","Ciência e Agrotecnologia; 36(5); 560-566","Ciência e Agrotecnologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542012000500009&lang=pt" 
"S1413-70542012000500010-scl","Rice husk derived waste materials as partial cement replacement in lightweight concrete","Kawabata, Celso Yoji, Savastano Junior, Holmer, Sousa-Coutinho, Joana","Ciência e Agrotecnologia; 36(5); 567-578","Ciência e Agrotecnologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542012000500010&lang=pt" 
"S1413-70542012000500002-scl","Genetic divergence in pepper genotypes from southwest Goiás","Alvares, Renata Cristina, Reis, Edésio Fialho dos, Pinto, Jefferson Fernando Naves","Ciência e Agrotecnologia; 36(5); 498-506","Ciência e Agrotecnologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542012000500002&lang=pt" 
"S0036-36342012000500008-mex","Aceptabilidad y conocimientos sobre la vacunación contra el virus del papiloma humano (VPH) en médicos ginecólogos de la Argentina","Mazzadi, Alejandro, Paolino, Melisa, Arrossi, Silvina","Salud Pública de México; 54(5); 515-522","Salud Pública de México","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000500008&lang=pt" 
"S0036-36342012000500002-mex","Associations between physical activity, cardiorespiratory fitness, and obesity in Mexican children","Galavíz, Karla I, Tremblay, Mark S, Colley, Rachel, Jáuregui, Edtna, López y Taylor, Juan, Janssen, Ian","Salud Pública de México; 54(5); 463-469","Salud Pública de México","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000500002&lang=pt" 
"S1413-86702012000500024-scl","Antimicrobial resistance profile of pathogens isolated from blood cultures in public and private hospitals in Brazil","Fleming, Maria Emília Castro Kling de, Paula, Geraldo Renato de, Carballido, Jupira Miron, Mondino, Pedro Juan Jose, Barros, Rosana Rocha","Brazilian Journal of Infectious Diseases; 16(5); 501-502","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500024&lang=pt" 
"S1413-86702012000500023-scl","Clinical correlation between Treponema pallidum infection and agenesis of the gallbladder","Stanzani, Gianluca, Virgilio, Edoardo, Badiali, Marco","Brazilian Journal of Infectious Diseases; 16(5); 500-500","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500023&lang=pt" 
"S1413-86702012000500002-scl","Risk factors for KPC-producing Klebsiella pneumoniae bacteremia","Tuon, Felipe F., Rocha, Jaime L., Toledo, Paula, Arend, Lavinia N., Dias, Camila H., Leite, Talita M., Penteado-Filho, Sergio R., Pilonetto, Marcelo, Zavascki, Alexandre P.","Brazilian Journal of Infectious Diseases; 16(5); 416-419","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500002&lang=pt" 
"S1413-86702012000500022-scl","First diagnostic cases of human babesiosis in Montenegro","Andrić, Bogdanka, Golubović, Mileta, Terzic, Dragica, Dupanovic, Brankica, Icevic, Milos","Brazilian Journal of Infectious Diseases; 16(5); 498-499","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500022&lang=pt" 
"S1413-86702012000500004-scl","Community-acquired methicillin-resistant Staphylococcus aureus from skin and soft tissue infections (in a sample of Egyptian population): analysis of mec gene and staphylococcal cassette chromosome","Sobhy, Nagat, Aly, Fatma, El Kader, Ola Abd, Ghazal, Abeer, Elbaradei, Amira","Brazilian Journal of Infectious Diseases; 16(5); 426-431","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500004&lang=pt" 
