"S0034-75152013000300016-cub","Truabin inyectable","","Revista Cubana de Farmacia; 47(3); 423-424","Revista Cubana de Farmacia","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152013000300016&lang=pt" 
"S1413-80502013000300001-scl","Assimetrias entre os competidores nos leilões da ANP","Brasil, Eric Universo Rodrigues, Postali, Fernando Antonio Slaibe","Economia Aplicada; 17(3); 215-241","Economia Aplicada","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-80502013000300001&lang=pt" 
"S1413-80502013000300002-scl","Crescimento pró-pobre nos estados brasileiros: análise da contribuição da construção civil usando um modelo de dados em painel dinâmico, 1985-2008","Ghinis, Cristiano Ponzoni, Fochezatto, Adelar","Economia Aplicada; 17(3); 243-266","Economia Aplicada","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-80502013000300002&lang=pt" 
"S1413-80502013000300003-scl","Remuneração dos gestores, público alvo e conflitos de interesse em fundos de ações no Brasil","Sanematsu, Flávio Cysneiros","Economia Aplicada; 17(3); 267-298","Economia Aplicada","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-80502013000300003&lang=pt" 
"S1413-80502013000300005-scl","A dinâmica da execução orçamentária federal do Brasil sob a ótica dos ciclos políticos eleitorais, 1985-2010","Vasconcelos, Rafael Divino de, Ferreira Júnior, Sílvio, Nogueira Junior, Reginaldo Pinto","Economia Aplicada; 17(3); 325-354","Economia Aplicada","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-80502013000300005&lang=pt" 
"S1413-80502013000300006-scl","Volatilidade da taxa de câmbio real e taxa de juros no Brasil: evidências de um modelo VAR-GARCH-M para o período 1999-2010","Cerqueira, Vinícius dos Santos","Economia Aplicada; 17(3); 355-378","Economia Aplicada","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-80502013000300006&lang=pt" 
"S1413-80502013000300007-scl","Avaliação do impacto do Programa de Reforma Agrária Federal no Ceará: um estudo de caso","Maia, Germano Silva, Khan, Ahmad Saeed, Sousa, Eliane Pinheiro de","Economia Aplicada; 17(3); 379-398","Economia Aplicada","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-80502013000300007&lang=pt" 
"S1677-54492013000300226-scl","Implante Simultaneo de Filtro de Veia Cava Inferior e Superior","Bertanha, Matheus, Sobreira, Marcone Lima, Moura, Regina, Jaldin, Rodrigo Gibin, Mariuba, Jamil Victor, Pinheiro Filho, Carlos Eduardo Lucio, Rollo, Hamilton Almeida, Yoshida, Winston Bonetti","Jornal Vascular Brasileiro; 12(3); 226-229","Jornal Vascular Brasileiro","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492013000300226&lang=pt" 
"S1677-54492013000300202-scl","Revisao de 15 casos submetidos a oclusao temporaria bilateral de arteria iliaca interna em pacientes com alto risco para hemorragia obstetrica","Krutman, Mariana, Galastri, Francisco Leonardo, Affonso, Breno Boueri, Nasser, Felipe, Travassos, Fabiellen Berzoini, Messina, Marcos de Lourenco, Wolosker, Nelson","Jornal Vascular Brasileiro; 12(3); 202-206","Jornal Vascular Brasileiro","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492013000300202&lang=pt" 
"S1677-54492013000300230-scl","Aneurisma sacular de arteria esplenica: tratamento endovascular ou cirurgico convencional?","Moura, Regina, Sobreira, Marcone Lima, Jaldin, Rodrigo Gibin, Bertanha, Matheus, Mariuba, Jamil Victor Oliveira, Freitas, Carlos Clayton Macedo de, Yoshida, Ricardo de Alvarenga, Yoshida, Winston Bonetti","Jornal Vascular Brasileiro; 12(3); 230-233","Jornal Vascular Brasileiro","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492013000300230&lang=pt" 
"S1677-54492013000300221-scl","Acesso vascular para hemodialise: o que ha de novo?","Neves Junior, Milton Alves das, Petnys, Alexandre, Melo, Rafael Couto, Rabboni, Edgar","Jornal Vascular Brasileiro; 12(3); 221-225","Jornal Vascular Brasileiro","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492013000300221&lang=pt" 
"S1677-54492013000300247-scl","Tratamento endovascular da Sindrome de Quebra-nozes (Nutcracker)","Cunha Junior, Jorge Ribeiro da, Souza, Tiago Coutas de, Feitosa, Adilson Toro, Brizzi, Jose Ricardo, Tinoco, Juliana Amaral","Jornal Vascular Brasileiro; 12(3); 247-251","Jornal Vascular Brasileiro","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492013000300247&lang=pt" 
"S1677-54492013000300237-scl","Pseudoaneurisma da arteria subclavia proximo a origem da arteria vertebral apos puncao inadvertida: tratamento endovascular ou cirurgia aberta?","Jaldin, Rodrigo Gibin, Bertanha, Matheus, Sobreira, Marcone Lima, Braz, Leandro Gobbo, Freitas, Carlos Clayton Macedo de, Yoshida, Winston Bonetti, Moura, Regina","Jornal Vascular Brasileiro; 12(3); 237-242","Jornal Vascular Brasileiro","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492013000300237&lang=pt" 
"S1677-54492013000300207-scl","Base eletronica de dados clinicos e cirurgicos em isquemia cronica de membros inferiores","Nejm Junior, Carlos Seme, Timi, Jorge Rufino Ribas, Amaral, Valentina Bistolf","Jornal Vascular Brasileiro; 12(3); 207-215","Jornal Vascular Brasileiro","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492013000300207&lang=pt" 
"S1677-54492013000300193-scl","Comparacoes preliminares entre a histologia virtual ultrassonografica in vivo e os achados histopatologicos da placa carotidea produto de endarterectomia","Menezes, Fabio Husemann, Silveira, Thiago do Carmo, Silveira, Sandra Aparecida Ferreira, Salles-Cunha, Sergio Xavier, Metze, Konradin, Menezes, Ana Silvia Carvalho de","Jornal Vascular Brasileiro; 12(3); 193-201","Jornal Vascular Brasileiro","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492013000300193&lang=pt" 
"S1983-14472013000300002-scl","A implicação do apoio social no viver de pessoas com hipertensão arterial","Tavares, Roseneide dos Santos, Silva, Denise Maria Guerreiro Vieira da","Revista Gaúcha de Enfermagem; 34(3); 14-21","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300002&lang=pt" 
"S1983-14472013000300003-scl","Adequabilidade da assistência pré-natal em uma estratégia de saúde da família de Porto Alegre-RS","Hass, Cimone Noal, Teixeira, Luciana Barcellos, Beghetto, Mariur Gomes","Revista Gaúcha de Enfermagem; 34(3); 22-30","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300003&lang=pt" 
"S1983-14472013000300004-scl","Blogs escolares sobre sexualidade: estudo exploratório documental","Valli, Gabriela Petró, Cogo, Ana Luísa Petersen","Revista Gaúcha de Enfermagem; 34(3); 31-37","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300004&lang=pt" 
"S1983-14472013000300005-scl","Cirurgia bariátrica: repercussões na vida laboral do obeso","Mariano, Maria Luiza Lobato, Monteiro, Claudia Santos, Paula, Maria Angela Boccara de","Revista Gaúcha de Enfermagem; 34(3); 38-45","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300005&lang=pt" 
"S1983-14472013000300006-scl","Complicações durante a internação de receptores de transplante renal","Corrêa, Ana Paula Almeida, Brahm, Marise Márcia These, Teixeira, Carolina de Castilhos, Ferreira, Stephani Amanda Lukasewicz, Manfro, Roberto Ceratti, Lucena, Amália de Fátima, Echer, Isabel Cristina","Revista Gaúcha de Enfermagem; 34(3); 46-54","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300006&lang=pt" 
"S1983-14472013000300007-scl","Conhecimento da equipe de enfermagem sobre avaliação comportamental de dor em paciente crítico","Souza, Regina Cláudia Silva, Garcia, Dayse Maioli, Sanches, Mariana Bucci, Gallo, Andréa Maria Alice, Martins, Cássia Pimenta Barufi, Siqueira, Ivana Lúcia Correa Pimentel","Revista Gaúcha de Enfermagem; 34(3); 55-63","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300007&lang=pt" 
"S1983-14472013000300008-scl","Demandas de cuidado domiciliar da criança nascida exposta ao HIV na ótica da teoria ambientalista","Lima, Ivana Cristina Vieira de, Pedrosa, Nathália Lima, Aguiar, Larissa de Fátima Pontes, Galvão, Marli Teresinha Gimeniz","Revista Gaúcha de Enfermagem; 34(3); 64-71","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300008&lang=pt" 
"S1983-14472013000300009-scl","Doença crônica da criança: necessidades familiares e a relação com a Estratégia Saúde da Família","Costa, Eliane Aparecida de Oliveira, Dupas, Giselle, Sousa, Etelvaldo Francisco Rego, Wernet, Monika","Revista Gaúcha de Enfermagem; 34(3); 72-78","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300009&lang=pt" 
"S1983-14472013000300010-scl","Educação em saúde no serviço de radiologia: orientações para punção aspirativa de mama e tireóide","Rosini, Ivone, Salum, Nádia Chiodelli","Revista Gaúcha de Enfermagem; 34(3); 79-85","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300010&lang=pt" 
"S1983-14472013000300011-scl","Estado de saúde percebido e adesão farmacológica em pacientes submetidos à intervenção coronária percutânea","Coelho, Mariana, Costa, Eliana de Cássia Arantes, Richter, Vitor César, Dessotte, Carina Aparecida Marosti, Ciol, Marcia Aparecida, Schmidt, André, Dantas, Rosana Aparecida Spadoti, Rossi, Lídia Aparecida, Furuya, Rejane Kiyomi","Revista Gaúcha de Enfermagem; 34(3); 86-94","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300011&lang=pt" 
"S1983-14472013000300012-scl","O cotidiano do homem que convive com a úlcera venosa crônica: estudo fenomenológico","Silva, Marcelo Henrique da, Jesus, Maria Cristina Pinto de, Merighi, Miriam Aparecida Barbosa, Oliveira, Deise Moura de, Biscotto, Priscilla Ribeiro, Silva, Greyce Pollyne Santos","Revista Gaúcha de Enfermagem; 34(3); 95-101","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300012&lang=pt" 
"S1983-14472013000300013-scl","Implicações da visibilidade da enfermagem no exercício profissional","Avila, Liziani Iturriet, Silveira, Rosemary Silva da, Lunardi, Valéria Lerch, Fernandes, Geani Farias Machado, Mancia, Joel Rolim, Silveira, Juliana Teixeira da","Revista Gaúcha de Enfermagem; 34(3); 102-109","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300013&lang=pt" 
"S1983-14472013000300014-scl","Náuseas, vômitos e qualidade de vida de mulheres com câncer de mama em tratamento quimioterápico","Gozzo, Thais de Oliveira, Moysés, Aline Maria Bonini, Silva, Pamina Roberta da, Almeida, Ana Maria de","Revista Gaúcha de Enfermagem; 34(3); 110-116","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300014&lang=pt" 
"S1983-14472013000300015-scl","O ensino de enfermagem sobre HIV/ Aids sob a ótica da cidadania","Camillo, Simone de Oliveira, Maiorino, Fabiana Tavolaro, Chaves, Loide Corina","Revista Gaúcha de Enfermagem; 34(3); 117-123","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300015&lang=pt" 
"S1983-14472013000300016-scl","Perfil das internações por doenças crônicas não-transmissíveis sensíveis à atenção primária em idosos da metade sul do RS","Santos, Vilma Constancia Fioravante dos, Kalsing, Alice, Ruiz, Eliziane Nicolodi Francescato, Roese, Adriana, Gerhardt, Tatiana Engel","Revista Gaúcha de Enfermagem; 34(3); 124-131","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300016&lang=pt" 
"S1983-14472013000300017-scl","Prática do enfermeiro no cuidado ao paciente no pré-operatório imediato de cirurgia eletiva","Sena, Adnairdes Cabral de, Nascimento, Eliane Regina Pereira do, Maia, Ana Rosete Camargo Rodrigues","Revista Gaúcha de Enfermagem; 34(3); 132-137","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300017&lang=pt" 
"S1983-14472013000300018-scl","Qualidade de vida de pacientes com diabetes utilizando o instrumento Diabetes 39 (D-39)","Zulian, Luana Rosas, Santos, Manoel Antônio dos, Veras, Vívian Saraiva, Rodrigues, Flávia Fernanda Luchetti, Arrelias, Clarissa Cordeiro Alves, Zanetti, Maria Lucia","Revista Gaúcha de Enfermagem; 34(3); 138-146","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300018&lang=pt" 
"S1983-14472013000300019-scl","Tendências empreendedoras dos enfermeiros de um hospital universitário","Costa, Fabiana Gallo, Vaghetti, Helena Heidtmann, Martinello, Daniela Faustino Gonçalves, Mendes, Daniel Pinho, Terra, Alessandra Chaves, Alvarez, Simone Quadros, Lemos, Luiz Augusto Pinto","Revista Gaúcha de Enfermagem; 34(3); 147-154","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300019&lang=pt" 
"S1983-14472013000300020-scl","Terapia comunitária integrativa: situações de sofrimento emocional e estratégias de enfrentamento apresentadas por usuários","Rocha, Ianine Alves da, Sá, Aralinda Nogueira Pinto de, Braga, Lucineide Alves Vieira, Ferreira Filha, Maria de Oliveira, Dias, Maria Djair","Revista Gaúcha de Enfermagem; 34(3); 155-162","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300020&lang=pt" 
"S1983-14472013000300021-scl","Trajetórias afetivo-sexuais de pessoas com feridas crônicas nos membros inferiores: aspectos na escuta terapêutica","Carvalho, Evanilda Souza de Santana, Paiva, Mirian Santos, Aparício, Elena Casado, Rodrigues, Gilmara Ribeiro Santos","Revista Gaúcha de Enfermagem; 34(3); 163-170","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300021&lang=pt" 
"S1983-14472013000300022-scl","Vivências da família após infarto agudo do miocárdio","Garcia, Raquel Pötter, Budó, Maria de Lourdes Denardin, Simon, Bruna Sodré, Wünsch, Simone, Oliveira, Stefanie Griebeler, Barbosa, Mariane da Silva","Revista Gaúcha de Enfermagem; 34(3); 171-178","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300022&lang=pt" 
"S1983-14472013000300023-scl","Vulnerabilidade de adolescentes escolares às DST/HIV, em Imperatriz - Maranhão","Costa, Ana Cristina Pereira de Jesus, Lins, Anamaria Gomes, Araújo, Márcio Flávio Moura de, Araújo, Thiago Moura de, Gubert, Fabiane do Amaral, Vieira, Neiva Francenely Cunha","Revista Gaúcha de Enfermagem; 34(3); 179-186","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300023&lang=pt" 
"S1983-14472013000300025-scl","Identificação do paciente nas organizações de saúde: uma reflexão emergente","Tase, Terezinha Hideco, Lourenção, Daniela Campos de Andrade, Bianchini, Suzana Maria, Tronchin, Daisy Maria Rizatto","Revista Gaúcha de Enfermagem; 34(3); 196-200","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300025&lang=pt" 
"S1983-14472013000300026-scl","Um olhar sensível às tribos pós-modernas: cuidando da saúde dos adolescentes no cotidiano","Nóbrega, Juliana Fernandes da, Nitschke, Rosane Gonçalves, Silva, Fernanda Pravato da, Carraro, Cláudia Anita Gomes, Alves, Cristiane","Revista Gaúcha de Enfermagem; 34(3); 201-205","Revista Gaúcha de Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300026&lang=pt" 
"S1413-80502013000300004-scl","Impactos do Crédito Rural na produtividade da terra e do trabalho nas Regiões Brasileiras","Santos, Ricardo Bruno Nascimento dos, Braga, Marcelo José","Economia Aplicada; 17(3); 299-324","Economia Aplicada","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-80502013000300004&lang=pt" 
"S0717-95022013000300019-chl","Scope of Anatomy Teaching in Problem-based Learning (PBL) Sessions of Integrated Medical Curriculum","Potu, Bhagath Kumar, Shwe, Wuna Hla, Jagadeesan, Saravanan, Aung, Thidar, Cheng, Peh Suat","International Journal of Morphology; 31(3); 899-901","International Journal of Morphology","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022013000300019&lang=pt" 
"S0717-95022013000300004-chl","Características Biométricas de los Huesos Metacarpianos en Individuos Chilenos","Soto, A, Olave, E, Binvignat, O","International Journal of Morphology; 31(3); 809-812","International Journal of Morphology","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022013000300004&lang=pt" 
"S0718-58392013000300015-chl","Biology of the tea mosquito bug (Helopeltis theivora Waterhouse) on Chromolaena odorata (L.) R.M. King &amp; H. Rob.","Srikumar, K.K, Shivarama Bhat, P","Chilean journal of agricultural research; 73(3); 309-314","Chilean journal of agricultural research","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392013000300015&lang=pt" 
"S0717-95022013000300057-chl","Estudio Morfométrico de las Suturas Palatinas Humanas en Recién Nacidos, Infantes y Niños con Fines de Tratamiento por Distracción Osteogénica","Cantín, M, Olate, S, Fonsea, C, Inzunza, O, Contreras, F, Salgado, G","International Journal of Morphology; 31(3); 1130-1136","International Journal of Morphology","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022013000300057&lang=pt" 
"S0717-95022013000300025-chl","Ultrastructural Study of the Denervated Diaphragm in Rats","Torrejais, M. M, Soares, J. C, Matheus, S. M. M, Mello, J. M, Francia-Farje, L. A. D, Jeronimo, L. C, Vicente, E. J. D","International Journal of Morphology; 31(3); 925-931","International Journal of Morphology","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022013000300025&lang=pt" 
"S0717-95022013000300023-chl","Anatomical Basis of the Myofascial Trigger Points of the Trapezius Muscle","Akamatsu, Flávia Emi, Saleh, Samir, Pinesi, Henrique Trombini, Rodrigues, Katarina Reichmann, Zandoná, Cintia Benedicto, Andrade, Mauro, Jacomo, Alfredo Luiz","International Journal of Morphology; 31(3); 915-920","International Journal of Morphology","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022013000300023&lang=pt" 
"S0717-95022013000300051-chl","Effect of Methamidophos on the Morphology and Male Reproductive Parameters of the Earthworm Eisenia foetida","Espinoza-Navarro, Omar, Ferreira, Carolina, Bustos-Obregón, Eduardo","International Journal of Morphology; 31(3); 1097-1103","International Journal of Morphology","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022013000300051&lang=pt" 
"S0717-95022013000300013-chl","Padrones de Distribución del Ramo Superficial del Nervio Radial en el Dorso de la Mano Humana","Tiznado, G, Olave, E, Sousa-Rodrigues, C","International Journal of Morphology; 31(3); 857-863","International Journal of Morphology","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022013000300013&lang=pt" 
"S0717-95022013000300021-chl","Morfometría Geométrica del Corazón de Hyla plicata a Través de un Gradiente Altitudinal en el Eje Neovolcánico Mexicano","Rios-Rodas, L, Rodríguez-Romero, F. de J, Velázquez-Rodríguez, A. S, Hernández-Franyutti, A. A","International Journal of Morphology; 31(3); 905-910","International Journal of Morphology","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022013000300021&lang=pt" 
"S0717-95022013000300053-chl","Discovering Craniofacial Patterns Using Multivariate Cephalometric Data for Treatment Decision Making in Orthodontics","Araya-Díaz, Pamela, Ruz, Gonzalo A, Palomino, Hernán M","International Journal of Morphology; 31(3); 1109-1115","International Journal of Morphology","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022013000300053&lang=pt" 
"S0717-95022013000300044-chl","Developmental Anomalies of Bronchial Tree: A Multidetector Computerized Tomography Study","Ulusoy, Mahinur, Kivrak, Ali Sami, Uysal, Ismihan Ilknur, Karabulut, Ahmet Kagan, Paksoy, Yahya, Fazliogullari, Zeliha","International Journal of Morphology; 31(3); 1049-1055","International Journal of Morphology","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022013000300044&lang=pt" 
"S0717-95022013000300024-chl","Morphological Features of Pycnodysostosis with Emphasis on Clinical and Radiographic Maxillofacial Findings","Alves, N, Oliveira, R. J, Deana, N. F, Sampaio, J. C. A","International Journal of Morphology; 31(3); 921-924","International Journal of Morphology","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022013000300024&lang=pt" 
"S0718-58392013000300012-chl","Phosphorus fertilization of &#039;Fuyutoyo&#039; cabbages in phosphorus-rich Eutrustox soil","Cecílio Filho, Arthur Bernardes, Silverio da Silva, Gilson, Mendoza Cortez, Juan Waldir","Chilean journal of agricultural research; 73(3); 288-292","Chilean journal of agricultural research","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392013000300012&lang=pt" 
"S0717-95022013000300027-chl","Relación Entre el Tamaño Condilar y la Asimetría Facial Transversal en Individuos con Hiperplasia Condilar","Olate, Sergio, Cantín, Mario, Alister, Juan Pablo, Uribe, Francisca, Navarro, Pablo, Olate, Gabriela, de Moraes, Márcio","International Journal of Morphology; 31(3); 937-941","International Journal of Morphology","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022013000300027&lang=pt" 
"S0717-95022013000300032-chl","Inervación de las Regiones Escapular, Braquial y Antebraquial de la Llama (Lama glama)","Arzone, Carlos A, Genoud, Pablo, Pellegrino, Fernando C, Vidal Figueredo, Ramiro J","International Journal of Morphology; 31(3); 967-972","International Journal of Morphology","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022013000300032&lang=pt" 
"S0717-95022013000300022-chl","Irrigación Renal: Multiplicidad de Arterias","Cruzat, C, Olave, E","International Journal of Morphology; 31(3); 911-914","International Journal of Morphology","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022013000300022&lang=pt" 
"S0718-58392013000300001-chl","Contrasting physiological responses to high salinity between two varieties of corn &#039;Lluteño&#039; (salt tolerant) and &#039;Jubilee&#039; (salt sensitive)","Carrasco-Ríos, Libertad, Rojas, Carla, Pinto, Manuel","Chilean journal of agricultural research; 73(3); 205-212","Chilean journal of agricultural research","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392013000300001&lang=pt" 
"S0718-58392013000300002-chl","Paddy plants inoculated with PGPR show better growth physiology and nutrient content under saline condition","Jha, Yachana, Subramanian, R.B","Chilean journal of agricultural research; 73(3); 213-219","Chilean journal of agricultural research","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392013000300002&lang=pt" 
"S0718-58392013000300003-chl","Effect of auxin on cluster roots induction in Embothrium coccineum J.R. Forst. &amp; G. Forst. in phosphorus deficiency condition","Donoso-Ñanculao, Gabriel, Castro, Mauricio, Navarrete, Dario, Bravo, Leon A, Corcuera, Luis J","Chilean journal of agricultural research; 73(3); 220-224","Chilean journal of agricultural research","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392013000300003&lang=pt" 
"S0718-58392013000300004-chl","Evaluation for fresh consumption of new broad bean genotypes with a determinate growth habit in central Chile","Baginsky, Cecilia, Silva, Paola, Auza, Jorge, Acevedo, Edmundo","Chilean journal of agricultural research; 73(3); 225-232","Chilean journal of agricultural research","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392013000300004&lang=pt" 
"S0718-58392013000300005-chl","Winter wheat grain yield and its components in the North China Plain: irrigation management, cultivation, and climate","Lv, Lihua, Yao, Yanrong, Zhang, Lihua, Dong, Zhiqiang, Jia, Xiuling, Liang, Shuangbo, Ji, Junjie","Chilean journal of agricultural research; 73(3); 233-242","Chilean journal of agricultural research","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392013000300005&lang=pt" 
"S0718-58392013000300006-chl","Economic evaluation of a crop rotation portfolio for irrigated farms in central Chile","González U, Jorge, Undurraga, Pablo, Hirzel, Juan, Martínez G, Ingrid","Chilean journal of agricultural research; 73(3); 243-249","Chilean journal of agricultural research","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392013000300006&lang=pt" 
"S0718-58392013000300010-chl","Phosphate solubilizing bacteria: Assessment of their effect on growth promotion and phosphorous uptake of mung bean (Vigna radiata [L.] R. Wilczek)","Charana Walpola, Buddhi, Yoon, Min-Ho","Chilean journal of agricultural research; 73(3); 275-281","Chilean journal of agricultural research","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392013000300010&lang=pt" 
"S0718-58392013000300011-chl","Heavy metals in cowpea (Vigna unguiculata L.) after tannery sludge compost amendment","Marçal Silva, Maria Doroteia, Ferreira Araújo, Ademir Sérgio, Pinheiro Leal Nunes, Luís Alfredo, de Melo, Wanderley José, Pratap Singh, Rajeev","Chilean journal of agricultural research; 73(3); 282-287","Chilean journal of agricultural research","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392013000300011&lang=pt" 
"S0718-58392013000300013-chl","Effect of dehydration temperature on physico-chemical properties and antioxidant capacity of goldenberry (Physalis peruviana L.)","Jéssica, López, Vega-Gálvez, Antonio, Torres, María José, Lemus-Mondaca, Roberto, Quispe-Fuentes, Issis, Di Scala, Karina","Chilean journal of agricultural research; 73(3); 293-300","Chilean journal of agricultural research","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392013000300013&lang=pt" 
"S0718-58392013000300016-chl","Toxicity of neem oil to the cassava green mite Mononychellus tanajoa (Bondar) (Acari: Tetranychidae)","Silva, Amanda C.B, Teodoro, Adenir V, Oliveira, Eugênio E, Rêgo, Adriano S, Silva, Rafael R","Chilean journal of agricultural research; 73(3); 315-319","Chilean journal of agricultural research","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392013000300016&lang=pt" 
