"S0872-34192015000100001-prt","EDITORIAL","Gonçalves, Carlos Manuel","Sociologia; 29(); 7-8","Sociologia","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-34192015000100001&lang=pt" 
"S0366-52322015000100010-col","TAXONOMÍA Y DISTRIBUCIÓN DE DIATOMEAS EPILÍTICAS REGISTRADAS POR PRIMERA VEZ EN COLOMBIA. I","SALA, SILVIA ESTELA, VOUILLOUD, AMELIA ALEJANDRA, PLATA-DÍAZ, YASMIN, PEDRAZA, EDNA, PIMIENTA, ASTRID","Caldasia; 37(1); 125-141","Caldasia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0366-52322015000100010&lang=pt" 
"S0366-52322015000100011-col","LLUVIA DE POLEN DEL SEDIMENTO SUPERFICIAL EN CIÉNAGAS CONTINENTALES DE LOS DEPARTAMENTOS DEL CESAR Y CÓRDOBA (COLOMBIA)","GARCÍA-M., YENNIFER, CORTÉS-CASTILLO, DENISSE VIVIANA, RANGEL-CH., J. ORLANDO","Caldasia; 37(1); 143-167","Caldasia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0366-52322015000100011&lang=pt" 
"S0366-52322015000100009-col","INTERACCIÓN COLIBRÍ-FLOR EN TRES REMANENTES DE BOSQUE TROPICAL SECO (BST) DEL MUNICIPIO DE CHIMICHAGUA (CESAR, COLOMBIA)","LEÓN-CAMARGO, DANIEL, RANGEL-CH., J. ORLANDO","Caldasia; 37(1); 107-123","Caldasia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0366-52322015000100009&lang=pt" 
"S0366-52322015000100005-col","NOVEDADES TAXONÓMICAS Y COROLÓGICAS EN ECHEANDIA (ASPARAGACEAE)","GIRALDO-CAÑAS, DIEGO","Caldasia; 37(1); 61-71","Caldasia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0366-52322015000100005&lang=pt" 
"S0366-52322015000100001-col","LA SOSTENIBILIDAD Y EL MANEJO DE LA CAZA DEL VENADO COLA BLANCA (Odocoileus virginianus) POR CAZADORES-RECOLECTORES DEL PERIODO PRECERÁMICO DE LA SABANA DE BOGOTÁ, EN EL YACIMIENTO ARQUEOLÓGICO DE AGUAZUQUE (COLOMBIA)","MARTÍNEZ-POLANCO, MARÍA FERNANDA, MONTENEGRO, OLGA L., PEÑA L., GERMÁN A.","Caldasia; 37(1); 1-14","Caldasia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0366-52322015000100001&lang=pt" 
"S0366-52322015000100003-col","RIQUEZA FLORÍSTICA, ENDEMISMO Y FORMAS DE VIDA DE LOS BOSQUES Y LOS MATORRALES DE LAS TERRAZAS COSTERAS DE LA RESERVA DE LA BIOSFERA BACONAO, CUBA","FIGUEREDO CARDONA, LUZ MARGARITA, REYES, ORLANDO J.","Caldasia; 37(1); 31-45","Caldasia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0366-52322015000100003&lang=pt" 
"S0366-52322015000100015-col","CONTRIBUTIONS TO THE MORPHOLOGY OF PLECTROHYLA MYKTER (ANURA: HYLIDAE), WITH COMMENTS ON SOME CONTROVERSIAL CHARACTERS AND THE DIAGNOSIS OF THIS SPECIES","KAPLAN, MOISES, HEIMES, PETER, MCCORMACK, JOHN","Caldasia; 37(1); 211-220","Caldasia","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0366-52322015000100015&lang=pt" 
"S0366-52322015000100014-col","REPRODUCTIVE BIOLOGY OF THE VENEZUELA ROUND STINGRAY UROTRYGON VENEZUELAE SCHULTZ FROM THE COLOMBIAN CARIBBEAN","ACEVEDO, KELLY, MORENO, FABIÁN, GRIJALBA-BENDECK, MARCELA, ACERO, ARTURO, PARAMO, JORGE","Caldasia; 37(1); 197-209","Caldasia","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0366-52322015000100014&lang=pt" 
"S0366-52322015000100016-col","HYPHESSOBRYCON NATAGAIMA (CHARACIFORMES: CHARACIDAE) A NEW SPECIES FROM COLOMBIA, WITH A KEY TO THE MAGDALENA BASIN HYPHESSOBRYCON SPECIES","GARCÍA-ALZATE, CARLOS A., TAPHORN, DONALD C., ROMAN-VALENCIA, CESAR, VILLA-NAVARRO, FRANCISCO A.","Caldasia; 37(1); 221-232","Caldasia","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0366-52322015000100016&lang=pt" 
"S0366-52322015000100012-col","THE ROLE OF PLANTATIONS OF THE AFRICAN PALM (ELAEIS GUINEENSIS JACQ.) IN THE CONSERVATION OF SNAKES IN COLOMBIA","LYNCH, JOHN D.","Caldasia; 37(1); 169-182","Caldasia","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0366-52322015000100012&lang=pt" 
"S0366-52322015000100004-col","THE EPIPHYTIC BRYOPHYTE FLORA OF THE COLOMBIAN AMAZON","CAMPOS, LAURA V., TER STEEGE, HANS, URIBE, JAIME","Caldasia; 37(1); 47-59","Caldasia","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0366-52322015000100004&lang=pt" 
"S0366-52322015000100006-col","SINOPSIS DE CROTON (EUPHORBIACEAE) EN LOS ANDES DE MÉRIDA, VENEZUELA","LUJÁN, MANUEL, LEÓN, YELITZA, RIINA, RICARDA","Caldasia; 37(1); 73-90","Caldasia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0366-52322015000100006&lang=pt" 
"S0366-52322015000100002-col","ESTRUCTURA ESPACIAL DE EPÍFITAS VASCULARES EN DOS LOCALIDADES DE BOSQUE ALTOANDINO, PAMPLONA, COLOMBIA","ROJAS FLÓREZ, CAROL BIBIANA, SÁNCHEZ MONTAÑO, LUIS ROBERTO","Caldasia; 37(1); 15-30","Caldasia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0366-52322015000100002&lang=pt" 
"S0366-52322015000100008-col","THEMISTOCLESIA DIAZII, UNA ESPECIE NUEVA RELACIONADA CON LOS MORTIÑOS COLOMBIANOS (ERICACEAE: VACCINIEAE)","PEDRAZA-PEÑALOSA, PAOLA","Caldasia; 37(1); 99-105","Caldasia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0366-52322015000100008&lang=pt" 
"S0366-52322015000100007-col","PITCAIRNIA HUILENSIS: UNA ATRACTIVA BROMELIÁCEA NUEVA DE COLOMBIA","BETANCUR, JULIO, JIMÉNEZ-ESCOBAR, N. DAVID","Caldasia; 37(1); 91-98","Caldasia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0366-52322015000100007&lang=pt" 
"S0123-42262015000100015-col","ENTOMOFAUNAL COMPARISON UNDER THREE LANDSCAPE CONDITIONS AT THE CERRO DE JUAICA (TENJO, CUNDINAMARCA)","Chaves Forero, Andrés Mauricio, Duarte Gómez, Héctor William, Zenner de Polanía, Ingeborg","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 127-136","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100015&lang=pt" 
"S0123-42262015000100014-col","SHADE TOLERANCE OF MARIGOLD PLANTS (Calendula officinalis)","Casierra-Posada, Fánor, Ávila-León, Omar F.","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 119-126","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100014&lang=pt" 
"S0123-42262015000100016-col","SUSTITUCIÓN DEL MAÍZ POR HARINA INTEGRAL DE ZAPALLO EN LA NUTRICIÓN DE POLLOS DE ENGORDE","Ubaque, Cristian Camilo, Orozco, Lucy Viviana, Ortiz, Sanín, Piedad Valdés, Magda, Vallejo, Franco Alirio","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 137-146","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100016&lang=pt" 
"S0123-42262015000100011-col","EFECTO DEL TUTORADO Y DISTANCIAS DE SIEMBRA SOBRE EL RENDIMIENTO DE Physalis peruviana L.","Quevedo García, Enrique, Sánchez García, Orlando, Veloza Sandoval, Carlos Eliécer","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 91-99","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100011&lang=pt" 
"S0123-42262015000100010-col","DETERMINACIÓN DE LA HABILIDAD COMPETITIVA ENTRE Daucus carota L. Y Senecio vulgaris L.","Dotor Robayo, Mónica, Cabezas Gutiérrez, Marco","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 81-89","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100010&lang=pt" 
"S0123-42262015000100019-col","DESARROLLO DE LA TÉCNICA DE INTERFERÓN GAMMA (IFN-γ) PARA LA DETECCIÓN DE BOVINOS INFECTADOS CON Listeria monocytogenes","Gallego, Carolina, Gallego, Manuel I., Azumendi, José L., Paipa, Jeimara, Jaramillo, Diana","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 163-170","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100019&lang=pt" 
"S0123-42262015000100018-col","EFECTO DE LA VITAMINA 1 α OH-D3, Y 25-OH-D3 SOBRE LOS ÍNDICES DE DESEMPEÑO Y LA MINERALIZACIÓN ÓSEA EN POLLITAS COMERCIALES","González, Carlos Augusto, Chica, Javier Eduardo, Barahona, Rolando","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 155-162","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100018&lang=pt" 
"S0123-42262015000100028-col","ADSORCIÓN DE MERCURIO Y CADMIO EN CARBÓN SUBBITUMINOSO OXIDADO-XANTADO, SULFONADO O ACTIVADO Y RESINA SINTÉTICA COMERCIAL","Fernández-Maestre, Roberto, Colpas-Castillo, Fredy","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 241-250","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100028&lang=pt" 
"S0123-42262015000100024-col","DEVELOPMENT AND EVALUATION OF AN INOCULUM OF CELULOLYTIC BACTERIA","Viteri Flórez, Paola Andrea, Castillo Guerra, David Arturo, Viteri Rosero, Silvio Edgar","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 207-215","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100024&lang=pt" 
"S0123-42262015000100025-col","DESARROLLO Y EVALUACIÓN DE UN INÓCULO DE HONGOS CELULOLÍTICOS","Castillo Guerra, David Arturo, Viteri Flórez, Paola Andrea, Viteri Rosero, Silvio Edgar","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 217-226","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100025&lang=pt" 
"S0123-42262015000100022-col","CALIDAD MICROBIOLÓGICA, FISICOQUÍMICA, DETERMINACIÓN DE NITRITOS Y TEXTURA DE CHORIZOS COMERCIALIZADOS EN CARTAGENA (COLOMBIA)","Tirado, Diego, Acevedo, Diofanor, Montero, Piedad","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 189-195","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100022&lang=pt" 
"S0123-42262015000100023-col","DISTRIBUTION AND ABUNDANCE OF Oncaea media AND O. venusta (CRUSTACEA: COPEPODA) IN THE COLOMBIAN PACIFIC OCEAN DURING TWO PERIODS IN 2001","López, Raúl Hernando, Mojica, Luz Helena","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 197-206","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100023&lang=pt" 
"S0123-42262015000100006-col","USOS DE PLANTAS MEDICINALES EN LA COMUNIDAD SAN JACINTO DEL CANTÓN VENTANAS, LOS RÍ�OS - ECUADOR","Jacob Paredes, Daniel, Buenaño-Allauca, Mónica Patricia, Mancera-Rodríguez, Néstor Javier","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 39-50","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100006&lang=pt" 
"S0123-42262015000100004-col","MANEJO DE MEDICAMENTOS EN CASA, EN PERSONAS CON ENFERMEDAD CRÓNICA NO TRANSMISIBLE (ECNT) Y CUIDADORES","Coral Ibarra, Rosa, Colmenares Caro, Jeimy, Lucía Niño, Carmen","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 21-28","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100004&lang=pt" 
"S0123-42262015000100005-col","PRESENCIA DE Staphylococcus aureus METICILINA- RESISTENTES EN QUESO DOBLE CREMA ARTESANAL","Herrera A., Fanny, Santos B., Jesús","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 29-37","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100005&lang=pt" 
"S0123-42262015000100002-col","CO-OCURRENCIA DE MICROORGANISMOS Y SUS METABOLITOS TÓXICOS EN PRODUCTOS ALIMENTICIOS INFANTILES","Rojas C., Liliana, Wilches F., Ángela, Darghan C., Enrique","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 3-12","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100002&lang=pt" 
"S0123-42262015000100003-col","POTENCIAL MUTAGÉNICO Y GENOTÓXICO DE AGUAS RESIDUALES DE LA CURTIEMBRE TASAJERO EN LA CIUDAD DE CÚCUTA, NORTE DE SANTANDER, COLOMBIA","Quijano Parra, Alfonso, Castillo T., Carol, Meléndez Gélvez, Iván","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 13-20","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100003&lang=pt" 
"S0123-42262015000100008-col","INDUSTRIA DE BIOINSUMOS DE USO AGRÍCOLA EN COLOMBIA","Zambrano-Moreno, Diana Corina, Ramón-Rodríguez, Luisa Fernanda, Van Strahlen-Pérez, Mario, Bonilla-Buitrago, Ruth Rebeca","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 59-67","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100008&lang=pt" 
"S0123-42262015000100009-col","INFLUENCIA DE LA APLICACIÓN DE BIOSÓLIDOS SOBRE EL SUELO, LA MORFOLOGÍA Y PRODUCTIVIDAD DEL CULTIVO DE CAÑA DE AZÚCAR","Torres-Lozada, Patricia, Silva-Leal, Jorge Antonio, Parra-Orobio, Brayan Alexis, Cerón-Castro, Viviana, Madera-Parra, Carlos Arturo","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 69-79","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100009&lang=pt" 
"S0123-42262015000100001-col","EDITORIAL DISCURSO INAUGURAL DE LA FACULTAD DE EDUCACIÓN U.D.C.A","Anzola Montero, Germán","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 1-1","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100001&lang=pt" 
"S0123-42262015000100027-col","COMPOSICIÓN QUÍMICA Y EVALUACIÓN DE LA ACTIVIDAD ANTIOXIDANTE DEL ACEITE ESENCIAL FOLIAR DE Eucalyptus camaldulensis DE NORTE DE SANTANDER (COLOMBIA)","Granados, Clemente, Santafé, Gilmar G., Acevedo, Diofanor","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 235-240","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100027&lang=pt" 
"S0123-42262015000100017-col","ENGORDE DE CONEJOS ALIMENTADOS CON Tithonia diversifolia, Trichanthera gigantea y Arachis pintoi","Castaño, Gastón, Cardona, Jaime","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 147-154","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100017&lang=pt" 
"S0123-42262015000100013-col","ESTABILIDAD FENOTÍPICA DE UNA COLECCIÓN DE FRÍJOL ANDINO (Phaseolus vulgaris L.) TIPO ARBUSTIVO","Ligarreto M., Gustavo A., Castro H., Oscar A., Cháves C., Bernardo","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 109-118","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100013&lang=pt" 
"S0123-42262015000100012-col","EFECTO DE LA DENSIDAD DE SIEMBRA Y DEL APORQUE EN LA PRODUCCIÓN Y CALIDAD DE LA CEBOLLA PUERRO (Allium ampeloprasum L. var. porrum J. Gay)","Peña Baracaldo, Fernando Javier","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 101-108","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100012&lang=pt" 
"S0123-42262015000100029-col","ENCAPSULACIÓN DE UN SABOR CÍTRICO DE MANDARINA USANDO TECNOLOGÍA DE SECADO POR ASPERSIÓN Y DIFERENTES MATERIALES DE COBERTURA","García-Cárdenas, Jaime A., Ciro-Velásquez, Héctor J., Largo-Ávila, Esteban","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 251-260","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100029&lang=pt" 
"S0123-42262015000100026-col","EXTRACCIÓN Y COMPARACIÓN DE LA QUITINA OBTENIDA A PARTIR DEL CAPARAZON DE Callinectes sapidus Y Penaeus vannameis","Barros, Israel, Guzmán, Luis, Tarón, Arnulfo","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 227-234","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100026&lang=pt" 
"S0123-42262015000100020-col","EXPRESIÓN DE RECEPTORES DE LEPTINA EN GLáNDULA MAMARIA DE BOVINOS LACTANTES Y NO LACTANTES","Echeverry, Diana, Ruiz-Cortés, Zulma Tatiana","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 171-179","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100020&lang=pt" 
"S0123-42262015000100021-col","EFECTO DE RECUBRIMIENTOS PROTECTORES SOBRE LA CALIDAD DEL MANGO (Mangifera indica L.) EN POSCOSECHA","Estrada Mesa, Eliana María, Padilla Reyes, Fabio, Márquez Cardozo, Carlos Julio","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 181-188","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100021&lang=pt" 
"S0123-42262015000100007-col","GENERACIÓN DE RÉPLICAS ANATÓMICAS DEL SISTEMA VENTRICULAR ENCEFÁLICO HUMANO MEDIANTE TÉCNICA DE INYECCIÓN CORROSIÓN","Peralta-Pineda, Edison, Quijano-Blanco, Yobany","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 51-57","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100007&lang=pt" 
"S0123-42262015000100031-col","RECONFIGURACIÓN REGIONAL EN EL MARCO DEL ORDENAMIENTO TERRITORIAL; FRANCIA,UN ESPEJO PARA COLOMBIA","Posada Arrubla, Adriana, Berrocal Mendoza, Ana Elena","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 271-281","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100031&lang=pt" 
"S0123-42262015000100030-col","SISTEMAS DE INFORMACIÓN GEOGRáFICA (SIG) EN LA INVESTIGACIÓN DE MERCADOS PARA EXPORTACIONES DE PAPA CRIOLLA COLOMBIANA HACIA ESTADOS UNIDOS","Moreno-Ortiz, Carlos Alberto, Ruge-Caraballo, Julio César","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 18(1); 261-270","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262015000100030&lang=pt" 
"S1851-300X2015000200010-arg","La piel y sus nutrientes","Estrella, V, Nipotti, J, Orive, M, Fernández Bussy, R","Revista argentina de dermatología; 96(2); 117-133","Revista argentina de dermatología","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-300X2015000200010&lang=pt" 
"S1851-300X2015000200005-arg","Enfermedad de Bowen en perspectiva histórica: Historical perspective","Achenbach, RE","Revista argentina de dermatología; 96(2); 75-79","Revista argentina de dermatología","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-300X2015000200005&lang=pt" 
"S1851-300X2015000200011-arg","PROF. DR. SERGIO STRINGA: 05.11.1920 - 12.03.2015","","Revista argentina de dermatología; 96(2); 134-134","Revista argentina de dermatología","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-300X2015000200011&lang=pt" 
"S1851-300X2015000200012-arg","Dr. Amado Saúl Cano (1931- 2015): ¡Hasta pronto maestro!","Pérez-Elizondo, Antonio David","Revista argentina de dermatología; 96(2); 135-136","Revista argentina de dermatología","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-300X2015000200012&lang=pt" 
"S1851-300X2015000200009-arg","Xantogranulomatosis juvenil diseminada: A propósito de un caso","Pérez-Elizondo, AD, Perea-Martínez, F","Revista argentina de dermatología; 96(2); 111-116","Revista argentina de dermatología","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-300X2015000200009&lang=pt" 
"S1851-300X2015000200003-arg","Angioleiomioma cavernoso cutáneo: Presentación de un caso","Juárez Villanueva, LI, Caballero Escuti, G, Mainardi, C, Kurpis, M, Ruiz Lascano, A","Revista argentina de dermatología; 96(2); 46-52","Revista argentina de dermatología","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-300X2015000200003&lang=pt" 
"S1851-300X2015000200007-arg","Enfermedad de Hailey-Hailey: presentación de dos casos","Halac, S, Garay, I, Kurpis, M, Caballero Escuti, G, Ruiz Lascano, A","Revista argentina de dermatología; 96(2); 92-102","Revista argentina de dermatología","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-300X2015000200007&lang=pt" 
"S1851-300X2015000200008-arg","¿Cuál es su diagnóstico?","Achenbach, RE, Martínez, R, Boytenko, S, Dutto, M, Carassai, M, Puzzo, A, Schroh, RG","Revista argentina de dermatología; 96(2); 103-110","Revista argentina de dermatología","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-300X2015000200008&lang=pt" 
"S1851-300X2015000200001-arg","Índice revisado de área y severidad de lupus cutáneo (RCLASI): ¿Qué pudimos observar?: What did we find?","González, D, López Carchi, J, Rodríguez, M, Colque, A, Faira, G, Molina, S, Zambrano, R, Vallone, MG, Latorre, MC, Manzano, R, Bendjuia, G, Feinsilber, DG","Revista argentina de dermatología; 96(2); 1-22","Revista argentina de dermatología","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-300X2015000200001&lang=pt" 
"S1851-300X2015000200004-arg","Conocimientos, medios de información y prácticas de fotoprotección en pacientes con vitiligo del Centro de Histoterapia Placentaria","Trujillo Alfonso, M, Larrondo Muguercia, R, Almeida Carralero, G, Ortiz Vázquez, D","Revista argentina de dermatología; 96(2); 53-74","Revista argentina de dermatología","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-300X2015000200004&lang=pt" 
"S1851-300X2015000200006-arg","Coexistencia de vitiligo y psoriasis, serie de casos y perspectivas etiopatogénicas","Mancheno Valencia, A, Rosas Manzano, A, Toussaint Caire, S, Lacy Niebla, RM","Revista argentina de dermatología; 96(2); 80-91","Revista argentina de dermatología","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-300X2015000200006&lang=pt" 
"S1851-300X2015000200002-arg","Eficacia terapéutica frente a la caspa grasa y la caspa seca de compuestos basados en terpineol, ácido salicílico y climbazol","Gómez Grau, E, Lladós Sevilla, M, Mira, J, Vivancos, F","Revista argentina de dermatología; 96(2); 23-45","Revista argentina de dermatología","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-300X2015000200002&lang=pt" 
"S1852-48262015000100017-arg","Nacimiento, ocaso y dispersiones: Breve relato de la Licenciatura de Antropología en la Universidad Nacional de Tucumán","Carrizo, Sergio","Revista del Museo de Antropología; 8(1); 201-214","Revista del Museo de Antropología","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-48262015000100017&lang=pt" 
"S1852-48262015000100004-arg","Primer registro prehispánico de obsidianas en el piedemonte meridional de la Provincia de Tucumán (Argentina): análisis tecnológico y de procedencia","Miguez, Gabriel E, Funes Coronel, Jorge A, Martínez, Jorge G","Revista del Museo de Antropología; 8(1); 45-50","Revista del Museo de Antropología","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-48262015000100004&lang=pt" 
"S1852-48262015000100006-arg","Criterios analíticos para el estudio del conflicto en el pasado: Un caso de estudio en cazadores recolectores de norpatagonia","Gordón, Florencia","Revista del Museo de Antropología; 8(1); 67-78","Revista del Museo de Antropología","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-48262015000100006&lang=pt" 
