"S0102-76382009000400025-scl","Dilatações gigantes das artérias coronárias em paciente assintomático","Carvalho, Enisa de Miranda de Freitas, Salerno, Tomas A, Coy, Kevin","Brazilian Journal of Cardiovascular Surgery; 24(3); 413-415","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400025&lang=pt" 
"S0100-84042009000300019-scl","Performance polínica em cacaueiros (Theobroma cacao L.) autocompatíveis e autoincompatíveis","Godoy, Paula Roberta Esteves de, Souza, Margarete Magalhães, Roza, Francisvaldo Amaral, Lawinscky, Pabliane Ramos, Araújo, Ioná Santos, Ahnert, Dário","Brazilian Journal of Botany; 32(3); 617-620","Brazilian Journal of Botany","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042009000300019&lang=pt" 
"S1575-18132009000400004-esp","El entrenamiento basado en la simulación como innovación imprescindible en la formación médica","Vázquez-Mata, G., Guillamet-Lloveras, A.","Educación Médica; 12(3); 149-155","Educación Médica","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132009000400004&lang=pt" 
"S1575-18132009000400008-esp","Estilos de aprendizaje de estudiantes de medicina en universidades latinoamericanas y españolas: relación con los contextos geográficos y curriculares","Díaz-Véliz, G., Mora, S., Lafuente-Sánchez, J.V., Gargiulo, P.A., Bianchi, R., Terán, C., Gorena, D., Arce, J., Escanero-Marcen, J.F.","Educación Médica; 12(3); 183-194","Educación Médica","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132009000400008&lang=pt" 
"S1575-18132009000400006-esp","Medición de la calidad de vida en médicos residentes","Prieto-Miranda, S.E., López-Benítez, W., Jiménez-Bernardino, C.A.","Educación Médica; 12(3); 169-177","Educación Médica","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132009000400006&lang=pt" 
"S0100-69162009000300004-scl","Avaliação do bombeamento de água em um sistema alimentado por painéis fotovoltaicos","Michels, Roger N., Ricieri, Reinaldo P., Gnoatto, Estor, Sousa, Samuel N. M. de, Silva, Suedêmio de Lima, Fischborn, Marcos","Engenharia Agrícola; 29(3); 370-379","Engenharia Agrícola","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162009000300004&lang=pt" 
"S0100-69162009000300003-scl","Produção de alface hidropônica em três ambientes de cultivo","Costa, Edílson, Leal, Paulo A. M.","Engenharia Agrícola; 29(3); 358-369","Engenharia Agrícola","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162009000300003&lang=pt" 
"S0100-69162009000300009-scl","Demanda energética nas operações mecanizadas na silagem de milho no sistema de &quot;silo bag&quot;","Seki, André S., Benez, Sérgio H., Silva, Paulo R. A., Yano, Élcio H., Mello, Luiz M. M.","Engenharia Agrícola; 29(3); 424-430","Engenharia Agrícola","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162009000300009&lang=pt" 
"S0100-69162009000300017-scl","Diagnóstico das condições, tempo de uso e manutenção de pulverizadores no Estado de Mato Grosso do Sul","Bauer, Fernando C., Pereira, Francisco de A. R., Scheeren, Bruno R., Braga, Luiz W.","Engenharia Agrícola; 29(3); 501-507","Engenharia Agrícola","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162009000300017&lang=pt" 
"S0104-530X2009000300013-scl","Avaliação da cooperação entre empresas pela troca de informação","Carvalho, Marcius Fabius Henriques de, Silva, Ralph Santos da","Gestão &amp; Produção; 16(3); 479-488","Gestão &amp; Produção","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2009000300013&lang=pt" 
"S1575-18132009000400005-esp","Aprendiendo a ayudar a aprender: Historia de 10 años de formación de tutores de residentes en Galicia","Garrido-Sanjuán, J.A., García-Álvarez, M.A., Iglesias-Olleros, A., Lago-Canzobre, S., Lago-Deibe, F.I., Ramil-Hermida, J.L.","Educación Médica; 12(3); 157-168","Educación Médica","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132009000400005&lang=pt" 
"S0100-204X2009000900001-scl","Biologia floral e polinização artificial de pinhão-manso no norte de Minas Gerais","Juhász, Ana Cristina Pinto, Pimenta, Samy, Soares, Bruno Oliveira, Morais, Danielle de Lourdes Batista, Rabello, Hudson de Oliveira","Pesquisa Agropecuária Brasileira; 44(9); 1073-1077","Pesquisa Agropecuária Brasileira","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2009000900001&lang=pt" 
"S0100-204X2009000900010-scl","Períodos de interferência de plantas daninhas na fase inicial de crescimento do eucalipto","Tarouco, Camila Peligrinotti, Agostinetto, Dirceu, Panozzo, Luís Eduardo, Santos, Leo Silva dos, Vignolo, Gerson Kleinick, Ramos, Luiz Otavio de Oliveira","Pesquisa Agropecuária Brasileira; 44(9); 1131-1137","Pesquisa Agropecuária Brasileira","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2009000900010&lang=pt" 
"S0100-204X2009000900009-scl","Resistance of genetically modified potatoes to Potato virus Y under field conditions","Dusi, André Nepomuceno, Oliveira, Cristiane Lopes de, Melo, Paulo Eduardo de, Torres, Antonio Carlos","Pesquisa Agropecuária Brasileira; 44(9); 1127-1130","Pesquisa Agropecuária Brasileira","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2009000900009&lang=pt" 
"S0100-204X2009000900020-scl","Flutuação populacional de cigarrinhas-das-pastagens em braquiária e capim-elefante","Auad, Alexander Machado, Carvalho, Caio Antunes de, Silva, Daniela Maria da, Deresz, Fermino","Pesquisa Agropecuária Brasileira; 44(9); 1205-1208","Pesquisa Agropecuária Brasileira","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2009000900020&lang=pt" 
"S1575-18132009000400009-esp","Algunos retos en la enseñanza clínica","Wojtczak, A.","Educación Médica; 12(3); 195-197","Educación Médica","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132009000400009&lang=pt" 
"S1984-46702009000300004-scl","The role of protein in the sexual behaviour of males of Ceratitis capitata (Diptera: Tephritidae): mating success, copula duration and number of copulations","Joachim-Bravo, Iara Sordi, Anjos, Cyntia Santiago, Costa, Anne Moreira","Zoologia (Curitiba); 26(3); 407-412","Zoologia (Curitiba)","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702009000300004&lang=pt" 
"S1984-46702009000300008-scl","Análise comparativa da dieta de quatro espécies de cucos (Aves: Cuculidae), no sul do Brasil","Repenning, Márcio, Basso, Helena C. de P., Rossoni, Jonas R., Krügel, Marilise M., Fontana, Carla S.","Zoologia (Curitiba); 26(3); 443-453","Zoologia (Curitiba)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702009000300008&lang=pt" 
"S1984-46702009000300024-scl","Description of the puparium of Manotes plana (Diptera: Stratiomyidae: Pachygastrinae) from the Ilha da Marambaia, Mangaratiba, state of Rio de Janeiro, Brazil","Xerez, Roberto de, Lopes, Ana Lúcia de Freitas","Zoologia (Curitiba); 26(3); 575-577","Zoologia (Curitiba)","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702009000300024&lang=pt" 
"S1984-46702009000300010-scl","Records of the giant-armadillo Priodontes maximus (Cingulata: Dasypodidae) in the Atlantic Forest: are Minas Gerais and Espírito Santo the last strongholds of the species?","Srbek-Araujo, Ana Carolina, Scoss, Leandro M., Hirsch, André, Chiarello, Adriano G.","Zoologia (Curitiba); 26(3); 461-468","Zoologia (Curitiba)","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702009000300010&lang=pt" 
"S1984-46702009000300019-scl","Campylorhamphus procurvoides successor (Aves: Dendrocolaptidae) is a junior synonym of Campylorhamphus trochilirostris notabilis","Portes, Carlos Eduardo, Aleixo, Alexandre","Zoologia (Curitiba); 26(3); 547-552","Zoologia (Curitiba)","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702009000300019&lang=pt" 
"S1984-46702009000300016-scl","Pivotal temperature and sexual dimorphism of Podocnemis expansa hatchlings (Testudines: Podocnemididae) from Bananal Island, Brazil","Lubiana, Adélio, Ferreira Júnior, Paulo Dias","Zoologia (Curitiba); 26(3); 527-533","Zoologia (Curitiba)","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702009000300016&lang=pt" 
"S1984-46702009000300017-scl","Parasitismo por malófagos (Insecta) e ácaros (Acari) em Turdus leucomelas (Aves) nas estações reprodutiva e de muda de penas no Parque Estadual do Rio Preto, Minas Gerais, Brasil","Enout, Alexandre M. J., Lobato, Débora N., Azevedo, Cristiano S. de, Antonini, Yasmine","Zoologia (Curitiba); 26(3); 534-540","Zoologia (Curitiba)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702009000300017&lang=pt" 
"S1984-46702009000300018-scl","The immature stages of Labrundinia tenata (Diptera: Chironomidae: Tanypodinae) and redescription of the male","Silva, Fabio Laurindo da, Gessner, Alaide Aparecida Fonseca","Zoologia (Curitiba); 26(3); 541-546","Zoologia (Curitiba)","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702009000300018&lang=pt" 
"S1984-46702009000300023-scl","Construction of arboreal nests by brown-nosed coatis, Nasua nasua (Carnivora: Procyonidae) in the Brazilian Pantanal","Olifiers, Natalie, Bianchi, Rita de C., Mourão, Guilherme de M., Gompper, Matthew E.","Zoologia (Curitiba); 26(3); 571-574","Zoologia (Curitiba)","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702009000300023&lang=pt" 
"S1984-46702009000300021-scl","Kelp gulls, Larus dominicanus (Aves: Laridae), breeding in Keller Peninsula, King George Island, Antarctic Peninsula","Branco, Joaquim O., Costa, Erli S., Araujo, Jansen de, Durigon, Edison, Alves, Maria Alice S.","Zoologia (Curitiba); 26(3); 562-566","Zoologia (Curitiba)","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702009000300021&lang=pt" 
"S1984-46702009000300022-scl","Water dispersal of Amphisbaena alba and Amphisbaena amazonica (Squamata: Amphisbaenia: Amphisbaenidae) in Brazilian Amazonia","Maschio, Gleomar F., Prudente, Ana L. da C., Mott, Tami","Zoologia (Curitiba); 26(3); 567-570","Zoologia (Curitiba)","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702009000300022&lang=pt" 
"S1984-46702009000300006-scl","Abundância e distribuição de Aeglidae (Crustacea: Anomura) em função do uso da terra na bacia hidrográfica do Rio Jacutinga, Rio Grande do Sul, Brasil","Trevisan, André, Hepp, Luiz Ubiratan, Santos, Sandro","Zoologia (Curitiba); 26(3); 419-426","Zoologia (Curitiba)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702009000300006&lang=pt" 
"S1984-46702009000300026-scl","The effects of seasonality on the foraging behavior of Tropidurus hispidus and Tropidurus semitaeniatus (Squamata: Tropiduridae) living in sympatry in the Caatinga of northeastern Brazil","Kolodiuk, Miguel F., Ribeiro, Leonardo B., Freire, Eliza M. X.","Zoologia (Curitiba); 26(3); 581-585","Zoologia (Curitiba)","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702009000300026&lang=pt" 
"S1984-46702009000300002-scl","Temporal variations of body mass and plumage in Arenaria interpres (Aves: Scolopacidae) along the Brazilian coast","Rodrigues, Roberta C., Azevedo-Júnior, Severino M. de, Larrazábal, Maria E. L. de, Araujo, Helder F. P. de","Zoologia (Curitiba); 26(3); 386-390","Zoologia (Curitiba)","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702009000300002&lang=pt" 
"S1575-18132009000400002-esp","Nuestro plan de estudios también necesita primeros auxilios","Torres-Amengual, M.","Educación Médica; 12(3); 129-130","Educación Médica","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132009000400002&lang=pt" 
"S0104-530X2009000300001-scl","Carta do Editor","Pereira, Néocles Alves, Alves Filho, Alceu Gomes","Gestão &amp; Produção; 16(3); -","Gestão &amp; Produção","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2009000300001&lang=pt" 
"S0006-87052009000300001-scl","Substancias con actividad citoquinínica estimulan la brotación de yemas en tubérculos de papa","García-Flórez, Manuel, Portela-Ramírez, Alexander, Flórez-Roncancio, Víctor Julio","Bragantia; 68(3); 555-562","Bragantia","Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300001&lang=pt" 
"S0006-87052009000300002-scl","Crescimento e partição de assimilados em cultivares de arroz diferindo no potencial de produtividade de grãos","Falqueto, Antelmo Ralph, Cassol, Daniela, Magalhães Júnior, Ariano Martins de, Oliveira, Antônio Costa de, Bacarin, Marcos Antonio","Bragantia; 68(3); 563-571","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300002&lang=pt" 
"S0006-87052009000300003-scl","Assessment of EST-SSR markers for genetic analisys on coffee","Missio, Robson Fernando, Caixeta, Eveline Teixeira, Zambolim, Eunize Maciel, Pena, Guilherme Ferreira, Ribeiro, Ana Paula, Zambolim, Laércio, Pereira, Antônio Alves, Sakiyama, Ney Sussumu","Bragantia; 68(3); 573-581","Bragantia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300003&lang=pt" 
"S0006-87052009000300004-scl","Seleção de linhagens de feijão rosinha de boa cocção, resistentes à antracnose e mancha angular","Silva, Diego Velásquez Faleiro e, Santos, João Bosco Dos, Abreu, Ângela De Fátima Barbosa, Parrella, Rafael Augusto Da Costa","Bragantia; 68(3); 583-591","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300004&lang=pt" 
"S0006-87052009000300006-scl","Seleção de clones-elite de mandioca de mesa visando a características agronômicas, tecnológicas e químicas","Mezette, Thiago Fonseca, Carvalho, Cássia Regina Limonta, Morgano, Marcelo Antonio, Silva, Marta Gomes da, Parra, Enieluce Santos Brito, Galera, João Manoel Sanseverino Vergani, Valle, Teresa Losada","Bragantia; 68(3); 601-609","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300006&lang=pt" 
"S0006-87052009000300007-scl","Melhoramento genético de erva-mate nativa do Estado de Mato Grosso do Sul","Costa, Reginaldo Brito da, Resende, Marcos Deon Vilela de, Roa, Raul Alffonso Rodrigues, Bungenstab, Davi José, Martins, Wagner José, Roel, Antonia Railda","Bragantia; 68(3); 611-619","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300007&lang=pt" 
"S0006-87052009000300008-scl","Efeito de ambiente sobre a produtividade de feijão carioca para o Estado de Santa Catarina","Rocha, Fabiani Da, Toaldo, Diego, Barili, Leiri Daiane, Vale, Naine Martins do, Garcia, Soraya, Coimbra, Jefferson Luís Meirelles, Vogt, Gilcimar Adriano, Guidolin, Altamir Frederico","Bragantia; 68(3); 621-627","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300008&lang=pt" 
"S0006-87052009000300010-scl","Estresse por alumínio em genótipos de aveia preta em condição hidropônica","Crestani, Maraisa, Carvalho, Fernando Irajá Félix de, Oliveira, Antonio Costa de, Silva, José Antonio Gonzalez da, Souza, Velci Queiróz de, Parachu, Enrique Alfredo Moliterno, Silveira, Gustavo da, Ribeiro, Guilherme, Luche, Henrique de Souza","Bragantia; 68(3); 639-649","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300010&lang=pt" 
"S0006-87052009000300012-scl","Produtividade de alho vernalizado em função de doses de nitrogênio e molibdênio","Macêdo, Fábio Silva, Souza, Rovilson José de, Carvalho, Janice Guedes de, Santos, Bruno Ribeiro, Leite, Leandra Vicentina dos Reis","Bragantia; 68(3); 657-663","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300012&lang=pt" 
"S0006-87052009000300013-scl","Efeito de extratos aquosos de estruturas de grama-seda no desenvolvimento inicial de plântulas de arroz, milho e trigo","Novo, Maria do Carmo de Salvo Soares, Deuber, Robert, Lago, Antonia Augusto do, Araújo, Ronaldo Tavares de, Santini, Ademir","Bragantia; 68(3); 665-672","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300013&lang=pt" 
"S0006-87052009000300014-scl","Desenvolvimento do pessegueiro &#039;Flordaprince&#039; sob duas intensidades de poda verde","Rodrigues, Alessandro, Araujo, João Paulo Campos de, Girardi, Eduardo Augusto, Scarpare Filho, João Alexio","Bragantia; 68(3); 673-679","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300014&lang=pt" 
"S0006-87052009000300015-scl","Estratégias para redução de girassol ornamental para comercialização em vaso","Mateus, Caroline de Moura D&#039;Andréa, Bogiani, Júlio Cesar, Seleguini, Alexsander, Castilho, Regina Maria Monteiro de, Faria Junior, Max José de Araújo","Bragantia; 68(3); 681-687","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300015&lang=pt" 
"S1413-80502009000300001-scl","As despesas familiares com educação no Brasil e a composição de gênero do grupo de irmãos","Carvalho, Sérgio Carlos de, Kassouf, Ana Lúcia","Economia Aplicada; 13(3); 353-375","Economia Aplicada","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-80502009000300001&lang=pt" 
"S0100-204X2009000900004-scl","Eficiência de fosfato natural reativo aplicado em misturas com superfosfato triplo em milho e soja","Franzini, Vinícius Ide, Muraoka, Takashi, Coraspe-León, Héctor Manuel, Mendes, Fernanda Latanze","Pesquisa Agropecuária Brasileira; 44(9); 1092-1099","Pesquisa Agropecuária Brasileira","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2009000900004&lang=pt" 
"S0100-204X2009000900018-scl","Nematódeos de ruminantes em pastagem com diferentes sistemas de pastejo com ovinos e bovinos","Torres, Sônia Emília Figueiredo de Araújo, McManus, Concepta, Amarante, Alessandro Francisco Talamini do, Verdolin, Viviane, Louvandini, Helder","Pesquisa Agropecuária Brasileira; 44(9); 1191-1197","Pesquisa Agropecuária Brasileira","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2009000900018&lang=pt" 
"S0102-76382009000400004-scl","Fator de impacto: importância e influência no meio editorial, acadêmico e científico","Ruiz, Milton Artur, Greco, Oswaldo Tadeu, Braile, Domingo Marcolino","Brazilian Journal of Cardiovascular Surgery; 24(3); 273-278","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400004&lang=pt" 
"S0102-76382009000400005-scl","Methylene blue for vasoplegic syndrome treatment in heart surgery: fifteen years of questions, answers, doubts and certainties","Evora, Paulo Roberto Barbosa, Ribeiro, Paulo José de Freitas, Vicente, Walter Vilella de Andrade, Reis, Celso Luís dos, Rodrigues, Alfredo José, Menardi, Antonio Carlos, Alves Junior, Lafaiete, Evora, Patrícia Martinez, Bassetto, Solange","Brazilian Journal of Cardiovascular Surgery; 24(3); 279-288","Brazilian Journal of Cardiovascular Surgery","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400005&lang=pt" 
"S0102-76382009000400008-scl","Cistatina C e taxa de filtração glomerular em cirurgia cardíaca com circulação extracorpórea","Felicio, Marcello Laneza, Andrade, Rubens Ramos de, Castiglia, Yara Marcondes Machado, Silva, Marcos Augusto de Moraes, Vianna, Pedro Thadeu Galvão, Martins, Antonio Sergio","Brazilian Journal of Cardiovascular Surgery; 24(3); 305-311","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400008&lang=pt" 
"S0102-76382009000400010-scl","Cirurgia cardíaca videoassistida: resultados de um projeto pioneiro no Brasil","Poffo, Robinson, Pope, Renato Bastos, Selbach, Rafael Armínio, Mokross, Cláudio Alexandre, Fukuti, Fabiane, Silva Júnior, Iosmar da, Agapito, Andréia, Cidral, Isaias","Brazilian Journal of Cardiovascular Surgery; 24(3); 318-326","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400010&lang=pt" 
"S0102-76382009000400011-scl","Bandagem da artéria pulmonar: uma cirurgia simples? Uma análise crítica em um centro terciário","Valente, Acrisio Sales, Mesquita, Fernando, Mejia, Juan Alberto Cosquillo, Maia, Isabel Cristina Leite, Maior, Márcia Souto, Branco, Klébia Castelo, Pinto Jr, Valdester Cavalcante, Carvalho Jr, Waldemiro","Brazilian Journal of Cardiovascular Surgery; 24(3); 327-333","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400011&lang=pt" 
"S0102-76382009000400012-scl","Fatores de risco para mortalidade hospitalar no implante de prótese valvar mecânica","De Bacco, Mateus W, Sartori, Ana Paula, Sant&#039;Anna, João Ricardo Michelin, Santos, Marisa F, Prates, Paulo Roberto, Kalil, Renato A. K, Nesralla, Ivo A","Brazilian Journal of Cardiovascular Surgery; 24(3); 334-340","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400012&lang=pt" 
"S0102-76382009000400013-scl","Uso tópico de agente antifibrinolítico na redução do sangramento após revascularização cirúrgica do miocárdio","Breda, João Roberto, Gurian, Danilo Bortoloto, Breda, Ana Silvia Castaldi Ragognetti, Meneghine, Adriano, Freitas, Andréa Cristina de Oliveira, Luongo, Leandro Mattos, Abreu, Luiz Carlos de, Pires, Adilson Casemiro","Brazilian Journal of Cardiovascular Surgery; 24(3); 341-345","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400013&lang=pt" 
"S0102-76382009000400015-scl","Redução anular intermitente com plastia de Alfieri no tratamento da insuficiência mitral em crianças: resultados iniciais","Dalva, Moise, Bichara, Grace Caroline Van Leeuwen, Cunha Filho, Carlos Edson Campos, Carneiro, Gustavo Fernandes, Saliba, Gustavo Niankowsky, Camacho, José Arteaga, Zárate, José Viera, Límaco, Renán Prado","Brazilian Journal of Cardiovascular Surgery; 24(3); 354-358","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400015&lang=pt" 
"S0102-76382009000400017-scl","Influência do veículo na eficácia da reposição de potássio em ratos hipocalêmicos","Petenusso, Márcio, Valenti, Vitor Engrácia, Abreu, Luiz Carlos de, Colombari, Eduardo, Fonseca, Fernando Luiz Affonso, Sato, Monica Akemi","Brazilian Journal of Cardiovascular Surgery; 24(3); 367-372","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400017&lang=pt" 
"S0102-76382009000400018-scl","Aprotinina preserva plaquetas em crianças com cardiopatia congênita acianogênica operadas com circulação extracorpórea?","Ferreira, Cesar Augusto, Vicente, Walter Villela de Andrade, Évora, Paulo Roberto Barbosa, Rodrigues, Alfredo José, Klamt, Jyrson Guilherme, Carlotti, Ana Paula de Carvalho Panzeli, Carmona, Fábio, Manso, Paulo Henrique","Brazilian Journal of Cardiovascular Surgery; 24(3); 373-381","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400018&lang=pt" 
"S0102-76382009000400019-scl","Identificação de um método estatístico como instrumento da qualidade: tempo da presença do doente na sala de operação","Aranha, Guiomar Terezinha Carvalho, Vieira, Reinaldo Wilson, Oliveira, Pedro Paulo Martins de, Petrucci Junior, Orlando, Benze, Benedito Galvão, Silveira Filho, Lindemberg da Mota, Vilarinho, Karlos Alexandre de Souza, Campos, Lívia Paschoalino de","Brazilian Journal of Cardiovascular Surgery; 24(3); 382-390","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400019&lang=pt" 
"S0102-76382009000400020-scl","Papel da eletroanalgesia na função respiratória de pacientes submetidos à operação de revascularização do miocárdio","Luchesa, Cesar Antonio, Greca, Fernando Hintz, Guarita-Souza, Luiz César, Santos, José Luiz Verde dos, Aquim, Esperidião Elias","Brazilian Journal of Cardiovascular Surgery; 24(3); 391-396","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400020&lang=pt" 
"S0102-76382009000400021-scl","Importância da fisioterapia no pré e pós-operatório de cirurgia cardíaca pediátrica","Cavenaghi, Simone, Moura, Silvia Cristina Garcia de, Silva, Thalis Henrique da, Venturinelli, Talita Daniela, Marino, Lais Helena Carvalho, Lamari, Neuseli Marino","Brazilian Journal of Cardiovascular Surgery; 24(3); 397-400","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400021&lang=pt" 
"S0102-76382009000400023-scl","Artéria axilar na instalação de circulação extracorpórea: indicações e resultados","Atik, Fernando A, Faber, Cristiano N, Corso, Ricardo B, Santos, Mateus de Souza, Michelette, Karina Pereira, Barros, Maria Regina, Caneo, Luiz Fernando","Brazilian Journal of Cardiovascular Surgery; 24(3); 404-408","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400023&lang=pt" 
"S0101-98802009000300002-scl","Ultrassom anorretal tri-dimensional pode selecionar pacientes com tumor no reto após neoadjuvância para cirurgia de preservação esfincteriana?","Murad-Regadas, Sthela Maria, Regadas, Francisco Sérgio P., Rodrigues, Lusmar V., Crispin, Francisco Jean, Monteiro, Francisco Coracy C., Holanda, Erico C, Oliveira, Letícia, Nogueira, Felipe Ramos","Revista Brasileira de Coloproctologia; 29(3); 287-296","Revista Brasileira de Coloproctologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802009000300002&lang=pt" 
"S0101-98802009000300005-scl","Tratamento cirúrgico do câncer da porção distal do têrço inferior do reto pela ressecção anterior ultrabaixa e interesfinctérica com anastomose coloanal por videolaparoscopia","Ramos, José Reinan, Mesquita, Ronaldo Machado, Valory, Eduardo A., Santos, Felipe","Revista Brasileira de Coloproctologia; 29(3); 314-324","Revista Brasileira de Coloproctologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802009000300005&lang=pt" 
"S0101-98802009000300007-scl","Interação da gestação na atividade da doença inflamatória intestinal e sua influência sobre o prognóstico gestacional e na fecundidade","Rodrigues, Leonardo Corrêa de Oliveira, Teixeira, Magaly Gemio, Arashiro, Roberta Thiery Godoy, Kiss, Desidério Roberto","Revista Brasileira de Coloproctologia; 29(3); 329-343","Revista Brasileira de Coloproctologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802009000300007&lang=pt" 
