"S0210-56912011000200014-esp","Fallo enmascarado de captura ventricular en paciente portador de marcapasos bicameral","Canabal-Berlanga, A., Sánchez-Rodríguez, P., Raigal-Caño, A.","Medicina Intensiva; 35(2); 135-136","Medicina Intensiva","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912011000200014&lang=pt" 
"S0370-44672011000100007-scl","Effects of hot and warm rolling on microstructure, texture and properties of low carbon steel","Bruna, Roberto Gerardo","Rem: Revista Escola de Minas; 64(1); 57-62","Rem: Revista Escola de Minas","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672011000100007&lang=pt" 
"S0370-44672011000100006-scl","Solvent extraction for metal and water recovery from industrial wastes and effluents","Mansur, Marcelo Borges","Rem: Revista Escola de Minas; 64(1); 51-55","Rem: Revista Escola de Minas","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672011000100006&lang=pt" 
"S0370-44672011000100005-scl","Infrared-spectroscopy analysis of zinc phosphate and nickel and manganese modified zinc phosphate coatings on electrogalvanized steel","Fernandes, Kirlene Salgado, Alvarenga, Evandro de Azevedo, Brandão, Paulo Roberto Gomes, Lins, Vanessa de Freitas Cunha","Rem: Revista Escola de Minas; 64(1); 45-49","Rem: Revista Escola de Minas","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672011000100005&lang=pt" 
"S0370-44672011000100003-scl","Tectonic breccia of the Cabo Frio area, State of Rio de Janeiro, Brazil, intruded by Early Cretaceous mafic dyke: evidence of the Pan-African brittle tectonism?","Motoki, Akihisa, Vargas, Thais, Iwanuch, Woldemar, Sichel, Susanna Eleonora, Balmant, Alex, Aires, José Ribeiro","Rem: Revista Escola de Minas; 64(1); 25-35","Rem: Revista Escola de Minas","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672011000100003&lang=pt" 
"S1516-35982011000300022-scl","Metabolismo de nitrogênio em novilhas alimentadas com dietas contendo cana-de-açúcar tratada com óxido de cálcio","Carvalho, Gleidson Giordano Pinto de, Garcia, Rasmo, Pires, Aureliano José Vieira, Detmann, Edenio, Silva, Robério Rodrigues, Pereira, Mara Lúcia Albuquerque, Santos, Alana Batista dos, Pereira, Taiala Cristina de Jesus","Revista Brasileira de Zootecnia; 40(3); 622-629","Revista Brasileira de Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300022&lang=pt" 
"S0080-62342011000100001-scl","Editorial","Silva, Isilia Aparecida","Revista da Escola de Enfermagem da USP; 45(1); 9-9","Revista da Escola de Enfermagem da USP","Inglês, Português, Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100001&lang=pt" 
"S0103-51502011000100008-scl","Repercussões da fisioterapia na unidade de terapia intensiva neonatal","Vasconcelos, Gabriela Arruda Reinaux de, Almeida, Rita de Cássia Albuquerque, Bezerra, Andrezza de Lemos","Fisioterapia em Movimento; 24(1); 65-73","Fisioterapia em Movimento","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502011000100008&lang=pt" 
"S0370-44672011000100002-scl","Mineralogy and chemistry of archaeological ceramic fragments from archaeological Dark Earth site in Colombian Amazon","Costa, Marcondes Lima da, Rios, Gaspar Morcote, Silva, Mônia Maria Carvalho da, Silva, Glayce Jholy da, Molano-Valdes, Uliana","Rem: Revista Escola de Minas; 64(1); 17-23","Rem: Revista Escola de Minas","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672011000100002&lang=pt" 
"S1516-35982011000300015-scl","Composição química, valores energéticos e digestibilidade verdadeira dos aminoácidos de farinhas de carne e ossos e de peixe para aves","Eyng, Cinthia, Nunes, Christiane Garcia Vilela, Nunes, Ricardo Vianna, Rostagno, Horacio Santiago, Albino, Luiz Fernando Teixeira, Vieites, Flávio Medeiros, Pozza, Paulo Cesar","Revista Brasileira de Zootecnia; 40(3); 575-580","Revista Brasileira de Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300015&lang=pt" 
"S1516-35982011000300021-scl","Desempenho e tamanho de vísceras de cordeiros Santa Inês após ganho compensatório","Almeida, Thais Romano de Vasconcelos e, Perez, Juan Ramon Olalquiaga, Chlad, Mônica, França, Patrícia Maria de, Leite, Rafael Fernandes, Nolli, Cristine Paduan","Revista Brasileira de Zootecnia; 40(3); 616-621","Revista Brasileira de Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300021&lang=pt" 
"S1516-35982011000300024-scl","Digestibilidade da dieta, parâmetros ruminais e desempenho de ovinos Santa Inês alimentados com polpa cítrica peletizada e resíduo úmido de cervejaria","Gilaverte, Susana, Susin, Ivanete, Pires, Alexandre Vaz, Ferreira, Evandro Maia, Mendes, Clayton Quirino, Gentil, Renato Shinkai, Biehl, Marcos Vinicius, Rodrigues, Gustavo Henrique","Revista Brasileira de Zootecnia; 40(3); 639-647","Revista Brasileira de Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300024&lang=pt" 
"S0080-62342011000100002-scl","Burnout em residentes de enfermagem","Franco, Gianfábio Pimentel, Barros, Alba Lúcia Bottura Leite de, Nogueira-Martins, Luiz Antônio, Zeitoun, Sandra Salloum","Revista da Escola de Enfermagem da USP; 45(1); 12-18","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100002&lang=pt" 
"S0080-62342011000100003-scl","Percepções sobre necessidades de saúde na Atenção Básica segundo usuários de um serviço de saúde","Moraes, Paulo Alexandre de, Bertolozzi, Maria Rita, Hino, Paula","Revista da Escola de Enfermagem da USP; 45(1); 19-25","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100003&lang=pt" 
"S0080-62342011000100004-scl","Violência psicológica na prática profissional da enfermeira","Barbosa, Rute, Labronici, Liliana Maria, Sarquis, Leila Maria Mansano, Mantovani, Maria de Fátima","Revista da Escola de Enfermagem da USP; 45(1); 26-32","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100004&lang=pt" 
"S0080-62342011000100005-scl","Avaliação do diagnóstico da sepse neonatal: uso de parâmetros laboratoriais e clínicos como fatores diagnósticos","Meireles, Luciano de Assis, Vieira, Alan Araújo, Costa, Carolina Roella","Revista da Escola de Enfermagem da USP; 45(1); 33-39","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100005&lang=pt" 
"S0080-62342011000100006-scl","Lactação com amenorréia: experiência de enfermeiros e a promoção dessa opção contraceptiva","Moura, Escolástica Rejane Ferreira, Freitas, Giselle Lima de, Pinheiro, Ana Karina Bezerra, Machado, Márcia Maria Tavares, Silva, Raimunda Magalhães da, Lopes, Marcos Venicios de Oliveira","Revista da Escola de Enfermagem da USP; 45(1); 40-46","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100006&lang=pt" 
"S0080-62342011000100008-scl","Laqueadura tubária: caracterização de usuárias laqueadas de um serviço público","Nicolau, Ana Izabel Oliveira, Moraes, Maria Leonor Costa de, Lima, Diego Jorge Maia, Aquino, Priscila de Souza, Pinheiro, Ana Karina Bezerra","Revista da Escola de Enfermagem da USP; 45(1); 55-61","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100008&lang=pt" 
"S0080-62342011000100009-scl","Vivenciando o cuidado no contexto de uma casa de parto: o olhar das usuárias","Gonçalves, Roselane, Aguiar, Cláudia de Azevedo, Merighi, Miriam Aparecida Barbosa, Jesus, Maria Cristina Pinto de","Revista da Escola de Enfermagem da USP; 45(1); 62-70","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100009&lang=pt" 
"S0080-62342011000100010-scl","Percepção de nutrizes acerca de sua qualidade de vida","Aragaki, Ilva Marico Mizumoto, Silva, Isilia Aparecida","Revista da Escola de Enfermagem da USP; 45(1); 71-78","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100010&lang=pt" 
"S0080-62342011000100011-scl","Qualidade do Sistema de Informações de Nascidos Vivos no estado do Paraná, 2000 a 2005","Silva, Gisele Ferreira da, Aidar, Tirza, Mathias, Thais Aidar de Freitas","Revista da Escola de Enfermagem da USP; 45(1); 79-86","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100011&lang=pt" 
"S0080-62342011000100012-scl","Internação psiquiátrica e a manutenção do tratamento extra-hospitalar","Cardoso, Lucilene, Galera, Sueli Aparecida Frari","Revista da Escola de Enfermagem da USP; 45(1); 87-94","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100012&lang=pt" 
"S0080-62342011000100013-scl","Visão como instrumento da percepção na assistência em enfermagem traumato-ortopédica","Cameron, Lys Eiras, Araújo, Sílvia Teresa Carvalho de","Revista da Escola de Enfermagem da USP; 45(1); 95-99","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100013&lang=pt" 
"S0080-62342011000100014-scl","Uso de álcool e espiritualidade entre estudantes de enfermagem","Pillon, Sandra Cristina, Santos, Manoel Antônio dos, Gonçalves, Angélica Martins de Souza, Araújo, Keila Maria de","Revista da Escola de Enfermagem da USP; 45(1); 100-107","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100014&lang=pt" 
"S0080-62342011000100015-scl","Implicações do uso da terapia antirretroviral no modo de viver de crianças com Aids","Botene, Daisy Zanchi de Abreu, Pedro, Eva Neri Rubim","Revista da Escola de Enfermagem da USP; 45(1); 108-115","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100015&lang=pt" 
"S0080-62342011000100016-scl","A prática social sistêmica do enfermeiro na perspectiva luhmanniana","Backes, Dirce Stein, Backes, Marli Stein, Erdmann, Alacoque Lorenzini","Revista da Escola de Enfermagem da USP; 45(1); 116-121","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100016&lang=pt" 
"S0080-62342011000100017-scl","A experiência de sofrimento: histórias narradas pela criança hospitalizada","Vasques, Raquel Candido Ylamas, Bousso, Regina Szylit, Mendes-Castillo, Ana Márcia Chiaradia","Revista da Escola de Enfermagem da USP; 45(1); 122-129","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100017&lang=pt" 
"S0080-62342011000100018-scl","Lesões de pele em recém-nascidos no ambiente hospitalar: tipo, tamanho e área afetada","Fontenele, Fernanda Cavalcante, Cardoso, Maria Vera Lúcia Moreira Leitão","Revista da Escola de Enfermagem da USP; 45(1); 130-137","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100018&lang=pt" 
"S0080-62342011000100019-scl","A música na terminalidade humana: concepções dos familiares","Sales, Catarina Aparecida, Silva, Vladimir Araujo da, Pilger, Calíope, Marcon, Sonia Silva","Revista da Escola de Enfermagem da USP; 45(1); 138-145","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100019&lang=pt" 
"S0080-62342011000100020-scl","O enfermeiro no cuidado à vítima de trauma com dor: o quinto sinal vital","Ribeiro, Norma Cecília Alves, Barreto, Simonize Cunha Cordeiro, Hora, Edilene Curvelo, Sousa, Regina Márcia Cardoso de","Revista da Escola de Enfermagem da USP; 45(1); 146-152","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100020&lang=pt" 
"S0080-62342011000100021-scl","Identificação de contaminação bacteriana no sabão líquido de uso hospitalar","Caetano, Joselany Afio, Lima, Maria Alzete, Miranda, Maira Di Ciero, Serufo, José Carlos, Ponte, Paulo Roberto Lins","Revista da Escola de Enfermagem da USP; 45(1); 153-160","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100021&lang=pt" 
"S0080-62342011000100022-scl","Colchões do tipo caixa de ovo: um reservatório de Staphylococcus aureus resistente à meticilina?","Ferreira, Adriano Menis, Andrade, Denise de, Almeida, Margarete Teresa Gottardo de, Cunha, Keith Cássia, Rigotti, Marcelo Alessandro","Revista da Escola de Enfermagem da USP; 45(1); 161-166","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100022&lang=pt" 
"S0080-62342011000100023-scl","Eventos adversos em Unidade de Terapia Intensiva: percepção dos enfermeiros sobre a cultura não punitiva","Claro, Carla Matilde, Krocockz, Daniella Vianna Correa, Toffolleto, Maria Cecília, Padilha, Kátia Grillo","Revista da Escola de Enfermagem da USP; 45(1); 167-172","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100023&lang=pt" 
"S0080-62342011000100025-scl","Prevalência da incontinência anal na população urbana de Pouso Alegre - Minas Gerais","Santos, Claudia Regina de Souza, Santos, Vera Lúcia Conceição Gouveia","Revista da Escola de Enfermagem da USP; 45(1); 180-186","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100025&lang=pt" 
"S0080-62342011000100027-scl","Uncária tomentosa e a lesão renal aguda isquêmica em ratos","Vattimo, Maria de Fátima Fernandes, Silva, Natalia Oliveira da","Revista da Escola de Enfermagem da USP; 45(1); 194-198","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100027&lang=pt" 
"S0080-62342011000100028-scl","Amamentação: a prática do enfermeiro na perspectiva da Classificação Internacional de Práticas de Enfermagem em Saúde Coletiva","Chaves, Maria Marta Nolasco, Farias, Fabiana Costa de Senna Ávila, Apostólico, Maíra Rosa, Cubas, Marcia Regina, Egry, Emiko Yoshikawa","Revista da Escola de Enfermagem da USP; 45(1); 199-205","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100028&lang=pt" 
"S0080-62342011000100029-scl","Indicadores para avaliação do acesso vascular de usuários em hemodiálise","Nicole, Andressa Garcia, Tronchin, Daisy Maria Rizatto","Revista da Escola de Enfermagem da USP; 45(1); 206-214","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100029&lang=pt" 
"S0080-62342011000100031-scl","Tempo de assistência de enfermagem em instituição hospitalar de ensino","Rogenski, Karin Emília, Fugulin, Fernanda Maria Togeiro, Gaidzinski, Raquel Rapone, Rogenski, Noemi Marisa Brunet","Revista da Escola de Enfermagem da USP; 45(1); 223-229","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100031&lang=pt" 
"S0080-62342011000100032-scl","Qualidade de vida de mulheres vivendo com o HIV/aids de um município do interior paulista","Gaspar, Joice, Reis, Renata Karina, Pereira, Fernanda Maria Vieira, Neves, Lis Aparecida de Souza, Castrighini, Carolina de Castro, Gir, Elucir","Revista da Escola de Enfermagem da USP; 45(1); 230-236","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100032&lang=pt" 
"S0080-62342011000100033-scl","Perfil da vítima atendida pelo serviço pré-hospitalar aéreo de Pernambuco","Nardoto, Emanuella Maria Lopes, Diniz, Jackeline Maria Tavares, Cunha, Carlos Eduardo Gouvêa da","Revista da Escola de Enfermagem da USP; 45(1); 237-242","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100033&lang=pt" 
"S0080-62342011000100034-scl","Percepção de estudantes de enfermagem sobre o Laboratório de Enfermagem como estratégia de ensino","Felix, Carla Cristiane Paz, Faro, Ana Cristina Mancussi e, Dias, Cristiane da Rocha Ferreira","Revista da Escola de Enfermagem da USP; 45(1); 243-249","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100034&lang=pt" 
"S0080-62342011000100035-scl","O egresso de enfermagem da FENF/UERJ no mundo do trabalho","Souza, Norma Valéria Dantas de Oliveira, Correia, Luiza Mara, Cunha, Luana dos Santos, Eccard, Juliana, Patrício, Roberta Alves, Antunes, Tatyane Costa Simões","Revista da Escola de Enfermagem da USP; 45(1); 250-257","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100035&lang=pt" 
"S0080-62342011000100038-scl","Educação para a morte a docentes e discentes de enfermagem: revisão documental da literatura científica","Santos, Janaina Luiza dos, Bueno, Sonia Maria Villela","Revista da Escola de Enfermagem da USP; 45(1); 272-276","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100038&lang=pt" 
"S0080-62342011000100039-scl","Estratégias de prevenção para câncer de testículo e pênis: revisão integrativa","Souza, Kelly Wanessa de, Reis, Paula Elaine Diniz dos, Gomes, Isabelle Pimentel, Carvalho, Emília Campos de","Revista da Escola de Enfermagem da USP; 45(1); 277-282","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100039&lang=pt" 
"S0080-62342011000100040-scl","Protocolo do Programa de Assistência Auxiliada por Animais no Hospital Universitário","Silveira, Isa Rodrigues, Santos, Nanci Cristiano, Linhares, Daniela Ribeiro","Revista da Escola de Enfermagem da USP; 45(1); 283-288","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100040&lang=pt" 
"S0080-62342011000100041-scl","Autocateterismo vesical intermitente na lesão medular","Assis, Gisela Maria, Faro, Ana Cristina Mancussi e","Revista da Escola de Enfermagem da USP; 45(1); 289-293","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100041&lang=pt" 
"S0080-62342011000100024-scl","Validação de intervenções de enfermagem em pessoas com diabetes mellitus","Teixeira, Carla Regina de Souza, Becker, Tânia Alves Canata, Citro, Rachel, Zanetti, Maria Lúcia, Landim, Camila Aparecida Pinheiro","Revista da Escola de Enfermagem da USP; 45(1); 173-179","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100024&lang=pt" 
"S0080-62342011000100030-scl","Construção e avaliação de software educacional sobre cateterismo urinário de demora","Lopes, Ana Carolina Cristino, Ferreira, Andréia de Andrade, Fernandes, Jussara Alaíde Leite, Morita, Ana Beatriz Pinto da Silva, Poveda, Vanessa de Brito, Souza, Adriano José Sorbile de","Revista da Escola de Enfermagem da USP; 45(1); 215-222","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100030&lang=pt" 
"S0080-62342011000100026-scl","As competências profissionais em saúde e as políticas ministeriais","Marques, Cláudia Maria da Silva, Egry, Emiko Yoshikawa","Revista da Escola de Enfermagem da USP; 45(1); 187-193","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100026&lang=pt" 
"S0080-62342011000100037-scl","Tendências dos estudos com idosos mais velhos na comunidade: uma revisão sistemática (inter)nacional","Rosset, Idiane, Pedrazzi, Elizandra Cristina, Roriz-Cruz, Matheus, Morais, Eliane Pinheiro de, Rodrigues, Rosalina Aparecida Partezani","Revista da Escola de Enfermagem da USP; 45(1); 264-271","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100037&lang=pt" 
"S0080-62342011000100036-scl","Monitorização residencial da pressão arterial: atualidades e papel do enfermeiro","Agena, Fabiana, Silva, Giane Christina Alves da, Pierin, Angela Maria Geraldo","Revista da Escola de Enfermagem da USP; 45(1); 258-263","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100036&lang=pt" 
"S0080-62342011000100007-scl","Plantas medicinais: transmissão do conhecimento nas famílias de agricultores de base ecológica no Sul do RS","Ceolin, Teila, Heck, Rita Maria, Barbieri, Rosa Lía, Schwartz, Eda, Muniz, Rosani Manfrin, Pillon, Clenio Nailto","Revista da Escola de Enfermagem da USP; 45(1); 47-54","Revista da Escola de Enfermagem da USP","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000100007&lang=pt" 
"S0103-84782011000300003-scl","Produtividade de alho vernalizado em função de fontes e doses de fósforo","Macêdo, Fábio Silva, Sedoguchi, Ériko Tadashi, Souza, Rovilson José de, Carvalho, Janice Guedes de","Ciência Rural; 41(3); 379-383","Ciência Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300003&lang=pt" 
"S0103-84782011000300025-scl","Diferentes níveis de energia metabolizável para galos reprodutores de corte com ou sem retirada da crista","Lucca, Walter, Rosa, Alexandre Pires, Uttpatel, Rodrigo, Machado, Harvey, Santos, Camila Borba, Barcelos, Vivian","Ciência Rural; 41(3); 513-518","Ciência Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300025&lang=pt" 
"S0103-84782011000300022-scl","Evaluation of &quot;Pampa-Corte&quot; simulation model in different beef cattle fattening systems in Spain","Silveira, Vicente Celestino Pires, Casasús, Isabel, Blanco, Mireia, Joy, Margalida, Bernués, Alberto","Ciência Rural; 41(3); 497-500","Ciência Rural","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300022&lang=pt" 
"S0103-84782011000300001-scl","Regional survey and identification of Bipolaris spp. associated with rice seeds in Rio Grande do Sul State, Brazil","Farias, Cândida Renata Jacobsen de, Afonso, Ana Paula Schneid, Pierobom, Carlos Roberto, Del Ponte, Emerson Medeiros","Ciência Rural; 41(3); 369-372","Ciência Rural","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300001&lang=pt" 
"S0103-84782011000300008-scl","Emergência e crescimento inicial de plântulas de pimenta ornamental e celosia em substrato à base de composto de lodo de curtume","Silva, Jayara Dayany da Costa, Leal, Tâmara Thays Barbosa, Araújo, Raul Matos, Gomes, Regina Lúcia Ferreira, Araújo, Ademir Sérgio Ferreira de, Melo, Wanderley José de","Ciência Rural; 41(3); 412-417","Ciência Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300008&lang=pt" 
"S0103-84782011000300019-scl","Reconstrução de ponte nasal com tela de titânio após exérese tumoral em um cão","Krüger, Renan Marcel, Colomé, Lucas Marques, Müller, Daniel Curvello de Mendonça, Gomes, Cristiano, Amaral, Anne Santos do","Ciência Rural; 41(3); 483-486","Ciência Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300019&lang=pt" 
"S0103-84782011000300029-scl","Desenvolvimento e avaliação de filme antimicrobiano aromatizado para aplicação em massa de pastel","Moraes, Allan Robledo Fialho e, Vidigal, Márcia Cristina Teixeira Ribeiro, Soares, Nilda de Fátima Ferreira, Moraes, Luana Pereira de, Melo, Nathália Ramos de, Gonçalves, Maria Paula Junqueira","Ciência Rural; 41(3); 537-543","Ciência Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300029&lang=pt" 
"S0001-37652011000100002-scl","Plate motions, Gondwana Dinosaurs, Noah&#039;s Arks, Beached Viking Funeral Ships, Ghost Ships, and Landspans","Jacobs, Louis L., Strganac, Christopher, Scotese, Christopher","Anais da Academia Brasileira de Ciências; 83(1); 3-22","Anais da Academia Brasileira de Ciências","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652011000100002&lang=pt" 
"S0103-51502011000100002-scl","Efeitos de um programa de reabilitação pulmonar sobre mecânica respiratória e qualidade de vida de mulheres obesas","Sonehara, Elisa, Cruz, Maria do Socorro Luna, Fernandes, Paula Roquetti, Policarpo, Fernando, Fernandes Filho, José","Fisioterapia em Movimento; 24(1); 13-21","Fisioterapia em Movimento","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502011000100002&lang=pt" 
"S0103-51502011000100003-scl","Exercício aeróbico no controle da hipertensão arterial na pós-menopausa","Lima, Márcia Maria Oliveira, Britto, Raquel Rodrigues, Baião, Erika Alves, Alves, Gislaine de Souza, Abreu, Claudia Drummond Guimarães, Parreira, Verônica Franco","Fisioterapia em Movimento; 24(1); 23-31","Fisioterapia em Movimento","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502011000100003&lang=pt" 
"S0103-51502011000100005-scl","Avaliação da força muscular do assoalho pélvico em idosas com incontinência urinária","Sousa, Juliana Gonçalves de, Ferreira, Vanessa Ribeiro, Oliveira, Ricardo Jacó de, Cestari, Cláudia Elaine","Fisioterapia em Movimento; 24(1); 39-46","Fisioterapia em Movimento","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502011000100005&lang=pt" 
"S0103-51502011000100009-scl","Influência do fortalecimento abdominal na função perineal, associado ou não à orientação de contração do assoalho pélvico, em nulíparas","Korelo, Raciele Ivandra Guarda, Kosiba, Célia Regina, Grecco, Letícia, Matos, Rafaela Abreu","Fisioterapia em Movimento; 24(1); 75-85","Fisioterapia em Movimento","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502011000100009&lang=pt" 
"S0103-51502011000100012-scl","Relação da medida da amplitude tóraco-abdominal de adolescentes asmáticos e saudáveis com seu desempenho físico","Basso, Renata Pedrolongo, Regueiro, Eloisa Maria Gatti, Jamami, Mauricio, Di Lorenzo, Valéria Amorim Pires, Costa, Dirceu","Fisioterapia em Movimento; 24(1); 107-114","Fisioterapia em Movimento","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502011000100012&lang=pt" 
"S0103-51502011000100014-scl","Tempo de início da atividade elétrica dos estabilizadores patelares na marcha em sujeitos com e sem síndrome de dor femoropatelar","Santos, Gilmar Moraes, Ries, Lilian Gerdi Kittel, Sperandio, Fabiana Flores, Say, Karina Gramany, Pulzatto, Flávio, Monteiro-Pedro, Vanessa","Fisioterapia em Movimento; 24(1); 125-132","Fisioterapia em Movimento","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502011000100014&lang=pt" 
