"S0100-72032009000800008-scl","Tratamento do trabalho de parto prematuro","Bittar, Roberto Eduardo, Zugaib, Marcelo","Revista Brasileira de Ginecologia e Obstetrícia; 31(8); 415-422","Revista Brasileira de Ginecologia e Obstetrícia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032009000800008&lang=pt" 
"S0066-782X2009000800022-scl","Fibrilação ventricular durante atividade esportiva tratada com sucesso","Gonzalez, Maria Margarita, Marques, Flávio Rocha Brito, Vianna, Caio Brito, Eid, Carlos Alberto, Feitosa-Filho, Gilson Soares, Timerman, Sergio","Arquivos Brasileiros de Cardiologia; 93(2); e26-e29","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800022&lang=pt" 
"S1020-49892009000800011-spa","Desarrollo de competencias en atención primaria de salud","Nebot Adell, Carme, Rosales Echevarria, Carlos, Borrell Bentz, Rosa M.","Revista Panamericana de Salud Pública; 26(2); 176-183","Revista Panamericana de Salud Pública","Espanhol","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892009000800011&lang=pt" 
"S0074-02762009000500013-scl","Infection kinetics of human adenovirus serotype 41 in HEK 293 cells","Siqueira-Silva, Joselma, Yeda, Fernanda Perez, Favier, Anne-Laure, Mezin, Paulette, Silva, Misael Leonardo, Barrella, Karina Médici, Mehnert, Dolores Úrsula, Fender, Pascal, Hársi, Charlotte Marianna","Memórias do Instituto Oswaldo Cruz; 104(5); 736-744","Memórias do Instituto Oswaldo Cruz","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762009000500013&lang=pt" 
"S0100-67622009000400009-scl","Fertilidade de solos construídos em áreas de mineração de carvão na região sul de Santa Catarina","Costa, Samuel, Zocche, Jairo José","Revista Árvore; 33(4); 665-674","Revista Árvore","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622009000400009&lang=pt" 
"S0004-27492009000400020-scl","Visual rehabilitation in pre phthisis bulbi&#039;s patient: case report","Froiman, Priscila Ciocler, Villas Bôas Júnior, Carlos Eduardo, Sibinelli, Maria Auxiliadora Monteiro Frazão, Veitzman, Silvia, Rinaldo, Giceli Rodrigues Chaves","Arquivos Brasileiros de Oftalmologia; 72(4); 540-542","Arquivos Brasileiros de Oftalmologia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492009000400020&lang=pt" 
"S1413-81232009010500001-scl","Estudo demonstra a necessidade de ampliação do acesso a serviços de saúde sexual para as adolescentes e mulheres jovens","Barbosa, Regina","Ciência &amp; Saúde Coletiva; 14(4); -","Ciência &amp; Saúde Coletiva","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232009010500001&lang=pt" 
"S0074-02762009000500022-scl","Distribution of Lymnaeidae (Mollusca: Pulmonata), intermediate snail hosts of Fasciola hepatica in Venezuela","Pointier, JP, Noya, O, Alarcón de Noya, B, Théron, A","Memórias do Instituto Oswaldo Cruz; 104(5); 790-796","Memórias do Instituto Oswaldo Cruz","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762009000500022&lang=pt" 
"S1519-70772009000200010-scl","Dissertações","","Revista Contabilidade &amp; Finanças; 20(50); 124-124","Revista Contabilidade &amp; Finanças","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772009000200010&lang=pt" 
"S1519-70772009000200009-scl","Teses","","Revista Contabilidade &amp; Finanças; 20(50); 123-123","Revista Contabilidade &amp; Finanças","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772009000200009&lang=pt" 
"S1519-70772009000200001-scl","Editorial","Martins, Gilberto de Andrade","Revista Contabilidade &amp; Finanças; 20(50); 5-5","Revista Contabilidade &amp; Finanças","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772009000200001&lang=pt" 
"S1413-81232009010500001-spa","Estudo demonstra a necessidade de ampliação do acesso a serviços de saúde sexual para as adolescentes e mulheres jovens","Barbosa, Regina","Ciência &amp; Saúde Coletiva; 14(4); -","Ciência &amp; Saúde Coletiva","Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232009010500001&lang=pt" 
"S0004-27492009000400004-scl","Sistemas biodegradáveis contendo acetato de prednisolona para administração orbitária","Byrro, Ricardo Martins Duarte, Miyashita, Denise, Albuquerque, Verônica Batista de, Cruz, Antônio Augusto Velasco e, Cunha Júnior, Armando da Silva","Arquivos Brasileiros de Oftalmologia; 72(4); 444-450","Arquivos Brasileiros de Oftalmologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492009000400004&lang=pt" 
"S0004-27492009000400005-scl","Incidência e fatores de risco da retinopatia da prematuridade no Hospital Universitário Onofre Lopes, Natal (RN) - Brasil","Pinheiro, Aline Macêdo, Silva, Wallace Andrino da, Bessa, Cíntia Glenda Freitas, Cunha, Hélida Machado, Ferreira, Maria Ângela Fernandes, Gomes, Alexandre Henrique Bezerra","Arquivos Brasileiros de Oftalmologia; 72(4); 451-456","Arquivos Brasileiros de Oftalmologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492009000400005&lang=pt" 
"S1519-70772009000200002-scl","Poison pills no Brasil: um estudo exploratório","Vieira, Jorge, Martins, Eliseu, Fávero, Luiz Paulo Lopes","Revista Contabilidade &amp; Finanças; 20(50); 6-24","Revista Contabilidade &amp; Finanças","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772009000200002&lang=pt" 
"S1519-70772009000200003-scl","Comparabilidade entre o resultado em BR GAAP e U.S. GAAP: evidências das companhias brasileiras listadas nas bolsas norte-americanas","Lemes, Sirlei, Carvalho, Luiz Nelson Guedes de","Revista Contabilidade &amp; Finanças; 20(50); 25-45","Revista Contabilidade &amp; Finanças","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772009000200003&lang=pt" 
"S1519-70772009000200006-scl","Determinantes da estrutura de capital das companhias abertas no Brasil, México e Chile no período 2001-2006","Bastos, Douglas Dias, Nakamura, Wilson Toshiro","Revista Contabilidade &amp; Finanças; 20(50); 75-94","Revista Contabilidade &amp; Finanças","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772009000200006&lang=pt" 
"S1519-70772009000200007-scl","A relação entre o conservadorismo contábil e os conflitos entre acionistas controladores e minoritários sobre as políticas de dividendos nas empresas brasileiras listadas na Bovespa","Gonzaga, Rosimeire Pimentel, Costa, Fábio Moraes da","Revista Contabilidade &amp; Finanças; 20(50); 95-109","Revista Contabilidade &amp; Finanças","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772009000200007&lang=pt" 
"S0100-67622009000400013-scl","Composição e configuração da paisagem da sub-bacia do arroio jacaré, Vale do Taquari, RS, com ênfase nas áreas de florestas","Cemin, Gisele, Perico, Eduardo, Rempel, Claudete","Revista Árvore; 33(4); 705-711","Revista Árvore","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622009000400013&lang=pt" 
"S1519-70772009000200008-scl","Destinação de riqueza aos empregados no Brasil: comparação entre empresas estatais e privadas do setor elétrico (2004-2007)","Machado, Esmael Almeida, Morch, Rafael Borges, Vianna, Dilo Sergio de Carvalho, Santos, Ruthberg dos, Siqueira, José Ricardo Maia de","Revista Contabilidade &amp; Finanças; 20(50); 110-122","Revista Contabilidade &amp; Finanças","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772009000200008&lang=pt" 
"S1519-70772009000200004-scl","Evidenciação voluntária: fatores explicativos da extensão da informação sobre recursos intangíveis","Macagnan, Clea Beatriz","Revista Contabilidade &amp; Finanças; 20(50); 46-61","Revista Contabilidade &amp; Finanças","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772009000200004&lang=pt" 
"S1519-70772009000200005-scl","Auditoria e earnings management: estudo empírico nas empresas abertas auditadas pelas big four e demais firmas de auditoria","Almeida, José Elias Feres de, Almeida, Juan Carlos Goes de","Revista Contabilidade &amp; Finanças; 20(50); 62-74","Revista Contabilidade &amp; Finanças","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772009000200005&lang=pt" 
"S1806-37132009000800005-scl","Respiratory diseases morbidity and mortality among adults attending a tertiary hospital in Nigeria","Desalu, Olufemi Olumuyiwa, Oluwafemi, Joshua Afolayan, Ojo, Ololade","Jornal Brasileiro de Pneumologia; 35(8); 745-752","Jornal Brasileiro de Pneumologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132009000800005&lang=pt" 
"S1806-37132009000800008-scl","Polymorphism of the CYP1A1*2A gene and susceptibility to lung cancer in a Brazilian population","Honma, Helen Naemi, De Capitani, Eduardo Mello, Barbeiro, Aristóteles de Souza, Costa, Daniel Botelho, Morcillo, André, Zambon, Lair","Jornal Brasileiro de Pneumologia; 35(8); 767-772","Jornal Brasileiro de Pneumologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132009000800008&lang=pt" 
"S1806-37132009000800009-scl","Resistência do Mycobacterium tuberculosis à isoniazida por mutações em duas regiões diferentes do gene katG","Siqueira, Helio Ribeiro de, Freitas, Flávia Alvim Dutra de, Oliveira, Denise Neves de, Barreto, Angela Maria Werneck, Dalcolmo, Margareth Pretti, Albano, Rodolpho Mattos","Jornal Brasileiro de Pneumologia; 35(8); 773-779","Jornal Brasileiro de Pneumologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132009000800009&lang=pt" 
"S1806-37132009000800011-scl","Estresse oxidativo e alterações estruturais pulmonares no diabetes mellitus experimental","Forgiarini Junior, Luiz Alberto, Kretzmann, Nélson Alexandre, Porawski, Marilene, Dias, Alexandre Simões, Marroni, Norma Anair Possa","Jornal Brasileiro de Pneumologia; 35(8); 788-791","Jornal Brasileiro de Pneumologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132009000800011&lang=pt" 
"S1806-37132009000800012-scl","Doenças pulmonares intersticiais crônicas na criança","Paiva, Maria Aparecida Soares de Souza, Amaral, Sandra Mara Moreira","Jornal Brasileiro de Pneumologia; 35(8); 792-803","Jornal Brasileiro de Pneumologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132009000800012&lang=pt" 
"S1806-37132009000800004-scl","Versão em português do Chronic Respiratory Questionnaire: estudo da validade e reprodutibilidade","Moreira, Graciane Laender, Pitta, Fábio, Ramos, Dionei, Nascimento, Cinthia Sousa Carvalho, Barzon, Danielle, Kovelis, Demétria, Colange, Ana Lúcia, Brunetto, Antonio Fernando, Ramos, Ercy Mara Cipulo","Jornal Brasileiro de Pneumologia; 35(8); 737-744","Jornal Brasileiro de Pneumologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132009000800004&lang=pt" 
"S1024-94352009000800001-cub","Temas de salud: una iniciativa para la alfabetización de bibliotecarios y gestores de información en el sector sanitario","Cañedo Andalia, Rubén","ACIMED; 20(2); -","ACIMED","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352009000800001&lang=pt" 
"S1024-94352009000800002-cub","Análisis patentométrico de la información desde la perspectiva de género","Díaz Pérez, Maidelyn, Giráldez Reyes, Raudel, Armas Peñas, Dayron, Govea González, María Rosa","ACIMED; 20(2); -","ACIMED","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352009000800002&lang=pt" 
"S1024-94352009000800003-cub","El análisis de las redes sociales en la identificación de las relaciones de colaboración: estudio de la Revista Cubana de Ciencia Agrícola","Caraballo Pérez, Yeter, Más Basnuevo, Anays","ACIMED; 20(2); -","ACIMED","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352009000800003&lang=pt" 
"S1024-94352009000800005-cub","Glosario español-inglés de interrogantes y frases útiles para la entrevista médica a pacientes con trastornos neurológicos","Pérez Quintero, Gustavo Felipe, Rodríguez Rubio, Teresa","ACIMED; 20(2); -","ACIMED","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352009000800005&lang=pt" 
"S1024-94352009000800006-cub","Patent literature trends in Medline throughout 1965-2005","Hossein Biglu, Mohammad","ACIMED; 20(2); -","ACIMED","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352009000800006&lang=pt" 
"S1024-94352009000800008-cub","Proyectos sobre ciencia de la información aprobados como parte del Programa de Cooperación Científica y Tecnológica entre Cuba (CITMA) y México (CONACYT)","","ACIMED; 20(2); -","ACIMED","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352009000800008&lang=pt" 
"S1024-94352009000800004-cub","Contribución a la historia de la bibliografía pediátrica cubana","López Espinosa, José Antonio","ACIMED; 20(2); -","ACIMED","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352009000800004&lang=pt" 
"S1024-94352009000800007-cub","El síndrome metabólico: un alto riesgo para individuos sedentarios","Soca, Pedro Enrique Miguel","ACIMED; 20(2); -","ACIMED","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352009000800007&lang=pt" 
"S1806-37132009000800002-scl","Hospitalizações por asma: impacto de um programa de controle de asma e rinite alérgica em Feira de Santana (BA)","Brandão, Heli Vieira, Cruz, Constança Margarida Sampaio, Santos Junior, Ivan da Silva, Ponte, Eduardo Vieira, Guimarães, Armênio, Cruz, Álvaro Augusto","Jornal Brasileiro de Pneumologia; 35(8); 723-729","Jornal Brasileiro de Pneumologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132009000800002&lang=pt" 
"S0718-33052009000200001-chl","DESAFÍOS PARA LAS UNIVERSIDADES DEL ESTADO EN EL SISTEMA DE EDUCACIÓN SUPERIOR CHILENA","Zolezzi Cid, Juan Manuel","Ingeniare. Revista chilena de ingeniería; 17(2); 138-139","Ingeniare. Revista chilena de ingeniería","Inglês, Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052009000200001&lang=pt" 
"S0718-33052009000200002-chl","PROCEDIMIENTO PARA ESTIMAR LA DIVERSIDAD ESPACIAL EN AMBIENTES ELECTROMAGNÉTICOS DE MULTITRAYECTORIAS","Caltenco, J.H, Linares y Miranda, R, López-Bonilla, J, Sosa-Caraveo, C","Ingeniare. Revista chilena de ingeniería; 17(2); 140-150","Ingeniare. Revista chilena de ingeniería","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052009000200002&lang=pt" 
"S0718-33052009000200003-chl","COMPORTAMIENTO DE METAMATERIAL (LHM) Y CONVENCIONAL (RHM) EN NANOESTRUCTURAS CILÍNDRICAS (NANOTUBOS)","Onell, María Ester","Ingeniare. Revista chilena de ingeniería; 17(2); 151-157","Ingeniare. Revista chilena de ingeniería","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052009000200003&lang=pt" 
"S0718-33052009000200004-chl","UNA APROXIMACIÓN DE NÚMEROS DIFUSOS DE TIPO TRAPEZOIDAL","Chalco-Cano, Y, Pedraza Arpasi, J, Román-Flores, H, Álvarez-Jáuregui, G","Ingeniare. Revista chilena de ingeniería; 17(2); 158-165","Ingeniare. Revista chilena de ingeniería","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052009000200004&lang=pt" 
"S0718-33052009000200005-chl","ANÁLISE DA EXECUÇÃO DE UM ALGORITMO NUMÉRICO CBS PARA SIMULAÇÃO DE ESCOAMENTO UTILIZANDO ELEMENTOS FINITOS","de Carvalho Oliveira, Marcos Paulo, Scalon, Vicente Luiz, Padilha, Alcides","Ingeniare. Revista chilena de ingeniería; 17(2); 166-174","Ingeniare. Revista chilena de ingeniería","Português","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052009000200005&lang=pt" 
"S0718-33052009000200006-chl","SELECCIÓN DETERMINÍSTICA Y CRUCE ANULAR EN ALGORITMOS GENÉTICOS: APLICACIÓN A LA PLANIFICACIÓN DE UNIDADES TÉRMICAS DE GENERACIÓN","Pavez-Lazo, Boris, Soto-Cartes, Jessica, Urrutia, Carlos, Curilem, Millaray","Ingeniare. Revista chilena de ingeniería; 17(2); 175-181","Ingeniare. Revista chilena de ingeniería","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052009000200006&lang=pt" 
"S0718-33052009000200007-chl","SOLUCIÓN COMPUTACIONAL DE MODELOS BIOLÓGICOS DE FORMACIÓN DE PATRONES ESPACIO-TEMPORALES","Vanegas A, Juan C, Landinez P, Nancy S, Garzón A, Diego A","Ingeniare. Revista chilena de ingeniería; 17(2); 182-194","Ingeniare. Revista chilena de ingeniería","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052009000200007&lang=pt" 
"S0718-33052009000200008-chl","PROBABILISTIC COST ANALYSIS OF LOGIC PROGRAMS","Soza Pollman, Héctor Juan","Ingeniare. Revista chilena de ingeniería; 17(2); 195-204","Ingeniare. Revista chilena de ingeniería","Inglês","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052009000200008&lang=pt" 
"S0718-33052009000200009-chl","UBICACIÓN ÓPTIMA DE RECONECTADORES EN SISTEMAS DE DISTRIBUCIÓN PARA MINIMIZAR LA FRECUENCIA MEDIA DE INTERRUPCIÓN","Reyes S, Jerson, Morales F, Mariano, García-Santander, Luis, Pezoa, Jorge E","Ingeniare. Revista chilena de ingeniería; 17(2); 205-212","Ingeniare. Revista chilena de ingeniería","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052009000200009&lang=pt" 
"S0718-33052009000200010-chl","ANÁLISIS EN EL PLANO R-X PARA LOCALIZAR FALLAS DE ALTA IMPEDANCIA","Morales-España, Germán Andrés, Barrera-Cárdenas, René Alexander, Ordóñez-Plata, Gabriel","Ingeniare. Revista chilena de ingeniería; 17(2); 213-222","Ingeniare. Revista chilena de ingeniería","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052009000200010&lang=pt" 
"S0718-33052009000200011-chl","KARAGABI KMMODEL: MODELO DE REFERENCIA PARA LA INTRODUCCIÓN DE INICIATIVAS DE GESTIÓN DEL CONOCIMIENTO EN ORGANIZACIONES BASADAS EN CONOCIMIENTO","de J. González, Alberto, Joaquí, Caroll Z, Collazos, Cesar A","Ingeniare. Revista chilena de ingeniería; 17(2); 223-235","Ingeniare. Revista chilena de ingeniería","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052009000200011&lang=pt" 
"S0718-33052009000200012-chl","MODELO ACO PARA LA RECOLECCIÓN DE RESIDUOS POR CONTENEDORES","Salazar Hornig, Eduardo, Ruiz Fuentealba, Nelson","Ingeniare. Revista chilena de ingeniería; 17(2); 236-243","Ingeniare. Revista chilena de ingeniería","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052009000200012&lang=pt" 
"S0718-33052009000200013-chl","PRESERVACIÓN AUTOMÁTICA DE DISCONTINUIDADES DE SUPERFICIE BASADA EN LA ESTIMACIÓN DE LA TORSIÓN DE CURVAS DE CONTORNO PARA LA RECONSTRUCCIÓN DE OBJETOS TRIDIMENSIONALES","Sánchez Torres, Germán, William Branch, John","Ingeniare. Revista chilena de ingeniería; 17(2); 244-255","Ingeniare. Revista chilena de ingeniería","Espanhol","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052009000200013&lang=pt" 
"S0718-33052009000200014-chl","ESTRATÉGIA PARA MODELAGEM NUMÉRICA DE SISTEMAS MISTOS CONSIDERANDO DIFERENTES MODELOS DE RUPTURA PARA OS MATERIAIS","Molina, Julio Cesar, Calil Junior, Carlito","Ingeniare. Revista chilena de ingeniería; 17(2); 256-266","Ingeniare. Revista chilena de ingeniería","Português","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052009000200014&lang=pt" 
"S0718-33052009000200015-chl","TEMPERATURE AND HEAT FLOW WHEN TAPPING OF THE HARDENED STEEL USING DIFFERENT COOLING SYSTEMS","Cardoso Brandão, Lincoln, Teixeira Coelho, Reginaldo","Ingeniare. Revista chilena de ingeniería; 17(2); 267-274","Ingeniare. Revista chilena de ingeniería","Inglês","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052009000200015&lang=pt" 
"S0718-33052009000200016-chl","CHARACTERIZATION OF DEPOSITS FORMED IN A WATER DISTRIBUTION SYSTEM","Echeverría, Félix, Castaño, Juan G, Arroyave, Carlos, Peñuela, Gustavo, Ramírez, Auxilio, Morató, Jordi","Ingeniare. Revista chilena de ingeniería; 17(2); 275-281","Ingeniare. Revista chilena de ingeniería","Inglês","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052009000200016&lang=pt" 
"S0104-11692009000400009-scl","The frequency of nasal injury in newborns due to the use of continuous positive airway pressure with prongs","Nascimento, Renata Medeiros do, Ferreira, Anne Laura Costa, Coutinho, Ana Cláudia Ferreira Pinheiro, Veríssimo, Regina Célia Sales Santos","Revista Latino-Americana de Enfermagem; 17(4); 489-494","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692009000400009&lang=pt" 
"S0104-11692009000400011-scl","Child sexual abuse: the perception of mothers concerning their daughters&#039; sexual abuse","Carvalho, Quitéria Clarice Magalhães, Galvão, Marli Teresinha Gimeniz, Cardoso, Maria Vera Lúcia Moreira Leitão","Revista Latino-Americana de Enfermagem; 17(4); 501-506","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692009000400011&lang=pt" 
"S0104-11692009000400013-scl","Social support and cervical and breast cancer screening practices among nurses","Silva, Isis Teixeira e, Griep, Rosane Harter, Rotenberg, Lúcia","Revista Latino-Americana de Enfermagem; 17(4); 514-521","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692009000400013&lang=pt" 
"S0104-11692009000400015-scl","Association between operational indexes and the utilization rate of a general surgery center","Nepote, Maria Helena Aoki, Monteiro, Ilza Urbano, Hardy, Ellen","Revista Latino-Americana de Enfermagem; 17(4); 529-534","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692009000400015&lang=pt" 
"S0004-27492009000400001-scl","Divulgação e certificação da ciência","Bicas, Harley E. A.","Arquivos Brasileiros de Oftalmologia; 72(4); 431-432","Arquivos Brasileiros de Oftalmologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492009000400001&lang=pt" 
"S0004-27492009000400003-scl","Intraocular pressure and ocular rigidity after LASIK","Cronemberger, Sebastião, Guimarães, Cláudia Savassi, Calixto, Nassim, Calixto, José Márcio Fonseca","Arquivos Brasileiros de Oftalmologia; 72(4); 439-443","Arquivos Brasileiros de Oftalmologia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492009000400003&lang=pt" 
"S0004-27492009000400028-scl","Presteza na revisão de artigos científicos para publicação","Ventura, Antonio Guilherme G. de M.","Arquivos Brasileiros de Oftalmologia; 72(4); 573-575","Arquivos Brasileiros de Oftalmologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492009000400028&lang=pt" 
"S0004-27492009000400009-scl","Avaliação do grau de conhecimento que pacientes com diabetes mellitus demonstram diante das alterações oculares decorrentes dessa doença","Pereira, Gabriela Assumpção Brito, Archer, Renata Louise Battisti, Ruiz, Cristiane Andrade Coelho","Arquivos Brasileiros de Oftalmologia; 72(4); 481-485","Arquivos Brasileiros de Oftalmologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492009000400009&lang=pt" 
"S0004-27492009000400008-scl","Avaliação da qualidade de vida relacionada à visão em crianças com catarata congênita bilateral","Lopes, Marcia Caires Bestilleiro, Salomão, Solange Rios, Berezovsky, Adriana, Tartarella, Marcia Beatriz","Arquivos Brasileiros de Oftalmologia; 72(4); 467-480","Arquivos Brasileiros de Oftalmologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492009000400008&lang=pt" 
"S0004-27492009000400011-scl","Complicações na dacriocistorrinostomia transcanalicular com laser diodo: complications","Garcia, Eduardo Alonso, Cintra, Pedro Paulo Vivacqua Cunha","Arquivos Brasileiros de Oftalmologia; 72(4); 493-496","Arquivos Brasileiros de Oftalmologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492009000400011&lang=pt" 
"S0004-27492009000400025-scl","Multiple wedge-shaped retinal nerve fiber layer defects in a patient with optic nerve glioma in the contralateral eye: case report","Magalhães, Fernanda Pedreira, Prata, Tiago Santos, Lima, Verônica Castro, Teixeira, Luiz Fernando, Manso, Paulo Góis","Arquivos Brasileiros de Oftalmologia; 72(4); 556-559","Arquivos Brasileiros de Oftalmologia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492009000400025&lang=pt" 
"S0004-27492009000400024-scl","Descolamento seroso tardio e recorrente da coróide após trabeculectomia: relato de caso","Silva, Nikias Alves da, Silva, Felício Aristóteles da","Arquivos Brasileiros de Oftalmologia; 72(4); 552-555","Arquivos Brasileiros de Oftalmologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492009000400024&lang=pt" 
"S0004-27492009000400023-scl","Lúpus discóide em pálpebras: relato de caso","Kormann, Rodrigo Beraldi, Cunha, Emanoelle, Silva, Alexandre Telli da, Beckhauser, Ana Paula, Werner, Betina","Arquivos Brasileiros de Oftalmologia; 72(4); 549-551","Arquivos Brasileiros de Oftalmologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492009000400023&lang=pt" 
"S0004-27492009000400019-scl","&quot;Cherry red spot&quot; in a patient with Tay-Sachs disease: case report","Aragão, Ricardo Evangelista Marrocos de, Ramos, Régia Maria Gondim, Pereira, Felipe Bezerra Alves, Bezerra, Andreya Ferreira Rodrigues, Fernandes, Daniel Nogueira","Arquivos Brasileiros de Oftalmologia; 72(4); 537-539","Arquivos Brasileiros de Oftalmologia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492009000400019&lang=pt" 
"S0004-27492009000400018-scl","Tomografia de coerência óptica na commotio retinae: relato de caso","Morita, Celso, Preti, Rony Carlos, Ferraz, Daniel Araújo, Maia Júnior, Otacílio de Oliveira, Takahashi, Walter Y.","Arquivos Brasileiros de Oftalmologia; 72(4); 533-536","Arquivos Brasileiros de Oftalmologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492009000400018&lang=pt" 
