"S0074-02762016000700450-scl","Highly active ozonides selected against drug resistant malaria","Lobo, Lis, Sousa, Bruno de, Cabral, Lília, Cristiano, Maria LS, Nogueira, Fátima","Memórias do Instituto Oswaldo Cruz; 111(7); 450-453","Memórias do Instituto Oswaldo Cruz","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762016000700450&lang=pt" 
"S1807-59322016000700387-scl","Investigating Compliance with Standard Precautions During Residency Physicians in Gynecology and Obstetrics","Carvalho, Milton Jorge de, Pereira, Fernanda Maria Vieira, Gir, Elucir, Lam, Simon Ching, Barbosa, Caio Parente","Clinics; 71(7); 387-391","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016000700387&lang=pt" 
"S1807-59322016000700361-scl","Socioeconomic disparities in access to a hepatocellular carcinoma screening program in Brazil","Signorelli, Izabelle Venturini, Gonçalves, Patrícia Lofêgo, Gonçalves, Luciana Lofêgo, Ferreira, Luiz Sérgio Emery, Mendonça, Ana Tereza Parpaiola, Franklin, Gustavo Leite, Gomes, Maria da Penha Zago","Clinics; 71(7); 361-364","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016000700361&lang=pt" 
"S1807-59322016000700370-scl","Determinants of quality of life in Brazilian patients with myasthenia gravis","Mourão, Aline Mansueto, Gomez, Rodrigo Santiago, Barbosa, Luiz Sergio Mageste, Freitas, Denise da Silva, Comini-Frota, Elizabeth Regina, Kummer, Arthur, Lemos, Stella Maris Aguiar, Teixeira, Antonio Lucio","Clinics; 71(7); 370-374","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016000700370&lang=pt" 
"S1807-59322016000700404-scl","Accuracy of magnetic resonance imaging for measuring maturing cartilage: A phantom study","McKinney, Jennifer R., Sussman, Marshall S., Moineddin, Rahim, Amirabadi, Afsaneh, Rayner, Tammy, Doria, Andrea S.","Clinics; 71(7); 404-411","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016000700404&lang=pt" 
"S1695-61412016000300018-esp","Modalidades de atención a domicilio del Sistema Único de Salud (SUS) articuladas a las Redes de Atención a la Salud","Weykamp, Juliana Marques, de Siqueira, Hedi Crecencia Heckler, Cecagno, Diana","Enfermería Global; 15(43); 480-492","Enfermería Global","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1695-61412016000300018&lang=pt" 
"S1516-35982016000700422-scl","Influence of photoperiod on growth, uniformity, and survival of larvae of the Amazonian ornamental  Heros severus (Heckel, 1840)","Veras, Galileu Crovatto, Paixão, Daércio José de Macedo Ribeiro, Brabo, Marcos Ferreira, Soares, Lourdes Marília Oliveira, Sales, Abner Dias","Revista Brasileira de Zootecnia; 45(7); 422-426","Revista Brasileira de Zootecnia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982016000700422&lang=pt" 
"S1695-61412016000300007-esp","Aspectos sociodemográficos y laborales en el error asistencial de enfermería","Sanz Gómez, Ana Isabel, Iriarte Ramos, Sonia, Gascón Catalán, Ana","Enfermería Global; 15(43); 176-188","Enfermería Global","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1695-61412016000300007&lang=pt" 
"S1695-61412016000300016-esp","El diseño de preguntas clínicas en la práctica basada en la evidencia: modelos de formulación","Martínez Díaz, Juan Daniel, Ortega Chacón, Verónica, Muñoz Ronda, Francisco José","Enfermería Global; 15(43); 431-438","Enfermería Global","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1695-61412016000300016&lang=pt" 
"S1679-39512016000700406-scl","A trama conflituosa das políticas públicas: Lógicas e projetos em disputa","Fonseca, Francisco","Cadernos EBAPE.BR; 14(spe); 406-417","Cadernos EBAPE.BR","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512016000700406&lang=pt" 
"S1679-39512016000700473-scl","Antagonismo, modernismo e inércia: a política regulatória brasileira em três atos","Cunha, Bruno Queiroz","Cadernos EBAPE.BR; 14(spe); 473-485","Cadernos EBAPE.BR","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512016000700473&lang=pt" 
"S1679-39512016000700619-scl","A conferência nacional das cidades como instrumento de políticas públicas para o desenvolvimento territorial: a percepção dos conselheiros nos processos participativos e deliberativos","Villela, Lamounier Erthal, Vidal, Marcelo de Oliveira, Araujo, Antonione Camelo de, Costa, Nayara Luiza Silva Freire da, Costa, Eduardo Gusmão da","Cadernos EBAPE.BR; 14(spe); 619-639","Cadernos EBAPE.BR","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512016000700619&lang=pt" 
"S1679-39512016000700440-scl","Políticas públicas coordenadas e presidencialismo de coalizão: o caso do PROMESO","Rocha Neto, João Mendes da, Borges, Djalma Freire","Cadernos EBAPE.BR; 14(spe); 440-472","Cadernos EBAPE.BR","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512016000700440&lang=pt" 
"S1679-39512016000700486-scl","Um estudo sobre o conceito de empreendedor de políticas públicas: Ideias, Interesses e Mudanças","Capella, Ana Cláudia Niedhardt","Cadernos EBAPE.BR; 14(spe); 486-505","Cadernos EBAPE.BR","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512016000700486&lang=pt" 
"S1679-39512016000700656-scl","O campo das políticas culturais em Rio Grande-RS diante das mudanças propostas no Governo Lula","Kupski, Larisse, Silva, Rosimeri Carvalho da","Cadernos EBAPE.BR; 14(spe); 656-671","Cadernos EBAPE.BR","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512016000700656&lang=pt" 
"S1679-39512016000700001-scl","EDITORIAL","Tenório, Fernando G.","Cadernos EBAPE.BR; 14(spe); -","Cadernos EBAPE.BR","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512016000700001&lang=pt" 
"S1679-39512016000700593-scl","O papel dos atores na formulação e implementação de políticas públicas: dinâmicas, conflitos e interesses no Programa Mais Médicos","Macedo, Alex dos Santos, Alcântara, Valderí de Castro, Andrade, Luís Fernando Silva, Ferreira, Patrícia Aparecida","Cadernos EBAPE.BR; 14(spe); 593-618","Cadernos EBAPE.BR","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512016000700593&lang=pt" 
"S1679-39512016000700527-scl","A internacionalização de empresas na agenda governamental contemporânea de desenvolvimento: reflexões críticas e analíticas para os negócios internacionais","Coelho, Diego Bonaldo, Oliveira Junior, Moacir de Miranda","Cadernos EBAPE.BR; 14(spe); 527-550","Cadernos EBAPE.BR","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512016000700527&lang=pt" 
"S1679-39512016000700569-scl","Programa de assistência técnica para o desenvolvimento de pequenas propriedades leiteiras em Valença-RJ e região Sul Fluminense","Borges, Marcio Silva, Guedes, Cezar Augusto Miranda, Castro, Maria Cristina Drumond e","Cadernos EBAPE.BR; 14(spe); 569-592","Cadernos EBAPE.BR","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512016000700569&lang=pt" 
"S1679-39512016000700506-scl","Análise do Sistema Nacional de Inovação no setor de energia na perspectiva das políticas públicas brasileiras","Silveira, Aline Dario, Carvalho, Andriele De Prá, Kunzler, Marli Teresinha, Cavalcante, Marcia Beatriz, Cunha, Sieglinde Kindl da","Cadernos EBAPE.BR; 14(spe); 506-526","Cadernos EBAPE.BR","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512016000700506&lang=pt" 
"S1679-39512016000700418-scl","Variedades de capitalismo e complementaridades institucionais: uma análise da política petrolífera brasileira e da viabilidade do &quot;Projeto Pré-Sal&quot;","Ebeling, Francisco","Cadernos EBAPE.BR; 14(spe); 418-439","Cadernos EBAPE.BR","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512016000700418&lang=pt" 
"S1679-39512016000700551-scl","Uma discussão sobre a possibilidade da criação institucional e sinergia entre Estado e sociedade: o caso do P1MC no Semiárido brasileiro","Andrade, Jackeline Amantino de, Cordeiro Neto, José Raimundo","Cadernos EBAPE.BR; 14(spe); 551-568","Cadernos EBAPE.BR","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512016000700551&lang=pt" 
"S1679-39512016000700640-scl","Os cuidados paliativos como política pública: notas introdutórias","Frossard, Andrea","Cadernos EBAPE.BR; 14(spe); 640-655","Cadernos EBAPE.BR","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512016000700640&lang=pt" 
"S1727-558X2016000300001-per","Investigación en Medicina de Altura: un nuevo centro de investigación que busca mejorar la salud, equidad y calidad de vida de la población andina","Lizaraso Caparó, Frank, Parodi García, José Francisco","Horizonte Médico; 16(3); 4-5","Horizonte Médico","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1727-558X2016000300001&lang=pt" 
"S1727-558X2016000300006-per","Parasitosis intestinal en preescolares y escolares atendidos en el centro médico EsSalud de Celendin, Cajamarca","Morales Del Pino, Jimmy Rinaldo","Horizonte Médico; 16(3); 35-42","Horizonte Médico","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1727-558X2016000300006&lang=pt" 
"S0034-85972016000300003-per","Estructura de la sintomatología psiquiátrica según el SRQ-18 en pacientes ambulatorios con trastornos mentales evaluados en un hospital general de Lima","Romero-Montes, Andrea D, Sánchez-Chávez, Fabiola N, Lozano-Vargas, Antonio, Ruíz-Grosso, Paulo, Vega-Dienstmaier, Johann","Revista de Neuro-Psiquiatría; 79(3); 142-151","Revista de Neuro-Psiquiatría","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S0034-85972016000300003&lang=pt" 
"S0034-85972016000300010-per","Conductas probablemente patológicas asociadas al uso de teléfonos celulares e Internet","Orellano, Carlos","Revista de Neuro-Psiquiatría; 79(3); 192-193","Revista de Neuro-Psiquiatría","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S0034-85972016000300010&lang=pt" 
"S0034-85972016000300007-per","Automutilación genital y de falanges en un paciente con esquizofrenia: reporte de un caso","Huarcaya-Victoria, Jeff, Ledesma-Gastañadui, Mario, Reinoso-Santa Cruz, Carmen","Revista de Neuro-Psiquiatría; 79(3); 172-179","Revista de Neuro-Psiquiatría","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S0034-85972016000300007&lang=pt" 
"S1657-80312016000200010-col","Reflexiones para conceptualizar territorio solidario","Pérez Villa, Pastor Emilio, Uribe Castrillón, Víctor Hugo","El Ágora U.S.B.; 16(2); 533-546","El Ágora U.S.B.","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-80312016000200010&lang=pt" 
"S0123-30332016000200018-col","Sericin applications: a globular silk protein","Barajas-Gamboa, Jaime A., Serpa-Guerra, Angélica M., Restrepo-Osorio, Adriana, Ã�lvarez-López, Catalina","Ingeniería y competitividad; 18(2); 193-206","Ingeniería y competitividad","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-30332016000200018&lang=pt" 
"S0123-30332016000200004-col","Architectural model from the information view to support interoperability of software tools that support software process improvement","Delgado, Andrés F., Paz, Daniel E., Arciniegas, Jose L., Pino, Francisco J.","Ingeniería y competitividad; 18(2); 35-52","Ingeniería y competitividad","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-30332016000200004&lang=pt" 
"S0123-30332016000200020-col","Magnetic treatment of irrigation water and seeds in agriculture","Zúñiga, Orlando, Benavides, Jhony A., Ospina-Salazar, Daniel I., Jiménez, Cristian O., Gutiérrez, Mauricio A.","Ingeniería y competitividad; 18(2); 217-232","Ingeniería y competitividad","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-30332016000200020&lang=pt" 
"S0123-30332016000200014-col","Composites with pineapple-leaf fibers manufactured by layered compression molding","Jaramillo, Natalia, Hoyos, David, Santa, Juan F.","Ingeniería y competitividad; 18(2); 151-162","Ingeniería y competitividad","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-30332016000200014&lang=pt" 
"S0123-30332016000200011-col","Fabrication and study of thin transparent conductive films prepared by Spin Coating from metal nano-wires","Bernal, Andrés M., Ardila, Angel M., Vega-Verdugo, Marisol","Ingeniería y competitividad; 18(2); 125-132","Ingeniería y competitividad","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-30332016000200011&lang=pt" 
"S0123-30332016000200001-col","¿Cuál es el objetivo de una revista científica","Palacios, Mauricio","Ingeniería y competitividad; 18(2); 8-10","Ingeniería y competitividad","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-30332016000200001&lang=pt" 
"S1657-80312016000200007-col","Construcción de ciudadanía: un modelo para su desarrollo en la escuela","Avendaño Castro, William R, Paz Montes, Luisa Stella, Parada-Trujillo, Abad E","El Ágora U.S.B.; 16(2); 479-492","El Ágora U.S.B.","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-80312016000200007&lang=pt" 
"S0123-30332016000200003-col","The use of Common Duckweed (Lemna mino) in the treatment of wastewater from the washing of sisal fiber (Furcraea bedinghausii)","Arias, Arnol, Ramirez, Alejandra, Fernandez, Viviana, Sanchez, Nazly E.","Ingeniería y competitividad; 18(2); 25-34","Ingeniería y competitividad","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-30332016000200003&lang=pt" 
"S1657-80312016000200011-col","Lenguajes de los poderes. Lemas y eslóganes institucionales en su capacidad de pensarnos ¿Y las universidades?","González González, Miguel Alberto","El Ágora U.S.B.; 16(2); 547-570","El Ágora U.S.B.","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-80312016000200011&lang=pt" 
"S1657-80312016000200016-col","La familia en el marco de la justicia transicional: retos y reconocimientos","Valencia Grajales, José Fernando","El Ágora U.S.B.; 16(2); 643-660","El Ágora U.S.B.","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-80312016000200016&lang=pt" 
"S1657-80312016000200006-col","Entre la participación y la resistencia: reconstrucción del tejido social desde abajo, más allá de la lógica de reparación estatal","Villa Gómez, Juan David, Insuasty Rodríguez, Alfonso","El Ágora U.S.B.; 16(2); 453-478","El Ágora U.S.B.","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-80312016000200006&lang=pt" 
"S1657-80312016000200013-col","Construcción de ciudadanías en sociedades con altos niveles de conflictividad y crisis a través de una iniciativa pedagógica","Ramírez Monsalve, Edgar, Jiménez Builes, Jovani Alberto","El Ágora U.S.B.; 16(2); 591-602","El Ágora U.S.B.","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-80312016000200013&lang=pt" 
"S0123-30332016000200007-col","Functional principal component analyses for study of particulate matter (pm10) in the city of Bogotá","Ramírez, Miguel A., Arias, Jánel, Santa, Luis F.","Ingeniería y competitividad; 18(2); 75-88","Ingeniería y competitividad","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-30332016000200007&lang=pt" 
"S1657-80312016000200015-col","Centro y periferia en el marxismo de posguerra","Katz, Claudio","El Ágora U.S.B.; 16(2); 623-642","El Ágora U.S.B.","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-80312016000200015&lang=pt" 
"S0124-00642016000400005-col","Roles y desafíos de mujeres jefas de hogar con VIH/Sida","Hoyos-Hernández, Paula A, Duarte-Alarcón, Carolina","Revista de Salud Pública; 18(4); 554-567","Revista de Salud Pública","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642016000400005&lang=pt" 
"S0124-00642016000400011-col","Revisão sistemática sobre nível de atividade física e estado nutricional de crianças brasileiras","Graziele Bento, Gisele, Cascaes da Silva, Franciele, Gonçalves, Elizandra, Domingos dos Santos, Patrícia, da Silva, Rudney","Revista de Salud Pública; 18(4); 630-642","Revista de Salud Pública","Português","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642016000400011&lang=pt" 
"S0124-00642016000400004-col","Relación médico-paciente: impacto en las campañas de promoción y prevención para personas con VIH en Medellín","Bermúdez-Román, Viviana, Bran-Piedrahita, Lemy, Palacios-Moya, Lucía, Posada-Zapata, Isabel C","Revista de Salud Pública; 18(4); 543-553","Revista de Salud Pública","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642016000400004&lang=pt" 
"S0124-00642016000400009-col","Identificación de capacidades en salud ambiental de las autoridades ambientales en Colombia","Agudelo-Calderón, Carlos A, García-Ubaque, Juan C, Robledo-Martínez, Rocío, García-Ubaque, Cesar A, Vaca-Bohórquez, Martha L","Revista de Salud Pública; 18(4); 605-616","Revista de Salud Pública","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642016000400009&lang=pt" 
"S0124-00642016000400007-col","Epidemiological surveillance of herpes viral encephalitis in Cordoba, Colombia","Tique, Vaneza, Mattar, Salim, Freire, María, Illian, Eduardo, Camargo, Francisco, Vergara, Oscar, Moraes-Figueiredo, Luiz T","Revista de Salud Pública; 18(4); 581-591","Revista de Salud Pública","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642016000400007&lang=pt" 
"S0124-00642016000400006-col","Disease burden and medical cost-analysis of Acute Respiratory Infections in a low-income district of Bogotá","Lara-Oliveros, Carlos A, De Graeve, Diana, Franco, Fabián, Daza, Sandra P","Revista de Salud Pública; 18(4); 568-580","Revista de Salud Pública","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642016000400006&lang=pt" 
"S1657-80312016000200002-col","Estrategia para el reconocimiento de la identidad cultural y el sentido de pertenencia de inmigrantes latinoamericanos","Coronado Bohórquez, Angie Enerieth, Moreno López, Nidia Milena, Torres Gómez, Ana Carolina","El Ágora U.S.B.; 16(2); 393-406","El Ágora U.S.B.","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-80312016000200002&lang=pt" 
"S1657-80312016000200009-col","El proceso de construcción de paz colombiano más allá de la negociación: una propuesta desde la Paz Transformadora y Participativa","Ramos Musiera, Esteban A","El Ágora U.S.B.; 16(2); 513-532","El Ágora U.S.B.","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-80312016000200009&lang=pt" 
"S0124-00642016000400010-col","Determinantes sociales de la intoxicación por plaguicidas entre cultivadores de arroz en Colombia","Varona, Marcela E, Díaz, Sonia M, Briceño, Leonardo, Sánchez-Infante, Clara I, Torres, Carlos H, Palma, Ruth M, Groot, Helena, Idrovo, Alvaro J","Revista de Salud Pública; 18(4); 617-629","Revista de Salud Pública","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642016000400010&lang=pt" 
"S0123-30332016000200012-col","Kaolin based ceramics obtained by Freeze casting process","Gil-Durán, Santiago, Ossa, E.A.","Ingeniería y competitividad; 18(2); 133-140","Ingeniería y competitividad","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-30332016000200012&lang=pt" 
"S1025-55832016000300013-per","Síntomas neuropsiquiátricos en encefalitis por anticuerpos contra el receptor N-metil-D-aspartato: a propósito de dos casos","Custodio, N, Escobar-Montalvo, J","Anales de la Facultad de Medicina; 77(3); 277-281","Anales de la Facultad de Medicina","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832016000300013&lang=pt" 
"S1025-55832016000300003-per","Evaluación de la inocuidad del sulfuro de hidrógeno en tejido cardiaco de Cavia porcellus (cobayas) normales","Gómez-Herreros, César, Arroyo-Acevedo, Jorge, Rojas-Maturano, César, Cruz-Chavez, Flor, Sifuentes-Gava, Luis","Anales de la Facultad de Medicina; 77(3); 213-217","Anales de la Facultad de Medicina","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832016000300003&lang=pt" 
"S1025-55832016000300014-per","Uso de bevacizumab (avastin) sublesional en papilomatosis laríngea recurrente","Aleas Arce, Olenka, Pacheco García, Mariella","Anales de la Facultad de Medicina; 77(3); 283-285","Anales de la Facultad de Medicina","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832016000300014&lang=pt" 
"S1025-55832016000300005-per","Significado de los valores profesionales en docentes y estudiantes de enfermería, UNMSM - 2014","Vera, Martha, Cornejo, Rocío, Rivas, Luisa, Calizaya, Jessica, Zamora, Oswaldo, Garcia, Julissa","Anales de la Facultad de Medicina; 77(3); 225-229","Anales de la Facultad de Medicina","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832016000300005&lang=pt" 
"S1025-55832016000300001-per","","Núñez-Vergara, Manuel","Anales de la Facultad de Medicina; 77(3); 205-206","Anales de la Facultad de Medicina","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832016000300001&lang=pt" 
"S1025-55832016000300016-per","Tratamiento de la hipertensión arterial en pacientes adultos mayores en atención primaria: ¿existe algún riesgo en la medicación?","Vargas Ponce, Kenneth Grenis, Chávez Rondinel, Naysha Yanet, Taracaya Ugarte, Diomar","Anales de la Facultad de Medicina; 77(3); 291-292","Anales de la Facultad de Medicina","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832016000300016&lang=pt" 
"S1025-55832016000300007-per","Pequeña incisión suprapúbica facilita el consentimiento en necropsias perinatal y pediátrica","Romero, Nery, Laberiano, Caddie, Moscoso, Gonzalo","Anales de la Facultad de Medicina; 77(3); 237-240","Anales de la Facultad de Medicina","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832016000300007&lang=pt" 
"S1025-55832016000300010-per","Comparación entre la depuración de creatinina en orina de 24 horas y la fórmula de Cockcroft - Gault para estimar el filtrado glomerular en mujeres gestantes atendidas en un hospital de Lima","Golac Malea, Mario, Sandoval Vegas, Miguel, Morales del Pino, Jimmy","Anales de la Facultad de Medicina; 77(3); 257-262","Anales de la Facultad de Medicina","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832016000300010&lang=pt" 
"S1025-55832016000300002-per","Diseño y validación del cuestionario U-PlanMed para identificación del uso de plantas medicinales en Babahoyo, Ecuador","Gallegos-Zurita, Maritza, Mazacon, Betty, Troncoso, Luzmila","Anales de la Facultad de Medicina; 77(3); 207-212","Anales de la Facultad de Medicina","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832016000300002&lang=pt" 
"S1025-55832016000300004-per","Diversidad alimentaria en los niños peruanos de 6 a 35 meses","Tarqui-Mamani, Carolina, Alvarez-Dongo, Doris, Gómez-Guizado, Guillermo, Rosales-Pimentel, Silvia","Anales de la Facultad de Medicina; 77(3); 219-224","Anales de la Facultad de Medicina","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832016000300004&lang=pt" 
"S1025-55832016000300008-per","Análisis bibliométrico de la producción científica sobre las agendas nacionales de investigación en el Perú 2011-2014","Romani Romani, Franco Ronald, Roque Henríquez, Joel, Vásquez Loarte, Tania, Mormontoy Calvo, Henry, Vásquez Soplopuco, Hans","Anales de la Facultad de Medicina; 77(3); 241-249","Anales de la Facultad de Medicina","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832016000300008&lang=pt" 
"S1025-55832016000300015-per","Neurofibroma cervical pediátrico: Reporte de caso","Oré Acevedo, Juan Francisco, La Torre Caballero, Martín, Urteaga Quiroga, Rosmery","Anales de la Facultad de Medicina; 77(3); 287-289","Anales de la Facultad de Medicina","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832016000300015&lang=pt" 
"S1025-55832016000300006-per","Percepción de bullying en alumnos de sexto año de la escuela de medicina de una universidad pública de Lima 2015","Oliveros Donohue, Miguel, Perales Cabrera, Alberto, Zavala Sarrio, Salomón, Amemiya Hosh¡, Isabel, Pinto-Satinas, Miguel Angel, Ramos Yataco, Anthony Jazet","Anales de la Facultad de Medicina; 77(3); 231-236","Anales de la Facultad de Medicina","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832016000300006&lang=pt" 
"S1025-55832016000300012-per","Desórdenes psiquiátricos de los inmigrantes chinos del siglo XIX. Primera parte: Inmigrantes chinos en el Manicomio del Cercado de Lima entre 1879 y 1902","Li Ning Anticona, José Luis","Anales de la Facultad de Medicina; 77(3); 269-275","Anales de la Facultad de Medicina","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832016000300012&lang=pt" 
"S1025-55832016000300011-per","Multidisciplinariedad en el manejo de enfermedades crónicas","Lizama-Lefno, Andrea","Anales de la Facultad de Medicina; 77(3); 263-267","Anales de la Facultad de Medicina","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832016000300011&lang=pt" 
"S0122-82852016000300003-col","Os textos críticos sobre o filme O Som ao Redor, seus pressupostos estéticos e desdobramentos hermenêuticos","Almeida, Rogério de, Pelegrini, Christian Hugo","Palabra Clave; 19(3); 721-745","Palabra Clave","Português","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-82852016000300003&lang=pt" 
"S0122-82852016000300010-col","Ser re(des)conocido como víctima: las víctimas del conflicto armado colombiano en la obra Copistas","Tamayo Nieto, Richard","Palabra Clave; 19(3); 919-937","Palabra Clave","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-82852016000300010&lang=pt" 
"S0122-82852016000300007-col","Cómo medir el potencial persuasivo en Twitter: propuesta metodológica","Moya-Sánchez, Miguel, Herrera-Damas, Susana","Palabra Clave; 19(3); 838-867","Palabra Clave","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-82852016000300007&lang=pt" 
"S0122-82852016000300001-col","Veinte años después","Roncallo-Dow, Sergio","Palabra Clave; 19(3); 686-690","Palabra Clave","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-82852016000300001&lang=pt" 
"S0034-98872016000700005-chl","Función renal al fallecimiento según causa de muerte en trasplantados renales","Huidobro E, Juan Pablo, Vega, Jorge","Revista médica de Chile; 144(7); 853-861","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000700005&lang=pt" 
"S0034-98872016000700013-chl","Rol de la microbiota gastrointestinal en la regulación de la respuesta inmune","Alarcón, Pedro, González, Margarita, Castro, Érica","Revista médica de Chile; 144(7); 910-916","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000700013&lang=pt" 
"S0718-560X2016000300003-chl","Carapace shape of some aeglid crabs: plasticity at different levels","Metri, Rafael, Oliveira, Aline Rossi de","Latin american journal of aquatic research; 44(3); 453-459","Latin american journal of aquatic research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2016000300003&lang=pt" 
