"S1130-01082010000800016-esp","On time to veto the use of the word &quot;appendagitis&quot;?","Morera Ocón, F. J.","Revista Española de Enfermedades Digestivas; 102(8); 513-513","Revista Española de Enfermedades Digestivas","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000800016&lang=pt" 
"S0212-16112010000400017-esp","Implicación de la ansiedad y la depresión en los trastornos de alimentación de jóvenes con obesidad","Calderón, C., Forns, M.ª, Varea, V.","Nutrición Hospitalaria; 25(4); 641-647","Nutrición Hospitalaria","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400017&lang=pt" 
"S0212-16112010000400023-esp","Evaluación de la composición corporal en pacientes con insuficiencia renal crónica","Cano, M., Camousseigt, J., Carrasco, F., Rojas, P., Inostroza, J., Pardo, A., Faundez, V., Loncon, P., Pacheco, A., Sanhueza, M.ª E.","Nutrición Hospitalaria; 25(4); 682-687","Nutrición Hospitalaria","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400023&lang=pt" 
"S0212-16112010000400019-esp","Accuracy of sagittal abdominal diameter as predictor of abdominal fat among Brazilian adults: a comparation with waist circumference","Duarte Pimentel, G., Portero-McLellan, K. C., Maestá, N., Corrente, J. E., Burini, R. C.","Nutrición Hospitalaria; 25(4); 656-661","Nutrición Hospitalaria","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400019&lang=pt" 
"S0212-16112010000400015-esp","Resistin levels and inflammatory markers in patients with morbid obesity","Luis, D. A. De, González Sagrado, M., Conde, R., Aller, R., Izaola, O.","Nutrición Hospitalaria; 25(4); 630-634","Nutrición Hospitalaria","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400015&lang=pt" 
"S0212-16112010000400011-esp","Chronic liver disease and cirrhosis mortality and social deprivation: a spatial analysis in small areas of Madrid region","Segura del Pozo, J., Gandarillas, A., Domínguez Berjón, F., Soto, M.ª J., López, L., Marta, I., Abad, I., Zorrilla, B., Duque, I.","Nutrición Hospitalaria; 25(4); 597-605","Nutrición Hospitalaria","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400011&lang=pt" 
"S0212-16112010000400002-esp","Dietary fiber and its interaction with drugs","González Canga, A., Fernández Martínez, N., Sahagún Prieto, A. M.ª, García Vieitez, J. J., Díez Liébana, M.ª J., Díez Láiz, R., Sierra Vega, M.","Nutrición Hospitalaria; 25(4); 535-539","Nutrición Hospitalaria","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400002&lang=pt" 
"S0212-16112010000400018-esp","Equation to estimate body weight in elderly Mexican women using anthropometric measurements","Bernal-Orozco, M.ª F., Vizmanos, B., Hunot, C., Flores-Castro, M., Leal-Mora, D., Cells, A., Fernández-Ballart, J. D.","Nutrición Hospitalaria; 25(4); 648-655","Nutrición Hospitalaria","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400018&lang=pt" 
"S0212-16112010000400008-esp","Role of -55CT polymorphism of UCP3 gene on non alcoholic fatty liver disease and insulin resistance in patients with obesity","Aller, R., Luis, D. A. De, Izaola, O., González Sagrado, M., Conde, R., Alvarez, T., Pacheco, D., Velasco, M. C.","Nutrición Hospitalaria; 25(4); 572-576","Nutrición Hospitalaria","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400008&lang=pt" 
"S0212-16112010000400014-esp","Influencia de la grasa de la dieta en el metabolismo glucídico de mujeres obesas con el genotipo Pro12Pro en el gen PPARgama2","Chaia Kaippert, V., Lopes Rosado, E., Rosa, G., Morais Oliveira, E. M.ª, Kimi Uehara, S., Lima D&#039;Andrea, C., Nogueira, J., Fofano do Lago, M.","Nutrición Hospitalaria; 25(4); 622-629","Nutrición Hospitalaria","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400014&lang=pt" 
"S0212-16112010000400009-esp","Evaluation of chemopreventive response of two cycloxygenase-2 inhibitors, etoricoxib and diclofenac in rat colon cancer using FTIR and NMR spectroscopic techniques","Kaur Saini, M., Nath Sanyal, S.","Nutrición Hospitalaria; 25(4); 577-585","Nutrición Hospitalaria","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400009&lang=pt" 
"S0212-16112010000400016-esp","Progression to overweight, obesity and associated factors after antiretroviral therapy initiation among Brazilian persons with HIV/AIDS","Maia Leite, L. H., Mattos Marinho Sampaio, A. B. De","Nutrición Hospitalaria; 25(4); 635-640","Nutrición Hospitalaria","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400016&lang=pt" 
"S0212-16112010000400020-esp","Circunferencias para valorar cambios en la masa corporal y cantidad de grasa total en gestantes del segundo y tercer trimestre","Pérez, A., Murillo, C., Hernández, R., Herrera, H. A.","Nutrición Hospitalaria; 25(4); 662-668","Nutrición Hospitalaria","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400020&lang=pt" 
"S0212-16112010000400007-esp","Polyphenolic profile and antiproliferative activity of bioaccessible fractions of zinc-fortified fruit beverages in human colon cancer cell lines","Cilla, A., Lagarda, M.ª J., Barberá, R., Romero, F.","Nutrición Hospitalaria; 25(4); 561-571","Nutrición Hospitalaria","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400007&lang=pt" 
"S0213-91112010000400001-spa","¿Qué se puede aprender de la gestión de la gripe pandémica?","Segura, Andreu","Gaceta Sanitaria; 24(4); 269-271","Gaceta Sanitaria","Espanhol","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112010000400001&lang=pt" 
"S0213-91112010000400017-spa","Nuevos criterios diagnósticos de diabetes mellitus gestacional a partir del estudio HAPO: ¿Son válidos en nuestro medio?","Corcoy, Rosa, Lumbreras, Blanca, Bartha, José Luis, Ricart, Wifredo","Gaceta Sanitaria; 24(4); 361-363","Gaceta Sanitaria","Espanhol","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112010000400017&lang=pt" 
"S0212-16112010000400003-esp","Formación en Nutrición: de la universidad a la especialidad","García de Lorenzo, A., Rodríguez Montes, J. A., Culebras, J. M., Álvarez, J., Botella, F., Cardona, D., De Cos, A., García Peris, P., Gil, A., Marti, A., Pérez-Portabella, C., Planas, M., Ruiz-Santana, S., Russolillo, G., Salas-Salvadó, J.","Nutrición Hospitalaria; 25(4); 540-542","Nutrición Hospitalaria","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400003&lang=pt" 
"S0213-91112010000400019-spa","Misterios de dolor","Bimbela Pedrola, José Luis","Gaceta Sanitaria; 24(4); 365-365","Gaceta Sanitaria","Espanhol","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112010000400019&lang=pt" 
"S0213-91112010000400018-spa","Pérdida de exhaustividad de las estadísticas oficiales de mortalidad: Las prisas nunca fueron buenas","Ruiz-Ramos, Miguel, Escolar Pujolar, Antonio","Gaceta Sanitaria; 24(4); 364-364","Gaceta Sanitaria","Espanhol","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112010000400018&lang=pt" 
"S0213-91112010000400020-spa","El buen gobierno sanitario","García-Altés, Anna","Gaceta Sanitaria; 24(4); 366-366","Gaceta Sanitaria","Espanhol","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112010000400020&lang=pt" 
"S0213-91112010000400016-spa","Impacto de una campaña de mejora de la higiene de manos sobre el consumo de soluciones hidroalcohólicas en un hospital de tercer nivel","Dierssen-Sotos, Trinidad, Robles-García, Mónica, Rebollo-Rodrigo, Henar, Antolín-Juárez, Francisco Manuel, Cal López, Marta de la, Navarro-Córdoba, Mar, Llorca, Javier","Gaceta Sanitaria; 24(4); 358-360","Gaceta Sanitaria","Espanhol","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112010000400016&lang=pt" 
"S0213-91112010000400015-spa","El frágil inicio de la cadena de frío vacunal en España","Tuells, José","Gaceta Sanitaria; 24(4); 354-357","Gaceta Sanitaria","Espanhol","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112010000400015&lang=pt" 
"S0213-91112010000400013-spa","Diseño y validación de un cuestionario para medir la continuidad asistencial entre niveles desde la perspectiva del usuario: CCAENA","Letelier, María José, Aller, Marta Beatriz, Henao, Diana, Sánchez-Pérez, Inma, Vargas Lorenzo, Ingrid, Coderch de Lassaletta, Jordi, Llopart, Josep Ramon, Ferran, Manel, Colomés, Lluís, Vázquez Navarrete, María Luisa","Gaceta Sanitaria; 24(4); 339-346","Gaceta Sanitaria","Espanhol","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112010000400013&lang=pt" 
"S0213-91112010000400012-spa","Desigualdades de género en la Sociedad Española de Salud Pública y Administración Sanitaria (2000-2009)","Morrison, Joana, Borrell, Carme, Marí-Dell&#039;Olmo, Marc, Ruiz Cantero, María Teresa, Benach, Joan, Fernández, Esteve, Pasarín, M. Isabel, Pérez, Glòria, Cascant, Lorena, Álvarez-Dardet, Carlos, Artazcoz, Lucía, Pérez, Katherine, García-Calvente, María del Mar, Ruiz, Isabel","Gaceta Sanitaria; 24(4); 334-338","Gaceta Sanitaria","Espanhol","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112010000400012&lang=pt" 
"S0213-91112010000400011-spa","Estudio de un brote poblacional de hepatitis A: Efectividad de la vacunación como medida de control","Díaz Villaescusa, María José, Almar Marqués, Enrique, Gómez Martínez, Angélica, Mateos Ramos, Antonio, Segura Cebollada, Pilar, Cruz de Julián, Isidro de la, Navarro Honrubia, Carlos, Ramírez Córcoles, Cristina","Gaceta Sanitaria; 24(4); 329-333","Gaceta Sanitaria","Espanhol","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112010000400011&lang=pt" 
"S0213-91112010000400009-spa","Estudio transversal basado en la población sobre la aceptabilidad de la vacuna y la percepción de la gravedad de la gripe A/H1N1: opinión de la población general y de los profesionales sanitarios","Apiñaniz, Antxon, López-Picado, Amanda, Miranda-Serrano, Erika, Latorre, Amaia, Cobos, Raquel, Parraza-Díez, Naiara, Amezua, Patricia, Martínez-Cengotitabengoa, Mónica, Aizpuru, Felipe","Gaceta Sanitaria; 24(4); 314-320","Gaceta Sanitaria","Espanhol","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112010000400009&lang=pt" 
"S0213-91112010000400008-spa","Codificación de la mortalidad directamente relacionada con drogas ilegales en España: hacia una adaptación a los criterios estándar europeos","Santos, Sara, Molist, Gemma, Barrio, Gregorio, Pulido, José, Bravo, María J., Fernández-Cuenca, Rafael, Fuente, Luis de la","Gaceta Sanitaria; 24(4); 309-313","Gaceta Sanitaria","Espanhol","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112010000400008&lang=pt" 
"S0213-91112010000400007-spa","Los factores psicosociales determinan la aceptación de la hospitalización a domicilio directamente desde el servicio de urgencias","Jiménez, Sònia, Aguilò, Sira, Gil, Victor, Antolín, Albert, Prieto, Sergio, Bragulat, Ernest, Coll-Vinent, Blanca, Mirò, Òscar, Sánchez, Miquel","Gaceta Sanitaria; 24(4); 303-308","Gaceta Sanitaria","Espanhol","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112010000400007&lang=pt" 
"S0213-91112010000400004-spa","Dislipidemias y riesgo cardiovascular en la población adulta de Castilla y León","Escribano Hernández, Alfonso, Vega Alonso, Agustín Tomás, Lozano Alonso, José Eugenio, Álamo Sanz, Rufino, Castrodeza Sanz, José Javier, Lleras Muñoz, Siro","Gaceta Sanitaria; 24(4); 282-287","Gaceta Sanitaria","Espanhol","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112010000400004&lang=pt" 
"S0213-91112010000400003-spa","Plaguicidas organoclorados en población general adulta de Bizkaia","Begoña Zubero, Miren, Aurrekoetxea, Juan José, Ibarluzea, Jesús M., Goñi, Fernando, López, Raúl, Etxeandia, Arsenio, Rodríguez, Carlos, Ramón Sáenz, José","Gaceta Sanitaria; 24(4); 274-281","Gaceta Sanitaria","Espanhol","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112010000400003&lang=pt" 
"S0212-16112010000400004-esp","Glosario de términos y expresiones frecuentes de Bioética en la práctica de la Nutrición Clínica","Moreno Villares, J. M., Álvarez Hernández, J., Wanden-Berghe Lozano, C., Lozano Fuster, M.","Nutrición Hospitalaria; 25(4); 543-548","Nutrición Hospitalaria","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400004&lang=pt" 
"S0212-16112010000400006-esp","Pro-hepcidina, su relación con indicadores del metabolismo del hierro y de inflamación en pacientes hemodializados tratados o no con eritropoyetina recombinante","Barrios, Y., Espinoza, M., Barón, M. A.","Nutrición Hospitalaria; 25(4); 555-560","Nutrición Hospitalaria","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400006&lang=pt" 
"S0718-915X2010000100001-chl","revista de la construcción","Garrido, Miguel Andrade","Revista de la construcción; 9(1); 01-01","Revista de la construcción","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-915X2010000100001&lang=pt" 
"S0718-915X2010000100002-chl","Factores de Satisfacción Laboral Evocados por los Profesionales de la Construcción en la Comunidad Valenciana (España)","Navarro, E, Llinares, C, Montañana, A","Revista de la construcción; 9(1); 4-16","Revista de la construcción","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-915X2010000100002&lang=pt" 
"S0718-915X2010000100003-chl","Diagnóstico sobre la Planeación y Control de Proyectos en las PYMES de Construcción","González, J.A, Solís, R, Alcudia, C","Revista de la construcción; 9(1); 17-25","Revista de la construcción","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-915X2010000100003&lang=pt" 
"S0718-915X2010000100004-chl","Improving the Effectiveness of New Construction Management Philosophies using the Integral Theory","PAVEZ, I, GONZÁLEZ, V, ALARCÓN, L. F","Revista de la construcción; 9(1); 26-38","Revista de la construcción","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-915X2010000100004&lang=pt" 
"S0718-915X2010000100005-chl","Development of a Systems Dynamics Framework for KPIs to Assist Project Managers&#039; Decision Making Processes","Latorre, V, Roberts, M, Riley, M. J","Revista de la construcción; 9(1); 39-49","Revista de la construcción","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-915X2010000100005&lang=pt" 
"S0718-915X2010000100006-chl","Evaluación del Efecto Flexotorsor en Edificios Altos con la Utilización del Método de Distribución de Fuerzas Horizontales: PPG Modificado","Pupo, N, Recarey, C","Revista de la construcción; 9(1); 50-62","Revista de la construcción","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-915X2010000100006&lang=pt" 
"S0718-915X2010000100007-chl","Cementos con Material Calcáreo: Formación de Thaumasita por Ataque de Sulfatos","Irassar, E. F, Bonavetti, V. L, Menéndez, G","Revista de la construcción; 9(1); 63-73","Revista de la construcción","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-915X2010000100007&lang=pt" 
"S0718-915X2010000100008-chl","Metodología de Obtención de Muestras de Hormigón en Polvo para Análisis de Cloruro y Correlación entre el Contenido de Cloruros en Ambiente Marino Real por Cinco Años y Ambiente Acelerado de Muestras de Hormigón","Carvajal, A. M, MATURANA, P, BENAVIDES, F, CORTÉS, J. E","Revista de la construcción; 9(1); 74-80","Revista de la construcción","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-915X2010000100008&lang=pt" 
"S0718-915X2010000100009-chl","Desempeño Térmico de Techo Alternativo para Vivienda en Tuxtla Gutiérrez, Chiapas, México","Castañeda, G, Argüello, T, Vecchia, F","Revista de la construcción; 9(1); 81-88","Revista de la construcción","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-915X2010000100009&lang=pt" 
"S0718-915X2010000100010-chl","Tipologías Constructivas En una Ciudad Patrimonio de la Humanidad: Trinidad, Cuba","Sánchez, F, De Julián, J. J, Ordóñez, A","Revista de la construcción; 9(1); 89-97","Revista de la construcción","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-915X2010000100010&lang=pt" 
"S0718-915X2010000100011-chl","Análisis Comparativo de Métodos para la Medición del Ángulo de Reposo de Suelos Granulares","Rodas, R, Rousé, P","Revista de la construcción; 9(1); 98-106","Revista de la construcción","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-915X2010000100011&lang=pt" 
"S0718-915X2010000100012-chl","Correlation between Bieniawski&#039;s RMR and Barton&#039;s Q Index in Low-Quality Soils","Castro-Fresno, D, Diego-Carrera, R, Ballester-Muñoz, F, Álvarez-García, J","Revista de la construcción; 9(1); 107-119","Revista de la construcción","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-915X2010000100012&lang=pt" 
"S0718-915X2010000100013-chl","Estimación de Parámetros Resistentes a Partir del Ensayo de Penetración PANDA y su Aplicación en el Cálculo de la Capacidad de Soporte y Asentamientos del Suelo de Fundación (1ª parte)","Sanhueza, C, Villavicencio, G","Revista de la construcción; 9(1); 120-131","Revista de la construcción","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-915X2010000100013&lang=pt" 
"S0365-66912010000800008-esp","Anna Magnani y Roberto Rossellini","Noguera-Paláu, José Juan","Archivos de la Sociedad Española de Oftalmología; 85(8); 285-285","Archivos de la Sociedad Española de Oftalmología","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912010000800008&lang=pt" 
"S0365-66912010000800006-esp","","Dorronzoro Ramírez, E.","Archivos de la Sociedad Española de Oftalmología; 85(8); 281-281","Archivos de la Sociedad Española de Oftalmología","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912010000800006&lang=pt" 
"S0365-66912010000800003-esp","Estudio comparativo entre cirugía de catarata por microincisión coaxial y facoemulsificación estándar","Capella, M.J., Barraquer, E.","Archivos de la Sociedad Española de Oftalmología; 85(8); 268-273","Archivos de la Sociedad Española de Oftalmología","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912010000800003&lang=pt" 
"S0365-66912010000800005-esp","Fijación de lente intraocular en sulcus mediante inserción de hápticos en túneles esclerales: resultados a un año","López-Guajardo, L., Benítez-Herreros, J.","Archivos de la Sociedad Española de Oftalmología; 85(8); 278-280","Archivos de la Sociedad Española de Oftalmología","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912010000800005&lang=pt" 
"S0365-66912010000800007-esp","El globo ocular y anexos en la &quot;Anatomía completa del hombre&quot; de Martín Martínez (s. XVIII)","Sampedro, A., Barbón, J.J.","Archivos de la Sociedad Española de Oftalmología; 85(8); 282-284","Archivos de la Sociedad Española de Oftalmología","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912010000800007&lang=pt" 
"S0365-66912010000800001-esp","Tendencias en el tratamientos de los carcinomas basocelulares perioculares","García Martín, E., Fernández Tirado, F.J.","Archivos de la Sociedad Española de Oftalmología; 85(8); 261-262","Archivos de la Sociedad Española de Oftalmología","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912010000800001&lang=pt" 
"S0365-66912010000800002-esp","Endoftalmitis tras cirugía de cataratas: epidemiología, aspectos clínicos y profilaxis antibiótica","García-Sáenz, M.C., Arias-Puente, A., Rodríguez-Caravaca, G., Andrés Alba, Y., Bañuelos Bañuelos, J.","Archivos de la Sociedad Española de Oftalmología; 85(8); 263-267","Archivos de la Sociedad Española de Oftalmología","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912010000800002&lang=pt" 
"S0365-66912010000800004-esp","Implante de lentes intraoculares tóricas Acrysof® en cirugía de la catarata","Zarranz-Ventura, J., Moreno-Montañés, J., Caire y González-Jáuregui, J., Nova Fernández-Yáñez, E. de, Sádaba-Echarri, L.M.","Archivos de la Sociedad Española de Oftalmología; 85(8); 274-277","Archivos de la Sociedad Española de Oftalmología","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912010000800004&lang=pt" 
"S1518-76322010000200001-scl","Apresentação","Figueiredo, Débora de Carvalho","Linguagem em (Dis)curso; 10(2); 249-250","Linguagem em (Dis)curso","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322010000200001&lang=pt" 
"S1518-76322010000200008-scl","Processos de subjetivação e identificação: ideologia e inconsciente","Magalhães, Belmira, Mariani, Bethania","Linguagem em (Dis)curso; 10(2); 391-408","Linguagem em (Dis)curso","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322010000200008&lang=pt" 
"S1518-76322010000200009-scl","Formação do professor como agente letrador","Karwoski, Acir Mário","Linguagem em (Dis)curso; 10(2); 409-414","Linguagem em (Dis)curso","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322010000200009&lang=pt" 
"S1518-76322010000200002-scl","Palavras de cristal: sujeito, sentido e versões no processo discursivo de reformulação de livros","Silva, Adriana Pozzani de La Vielle e","Linguagem em (Dis)curso; 10(2); 251-273","Linguagem em (Dis)curso","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322010000200002&lang=pt" 
"S1518-76322010000200003-scl","Tematizando o ritual de linguagem","Pimentel, Renata Marcelle Lara","Linguagem em (Dis)curso; 10(2); 275-292","Linguagem em (Dis)curso","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322010000200003&lang=pt" 
"S1518-76322010000200004-scl","Ação social midiatizada: analisando a recontextualização de um evento social","Gomes, Maria Carmen Aires","Linguagem em (Dis)curso; 10(2); 293-313","Linguagem em (Dis)curso","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322010000200004&lang=pt" 
"S1518-76322010000200005-scl","Correlação entre carta-protesto e histórico de letramento do candidato: uma análise de redações do vestibular","Silva, Elizabeth Maria da, Araújo, Denise Lino de","Linguagem em (Dis)curso; 10(2); 315-338","Linguagem em (Dis)curso","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322010000200005&lang=pt" 
"S0213-91112010000400002-spa","Uno coma uno-siete-dos: tenemos factor de impacto","Fernández, Esteve","Gaceta Sanitaria; 24(4); 272-273","Gaceta Sanitaria","Espanhol","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112010000400002&lang=pt" 
"S0213-91112010000400010-spa","Concentración de trihalometanos y de ácidos haloacéticos en el agua de consumo y estimación de su ingesta durante el embarazo en la cohorte INMA-Guipúzcoa (España)","Santa Marina, Loreto, Ayerdi, Mikel, Lertxundi, Aitana, Basterretxea, Mikel, Goñi, Fernando, Alvare, Jon Iñaki, Arranz, Leonor, Blarduni, Elizabeth, Ibarluzea, Jesús María","Gaceta Sanitaria; 24(4); 321-328","Gaceta Sanitaria","Espanhol","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112010000400010&lang=pt" 
"S0213-91112010000400006-spa","Análisis de género de las percepciones y actitudes de los y las profesionales de atención primaria ante el cuidado informal","García-Calvente, María del Mar, Lozano, María del Río, Castaño López, Esther, Mateo Rodríguez, Inmaculada, Maroto Navarro, Gracia, Hidalgo Ruzzante, Natalia","Gaceta Sanitaria; 24(4); 293-302","Gaceta Sanitaria","Espanhol","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112010000400006&lang=pt" 
"S0213-91112010000400005-spa","Indicación de la determinación de los anticuerpos para los virus de la hepatitis C y de la hepatitis A en los protocolos de atención a los niños inmigrantes","Masvidal Aliberch, Rosa M., Estabanell Buxó, Ana, Miguel Gil, Beatriz, Cruz Rodríguez, Cecilia, Frutos Gallego, Elisa de, Guzmán Molina, Claudia, Riera Vidal, Dolors","Gaceta Sanitaria; 24(4); 288-292","Gaceta Sanitaria","Espanhol","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112010000400005&lang=pt" 
"S0716-10182010000500001-chl","Genotipificación del virus papiloma humano en mujeres con adenocarcinoma cervical de la Región de La Araucanía-Chile","Melo A, Angélica, García M, Patricia, Capurro V, Italo, Guzmán G, Pablo, Brebi M, Priscila, Ili G, Carmen, López M, Jaime, Roa S, Juan C","Revista chilena de infectología; 27(4); 297-301","Revista chilena de infectología","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182010000500001&lang=pt" 
"S0716-10182010000500002-chl","Estudio de costo del tratamiento de la aspergilosis invasora en pacientes oncológicos pediátricos: Santiago. Chile","Moreno M, Claudia, del Valle M, Gladys, Coria D. la H, Paulina","Revista chilena de infectología; 27(4); 302-307","Revista chilena de infectología","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182010000500002&lang=pt" 
"S0716-10182010000500003-chl","Factores asociados a riesgo de infección bacteriana grave en niños bajo 24 meses de edad, internados por fiebre sin foco aparente","Torregrosa, Carolina, García R, Cristian, Sciarotta, Juan, Vay, Carlos, Caíno, Silvia, Ellis, Alejandro","Revista chilena de infectología; 27(4); 308-314","Revista chilena de infectología","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182010000500003&lang=pt" 
"S0716-10182010000500005-chl","Uso de tests diagnósticos en la práctica clínica (Parte 2): Aplicación clínica y utilidad de un test diagnóstico","Cifuentes A, Lorena, Cerda L, Jaime","Revista chilena de infectología; 27(4); 316-319","Revista chilena de infectología","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182010000500005&lang=pt" 
"S0716-10182010000500006-chl","Programa de prevención y control de la transmisión vertical del VIH en Cuba: Enero de 1986 - diciembre de 2007","González N, Ida, Díaz J, Manuel, Verdasquera C, Denis, Pérez Á, Jorge","Revista chilena de infectología; 27(4); 320-326","Revista chilena de infectología","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182010000500006&lang=pt" 
"S0716-10182010000500007-chl","Fusarium especie","Benadof F, Dona","Revista chilena de infectología; 27(4); 327-328","Revista chilena de infectología","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182010000500007&lang=pt" 
"S0716-10182010000500008-chl","Hidatidosis humana: Generalidades y situación epidemiológica en Chile según egresos hospitalarios y notificación obligatoria entre los años 2001 y 2005","Cortés A, Sandra, Valle B, Carla","Revista chilena de infectología; 27(4); 329-335","Revista chilena de infectología","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182010000500008&lang=pt" 
"S0716-10182010000500009-chl","Evolución de la prevalencia de enteroparasitosis en la ciudad de Talca, Región del Maule, Chile","Vidal F, Sylvia, Toloza M, Lorena, Cancino F, Beatriz","Revista chilena de infectología; 27(4); 336-340","Revista chilena de infectología","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182010000500009&lang=pt" 
