"S0103-64402012000300009-scl","Supragingival plaque removal with and without dentifrice: a randomized controlled clinical trial","Zanatta, Fabricio B., Antoniazzi, Raquel P., Pinto, Tatiana M. P., Rösing, Cassiano K.","Brazilian Dental Journal; 23(3); 235-240","Brazilian Dental Journal","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402012000300009&lang=pt" 
"S0103-56652012000100012-scl","O masoquismo através da transferência","Christaki, Angélique","Psicologia Clínica; 24(1); 181-191","Psicologia Clínica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-56652012000100012&lang=pt" 
"S0103-56652012000100013-scl","O uso das cartas terapêuticas na prática clínica","Paiva, Ludoana Pousa Corrêa de, Rasera, Emerson Fernando","Psicologia Clínica; 24(1); 193-207","Psicologia Clínica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-56652012000100013&lang=pt" 
"S1413-78522012000400010-scl","Fratura toracolombar explosão: análise radiográfica diferencial entre A e B de Margerl","Assunção Filho, Carlos Alberto Almeida de, Veloso, Rafael Parizzi, Meves, Robert, Bergamaschi, João Paulo, Caffaro, Maria Fernanda Silber, Avanzi, Osmar","Acta Ortopédica Brasileira; 20(4); 240-242","Acta Ortopédica Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522012000400010&lang=pt" 
"S1516-84842012000300005-scl","Comments on: alloimmunization screening after transfusion of red blood cells in a prospective study","Melo, Laércio de","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 182-183","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300005&lang=pt" 
"S1516-84842012000300012-scl","Alloimmunization screening after transfusion of red blood cells in a prospective study","Alves, Vitor Mendonça, Martins, Paulo Roberto Juliano, Soares, Sheila, Araújo, Gislene, Schmidt, Luciana Cayres, Costa, Sidneia Sanches de Menezes, Langhi, Dante Mário, Moraes-Souza, Helio","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 206-211","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300012&lang=pt" 
"S1516-84842012000300009-scl","Dengue antibodies in blood donors","Ribas-Silva, Rejane Cristina, Eid, Andressa Ahmad","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 193-195","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300009&lang=pt" 
"S1516-84842012000300008-scl","Evaluation of respiratory conditions in early phase of hematopoietic stem cell transplantation","Bom, Eliane Aparecida, Souza, Clarissa Vasconcelos de, Thiesen, Rosana Almeida da Silva, Miranda, Eliana Cristina Martins, Souza, Carmino Antonio de","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 188-192","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300008&lang=pt" 
"S1516-84842012000300001-scl","Challenges of emerging countries: a relatively positive view for the future","Ruiz, Milton Artur","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 173-174","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300001&lang=pt" 
"S1516-84842012000300007-scl","Factors associated with HIV infection among blood donors","Stosic, Borko","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 186-187","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300007&lang=pt" 
"S1516-84842012000300004-scl","Comments on: frequency of human platelet antigens in oncohematological patients with thrombocytopenia and the probability of incompatibility to platelet transfusions","Paula, Erich Vinicius de","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 180-181","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300004&lang=pt" 
"S1516-84842012000300006-scl","Applying molecular immunohematology discoveries to daily transfusion practice","Castilho, Lilian","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 184-185","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300006&lang=pt" 
"S1516-84842012000300011-scl","Frequency of human platelet antigens in oncohematological patients with thrombocytopenia and the probability of incompatibility to platelet transfusions","Bianchi, Juliana Vieira dos Santos, Azevedo, Maria Regina Andrade de, Jens, Eduardo, Nukui, Youko, Chamone, Dalton Alencar Ficher","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 202-205","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300011&lang=pt" 
"S1516-84842012000300015-scl","Stem cell therapy in retinal diseases?","Siqueira, Rubens Camargo","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 222-226","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300015&lang=pt" 
"S1516-84842012000300016-scl","Autologous bone marrow transplantation in patients relapsed one year after R-CHOP?","Pereira, Juliana","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 227-230","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300016&lang=pt" 
"S1516-84842012000300018-scl","Establishing a stem cell culture laboratory for clinical trials","Sekiya, Elíseo Joji, Forte, Andresa, Kühn, Telma Ingrid Borges de Bellis, Janz, Felipe, Bydlowski, Sérgio Paulo, Alves, Adelson","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 236-241","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300018&lang=pt" 
"S1516-84842012000300021-scl","Julio Cesar Voltarelli 1948-2012","Ruiz, Milton Artur","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 246-247","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300021&lang=pt" 
"S1516-84842012000300020-scl","Myelophthisis as first manifestation of failure of chemotherapy in breast cancer","Oliveira, Leonardo Rodrigues de, Ferreira, Thaís Camargos, Meneses, Antônio Carlos Oliveira de","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 245-245","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300020&lang=pt" 
"S1516-84842012000300022-scl","Rev Bras Hematol Hemoter. 2012;34(2)","","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 248-248","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300022&lang=pt" 
"S1516-84842012000300002-scl","Sickle cell disease: looking back but towards the future","Cançado, Rodolfo Delfini","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 175-177","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300002&lang=pt" 
"S1516-84842012000300003-scl","Is sickle cell disease the same everywhere?","Hankins, Jane","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 178-179","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300003&lang=pt" 
"S1516-84842012000300010-scl","Sickle cell disease: acute clinical manifestations in early childhood and molecular characteristics in a group of children in Rio de Janeiro","Silva Filho, Isaac Lima da, Ribeiro, Georgina Severo, Moura, Patrícia Gomes, Vechi, Monica Longo, Cavalcante, Andréa Cony, Andrada-Serpa, Maria José de","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 196-201","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300010&lang=pt" 
"S1516-84842012000300013-scl","Molecular analysis of the GYPB gene to infer S, s, and U phenotypes in an admixed population of Minas Gerais, Brazil","Faria, Marina Alves, Martins, Marina Lobato, Schmidt, Luciana Cayres, Malta, Maria Clara Fernandes da Silva","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 212-216","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300013&lang=pt" 
"S1516-84842012000300014-scl","Logistic model for determining factors associated with HIV infection among blood donor candidates at the Fundação HEMOPE","Queiroz, Niedja Maristone Barreto, Sampaio, Divaldo de Almeida, Santos, Eufrázio de Souza, Bezerra, Ana Cristina de Souza","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 217-221","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300014&lang=pt" 
"S1516-84842012000300017-scl","Viral inactivation in hemotherapy: systematic review on inactivators with action on nucleic acids","Sobral, Patricia Marial, Barros, Artur Emilio de Lima, Gomes, Ayla Maritcha Alves Silva, Bonfim, Cristine Vieira do","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 231-235","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300017&lang=pt" 
"S1516-84842012000300019-scl","Laboratory diagnosis of chronic myelomonocytic leukemia and progression to acute leukemia in association with chronic lymphocytic leukemia: morphological features and immunophenotypic profile","Santos, Iris Mattos, Franzon, Carine Muniz Ribeiro, Koga, Adolfo Haruo","Revista Brasileira de Hematologia e Hemoterapia; 34(3); 242-244","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842012000300019&lang=pt" 
"S2237-60892012000200002-scl","Introductory comment to Jay Greenberg&#039;s &quot;Conversations with Oedipus&quot;","Lewkowicz, Sérgio","Trends in Psychiatry and Psychotherapy; 34(2); 49-50","Trends in Psychiatry and Psychotherapy","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-60892012000200002&lang=pt" 
"S2237-60892012000200001-scl","Diversity within unity","","Trends in Psychiatry and Psychotherapy; 34(2); 47-47","Trends in Psychiatry and Psychotherapy","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-60892012000200001&lang=pt" 
"S2237-60892012000200005-scl","A supergeneralização da memória autobiográfica nos transtornos depressivos","Dutra, Tarcísio Gomes, Kurtinaitis, Laila da Camara Lima, Cantilino, Amaury, Vasconcelos, Maria Carolina Souto de, Hazin, Izabel, Sougey, Everton Botelho","Trends in Psychiatry and Psychotherapy; 34(2); 73-79","Trends in Psychiatry and Psychotherapy","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-60892012000200005&lang=pt" 
"S2237-60892012000200006-scl","Drug use and antisocial behavior among adolescents attending public schools in Brazil","Nardi, Fernanda Lüdke, Cunha, Silvia Mendes da, Bizarro, Lisiane, Dell&#039;Aglio, Débora Dalbosco","Trends in Psychiatry and Psychotherapy; 34(2); 80-86","Trends in Psychiatry and Psychotherapy","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-60892012000200006&lang=pt" 
"S2237-60892012000200008-scl","Burnout syndrome and associated factors among health professionals of a public hospital","Ebling, Márcia, Carlotto, Mary Sandra","Trends in Psychiatry and Psychotherapy; 34(2); 93-100","Trends in Psychiatry and Psychotherapy","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-60892012000200008&lang=pt" 
"S2237-60892012000200010-scl","Non-medical use of methylphenidate: a review","Freese, Luana, Signor, Luciana, Machado, Cassio, Ferigolo, Maristela, Barros, Helena Maria Tannhauser","Trends in Psychiatry and Psychotherapy; 34(2); 110-115","Trends in Psychiatry and Psychotherapy","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-60892012000200010&lang=pt" 
"S1981-57942012000100002-scl","Padrões de inversão do sujeito na escrita brasileira do século 19: evidências empíricas para a hipótese de competição de gramáticas","Coelho, Izete Lehmkuhl, Martins, Marco Antonio","Alfa : Revista de Linguística (São José do Rio Preto); 56(1); 11-28","Alfa : Revista de Linguística (São José do Rio Preto)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942012000100002&lang=pt" 
"S1981-57942012000100003-scl","Restrições à posição de spreps temporais na modalidade falada","Paiva, Maria da Conceição de","Alfa : Revista de Linguística (São José do Rio Preto); 56(1); 29-53","Alfa : Revista de Linguística (São José do Rio Preto)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942012000100003&lang=pt" 
"S1981-57942012000100005-scl","História de uma completiva: origem e desenvolvimento do complemento oracional introduzido por se do português","Sousa, Gisele Cássia de","Alfa : Revista de Linguística (São José do Rio Preto); 56(1); 81-107","Alfa : Revista de Linguística (São José do Rio Preto)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942012000100005&lang=pt" 
"S1981-57942012000100006-scl","Representação lexical de classes verbais do PB","Cançado, Márcia, Godoy, Luisa","Alfa : Revista de Linguística (São José do Rio Preto); 56(1); 109-135","Alfa : Revista de Linguística (São José do Rio Preto)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942012000100006&lang=pt" 
"S1981-57942012000100007-scl","Denominal Verbs in Brazilian Portuguese: distinguishing between diachronic and synchronic structures within Distributed Morphology approach","Bassani, Indaiá de Santana","Alfa : Revista de Linguística (São José do Rio Preto); 56(1); 137-167","Alfa : Revista de Linguística (São José do Rio Preto)","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942012000100007&lang=pt" 
"S1981-57942012000100008-scl","A multifuncionalidade do advérbio &quot;realmente&quot; na língua portuguesa sob a perspectiva da gramaticalização de construções","Lacerda, Patrícia Fabiane Amaral da Cunha","Alfa : Revista de Linguística (São José do Rio Preto); 56(1); 169-200","Alfa : Revista de Linguística (São José do Rio Preto)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942012000100008&lang=pt" 
"S1981-57942012000100009-scl","Ordem de adição de afixos no português brasileiro: dados de unidades lexicais neológicas","Maroneze, Bruno","Alfa : Revista de Linguística (São José do Rio Preto); 56(1); 201-215","Alfa : Revista de Linguística (São José do Rio Preto)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942012000100009&lang=pt" 
"S1981-57942012000100010-scl","Refletindo sobre a Provinha Brasil a partir das dimensões sociocultural, linguística e cognitiva da leitura","Cristofolini, Carla","Alfa : Revista de Linguística (São José do Rio Preto); 56(1); 217-247","Alfa : Revista de Linguística (São José do Rio Preto)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942012000100010&lang=pt" 
"S1981-57942012000100011-scl","Ensino de língua portuguesa e inquietações teórico-metodológicas: os gêneros discursivos na aula de português e a aula (de português) como gênero discursivo","Cerutti-Rizzatti, Mary Elizabeth","Alfa : Revista de Linguística (São José do Rio Preto); 56(1); 249-269","Alfa : Revista de Linguística (São José do Rio Preto)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942012000100011&lang=pt" 
"S1981-57942012000100012-scl","Relação poder-saber e formas de resistência em documentos educacionais governamentais sobre ensino de língua estrangeira","Marques, Sandra Mari Kaneko","Alfa : Revista de Linguística (São José do Rio Preto); 56(1); 271-292","Alfa : Revista de Linguística (São José do Rio Preto)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942012000100012&lang=pt" 
"S1981-57942012000100013-scl","O sujeito porta-voz é sempre um nós em construção?","Venturini, Maria Cleci","Alfa : Revista de Linguística (São José do Rio Preto); 56(1); 293-308","Alfa : Revista de Linguística (São José do Rio Preto)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942012000100013&lang=pt" 
"S1981-57942012000100014-scl","A gramática de Damourette e Pichon com Lacan: uma problemática da enunciação","Machado, Bruno Focas Vieira","Alfa : Revista de Linguística (São José do Rio Preto); 56(1); 309-324","Alfa : Revista de Linguística (São José do Rio Preto)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942012000100014&lang=pt" 
"S1981-57942012000100015-scl","Linguagem, sociedade e poder: coletânea de artigos","Flannery, Mércia Regina Santana","Alfa : Revista de Linguística (São José do Rio Preto); 56(1); 327-343","Alfa : Revista de Linguística (São José do Rio Preto)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942012000100015&lang=pt" 
"S1727-37812012000100001-sza","Culture, tradition, custom, law and gender equality","Maluleke, MJ","PER: Potchefstroomse Elektroniese Regsblad; 15(1); 02-22","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812012000100001&lang=pt" 
"S1727-37812012000100002-sza","The application of Section 8(3) of the Constitution in the development of customary law values in South Africa&#039;s new constitutional dispensation","Ntlama, N","PER: Potchefstroomse Elektroniese Regsblad; 15(1); 24-44","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812012000100002&lang=pt" 
"S1727-37812012000100003-sza","The right of child victims of armed conflict to reintegration and recovery","Robinson, JA","PER: Potchefstroomse Elektroniese Regsblad; 15(1); 46-101","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812012000100003&lang=pt" 
"S1727-37812012000100004-sza","Gesondheidsorg vir kinders: voldoen Suid-Afrikaanse wetgewing aan die land se verpligtinge ingevolge die Konvensie oor die Regte van die Kind en die Grondwet?","Büchner-Eveleigh, M, Nienaber, A","PER: Potchefstroomse Elektroniese Regsblad; 15(1); 103-146","PER: Potchefstroomse Elektroniese Regsblad","Africaner","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812012000100004&lang=pt" 
"S1727-37812012000100005-sza","A critical appraisal of the juvenile justice system under Cameroon&#039;s 2005 Criminal Procedure Code: emerging challenges","Tabe, S Tabe","PER: Potchefstroomse Elektroniese Regsblad; 15(1); 148-176","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812012000100005&lang=pt" 
"S1727-37812012000100006-sza","&quot;Child divorce&quot;: a break from parental responsibilities and rights due to the traditional socio-cultural practices and beliefs of the parents","Bekink, M","PER: Potchefstroomse Elektroniese Regsblad; 15(1); 178-212","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812012000100006&lang=pt" 
"S1727-37812012000100007-sza","Realising equality in access to HIV treatment for vulnerable and marginalised groups in Africa","Durojaye, E","PER: Potchefstroomse Elektroniese Regsblad; 15(1); 214-242","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812012000100007&lang=pt" 
"S1727-37812012000100008-sza","The impact of sadc social protection instruments on the setting up of a minimum social protection floor in southern African countries","Nyenti, M, Mpedi, LG","PER: Potchefstroomse Elektroniese Regsblad; 15(1); 244-428","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812012000100008&lang=pt" 
"S1727-37812012000100009-sza","South Africa: safe haven for human traffickers? employing the arsenal of existing law to combat human trafficking","Kruger, HB, Oosthuizen, H","PER: Potchefstroomse Elektroniese Regsblad; 15(1); 282-343","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812012000100009&lang=pt" 
"S1727-37812012000100010-sza","Disability discrimination and the right of disabled persons to access the labour market","Marumoagae, MC","PER: Potchefstroomse Elektroniese Regsblad; 15(1); 344-365","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812012000100010&lang=pt" 
"S1727-37812012000100011-sza","The use of a therapeutic jurisprudence approach to the teaching and learning of law to a new generation of law students in South Africa","Fourie, E, Coetzee, E","PER: Potchefstroomse Elektroniese Regsblad; 15(1); 367-391","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812012000100011&lang=pt" 
"S1727-37812012000100012-sza","Procurement adjudication and the rights of children; Freedom Stationery (Pty) Ltd v MEC for Education, Eastern Cape 2011 JOL 26927 (E)","Couzens, M","PER: Potchefstroomse Elektroniese Regsblad; 15(1); 392-410","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812012000100012&lang=pt" 
"S1727-37812012000100013-sza","Unisa v Reynhardt [2010] 12 BLLR 1272 (LAC): does affirmative action have a lifecycle?","Mushariwa, M","PER: Potchefstroomse Elektroniese Regsblad; 15(1); 413-428","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812012000100013&lang=pt" 
"S0718-23762012000100001-chl","EDITORIAL","Pinedo C, Francisco Javier","Universum (Talca); 27(1); 7-9","Universum (Talca)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-23762012000100001&lang=pt" 
"S0718-23762012000100002-chl","Ideas, intentos y fracasos en el proceso modernización administrativa entre las dos administraciones de Ibáñez (1927: 1958)","Arias Yurisch, Karina","Universum (Talca); 27(1); 13-27","Universum (Talca)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-23762012000100002&lang=pt" 
"S0718-23762012000100003-chl","Recepción y reelaboración del pensamiento económico-social de América Latina en la India, entre 1960 y 1990: Estudio de algunos casos","Devés-Valdés, Eduardo","Universum (Talca); 27(1); 29-54","Universum (Talca)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-23762012000100003&lang=pt" 
"S0718-23762012000100004-chl","Avances hacia la comprensión del fenómeno de la alfabetización académica hipertextual en el contexto de formación docente","Figueroa Sandoval, Beatriz, Aillon Neumann, Mariana, Salazar Provoste, Omar","Universum (Talca); 27(1); 55-70","Universum (Talca)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-23762012000100004&lang=pt" 
"S0718-23762012000100005-chl","La fiesta de La Tirana en la literatura obrera","Guerrero Jiménez, Bernardo","Universum (Talca); 27(1); 71-84","Universum (Talca)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-23762012000100005&lang=pt" 
"S0718-23762012000100006-chl","El Apostolado de la Prensa: La actuación del salesiano Bernardo Gentilini","Loyola Tapia, Manuel","Universum (Talca); 27(1); 85-109","Universum (Talca)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-23762012000100006&lang=pt" 
"S0718-23762012000100007-chl","Clases medias chilenas y transgresión de la homogamia: una perspectiva histórica","Mac-Clure, Oscar","Universum (Talca); 27(1); 111-141","Universum (Talca)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-23762012000100007&lang=pt" 
"S0718-23762012000100008-chl","Identidades en tensión: devenir de una etno y gastropolítica en Isla de Pascua","Montecino Aguirre, Sonia, Foerster González, Rolf","Universum (Talca); 27(1); 143-166","Universum (Talca)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-23762012000100008&lang=pt" 
"S0718-23762012000100009-chl","El conflicto Estado: Pueblo Mapuche, 1900-1960","Pinto Rodríguez, Jorge","Universum (Talca); 27(1); 167-189","Universum (Talca)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-23762012000100009&lang=pt" 
"S0718-23762012000100010-chl","Dimensiones de la confección de una juventud virtuosa: manuales de urbanidad en Chile (c.1840-c.1900)","Toro Blanco, Pablo","Universum (Talca); 27(1); 191-205","Universum (Talca)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-23762012000100010&lang=pt" 
"S0718-23762012000100011-chl","La república parlamentaria de Chile: perspectivas historiográficas","Álvarez Hernández, Fernanda","Universum (Talca); 27(1); 209-222","Universum (Talca)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-23762012000100011&lang=pt" 
"S0718-23762012000100012-chl","Humor: goles y autogoles de Roberto Bolaño","García-Huidobro Mac Auliffe, Cecilia","Universum (Talca); 27(1); 223-228","Universum (Talca)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-23762012000100012&lang=pt" 
"S0718-23762012000100013-chl","Armand Mattelard y su relación con los jesuitas: confrontaciones de un intelectual","Carrazco López, Graciela","Universum (Talca); 27(1); 231-237","Universum (Talca)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-23762012000100013&lang=pt" 
"S0718-23762012000100014-chl","200 años de la &quot;Aurora de Chile&quot; Roberto Hernández Cornejo, Imprenta Gutenberg, Talca, 2012, 94 páginas","Gandolfo, Pedro","Universum (Talca); 27(1); 241-243","Universum (Talca)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-23762012000100014&lang=pt" 
"S1981-57942012000100001-scl","Apresentação","Cortina, Arnaldo","Alfa : Revista de Linguística (São José do Rio Preto); 56(1); 5-6","Alfa : Revista de Linguística (São José do Rio Preto)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942012000100001&lang=pt" 
"S1981-57942012000100004-scl","Relações retóricas estabelecidas por orações gerundiais adverbiais","Antonio, Juliano Desiderato","Alfa : Revista de Linguística (São José do Rio Preto); 56(1); 55-79","Alfa : Revista de Linguística (São José do Rio Preto)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942012000100004&lang=pt" 
"S1413-77042012000100002-scl","Atuação missionária jesuítica na América portuguesa: a peculiar via renascentista, sacramental e tridentina à salvação no(s) Novo(s) Mundo(s)","Agnolin, Adone","Tempo; 18(32); 19-48","Tempo","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042012000100002&lang=pt" 
"S1413-77042012000100003-scl","Memória conventual e política em Portugal no Antigo Regime","Bellini, Lígia, Pacheco, Moreno Laborda","Tempo; 18(32); 49-68","Tempo","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042012000100003&lang=pt" 
"S1413-77042012000100004-scl","Poder local entre ora et labora: a casa beneditina nas tramas do Rio de Janeiro seiscentista","Souza, Jorge Victor de Araújo","Tempo; 18(32); 69-94","Tempo","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042012000100004&lang=pt" 
"S1413-77042012000100005-scl","A clausura feminina no mundo ibero atlântico: Pernambuco e Portugal nos séculos XVI ao XVIII","Almeida, Suely Creusa Cordeiro de","Tempo; 18(32); 95-113","Tempo","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042012000100005&lang=pt" 
