"S0034-70942010000500007-scl","Utilidade da ecocardiografia transeofageana durante hipotensão arterial grave em cirurgia não cardíaca","Schulmeyer, Cabrera, Farías, Jorge, Rajdl, Eduardo, Maza, Jaime de La, Labbé, Marcela","Revista Brasileira de Anestesiologia; 60(5); 513-521","Revista Brasileira de Anestesiologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942010000500007&lang=pt" 
"S1516-35982010001000014-scl","Uso de levedura em equinos alimentados com dietas compostas de fenos de diferentes qualidades nutricionais","Furtado, Carlos Eduardo, Barboza, Eder Dias, Brandi, Roberta Ariboni, Ribeiro, Leonir Bueno, Oliveira, Ana Alix Mendes de Almeida","Revista Brasileira de Zootecnia; 39(10); 2194-2199","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000014&lang=pt" 
"S1516-35982010001000015-scl","Avaliação técnica e econômica da matriz nutricional da enzima fitase em rações contendo farelo de girassol para poedeiras comerciais","Junqueira, Otto Mack, Filardi, Rosemeire da Silva, Ligeiro, Elaine Cristina, Casartelli, Elenice Maria, Sgavioli, Sarah, Assuena, Vinícius, Duarte, Karina Ferreira, Laurentiz, Antonio Carlos de","Revista Brasileira de Zootecnia; 39(10); 2200-2206","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000015&lang=pt" 
"S1516-35982010001000016-scl","Reduction of the nutritional values of diets for hens through supplementation with phytase","Lima, Matheus Ramalho de, Costa, Fernando Guilherme Perazzo, Givisiez, Patrícia Emília Naves, Silva, José Humberto Vilar da, Sakomura, Nilva Kazue, Lima, Denise Fontana Figueiredo","Revista Brasileira de Zootecnia; 39(10); 2207-2213","Revista Brasileira de Zootecnia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000016&lang=pt" 
"S1516-35982010001000017-scl","Avaliação do desempenho e do rendimento de carcaça de quatro linhagens de frangos de corte em dois sistemas de criação","Madeira, Luciene Aparecida, Sartori, José Roberto, Araujo, Priscila Cavalca, Pizzolante, Carla Cachoni, Saldanha, Érika Salgado Politi Braga, Pezzato, Antonio Celso","Revista Brasileira de Zootecnia; 39(10); 2214-2221","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000017&lang=pt" 
"S1516-35982010001000018-scl","Comparação e aplicação de dois modelos matemáticos no estudo do metabolismo de fósforo em suínos","Moreira, José Aparecido, Vitti, Dorinha Miriam Silber Schmidt, Teixeira, Alexandre de Oliveira, Lopes, João Batista","Revista Brasileira de Zootecnia; 39(10); 2222-2229","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000018&lang=pt" 
"S1516-35982010001000020-scl","Prediction of metabolizable energy values in poultry offal meal for broiler chickens","Silva, Edney Pereira da, Rabello, Carlos Bôa-Viagem, Albino, Luiz Fernando Teixeira, Ludke, Jorge Victor, Lima, Michele Bernardino de, Dutra Junior, Wilson Moreira","Revista Brasileira de Zootecnia; 39(10); 2237-2245","Revista Brasileira de Zootecnia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000020&lang=pt" 
"S1516-35982010001000022-scl","Balanço de nitrogênio, concentrações de ureia e síntese de proteína microbiana em caprinos alimentados com dietas contendo cana-de-açúcar tratada com óxido de cálcio","Carvalho, Gleidson Giordano Pinto de, Garcia, Rasmo, Pires, Aureliano José Vieira, Silva, Robério Rodrigues, Pereira, Mara Lúcia Albuquerque, Viana, Pablo Teixeira, Santos, Alana Batista dos, Pereira, Taiala Cristina de Jesus","Revista Brasileira de Zootecnia; 39(10); 2253-2261","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000022&lang=pt" 
"S1516-35982010001000023-scl","The role of pH on the survival of rumen protozoa in steers","Franzolin, Raul, Dehority, Burk A.","Revista Brasileira de Zootecnia; 39(10); 2262-2267","Revista Brasileira de Zootecnia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000023&lang=pt" 
"S1516-35982010001000025-scl","Levels of mineral mixture and urea in supplementation of crossbred heifers, with Gyr predominance, reared at pasture during the dry season","Mendonça, Bruno Pietsch Cunha, Lana, Rogério de Paula, Mancio, Antonio Bento, Detmann, Edenio, Barbosa, Analívia Martins, Guimarães, Geicimara","Revista Brasileira de Zootecnia; 39(10); 2273-2280","Revista Brasileira de Zootecnia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000025&lang=pt" 
"S1516-35982010001000026-scl","Nutritional evaluation of elephant-grass silages with byproduct of annato","Rêgo, Margareth Maria Teles, Neiva, José Neuman Miranda, Rêgo, Aníbal Coutinho do, Cândido, Magno José Duarte, Clementino, Rossana Herculano, Restle, João","Revista Brasileira de Zootecnia; 39(10); 2281-2287","Revista Brasileira de Zootecnia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000026&lang=pt" 
"S1516-35982010001000027-scl","Características das fibras musculares de cordeiros nascidos de ovelhas recebendo suplementação proteica no terço inicial da gestação","Santello, Graziela Aparecida, Macedo, Francisco de Assis Fonseca de, Macedo, Rosa Maria Gomes de, Martins, Elias Nunes, Lourenço, Fábio José, Dias, Fábio Jacobs","Revista Brasileira de Zootecnia; 39(10); 2288-2296","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000027&lang=pt" 
"S1516-35982010001000028-scl","Effect of storage on fatty acid profile of butter from cows fed whole or ground flaxseed with or without monensin","Silva-Kazama, Daniele Cristina da, Santos, Geraldo Tadeu dos, Pintro, Paula Toshimi Matumoto, Visentainer, Jesuí Vergílio, Kazama, Ricardo, Petit, Hélène Véronique, Marchi, Francilaine Eloise de","Revista Brasileira de Zootecnia; 39(10); 2297-2303","Revista Brasileira de Zootecnia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000028&lang=pt" 
"S1516-35982010001000029-scl","Efeito do genótipo e da idade de ovinos na reatividade medida em pista de venda","Silveira, Isabella Dias Barbosa, Fischer, Vivian, Mendonça, Gilson de","Revista Brasileira de Zootecnia; 39(10); 2304-2309","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000029&lang=pt" 
"S1413-81232010000800015-spa","Chlorination disinfection by-products in drinking water and congenital anomalies: review and meta-analyses","Nieuwenhuijsen, Mark J., Martinez, David, Grellier, James, Bennett, James, Best, Nicky, Iszatt, Nina, Vrijheid, Martine, Toledano, Mireille B.","Ciência &amp; Saúde Coletiva; 15(); 3109-3123","Ciência &amp; Saúde Coletiva","Inglês","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800015&lang=pt" 
"S1413-81232010000800020-spa","Saúde da família e cuidados paliativos infantis: ouvindo os familiares de crianças dependentes de tecnologia","Rabello, Claudia Azevedo Ferreira Guimarães, Rodrigues, Paulo Henrique de Almeida","Ciência &amp; Saúde Coletiva; 15(); 3157-3166","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800020&lang=pt" 
"S1413-81232010000800026-spa","Composição química e eficácia da multimistura como suplemento dietético: revisão da literatura","Ferreira, Haroldo Silva, Cavalcante, Sybelle Araújo, Assunção, Monica Lopes de","Ciência &amp; Saúde Coletiva; 15(); 3207-3220","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800026&lang=pt" 
"S1413-81232010000800027-spa","A fragilidade/resistência da vida humana em comunidades rurais do Pantanal Mato-Grossense (MT, Brasil)","Pignatti, Marta Gislene, Castro, Sueli Pereira","Ciência &amp; Saúde Coletiva; 15(); 3221-3232","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800027&lang=pt" 
"S1413-81232010000800033-spa","Práticas e significados de saúde bucal: um estudo qualitativo com mães de crianças atendidas na Universidade Federal de Santa Catarina","Robles, Ana Carolina Couto, Grosseman, Suely, Bosco, Vera Lúcia","Ciência &amp; Saúde Coletiva; 15(); 3271-3281","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800033&lang=pt" 
"S1413-81232010000800034-spa","Como realizar o correto descarte de resíduos de medicamentos?","Falqueto, Elda, Kligerman, Débora Cynamon, Assumpção, Rafaela Facchetti","Ciência &amp; Saúde Coletiva; 15(); 3283-3293","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800034&lang=pt" 
"S1413-81232010000800031-spa","Percepção de alunos, professores e usuários acerca da dimensão ética na formação de graduandos de odontologia","Matos, Mariângela Silva de, Tenório, Robson","Ciência &amp; Saúde Coletiva; 15(); 3255-3264","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800031&lang=pt" 
"S1516-35982010001000004-scl","Estrutura do pasto de capim-braquiária com variação de alturas","Santos, Manoel Eduardo Rozalino, Fonseca, Dilermando Miranda da, Silva, Guilherme Portes, Pimentel, Roberson Machado, Carvalho, Victor Valério de, Silva, Simone Pedro da","Revista Brasileira de Zootecnia; 39(10); 2125-2131","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000004&lang=pt" 
"S1806-37132010000500005-scl","Adesividade e purulência de secreções respiratórias: implicações no transporte mucociliar em pacientes com bronquiectasias","Tambascio, Joana, Lisboa, Roberta Marques, Passarelli, Rita de Cássia Vianna, Martinez, José Antonio Baddini, Gastaldi, Ada Clarice","Jornal Brasileiro de Pneumologia; 36(5); 545-553","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500005&lang=pt" 
"S1806-37132010000500007-scl","Fatores preditores da qualidade de vida relacionada à saúde física e mental em pacientes com doença pulmonar intersticial: uma análise multifatorial","Coelho, Ana Cláudia, Knorst, Marli Maria, Gazzana, Marcelo Basso, Barreto, Sérgio Saldanha Menna","Jornal Brasileiro de Pneumologia; 36(5); 562-570","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500007&lang=pt" 
"S1806-37132010000500013-scl","Comparação entre três métodos de coloração a frio no diagnóstico primário de tuberculose: um estudo piloto","Gupta, Soham, Shenoy, Vishnu Prasad, Bairy, Indira, Muralidharan, Sethumadhavan","Jornal Brasileiro de Pneumologia; 36(5); 612-616","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500013&lang=pt" 
"S1806-37132010000500015-scl","Tuberculose e gênero em um município prioritário no estado do Rio de Janeiro","Belo, Márcia Teresa Carreira Teixeira, Luiz, Ronir Ragio, Hanson, Christy, Selig, Lia, Teixeira, Eleny Guimarães, Chalfoun, Thiago, Trajman, Anete","Jornal Brasileiro de Pneumologia; 36(5); 621-625","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500015&lang=pt" 
"S1806-37132010000500006-scl","Influência da estratégia ventilatória no desempenho funcional de enxertos pulmonares em um modelo experimental de transplante pulmonar unilateral de doadores após parada cardiocirculatória","Felix, Elaine Aparecida, Andrade, Cristiano Feijó, Cardoso, Paulo Francisco Guerreiro, Thiesen, Gabriela Cury, Antonio, Ana Carolina Peçanha, Martins, Lucas Krieger, Tonietto, Tiago Antonio","Jornal Brasileiro de Pneumologia; 36(5); 554-561","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500006&lang=pt" 
"S1517-86922010000500015-scl","Equações preditivas de gordura corporal: saber escolher é fundamental","Costa, Roberto Fernandes da, Gomes, Rodrigo Vitasovic, Lima Ribeiro, Sandra Maria, Veibig, Renata Furlan, Aoki, Marcelo Saldanha","Revista Brasileira de Medicina do Esporte; 16(5); 393-394","Revista Brasileira de Medicina do Esporte","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922010000500015&lang=pt" 
"S1413-81232010000800035-spa","Estudos sobre o yoga","Siegel, Pamela, Barros, Nelson Filice de","Ciência &amp; Saúde Coletiva; 15(); 3295-3296","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800035&lang=pt" 
"S1517-86922010000500001-scl","Influência da cafeína na resposta pressórica ao exercício aeróbio em sujeitos hipertensos","Cazé, Raquel Freire, Franco, Gisele Augusto Maciel, Porpino, Suênia Karla Pacheco, Souza, Alesandra Araújo de, Padilhas, Orranette Pereira, Silva, Alexandre Sérgio","Revista Brasileira de Medicina do Esporte; 16(5); 324-328","Revista Brasileira de Medicina do Esporte","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922010000500001&lang=pt" 
"S1517-86922010000500002-scl","Comparação das respostas fisiológicas, perceptuais e afetivas durante caminhada em ritmo autosselecionado por mulheres adultas de três diferentes faixas etárias","Buzzachera, Cosme Franklim, Baldari, Carlo, Elsangedy, Hassan Mohamed, Krinski, Kleverton, Santos, Bruno Vinicius, Campos, Wagner de, Guidetti, Laura, Silva, Sergio Gregorio da","Revista Brasileira de Medicina do Esporte; 16(5); 329-334","Revista Brasileira de Medicina do Esporte","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922010000500002&lang=pt" 
"S0213-12852010000500005-esp","Estudio in vitro de la resistencia a la tracción de postes de fibra de vidrio cementados con cuatro agentes cementantes","Jara Vidal, P., Martínez Bello, A., Correa Beltrán, G., Catalán Sepúlveda, A.","Avances en Odontoestomatología; 26(5); 255-262","Avances en Odontoestomatología","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852010000500005&lang=pt" 
"S0213-12852010000500003-esp","Flexicorticotomía: Una técnica quirúrgica para tratamiento de ortodoncia. Reporte de un caso","Díaz Caballero, A., Herrera Barrios, F., Herrera Herrera, A.","Avances en Odontoestomatología; 26(5); 243-247","Avances en Odontoestomatología","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852010000500003&lang=pt" 
"S0213-12852010000500002-esp","Liquen plano oral y síndrome vulvovaginal-gingival: A propósito de un caso","Alonso Rosado, A., Hernández Hernández, E., Mateos Rodríguez, R., Pérez Gómez, R.M., Bascones Martínez, A.","Avances en Odontoestomatología; 26(5); 235-241","Avances en Odontoestomatología","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852010000500002&lang=pt" 
"S0213-12852010000500004-esp","Granuloma telangiectásico en cavidad oral","Rebolledo Cobos, M., Harris Ricardo, J., Cantillo Pallares, O., Carbonell Muñoz, Z., Díaz Caballero, A.","Avances en Odontoestomatología; 26(5); 249-253","Avances en Odontoestomatología","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852010000500004&lang=pt" 
"S0213-12852010000500006-esp","Reemergencia de la caries dental en adolescentes","Franco Cortés, A.M., Guzmán Zuluaga, I.C., Gómez Restrepo, A.M., Ardila Medina, C.M.","Avances en Odontoestomatología; 26(5); 263-270","Avances en Odontoestomatología","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852010000500006&lang=pt" 
"S0213-12852010000500001-esp","","","Avances en Odontoestomatología; 26(5); 233-233","Avances en Odontoestomatología","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852010000500001&lang=pt" 
"S0004-27302010000700001-scl","Defining reference values for TSH: nearing perfection in a imperfect world","Vieira, José Gilberto Henriques","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 54(7); 589-590","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302010000700001&lang=pt" 
"S0004-27302010000700004-scl","Prevalence of central obesity in a large sample of adolescents from public schools in Recife, Brazil","Griz, Luiz H. M., Viégas, Maíra, Barros, Mauro, Griz, Adriana L., Freese, Eduardo, Bandeira, Francisco","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 54(7); 607-611","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302010000700004&lang=pt" 
"S0004-27302010000700003-scl","TSH reference values for adult Brazilian population","Rosario, Pedro Weslley, Xavier, Arthur Cezar Malard, Calsolari, Maria Regina","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 54(7); 603-606","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302010000700003&lang=pt" 
"S0004-27302010000700007-scl","Avaliação do risco cardiovascular por meio do índice LAP em pacientes não obesas com síndrome dos ovários policísticos","Costa, Eduardo Caldas, Sá, Joceline Cássia Ferezini de, Soares, Elvira Maria Mafaldo, Lemos, Telma Maria Araújo Moura, Maranhão, Técia Maria de Oliveira, Azevedo, George Dantas","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 54(7); 630-635","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302010000700007&lang=pt" 
"S0004-27302010000700008-scl","Análise de diferentes medidas antropométricas na identificação de síndrome metabólica, com ou sem alteração do metabolismo glicídico","Rocha, Natália Pereira da, Siqueira-Catania, Antonela, Barros, Camila Risso, Pires, Milena Monfort, Folchetti, Luciana D., Ferreira, Sandra Roberta G.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 54(7); 636-643","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302010000700008&lang=pt" 
"S1516-89132010000500001-scl","Antibiosis and dark-pigments secretion by the phytopathogenic and environmental fungal species after interaction in vitro with a Bacillus subtilis isolate","Machado, Alexandre Paulo, Vivi, Viviane Karolina, Tavares, José Roberto, Gueiros Filho, Frederico José, Fischman, Olga","Brazilian Archives of Biology and Technology; 53(5); 997-1004","Brazilian Archives of Biology and Technology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132010000500001&lang=pt" 
"S1516-89132010000500012-scl","Interrelationships among egg, larvae and maternal characteristics in Persian sturgeon Acipenser persicus","Nazari, Rajab Mohammad, Ghomi, Mohammad Reza, Aquiloni, Laura","Brazilian Archives of Biology and Technology; 53(5); 1093-1095","Brazilian Archives of Biology and Technology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132010000500012&lang=pt" 
"S1516-89132010000500013-scl","Light microscope observation of circulating human lymphocytes cultured in vitro","Oliveira, Naila Francis Paulo de, Dolder, Mary Anne Heidi, Genari, Selma Candelária","Brazilian Archives of Biology and Technology; 53(5); 1097-1100","Brazilian Archives of Biology and Technology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132010000500013&lang=pt" 
"S1516-89132010000500007-scl","Partition of glucose oxidase from Aspergillus niger in aqueous two-phase systems based on salt and polyethylene glycol","Singh, Jagdish, Verma, Neelam","Brazilian Archives of Biology and Technology; 53(5); 1051-1056","Brazilian Archives of Biology and Technology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132010000500007&lang=pt" 
"S1516-89132010000500009-scl","Response surface analysis on the effect of temperature and pH on Growth and proteolytic activity of thermophilic Bacillus sp","Gorlach-Lira, Krystyna, Pedroza, Maria Lourdes Vieira, Burdziej-Pokojska, Aleksandra, Rozycki, Henryk, Dahm, Hanna","Brazilian Archives of Biology and Technology; 53(5); 1067-1072","Brazilian Archives of Biology and Technology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132010000500009&lang=pt" 
"S1516-89132010000500010-scl","Formulation and evaluation of glipizide floating-bioadhesive tablets","Patel, Jayvadan K., Chavda, Jayant R.","Brazilian Archives of Biology and Technology; 53(5); 1073-1085","Brazilian Archives of Biology and Technology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132010000500010&lang=pt" 
"S1516-89132010000500011-scl","Growth capacity of thermotolerant campylobacters in culture media supplemented with pig and cow blood","Tresierra-Ayala, Álvaro, Navas, Manuel, Flores, Josué, Perea, Ramsés, Huanaquiri, Juan, Bendayán, María, Fernández, Heriberto","Brazilian Archives of Biology and Technology; 53(5); 1087-1091","Brazilian Archives of Biology and Technology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132010000500011&lang=pt" 
"S1516-89132010000500015-scl","Caloric density of Loricariichthys platymetopon (Osteichthyes, Loricariidae) in the Upper Paraná River floodplain, Brazil","Garcia, Daniela Aparecida, Benedito, Evanilde, Takeda, Alice Michiyo","Brazilian Archives of Biology and Technology; 53(5); 1109-1118","Brazilian Archives of Biology and Technology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132010000500015&lang=pt" 
"S1516-89132010000500021-scl","Broiler transportation conditions in a Brazilian commercial line and the occurrence of breast PSE (Pale, Soft, Exudative) meat and DFD-like (Dark, Firm, Dry) meat","Langer, Roselane Oliveira de Souza, Simões, Gislaine Silveira, Soares, Adriana Lourenço, Oba, Alexandre, Rossa, Alessandro, Shimokomaki, Massami, Ida, Elza Iouko","Brazilian Archives of Biology and Technology; 53(5); 1161-1167","Brazilian Archives of Biology and Technology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132010000500021&lang=pt" 
"S1516-89132010000500020-scl","Wind power characterization in the Lages city - SC, Brazil","Soccol, Olívio José, Zitterell, Danieli Bariviera, Ullmann, Mario Nestor, Miquelluti, David José","Brazilian Archives of Biology and Technology; 53(5); 1155-1160","Brazilian Archives of Biology and Technology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132010000500020&lang=pt" 
"S1516-89132010000500019-scl","Response of Paenibacillus polymyxa to iron: alternations in cellular chemical composition and the production of fusaricidin type antimicrobial compounds","Raza, Waseem, Hongsheng, Wu, Qirong, Shen","Brazilian Archives of Biology and Technology; 53(5); 1145-1154","Brazilian Archives of Biology and Technology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132010000500019&lang=pt" 
"S1516-89132010000500002-scl","Enhanced exoinulinase production from Kluyveromyces marxianus YS-1 using response surface methodology","Singh, Ram Sarup, Lotey, Shveta","Brazilian Archives of Biology and Technology; 53(5); 1005-1013","Brazilian Archives of Biology and Technology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132010000500002&lang=pt" 
"S2176-94512010010300002-scl","Pesquisa sugere que método 3D permite visualização e quantificação precisa de resultados cirúrgicos","Motta, Alexandre Trindade Simões da","Dental Press Journal of Orthodontics; 15(5); -","Dental Press Journal of Orthodontics","Inglês, Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2176-94512010010300002&lang=pt" 
"S0004-27302010000700013-scl","Measurement of basal GH in the diagnosis of acromegaly","Rosario, Pedro Weslley","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 54(7); 668-669","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302010000700013&lang=pt" 
"S0042-96862010001000004-spa","Implications of the Adelaide Statement on Health in All Policies","Krech, Rüdiger, Valentine, Nicole B, Reinders, Lina Tucker, Albrecht, Daniel","Bulletin of the World Health Organization; 88(10); 720-720","Bulletin of the World Health Organization","Inglês","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862010001000004&lang=pt" 
"S0042-96862010001000008-spa","Recent news from WHO","","Bulletin of the World Health Organization; 88(10); 726-726","Bulletin of the World Health Organization","Inglês","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862010001000008&lang=pt" 
"S0042-96862010001000002-spa","Maternal deaths drop by one-third from 1990 to 2008: a United Nations analysis","Wilmoth, John, Mathers, Colin, Say, Lale, Mills, Samuel","Bulletin of the World Health Organization; 88(10); 718-718a","Bulletin of the World Health Organization","Inglês","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862010001000002&lang=pt" 
"S0042-96862010001000007-spa","Sierra Leone&#039;s long recovery from the scars of war","","Bulletin of the World Health Organization; 88(10); 725-726","Bulletin of the World Health Organization","Inglês","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862010001000007&lang=pt" 
"S0042-96862010001000005-spa","Life-saving learning around the drinking pot","","Bulletin of the World Health Organization; 88(10); 721-722","Bulletin of the World Health Organization","Inglês","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862010001000005&lang=pt" 
"S0042-96862010001000017-spa","Expansion of antiretroviral treatment to rural health centre level by a mobile service in Mumbwa district, Zambia","Dube, Christopher, Nozaki, Ikuma, Hayakawa, Tadao, Kakimoto, Kazuhiro, Yamada, Norio, Simpungwe, James B","Bulletin of the World Health Organization; 88(10); 788-791","Bulletin of the World Health Organization","Inglês","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862010001000017&lang=pt" 
"S0042-96862010001000016-spa","The formulation and implementation of a national helmet law: a case study from Viet Nam","Passmore, Jonathon W, Nguyen, Lan Huong, Nguyen, Nam Phuong, Olivé, Jean-Marc","Bulletin of the World Health Organization; 88(10); 783-787","Bulletin of the World Health Organization","Inglês","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862010001000016&lang=pt" 
"S0042-96862010001000019-spa","Suicide research and prevention in developing countries in Asia and the Pacific","Milner, Allison, de Leo, Diego","Bulletin of the World Health Organization; 88(10); 795-796","Bulletin of the World Health Organization","Inglês","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862010001000019&lang=pt" 
"S0042-96862010001000018-spa","A standardized health information system for refugee settings: rationale, challenges and the way forward","Haskew, C, Spiegel, P, Tomczyk, B, Cornier, N, Hering, H","Bulletin of the World Health Organization; 88(10); 792-794","Bulletin of the World Health Organization","Inglês","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862010001000018&lang=pt" 
"S0042-96862010001000006-spa","New Zealand cuts health spending to control costs","","Bulletin of the World Health Organization; 88(10); 723-724","Bulletin of the World Health Organization","Inglês","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862010001000006&lang=pt" 
"S0042-96862010001000010-spa","Common perinatal mental disorders in northern Viet Nam: community prevalence and health care use","Fisher, Jane, Tran, Thach, thi La, Buoi, Kriitmaa, Kelsi, Rosenthal, Doreen, Tran, Tuan","Bulletin of the World Health Organization; 88(10); 737-745","Bulletin of the World Health Organization","Inglês","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862010001000010&lang=pt" 
